abstract-region;['produkt', 'produkt i matematikk'];Resultatet av multiplikasjon
amount-of-matter;['sukrose', 'bordsukker', 'rørsukker'];Kjemisk sambinding
amount-of-matter;['metylenblått', 'metyltioninklorid'];Kjemisk sambinding
amount-of-matter;['kreosot'];Kjemisk sambinding
amount-of-matter;['kopar', 'cu', '29cu', 'grunnstoff 29', 'kobber'];Grunnstoff med kjemisk symbol Cu og atomnummer 29
amount-of-matter;['mangan', 'mn', '25mn', 'grunnstoff 25'];Grunnstoff med kjemisk symbol Mn og atomnummer 25
amount-of-matter;['nikkel', '28ni', 'grunnstoff 28', 'ni'];Grunnstoff med kjemisk symbol Ni og atomnummer 28
amount-of-matter;['kasein', 'ostestoff'];Kjemisk sambinding
amount-of-matter;['heksose', 'sekskarbonsukker'];monosakkarid som inneheld seks karbonatom
amount-of-matter;['endorfin'];Endogent, opiod peptid med morfinliknande verknad
amount-of-matter;['ribonukleinsyre', 'rna'];Familie av store biomolekyl
amount-of-matter;['nukleobase', 'nukleotid'];Biomolekyl som inngår i nukleinsyrer
amount-of-matter;['metylbromid', 'brommetan', 'ch3br'];Kjemisk sambinding
amount-of-matter;['kaliumpermanganat', 'hypermangan', 'kaliummanganat'];Kjemisk sambinding
amount-of-matter;['molybden', '42mo', 'grunnstoff 42', 'mo'];Kjemisk sambinding
amount-of-matter;['kamfer'];Kjemisk sambinding
amount-of-matter;['fosfat'];salt eller ester av fosforsyre
amount-of-matter;['sulfonat'];salt eller ester av sulfonsyre
amount-of-matter;['tiocyanat', 'tiocyanation'];salt eller ester av tiocyansyre
amount-of-matter;['acetat', 'acetater'];salt eller ester av eddiksyre
amount-of-matter;['karbonat'];salt eller ester av karbonsyre
amount-of-matter;['isocyanat'];salt eller ester av isocyansyre
amount-of-matter;['akrylat', 'propenoat'];salt eller ester av akrylsyre
amount-of-matter;['natrium', '11na', 'grunnstoff 11', 'na', 'sodium'];Grunnstoff med kjemisk symbol Na og atomnummer 11
amount-of-matter;['palladium', 'pd', '46pd', 'grunnstoff 46'];Kjemisk sambinding
amount-of-matter;['vanadium', '23v', 'grunnstoff 23', 'v', 'v i kjemi'];Grunnstoff med kjemisk symbol V og atomnummer 23
amount-of-matter;['thorium', 'th', '90th', 'grunnstoff 90', '⁹⁰th', 'torium'];Kjemisk sambinding
amount-of-matter;['ricin'];Kjemisk sambinding
amount-of-matter;['nervestridsmiddel', 'nervegass', 'stridsgass'];Klasse av organofosfat. klassifisert som eit masseøydeleggingsvåpen
amount-of-matter;['natriumbenzoat', 'e211'];Kjemisk sambinding
amount-of-matter;['litiumkarbonat', 'li2co3', 'li₂co₃'];Kjemisk sambinding
amount-of-matter;['kaliumkarbonat', 'pottoske'];Kjemisk sambinding
amount-of-matter;['ammoniumklorid', 'salmiakk', 'azaniumklorid', 'kloraminium'];Kjemisk sambinding
amount-of-matter;['scandium', 'sc', '21sc', 'grunnstoff 21', 'skandium'];Grunnstoff med kjemisk symbol Sc og atomnummer 21
amount-of-matter;['karbon', 'kol', 'kolstoff', '6c', 'c', 'grunnstoff 6', 'c-atom', 'c14', 'c₁₄', 'karbonatom', 'kolsamanbinding', 'kolsambinding', 'kullforbindelse', 'kullstoff'];Grunnstoff med kjemisk symbol C og atomnummer 6
amount-of-matter;['svovel', '16s', 'grunnstoff 16', 's', '₁₆s'];Grunnstoff med kjemisk symbol S og atomnummer 16
amount-of-matter;['nikotin', '(-)-nikotin', '(s)-nikotin'];Kjemisk sambinding
amount-of-matter;['nikotin', '(-)-nikotin', '(s)-nikotin'];kjemisk sambinding
amount-of-matter;['skopolamin'];Kjemisk sambinding
amount-of-matter;['messing', 'legeringa messing', 'massing', 'messesong'];Substitusjonslegering av kopar og sink
amount-of-matter;['essensiell aminosyre', 'nødvendig aminosyre'];aminosyre som ikkje blir produsert i tilstrekkeleg grad av kroppen og som derfor må tilførast gjennom kosten
amount-of-matter;['karboksylsyre', 'karboksyl', 'karboksysyre', '-cooh', 'cooh-gruppe', 'karboksy-', 'karboksygruppe'];Familie av organiske sambindingar
amount-of-matter;['oxyde de cuivre'];Wikimedia-fleirtydingsside
amount-of-matter;['smørsyre', 'butansyre'];Kjemisk sambinding
amount-of-matter;['akrylsyre', '2-propensyre', 'prop-2-ensyre', 'propensyre', 'vinylmaursyre'];Kjemisk sambinding
amount-of-matter;['kromsyre', 'krom(vi)syre'];Kjemisk sambinding
amount-of-matter;['tiocyansyre', 'hydrogenrhodanid', 'hydrogenrodanid', 'rhodansyre', 'rodansyre'];Svak syre med stikkande lukt
amount-of-matter;['oksosyre'];Oksygenhaldig syre
amount-of-matter;['pentose', 'femkarbonsukker'];monosakkarid som inneheld fem karbonatom
amount-of-matter;['keton'];Klasse av organiske sambindingar med strukturen RCOR´
amount-of-matter;['protein', 'eggekvitestoff'];Biomolekyl med kjeder av aminosyrerestar
amount-of-matter;['antistoff', 'immunglobulin', 'ig', 'antikroppar'];Stort, Y-forma protein som blir skilt ut av B-celler og teke i bruk av immunsystemet
amount-of-matter;['halogen', 'gruppe 17', 'grunnstoffgruppe 17'];Grunnstoffgruppe
amount-of-matter;['gruppe 18', 'edelgass', 'edelgassar', 'grunnstoffgruppe 18'];Grunnstoffgruppe
amount-of-matter;['alkalimetall', 'grunnstoffgruppe 1', 'alkaliske metall', 'gruppe 1'];Grunnstoffgruppe
amount-of-matter;['nukleinsyre'];Polymerisk makromolekyl
amount-of-matter;['smijern', 'smijarn'];Jernlegering som inneheld lite karbon
amount-of-matter;['kumjølk', 'mjølk'];mjølk av ku
amount-of-matter;['talg'];Kjemisk sambinding
amount-of-matter;['pseudoefedrin'];Kjemisk sambinding
amount-of-matter;['materie', 'materie i fysikk', 'stoff'];Alt stoff som har (kvile)masse og volum i rommet
amount-of-matter;['sementitt', 'fe3c'];Kjemisk sambinding av jern og karbon
amount-of-matter;['nevrotransmitter', 'nervesignalstoff', 'transmitterstoff', 'transmittersubstans'];Kjemisk sambinding
amount-of-matter;['peptid', 'monopeptid', 'oligopeptid', 'polypeptid'];Kortkjeda aminosyremonomerar som er bundne saman av peptidbindingar
amount-of-matter;['mineralvatn', 'mineralhaldig vatn'];vatn som inneheld eller er tilsett mineral
amount-of-matter;['vigslevatn', 'vievatn'];Wikimedia-listeartikkel
biological-object;['vene', 'samleåre', 'v.', 'vena', 'venøs', 'blodkar', 'blodåre', 'åre'];Blodåre som leier blod mot hjartet
biological-object;['pulsåre', 'arterie', 'a.', 'art.', 'arteria', 'arteriar', 'arterier', 'pulsårar', 'pulsårer'];Blodåre som leier blodet ut frå hjartet
biological-object;['ductus', 'kanal'];(utførsels)gang, kanal e.l.
biological-object;['arteria centralis retinae', 'a. centralis retinae', 'a. retinae centralis', 'arteria retinae centralis'];arterie i netthinna
biological-object;['nervecelle', 'nevron', 'nerveselle'];Elektrisk eksiterbar celle i nervesystemet
biological-object;['hippocampus', 'hippocampusområdet', 'hippokampus'];Del av storhjernen
biological-object;['vena subclavia', 'kragebeinsvene', 'v. subclavia'];stor vene under kragebeinet på kvar side av kroppen
biological-object;['hjernevinding', 'gyrus', 'gyrus cerebri', 'kortikal gyrus'];Bukting i storhjerneborken
biological-object;['talgkjertel', 'glandula sebacea', 'glandula sebacea holocrina', 'oljekjertel', 'sebumkjertel'];eksokrin kjertel i huda som skil ut talg (sebum)
biological-object;['bukspyttkjertelgang', 'ductus pancreaticus', 'pankreasgang'];utførselsgang for bukspytt frå bukspyttkjertelen til hovudgallegangen
biological-object;['gallegang', 'hovudgallegang', 'choledochus', 'ductus biliaris', 'ductus choledochus', 'felles gallegang', 'galleveg', 'store gallegang'];levergangen og galleblæregangen sin felles utførselsgang
biological-object;['handledd', 'handrotsknokkel', 'carpus', 'handrotsbein', 'karpalbein'];del av arm mellom underarm og hand
biological-object;['bukspyttkjertel', 'bukspyttkjertelen', 'pancreas', 'pankreas'];blandingskjertel i bukhola
biological-object;['glandula parotis', 'glandula parotidea', 'parotiskjertel', 'øyrespyttkjertel'];stor spyttkjertel like framfor øyregangen
biological-object;['akillessene', 'akillessen', 'hælsene', 'tendo achillis', 'tendo calcaneus'];stor sene i tjukkleggen
biological-object;['hjernehinner', 'hjernehinne', 'hjernehinnene', 'meninges', 'meninx'];Hinner som dekkjer hjernen og ryggmergen
biological-object;['musculus quadriceps femoris', 'firehovda lårmuskel', 'm. quadriceps femoris', 'quadriceps', 'quadriceps femoris', 'quadricepsmuskel'];Strekkemuskel på framsida av låret som strekker ut kneet
biological-object;['galleblære', 'gallblære', 'vesica biliaris', 'vesica fellea', 'galleblæra', 'hartmanns lomme'];holorgan i bukhola
biological-object;['hud', 'hudcelle'];Mjukt ytre organ hos virveldyr
biological-object;['plexus sacralis', 'korsnervefletning', 'sakralnervefletning', 'sakralpleksus'];Nervefletning
biological-object;['bakhovudbein', 'os occipitale', 'bakhovudbeinet'];skålforma knokkel i nedre, bakre del av kraniet
biological-object;['kaffibønne', 'kaffi'];Frø av kaffiplanta
biological-object;['aortaklaff'];Lommeklaff i hjartet mellom venstre hjartekammer og aorta
biological-object;['pulmonalklaff', 'lungeklaff'];Lommeklaff i hjartet mellom høgre hjartekammer og lungepulsåra
biological-object;['baroreseptor', 'blodtrykksreseptor', 'pressoreseptor'];mekanoreseptor som formidlar informasjon om blodtrykk
biological-object;['vesikkel'];Liten, væskefylt og kuleforma organell som er omslutta av ein membran
biological-object;['høyreknokkel', 'øyreknokkel', 'høyrebein', 'ossikkel', 'øyrebein', 'ossiculum auditorium', 'ossiculum auditus', 'høyreknoklar', 'ossicula auditoria', 'ossicula auditus', 'ossikel', 'ossiklar', 'øyrebeinskjeda', 'øyrebeinskjeden', 'øyreknoklar'];lydleiande knokkel i mellomøyret
biological-object;['immunforsvar', 'immunsystem', 'immunapparat', 'immunapparatet', 'immunsystemet'];Biologisk system som vernar organismen mot sjukdom
biological-object;['tungebein', 'os hyoideum'];hesteskoforma knokkel mellom tungerota og strupehovudet på framsida av halsen
biological-object;['hjarteklaff', 'hjarteklaffar', 'hjarteklaffe', 'hjarteklaffer', 'hjerteklaffe', 'hjerteklaffer'];Klaff i hjartet som styrer blodet i éin retning
biological-object;['vena femoralis', 'lyskevene', 'v. femoralis'];Wikimedia-fleirtydingsside
biological-object;['vena iliaca interna', 'indre iliakalvene', 'indre tarmbeinsvene', 'v. hypogastrica', 'v. iliaca interna', 'vena hypogastrica'];stor vene i bekkenområdet
biological-object;['blodåre', 'blodkar', 'blodår'];Røyrforma struktur som leier blod
biological-object;['appendiks', 'blindtarm', 'blindtarmsvedheng', 'appendix', 'appendix vermiformis', 'blindtarmvedheng', 'vedlegg'];fingertjukt vedheng på blindtarmen
biological-object;['hol', 'opning'];opning gjennom ein fast gjenstand
biological-object;['arteria nutricia', 'a. nutricia', 'a. nutriens', 'arteria nutriens'];arterie som forsyner mergen i røyrknoklar
biological-object;['smakslauk', 'caliculus gustatorius', 'gemma gustatoria', 'organum gustatorium', 'organum gustus', 'smaksorgan'];Spesialisert sanseorgan
biological-object;['schwannsk celle', 'gliocytus periphericus', 'neurolemmocytus', 'nevrolemmacelle', 'nevrolemmocytt', 'perifer gliacelle', 'schwann-celle', 'schwannocytus'];myelinproduserande gliacelle i det perifere nervesystemet
biological-object;['sesamknokkel', 'senebein', 'seneknokkel', 'sesambein'];liten til mellomstor knokkel som ligg innleira i ein muskel eller sene
biological-object;['hjernenerve', 'kranienerve', 'kranialnerve', 'n. cranialis', 'nervus cranialis', 'hjernenervar'];Nerve som går ut frå hjernen eller hjernestammen
biological-object;['arteria cerebri', 'a. cerebri', 'cerebral arterie', 'cerebralarterie', 'storhjernearterie'];kvar av tre (par) arteriar i storhjernen (cerebrum)
biological-object;['mimisk muskulatur', 'ansiktsmusklar', 'ansiktsmuskulatur', 'mm. faciales', 'mm. faciei', 'musculi faciales', 'musculi faciei'];musklar som bidreg til ansiktsmimikken
biological-object;['kjønnsorgan', 'forplantingsorgan', 'genitalia', 'primært forplantingsorgan', 'primært kjønnskarakteristikum', 'primært kjønnsorgan', 'kjønn'];Einkvan del av forplantingssystemet til komplekse organismar som medverker til formeiring
biological-object;['linse', 'augelinse', 'lens', 'lens crystallina', 'lens oculi', 'linsa i auget'];transparent struktur i auget
biological-object;['kvit blodlekam', 'kvit blodcelle', 'kvit blodselle', 'leukocytt', 'levkocytt', 'kvite blodceller'];Type celle i immunsystemet
biological-object;['overarmsbein', 'humerus', 'overarmsknokkel'];Lang røyrknokkel i overarmen
biological-object;['navlestreng', 'chorda umbilicalis', 'funiculus umbilicalis', 'navlesnor'];strengliknande struktur mellom foster og morkake
biological-object;['augelok', 'augnelok', 'palpebra'];Tynn hudfald som dekkjer over og vernar om auget
biological-object;['sideventrikkel', 'ventriculus lateralis'];Væskefylt rom i hjernen
biological-object;['ganebein'];Andletsknokkel
biological-object;['vena cava', 'holvene'];stor venestamme som fører oksygenfattig blod tilbake til hjartet
biological-object;['eple'];Frukt
biological-object;['tann', 'mennesketann', 'dens', 'dens humanum', 'dentes', 'tenner', 'plugg'];Mineralisert organ i munnhola hos menneske
biological-object;['olboge', 'cubitus'];del av arm
biological-object;['røyrknokkel', 'lang knokkel'];Type knokkel
biological-object;['hoftebein', 'os coxae'];Knokkel i bekkenet
biological-object;['skjoldbruskkjertel', 'skjoldbruskkjertelen', 'thyreoidea', 'glandula thyroidea', 'skjoldkjertel', 'tyreoidea', 'skjolbruskkjertelen', 'skjoldkjertelen', 'thyroidea', 'tyroidea'];Hormonkjertel
biological-object;['glomus caroticum', 'carotislekam'];samling av kjemiske sanseceller og støtteceller nær carotisbifurkaturen på begge sider av halsen
biological-object;['brystvirvel', 'thorakalvirvel', 'torakalvirvel', 'vertebra thoracica'];ryggvirvel i brystvirvelsøyla
biological-object;['virvel', 'ryggradsknokkel', 'ryggvirvel', 'vertebra'];knokkel i virvelsøyla
biological-object;['sympatiske nervesystem', 'sns', 'sympathicus', 'sympatikus', 'systema nervosum sympathicum'];Del av det autonome nervesystemet
biological-object;['bihole', 'biholene', 'biholer', 'bihòlene', 'bihòler'];Fire parvise, luftfylte holrom kring nasehola
biological-object;['vena cava superior', 'øvre holvene'];ein av to venestammer som fører oksygenfattig blod tilbake til hjartet
biological-object;['isselapp', 'parietallapp', 'lobus parietalis'];del av hjernen
biological-object;['frontallapp', 'lobus frontalis', 'pannelapp'];del av hjernen
biological-object;['bakhovudlapp', 'oksipitallapp', 'lobus occipitalis', 'bakhovudlappen', 'oksipitallappen'];del av hjernen
biological-object;['hand', 'neve', 'manus', 'handa', 'handi', 'hendene', 'hender', 'nevar', 'neven'];del av arm
biological-object;['axis i ryggsøyla', '2. halsvirvel', 'c2', 'epistropheus', 'tappvirvel', 'andre halsvirvel', 'axis', 'epistrofeus', 'vertebra cervicalis ii', 'vertebra dentata', 'tappvirvelen'];den andre av til saman sju knoklar i halsvirvelsøyla. knokkelen er prega av eit kraftig beinframspring, tappen, som ringvirvelen dreier omkring
biological-object;['kinnbein', 'os jugale', 'os zygomaticum', 'zygoma'];Slags kinnbein
biological-object;['dorsal retning', 'dorsal', 'dorsalis'];anatomisk retning
biological-object;['hæl', 'calx'];bakre del av fot
biological-object;['musculus biceps femoris', 'biceps femoris', 'm. biceps femoris', 'tobuka knebøyar', 'tohovda knebøyar'];Bøyemuskel bak på låret som bøyer kneet
biological-object;['munnforgard', 'vestibulum oris'];forgarden til munnhola. avgrensa framme av lepper og kinn, bak av tenner og tannkjøt
biological-object;['arteria femoralis', 'a. femoralis', 'femoralarterie', 'lårarterie', 'lårbeinsarterie'];Stor arterie i låret
biological-object;['frontallapp', 'lobus frontalis', 'pannelapp'];del av hjernen
biological-object;['motorisk hjernebork', 'cortex motorius', 'motorisk bork', 'motorisk borkområde', 'motorisk cortex', 'motorisk korteks'];Område av storhjerneborken
biological-object;['epifyse', 'epiphysis', 'leddende'];endestykke på røyrknokkel
biological-object;['halebein', 'halebeinet', 'coccyx', 'os coccygis'];Knokkel i bekkenet
biological-object;['menneskehovud', 'hovud'];Øvre del av menneskekroppen
biological-object;['pia mater', 'blaute hjerne- og ryggmergshinne', 'indre hjerne- og ryggmergshinne', 'pia', 'årehinne'];Wikimedia-listeartikkel
biological-object;['pia mater', 'blaute hjerne- og ryggmergshinne', 'indre hjerne- og ryggmergshinne', 'pia', 'årehinne'];tynn hinne som omgir hjernen og ryggmergen
biological-object;['hjarte', 'hjartekammer', 'menneskehjartet', 'hjarta', 'hjartet', 'menneskehjarta', 'hjartat', 'hjarto', 'hjerta', 'hjerte', 'hjertene', 'hjertet', 'hjärta', 'hjärtat', 'hjärten', 'hjärton', 'hjærte', 'hjærtene', 'hjærtet'];Muskulært organ som pumpar blod eller andre kroppsvæsker gjennom kroppen ved å gjennomføra stadige rytmiske samantrekningar
biological-object;['hjarte', 'hjartekammer', 'menneskehjartet', 'hjarta', 'hjartet', 'menneskehjarta', 'hjartat', 'hjarto', 'hjerta', 'hjerte', 'hjertene', 'hjertet', 'hjärta', 'hjärtat', 'hjärten', 'hjärton', 'hjærte', 'hjærtene', 'hjærtet'];Menneskeorgan
biological-object;['ulna', 'olbogebein'];Røyrknokkel i underarmen
biological-object;['tunica intima', 'intima'];Indre del av blodårevegg
biological-object;['livpulsåre', 'aorta', 'hovudpulsåre', 'kroppspulsåre', 'storpulsåre', 'aortaboge', 'hovedpulsåre', 'hovedpulsåren', 'hovudpulsåra', 'livpulsåra'];Den største og viktigaste pulsåra i kroppen
biological-object;['adamseple', 'skjoldbrusk', 'cartilago thyreoidea', 'cartilago thyroidea'];hyalinbrusk som utgjer den fremre delen av larynksskjelettet (strupehovudet)
biological-object;['netthinne', 'retina'];Lysfølsamt organ i auget
biological-object;['underkjeve', 'mandibel', 'mandibula', 'underkjevebein', 'underkjeven'];Nedre kjevebein
biological-object;['mellomøyre', 'mellomøyret', 'trommehola', 'trommehole', 'auris media', 'trommehòle', 'cavitas tympani', 'mellomøyra', 'trommehòla'];del av øyret som ligg mellom trommehinna og det ovale vindauget
biological-object;['hypofyse', 'glandula pituitaria', 'hypophysis', 'hjernevedhenget', 'hypofysen'];Hormonkjertel
biological-object;['trommehinne', 'membrana tympani', 'myringa', 'trommehinna'];Utspent hinne som skil mellomøyret frå det ytre øyret
biological-object;['musculus gluteus medius', 'gluteus medius', 'm. gluteus medius'];Ein av tre setemusklar
biological-object;['hjartemuskel', 'myokard', 'hjartemuskelen', 'hjartemuskulatur', 'myocard', 'myocardium', 'myokardium'];Muskelvev i hjartet
biological-object;['radius', 'spolebein'];røyrknokkel i underarmen
biological-object;['dura mater', 'dura', 'harde hjerne- og ryggmergshinne', 'pachymeninx', 'senehinne', 'ytre hjerne- og ryggmergshinne'];kraftig hinne som omgir hjernen og ryggmergen
biological-object;['ytre øyre', 'det ytre øyret', 'øyremuskel', 'aurikkelmuskel', 'auris externa', 'det ytre øyra', 'ytre øyra', 'ytre øyret'];del av øyret som består av den synlege delen av øyret (øyremuslingen) og øyregangen
biological-object;['tars', 'fotrotsknokkel', 'tarse', 'ankelknokkel', 'tarsalknokkel', 'tarsus'];knokkel i fotrota
biological-object;['colon ascendens', 'oppstigande colon', 'oppstigande kolon', 'oppstigande tjukktarm'];Del av kolon som ligg mellom blindtarmen og tverrgåande kolon
biological-object;['lår', 'femur'];Område mellom bekken og kne
biological-object;['autonome nervesystem', 'ans', 'innvolsnervesystem', 'systema nervosum autonomicum', 'vegetative nervesystem', 'viscerale nervesystem'];Del av det perifere nervesystemet
biological-object;['tomtarm', 'jejunum'];andre del av tynntarmen
biological-object;['krumtarm', 'ileum'];tredje og siste del av tynntarmen
biological-object;['underarm', 'antebrachium'];del av arm
biological-object;['rotkanal', 'canalis radicis dentis'];hol del av tannrot der det går nervar og blodårer
biological-object;['sentralnervesystem', 'sentralnervesystemet', 'cns', 'sns', 'systema nervosum centrale'];Del av nervesystemet som består av hjerne, hjernehinner og ryggmerg
biological-object;['plevrahole', 'cavitas pleuralis', 'cavum pleurae', 'plevrarom', 'plevraspalte'];Tynt væskesjikt mellom lungehinna og brysthinna
biological-object;['øyre', 'øyra', 'auris', 'øret', 'øyret', 'øyro'];høyre- og balanseorgan
biological-object;['sniglehus', 'cochlea', 'koklea'];Organ i det indre øyret
biological-object;['stigbøyelen', 'stigbøyel', 'stapes', 'stigbøylen'];stigbøyelforma knokkel i mellomøyret som overfører lyd frå ambolten til det indre øyret
biological-object;['det endokrine systemet', 'hormonsystem', 'endokrint system', 'endokrin', 'endokrine kjertlar', 'hormonkjertlar', 'hormonkjertler', 'hormonsystemet'];Kjertelsystem
biological-object;['morkake', 'placenta', 'morkaka'];Organ som fester fosteret til livmorveggen
biological-object;['nervevev', 'textus nervosus'];Biologisk vev som utgjer hovuddelen av nervesystemet
biological-object;['bindevev', 'textus connectivus', 'støttevev'];Type biologisk vev
biological-object;['korsbein', 'sacrum'];Knokkel i bekkenet
causal-role;['reagens', 'deltakande stoff', 'reaktant', 'påvisingsmiddel', 'reagensmiddel', 'reaksjonsdeltakar', 'utgangsstoff'];stoff eller blanding som blir brukt for å gi ein bestemt kjemisk reaksjon, eller for å sjå om ein reaksjon skjer
causal-role;['talidomid', 'thalidomid'];Kjemisk sambinding
causal-role;['fare', 'risiko', 'farleg situasjon'];Situasjon som inneber fare for liv, helse, eigedom eller miljø
causal-role;['antimicrobiano', 'antimikrobielt middel', 'desinfeksjonsmiddel'];Wikimedia-fleirtydingsside
causal-role;['angiotensin'];Mammalsk protein
chemical-object;['kasein', 'ostestoff'];Kjemisk sambinding
chemical-object;['hydrogenion'];Wikimedia-fleirtydingsside
chemical-object;['ricin'];Kjemisk sambinding
chemical-object;['protein', 'eggekvitestoff'];Biomolekyl med kjeder av aminosyrerestar
chemical-object;['antistoff', 'immunglobulin', 'ig', 'antikroppar'];Stort, Y-forma protein som blir skilt ut av B-celler og teke i bruk av immunsystemet
chemical-object;['karben', 'metylen'];Kjemisk sambinding
chemical-object;['ammonium'];Kjemisk sambinding
chemical-object;['metyl', 'metylgruppe', 'metylende', 'methyl', 'methylgruppe'];alkyl avleidd frå metan
classification-system;['ab0'];Blodtypeklassifisering
cognitive-event;['appetitt', 'mathug', 'matlyst'];Hug etter å ta til seg mat
cognitive-event;['blodprøve', 'blodkjemiprøve'];Prøve av blodkvalitet
cognitive-modal-description;['psykisk utviklingshemming'];Nevrologisk utviklingsforstyrring
cognitive-state;['halvspent'];Når hanen på eit skytevåpen er delvis spent
dependent-place;['hol', 'opning'];opning gjennom ein fast gjenstand
dependent-place;['dermis', 'corium', 'lêrhud'];lag av hud mellom epidermis (overhud) og subcutis (underhud)
dependent-place;['foramen magnum'];oval opning i botnen av bakhovudbeinet
dependent-place;['overhud', 'epiderm', 'epidermis'];Ytste del av huda
ecological-collective;['flora i botanikken', 'plantar', 'planteriket', 'plante', 'flora', 'plantae', 'planter', 'flora i botanikk', 'plantemateriale', 'plantæ', 'planteslag'];Rike av fleircella organismar
ecological-collective;['herniaria'];Planteslekt
ecological-collective;['skog', 'wälder', 'skau', 'skogar'];Etternamn
event;['caduta massi', 'steinras'];Wikimedia-fleirtydingsside
event;['snøras', 'flakras', 'kramfonn', 'kramras', 'mjellras', 'snøskred'];Plutseleg, drastisk strøm av snø nedover ein bratt skråning
event;['bow wow'];Amerikansk musikar og skodespelar
event;['knell'];Etternamn
functional-matter;['b12-vitamin', 'α-(5,6-dimethylbenzimidazolyl)cobamidcyanide', 'kobalamin', 'vitamin b12'];Vassløyseleg vitamin
functional-matter;['pentobarbital'];Kjemisk sambinding
functional-matter;['barbital'];Kjemisk sambinding
functional-matter;['amobarbital'];Kjemisk sambinding
functional-matter;['cefuroksim'];Kjemisk sambinding
functional-matter;['bauksitt', 'bauxitt', 'aluminiummalm'];Sedimentær bergart som er rik på aluminium
functional-matter;['sukrose', 'bordsukker', 'rørsukker'];Kjemisk sambinding
functional-matter;['tetrakain', 'ametokain'];Kjemisk sambinding
functional-matter;['metylenblått', 'metyltioninklorid'];Kjemisk sambinding
functional-matter;['mannitol'];Kjemisk sambinding
functional-matter;['pille', 'tablett'];legemiddelform (tablett eller kapsel)
functional-matter;['pille', 'tablett'];legemiddelform som er tenkt til inntak gjennom munnen
functional-matter;['disulfiram'];Kjemisk sambinding
functional-matter;['mepakrin', 'quinakrin'];Kjemisk sambinding
functional-matter;['dimenhydrinat'];Kjemisk sambinding
functional-matter;['famotidin'];Kjemisk sambinding
functional-matter;['merkaptopurin'];Kjemisk sambinding
functional-matter;['tolazamid'];Kjemisk sambinding
functional-matter;['mdma', 'ecstasy', 'molly', '3,4-mdma', '3,4-metylendioksymetamfetamin', 'adam', 'beans', 'e', 'happy pills', 'knips', 'love drug', 'ma', 'mandy', 'md', 'mdma-krystaller', 'mdma-piller', 'midomafetamine', 'the love drug', 'x', 'xtc'];Kjemisk sambinding
functional-matter;['stimulantia', 'sentralstimulerande middel', 'sentralstimulerande', 'psykostimulantia', 'sentralstimulantia', 'sentralstimulerande stoff'];Type psykoaktivt stoff
functional-matter;['kopar', 'cu', '29cu', 'grunnstoff 29', 'kobber'];Grunnstoff med kjemisk symbol Cu og atomnummer 29
functional-matter;['bromtymolblått', 'btb'];Kjemisk sambinding
functional-matter;['e-vitamin', 'vitamin e'];Generisk nemning for tokoferolar og tokotrienolar som syner alfatokerolaktivitet
functional-matter;['mestranol'];Kjemisk sambinding
functional-matter;['oksacillin'];Kjemisk sambinding
functional-matter;['griseofulvin'];Kjemisk sambinding
functional-matter;['follikkelstimulerande hormon', 'fsh', 'α-fsh', 'β-fsh'];Kjemisk sambinding
functional-matter;['adenokortikotropt hormon', 'adrenokortikotropt hormon', 'acth'];Kjemisk sambinding
functional-matter;['psilocybin', 'psilosybin'];Kjemisk sambinding
functional-matter;['veksthormon', 'hgh', 'gh', 'humant veksthormon', 'somatotropin', 'somatropin'];Type peptidhormon
functional-matter;['melanocyttstimulerande hormon', 'melanotropin', 'msh'];Kjemisk sambinding
functional-matter;['cinkokain', 'dibukain'];Kjemisk sambinding
functional-matter;['metylfenobarbital', '5-etyl-5-fenylbarbitursyre', 'mefobarbital'];Kjemisk sambinding
functional-matter;['klorheksidin'];Kjemisk sambinding
functional-matter;['anthelmintikum', 'anthelmintika'];Middel som drep parasittære innvolsmakkar
functional-matter;['ipekakuanharot', 'brekkmiddel'];Kjemisk sambinding
functional-matter;['sukralfat'];Kjemisk sambinding
functional-matter;['analgetika', 'analgetikum', 'smertelindrande middel', 'smertelindrande stoff', 'smertestillande', 'smertestillande middel', 'smertestillande stoff'];Middel som døyver smerte
functional-matter;['dekstropropoksyfen'];Kjemisk sambinding
functional-matter;['talk', 'talkskifer'];Kjemisk sambinding
functional-matter;['isokarboksazid'];Kjemisk sambinding
functional-matter;['halotan'];Kjemisk sambinding
functional-matter;['enfluran'];Kjemisk sambinding
functional-matter;['ibuprofen', 'c13h18o2'];Kjemisk sambinding
functional-matter;['cefoperazon'];Kjemisk sambinding
functional-matter;['cefotaksim'];Kjemisk sambinding
functional-matter;['ceftriakson'];Kjemisk sambinding
functional-matter;['ceftazidim'];Kjemisk sambinding
functional-matter;['bacitracin'];Kjemisk sambinding
functional-matter;['megestrol'];Kjemisk sambinding
functional-matter;['radiofarmakum', 'radioaktive legemiddel', 'radioaktivt legemiddel', 'radiofarmaka'];Wikimedia-listeartikkel
functional-matter;['kamfer'];Kjemisk sambinding
functional-matter;['talidomid', 'thalidomid'];Kjemisk sambinding
functional-matter;['meprobamat'];Kjemisk sambinding
functional-matter;['magevelling', 'chymus', 'kymus'];halvfast og delvis fordøydd mat i magesekken som tømmest ut i tolvfingertarmen gjennom mageporten
functional-matter;['paisleymønster', 'dropemønster', 'paisley', 'paisleymotiv'];Motiv i bilde
functional-matter;['kortikosteroid'];Steroidhormon
