activity;['সিনেমা'];সিনেমা অইলতা শিল্পর আরাক মেঠেল যেহাত চলমান দৃশ্য পর্দাত দৃম্যমান অয়া নিকুলের।
political-geographic-object;['একুয়াটরিয়াল গায়ানা'];একুয়াটরিয়াল গায়ানার পুরা নাঙহান প্রজাতন্ত্রি একুয়াটরিয়াল গায়ানা, এহান আফ্রিকা মহাদেশ বারো হমবুক আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ মালাবো।রাষ্ট্র এহানর মানুরে/নাগরিকরে একুয়াটরিয়াল গায়ানান বুলতারা।
political-geographic-object;['সেন্ট কিট্\u200cস বারো নেভিস'];{{দেশর পৌরঝাপি | |native name = Saint Kitts and Nevis |conventional long name = ফেডারেশন অব সেন্ট কিট্‌স বারো নেভিস |common name = সেন্ট কিট্‌স বারো নেভিস |image flag = Flag of Saint Kitts and Nevis.svg |image coat = St Kitts and Nevis coa.gif |image map = LocationSaintKittsAndNevis.png |national motto = |national anthem = O Land of Beauty!. |official languages = ইংরেজি ঠার |capital = বাসেট্টেরে |মাপাহান = ১৭°২০′ঔ ৬২°৪৫′পি |largest city = |government type = সংসদীয় গনতন্ত্র |leader title1 = রাষ্ট্রমাপু |leader name1 =
political-geographic-object;['কোমোরোস'];কোমোরোসর পুরা নাঙহান ইউনিয়ন কোমোরোস, এহান আফ্রিকা মহাদেশ বারো মুঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ মোরোনি।রাষ্ট্র এহানর মানুরে/নাগরিকরে কোমোরিয়ান বুলতারা।
political-geographic-object;['ডোমিনিকা'];ডোমিনিকার পুরা নাঙহান কমনৱেলথ ডোমিনিকা, এহান ঔয়াং আমেরিকা মহাদেশ বারো ক্যারিবিয়ান উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ রসেয়াউ।রাষ্ট্র এহানর মানুরে/নাগরিকরে ডোমিনিকান বুলতারা।
political-geographic-object;['সান্টা লউসিয়া'];সান্টা লউসিয়া, এহান ব্রাজিলর খা লয়ার পারানা রাজ্যর পৌরসভা আহান।
political-geographic-object;['ডিস্টিরিয় ফেডারেল'];ডিস্টিরিয় ফেডারেল, এহান ব্রাজিলর হমবুক-পিছ লয়ার রাজ্য আহান।
political-geographic-object;['সুইজারল্যান্ড', 'ch'];সুইজারল্যান্ডর পুরা নাঙহান সুইজারল্যান্ড কনফেডারেশন, এহান ইউরোপ মহাদেশ বারো পিসেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ বের্নে।রাষ্ট্র এহানর মানুরে/নাগরিকরে সুইজ বুলতারা।
political-geographic-object;['তিলপা আরব আমিরাত'];তিলপা আরব আমিরাতর পুরা নাঙহান তিলপা আরব আমিরাত, এহান এশিয়া মহাদেশ বারো পিসেদের এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ আবুধাবি।রাষ্ট্র এহানর মানুরে/নাগরিকরে আমিরিয়ান বুলতারা।
political-geographic-object;['সোভিয়েত ইউনিয়ন'];মডেল:Infobox Former Country
political-geographic-object;['ফ্যাঞ্চ পলিনেসিয়া'];ফ্যাঞ্চ পলিনেসিয়ার পুরা নাঙহান টেরিটরি অফ ফ্যাঞ্চ পলিনেসিয়া, এহান ওশেনিয়া মহাদেশ বারো ওশেনিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ পাপীটে।রাষ্ট্র এহানর মানুরে/নাগরিকরে পলিনেসিয়ান বুলতারা।
political-geographic-object;['লুক্সেমবুর্গ'];লুক্সেমবুর্গর পুরা নাঙহান মাহান ডাচি লুক্সেমবুর্গ, এহান ইউরোপ মহাদেশ বারো পিসেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ লুক্সেমবার্গ।রাষ্ট্র এহানর মানুরে/নাগরিকরে লুক্সেমবুর্গার বুলতারা।
political-geographic-object;['মরক্কো'];মরক্কোর পুরা নাঙহান রাজতান্ত্রিক মরক্কো, এহান আফ্রিকা মহাদেশ বারো ঔয়াঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ রাবাত।রাষ্ট্র এহানর মানুরে/নাগরিকরে মরক্কান বুলতারা।
political-geographic-object;['তিলপারাজ্য'];তিলপারাজ্যর পুরা নাঙহান রাজতান্ত্রিক তিলপারাজ্য, এহান ইউরোপ মহাদেশ বারো ঔয়াঙেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ লন্ডন।রাষ্ট্র এহানর মানুরে/নাগরিকরে ব্রিটন বুলতারা।
political-geographic-object;['স্পেন'];স্পেনর পুরা নাঙহান রাজতান্ত্রিক স্পেন, এহান ইউরোপ মহাদেশ বারো খায়েদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ মাদ্রিদ।রাষ্ট্র এহানর মানুরে/নাগরিকরে স্পানিয়ার্ড বুলতারা।
political-geographic-object;['সৌদি আরব'];সৌদি আরবর পুরা নাঙহান রাজতান্ত্রিক সৌদি আরব, এহান এশিয়া মহাদেশ বারো পিসেদের এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ রিয়াদ।রাষ্ট্র এহানর মানুরে/নাগরিকরে সৌদি আরবিয়ান বুলতারা।
political-geographic-object;['চাদ'];চাদর পুরা নাঙহান প্রজাতন্ত্রি চাদ, এহান আফ্রিকা মহাদেশ বারো হমবুক আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ন’ডজামেনা।রাষ্ট্র এহানর মানুরে/নাগরিকরে চাদিয়ান বুলতারা।
political-geographic-object;['তাজিকিস্তান'];তাজিকিস্তানর পুরা নাঙহান প্রজাতন্ত্রি তাজিকিস্তান, এহান এশিয়া মহাদেশ বারো খা-হমবুক এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ দুসানবে।রাষ্ট্র এহানর মানুরে/নাগরিকরে তাজিক বুলতারা।
political-geographic-object;['উগান্ডা', 'uganda'];উগান্ডার পুরা নাঙহান প্রজাতন্ত্রি উগান্ডা, এহান আফ্রিকা মহাদেশ বারো মুঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ কামপালা।রাষ্ট্র এহানর মানুরে/নাগরিকরে উগান্ডান বুলতারা।
political-geographic-object;['বেলারুস'];বেলারুসর পুরা নাঙহান প্রজাতন্ত্রি বেলারুস, এহান ইউরোপ মহাদেশ বারো মুঙেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ মিন্সক।রাষ্ট্র এহানর মানুরে/নাগরিকরে বেলারুসিয়ান বুলতারা।
political-geographic-object;['মালাবি'];মালাবির পুরা নাঙহান প্রজাতন্ত্রি মালাবি, এহান আফ্রিকা মহাদেশ বারো মুঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ লিলঙৱে।রাষ্ট্র এহানর মানুরে/নাগরিকরে মালাউইয়ান বুলতারা।
political-geographic-object;['জিম্বাবুয়ে'];জিম্বাবুয়ের পুরা নাঙহান প্রজাতন্ত্রি জিম্বাবুয়ে, এহান আফ্রিকা মহাদেশ বারো মুঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ হারারে।রাষ্ট্র এহানর মানুরে/নাগরিকরে জিম্বাবুয়ান বুলতারা।
political-geographic-object;['আজারবাইজান'];আজারবাইজানর পুরা নাঙহান প্রজাতন্ত্রি আজারবাইজান, এহান ইউরোপ মহাদেশ বারো মুঙেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ বাকু।রাষ্ট্র এহানর মানুরে/নাগরিকরে আজারবাইজানিয়ান বুলতারা।
political-geographic-object;['কিরগিজিস্তান'];কিরগিজিস্তানর পুরা নাঙহান কিরগিজি প্রজাতন্ত্র, এহান এশিয়া মহাদেশ বারো খা-হমবুক এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ বিশকেক।রাষ্ট্র এহানর মানুরে/নাগরিকরে কিরগিজ বুলতারা।
political-geographic-object;['উজবেকিস্তান'];উজবেকিস্তানর পুরা নাঙহান প্রজাতন্ত্রি উজবেকিস্তান, এহান এশিয়া মহাদেশ বারো খা-হমবুক এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ তাসখন্ড।রাষ্ট্র এহানর মানুরে/নাগরিকরে উজবেক বুলতারা।
political-geographic-object;['মালি', 'malí'];মালির পুরা নাঙহান প্রজাতন্ত্রি মালি, এহান আফ্রিকা মহাদেশ বারো পিসেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ বামাকো।রাষ্ট্র এহানর মানুরে/নাগরিকরে মালিয়ান বুলতারা।
political-geographic-object;['কাজাখস্তান'];কাজাখস্তানর পুরা নাঙহান প্রজাতন্ত্রি কাজাখস্তান, এহান এশিয়া মহাদেশ বারো খা-হমবুক এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ অসতানা।রাষ্ট্র এহানর মানুরে/নাগরিকরে কাজাখ বুলতারা।
political-geographic-object;['মঙ্গোলিয়া'];মঙ্গোলিয়ার পুরা নাঙহান মঙ্গোলিয়া, এহান এশিয়া মহাদেশ বারো মুঙেদের এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ উলান বাটোর।রাষ্ট্র এহানর মানুরে/নাগরিকরে মঙ্গোলিয়ান বুলতারা।
political-geographic-object;['নিউ জার্সি', 'new jersey'];নিউ জার্সি, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর ঔয়াং বারার হমবুক আটলান্টিক লয়া গর রাজ্য আহান.
political-geographic-object;['ইলিনয়স', 'illinóis'];ইলিনয়স, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর হমবুকপিছ বারার মুং-ঔয়াং-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['মিনেসোটা', 'minnesota'];মিনেসোটা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর হমবুকপিছ বারার পিছ-ঔয়াং-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['মিসৌরি', 'missouri'];মিসৌরি, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর হমবুকপিছ বারার পিছ-ঔয়াং-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['মিশিগান', 'michigan'];মিশিগান, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর হমবুকপিছ বারার মুং-ঔয়াং-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['নেব্রাস্কা', 'nebraska'];নেব্রাস্কা, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর হমবুকপিছ বারার পিছ-ঔয়াং-হমবুক লয়া গর রাজ্য আহান.
political-geographic-object;['বেলজিয়াম'];বেলজিয়ামর পুরা নাঙহান রাজতান্ত্রিক বেলজিয়াম, এহান ইউরোপ মহাদেশ বারো পিসেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ব্রাসেলস।রাষ্ট্র এহানর মানুরে/নাগরিকরে বেলজিয়ান বুলতারা।
political-geographic-object;['সোয়াজিল্যান্ড'];সোয়াজিল্যান্ডর পুরা নাঙহান রাজতান্ত্রিক সোয়াজিল্যান্ড, এহান আফ্রিকা মহাদেশ বারো খায়েদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ম্বাবানে।রাষ্ট্র এহানর মানুরে/নাগরিকরে সোয়াজি বুলতারা।
political-geographic-object;['টঙ্গা'];টঙ্গার পুরা নাঙহান রাজতান্ত্রিক টঙ্গা, এহান ওশেনিয়া মহাদেশ বারো পলিনেসিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ নুকুআলোফা।রাষ্ট্র এহানর মানুরে/নাগরিকরে টঙ্গান বুলতারা।
political-geographic-object;['পাকিস্তান'];পাকিস্তানর পুরা নাঙহান ইসলামিক প্রজাতন্ত্রি পাকিস্তান, এহান এশিয়া মহাদেশ বারো খা-হমবুক এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ইসলামাবাদ।রাষ্ট্র এহানর মানুরে/নাগরিকরে পাকিস্তানি বুলতারা।
political-geographic-object;['বাংলাদেশ', 'bangladesh'];বাংলাদেশের পুরা নাম গণপ্রজাতন্ত্রী বাংলাদেশ, এহান এশিয়া মহাদেশ বারো খা-হমবুক এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ঢাকা। রাষ্ট্র এহানর মানুরে/নাগরিকরে বাংলাদেশি বুলতারা। দেশহানর ঔয়াঙ, মুঙ বারো পিসেদের চৌদ্দাহান ভারতর লগে বারো খা-মুঙ চৌদ্দাত মায়ানমার. খায়েদে বঙ্গোপসাগরহান আসে। বাংলাদেশ বারো ভারতর অঙ্গরাজ্য পশ্চিমবঙ্গ তিলয়া বাংলাঠারর লয়া আগ হঙসে যেহানর ঐতিহাসিক নাঙহান “বঙ্গ”
political-geographic-object;['আফগানিস্তান'];আফগানিস্তানর পুরা নাঙহান ইসলামিক প্রজাতন্ত্রি আফগানিস্তান, এহান এশিয়া মহাদেশ বারো খা-হমবুক এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ কাবুল।রাষ্ট্র এহানর মানুরে/নাগরিকরে আফগান বুলতারা।
political-geographic-object;['অস্ট্রিয়া'];অস্ট্রিয়ার পুরা নাঙহান প্রজাতন্ত্রি অস্ট্রিয়া, এহান ইউরোপ মহাদেশ বারো পিসেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ভিয়েনা।রাষ্ট্র এহানর মানুরে/নাগরিকরে অস্ট্রিয়ান বুলতারা।
political-geographic-object;['লাওস'];লাওসর পুরা নাঙহান লাও গণ-প্রজাতন্ত্র, এহান এশিয়া মহাদেশ বারো খা-মুঙেদের এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ভিয়েনটিয়ানে।রাষ্ট্র এহানর মানুরে/নাগরিকরে লাও বুলতারা।
political-geographic-object;['মায়ানমার'];মায়ানমারর পুরা নাঙহান মায়ানমার ইউনিয়ন, এহান এশিয়া মহাদেশ বারো খা-মুঙেদের এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ইয়াঙ্গুন।রাষ্ট্র এহানর মানুরে/নাগরিকরে বার্মিজ বুলতারা।
political-geographic-object;['কম্বোডিয়া'];কম্বোডিয়ার পুরা নাঙহান রাজতান্ত্রিক কম্বোডিয়া, এহান এশিয়া মহাদেশ বারো খা-মুঙেদের এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ফনোম পেন।রাষ্ট্র এহানর মানুরে/নাগরিকরে কম্বোডিয়ান বুলতারা।
political-geographic-object;['অস্ট্রেলিয়া'];অস্ট্রেলিয়ার পুরা নাঙহান কমনৱেলথ অস্ট্রেলিয়া, এহান ওশেনিয়া মহাদেশ বারো অষ্ট্রেলিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ক্যানবেরা।রাষ্ট্র এহানর মানুরে/নাগরিকরে অস্ট্রেলিয়ান বুলতারা।
political-geographic-object;['কানেকটিকাট', 'connecticut', 'কানেটিকাট'];কানেকটিকাট, এহান তিলপারাষ্ট্র বা মার্কিন যুক্তরাষ্ট্রর ঔয়াং বারার নিউ ইংল্যান্ড লয়া গর রাজ্য আহান.
political-geographic-object;['অন্তফাগস্টা', 'antofagasta'];অন্তফাগস্টা
political-geographic-object;['ট্রোনডেহিম', 'trondheim'];ট্রোনডেহিম, এহান নরৱের সার-ট্রান্ডেলাগ কাউন্টির ট্রান্ডেলাগ লয়ার/প্রভিন্সর পৌরসভা বা মিউনিসিপালিটি আহান।
political-geographic-object;['ওরান', 'oran'];ওরান, ভারতর উত্তর প্রদেশ রাজ্যর বান্দা জিলার নগর পঞ্চায়েত-শাসিত শহর আগ।
political-geographic-object;['বারগেন', 'bergen'];বারগেন, এহান নরৱের হোর্দলেন্ড কাউন্টির বেস্টলেন্ডেট লয়ার/প্রভিন্সর পৌরসভা বা মিউনিসিপালিটি আহান।
political-geographic-object;['মাকাউ'];মাকাউর পুরা নাঙহান গনচীনর মার্কো বিশেষ প্রশাসনিক লয়া, এহান এশিয়া মহাদেশ বারো এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ মাকাউ।রাষ্ট্র এহানর মানুরে/নাগরিকরে মাকানিজ বুলতারা।
political-geographic-object;['ভুটান'];ভুটানর পুরা নাঙহান রাজতান্ত্রিক ভুটান, এহান এশিয়া মহাদেশ বারো খা-হমবুক এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ থিম্পু।রাষ্ট্র এহানর মানুরে/নাগরিকরে ভুটানিজ বুলতারা।
political-geographic-object;['তুর্কমেনিস্তান'];তুর্কমেনিস্তানর পুরা নাঙহান তুর্কমেনিস্তান, এহান এশিয়া মহাদেশ বারো খা-হমবুক এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ অশগাবাট।রাষ্ট্র এহানর মানুরে/নাগরিকরে তুর্কমেন বুলতারা।
political-geographic-object;['রুয়ান্ডা'];রুয়ান্ডার পুরা নাঙহান প্রজাতন্ত্রি রুয়ান্ডা, এহান আফ্রিকা মহাদেশ বারো মুঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ কিগালি।রাষ্ট্র এহানর মানুরে/নাগরিকরে রুয়ান্ডান বুলতারা।
political-geographic-object;['জাম্বিয়া'];জাম্বিয়ার পুরা নাঙহান প্রজাতন্ত্রি জাম্বিয়া, এহান আফ্রিকা মহাদেশ বারো মুঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ লুসাকা।রাষ্ট্র এহানর মানুরে/নাগরিকরে জাম্বিয়ান বুলতারা।
political-geographic-object;['গনতান্ত্রিক কঙ্গো প্রজাতন্ত্র'];গনতান্ত্রিক কঙ্গো প্রজাতন্ত্রর পুরা নাঙহান গনতান্ত্রিক কঙ্গো প্রজাতন্ত্র, এহান আফ্রিকা মহাদেশ বারো হমবুক আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ কিনসাসা।রাষ্ট্র এহানর মানুরে/নাগরিকরে কঙ্গোলিজ বুলতারা।
political-geographic-object;['হন্ডুরাস', 'honduras'];হন্ডুরাসর পুরা নাঙহান প্রজাতন্ত্রি হন্ডুরাস, এহান ঔয়াং আমেরিকা মহাদেশ বারো হমবুক আমেরিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ তেগুচিগালপা।রাষ্ট্র এহানর মানুরে/নাগরিকরে হন্ডুরান বুলতারা।
political-geographic-object;['গুয়াতেমালা', 'guatémala'];গুয়াতেমালার পুরা নাঙহান প্রজাতন্ত্রি গুয়াতেমালা, এহান ঔয়াং আমেরিকা মহাদেশ বারো হমবুক আমেরিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ গুৱাতেমালা সিটি।রাষ্ট্র এহানর মানুরে/নাগরিকরে গুয়াতেমালান বুলতারা।
political-geographic-object;['কোস্টা রিকা'];কোস্টা রিকার পুরা নাঙহান প্রজাতন্ত্রি কোস্টা রিকা, এহান ঔয়াং আমেরিকা মহাদেশ বারো হমবুক আমেরিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ সান জোসে।রাষ্ট্র এহানর মানুরে/নাগরিকরে কোস্টা রিকান বুলতারা।
political-geographic-object;['হাঙ্গেরী'];হাঙ্গেরীর পুরা নাঙহান প্রজাতন্ত্রি হাঙ্গেরী, এহান ইউরোপ মহাদেশ বারো মুঙেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ বুদাপেস্ট।রাষ্ট্র এহানর মানুরে/নাগরিকরে হাঙ্গেরীয়ান বুলতারা।
political-geographic-object;['পোল্যান্ড'];পোল্যান্ডর পুরা নাঙহান প্রজাতন্ত্রি পোল্যান্ড, এহান ইউরোপ মহাদেশ বারো মুঙেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ৱারসো।রাষ্ট্র এহানর মানুরে/নাগরিকরে পোলে বুলতারা।
political-geographic-object;['বুরুন্ডি', 'burundí'];বুরুন্ডির পুরা নাঙহান প্রজাতন্ত্রি বুরুন্ডি, এহান আফ্রিকা মহাদেশ বারো মুঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ বুজুমবুরা।রাষ্ট্র এহানর মানুরে/নাগরিকরে বুরুন্ডিয়ান বুলতারা।
political-geographic-object;['তাঞ্জানিয়া'];তাঞ্জানিয়ার পুরা নাঙহান তিলপা তাঞ্জানিয়া প্রজাতন্ত্র, এহান আফ্রিকা মহাদেশ বারো মুঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ দোদোমা।রাষ্ট্র এহানর মানুরে/নাগরিকরে তাঞ্জানিয়ান বুলতারা।
political-geographic-object;['গিনি'];গিনির পুরা নাঙহান প্রজাতন্ত্রি গিনি, এহান আফ্রিকা মহাদেশ বারো পিসেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ কোনাক্রি।রাষ্ট্র এহানর মানুরে/নাগরিকরে গিনিয়ান বুলতারা।
political-geographic-object;['সোমালিয়া'];সোমালিয়ার পুরা নাঙহান সোমালিয়া, এহান আফ্রিকা মহাদেশ বারো মুঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ মোগাদিসু।রাষ্ট্র এহানর মানুরে/নাগরিকরে সোমালি বুলতারা।
political-geographic-object;['ভিয়েতনাম'];ভিয়েতনামর পুরা নাঙহান সমাজতান্ত্রিক প্রজাতন্ত্রি ভিয়েতনাম, এহান এশিয়া মহাদেশ বারো খা-মুঙেদের এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ হ্যানয়।রাষ্ট্র এহানর মানুরে/নাগরিকরে ভিয়েতনামিজ বুলতারা।
political-geographic-object;['লিবিয়া'];লিবিয়ার পুরা নাঙহান মহান সমাজতান্ত্রিক গন লিবিয়ান আরব জামাহিরিয়া, এহান আফ্রিকা মহাদেশ বারো ঔয়াঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ ত্রিপোলি।রাষ্ট্র এহানর মানুরে/নাগরিকরে লিবিয়ান বুলতারা।
political-geographic-object;['জার্মানি'];জার্মানির পুরা নাঙহান কেন্দ্রীয় প্রজাতন্ত্রি জার্মানি, এহান ইউরোপ মহাদেশ বারো পিসেদের ইউরোপ উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ বার্লিন।রাষ্ট্র এহানর মানুরে/নাগরিকরে জার্মান বুলতারা।
political-geographic-object;['সুদান', 'sudan'];সুদানর পুরা নাঙহান প্রজাতন্ত্রি সুদান, এহান আফ্রিকা মহাদেশ বারো ঔয়াঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ খার্তুম।রাষ্ট্র এহানর মানুরে/নাগরিকরে সুদানিজ বুলতারা।
political-geographic-object;['মিশর'];মিশরর পুরা নাঙহান আরব প্রজাতন্ত্রি মিশর, এহান আফ্রিকা মহাদেশ বারো ঔয়াঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ কায়রো।রাষ্ট্র এহানর মানুরে/নাগরিকরে মিশরি বুলতারা।
political-geographic-object;['গায়েনা'];গায়েনার পুরা নাঙহান সমবায় প্রজাতন্ত্রি গায়েনা, এহান খা আমেরিকা মহাদেশ বারো খা আমেরিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ জর্জটাউন।রাষ্ট্র এহানর মানুরে/নাগরিকরে গায়ানিজ বুলতারা।
political-geographic-object;['সুরিনাম'];সুরিনামর পুরা নাঙহান প্রজাতন্ত্রি সুরিনাম, এহান খা আমেরিকা মহাদেশ বারো খা আমেরিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ পারামারিবো।রাষ্ট্র এহানর মানুরে/নাগরিকরে সুরিনামের বুলতারা।
political-geographic-object;['ভেনেজুয়েলা'];ভেনেজুয়েলার পুরা নাঙহান বলিবারিয়ান প্রজাতন্ত্রি ভেনেজুয়েলা, এহান খা আমেরিকা মহাদেশ বারো খা আমেরিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ কারাকাস।রাষ্ট্র এহানর মানুরে/নাগরিকরে ভেনেজুয়েলান বুলতারা।
political-geographic-object;['আলজেরিয়া'];আলজেরিয়ার পুরো নাম গণ-গনতান্ত্রিক প্রজাতন্ত্রি আলজেরিয়া, এহান আফ্রিকা মহাদেশ বারো ঔয়াঙেদের আফ্রিকা উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ আলজিয়ার্স।রাষ্ট্র এহানর মানুরে/নাগরিকরে আলজেরিয়ান বুলতারা।
political-geographic-object;['কোলোমবিয়া', 'colômbia'];কোলোমবিয়া, এহান ব্রাজিলর খামুঙ লয়ার সাও পাউলো রাজ্যর পৌরসভা আহান।
political-geographic-object;['ভারত'];ভারতর পুরা নাঙহান প্রজাতন্ত্রি ভারত, এহান এশিয়া মহাদেশ বারো খা-হমবুক এশিয়া উপমহাদেশর দেশ আহান। দেশ এহানর রাজধানীগ নুৱা দিল্লি।রাষ্ট্র এহানর মানুরে/নাগরিকরে ভারতীয় বুলতারা। == ভৌগলিক উপাত্ত == দেশ এহানার আয়তনহান ৩,২৮৭,২৬৩ বর্গ কিলোমিটার অতার মা মাটিহান ২,৯৭৩,১৯০ ব.কিমি., পানিহান ৩১৪,৪০০ ব.কিমি।রাষ্ট্র এহানর ভৌগলিক মাপাহান ইলতাই ২০°০০′ঔ ৭৭°০০′মু === চৌদ্দাহান === মুঙেদে: --- পিছেদে: --- খায়েদে: --- ঔয়াঙেদে: --- == জনসংখ্যার উপাত্ত == দেশ এহানাত মানু আসিতাই ১১০৩,৩৭১,০০০গ বারো মানুর ঘনহান হারি বর্গ কিলোমিটারে ৩৩৬গ। == ইতিহাসহান == দেশ এহান ব্রিটেনরাঙত আগষ্ট ১৫, মারি ১৯৪৭ত ৱাইসাঙসে। == অর্থনীতি == ভারতর তাংখারে ভারতীয় রূপি বুলতারা বাট্টি করে আইএনএর বুলানি অর।মারি ২০০৬র আনুমানিক হিসাবহানর মাতুঙে দেশ এহানর জিডিপি ৪.১৫৬ ট্রিলিয়ন ডলার বারো মানুগ লেহে ৩৮০০ ডলার == রাজনীতি == দেশ এহানর সরকারর কেন্দ্রীয় প্রজাতন্ত্রর সিজিলন চলের। == চিনৎ == ভারতর জাতীয় চিনৎহানি == প্রশাসনিক লয়াগি == ভারত এহানরে ২৮হান রাজ্য বারো হাতহান কেন্দ্রশাসিত লয়াত ভাগানি অসে। রাজ্য বারো কেন্দ্রশাসিত লয়া এগিরতাউ বারো জেলা, সাবডিভিশন, থানা, গাঙ পঞ্চায়েত এসারে ভাগ আসে। রাজ্যহানি: কেন্দ্রশাসিত অঞ্চলগি: আন্দামান বারো নিকোবর দ্বীপমালা চণ্ডিগড় দাদরা বারো নগর হাভেলী দিল্লী দমন বারো দিউ লাক্ষাদ্বীপ পণ্ডিচেরী == নাংকরা মানু == মহাত্মা গান্ধি এ.পি.জে.
