abstract-quality;['personnalité', 'problème de personnalité', 'caractère'];Combinaison de caractéristiques émotionnelles, d'attitude et de comportement d'un individu
agentive-physical-object;['silene latifolia', 'compagnon blanc', 'silene pratensis', 'silene alba', 'lychnide blanche', 'lychnis alba', 'lychnis soir', 'silene vulgaris'];Espèce de plantes
agentive-physical-object;['hirondelle bicolore', 'tachycineta bicolor', 'iridoprocne bicolor', 'à ventre blanc hirondelle'];Espèce d'oiseaux
agentive-physical-object;['charina bottae', 'boa caoutchouc', 'charina bottae utahensis', 'charina brachyops', 'tortrix bottae', 'wenona isabella', 'wenona plumbea', 'remorque serpent à tête'];Espèce de serpents
agentive-physical-object;['myrica gale', 'piment royal', 'bois-sent-bon', 'galé odorant', 'myrique baumier', 'myrte bâtard', 'myrte des marais', 'piment aquatique', 'ou', 'ou myrique baumier', "ou pour les francophones d'amérique le", 'myrique', 'scotch tempête'];Plante arbustive de la famille des Myricaceae
agentive-physical-object;['nasalis larvatus', 'singe de trompe', 'long nez', 'long-nez', 'nasalis', 'semnopithèque nasique', 'singe à trompe', 'nasique', 'proboscis monkey'];Espèce d'animaux
agentive-physical-object;['mugilidae', 'mulet', 'mugilidés'];Famille de poissons
agentive-physical-object;['chlorophthalmidae', 'greeneye'];Famille de poissons
agentive-physical-object;['mûre', 'rubus subg. rubus', 'meuron', 'mûre sauvage', 'mûron', 'ronce', 'mûres', 'mûrier'];Sous-genre de plantes
agentive-physical-object;['fruit de la passion', 'grenadille', 'passiflora edulis', 'fruits de la passion', 'maracudja', 'maracuja', 'pomme-liane', 'granadillo violet'];Plante grimpante
agentive-physical-object;['dalbergia cearensis', 'bois de violette', 'violette arbre'];Espèce de plantes
agentive-physical-object;['bougainvillea glabra', 'fleur de papier'];Espèce de plante
agentive-physical-object;['berger allemand', 'berger alsacien', "berger d'alsace", 'alsatian', 'alsacien', 'alsacienne', 'berger allemand chien', 'bergers allemands', 'chien de berger allemand', 'chien de la police allemande'];Race de chiens
agentive-physical-object;['malamute', "malamute de l'alaska", 'malamute de l’alaska', 'alaskan malamute', "malamute d'alaska", 'malemute'];Race de chiens d'Alaska
agentive-physical-object;['welsh', 'poney welsh', 'welsh mountain', 'poney gallois', 'poney gallois des montagnes', 'welsh b'];Races de chevaux
agentive-physical-object;['bichon maltais', 'maltais', 'chien maltais', 'maltese terrier'];Race de chiens
agentive-physical-object;['griffon', 'petits chiens belges', 'griffon bruxellois', 'petit chien belge', 'petit brabancon', 'smousje', 'brussels griffon', 'griffon belge'];Race de chiens
agentive-physical-object;['griffon', 'petits chiens belges', 'griffon bruxellois', 'petit chien belge', 'petit brabancon', 'smousje', 'brussels griffon', 'griffon belge'];L''une de trois races de petits chiens belges
agentive-physical-object;['loulou de poméranie', 'spitz nain', 'poméranien'];Race de chiens
agentive-physical-object;['shetland', 'poney shetland', 'le poney shetland', 'le poney de race shetland', 'mini-shetland'];Race de chevaux
agentive-physical-object;['ctenocephalides felis', 'puce du chat', 'puce chat'];Espèce d'insectes
agentive-physical-object;['phalarope de wilson', 'steganopus tricolor', 'phalaropus tricolor', 'steganopus tricolore'];Espèce d'animaux
agentive-physical-object;["loriot d'europe", 'oriolus oriolus', 'coracias oriolus', 'loriot'];Espèce d'oiseaux
agentive-physical-object;['chrysomelidae', 'chrysomèle', 'chrysomèles'];Famille de coléoptères
agentive-physical-object;['faisan doré', 'chrysolophus pictus', 'faisan chinois', 'faisan dore', 'faisan peint', 'faisan rouge', 'faisan tricolor', 'phasianus pictus', 'tricolor huppé', 'golden pheasant'];Espèce d'animaux
agentive-physical-object;['mullidae', 'mullidé', 'rouget', 'mullus surmuletus', 'surmulet', 'surmullet'];Famille de poissons
agentive-physical-object;['lophophorus', 'monal', 'monaul'];Oiseau
agentive-physical-object;['hampshire', 'hampshire down', 'hampshire vers le bas'];Race ovine du Royaume-Uni
agentive-physical-object;['prosopium cylindraceum', 'ménomini rond', 'menominee corégone'];Espèce de poissons
agentive-physical-object;['ours kodiak', 'ursus arctos middendorffi', 'kodiak ours', "l'ours brun d'alaska", 'ursus middendorffi'];Sous-espèce d'ours brun
agentive-physical-object;['polyprionidae', 'polyprion americanus', 'cernier commun', 'cernier', 'mérou'];Famille de poissons
agentive-physical-object;['charançon du riz', 'charancon du riz', 'sitophilus oryzae', 'sitophilus orzyae', 'charançon noir', 'le charançon du riz', 'sitophylus oryzae'];Espèce d''insectes
agentive-physical-object;['alouette des champs', 'alauda arvensis', 'alouette'];Oiseau
agentive-physical-object;['bruant ortolan', 'ortolan', 'emberiza hortulana', 'becfigue'];Espèce d'oiseaux
agentive-physical-object;['ambystoma', 'ambystoma talpoideum', 'axolot', 'axoloteles', 'axolotus', 'bathysiredon', 'camarataxis', 'desmiostoma', 'heterotriton', 'lanebatrachus', 'limnarches', 'linguaelapsus', 'ogallalabatrachus', 'pectoglossa', 'philhydrus', 'phillhydrus', 'plagiodon', 'plioambystoma', 'rhyacosiredon', 'salamandra talpoidea', 'salamandroidis', 'siredon', 'sirenodon', 'stegoporus', 'xiphoctonus', 'xiphonura', 'salamandre taupe', 'talpoideum ambystoma', 'taupe salamandre'];Espèce d'amphibiens
agentive-physical-object;['ambystoma', 'ambystoma talpoideum', 'axolot', 'axoloteles', 'axolotus', 'bathysiredon', 'camarataxis', 'desmiostoma', 'heterotriton', 'lanebatrachus', 'limnarches', 'linguaelapsus', 'ogallalabatrachus', 'pectoglossa', 'philhydrus', 'phillhydrus', 'plagiodon', 'plioambystoma', 'rhyacosiredon', 'salamandra talpoidea', 'salamandroidis', 'siredon', 'sirenodon', 'stegoporus', 'xiphoctonus', 'xiphonura', 'salamandre taupe', 'talpoideum ambystoma', 'taupe salamandre'];Genre d''amphibiens
agentive-physical-object;["colchique d'automne", 'colchicum autumnale', 'colchique d’automne', 'colchique', 'autumn crocus', 'safran meadow'];Espèce de plantes
agentive-physical-object;['oignon', 'ognon', 'allium cepa', 'oignons', 'onion', "confit d'oignons", 'oignon blanc', 'oignon rouge', 'allium', 'oignon plante'];Espèce de plantes
agentive-physical-object;['oignon', 'ognon', 'allium cepa', 'oignons', 'onion', "confit d'oignons", 'oignon blanc', 'oignon rouge', 'allium', 'oignon plante'];Ingrédient culinaire
agentive-physical-object;['pygargue à queue blanche', 'haliaeetus albicilla', 'pygargue a queue blanche', 'aigle barbu', 'albatros', 'ern', 'européenne aigle de mer', 'gris aigle de mer', 'haliatus albicilla', 'white-tailed sea eagle'];Espèce d'oiseaux
agentive-physical-object;['aplodontia rufa', 'aplodontia', 'castor de montagne', 'aplodonte', 'aplodontidae', 'montagne beaver', 'montagne castor', 'sewellel'];Espèce de mammifères de la famille des Aplodontidae
agentive-physical-object;['grande bardane', 'arctium lappa', 'bardane comestible', 'bardane géante', 'bardane majeure', 'glouteron', 'herbe aux teigneux', 'lampourde', 'une plus grande bardane'];Plante de la famille des Asteraceae
agentive-physical-object;['tatou', 'dasypodidae', 'cingulata', 'dasypodidés', 'famille des tatous', 'tatous'];Famille de mammifères
agentive-physical-object;['palourde', 'clam', 'bivalves', 'bivalvia', 'palourdes', 'clovisse', 'clovisses'];Nom vernaculaire de plusieurs espèces de mollusques bivalves comestibles
agentive-physical-object;['cricetomyinae', 'geomyidae', 'gaufre', 'souslik', 'rat à poche', 'géomyidé', 'géomyidés', 'saccomys', 'saccophore', 'gopher'];Famille de mammifères
agentive-physical-object;['tortue du désert', 'gopherus agassizii', "gophère d'agassiz", 'tortue du desert', 'xerobates agassizii', 'xerobates lepidocephalus'];Espèce de reptiles
agentive-physical-object;['rena humilis', 'rena dugesii', 'rena segrega', 'leptotyphlops humilis', 'leptotyphlops humilis chihuahuaensis', 'leptotyphlops humilis levitoni', 'leptotyphlops humilis lindsayi', 'leptotyphlops humilis slevini', 'rena humilis cahuilae', 'rena humilis chihuahuaensis', 'rena humilis humilis', 'rena humilis levitoni', 'rena humilis lindsayi', 'rena humilis tenuiculus', 'rena humilis utahensis', 'catadon dugesii', 'leptotyphlops humilis segregus', 'rena humilis dugesii', 'rena humilis segregus', 'leptotyphlops humilis cahuilae', 'leptotyphlops humilis utahensis', 'stenostoma tenuiculum', 'ouest serpent aveugle'];Espèce de serpents
agentive-physical-object;['haricot azuki', 'vigna angularis', 'azuki', 'haricot adzuki', 'adzuki', 'asuki', 'aduki', 'haricot rouge du japon', 'haricots adzuki', 'haricots rouges du japon', 'soja rouge', 'adsuki haricots', 'haricots azuki', 'phaseolus angularis'];Espèce de plantes
agentive-physical-object;['tanacetum parthenium', 'grande camomille', 'partenelle', 'pyrèthre doré', 'camomille', 'chrysanthemum parthenium'];Espèce de plantes
agentive-physical-object;['gesse printanière', 'lathyrus vernus', 'athyrus vernus', 'gesse de printemps', 'gesse printaniere', 'lathyrus verna', 'pois-de-pigeon', 'pois de pigeon', 'printemps gesse'];Espèce de plantes
agentive-physical-object;['ambrette', 'hibiscus abelmoschus', 'abelmoschus moschatus', 'abelmosk', 'hibiscus moschatus'];Espèce de plantes
agentive-physical-object;['kali', 'soude commune', 'salicorne', 'saltwort', 'salsola soda', 'cornichon de mer', 'haricot de mer', 'herbe de saint-pierre', 'passe-pierre', 'perce-pierre', 'salicot', 'titinne de souris', 'salsola kali', 'kâlî', 'barilla', 'kelpwort'];Genre de plantes
agentive-physical-object;['felis silvestris silvestris', 'chat sauvage européen', 'chat forestier', "chat sauvage d'europe", 'chat sylvestre', 'felis silvestris', 'catamountain'];Espèce de felin #typedechat
agentive-physical-object;['trichosurus vulpecula', 'phalanger renard', 'cousou', 'opossum à queue en brosse', 'phalanger-renard', 'phalanger commun', 'phalanger vulpin', "opossum d'australie", 'brush-tailed phalanger'];Espèce de mammifères
agentive-physical-object;['peprilus paru', 'harvestfish', 'paprilus alepidotus'];Espèce de poissons
agentive-physical-object;['chou de milan', 'chou de savoie', 'brassica olearacea var. sabauda', 'brassica oleracea var. sabauda', 'chou de pontoise'];Variété de plantes
agentive-physical-object;['acanthocereus tetragonus', 'fruit du dragon', 'pitaya', 'pitahaya', 'acanthocereus pentagonus', 'pitahayas', 'pitahayas cactus'];Espèce de plantes
agentive-physical-object;['caïman à lunettes', 'caiman sclerops', 'alligator chiapasius', 'alligator sclerops', 'caiman a lunettes', 'caiman crocodilus', 'caiman crocodilus apaporiensis', 'caiman crocodilus chiapasius', 'caiman crocodilus crocodilus', 'caiman crocodilus fuscus', 'crocodilus sclerops', 'lacerta crocodilus', 'perosuchus fuscus', 'lunettes caiman'];espèce de crocodiliens
agentive-physical-object;['fritillaria micrantha', 'cloches marron', 'fritillaria parviflora'];Espèce de plantes
agentive-physical-object;['fritillaria pluriflora', 'adobe lys', 'rose nacré'];Espèce de plantes
agentive-physical-object;['argyrotaenia franciscana', 'argyrotaenia citrana', "tordeuse d'orange"];Espèce d'insectes
agentive-physical-object;['apocynum cannabinum', 'apocyn chanvrin', 'chanvre du canada'];Espèce de plantes
agentive-physical-object;['alpiste', 'alpiste des canaries', 'phalaris canariensis', 'blé des canaries', "l'herbe pour oiseaux"];Espèce de plantes
agentive-physical-object;['pecopteris'];Genre de plantes
agentive-physical-object;['chat marsupial', 'dasyure', 'dasyurus', 'chat marsupial moucheté', 'dasyurus viverrinus', 'chat natif', 'quoll', 'quoll est', 'quolls', 'viverrinus dasyurus'];Genre de mammifères
agentive-physical-object;['dimetrodon', 'dimétrodon'];Genre éteint de synapsides eupélycosauriens
agentive-physical-object;['dionée attrape-mouche', 'dionée', 'dionaea muscipula', 'dionee attrape-mouche', 'dionée attrape-mouches', 'gobe-mouche de vénus', 'venus flytrap', 'dionaea', 'venus de flytraps', 'vénus attrape-mouche'];Espèce de plante carnivore
agentive-physical-object;['vache laitière', 'bovins laitiers', 'laitière', 'milcher', 'trayeur', 'vache à lait', 'vaches laitières'];Vache élevée pour son lait
agentive-physical-object;['borrelia burgdorferi', 'b. burgdorferi', 'b. burgorferi', 'borrelia burgdorferi sensu stricto', 'borrelia burgdorferi ss', 'spirochète de la maladie de la chaux'];Espèce de bactéries
agentive-physical-object;['argonauta argo', 'argonaute', 'nautilidae', 'nautile', 'argonauta', 'argonaute voilier', 'papier nautilus', 'unité de salinité pratique', 'nautilus'];Espèce de mollusques
agentive-physical-object;['argonauta argo', 'argonaute', 'nautilidae', 'nautile', 'argonauta', 'argonaute voilier', 'papier nautilus', 'unité de salinité pratique', 'nautilus'];Genre de mollusques
agentive-physical-object;['nautilus pompilius', 'nautile', 'chambré nautilus', 'coquille du nautile', 'nautile coquille', 'pearly nautilus'];Espèce de mollusques
agentive-physical-object;['polychaeta', 'polychètes', 'ver polychète', 'polychète', 'polychaete', 'polychaetes', 'polychæte', 'polychætes', 'bristleworm', 'mollusques poils'];Principale classe des vers annélides
agentive-physical-object;['chilopoda', 'mille-pattes', 'scolopendre', 'chilopodes', 'centipèdes', 'chilopode', 'centipède'];Classe d'arthropodes
agentive-physical-object;['labridae', 'labridés', 'labridé', 'labres', 'labridae famille', 'wrass', 'wrasse'];Famille de poissons
agentive-physical-object;['gevuina avellana', 'noisette chilienne', 'avellano', 'chili écrou', 'guevina avellana', 'guevina heterophylla', 'noisette chili', 'écrou chilienne'];Genre de plantes
agentive-physical-object;['ephedra sinica', 'ma huang', 'éphédra chinois', 'ephedra vulgaris', 'mahuang'];Espèce de plantes
agentive-physical-object;['civette malgache', 'fossa', 'fanaloka', 'civette de madagascar', 'fossa fossana', 'fossane', 'fossa fossa', 'malgache civette'];Genre de mammifères
agentive-physical-object;['civette malgache', 'fossa', 'fanaloka', 'civette de madagascar', 'fossa fossana', 'fossane', 'fossa fossa', 'malgache civette'];Espèce de mammifères
agentive-physical-object;['poivre', 'poivre noir', 'poivrier noir', 'piment', 'poivron', 'piper nigrum', 'poivrier noire', 'poivre des oiseaux', 'poivre blanc', 'poivrier', 'grains de poivre', 'poivre commune', 'poivre de madagascar'];Plante condimentaire
agentive-physical-object;['rotin', 'calamus rotang', 'paume en rotin'];Espèces du Calamus
agentive-physical-object;['sumac vénéneux', 'sumac grimpant', 'herbe à puce', 'toxicodendron radicans', 'rhus radicans', 'yèdre', 'markweed', 'mercure poison', 'poison ivy', 'rhus toxicodendron'];Plante sauvage originaire d'Amérique du Nord
agentive-physical-object;['morue du pacifique', 'gadus macrocephalus', 'alaska morue'];Espèce de poissons
agentive-physical-object;['lupinus texensis'];espèce de plantes
agentive-physical-object;['trèfle douteux', 'trèfle irlandais', 'hop-clover', 'trifolium dubium', 'trefle douteux', 'shamrock', '☘', 'trèfle', 'petit trèfle jaune', 'moindre trèfle jaune'];Espèce de plantes
agentive-physical-object;['trèfle douteux', 'trèfle irlandais', 'hop-clover', 'trifolium dubium', 'trefle douteux', 'shamrock', '☘', 'trèfle', 'petit trèfle jaune', 'moindre trèfle jaune'];Symbole lié à l'Irlande
agentive-physical-object;['lysichiton americanus', 'lysichiton américain', 'faux arum', 'lysichite jaune', 'lysichiton americain', 'lysichiton americanum'];Espèce de plantes
agentive-physical-object;['eleusine indica', 'éleusine des indes', 'herbe cour', 'yardgrass'];Espèce de plantes de la famille des Poaceae
agentive-physical-object;['galeopsis tetrahit', 'ortie royale', 'galéopside à tige carrée', 'galéopsis tétrahit'];Plante de la famille des Lamiaceae
agentive-physical-object;['millet des oiseaux', 'setaria italica', 'setaria italica subsp. mocharicum', "millet d'italie", "sétaire d'italie", 'herbe hongrois', 'millet italien', 'millet queue de renard'];Espèce de plantes
agentive-physical-object;['agaric des jachères', 'agaricus arvensis', 'agaric'];Espèce de champignons
agentive-physical-object;['cerfeuil sauvage', 'anthrisque sauvage', 'anthriscus sylvestris', 'anthrisque des bois', 'cerfeuil des bois', 'persil vache'];Espèce de plantes
agentive-physical-object;['arrhenatherum elatius', 'fromental', 'avoine élevée', 'chiendent à boules', 'ray-grass français', 'avoine fausse', 'danthonie grand', 'herbe des prairies hautes', 'herbe à feuilles persistantes', 'seigle français'];Espèce de plantes
agentive-physical-object;['triosteum', 'café sauvage', 'chaudronnier racine', 'feverroot', 'gentiane cheval', 'triostium perfoliatum'];Genre de plantes
agentive-physical-object;['amphibien', 'batracien', 'amphibia', 'amphibiens', 'batrachofaune', 'batracia', 'batraciens', 'amphibie'];Classe d'animaux tétrapodes
agentive-physical-object;['cryptomys damarensis', 'rat-taupe de damara', 'rat-taupe de damaraland', 'rat-taupe damaraland'];Espèce de mammifères
agentive-physical-object;['nyssa aquatica', 'tupelo aquatique', "la gomme de l'eau"];espèce de plante
agentive-physical-object;['moteur à combustion interne', 'moteurs à combustion interne', '16 soupapes', 'internal combustion engine', 'moteur a combustion interne', 'moteur à combustion interne 2', 'moteur à déflagration', 'moteur de voiture', 'moteurs à combustion', 'véhicule moteur à combustion interne'];Type de machine termique
agentive-physical-object;['sebastes miniatus', 'sebastodes miniatus', 'tranche de bacon', 'vermillon sébastes'];Espèce de poissons
agentive-physical-object;['perce-neige', 'anemone quinquefolia', 'galanthus', 'anemonoides quinquefolia', 'anémone sylvie', 'anémone des bois', 'snowdrop'];Genre de plante
agentive-physical-object;['cabomba caroliniana', 'cabomba'];Espèce de plantes
agentive-physical-object;['choucas des tours', 'choucas', 'coloeus monedula', 'corvus monedula', 'monédule'];Espèce d'oiseaux
agentive-physical-object;['sambucus nigra', 'sambucus coreana', 'sureau noir', 'haut bois', 'sureau', 'baie de sureau', 'sans', 'bourtree'];Sureau
agentive-physical-object;['crapaud calamite', 'bufo calamita', 'bufo calamita var. alpestris', 'bufo calamite', 'bufo cruciatus', 'crapaud des joncs', 'epidalea calamita', 'rana ecaudata', 'rana foetidissima', 'rana mephitica', 'rana portentosa', 'epidalea', 'calamite'];Espèce d'amphibiens
agentive-physical-object;['viverra zibetha', "grande civette d'inde", 'zibeth', 'grande civette indienne', 'civette grande'];Espèce de mammifères
agentive-physical-object;['corallorhiza maculata', 'corallorhize maculée', 'corallorhize occidentale', 'tacheté corail racine'];Espèce d''orchidées
agentive-physical-object;["corneille d'amérique", "corneille d'amerique", 'corneille d’amérique', 'corvus brachyrhynchos', 'corvus brachyrhyncos', "la corneille d'amérique"];Espèce d'oiseaux
agentive-physical-object;['rat brun', 'rattus norvegicus', "rat d'égout", 'rat surmulot', 'surmulot', 'rat gris', "rat d'égoût", 'rat des villes', 'rat de norvège', 'epimys norvegicus', 'mus americanus', 'mus decumanus', 'mus norvegicus', 'rat husky', 'mus hibernicus', 'rat norvège'];Espèce d'animaux
agentive-physical-object;['cardiidae', 'coque', 'bucarde', 'demoiselle', 'hénon', 'maillot', 'rigadeau', 'sourdon', 'cardiidés'];Famille de mollusques bivalves
agentive-physical-object;['agaricus campestris', 'agaric champêtre', 'rosé des prés', 'rose des prés', 'campestris agaricus', 'champignons domaine', 'champignons prairie'];Espèce de champignons
agentive-physical-object;['engelmannia'];Genre de plantes
agentive-physical-object;['vespertilio murinus', 'sérotine bicolore', 'dépoli chauve-souris', 'parti de couleur chauve-souris'];Genre d'animaux
agentive-physical-object;['courlis cendré', 'numenius arquata', 'courlis cendre', 'européenne courlis'];Espèce d'oiseaux
agentive-physical-object;['arum maculatum', 'arum', 'gouet tacheté', 'arum tacheté', 'gouet tachete', 'pied de veau', 'vachotte', 'manteau de la sainte-vierge', 'cuckoopint', 'lords-and-ladies', 'pied-de-veau'];Espèce de plantes
agentive-physical-object;['martinet noir', 'apus apus', 'européenne rapide'];Espèce d'oiseaux
agentive-physical-object;['coucou gris', 'coucou', 'cuculus canorus', 'le coucou gris', "coucou d'europe"];Espèce d'oiseaux
agentive-physical-object;['bouvreuil pivoine', 'bouvreuil', 'pyrrhula pyrrhula', 'bouvreuil ponceau', 'pyrrhula pyrrhula europoea', 'blanc-cul'];Espèce d'oiseaux
agentive-physical-object;['centaurium pulchellum', 'centaurium moins', 'moindre centaurée'];espèce de plantes
agentive-physical-object;['vitis vinifera', 'cépages américains', 'vigne cultivée', 'vigne européenne', 'vigne rouge', 'vigne américaine', 'vignes américaines', 'vitis vinifera vinifera', 'vigne', 'vigne commune', 'vinifera'];Espèce de plante à fleurs
agentive-physical-object;['pie bavarde', 'pica pica', 'ageasse', 'européenne pie', 'pie européenne'];Espèce d'oiseau corvidé
agentive-physical-object;['linaria vulgaris', 'linaire commune', 'chasse-venin', 'linaire sauvage', 'linaire vulgaire', 'linaire', 'beurre et des œufs', 'diable de lin', 'muflier sauvage', 'velvote'];Plante de la famille des Plantaginaceae
agentive-physical-object;['gobemouche gris', 'gobe-mouche gris', 'muscicapa striata', 'gobemouche', 'muscicapa grisola'];Oiseau
agentive-physical-object;['mouche domestique', 'musca domestica', 'mouche commune', 'mouches', 'mouches domestiques'];Espèce d'insectes
agentive-physical-object;['hexagrammos decagrammus', 'sourcils de varech'];Espèce de poissons
agentive-physical-object;['pruche du canada', 'tsuga canadensis', 'tsuga du canada', 'canadensis', 'pruche'];Espèce de plantes de la famille des Pinaceae
agentive-physical-object;['mentha spicata', 'menthe verte', 'menthe douce', 'menthe nana', 'menthe nanah', 'menthe crépue', 'menthe frisée', 'nanah', 'menthe en épi'];Espèce de plantes
agentive-physical-object;['lapin de garenne', 'oryctolagus cuniculus', 'lapin commun', 'lapin européen', 'lapin des bois', 'lapin ordinaire', 'lapin sauvage', 'lapin vulgaire', 'lapins de garenne', 'lapin', 'cuniculus', 'lapin vieux monde', 'oryctolagus'];Espèce d'animaux
agentive-physical-object;['corbeau freux', 'freux', 'corvus frugilegus', 'corbeau freu', 'trypanocorax frugilegus', 'corbeau', 'tour'];Espèce d'oiseaux
agentive-physical-object;['véronique officinale', 'veronica officinalis', 'veronique officinale', 'gypsyweed', 'véronique commune'];Espèce de plantes
agentive-physical-object;['rat noir', 'rattus rattus', 'rat des champs', 'rat des greniers', 'mus alexandrinus', 'rats noirs'];Espèce d'animaux
agentive-physical-object;['esox niger', 'brochet maillé', 'chaîne de brochet'];Espèce de poissons
agentive-physical-object;['urubu à tête rouge', 'cathartes aura', 'vautour aura', 'urubu a tete rouge', 'buse', 'dinde buse', 'urubus à tête rouge'];Espèce d'oiseaux
agentive-physical-object;['moqueur roux', 'harporhynchus rufus', 'toxostoma rufum', 'grive brune', 'le moqueur roux', 'rufums toxostoma'];Espèce d''oiseaux
agentive-physical-object;['écureuil gris', 'sciurus carolinensis', 'écureuil noir', 'eastern gray squirrel', 'ecureuil gris', 'écureuil canadien', 'écureuil gris de caroline', 'écureuil gris de caroline orientale', 'est écureuil gris', "écureuil gris de l'est"];Espèce de mammifères de la famille des Sciuridae
agentive-physical-object;['harle bièvre', 'mergus merganser', 'grand harle', 'harle bievre'];Espèce d'animaux
agentive-physical-object;['macrodactylus subspinosus', 'bug rose', 'cétoine'];Espèce de coléoptères
agentive-physical-object;['bruant vespéral', 'pooecetes gramineus', 'bruant vesperal', 'pooecetes'];Espèce d''oiseaux
agentive-physical-object;['bruant des champs', 'spizella pusilla'];Espèce d''oiseaux
agentive-physical-object;['salamandre sombre du nord', 'desmognathus fuscus', 'salamandre sombre', 'molge arenatus', 'molge brunneus', 'salamandra frontalis', 'salamandra intermixta', 'salamandra phoca', 'salamandra picta', 'salamandra sinciput-albida', 'triturus fuscus', 'triturus nebulosus'];Espèce d'amphibiens
agentive-physical-object;['cornus sericea', 'cornouiller soyeux', 'cornouiller stolonifère', 'cornouiller hart-rouge', 'cornouiller', 'cornus stolonifera', 'redbrush'];Espace d'arbuste
agentive-physical-object;['parthenocissus quinquefolia', 'vigne vierge', 'vigne vierge de virginie', 'vigne vierge vraie', 'vigne-vierge à cinq folioles', 'américaine lierre', 'chèvrefeuille'];Espèce de plants de genre Jungfernreben (Parthenocissus)
agentive-physical-object;['pensée des champs', 'viola arvensis', 'pensee des champs', 'violette des champs', 'pensée'];Plante herbacée
agentive-physical-object;['tanaisie', 'tanaisie commune', 'barbotine', 'tanacetum vulgare', 'tanaisie vulgaire', 'boutons dorés'];Espèce de plantes
agentive-physical-object;['vicia cracca', 'vesce craque', 'vesce cracca', 'pois à crapauds', 'vesce à épis', 'oiseau vesce', 'pois calnada', 'vesce jargeau'];Espèce de plantes
agentive-physical-object;['aralie à tige nue', 'aralia nudicaulis', 'salsepareille sauvage', 'fausse salsepareille', 'salsepareille faux'];Espèce de plantes
agentive-physical-object;['lychnis fleur de coucou', 'lychnis flos-cuculi', 'fleur de coucou', 'silène fleur de coucou', 'œillet des prés', 'silene flos-cuculi', 'ragged robin', 'lychins floscuculi', 'ragged-robin'];Plante de la famille des Caryophyllaceae
agentive-physical-object;['faisan de colchide', 'faisan à collier', 'phasianus colchicus', 'faisan de chasse', 'faisan'];Espèce d'animaux
agentive-physical-object;['macareux moine', 'fratercula arctica', 'perroquet de mer', 'arctica'];Espèce d'oiseaux
agentive-physical-object;['écureuil roux', 'sciurus vulgaris ognevi', 'sciurus vulgaris', "écureuil d'eurasie", "ecureuil d'eurasie", 'ecureuil roux', 'écureuil rouge', 'écureuil', 'écureuils roux'];Espèce de mammifères de la famille des Sciuridae
agentive-physical-object;['plethodon cinereus', 'plethodon huldae', 'salamandra agilis', 'salamandra cinerea', 'salamandra erythronota', 'salamandra puncticulata', 'salamandre cendrée', 'salamandre rayée', 'cinereus', 'est salamandre à dos rouge'];Espèce d'amphibiens
agentive-physical-object;['chlorocebus sabaeus', 'singe vert', 'cercopithecus aethiops sabaeus', 'cercopithecus sabaeus', 'chlorocebus aethiops sabaeus', 'simia diana', 'simia sabaea', 'vervet vert', 'vervet', 'singe vert africain', "singe vert d'afrique"];Espèce d'animaux
agentive-physical-object;['acer negundo', 'négondo', 'érable du manitoba', 'érable negundo', 'erable du manitoba', 'erable negundo', 'acer negondo', 'érable à feuilles composées', 'érable à giguère', 'box elder', 'boxelder', "cendres à feuilles d'érable", 'érable négondo'];Espèce d'arbre
agentive-physical-object;['pie-grièche migratrice', 'lanius ludovicianus', 'pie-grieche migratrice', 'lanius lucovicianus'];Espèce d'oiseaux
agentive-physical-object;['civette indienne', 'viverricula indica', 'viverricula malaccensis', 'civette rasse', 'petite civette', 'rasse', 'viverricula indica schlegelii', 'viverricula', 'civette petite'];Espèce de mammifères
agentive-physical-object;['hirondelle de fenêtre', 'delichon urbica', 'delichon urbicum', 'delichon urbicum lagopodum', 'hirondelle de fenetre', 'delichon lagopodum', 'hirondelle de pallas', 'hirondelle des fenêtres', 'maison martin', 'delichon'];Espèce d'oiseaux
agentive-physical-object;['sylvilagus', "lapin d'amérique", 'lapin américain', "lapins d'amérique", 'au lapin', 'lapin', 'lapin de garenne', 'lapin en bois', 'lapin à'];Genre de mammifères
agentive-physical-object;['pinus virginiana', 'pin de virginie', 'frottez pin', 'jersey pin', 'virginia pine', 'virginie pin'];Espèce de plantes
agentive-physical-object;['bécassine des marais', 'gallinago gallinago', 'becassine des marais', 'capella gallinago', 'bécassine', 'toute snipe'];Espèce d'oiseaux
agentive-physical-object;['piranga orangé', 'piranga à joues grises', 'tangara orangé', 'piranga flava', 'piranga hepatica', 'tangara orange', 'tangara à joues grises', 'hépatique tanager', 'piranga flava hepatica', 'tangara hépatique'];Espèce d''oiseaux
agentive-physical-object;["sarcelle d'hiver", 'sarcelle à ailes vertes', 'anas crecca', 'anas carolinensis', 'anas crecca carolinensis', 'green-winged teal', 'aile verte', "la sarcelle d'hiver"];Espèce d'oiseaux
agentive-physical-object;["sarcelle d'hiver", 'sarcelle à ailes vertes', 'anas crecca', 'anas carolinensis', 'anas crecca carolinensis', 'green-winged teal', 'aile verte', "la sarcelle d'hiver"];Espèce d'animaux
agentive-physical-object;['pithecellobium dulce', "tamarin d'inde", "tamarin de l'inde", "tamarinier d'inde", "tamarinier de l'inde", 'campèche', 'camachile', 'huamachil', 'manille tamarin'];Espèce d''arbres de la famille des Fabacées
