abstract-quality;['osobnosť'];Osobnosť definícií existuje okolo 110.
amount-of-matter;['organická zlúčenina', 'organické látky', 'organické molekuly', 'organická chemická', 'organická chemická zlúčenina', 'organická kvapalina', 'organická látka', 'organické chemikálie', 'organické zlúčeniny', 'organických zlúčenín'];Organické zlúčeniny je označenie veľkej triedy zlúčenín uhlíka, okrem tých najjednoduchších, ktoré z historických dôvodov klasifikujeme ako anorganické.
amount-of-matter;['oxid', 'kysličník', 'oxidy', 'oxidy kovov', 'kysličníky', 'oxidu kovu', 'oxidy prechodných kovov'];Oxid je zlúčenina kyslíka s iným, menej elektronegatívnym prvkom.
amount-of-matter;['anorganická zlúčenina', 'anorganické látky', 'anorganické', 'anorganických zlúčenín'];Anorganická zlúčenina označuje zlučeninu minerálneho, nebiologického, pôvodu.
amount-of-matter;['transurán', 'transurány', 'transuranic element', 'transuranium', 'transuranium prvok', 'transuránov', 'transuránových', 'transuránových prvkov'];Transurány sú chemické prvky, ktoré nasledujú v periodickej tabuľke za uránom.
amount-of-matter;['lantanoid', 'lantanoidy', 'vzácnych zemín', 'lantanoidov', 'lanthanon', 'vzácnych zemín element', 'vzácnych zemín prvok'];Lantanoid je spoločné pomenovanie pre skupinu pätnástich chemických prvkov s atómovými číslami 57 do 71, ktoré sa nachádzajú v periodickej tabuľke v šiestej perióde a na valenčnej vrstve obsadzujú orbitály bloku f.
amount-of-matter;['nápoj', 'nápoje', 'nápojov', 'pitný'];Nápoj je tekutina s vysokým obsahom vody, primárne určená k požívaniu.
amount-of-matter;['pentóza', 'pentose', 'aldopentose', 'pentosan'];Pentóza je monosacharid s piatimi atómami uhlíka, so sumárnym vzorcom C5H10O5.
amount-of-matter;['mastná kyselina', 'mastných kyselín', 'voľných mastných kyselín', 'mastné kyseliny', 'voľné mastné kyseliny'];Mastné kyseliny sú kyseliny viazané v lipidoch.
amount-of-matter;['polysacharid', 'polysacharidy', 'heteropolysacharid', 'heteropolysaccharide', 'polyose'];Polysacharidy sú sacharidy zložené z veľkého počtu molekúl jednoduchých cukrov, spojených navzájom kyslíkovými mostíkmi.
amount-of-matter;['aldehyd', 'aldehydy', 'aldehydov', 'formyl', 'formyl skupiny', 'formylovou skupinu'];Aldehyd je organická zlúčenina, chemicky kyslíkatý derivát uhľovodíkov s aldehydickou funkčnou skupinou R–CH=O. Sú vonnou súčasťou rastlinných silíc a taktiež intermediáty biochemických reakcií, napríklad Krebsovho cyklu.
amount-of-matter;['nitril', 'kyanid', 'nitrilov', 'nitrilu'];Nitrily sú skupina organických zlúčenín, ktoré obsahujú funkčnú skupinu -CN. Nitrily sú priemyselne významné zlúčeniny a používajú sa napríklad na výrobu nitrilovej gumy, z ktorej sa často vyrábajú nitrilové rukavice.
amount-of-matter;['ketón', 'ketóny'];Ketóny sú organické zlúčeniny, chemicky deriváty uhľovodíkov s funkčnou skupinou R1--R2, kde R1 a R2 predstavujú alkylové zvyšky.
amount-of-matter;['kolofónia', 'prírodná živica', 'živica', 'glinga', 'kalafúna', 'prirodzená smola', 'prirodzená živica', 'prírodná smola', 'rastlinná živica', 'živice', 'borovica živice', 'kolofónie'];Kolofónia je tuhý destilát terpentínovej silice vodnou parou zo živice ihličnatého stromu, ktorý sa používa pri výrobe lacných lakov, tmelov, mydiel, na natieranie sláčikov a remeňov a pod., ako aj na spájkovanie.
amount-of-matter;['kolofónia', 'prírodná živica', 'živica', 'glinga', 'kalafúna', 'prirodzená smola', 'prirodzená živica', 'prírodná smola', 'rastlinná živica', 'živice', 'borovica živice', 'kolofónie'];Prírodná/prirodzená živica je aj nevhodné synonymum výrazu prírodný/prirodzený
amount-of-matter;['bielkovina', 'proteín', 'bielkoviny', 'bielkovinové', 'polyproteinových'];Bielkovina alebo proteín je vysokomolekulárna prírodná látka, ktorej základ tvorí jeden alebo viac reťazcov zložených z jednotlivých aminokyselín.
amount-of-matter;['protilátka', 'antigén', 'imunoglobulín', 'imunoglobinovými', 'imunoglobulíny', 'protilátky', 'protilátok'];Protilátka je veľký proteín tvaru Y produkovaný efektorovými B-lymfocytmi ako humorálna súčasť imunitného systému.
amount-of-matter;['alkohol', 'alkoholy', 'priemyselné alkohol', 'priemyselného alkoholu', 'sekundárny alkohol', 'terciárny alkohol'];Alkoholy sú hydroxyderiváty, v ktorých je hydroxylová skupina -OH naviazaná na sp3 hybridizovaný uhlík.
amount-of-matter;['disacharid', 'disacharidy'];Disacharidy sú 2 monosacharidové jednotky spojené glykozidickou väzbou.
amount-of-matter;['purín', 'purínov'];Purín je aromatická heterocyklická organická zlúčenina zložená z pyrimidínového a imidazolového jadra.
amount-of-matter;['kov', 'kovový', 'kovy', 'iónu kovu', 'kovov', 'kovové ióny', 'kovový prvok'];Kov je z chemického hľadiska kryštalická, elektropozitívna látka s voľnými valenčnými elektrónmi.
amount-of-matter;['vermút', 'vermut', 'vermouth', 'vermutu'];Vermút je „aromatizované víno, do ktorého bol pridaný alkohol a ktorého charakteristická chuť sa dosiahla použitím vhodných látok z bylín rodu palina “.
amount-of-matter;['kov alkalických zemín', '2. skupina', 'kovy alkalických zemín', 'alkalických zemín', 'alkalických zemín kov', 'kovov alkalických zemín'];Kovy alkalických zemín sú chemické prvky 2.
amount-of-matter;['oligosacharid', 'oligosacharidy', 'oligosaccharide'];Oligosacharidy sú sacharidy zložené z dvoch až desiatich monosacharidových podjednotiek.
amount-of-matter;['halogény', 'halogén', '17. skupina', 'halové prvky', 'halový prvok'];Halogén je súhrnný názov pre všetky prvky 17.
amount-of-matter;['vzácny plyn', 'vzácne plyny', 'inertný plyn', '18. skupina', 'vzácnych plynov', 'argonon'];Vzácny plyn je súhrnný názov pre chemické prvky 18.
amount-of-matter;['žlčové kyseliny', 'kyselina žlčová', 'žlčová kyselina', 'žlčových kyselín', 'žlčových solí'];Žlčové kyseliny sú steroidné zlúčeniny, ktoré vznikajú oxidáciou cholesterolu.
amount-of-matter;['alkalický kov', 'alkalické kovy', 'alkali metal', 'alkalického kovu', 'alkalických kovov'];Alkalické kovy sú prvky 1.
amount-of-matter;['chemický prvok', 'chemického prvku', 'chemických prvkov', 'rádioaktívneho prvku'];Chemický prvok alebo prvok je látka zložená z atómov s rovnakým protónovým číslom.
amount-of-matter;['nukleová kyselina', 'kyselina nukleová', 'nukleové kyseliny', 'nukleovej kyseliny', 'nukleových kyselín'];Nukleové kyseliny alebo kyseliny bunkového jadra sú biomakromolekulové látky, ktoré sa spolu s bielkovinami považujú za najvýznamnejšie zložky živých sústav.
amount-of-matter;['fosfolipid', 'fosfatid', 'fosfolipidov'];Fosfolipidy alebo fosfatidy sú lipidy, v ktorých je na jednu z hydroxylových skupín alkoholu naviazaná nie karboxylová kyselina, ale fosfoderivát cholínu, etanolamínu alebo serínu – teda fosfatidylcholín, fosfatidyletanolamín, fosfatidylserín.Zvyšok kyseliny fosforečnej
amount-of-matter;['decht', 'dechtu'];Decht je kvapalný produkt tepelného rozkladu organických látok bez prístupu vzduchu.
amount-of-matter;['damara', 'damar', 'damar živice', 'guma damara'];Damara je prírodná živica.
amount-of-matter;['saponín', 'saponíny'];Saponíny sú heteroglykozidické zlúčeniny izoprenového pôvodu, ktoré sa nachádzajú prevažne v rastlinách.
amount-of-matter;['polyuretán', 'pu', 'polyuretány'];Polyuretány sú polyméry, ktoré vznikajú reakciou medzi izokyanátmi a polyalkoholmi.
amount-of-matter;['vosk', 'cerid', 'vosky'];Vosky alebo ceridy sú estery mastných kyselín s vyššími jednosýtnymi alebo dvojsýtnymi alkoholmi - najčastejšie cetylalkohol, karnaubylalkohol, cerylalkohol a myricylalkohol.
amount-of-matter;['pektín'];Pektíny sú skupina polysacharidov vyskytujúcich sa v bunkových stenách a medzibunkových vrstvách všetkých suchozemských rastlín.
amount-of-matter;['zásada', 'báza', 'alkálie', 'alkálií', 'základné', 'zásaditosť'];Zásada alebo báza je látka alebo častica, ktorá pri reakciách odovzdáva elektróny alebo priberá protóny.
amount-of-matter;['kyselina', 'kyseliny', 'protického kyseliny'];Kyseliny alebo acidá sú tradičné chemické zlúčeniny, ktorých vodný roztok má pH menšie ako 7,0.
amount-of-matter;['lipid', 'tuk', 'lipidy', 'lipidov', 'glycerolipid', 'lipoidní'];Lipidy (z gréc.
amount-of-matter;['acetál', 'acetal', 'ketal'];Acetál je typ organickej zlúčeniny, ktorého základom je derivát aldehydov.
amount-of-matter;['alkén', 'olefín', 'alkylén', 'olefinický uhľovodík', 'alkénov', 'olefínov', 'alken', 'alkenyl', 'olefíny'];Alkény alebo alkylény alebo olefíny alebo olefinické uhľovodíky sú nenasýtené uhľovodíky s dvojitou väzbou v reťazci.
amount-of-matter;['chartreuse'];Chartreuse je francúzsky, čisto prírodný bylinný likér s charakteristickou, silne korenistou až sladkou chuťou.
amount-of-matter;['chlorid sodný', 'jedlá soľ', 'kuchynská soľ', 'nacl', 'posypovej soli'];Chlorid sodný je dôležitá minerálna látka ľudskej a zvieracej potravy.
amount-of-matter;['espreso', 'espresso', 'crema'];Espreso alebo espresso je nápoj pripravený v espreso kávovare z jemno namletej kávy a vody.
amount-of-matter;['aminokyselina', 'aminokyseliny', 'alfa-aminokyselina', 'alfa-aminokyseliny', 'amino-kyseliny', 'aminoalkanoic kyselina', 'aminokyselín'];Aminokyseliny alebo aminokarboxylové kyseliny sú organické zlúčeniny obsahujúce v molekule aminoskupinu a karboxylovú skupinu.
amount-of-matter;['kola', 'kolový nápoj', 'cola'];Kola alebo kolový nápoj je perlivý nealkoholický občerstvujúci nápoj, ktorý obsahuje kofeín.
amount-of-matter;['coca cola', 'coca-cola', 'cola', 'kola', 'coke', 'kokakola', 'fľašu kolesami'];Coca-Cola je hnedý kolový, sladký nápoj, ktorý obsahuje oxid uhličitý.
amount-of-matter;['propán'];Propán je nasýtený uhľovodík, tretí člen homologického radu alkánov.
amount-of-matter;['surové železo', 'železo', 'surového železa', 'žemľové železo'];Surové železo je bezprostredný produkt tavenia železnej rudy s koksom, vápencom a ďalšími prísadami vo vysokej peci.
amount-of-matter;['chloroprén', '2-chlór-1,3-butadién', 'chloroprénu'];Chloroprén je významná východzia surovina - bezfarebná kvapalina - pri výrobe umelého kaučuku.
amount-of-matter;['bourbon', 'bourbon whisky'];Bourbon je typ americkej whisky vyrábaný z minimálne 51 % kukurice.
amount-of-matter;['bourbon', 'bourbon whisky'];Bourbon je typ americkej whisky vyrábaný z minimálne 51 % kukurice.
amount-of-matter;['rum', 'tuzemský rum', 'bieleho rumu', 'svetlý rum'];Rum je druh alkoholického nápoja, ktorý sa vyrába z cukrovej trstiny.
amount-of-matter;['destilát', 'chlast', 'pijatika', 'tvdrý alkohol', 'pálenka', 'destiláty', 'destilovaného liehu', 'destilátov', 'john barleycorn', 'liehovín', 'likérov', 'nálada', 'silný nápoj', 'tvrdého alkoholu', 'tvrdý alkohol', 'ťažké pitie'];Destilát (z lat.
amount-of-matter;['calvados'];Calvados je destilát pálený z jablkového vína pochádzajúci z francúzskeho regiónu Dolná Normandia.
amount-of-matter;['enantiomér', 'chirality', 'enantiomorph', 'enantiomérov', 'enantiopure', 'enantioselektivita', 'enantioselektivní'];Enantiomér je v chémii označenie jedného z dvojice stereoizomérov opticky aktívnej látky.
amount-of-matter;['kapučíno', 'cappuccino', 'cappucino', 'cappuccino káva', 'káva cappuccino'];Kapučíno (z tal.
amount-of-matter;['víno', 'vína', 'jemné víno', 'vino'];Víno (lat.
amount-of-matter;['ester', 'diester', 'diesteru', 'esterifikácia', 'esterovou väzbu', 'esterové väzby', 'estery'];Estery sú skupina zlúčenín, v ktorých organická skupina nahrádza disociovateľný atóm vodíka v kyslíkatej kyseline.
amount-of-matter;['napalm'];Napalm je bojová zápalná látka.
amount-of-matter;['rekombinácia dna', 'rekombinačná dna', 'rekombinantnej dna', 'rekombinantnej deoxyribonukleovej kyseliny', 'rekombinantných proteínov'];Rekombinácia je všeobecný termín, ktorý v molekulárnej biológii zahŕňa ľubovoľnú zmenu usporiadania genetickej informácie v rámci jednej alebo medzi viacerými molekulami DNA. Takéto procesy je možné rozdeliť do troch základných tried.
amount-of-matter;['seitan', 'pšeničný lepok'];Seitan, známy aj ako pšeničný glutén, pšeničné mäso, gluténové mäso, zjednodušene glutén alebo lepok je potravina vyrobená z pšeničného lepku.
amount-of-matter;['permafrost', 'nesúvislý permafrost', 'permafrostu'];Permafrost
amount-of-matter;['koňak', 'borderies'];Koňak (franc.
amount-of-matter;['slivovica'];Slivovica je destilát vyrobený zo zrelých sliviek kvasením, destiláciou a úpravou vodou.
amount-of-matter;['tokajské víno', 'vinohradnícka oblasť tokaj'];Tokajské víno je označenie vína z vinohradníckej oblasti Tokaj.
amount-of-matter;['chalkantit', 'chalcanthite', 'modrej skalice', 'modrá skalica', 'modrý kameň'];Chalkantit je minerál kryštalizujúci v triklinickej sústave, chemicky pentahydrát síranu meďnatého - CuSO4·5H2O. == Charakteristika == Chalkantit vytvára krátke prizmatické alebo hrubé tabuľkovité kryštály.
amount-of-matter;['skvapalnený ropný plyn', 'plyn vo fľaši', 'skvapalnený plyn', 'propán-bután', 'kvapalný vykurovací plyn', 'liquefied petroleum gas', 'skvapalnený uhľovodíkový plyn', 'skvapalnený vykurovací plyn', 'balenú plyn', 'lp plyn', 'propanbutanových'];Skvapalnený ropný plyn
amount-of-matter;['zvárková oceľ', 'tvárne železo', 'železo', 'tvárna oceľ', 'zvárkové železo', 'tepaného železa', 'tepané železo'];Zvárková oceľ alebo nevhodne zvárkové železo je : pôvodne oceľ, ktorá je výsledkom tlakového zvárania hrudiek železa pochádzajúcich buď z hrudkovacej pece alebo z pudlovacej pece. v kovárskom slangu sa ako zvárková oceľ označuje len kaliteľná zvárková oceľ a ako zvárkové železo len nekaliteľná zvárková oceľ.
amount-of-matter;['saké', 'sake', 'ryža pivo', 'ryžové víno'];Saké je japonský alkoholický nápoj, ktorý sa získava kvasením ryže.
amount-of-matter;['močiar', 'bažina', 'močarina', 'močarisko', 'močiare', 'cienaga'];Močiar je územie presiaknuté vodou, na ktorom rastú charakteristické rastliny - tzv.
amount-of-matter;['whisky', 'viska', 'whiskey'];Whisky alebo viska je alkoholický nápoj destilovaný z obilnín, zrejúci v drevených sudoch.
amount-of-matter;['írska whisky', 'írska whiskey', 'írskej whisky'];Írska whisky je tradičná írska liehovina vyrábaná kotlíkovým destilačným prístrojom.
amount-of-matter;['medovina', 'medové víno'];Medovina môže byť aj synonymum slova nektár v botanike, pozri nektár .Medovina alebo medovica alebo medovec je kvasený nízkoalkoholický nápoj z medového roztoku.
amount-of-matter;['mlieko', 'kravského mlieka', 'mlieka', 'mliečnej sušiny', 'plnotučné mlieko'];Mlieko je kvapalina produkovaná mliečnymi žľazami samíc cicavcov.
amount-of-matter;['alkaloid', 'alkaloidy'];Alkaloidy sú homogénnou skupinou dusíkatých zlúčenín zásaditého charakteru, ktoré majú fyziologický efekt na ľudí alebo iné živočíchy.
amount-of-matter;['triacylglycerol', 'triglycerid', 'triglyceridov', 'triacylglycerolov'];Triacylglyceroly alebo triglyceridy alebo tuky sú druh lipidov, presnejšie sú to estery glycerolu a mastných kyselín, ktoré sa nachádzajú v živočíšnych tkanivách a rastlinných pletivách.
amount-of-matter;['polymér', 'polyméry', 'homopolymér', 'polymérnej', 'polymérov', 'reťazca polyméru'];Polymér je látka pozostávajúca z monomérov.
amount-of-matter;['loj'];Loj je živočíšne tukové tkanivo.
amount-of-matter;['bután', 'n-butánu'];Bután je nasýtený uhľovodík, tvorený štvoruhlíkovým reťazcom, ktorý má sumárny vzorec C4H10.
amount-of-matter;['palmový olej'];Palmový olej je jedlý rastlinný olej, ktorý sa ale nezískava zo semien ale z oplodia palmy.
amount-of-matter;['olivový olej', 'olej', 'extra panenský olivový olej'];Olivový olej sa vyrába lisovaním plodov olivovníka – olív.
amount-of-matter;['slnečnicový olej'];Slnečnicový olej je rastlinný olej vyrábaný zo semien slnečnice.
amount-of-matter;['motorový olej'];Motorový olej je mazací olej určený špeciálne pre použitie v spaľovacích motoroch.
amount-of-matter;['anilín', 'aminobenzén', 'benzénamín', 'fenylamín', 'aminobenzine', 'anilid', 'anilín olej', 'anilínu', 'phenylamine'];Anilín je bezfarebná, na svetle žltnúca, charakteristicky zapáchajúca kvapalina.
amount-of-matter;['oxid zinočnatý', 'zinková beloba', 'kvety zinku', 'mudrcov vlna', 'vlna mudrcov'];Oxid zinočnatý alebo zinková bieloba je biely pigment používaný v maliarstve.
amount-of-matter;['pepsi cola', 'pepsi', 'pepsi-cola'];Pepsi Cola je druh sladkého sýteného nealkoholického nápoja.
amount-of-matter;['zrkadlovina', 'spiegel', 'spiegel železa'];Zrkadlovina je ferozliatina s obsahom mangánu vyšším ako 6 ale nižším ako 30 %.
amount-of-matter;['aktívne uhlie', 'živočíšne uhlie'];Aktívne uhlie alebo adsorpčné uhlie je spoločné meno pre skupinu umelo vytvorených, pórovitých uhlíkov s hubovitou štruktúrou.
amount-of-matter;['adenín', '6-aminopurín', 'vitamín b4'];Adenín je heterocyklická zlúčenina.
amount-of-matter;['cmar'];Tradičný cmar je mliečny výrobok, ktorý vzniká ako druhotný produkt pri mútení masla.
amount-of-matter;['daiquiri', 'rum kokteil'];Daiquiri [anglická výslovnosť: däkərí, španielska výslovnosť: dajkiri] je druh koktailu.
amount-of-matter;['grog'];Grog je horúci alkoholický nápoj.
amount-of-matter;['antikorová oceľ', 'nerezová oceľ', 'nehrdzavejúca oceľ', 'antikoro', 'antikorózna oceľ', 'korózii odolná oceľ', 'koróziivzdorná oceľ', 'koróziovzdorná oceľ', 'ušľachtilá nehrdzavejúca oceľ', 'nerezovej ocele', 'chrómová oceľ', 'nerez'];Nehrdzavejúca oceľ
amount-of-matter;['absint', 'absinth', 'absinthe', 'absintu'];Slovo absint môže ľudovo znamenať aj palina alebo palina pravá, pozri palina a palina pravá.Absint je horký bylinný destilát, vyrábaný maceráciou byliniek, následnou destiláciou a konečnou druhou maceráciou byliniek – farbenie.
amount-of-matter;['likér', 'rozoliš', 'srdečný'];Likér je sladký alkoholický nápoj s pomerne vysokým obsahom cukru, často ochutený ovocím, bylinkami, korením či inými plodmi a niekedy smotanou.
amount-of-matter;['gin'];Gin je alkoholický nápoj, vyrábaný destiláciou obilného kvasu ochutený borievkami.
amount-of-matter;['ľadová káva', 'ľadovú kávu'];Ľadová káva je studenou variantou kávy, ktorá je vyhľadávaná prevážne cez horúce mesiace.
amount-of-matter;['portské víno', 'portské', 'port'];Portské víno je fortifikované víno, ktoré sa vyrába v údoliach pozdĺž rieky Douro v severnej časti Portugalska.
amount-of-matter;['kondenzované mlieko', 'zahustené mlieko', 'nesladené zahustené mlieko', 'sladené zahustené mlieko', 'sladené kondenzované mlieko', 'sladeného kondenzovaného mlieka'];Zahustené mlieko je mliečny výrobok získaný z mlieka odparením časti vody.
amount-of-matter;['bylinkový čaj', 'bylinný čaj', 'bylinný'];Bylinkový čaj alebo bylinný čaj je súhrnný názov pre rastlinné nálevy a odvary z rôznych rastlín s výnimkou čajovníka.
amount-of-matter;['matéria', 'hmota', 'látka', 'materiál', 'hmoty'];Hmota je vo fyzike: a
amount-of-matter;['močovina', 'urea', 'karbamid', 'močoviny'];Močovina alebo urea je organická zlúčenia uhlíka, kyslíka, dusíka a vodíka.
amount-of-matter;['myozín', 'svalová bielkovina', 'myosin'];Myozín je bielkovina, ktorá je jednou z hlavných funkčných a štrukturálnych súčastí svalového vlákna.
amount-of-matter;['atmosféra', 'ovzdušie'];Atmosféra je vo všeobecnosti plynný obal kozmického telesa, napríklad planéty, mesiaca, kométy alebo hviezdy.
amount-of-matter;['glykogén', 'glykogénu', 'zvierat škrob'];Glykogén je polysacharid, ktorý si bunky vytváraju ako zásobnú formu zo sacharidov.
amount-of-matter;['transferová ribonukleová kyselina', 'trna', 'transferová rna', 'prevod rna', 'akceptor rna', 'anticodon', 'rozpustné rna'];Transferová ribonukleonová kyselina je osobitný typ RNA so špecifickou úlohou.
amount-of-matter;['mediátorová ribonukleová kyselina', 'mrna', 'informačná ribonukleová kyselina', 'informačná rna', 'mediátorová rna', 'messenger rna', 'informačné rna', 'polycistronic', 'šablóna rna'];mRNA (mediátorová RNA, z angl.
amount-of-matter;['etanol', 'etylalkohol', 'lieh', 'ethanol', 'hydroxyetán', 'špiritus', 'obilný alkohol', 'kvasenia alkoholu'];Etanol je bezfarebná horľavá kvapalina s charakteristickým zápachom patriaca medzi silné narkotiká.
amount-of-matter;['cementit', 'cementitu', 'karbid železa'];Cementit je karbid železa Fe3C. Je extrémne tvrdý a oteruvzdorný ale aj veľmi krehký.
amount-of-matter;['ionosféra', 'iónosféra', 'ionosférické', 'ionosféry'];Ionosféra je vrstva zemskej atmosféry, prípadne atmosféry iného kozmického telesa s vlastným alebo indukovaným magnetickým poľom, ktorá je ionizovaná.
amount-of-matter;['glycín'];Glycín, C2H5NO2 je aminokyselina s nepolárnym postranným reťazcom.
amount-of-matter;['heliosféra', 'heliosféry', 'heliosheath', 'heliosphere', 'ukončenie vlnou'];Heliosféra je obal častíc obklopujúci Slnko.
amount-of-matter;['neurotransmiter', 'neurotransmiter systém', 'neurotransmiterov'];Neurotransmiter je chemická látka uvoľňovaná z nervového zakončenia na synapsii.
amount-of-matter;['peptid', 'heptapeptid', 'peptidov', 'polypeptidového reťazca', 'polypeptidy'];Peptid je organická chemická zlúčenina, ktorá vzniká zlúčením viacerých aminokyselín.
amount-of-matter;['vodka', 'ruskej vodky'];Vodka je pôvodom ruský alkoholický nápoj.
amount-of-matter;['podzemná voda', 'pramenitá voda', 'studňa', 'spodná voda', 'aj vody', 'podzemnej vody', 'spodnej vody', 'studničnej vody', 'voda zo studne'];Podzemná voda je voda, ktorá sa nachádza mimo zemského povrchu v horninovom prostredí, nespevnených sedimentoch, zvetralinovom pokryve a v pôde.
amount-of-matter;['grafit', 'tuha'];Grafit je minerál kryštalizujúci v hexagonálnej sústave, chemicky modifikácia uhlíka – C.
amount-of-matter;['dusičnan amónny', 'amóniumnitrát', 'liadok amónny', 'dusičnanu amónneho'];Dusičnan amónny, triviálnym názvom liadok amónny či amóniumnitrát, je chemická zlúčenina s chemickým vzorcom NH4NO3.
amount-of-matter;['kyselina dusičná', 'hno3', 'lúčavka', 'aqua fortis', 'duchu nitre'];Kyselina dusičná alebo lúčavka
amount-of-matter;['dusitan sodný', 'dusitanu sodného'];Dusitan sodný je anorganická soľ bielej alebo mierne nažltlej farby so vzorcom NaNO2.
amount-of-matter;['bloody mary'];Bloody Mary
amount-of-matter;['morská voda', 'morskej vody', 'slanej vody'];Slaná alebo morská voda je voda z mora, oceánu alebo slaného jazera, ktorá obsahuje chemické látky spôsobujúce jej slanosť a tým aj rozdielnu hustotu a napríklad aj rozdielnu teplotu tuhnutia ako u sladkej vody.
amount-of-matter;['minerálna voda', 'minerálka', 'minerálne vody'];Minerálna voda je voda, ktorá sa od ostatných podzemných vôd podstatne odlišuje svojimi vlastnosťami, predovšetkým vyšším obsahom rozpustených minerálnych látok a teplotou.
amount-of-matter;['pitná voda', 'spotreba vody', 'pitnej vody', 'nezávadnú vodu', 'spotrebu vody'];Pitná voda je sladká voda, nevyhnutná zložka ľudskej potravy.
amount-of-matter;['tvrdá voda', 'tvrdosť vody'];Tvrdá voda obsahuje zvýšené hodnoty rozpustených minerálnych látok.
amount-of-matter;['svätená voda'];Svätená voda sa používa v liturgii na pokropenie ľudu, požehnávaných osôb i hmotných vecí.
amount-of-matter;['efedrín'];Efedrín je alkaloid z tropických krov čeľade chvojníkovitých rodu Ephedra, ako sú chvojník obyčajný, chvojník dvojklasý alebo chvojník čínsky ktoré sa nachádzajú vo východnej Ázii a v stredomorskej oblasti a v strednej Európe.
amount-of-matter;['stolové víno', 'vin de table', 'vino da tavola'];Stolové víno
amount-of-matter;['varené víno', 'gløgg', 'vareného vína'];Varené víno je teplý nápoj vyrábaný typicky z červeného vína a byliniek.
amount-of-matter;['abietín', 'kanadského balzamu'];Abietín je druh živicového oleja.
biological-object;['bránica', 'diaphragma'];Bránica (lat.
biological-object;['kĺb', 'spoj', 'kåb', 'kíb', 'kĺbne puzdro', 'articulatio', 'kĺbov'];Kĺb je pohyblivé spojenie dvoch alebo viacerých kostí, ktoré sa vo vnútri väzivového puzdra dotýkajú plochami pokrytými chrupkou.
biological-object;['lyko', 'floém', 'leko', 'ligo', 'liko', 'phloem'];Lyko ľudovo znamená aj rastlinu lykovec jedovatý, pozri lykovec jedovatý.
biological-object;['varolov most', 'mostovomozočkový uhol', 'pedunculus cerebellaris medius', 'pons varoli', 'sulcus basilaris', 'trigeminofaciálna čiara', 'trigonum pontocerebellare', 'pons', 'pons varolii'];Varolov most alebo Varoliov most je súčasťou mozgového kmeňa a vytvára na ňom nápadný priečny val.
biological-object;['hypotalamus', 'podlôžko', 'hypothalamus', 'hypotalamu'];Podlôžko alebo hypotalamus
biological-object;['žila', 'žily', 'véna', 'flebológii', 'vena', 'žilovej', 'žilového systému', 'žilovú krv plavidlo'];Žila alebo véna je cieva vchádzajúca do srdca.
biological-object;['tepna', 'cieva', 'artéria', 'artérie', 'arteria', 'arteriálnej', 'arteriálny krvný cievy', 'tepny'];Tepna alebo artéria
biological-object;['najširší sval chrbta', 'latissimus dorsi', 'lat', 'latissimus dorsi sval'];Najširší sval chrbta alebo najväčší sval chrbta
biological-object;['hrtan', 'hlasivky', 'hrtana', 'laryngologist'];Hrtan alebo larynx
biological-object;['celóm', 'coelom', 'celómová dutina', 'coelomová dutina', 'célom', 'deuterocoel', 'druhotná telová dutina', 'eucoelom', 'pravá celómová dutina', 'pravá coelomová dutina', 'pravý celóm', 'pravý coelom', 'pravý célom', 'acoelomate', 'celoma', 'coelomate', 'telových dutín', 'čelo'];Celóm
biological-object;['osteoblast', 'osteoblastov', 'kosť-forming cell', 'osteoblasty'];Osteoblast je bunka, ktorá vytvára kostné tkanivo.
biological-object;['fibroblast', 'fibroblastov', 'fibroblasty'];Fibroblast je základnou bunkou väziva.
biological-object;['pigmentová bunka', 'melanocyt', 'melanocyte', 'melanocyty', 'melanogenézy'];Pigmentová bunka alebo melanocyt je bunka, ktorá vo svojej cytoplazme obsahuje zrná pigmentu melanínu.
biological-object;['oligodendroglia', 'oligodendrocyt', 'oligodendrocyte', 'oligodendrocytes'];Oligodendroglie alebo oligodendrocyty sú typom buniek, patriacim do skupiny neuroglie.
biological-object;['neurón', 'nervová bunka', 'axón', 'neurit', 'dendrit', 'nervové bunky', 'neurónov', 'mozgových buniek', 'neurónové', 'neurónu'];Neurón alebo nervová bunka je bunka, ktorá je najvýznamnejším stavebným a funkčným prvkom nervového tkaniva.
biological-object;['hipokampus', 'hippokampus', 'hippocampu', 'hippocampus'];Hipokampus
biological-object;['vnútorné ucho', 'stredné ucho', 'auris interna', 'vnútorného ucha', 'labyrintu'];Vnútorné ucho
biological-object;['vnútorná hrdlová žila', 'vena jugularis interna', 'vji', 'vnútorná hlavná žila krku', 'vnútorné jugulárnej žila'];Vnútorná hrdlová žila alebo vnútorná hlavná žila krku
biological-object;['nadsemenník', 'nadsemenníky', 'nadsemenníka'];Nadsemenník
biological-object;['šľacha', 'šľachy'];Šľacha je anatomická štruktúra, zložená z tuhého usporiadaného väziva, ktorá u stavovcov tvorí spojenie medzi svalmi kostry a kostrou.
biological-object;['tuková žľaza', 'mazová žľaza', 'tukové puzdierko', 'tukový vačok', 'mazové žľazy', 'glandulae sebaceae', 'mazové', 'mazových', 'mazových folikul'];Mazové žľazy alebo tukové žľazy
biological-object;['okostica', 'endost', 'periost', 'periostu', 'pericranium'];Okostica alebo periost
biological-object;['konár', 'vetva'];Konár je vertikálne členenie základne stromu smerom nahor.
biological-object;['detská žľaza', 'týmus', 'týmusu'];Detská žľaza alebo týmus
