abstract-region;['súčet', 'množstvo', 'celkom', 'výška'];Celkovo dva alebo viac v počte.
phenomenon;['hraničná vrstva', 'medzné vrstvy'];Vrstva tekutiny v blízkosti fyzickej hranice v ktorej je pohyb tekutiny významne ovplyvnený hranicou a má strednú hustotu menšiu ako vo voľnom prietoku.
phenomenon;['pôrod', 'narodenie', 'rodenie', 'pôrodu', 'accouchement', 'narodením dieťaťa', 'pôrodná', 'vaginálny pôrod'];Fakt alebo čin, ktorým sa privádza na svet dieťa, vyvrcholenie tehotenstva.
phenomenon;['plameň', 'oheň', 'horenie', 'horiace', 'požiare'];Stav horenia, pri ktorom horľavé materiály horia pričom sa tvorí teplo plamene a často aj dym.
phenomenon;['narodenie', 'pôrod', 'rodenie', 'narodenia', 'pôrodná'];Fakt alebo čin, ktorým sa privádza na svet dieťa, vyvrcholenie tehotenstva.
phenomenon;['narodenie', 'pôrod', 'rodenie', 'narodenia', 'pôrodná'];Chvíľa, v ktorej sa niekto narodí.
physical-body;['zem', 'zemeguľa', 'modrá planéta', 'planéta zem', 'svete', 'sveta'];Planéta obývaná ľuďmi, tretia obežnica Slnka.
physical-object;['auto', 'automobil', 'autiak', 'búrak', 'fáro', 'trieda osobného automobilu', 'automobily'];Štvorkolesové motorové vozidlo, ktoré sa používa na prevoz.
physical-object;['taška', 'vrece', 'papierový sáčok', 'taške'];Pružný obal z látky, papiera, plastu, kože, atď., na uloženie niečoho alebo odnesenie preč.
physical-object;['väzenie', 'väznica', 'nápravno-výchovné zariadenie', 'nápravnovýchovný ústav', 'ústav na výkon trestu odňatia slobody', 'minimálne bezpečnostné', 'nápravné inštitúcie', 'stredne bezpečnostné', 'uväznený', 'uväzniť', 'väzenia', 'väzniciach'];Miesto s obmedzenou osobnou slobodou.
physical-object;['banka', 'coin bánk'];Miesto, kde sa uchovávajú prvky, zvyčajne rovnakého typu, pre referenčné účely alebo neskoršie použitie, napr. banka dát, banka obrázkov.
physical-object;['zvon'];Predmet z kovu alebo iného tvrdého materiálu, zvyčajne, ale nie vždy v tvare obráteného pohára, s okrajom, ktorý po náraze rezonuje.
physical-object;['injekčná ihla', 'injekčných ihiel'];Dutý, tenký, zvyčajne ostrý nástroj používaný na vstrekovanie alebo odber tekutín z tela osoby alebo zvieraťa.
physical-object;['šaty'];Oblečenie pre ženy so sukňou a vrchom.
physical-object;['xylofón', 'marimba', 'gyil', 'xylofóny'];Hudobný nástroj z drevenných obdĺžnikov, každý takého tvaru, aby rezonoval danou výškou tónu po údere.
physical-object;['koberec', 'koberček', 'koberce'];Tkanina používaná ako pokrývka podlahy.
physical-object;['väzenie', 'väzenia', 'jailhouse', 'kriminál', 'pokey', 'tesný'];Miesto s obmedzenou osobnou slobodou.
physical-object;['vaňa', 'kúpanie vaňa', 'necky', 'vane'];Nádoba alebo nádrž používaná na kúpanie.
physical-object;['wc', 'toaleta', 'záchod', 'kúpeľňa', 'lav'];Miestnosť vybavená najmenej jedným hygienickým zariadením, ako napríklad vaňa, sprcha, umývadlo alebo záchod.
physical-object;['operačná sála', 'chirurgia', 'operačná miestnosť', 'operačnom sále'];Miestnosť v rámci kliniky alebo miesta, kde vykonáva prax lekár, vybavená na chirurgické zákroky.
physical-object;['spálňa', 'spálne', 'spanie'];Miestnosť v dome (s najmenej jednou posteľou a šatníkom), kde ľudia spia.
physical-object;['ihla', 'injekčná ihla'];Dutý, tenký, zvyčajne ostrý nástroj používaný na vstrekovanie alebo odber tekutín z tela osoby alebo zvieraťa.
physical-object;['kladka', 'kladkostroj', 'blok', 'kladnice', 'remenice-block'];Nástroj pozostávajúci zo sústavy kolies, ktorou je vedené lano, slúžiaci na ľahšie zdvíhanie alebo presúvanie nákladu.
physical-object;['ručička'];Dlhá, tenká súčiastka ktorá ukazuje hodnotu na stupnici či číselníku (napríklad kompasu).
physical-object;['budova', 'dom', 'stavba', 'verejná budova', 'výstavba', 'budov', 'budovy', 'verejné budovy', 'verejných budov'];Niečo postavené so strechou a múrmi, ako dom či fabrika.
physical-object;['čiapka'];Obvykle mäkká, prispôsobivá prikrývka hlavy, buď bez striešky alebo s priezorom.
physical-object;['hodiny', 'stopky', 'mechanické hodiny'];Zariadenie na meranie alebo zaznamenávanie času dráhy
physical-object;['kúpeľňa', 'wc', 'verejné toalety', 'comfort station', 'toaleta', 'umyváreň', 'verejné pohodlie', 'verejné wc', 'wc zariadenia'];Miestnosť vybavená najmenej jedným hygienickým zariadením, ako napríklad vaňa, sprcha, umývadlo alebo záchod.
physical-object;['hradba', 'násyp', 'val', 'bašta', 'ochrana', 'záštita', 'múr', 'stena'];Umelá vyvýšenina postavená okolo priestoru, zvyčajne na obranné účely.
physical-object;['hardvér', 'hardware', 'počítačového hardvéru', 'počítačový hardvér'];Časť počítača, ktorá je pevná a nie je ju možné zmeniť bez výmeny alebo fyzickej modifikácie.
physical-object;['upchanie', 'uzáver'];Prekážka v trubke či rúre.
physical-object;['továreň', 'priemyselný závod', 'dielňa', 'závod', 'fabrika', 'priemyselné zariadenie', 'práce'];Budovy, kde sa vykonávajú činnosti súvisiace s priemyselnými produktívnymi procesmi.
physical-object;['kostol', 'cirkevná budova', 'kostolík', 'cirkev', 'stavba kostola'];Budova na náboženskú činnosť.
physical-object;['koberec', 'koberček', 'koberce'];Tkanina používaná ako pokrývka podlahy.
physical-object;['čembalo', 'cembalo', 'klavičembalo', 'harpsichord', 'čembalá'];Strunový brnkací hudobný nástroj s klaviatúrou.
physical-object;['základ', 'základy', 'základňa', 'základ stavby', 'understructure'];Najnižšie položená podpora štruktúry.
physical-object;['hrada', 'krokvy'];Otesaný hranatý kmeň, zvyčajne v povalovej konštrukcii domu.
physical-object;['svieca', 'sviečka', 'sviečky', 'vosk svetlo'];Svetelný zdroj pozostávajúci z knôtu zapusteného v pevnej horľavej látke ako vosk, loj alebo parafín.
physical-object;['kráľovná', 'dáma'];Najsilnejšia figúrka v šachovej hre, schopná pohybovať sa horizontálne, vertikálne aj diagonálne v oboch smeroch.
political-geographic-object;['kirgizsko', 'kirgizská republika', 'kirgizstan', 'kirgizština', 'kirgistan', 'kyrgyzstan', 'kirghizia', 'kirghizstan', 'kirgizskom', 'kirgizsku'];Severozápadný turecký jazyk a, spolu s ruštinou, úradný jazyk Kirgizska.
political-geographic-object;['metropola', 'mesto', 'mestské centrum', 'mestského centra', 'metropole', 'metropoly'];Dnes všeobecne používaný termín označujúci akúkoľvek urbanistickú formu, ale obzvlášť používaný pre veľké urbanistické sídliská. Neexistujú však dohodnuté definície na odlíšenie mesta od veľkých metropol alebo malomiest.
political-geographic-object;['afganistan', 'islamský štát afganistan', 'afganský islamský štát', 'afganská islamská republika'];Krajina v strednej Ázii s hlavným mestom Kábul.
political-geographic-object;['austrália', 'austrálske súštátie', 'austrálsky zväz', 'commonwealth of australia'];Krajina v Oceánii, hlavné mesto Canberra.
political-geographic-object;['honduras', 'honduraská republika', 'republic of honduras'];Krajina v Strednej Amerike s hlavným mestom Tegucigalpa.
political-geographic-object;['paraguaj', 'paraguajská republika', 'paraguay', 'paraguajský'];Krajina v Južnej Amerike.
political-geographic-object;['mexiko', 'spojené štáty mexické', 'maxiko', 'estados unidos mexicanos', 'méxico'];Krajina v Severnej Amerike.
political-geographic-object;['andorra', 'andorrské kniežatstvo', 'andora'];Krajina v juhozápadnej Európe s halvným mestom Andorra la Vella.
political-geographic-object;['aljaška', 'alaska', 'ak', 'aljaške', 'last frontier'];49. štát Spojených Štátov Amerických, nachádzajúci sa na západ od Kanady v Severnej Amerike
political-geographic-object;['alžír', 'algerine', 'alžírsky kapitálu'];Hlavné a najväčšie mesto Alžírska.
political-geographic-object;['kábul', 'hlavné mesto afganistanu', 'kabul'];Hlavné mesto Afganistanu.
political-geographic-object;['tirana', 'tiranë', 'albánsky kapitálu'];Hlavné a najväčšie mesto Albánska.
political-geographic-object;['luanda', 'angolan kapitálu'];Hlavné a najväčšie mesto Angoly.
political-geographic-object;['londýn', 'british kapitálu', 'greater london', 'hlavné mesto spojeného kráľovstva'];Hlavné mesto Spojené kráľovstva, Veľkej Británie a Anglicka.
political-geographic-object;['paríž', 'paris', 'francúzska metropola', 'hlavné mesto francúzska', 'mesto svetla', 'paríži'];Hlavné a najväčšie mesto Francúzska.
political-geographic-object;['ulanbátar', 'ulanbatar', 'hlavné mesto mongolska', 'kulun', 'ulaanbaatar', 'ulan bator', 'urga'];Hlavné mesto Mongolska.
political-geographic-object;['central business district', 'centrum mesta', 'stred mesta', 'centrum', 'obchodná štvrť'];Centrálna časť mesta.
qualitative-role;['cena', 'hodnota', 'ceny'];Peňažná čiastka zaplatená za tovar alebo službu.
quality;['citrón', 'citrónovožltá', 'citrón žltá'];Farba pripomínajúca farbu citróna. RAL-1012
quality;['farba', 'zafarbenie', 'čierny', 'farby'];Farba (farba oblohy v noci, peria drozda), tvorí sa pohltením všetkého svetla. temno a bezfarebno.
quality;['hnedá', 'hnedá farba', 'hneď', 'hnedý', 'tmavo hnedá', 'zahnědění'];Červeno oranžová farba, vrátane farby čokolády alebo kávy.
quality;['konto', 'obchodný vzťah', 'účet'];Formálny kontraktný vzťah za účelom poskytovania bežných bankových služieb alebo burzových operácií alebo obchodných služieb.
quality;['cena', 'peňažná hodnota', 'hodnota', 'náklady', 'peňažnú hodnotu'];Peňažná čiastka zaplatená za tovar alebo službu.
region;['stopa', 'ft', 'noha', 'nohy'];Jednotka miery rovná približne dvanástim placom a tretine yardu (alebo presne 30,48 centimetra).
region;['kvapka', 'troška', 'za mak', 'zamak', 'štipka', 'dažďová kvapka', 'drib', 'driblet', 'kvapku', 'kvapôčky', 'pokles'];Veľmi malé množstvo kvapaliny vzniknutej z gule počas pohybu.
region;['mesiac', 'kalendárny mesiac', 'mesiace'];Obdobia na ktoré je rozdelený celý rok, historicky rozdelené na základe fáz mesiaca. V gregoriánskom kalendári je dvanásť mesiacov.
region;['ár', 'sú'];jednotka plochy, 100 metrov štvorcových, 1 štvorcový dekameter alebo 1 dam² alebo 100 m²
region;['koktail', 'koktajl', 'kokteil', 'koktejl', 'mliečne koktaily', 'mliečny koktail'];Ovocná dreň zmiešaná s vodou alebo mliekom a cukrom v mixéri.
region;['8', 'osem', 'viii', 'oktet', 'osmička', 'eighter', 'eighter z decatur', 'octad', 'octonary', 'ogdoad'];Základná číslovka nasledujúca po sedem a predchádzajúca deväť, rímskych VIII, arabských 8.
region;['1', 'jeden', 'jednotka', 'eso', 'n-tic', 'n-tica', 'sextuple'];Kardinálne číslo, ktoré nasleduje hneď za nulou a predchádza čísku dva, reprezentované rímskou číslicou I a arabskou číslicou 1.
regulation;['prirodzené právo', 'zákon', 'prirodzený zákon', 'právo', 'prirodzeného práva'];Jedno z pravidiel, ktoré vytvárajú legislatívny systém.
relation;['sémantický vzťah', 'sémantické vzťahy'];Vzťah, ktorý existuje medzi významami slov.
relation;['ale', 'spojenie'];Vylučovacia spojka "ale".
relation;['hyperonymum', 'hypernym', 'hypernymá', 'superordination'];Záznamy v synonymickom slovníku, ktoré majú širší sémantický rozsah ako iné. Toto je termín používaný vo OmegaWiki, ktorý by nemal mať synonymá, iba preklady.
relevant-part;['pixel', 'obrazový prvok', 'megapixel', 'megapixelov', 'obrázok element', 'pel', 'pixelov', 'sub-pixel', 'subpixel'];Nejmenšia nedeliteľná jednotka tvoriaca celkový obraz alebo rastrový model.
relevant-part;['spojenie', 'väzba', 'pripojenie'];Spojenie medzi miestami, osobami, udalosťami alebo vecami.
relevant-part;['aspekt', 'stránka', 'fazeta'];Jedna z mnohých podobných alebo súvisiacich a predsa rozličných vecí.
relevant-part;['koberec', 'koberček', 'koberce'];Tkanina používaná ako pokrývka podlahy.
relevant-part;['perie', 'operenie', 'pero', 'barbule', 'filoplume', 'perie zatmenie'];Rozvetvujúca sa vlasovitá štruktúra rastúca na koži vtákov, ktorá ich chráni pred chladom a vodou a pomáha krídlam získať vztlak.
relevant-part;['hardvér', 'hardware', 'počítačového hardvéru', 'počítačový hardvér'];Časť počítača, ktorá je pevná a nie je ju možné zmeniť bez výmeny alebo fyzickej modifikácie.
simple-collection;['korpus', 'zbierka'];Zbierka písomností.
simple-planned-collective;['mať funkciu', 'pracovať', 'pôsobiť', 'slúžiť'];Vykonávať povinnosti súvisiace s danou hodnosťou, miestom alebo funkciou.
situation;['kiahne', 'variola', 'pravé kiahne'];Vysoko nákazlivé výrusové ochorenie charakterizované horúčkou, slabosťou, vyrážkou na koži s pustulami tvoriacimi chrasty, ktoré po odlúpnutí zanechávajú jazvy.
situation;['akné', 'furunkuly'];Bolestivý, miestny kožný zápal spôsobený infekciou chlpového folikuku. Zvyčajne je prítomné tvrdé jadro a hnis. Často sa objavuje na čelách pubescentov.
situation;['príležitosť', 'šanca', 'šancu'];Priaznivá okolnosť
situation;['príklad', 'obraz', 'vzor', 'konceptuálne modelovanie', 'konceptuálny model', 'model'];Niečo, čo reprezentuje celú množinu podobných vecí v skupine.
situation;['pupienok', 'akné', 'pupienky', 'zit'];Bolestivý, miestny kožný zápal spôsobený infekciou chlpového folikuku. Zvyčajne je prítomné tvrdé jadro a hnis. Často sa objavuje na čelách pubescentov.
situation;['podanie', 'servis', 'slúžiť'];Prvá strela lopty v hre za účelom dosiahnutia ďalšieho bodu.
situation;['mier', 'mierová zmluva'];stav bez vojny, obzvlášť medzi dvomi krajinami
situation;['uhryznutie', 'hmyzom'];Rana zanechaná po hryzení.
situation;['ahoj', 'hello', 'hallo', 'dobrý deň', 'nazdar', 'servus', 'čau', 'haló'];Pozdrav medzi dvoma alebo viacerými ľudmi, ktorí sa navzájom poznajú.
situation;['choroba', 'porucha', 'ochorenie', 'choroby', 'chorý', 'nemoc', 'morbidita', 'morbídne', 'zdravotné poruchy', 'zdravotný stav'];Patologický proces nesúci charakteristickú množinu príznakov a symptómov, ktoré sú škodlivé zdraviu človeka.
situation;['popálenina', 'popáliť', 'popáleniny', 'popáleniny tretieho stupňa', 'druhého stupňa popálenia', 'druhý stupeň vypáliť', 'tretí stupeň horí'];Poranenie kože spôsobené ohňom, intenzívnym teplom, žiarou alebo istými chemikáliami.
situation;['príklad', 'prípade'];Niečo, čo reprezentuje celú množinu podobných vecí v skupine.
situation;['popálenina', 'popáliť', 'popáleniny', 'popáleniny tretieho stupňa', 'druhého stupňa popálenia', 'druhý stupeň vypáliť', 'tretí stupeň horí'];Poranenie kože spôsobené ohňom, intenzívnym teplom, žiarou alebo istými chemikáliami.
situation;['popálenina', 'popáliť', 'popáleniny', 'popáleniny tretieho stupňa', 'druhého stupňa popálenia', 'druhý stupeň vypáliť', 'tretí stupeň horí'];Poranenie kože spôsobené ohňom, intenzívnym teplom, žiarou alebo istými chemikáliami.
situation;['choroba', 'nemoc', 'ochorenie', 'choroby', 'unwellness'];Patologický proces nesúci charakteristickú množinu príznakov a symptómov, ktoré sú škodlivé zdraviu človeka.
situation;['popálenina', 'popáliť', 'popáleniny', 'popáleniny tretieho stupňa', 'druhého stupňa popálenia', 'druhý stupeň vypáliť', 'tretí stupeň horí'];Poranenie kože spôsobené ohňom, intenzívnym teplom, žiarou alebo istými chemikáliami.
situation;['začiatok', 'vznik', 'počiatok', 'začiatku'];Začatie činnosti, udalosti.
situation;['začiatok', 'vznik', 'počiatok', 'začiatku'];Začatie činnosti, udalosti.
situation;['aktivita', 'aktívnosť', 'konanie', 'pôsobenie', 'činnosť'];Stav alebo vlastnosť aktívneho bytia.
social-relationship;['vzťah', 'medziľudský vzťah', 'spojitosť', 'súvislosť', 'medziľudských vzťahov', 'dlhodobom vzťahu', 'dlhodobý vzťah', 'medziľudské vzťahy', 'spoločnosť', 'ľudskej interakcie', 'ľudského vzťahu', 'ľudských vzťahov'];Spojenie alebo vzťah medzi dvomi alebo viacerými prvkami.
social-relationship;['konto', 'obchodný vzťah', 'účet'];Formálny kontraktný vzťah za účelom poskytovania bežných bankových služieb alebo burzových operácií alebo obchodných služieb.
socially-constructed-person;['kosť', 'samica'];Žena považovaná za sexuálne príťažlivú mužom alebo mužmi.
socially-constructed-person;['kikuju', 'kikujčina'];Jazyk v Keni.
socially-constructed-person;['dcéra', 'dcéry'];Potomok ženského pohlavia. Ľudského aj živočíšneho rodu.
socially-constructed-person;['kráľovná', 'panovníčka', 'queen', 'kráľovná vládnuca', 'cisárovnej vládnucej', 'samica monarcha'];Panovník ženského rodu.
socially-constructed-person;['otec', 'ploditeľ', 'begetter', 'biologický otec', 'mužský rodič'];Rodič mužského pohlavia.
socially-constructed-person;['manžel', 'ženatý muž', 'ženáč', 'manžílek'];Muž, ktorý je partnerom v manželstve alebo manželskom partnerstve.
socially-constructed-person;['manželka', 'vydatá žena', 'žena', 'manželky'];Vydatá žena.
socially-constructed-person;['longobardi', 'lombardčina', 'langobardi', 'longobardov', 'lombard'];Taliansky jazyk.
socially-constructed-person;['baskičtina', 'bask', 'basque', 'basque jazyk', 'euskara', 'euskera'];Jazyk, ktorým sa hovorí hlavne v Baskicku.
socially-constructed-person;['sumerčina', 'sumerian'];Jazyk starovekých Sumerov, ktorým sa hovorilo v južnej Mezopotámii najmenej od 4. storočia pred Kr.
socially-constructed-person;['vandali', 'vandal'];VýchodoGermánsky rod, ktorý nastúpil v neskoro-rímskom Impériu počas 5. storočia.
socially-constructed-person;['nemec', 'nemka'];Osoba nemeckej národnosti.
socially-constructed-person;['japončina', 'japonec', 'japonec-jazyková'];Jazyk používaný hlavne v Japonsku.
socially-constructed-person;['rarotongská maorijčina', 'jazyku tongan'];Jazyk na Tonga.
socially-constructed-person;['tajný agent', 'agent, tajný', 'pracovník rozviedky', 'člen spravodajskej služby', 'špión', 'spravodajský dôstojník', 'spravodajský agent'];Osoba zodpovedná za nelegálne zhromažďovanie tajných informácií.
socially-constructed-person;['zakladateľ', 'otec', 'zriaďovateľ', 'entrepreneurialism', 'podnikania', 'podnikateľ', 'podnikateľov', 'podnikateľské myslenie', 'spoluzakladateľ', 'sériový podnikateľ'];Osoba, ktorá niečo založila alebo objavila, ako ''Praotec našej krajiny''
socially-constructed-person;['šéf', 'hlava', 'vedúca osoba', 'top dog'];Osoba, ktorá vládne, vedie alebo má niečo na starosti
socially-constructed-person;['vodca', 'líder', 'šéf'];Osoba, ktorá vládne, vedie alebo má niečo na starosti
socially-constructed-person;['manžel', 'manželka', 'lepšia polovička', 'partner', 'druh', 'družka', 'partnerka', 'muž', 'žena', 'manžela', 'ženatý človek'];Muž, ktorý je partnerom v manželstve alebo manželskom partnerstve.
socially-constructed-person;['kuchár', 'hlavný kuchár', 'šéfkuchár', 'kuchári', 'sous-chef'];Osoba, ktorá pripravuje jedlo.
socially-constructed-person;['kuchár', 'hlavný kuchár', 'šéfkuchár', 'kuchári', 'sous-chef'];Osoba, ktorej zamestaním je pripravovať jedlo pre zákazníkov.
socially-constructed-person;['gruzínčina'];Južnokaukazský jazyk, ktorým sa hovorí prevažne v Gruzínsku.
socially-constructed-person;['ortopéd', 'ortopedické'];Lekársky špecialista, ktorý sa zaoberá ortopédiou.
socially-constructed-person;['bábätko', 'kojenec', 'bábo', 'dieťatko', 'malé dieťa', 'dojča', 'dieťa', 'novorodencov', 'nemluvňa'];Veľmi mladý človek, od narodenia do niekoľkých rokov veku.
socially-constructed-person;['celebrita', 'osobnosť', 'hviezda', 'celebrity', 'mediálna osobnosť', 'popstar', 'slávna osoba', 'televízne osobnosť'];Významná alebo populárna osoba, často herec alebo športovec.
socially-constructed-person;['mníška', 'matka', 'rehoľníčka', 'mníšky'];Žena, ktorá má aspoň jedno dieťa.
socially-constructed-person;['dievča', 'slečna', 'dievčina', 'deva', 'dievka', 'dievčatá', 'fille', 'missy', 'mladá žena'];Mladá osoba ženského pohlavia, zvyčajne dieťa alebo pubertiačka.
socially-constructed-person;['žena', 'dospelá žena', 'ženy'];Dospelý človek pohlavia, ktoré tvorí vajíčka a rodí deti.
socially-constructed-person;['stará baba', 'kurva', 'štetka'];Škaredá alebo nepríjemná žena.
socially-constructed-person;['baba', 'kosť', 'samica', 'dievča'];Žena považovaná za sexuálne príťažlivú mužom alebo mužmi.
socially-constructed-person;['kuchár', 'kuchárka', 'krátke aby kuchár'];Osoba, ktorej zamestaním je pripravovať jedlo pre zákazníkov.
socially-constructed-person;['obchodník s rybami', 'predavač rýb', 'predavčka rýb', 'predajca rýb', 'predavačka rýb', 'fishmongers', 'rybami'];Obchodník špecializujúci sa na predaj rýb.
socially-constructed-person;['teta'];Žena s aspoň jedným súrodencom, ktorý má aspoň jedno dieťa. sestra niekoho otca alebo matky.
socially-constructed-person;['kráľovná', 'kráľovná manželka', 'kráľovná-manželka', 'manžel cisárovnej'];Manželka kráľa.
socially-constructed-person;['kráľovná'];Manželka kráľa.
space-region;['miesto', 'bod', 'topografická oblasť', 'mieste', 'topografické bod', 'umiestnenie'];Pozícia alebo oblasť v priestore.
space-region;['obežná dráha', 'orbita', 'dráhu', 'nebeský obežnej dráhe', 'planetárneho pohybu'];Kruhová alebo eliptická dráha objektu pohybujúceho sa okolo iného objektu.
spatial-feature;['dno', 'spodok'];Preliačenina tvoriaca podklad pod telesom vody.
spatial-feature;['hranica', 'vymedzenie', 'colná hranica', 'delimitácia', 'hraničná čiara', 'hraničný pruh', 'medza', 'medzná čiara', 'ohraničenie', 'stanovenie hraníc', 'štátna hranica', 'medzinárodné hranice', 'hranice', 'hraníc', 'vymedzenie volebných obvodov', 'vymerať', 'štátne hranice'];Myslená čiara deliaca politické alebo geografické oblasti.
spatial-feature;['mys', 'ostrov', 'predhorie', 'výbežok', 'výčnelok', 'útes'];Výbežok vyčnievajúci smerom k moru od pobrežia, väčšinou so značným útesom.
spatial-feature;['hrana', 'hranica', 'kraj', 'okraj'];Hranica plochy.
spatial-feature;['podlaha', 'dlážka', 'podlahy', 'podlahe'];Spodná časť miestnosti. Základný povrch v miestnosti.
spatial-feature;['hrot šípu', 'hrot šípky', 'šípok'];Zaostrený koniec šípu.
spatial-feature;['chrbát', 'zadná časť', 'zadok', 'rub', 'zadnej časti'];Opačná strana na niečom, pričom druhá strana je vpredu alebo je použiteľnejšia. Strana, na ktorú sa normálne nehľadí.
subject;['matematika', 'matika', 'počty', 'matematicky', 'matematike'];Vedná disciplána zaoberajúca sa pojmami ako množstvo, štruktúra, priestor a zmena.
subject;['vedy o zemi', 'veda o zemi', 'náuka o zemi', 'geoveda', 'geovedy', 'geoscience', 'geosciences'];Veda zaoberajúca sa Zemou alebo jej ľubovoľnou časťou. patria sem o.i. disciplíny geológie, geografie, oceánografie a meteorológie.
subject;['astronómia', 'astronomické', 'astronómie', 'uranology'];Veda zaoberajúca sa nebeskými telesami, ich pozorovaním a interpretáciou žiarenia zachyteného v blízkosti Zeme z častí vesmíru.
subject;['chémia', 'chemik', 'lučba', 'chemické vedy', 'aplikovanej chémie', 'aplikovaná chémia', 'chémie'];Vedná náuka o vlastnostiach, zložení a štruktúre hmoty, zmenách v štruktúre a zložení hmoty a sprievodných energetických zmenách.
subject;['architektúra', 'architektúry'];Umenie a veda navrhovania a budovania štruktúr alebo skupín štruktúr, za podmienky dodržania estetických a funkčných kritérií.
subject;['biochémia', 'biochemik', 'biochémie', 'biochemické', 'biochemikálie'];Náuka o chemických látkach vyskytujúcich sa v živých organizmoch a reakciách a metódach pre identifikovanie týchto látok.
subject;['fyzika', 'filozofia prírody', 'fyziky', 'prírodná filozofia', 'prírodný filozof', 'prírodných filozofov'];Náuka o tých aspektoch prírody, ktoré je možné porozumieť fundamentálnym spôsobom na základe elementárnych rincípov a zákonov.
subject;['biológia', 'biológ', 'biologické vedy', 'biologický výskum', 'biosciences'];Odvetvie prírodných vied zaoberajúce sa štúdiom života a živých organizmov.
subject;['sémantika', 'sémanticky'];Odvetvie lingvistiky, ktoré študuje význam v jazyku.
substance-role;['sediment', 'usadenina', 'naplavenina', 'nános', 'sedimenty', 'usadeniny', 'sedimentov'];Akýkoľvek materiál prenesený vodou, ktorý sa napokon usadí na dne potom, čo voda stratí silu niesť ho ďalej.
task;['delenie', 'delenec', 'celočíselné delenie'];V matematike, aritmetická operácia opačná k násobeniu.
taxonomic-collection;['slovný druh', 'slovné druhy', 'lexikálnej kategórie', 'triedy formulára', 'časť-of-speech', 'časť reči'];Kategória, do ktorej slovo patrí na základe jeho syntaktickej funkcie.
taxonomic-collection;['prídavné meno', 'adjektívum', 'prídavné mená', 'adjektíva', 'atributivní adjektívum', 'forma'];Slovo, ktoré modifikuje význam alebo opisuje podstatné meno alebo zámeno.
taxonomic-collective;['ryby', 'pisces', 'trieda ryby', 'ryba', 'rýb', 'ichtyofauny', 'morských rýb'];Chladnokrvný živočích žijúci vo vodnom prostredí, pohybujúci sa pomocou plutiev a dýchajúci žiabrami (Pisces).
taxonomic-collective;['proso', 'pšeno', 'millets'];Skupina druhov obilnín s malým zrnom, ktorá sa hojne pestuje po celom svete pre potravu a krmivo.
technique;['inovácia', 'vynález', 'myšlienka', 'nápad', 'objav', 'obnovenie', 'obnovovanie', 'zavedenie', 'inovatívne', 'inovácie', 'inovácií', 'invent', 'technologické inovácie', 'vynájdený', 'vynálezcov', 'vynálezov', 'vynálezu'];Niečo novo predstavené ako nová metóda či zariadenie.
temporal-region;['storočie', 'storočia', 'stoletie'];Obdobie 100 rokov.
temporal-region;['dlhá doba', 'roky', 'veky', 'vek', 'dlhú dobu', 'ma', 'rok', 'rok gregoriánskeho', 'rokoch', 'rokov'];Časová doba, ktorú osoba, zviera alebo rastlina žije.
temporal-region;['narodeniny'];Deň, v ktorom sa pred niekoľkými rokmi niekto narodil alebo sa stala významná udalosť.
temporal-region;['mesiac', 'kalendárny mesiac', 'mesiace'];Obdobia na ktoré je rozdelený celý rok, historicky rozdelené na základe fáz mesiaca. V gregoriánskom kalendári je dvanásť mesiacov.
temporal-region;['január', 'ľaden', 'januára'];Prvý mesiac v gregoriánskom kalendári s 31 dňami.
temporal-region;['január', 'ľaden', 'januára'];Prvý mesiac v gregoriánskom kalendári s 31 dňami.
temporal-region;['január', 'ľaden', 'januára'];Prvý mesiac v gregoriánskom kalendári s 31 dňami.
temporal-region;['december', 'prosinec', 'decembri'];Dvanásty mesiac v gregoriánskom kalendári, má 31 dní.
temporal-region;['december', 'prosinec', 'decembri'];Dvanásty mesiac v gregoriánskom kalendári, má 31 dní.
temporal-region;['máj', 'mája'];Piaty mesiac v gregoriánskom kalendári, má 31 dní.
temporal-region;['september', 'hrudeň', 'septembra'];Deviaty mesiac v gregoriánskom kalendári, má 30 dní.
temporal-region;['marec'];Tretí mesiac v gregoriánskom kalendári, má 31 dní.
temporal-region;['február', 'malý sečeň', 'februára', 'februári'];Druhý mesiac v gregoriánskom kalendári, má 29 dní v priestupnom roku a 28 dní ostatné roky.
temporal-region;['august', 'auguste'];ôsmy mesiac v gregoriánskom kalendári, má 31 dní.
temporal-region;['júl', 'júla'];Siedmy mesiac v gregoriánskom kalendári, má 31 dní.
temporal-region;['apríl', 'apríla'];Štvrtý mesiac v gregoriánkom kalendári s 30 dňami.
temporal-region;['jún', 'júna'];Šiesty mesiac v gregoriánskom kalendári, má 30 dní.
temporal-region;['november', 'listopád', 'studeň', 'novembra'];Jedenásty mesiac v gregoránskom kalendári, má 30 dní.
temporal-region;['október', 'seveň', 'októbra', 'októbri'];Desiaty mesiac v gregoriánskom kalendári, má 31 dní.
temporal-region;['deň'];Doba od polnoci do nasledujúcej polnoci. Sedem dní tvorí jeden týždeň.
temporal-region;['jeseň'];Obdobie po lete pred zimou, zvyčajne od 21. Septembra do 20. Decembra. na južnej pologuli od 21. Marca do 20. Júna.
temporal-region;['deň', 'denná doba', 'denný čas', 'denných'];Časový úsek od východu po západ slnka.
