abstract-region;['vektorski produkt', 'vektor izdelek', 'vektorski izdelka', 'čez izdelek'];Binarni operator v trirazsežnem prostoru
amount-of-matter;['bor', 'b', 'atomsko število 5', 'bora', 'borom-10'];In atomsko število 5
amount-of-matter;['helij', 'he', 'helij/utekočinjen, komprimiran', 'atomsko število 2', 'helija', 'superfluidnosti helija'];In atomsko število 2
amount-of-matter;['vodikov peroksid', 'peroksid', 'vodikov superoksid', 'vodikovega peroksida'];Slika
amount-of-matter;['bencin', 'neosvinčeni bencin', 'mogas'];Mešanica lahkih ogljikovodikov
amount-of-matter;['dišavno olje', 'eterično olje', 'eterična olja', 'dišavna olja', 'aromatična zelišča', 'eteričnih olj', 'spremenljivih cen nafte'];Kapljevine oljnega videza in otipa z izrazitim vonjem
amount-of-matter;['fluorovodikova kislina', 'hf', 'projekt:fluorovodikova kislina'];Vodna raztopina vodikovega fluorida
amount-of-matter;['kalcij', 'ca', 'atomsko število 20', 'kalcija', 'kalcijev'];In atomsko število 20
amount-of-matter;['skandij', 'sc', 'atomsko število 21'];In atomsko število 21
amount-of-matter;['pikrinska kislina', '2,4,6-trinitrofenol', 'c6h3n3o7', '(no2)3c6h2oh', 'projekt:pikrinska kislina', 'trinitrofenol', 'lyddite'];Uporabljene so enote SI kjer je bilo možno
amount-of-matter;['železova litina', 'lito železo', 'litega železa'];Zlitina železa z ogljikom, pri čemer je vsebnost ogljika večja od 2 %. navadno med 2 in 4 %
amount-of-matter;['aspirin', 'acetilsalicilna kislina', 'bayer', 'acetilsalicilno kislino', 'bayer ag', 'empirin'];Zdravilo iz družine salicilatov in je pogosto uporabljano kot analgetik, antipiretik in protivnetno sredstvo
amount-of-matter;['klorovodikova kislina', 'solna kislina', 'hcl', 'želodčna kislina', 'chlorohydric kislina', 'klorovodikove', 'solne'];Vodna raztopina plina vodikovega klorida
amount-of-matter;['ogljikovi hidrati', 'ogljikov hidrat', 'karbohidrati', 'sladkor', 'ogljikovih hidratov', 'prečiščenimi'];Kemične spojine, ki vsebujejo kisikove, vodikove in ogljikove atome
amount-of-matter;['acetatna vlakna', 'celulozni acetat'];Sintetična vlakna iz acetilceluloze oziroma preja iz njih
amount-of-matter;['ogljikov monoksid', 'co', 'ogljikov oksid', 'ogljikov monoksid plin', 'ogljikovega monoksida'];S kemijsko formulo CO je brezbarven plin brez vonja, gorljiv in zelo toksičen plin
amount-of-matter;['oksid', 'kovinski oksid', 'okis', 'oksidi', 'oksidov kovin prehoda'];Kemična spojina kisika z ostalimi kemičnimi elementi, t.j. rja ali boksit
amount-of-matter;['lantanoidi', 'lantanidi', 'lantanid', 'lantanoid', 'redkih zemeljskih elementov', 'redkih zemeljskih kovin', 'lanthanide', 'lanthanoid', 'lanthanon', 'redke zemlje', 'redkih zemeljskih'];Skupina 14 redko-zemeljskih kemijskih elementov, ki v periodnem sistemu ležijo med lantanom in iterbijem, se pravi tistih, katerih atomska števila so med 57 in vključno 70
amount-of-matter;['maščobna kislina', 'maščobne kisline', 'maščobnih kislin', 'dolge verige maščobnih kislin', 'proste maščobne kisline', 'prostih maščobnih kislin'];V organski kemiji in še posebej biokemiji karboksilna kislina, pogosto z dolgimi alifatskimi verigami, ki so lahko nasičene ali nenasičene
amount-of-matter;['beljakovina', 'protein', 'beljakovine', 'beljakovin', 'poliproteinskih', 'sintezo beljakovin'];Kompleksna organska molekula, sestavljena iz najmanj 50 verižno povezanih aminokislin
amount-of-matter;['protitelo', 'imunoglobulin', 'protiteles', 'protitelesce', 'imunoglobulinom', 'protitelesa'];Topna glikoproteinska molekula iz skupine imunoglobulinov, ki se je sposobna vezati na tujke in jim s tem prepreči, da bi škodovali organizmu
amount-of-matter;['vermut', 'pelinkovec'];Z zelišči aromatizirano vino
amount-of-matter;['halogen', 'halogeni', 'fluorova skupina', 'halogeni elementi', 'halogeni plini', 'halogenid', 'halogenske', 'halogenov'];Elementi so elementi, ki ležijo v VII. skupini periodnega sistema
amount-of-matter;['kemični element', 'kemijski element', 'kemična prvina', 'element', 'radioaktivnih elementov'];Snov, ki je ni mogoče z nobenim kemičnim postopkom razstaviti na enostavnejše sestavine
amount-of-matter;['fosfolipid', 'fosfolipidov', 'fosfolipide'];Molekula, predstavnik polarnih maščob
amount-of-matter;['lipid', 'lipidi', 'lipidov', 'glycerolipid', 'lipide', 'lipoid'];Vrsta organskih spojin, ki so bistvene celične sestavine. sestavljajo različne celične membrane
amount-of-matter;['amid', 'amidi', 'amidiranja'];* določena vrsta dušikovega aniona
amount-of-matter;['alken', 'alkeni', 'olefin', 'alkenov', 'alkenyl', 'olefina', 'olefinov'];Nenasičeni ogljikovodiki z dvojno vezjo, npr. eten in propen
amount-of-matter;['espresso', 'kremo'];Kava, ki je pripravljena s postopkom vodnega uparjevanja
amount-of-matter;['aminokislina', 'amino kislina', 'aminokisline', 'aminokislinski ostanek', 'aminokislin', 'alfa-amino kisline', 'amino kisline ostankov', 'aminoalkanoic kislina', 'aminokislina ostanek'];V kemiji na splošno vsaka molekula, ki vsebuje tako aminsko kot karboksilno funkcionalno skupino
amount-of-matter;['calvados', 'kalvados'];Departma v Franciji, nahaja se v regiji Spodnji Normandiji
amount-of-matter;['napalm a', 'napalm'];Lahko vnetljiva zmes iz natrijevega palmitata, želiranega bencina in drugih sestavin
amount-of-matter;['moselle', 'mozela'];Francoski departma ob meji z Luksemburgom in Nemčijo, imenovan po reki Mozeli, ki teče skozenj
amount-of-matter;['cognac', 'konjak', 'borderies'];Kraj in občina v zahodni francoski regiji Poitou-Charentes, podprefektura departmaja Charente
amount-of-matter;['viski', 'blended', 'bourbon', 'malt', 'single malt', 'sour mash', 'whiskey', 'whisky', 'viskija'];Žgana pijača iz ječmena in drugih vrst žitaric, ki ima korenine na Škotskem in Irskem
amount-of-matter;['oljčno olje', 'olivno olje', 'ekstra deviško oljčno olje slovenske istre', 'oljčno', 'ekstra deviškega oljčnega olja'];Olje, pridobljeno iz plodov oljke, oliv
amount-of-matter;['sončnično olje'];Olje nevtralnega okusa in vonja, iztisnjeno iz sončničnih semen
amount-of-matter;['sezamovo olje'];Organsko olje, pridobljeno iz semen sezama, po katerih ima značilen vonj in okus
amount-of-matter;['pinjenec'];Mlečni izdelek, ki nastane kot stranski proizvod pri pripravi masla iz smetane
amount-of-matter;['nerjavno jeklo', 'nerjaveče jeklo', 'nerjavna jekla', 'krom jekla', 'nerjaveče'];Zlitine na osnovi železa, kar pomeni, da je delež železa najmanj 50%. Nerjavnost jekel pomeni, da ob dolgotrajnešem stiku z vodo oz. na vlažnem zraku ne zarjavi oz. korodira
amount-of-matter;['ogljikovo jeklo', 'ogljikovega jekla', 'visoko ogljikovega jekla', 'ogljikova jekla'];Vsebujejo do 2,14 % C ter določeno količino različnih spremljevalcev: Si, Mn, P in S, ki ne smejo prekoračiti določene vsebnosti, sicer bistveno spremenijo lastnosti jekla
amount-of-matter;['cabernet sauvignon', 'cabernet'];Sorta rdečega grozdja, večinoma uporabljena za pridelavo vina in je v svetovnem merilu poleg Chardonnaya ena najpogosteje gojenih trt
amount-of-matter;['zeliščni čaj', 'zdravilni čaj', 'zeliščni'];Pijača iz posušenih delov zelišč, ki se pripravijo običajno kot poparek ali prevretek
amount-of-matter;['margarita'];Klasičen južnoameriški koktajl
amount-of-matter;['mlečna maščoba', 'mlečne maščobe', 'maščobe'];Mlečna maščoba zajema živalske maščobe, ki so prisotne v mleku in mlečnih izdelkih
amount-of-matter;['glikogen', 'glikogena', 'živalski škrob'];Polisaharid in je osnovna oblika uskladiščene glukoze v celicah pri živalih in človeku
amount-of-matter;['vodka', 'rusko vodko'];Praviloma brezbarvna žgana pijača z minimalno 37,5 % alkohola
amount-of-matter;['grafit', 'črna rok'];Ena od treh alotropskih modifikacij ogljika. Alotropija je namreč pojav, ko se element pojavlja v več kristalnih oblikah. ogljik se poleg grafita pojavlja še kot diamant in fuleren
amount-of-matter;['amonijev nitrat', 'projekt:amonijev nitrat', 'amonijevega nitrata'];Bela kristalna snov, ki se največ uporablja kot dušikovo gnojilo in eksploziv
amount-of-matter;['inulin'];Polisaharid, ki ga nahajamo v različnih rastlinah kot obliko rezervne hrane
amount-of-matter;['destilirana voda', 'prekapana voda'];Voda brez ionov, elementov v sledovih in nečistot, ki so prisotne v vodovodni vodi
biological-object;['obmodek', 'epididimisa'];Del moških spolnih organov
biological-object;['meniskus', 'semilunar hrustanec'];V fiziki izraz za ukrivljeno gladino kapljevine, v ozki posodi, ki je posledica kohezivnih sil in površinske napetosti
biological-object;['klitoris', 'ščegetavček', 'frenulum clitoridis', 'klitorisa', 'klitorisa ana', 'klitorisa glavice penisa'];Nabrekljiv organ zunanjih ženskih spolovil in je najpomembnejša erogena cona pri ženski
biological-object;['maternica', 'uterus', 'maternični vrat', 'maternice'];Del ženskih spolnih organov
biological-object;['korenika', 'rizom', 'korenike', 'rizomska', 'rootstalk'];Slika
biological-object;['trebušna slinavka', 'žlezni mešiček', 'pankreasni acinus', 'pankreas', 'trebušne slinavke'];* eksokrino - proizvaja sok, ki vsebuje prebavne encime
biological-object;['hrbtenjača', 'hrbtni mozeg', 'medulla spinalis', 'hrbtenjače', 'ledvenem segmentu', 'prsni segmentu', 'sakralne segmentu', 'sredica spinalis', 'vratnega predela'];Del živčnega sistema vretenčarjev, ki leži v hrbteničnem kanalu in jo oklepa in varuje hrbtenica
biological-object;['skeletna mišica', 'skeletne mišice', 'skeletno mišičje', 'mišičnih vlaken', 'progastih mišic'];Mišice, ki so predvsem pod zavednim nadzorom, so odgovorne za premikanje in gibanje telesa, na primer mišice v spodnjih in zgornjih okončinah
biological-object;['žolčnik', 'žolčni mehur', 'holecista', 'vesica biliaris', 'vesica fellea', 'žolčnika'];Votli organ hruškaste oblike, v katerem se pri vretenčarjih skladišči v jetrih nastajajoč žolč
biological-object;['golgijev aparat', 'golgijev kompleks', 'dictyosome', 'golgijev organ', 'golgijev organov'];Membranski organel v celici. Membrane tvorijo sploščene cisterne, ki ležijo ena nad drugo
biological-object;['celično jedro', 'jedro', 'karion', 'nukleus', 'celična jedra', 'jedrni protein', 'jedrni proteini', 'celic jedra', 'celica jedro', 'celičnem jedru', 'jedri', 'karyon'];Z membrano obdan organel, ki ga najdemo v večini evkariontskih celic
biological-object;['zatilnica', 'temenske kosti'];Neparna lobanjska kost, ki po obliki nekoliko spominja na vretenca
biological-object;['češerika', 'češarika', 'epiphysis cerebri', 'glandula pinealis', 'epifiza', 'epifiz cerebri', 'epifizo', 'česarika', 'česarika telo', 'češariko telesa'];Leži v zadnjem delu velikih možganov
biological-object;['organel', 'organček', 'celični organček', 'organeli', 'organela', 'celica organela', 'celica orgle', 'organelov'];Strukturna in funkcionalna enota celice
biological-object;['limbični sistem', 'limbični', 'limbični možgani', 'trebušne možgane'];Del velikih možganov
biological-object;['celična membrana', 'plazemska membrana', 'plazmalema', 'biološka membrana', 'celična opna', 'celične membrane', 'basolateral', 'basolateral membrano', 'citoplazemski membrani', 'cytomembrane', 'plasmalemma', 'plasmalemmal', 'površini celice'];Tanka, urejena plast fosfolipidnih molekul in proteinov, ki v celoti obkroža notranjost celice in razmejuje protoplazmo od okolice ter selektivno prepušča izbrane snovi
biological-object;['vakuola', 'vakuole', 'celično', 'vacuolar', 'vakuol'];Z membrano obdani razdelki v nekaterih evkariontskih celicah
biological-object;['potrebušnica', 'peritonej', 'intraperitonealno', 'parietalnih peritonej', 'parietalnih potrebušnice', 'peritonealno', 'potrebušnice'];Serozna mrena v trebušni votlini
biological-object;['podjezičnica', 'hioidna kost', 'podjezična kost', 'hyoid', 'hyoid kosti', 'jezična kost', 'os hyoideum', 'večji cornu'];Leži pod spodnjo čeljustnico in je vpeta v vratne mišice
biological-object;['slepič', 'privesek', 'cecal privesek', 'vermiform dodatek', 'vermiform proces'];Slika
biological-object;['usnje', 'koža', 'usnja', 'usnjenih izdelkov'];Ustrojena živalska koža
biological-object;['mitohondrij', 'mitochondrion', 'chondriosome', 'mitohondrijske membrane'];Membranska struktura oziroma kompartment evcite, ki služi celičnemu dihanju
biological-object;['erogena cona', 'erogenih con'];Del telesa, ki je spolno vzdražljiv
biological-object;['žleza', 'žleze', 'secreter', 'secretor', 'sekrecijski orgle', 'žleznega'];Organ, ki je specializiran za proizvajanje in izločanje določene substance
biological-object;['spolni organ', 'spolni organi', 'spolovila', 'spolovilo', 'reproduktivne organe', 'spolnih organov', 'reproduktivni organ', 'spolne organe', 'spolnega organa', 'spolnih', 'zunanjih spolnih organov'];Človeški ali živalski organi, namenjen razmnoževanju
biological-object;['ključnica', 'clavicula', 'ključnico', 'clavicles'];Kost, ki ima obliko zelo razpotegnjene črke S in poteka od ročaja prsnice do lopatice
biological-object;['zagozdnica', 'os sphenoidale', 'sfenoidalka', 'sfenoidalna kost', 'sphenoid kosti', 'sphenoid'];Centralno ležeča kost možganskega dela lobanje in je zagozdena med druge lobanjske kosti
biological-object;['rozine', 'rozina', 'cveba', 'rozin'];Posušene grozdne jagode
biological-object;['sečevod', 'ureter', 'ureters'];Del sečnih izvodil, po katerem teče seč iz ledvic v sečnik
biological-object;['jajcevod', 'oviduct', 'jajcevodih', 'maternice cev', 'maternice cevi', 'oviducts'];Del ženskih spolnih organov
biological-object;['nebnica', 'palatin kosti', 'nebna kost', 'os palatinum'];Parna lobanjska kost, sestavljena iz dveh ploščic
biological-object;['pljuča', 'pulmo', 'pljuč'];Organ, ki spada k dihalom
biological-object;['temenica', 'os parietale', 'parietalnih kosti'];Parna štirioglata lobanjska kost, ki tvori zgornji in stranski del lobanjskega svoda
biological-object;['zadnjik', 'zádnjik', 'anus', 'ritnik', 'zadnjična odprtina', 'analnega sfinktra', 'perianalnih'];Končni del prebavne cevi oziroma zadnji del danke
biological-object;['zlato runo', 'golden fleece'];V grški mitologiji predstavljalo krzno krilatega ovna Krisomalosa
biological-object;['sestavljeno oko', 'spojina oči'];Čutilo za vid pri členonožcih, kot so raki in žuželke
biological-object;['skeletna mišica', 'skeletne mišice', 'skeletno mišičje', 'mišičnih vlaken', 'progastih mišic'];Mišice, ki so predvsem pod zavednim nadzorom, so odgovorne za premikanje in gibanje telesa, na primer mišice v spodnjih in zgornjih okončinah
biological-object;['modo', 'moda', 'jajce', 'módo', 'testis', 'ballock', 'sranje', 'teste', 'testisov'];Del moških spolnih organov
biological-object;['ribosom', 'ribosomi', 'ribosoma', 'ribosome', 'ribosomsko'];Celični organel, ki katalizira in regulira tvorbo proteinov
biological-object;['ledvica', 'ledvice', 'obist', 'ledvic'];Parni organ fižolaste oblike, ki izločajo seč
biological-object;['obščitnica', 'obščitnice', 'obščitnic', 'obščitnice žleze'];Štiri majhne žleze z notranjim izločanjem, ki navadno ležijo na zadajšnji površini ščitnice, redkeje pa znoraj ščitnice
biological-object;['ličnica', 'jagodična kost', 'jugal kosti', 'ličnic', 'zygomatic kosti', 'lična kost', 'jugal', 'malar', 'malar kosti', 'os zygomaticum', 'zygomatic'];Parna kost lobanje, ki tvori koščen most med obraznim in možganskim delom
biological-object;['slepo črevo', 'cekum', 'cecum', 'gastrovascular votlino'];Začetni del debelega črevesa
biological-object;['trtica', 'trojk', 'jurica', 'rep kosti', 'tailbone'];Sestavljena iz treh do petih vretenc
biological-object;['prsnica', 'pŕsnica', 'sternum', 'grodnica', 'prsna', 'kost prsnica', 'manubrium', 'manubrium sterni', 'prsnice', 'prsnico'];Neparna ploščata kost, ki leži na sredinski ravnini na sprednji strani prsnega koša
biological-object;['golenica', 'tibia', 'tibija', 'shinbone', 'piščal', 'golenice'];Kost, ki leži na medialni strani goleni
biological-object;['čelnica', 'os frontale', 'prednji kosti'];Ena neparna lobanjska kost, ki tvori sprednjo steno možganskega svoda in zgornji del očesnih votlin
biological-object;['mrežnica', 'retina', 'očesna mrežnica', 'roženici'];Senzorinevralno tkivo, ki leži na zadnji steni očesa
biological-object;['tanko črevo', 'ozko črevo', 'tankem črevesju'];Del človeških prebavil
biological-object;['penis', 'ud', 'falos', 'falus', 'moški spolni ud', 'moški spolni organ', 'spolni ud', 'penisa'];Zunanji moški spolni organ
biological-object;['hipofiza', 'možganski privesek', 'hipofize', 'hipofiza telo', 'hormonov hipofize'];Majhna žleza z notranjim izločanjem, ki leži v koščeni vdolbini lobanjskega dna v tako imenovanem turškem sedlu
biological-object;['mečnica', 'fibula', 'mečnice', 'tele kosti'];Kost v goleni
biological-object;['črevo', 'črevesje', 'črevesja', 'v prebavnem traktu', 'črevesju', 'črevesni sluznici'];Slika
biological-object;['vito črevo', 'ileum', 'črevnico'];Končni odsek tankega črevesa
biological-object;['dvanajstnik', 'duodenum', 'dvanajsternik', 'dvanajstnika'];Slika
biological-object;['obkrajno živčevje', 'periferni živčni sistem', 'periferno živčevje', 'obkrajno', 'perifernega živčnega sistema', 'perifernih živcev', 'sistematično nervosum periphericum'];Obsega del živčevja, ki se nahaja zunaj možganov in hrbtenjače
biological-object;['živčni sistem', 'živčevje', 'nevrogenim', 'sistematično nervosum', 'živčnega sistema'];Pri živalih usklajuje dejavnosti mišičja, nadzira delovanje organov, konstruira in procesira podatke, ki jih posredujejo čutila, ter inicira akcijo
biological-object;['hrbtenica', 'rahis', 'rebrce', 'columna vertebralis', 'hrbtenice', 'vretenc', 'hrbtenico', 'stržen'];Del okostja, sestavljena je iz 33 do 34-tih vretenc
biological-object;['endokrini sistem', 'endokrine žleze', 'endokrinega sistema'];Slika
biological-object;['zgornja čeljustnica', 'maksila', 'maxilla', 'čeljustnico', 'maksilarni', 'zgornja čeljust', 'zgornji čeljusti', 'čeljustno kost'];Parna lobanjska kost obraznega dela, ki ima telo in štiri odrastke
biological-object;['prebavni trakt', 'bolezni prebavil', 'gi trakta', 'prebavil', 'prebavila', 'prebavne cevi', 'prebavnega trakta', 'prebavni kanal', 'v prebavnem traktu', 'črevesni sluznici'];Pri mnogoceličarjih sistem organov, ki sprejemajo hrano, jo prebavljajo, da iz nje dobijo energijo in hranila, ter izločajo neuporabne ostanke
causal-role;['reagent', 'kemični reagent', 'reagentov', 'reaktantov'];Snov, po navadi raztopina, ki ob dodatku k vzorcu vidno spremeni lastnosti vzorca
causal-role;['talidomid'];Učinkovina s pomirjevalnim in uspavalnim delovanjem, ki se je prodajala med drugim pod zaščitenima imenoma Contergan
chemical-object;['kolagen', 'collagenous', 'kolagena'];Glavna beljakovina vezivnega tkiva pri živalih in pri sesalcih, kjer predstavlja 25 % vse beljakovinske mase, tudi najobilneje zastopana beljakovina
chemical-object;['histon', 'histona'];Bazična beljakovina, ki se povezuje z DNK in tvori kromosom
chemical-object;['albumin', 'albumini', 'beljakovina'];Ena od skupin globularnih, nevtralnih beljakovin, ki so topne v vodi
chemical-object;['atom vodika', 'vodikov atom', 'h-atom', 'atomov vodika', 'atomski vodik', 'vodikovega atoma'];Atom kemijskega elementa vodika
chemical-object;['beljakovina', 'protein', 'beljakovine', 'beljakovin', 'poliproteinskih', 'sintezo beljakovin'];Kompleksna organska molekula, sestavljena iz najmanj 50 verižno povezanih aminokislin
chemical-object;['protitelo', 'imunoglobulin', 'protiteles', 'protitelesce', 'imunoglobulinom', 'protitelesa'];Topna glikoproteinska molekula iz skupine imunoglobulinov, ki se je sposobna vezati na tujke in jim s tem prepreči, da bi škodovali organizmu
chemical-object;['supermolecule', 'makromolekula', 'makromolekule', 'supermolekula', 'velemolekule', 'makromolekul'];Zelo velike molekule in se običajno nanašajo na molekule, ki gradijo polimere ali biopolimere
chemical-object;['izotop', 'izotopi', 'sintetični radioizotop', 'stabilni izotop', 'izotopov'];Atomi kemijskega elementa z enakim vrstnim številom in različnim masnim številom
classification-system;['html', 'hypertext markup language', '.htm', '.html', 'hyper text markup language', 'hipertekst pribitek jezik'];Označevalni jezik za izdelavo spletnih strani
classification-system;['datotečni sistem', 'datotečni sistemi', 'datotečnih sistemov', 'zbirka'];Del operacijskega sistema, ki omogoča trajno shranjevanje podatkov, tudi potem, ko se izvajanje procesa zaključi
classification-system;['islamski koledar', 'muslimanski koledar', 'mohamedski koledar', 'islamski', 'mohammedan koledar', 'muhammadan koledar', 'muslim koledar'];Način štetja, ki ga uporablja muslimanski svet še danes
classification-system;['rimski koledar', 'ide', 'nones', 'nundinae', 'roman koledar'];Temelji na eni izmed variant grških luninih koledarjev
classification-system;['podatkovna struktura', 'podatkovne strukture', 'struktura podatkov'];V računalništvu način shranjevanja podatkov v računalniku, da ga lahko učinkovito uporabimo
classification-system;['julijanski koledar', 'ruski koledar', 'ruski pravoslavni koledar', 'old style koledar', 'julijanskem koledarju', 'leta julijskih', 'old style', 'starem slogu in novih rokov style'];Oblika koledarja, ki temelji na tropskem letu in se imenuje po Gaju Juliju Cezarju
classification-system;['gregorijanski koledar', 'zahodni koledar', 'gregorjanski koledar', 'krščanski koledar', 'gregorijanskem koledarju', 'new style koledar'];Sončni koledar, ki ga trenutno uporabljajo skoraj po celem svetu
cognitive-event;['sinestetičnost', 'sinestezija', 'sinestezije', 'synesthete'];Soobčutje, hkratni doživljaj je strokovni izraz, ki je v uporabi v psihologiji, književnosti govorništvu in v glasbi
cognitive-event;['interpretacija', 'razlaga', 'dubash', 'izročitev', 'resnico prenos', 'tolmača', 'tolmačenja', 'tolmačenje'];Ustno prevajanje
cognitive-event;['čustvo', 'emocija', 'čustva', 'človeških čustev', 'čustev', 'čustveno'];Duševni proces, s katerim izražamo odnos do vsega, kar nas obdaja
cognitive-event;['vid', 'videnje', 'vidno zaznavanje'];Čut za zaznavanje svetlobe in njeno interpretacijo . Čutilo za vid je oko
cognitive-event;['indukcija', 'posplošitev', 'induktivnega sklepanja', 'indukcije', 'induktivne logike', 'induktivno', 'induktivno sklepanje', 'posploševanje'];V logiki metoda za sklepanje iz delnega k celotnemu oziroma iz individualnega k univerzalnemu
cognitive-event;['kes', 'kesanje', 'skesanost', 'skrušenost', 'spokornost', 'contriteness', 'kesanja'];Pomeni obžalovanje grehov oziroma napačnih dejanj,ki jih je zagešila določena oseba
cognitive-event;['empatija', 'empath', 'empatičnih'];Psihološka sposobnost zaznavanja čustev druge osebe, brez da bi s tem podal svoje, ki je tudi združljiva z teorijo uma
cognitive-event;['kakovost življenja', 'življenjski standard', 'livability', 'merjenje blaginje'];Merljiv status posameznika v odnosu do celotne družbe v obravnavani skupini
cognitive-modal-description;['downov sindrom', 'mongoloid', 'mongoloidnost', 'downovim sindromom', 'trisomijo 21', 'mongolizem', 'mongolianism', 'mongolism'];Dedno pogojene duševne manjrazvitosti, ki je posledica kromosomske nepravilnosti. 21. kromosomu je namreč dodan se eden
cognitive-modal-description;['anarhizem', 'brezvladje', 'libertarno socializma', 'svobodomiselnimi socialisti'];Splošen izraz, s katerim opisujemo različne politične filozofije in družbena gibanja, ki zagovarjajo odstranitev hierarhije in vsiljene avtoritete
cognitive-modal-description;['gnosticizem', 'gnoza', 'gnostik', 'gnostiki'];Filozofsko in versko gibanje, ki je bilo najbolj prominentno v grško-rimskem obdobju v drugem stoletju našega štetja
cognitive-modal-description;['etnocentrizem', 'etnocentrizma', 'etnocentričen'];Prepričanje o kulturni večvrednosti, superiornosti lastne etnične skupine, ki se kaže v izraziti etnični zavesti in v podcenjevanju ter zaničevanju drugih etničnih skupin
cognitive-modal-description;['homofobija', 'heterophobia', 'ponotranjeno homofobijo'];Sovražnost do homoseksualcev
cognitive-modal-description;['ikonoklazem', 'ikonoborstvo', 'ikonoklast', 'ikonoklazma', 'podoboborstvo', 'ikonoklastičnega'];Versko gibanje usmerjeno proti izdelavi in čaščenju svetih podob
course;['rekurzija', 'rekurenčna enačba', 'rekurzivna relacija', 'samosklic', 'rekurzivno'];Pomeni nanašajoč na samega sebe
course;['algoritem', 'algoritmični pravilo', 'algoritmični program', 'algoritmov'];Navodilo, s katerim rešujemo določen problem
course;['atavizem', 'atavism'];Izraz, ki se uporablja v evoluciji in pomeni, da se je določena telesna ali duševna lastnost ponovno izrazi v določenem organizmu, medtem ko jo pri starših ni zaznati
course;['pirova zmaga'];Zmaga s pogubnimi posledicami za zmagovalca. Fraza je aluzija na epirskega kralja Pira, katerega vojska je utrpela nenadomestljive izgube, ko je premagal Rimljane med Pirovo vojno pri Herakleji leta 280 pr. n. št. in Askulu leto kasneje 279 pr. n. št.
course;['lunin mrk'];Nastane, ko so Sonce, Luna in Zemlja v ravni črti in je Zemlja na sredini
course;['sončev mrk', 'popolni sončev mrk', 'kolobarjasti mrk', 'sončev popolni mrk', 'sončni mrk', 'sončnih mrkov'];Nastane, ko ležijo Sonce, Luna in Zemlja na premici, in je Luna v sredini
dependent-place;['apsida', 'apsidalnem', 'apsido', 'apsis', 'chevet'];Točka na eliptični tirnici nebesnega telesa, kjer je najbolj ali najmanj oddaljeno od središča kroženja
dependent-place;['masno središče', 'težišče'];Točka telesa, določena kot uteženo povprečje vseh točk telesa, pri čemer je utež sorazmerna masi točke
dependent-place;['zorni kot', 'vidni kot'];Kot med očesom in dvema skrajnima točkama opazovanega telesa
dependent-place;['prava anomalija', 'res anomalija'];Eden izmed šestih elementov tira, ki določajo lego in hitrost nebesnega telesa
dependent-place;['prelaz', 'prehod', 'gorski prelaz', 'bealach'];Nižji del gorskega slemena, čez katerega vodi pot iz ene doline v drugo
dependent-place;['astenosfera', 'asthenosphere'];Področje Zemlje v pasu 100-200 km pod površjem, lahko pa sega celo do 400 km pod površje
dependent-place;['litosfera', 'geosfere', 'kontinentalne litosfere', 'lithospheric', 'litosfere'];Kompaktna zunanja lupina kamnitega planeta
dependent-place;['hidrosfera', 'hidrosfere'];V geografiji opisuje vso vodo, ki jo najdemo pod in na površju nekega planeta
event;['karibda', 'karibdo'];V grški mitologiji pošast v votlini nasproti Scile v Mesinski ožini
event;['cunami', 'tsunami', 'cunamiji'];Val na morski gladini ali skupina takšnih valov, ki nastanejo zaradi potresa, zdrsa zemeljskih tal, ognjeniškega delovanja ali padca meteorita v morje ali blizu morja
event;['plezanje', 'vzpenjanje', 'vzpon'];Ena od naravnih oblik gibanja, pri katerem se premikamo navzgor, kvišku, ali tudi navzdol, pomagajoč si z nogami in rokami
event;['noe', 'noah'];Svetopisemski očak, znan zlasti v povezavi z vesoljnim potopom
event;['akcijski potencial', 'živčni dražljaj', 'živčni impulz', 'akcijskih potencialov', 'signal živca', 'živčnih impulzov'];Kratkotrajen prehoden preobrat membranskega potenciala vzdražne celice
event;['brownovo gibanje', 'pedesis'];Obstajata dva pojma: za fizikalni pojav, kjer se v tekočino potopljeni drobni delci gibljejo naključno ali za matematične modele, ki ga opisujejo
event;['oceanski tok', 'kroženje vode v oceanih', 'morski tok', 'oceanski tokovi', 'cirkulacije v oceanih', 'morskega toka', 'morski tokovi', 'oceanskega toka', 'oceanskih tokov'];Razločno, bolj ali manj zvezno, ter večinoma vodoravno gibanje morske ali oceanske vode, ki teče v določeni smeri, in je lahko stalen ali časovno omejen pojav
functional-matter;['haggis'];Ena od najbolj znanih jedi škotske kuhinje
functional-matter;['amobarbiton', 'amobarbital'];Uspavalo iz skupine barbituratov, ki ima srednje dolgo delovanje
functional-matter;['jabolčno vino', 'jabolčni mošt', 'cider', 'jabolčnik', 'tokec', 'tolkec', 'tolkovec', 'mošt', 'cyder'];Proizvod pridelan iz jabolk po posebnem tehnološkem postopku
functional-matter;['činc', 'chintz', 'cicani', 'cic'];Apretirano bombažno blago, enobarvno ali potiskano z vzorci
functional-matter;['sladkorna pena', 'sladkorno peno', 'candyfloss', 'sladkarije nitke', 'zavrtel sladkorja'];Sladkarija, izdelana iz sladkorja
functional-matter;['luknjana kartica', 'luknjane kartice', 'hollerith card', 'kartic punch', 'punch kartice', 'udaril kartice'];Računalniški pomnilniški medij, ki je bil uporabljan za vnos in shranjevanje podatkov v začetnem obdobju elektronske informatike
