abstract-region;['ଲଘିଷ୍ଠ ସାଧାରଣ ଗୁଣିତକ', 'ଲ. ସା. ଗୁ.', 'ଲସାଗୁ', 'least common multiple'];ପାଟିଗଣିତ ତଥା ସଂଖ୍ୟାତତ୍ତ୍ୱରେ ଅନ୍ତତଃ ଦୁଇଟି ପୂର୍ଣ୍ଣାଙ୍କର ଲଘିଷ୍ଠ ସାଧାରଣ ଗୁଣିତକ
political-geographic-object;['ଅଷ୍ଟ୍ରିଆ', 'austria'];ଅଷ୍ଟ୍ରିଆ ମଧ୍ୟ ଇଉରୋପରେ ଥିବା ଏକ ଦେଶ। == ଇତିହାସ == == ଭୂଗୋଳ == == ଧର୍ମ == == ପ୍ରାସାସନିକ ବିଭାଜନ == == ଭାଷା == == ଆଧାର == == ବାହାର ତଥ୍ୟ == Austria entry at The World Factbook Austria entry at Encyclopædia Britannica Austria information from the United States Department of State Portals to the World from the United States Library of Congress Austria at UCB Libraries GovPubs ଓପନ ଡାଇରେକ୍ଟୋରି ପ୍ରୋଜେକ୍ଟରେ ଥିବା ଅଷ୍ଟ୍ରିଆInformation on Austria Sorted by regions.
political-geographic-object;['ଲାଓସ', 'ଲାଓସ୍', 'laos'];ଲାଓସ ଦକ୍ଷିଣ ପୂର୍ବ ଏସିଆରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['ମିଆଁମାର', 'ମିୟାମାର୍', 'burma', 'myanmar', 'ବର୍ମା', 'ବ୍ରହ୍ମଦେଶ', 'ମିୟାଁମାର', 'ମ୍ୟାନମାର'];ମ୍ୟାନମାର ଅଥବା ଏକ ଦକ୍ଷିଣ ଏସିଆର ଦେଶ ଅଟେ। ମ୍ୟାନମାରର ଉତ୍ତର-ପଶ୍ଚିମରେ ଭାରତ ଓ ବଙ୍ଗଳାଦେଶ, ଉତ୍ତର-ପୂର୍ବରେ ଚୀନ, ପୂର୍ବ ଏବଂ ଦକ୍ଷିଣ-ପୂର୍ବରେ ଲାଓସ ଓ ଥାଇଲାଣ୍ଡ, ଦକ୍ଷିଣ ଓ ଦକ୍ଷିଣ-ପୂର୍ବରେ ଆଣ୍ଡାମାନ ସାଗର ଏବଂ ବଙ୍ଗୋପ ସାଗର ଅବସ୍ଥିତ। ଦକ୍ଷିଣ-ପୂର୍ବ ଏସିଆର ରାଷ୍ଟ୍ର ଗୁଡିକ ମଧ୍ୟରେ 676,578 ବର୍ଗ କିଲୋମିଟର ବିଶିଷ୍ଟ ମ୍ୟାନମାରର କ୍ଷେତ୍ରଫଳ ସର୍ବାଧିକ। 2017 ଜନଗଣନା ଅନୁସାରେ ମ୍ୟାନମାରର ଜନସଂଖ୍ୟା ପାଖାପାଖି 5.4 କୋଟି ଥିଲା। ଏହାର ରାଜଧାନୀ ନେପ୍ୟୀଡ଼ ଓ ଏହାର ସବୁଠାରୁ ବଡ ସହର ୟାଙ୍ଗନ ଅଟେ। 1997 ଠାରୁ ମ୍ୟାନମାର ଦକ୍ଷିଣପୂର୍ବ ଏସିଆ ରାଷ୍ଟ୍ର ସଂଘର ଏକ ସଦସ୍ୟ ହୋଇଅଛି।
political-geographic-object;['କମ୍ବୋଡ଼ିଆ', 'cambodia', 'କମ୍ବୋଡିଆ', 'କାମ୍ବୋଜ', 'କାମ୍ବୋଡ଼ିଆ', 'କାମ୍ୱୋଡିଆ'];କମ୍ବୋଡିଆ ଦକ୍ଷିଣ-ପୂର୍ବ ଏସିଆ ରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['ଅଷ୍ଟ୍ରେଲିଆ', 'australia', 'ଅଷ୍ତ୍ରେଲିଆ'];ଅଷ୍ଟ୍ରେଲିଆ ଏକ ଦେଶ.
political-geographic-object;['ହୋବାର୍ଟ', 'hobart', 'ହବାର୍ଟ'];ହବାର୍ଟ, ଟାସମାନିଆର ରାଜଧାନୀ.
political-geographic-object;['ମାକାଉ', 'ମକାଉ', 'ମାକାଉ sar ଚିନ୍'];ମାକାଉ ହେଉଛି ପିପୁଲ୍ସ ରିପବ୍ଲିକ୍ ଅଫ୍ ଚାଇନାର ଏକ ସ୍ୱତନ୍ତ୍ର ପ୍ରଶାସନିକ ଅଞ୍ଚଳ ଏବଂ 34ଟି ପ୍ରାଦେଶିକ ସ୍ତରୀୟ ପ୍ରଶାସନିକ ଅଞ୍ଚଳର କ୍ଷୁଦ୍ରତମ | ଏହା ଦକ୍ଷିଣ ଚୀନ୍ ସାଗରର ଉତ୍ତର ପାର୍ଶ୍ୱରେ ଏବଂ ମୋତି ନଦୀ ଏଷ୍ଟୁରିଆର ପଶ୍ଚିମ ପାର୍ଶ୍ୱରେ, ଜୁହାଇ ସହରର ଉତ୍ତରରେ, ଗୁଆଙ୍ଗଡୋଙ୍ଗ୍ ପ୍ରଦେଶରେ ଏବଂ ପୂର୍ବରେ ଅବସ୍ଥିତ | ପଡୋଶୀ ହଂକଂ ସ୍ୱତନ୍ତ୍ର ପ୍ରଶାସନିକ ଅଞ୍ଚଳଠାରୁ 63 କିଲୋମିଟର ଦୂରରେ |
political-geographic-object;['ଭୁଟାନ', 'ଭୁଟାନ୍', 'bhutan'];ଭୁଟାନ ଦକ୍ଷିଣ ଏସିଆ ମହାଦେଶର ଭୁ-ପରିବେଷ୍ଟିତ ଏକ ଦେଶ। ଏହା ହିମାଳୟର ପୂର୍ବ ପାର୍ଶ୍ୱରେ ଅବସ୍ଥିତ।ଏହାର ଉତ୍ତରକୁ ଚୀନର ସ୍ୱାୟତ୍ତ ଅଞ୍ଚଳ ତିବେତ,ଭାରତର ସିକିମ୍ ରାଜ୍ୟ,ପଶ୍ଚିମକୁ ତିବେତ୍‌ର ଚୁମ୍ବି,ପୂର୍ବକୁ ଭାରତର ଅରୁଣାଞ୍ଚଳ ପ୍ରଦେଶ ଓ ଦକ୍ଷିଣକୁ ଭାରତର ଆସାମ ଘେରି ରହିଛି। ଭୂଟାନ ଦକ୍ଷିଣ ଏସିଆରେ ଅବସ୍ଥିତ ଓ ମାଲଦିଭେସ ପରେ ଏହା ଦ୍ୱିତୀୟ ଅଳ୍ପ ଜନାକୀର୍ଣ୍ଣ ଦେଶ।ଥିମ୍ପୁ ଏହାର ରାଜ୍ୟ ଓ ବୃହତ୍ତମ ସହର ଅଟେ ଯେଉଁଠାରେକି ଫୁଣ୍ଟସୋଲିଙ୍ଗ ଏହାର ଅର୍ଥନୈତିକ କ୍ଷେତ୍ର। ଏହା ତା'ର ଇତିହାସରେ କେବେ ମଧ୍ୟ ଉପନିବେଶ ସ୍ଥାପନ କରିପାରିନାହିଁ।
political-geographic-object;['ତୁର୍କମେନିସ୍ତାନ', 'ତୁର୍କମେନିସ୍ଥାନ', 'ତୁର୍କମେନିସ୍ତାନ୍', 'turkmenistan'];ତୁର୍କମେନିସ୍ଥାନ ମଧ୍ୟ ଏସିଆରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['ଜର୍ଜିଆ', 'georgia'];ଜର୍ଜିଆ ପଶ୍ଚିମ ଏସିଆ ଓ ପୂର୍ବ ୟୁରୋପ ମଝିରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['ରଵାଣ୍ଡା', 'ରୁଆଣ୍ଡା', 'ରାୱାଣ୍ଡା', 'rwanda', 'ରୁୱାଣ୍ଡା', 'ରୱାଣ୍ଡା'];ରବାଣ୍ଡା ପୂର୍ବ ଆଫ୍ରିକାରେ ଥିବା ଏକ ଦେଶ। ଜନସଂଖ୍ୟା ଏକ କୋଟି ଷୋହଳ ଲକ୍ଷ । ଏହି ଦେଶ ଯୁବକମାନଙ୍କର ଦେଶ କାରଣ ମୋଟ ଜନସଂଖ୍ୟାର ୪୨ % ଙ୍କର ବୟସ ୧୫ ବର୍ଷରୁ କମ୍ ଏବଂ ପ୍ରାୟ ୯୭ %ଙ୍କ ବୟସ ୬୫ ବର୍ଷରୁ କମ। ରୁଆଣ୍ଡାରେ ମୁଖ୍ୟତଃ ତିନି ଜାତିର ଲୋକ ବାସ କରନ୍ତି ହୁତୁ, ତୁତସି ଏବଂ ତ୍ୱାଆ !
political-geographic-object;['ଜାମ୍ବିଆ', 'zambia'];ଜାମ୍ବିଆ ଦକ୍ଷିଣ ଆଫ୍ରିକାରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['ଡେମୋକ୍ରେଟିକ ରିପବ୍ଲିକ ଅଫ କଙ୍ଗୋ', 'କଙ୍ଗୋ', 'କଙ୍ଗୋ-କିନସାସା'];କଙ୍ଗୋ ମଧ୍ୟ ଆଫ୍ରିକାରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['ହୋଣ୍ଡାରୁସ', 'ହୋଣ୍ଡୁରାସ', 'ହୋଣ୍ଡାରୁସ୍', 'honduras'];ହୋଣ୍ଡୁରାସ ମଧ୍ୟ ଆମେରିକାରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['କୋଷ୍ଟାରିକା', 'କୋଷ୍ଟା ରିକା', 'costa rica'];କୋଷ୍ଟାରିକା ମଧ୍ୟ ଆମେରିକା ରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['ହଙ୍ଗେରୀ', 'hungary'];ହଙ୍ଗେରୀ ମଧ୍ୟ ଇଉରୋପରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['ପୋଲାଣ୍ଡ', 'poland'];ପୋଲାଣ୍ଡ ପୂର୍ବ ଇଉରୋପରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['ବୁରୁଣ୍ଡି', 'ବୁରୁନ୍ଦି', 'burundi'];ବୁରୁଣ୍ଡି ପୂର୍ବ ଆଫ୍ରିକାରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['ତାଞ୍ଜାନିଆ', 'tanzania'];ତାଞ୍ଜାନିଆ ପୂର୍ବ ଆଫ୍ରିକାରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['ଗିନି', 'ଗୁଏନେଆ', 'guinea'];ଗିନି ପଶ୍ଚିମ ଆଫ୍ରିକା ରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['ସୋମାଲିଆ', 'somalia'];ସୋମାଲିଆ ଆଫ୍ରିକାରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['ଭିଏତନାମ', 'ଭିଏତନାମ୍', 'vietnam'];ଭିଏତନାମ ଦକ୍ଷିଣ-ପୂର୍ବ ଏସିଆରେ ଥିବା ଏକ ଦେଶ।
political-geographic-object;['ଲିବିଆ', 'libya'];ଲିବିଆ ଆଫ୍ରିକାରେ ଥିବା ଏକ ଦେଶ।
