abstract-region;['khi̍t-han'];Khi̍t-han he hien-thoi Sú-ho̍k thi̍t-phe̍t he Fûn-sak-ho̍k chûng ke kî-chhú khói-ngiam chṳ̂-yit.
biological-object;['lai-kî', 'lai-chi', 'lai-tsi'];Lai-kî (荔枝, Ho̍k-miàng: Litchi chinensis）, he Chûng-koet nàm-phu chhut-sán ke yit-chúng Â-ngie̍t-tai kó-su.
biological-object;['hi'];Hi he put-séu thung-vu̍t yung-lòi fû-khip ke nui-tshóng.
biological-object;['nen-kû'];Nen-kû he sṳ̍t-nen thung-vu̍t sṳ̂n-thí ke yit-chúng hi-kôn.
biological-object;['phìn-kó'];Phìn-kó ke kó-sṳ̍t fu-yû khóng-vu̍t-tsṳt lâu vì-sâng-su, sṳ̀n-vì ngìn-lui tsui-sòng sṳ̍t-yung ke yit-tsúng súi-kó.
biological-object;['ngâ-chhṳ', 'ngà-chhṳ́'];Ngà-chhṳ́ he thung-vu̍t sṳ̂n-thí ke yit ke hi-kôn.
biological-object;['tsiú'];Tsiú he tsṳ́-tsak Sú-pí chûng-phu ke Kàu-liên kûan-tsiet, Tsiú kûan-tsiet fu-khiun ke khî-vet.
biological-object;['tshit-thèu'];Tshit-thèu he thai-séu thúi tsṳ̂-kiên ke lièn-tsiap phu-vi.
biological-object;['kôn-tshóng', 'kôn-chhóng'];Kôn-chhóng vi Chit-chhûi thung-vu̍t ke hi-kôn.
biological-object;['kiok-tsṳ́', '脚趾', '腳趾'];Kiok-tsṳ́ he ngìn fe̍t-tsá thung-vu̍t ke kiok-song ke tsṳ́-thèu.
biological-object;['fâ', '花'];Fâ he Khôi-fâ chhṳ̍t-vu̍t ke fàn-chhṳ̍t hi-kôn.
biological-object;['shìn'];Shìn he Tsit-tshûi thung-vu̍t ke yit-tsúng hi-kôn, su̍k-yî Pì-ngiau hì-thúng ke yit phu-fun.
biological-object;['thèu-nó'];Thèu-nó he sṳ̀n-kîn-ngièn ke sṳ̀n-kîn se-pâu só tsû-sṳ̀n ke ne-thúng ne-thúng khúng-tsṳ tsûng-sîm.
biological-object;['sú'];Sú he ngìn fe̍t-tsá khì-thâ Lìn-tshòng-lui thung-vu̍t pí tshièn-tôn ke yit phu-fun, tsú-yeu he yung-lòi tsâ lâu vok-tshu tûng-sî.
biological-object;['kiok-kiên'];Kiok-kiên he kiok ke chui heu-mien ke phu-fun.
biological-object;['se-pâu'];Se-pâu he sâng-miang fa̍t-thung ke kî-pún tân-vi.
biological-object;['kiok-khwá'];Kiok-khwá he ngìn-lui tsiuk-phu lâu thúi siông-lièn ke phu-vi, tsû-sṳ̀n pâu-hàm chhit-khwài Fû-kut kâ-song tsiuk-phu ke Tsak-kut lâu séu-thúi ke ku-ket.
biological-object;['kiok'];Kiok he ngìn-thí phu-vi tsṳ̂-yit, tshai-yî mî-yit thiàu thúi ke ha-phu, hàng-tséu sṳ̀-khiet lâu thi-mien tsiap-tshiuk.
biological-object;['sîm-chhong', 'sîm-tshong'];Sîm-chhong he sùn-fàn hi-thúng chûng yit-ke chhung-yeu ke hi-kôn.
biological-object;['ya̍p-é'];Ya̍p-é he kô-tén chhṳ̍t-vu̍t ke yàng-yông hi-kôn, yû ya̍p-liu̍k-thí, he chôn-mùn yung-lòi kông-ha̍p chok-yung ke só-chhai.
biological-object;['lín-kun', '陰莖'];Lín-kun he se-lai-ngìn sâng-chhṳ̍t hi-kôn ke yit phu-fun.
biological-object;['ngién', 'mu̍k-chû'];Mu̍k-chû fe̍t-chá ham-cho Ngién, he yit-ke khó-yî kám-kok kông-sien ke hi-kôn.
biological-object;['phi', '鼻', '鼻公'];Phi he Liu̍k-song thung-vu̍t fû-khip ke hi-kôn, su̍k-yî fû-khip hì-thúng ke yit phu-fun.
biological-object;['sùn-fàn hi-thúng', 'sùn-fàn hì-thúng'];Sùn-fàn hi-thúng tô-su pâu-hàm yit-chû hi-kôn, piáu-sut sîm-chhong lâu hiet-kón, chú-yeu kûng-nèn he chhai se-pâu kiên yun-sung vu̍t-chṳt.
biological-object;['kiet-tshòng'];Kiet-tshòng he Tsit-tshûi thung-vu̍t ke Sêu-fa hi-kôn tsṳ̂-yit, he thai-tshòng ke tsú-yeu phu-fun.
biological-object;['thai-thúi'];Thai-thúi he kiok-phu ke song-pan phu-fun, lâu tshit-thèu lièn-tsiap séu-thúi.
biological-object;['tshièn-pí'];Tshièn-pí he ngìn-thí phu-vi tsṳ̂-yit.
biological-object;['chûng-khi sṳ̀n-kîn ne-thúng'];Chûng-khi Sṳ̀n-kîn Ne-thúng he Sṳ̀n-kîn Ne-thúng ke yit-phu-fun, yù Nó lâu Chit-siói chû-sṳ̀n.
biological-object;['mî'];Mî he thung-vu̍t sṳ̂n-thí ke yit-chak phu-vi.
biological-object;['hâ-kôi'];Hâ-kôi he thung-vu̍t ke thèu ke yit chak phu-fun.
biological-object;['súi-kó'];Súi-kó ke kiet-kèu thûng-sòng khó fûn-vì chúng-chṳ́ lâu kó phì lióng phu-fûn.
biological-object;['chû-vì sṳ̀n-kîn ne-thúng'];Chû-vì Sṳ̀n-kîn Ne-thúng he Sṳ̀n-kîn Ne-thúng ke chû-sṳ̀n phu-fun, pâu-koat chhù-liáu Nó lâu Chit-siói chṳ̂-ngoi ke Sṳ̀n-kîn phu-fun.
biological-object;['ngí', '耳公'];Ngí he thung-vu̍t tsiap-sû sâng-pô ke hi-kôn.
biological-object;['sṳ̀n-kîn ne-thúng', '神經系統', '神经系统'];Sṳ̀n-kîn Ne-thúng he kî-thí nui-hí chú-thô chok-yung ke Ne-thúng.
biological-object;['tshṳ̍t-tshòng'];Tshṳ̍t-tshòng he ngìn ke Sêu-fa hì-thúng ke yit phu-fun, Kì he tshòng-ke chui-heu yit phu-fun.
chemical-object;['thàn-pha̍k-chṳt'];Thàn-pha̍k-chṳt he yit-chúng yù Ôn-kî-sôn Fûn-chṳ́ chû-sṳ̀n ke Yû-kî Fa-ha̍p-vu̍t.
classification-system;['la̍k-fap'];La̍k-fap, ya ham cho la̍k, he yung ngièn, ngie̍t, ngit tén-tén ke sṳ̀-kiên tân-vi lòi kie-son sṳ̀-kiên ke yit chúng fông-fap.
classification-system;['gregorius la̍k-fap', '新历', '新曆', '阳历', '陽曆', 'kûng-la̍k'];Gregorius La̍k-fap yú hêm-cho kûng-la̍k ya-he sî-la̍k, he yit-chúng la̍k-fap, chhai 1582-ngièn 2-ngie̍t 24-ngit yù kau-chûng Gregorius 13-sṳ fat-pu.
cognitive-event;['chit-fûn-ho̍k'];Chit-fûn-ho̍k he Mì-chit-fûn-ho̍k lâu Sú-ho̍k Fûn-sak lî ke yit-ke fu̍t-sîm khói-ngiam.
cognitive-modal-description;['vû-sṳ̀n-lun'];Vû-sṳ̀n-lun he chṳ́ m̀ sṳ̀n-ngin sṳ̀n-mìn ke chhùn-chhai ke yit-chúng lî-lun.
course;['sí', '死亡', 'ko-sṳ̂n', 'sí-thet'];Sí fe̍t-chá sí-thet, he chṳ́ sâng-vu̍t sâng-miang kiet-suk ke hien-siong.
ecological-collective;['chhṳ̍t-vu̍t'];Chhṳ̍t-vu̍t he sâng-miang ke chú-yeu hìn-thai chṳ̂-yit, pin pâu-hàm liáu yì khiâu-muk, kon-muk, thèn- lui, chhiâng-chhó, khet-lui khi̍p liu̍k-chhàu tén su̍k-sit ke sâng-vu̍t.
event;['tûng-kui olympic yun-thung-fi'];Tûng-kui Olympic Yun-thung-fi he chhai tûng-kui kí-phan ke Olympic Yun-thung-fi, mî 4 ngièn kí-phan 1 pái.
event;['olympic yun-thung-fi'];Olympic Yun-thung-fi he yit chak koet-chi-sin ke yun-thung-fi, mî 4 ngièn kí-phan 1 pái.
event;['fûn-lî'];Fûn-lî he yit-chúng fap-li̍t kûng-chṳn ngì-sṳt fe̍t chûng-kau ngì-sṳt, yung-lòi khin-chuk yit-thon fûn-yîn ke khôi-sṳ́, thoi-péu kiet-fûn.
functional-matter;['kâ-pî', '咖啡'];Liá-piên "Kâ-pî" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"咖啡" ke ya̍p-mien chhai liá-hong tiám-chhut.
functional-matter;['châ', 'germanium', 'г', 'ge', 'germa\xadniu'];Germanium he yit-chúng fa-ho̍k ngièn-su, fa-ho̍k fù-ho vì Ge, ngièn-chṳ́ su-muk he 32.
functional-matter;['pó-sa̍k'];Pó-sa̍k he pûn chhiet-kot, chhat-yun, phau-kông ke khóng-vu̍t, sa̍k-liau, thú-fa-vu̍t-thí, vì sû-si̍p-phín, sû-chhông-phín fe̍t chhôn-chho̍k chông-sṳ chṳ̂ yung。
functional-matter;['sa̍k-yù'];Sa̍k-yù, he yit-chúng tsam-tshiû ke, chhṳ̂m hot-set Yi̍t-thí.
functional-matter;['銅', 'cu'];銅係一種化學元素，其單質一般喊做黃銅。
functional-matter;['thiên-yèn-hì'];Thiên-yèn-hì he yit-chúng chú-yeu yù kap-vàn chû-sṳ̀n ke hì-thai fa-sa̍k yên-liau.
functional-matter;['hon-pó', '汉堡', '漢堡', '漢堡包'];Hon-pó he yù Ngiù-kau ngiuk fe̍t-tsá khì-thâ kia̍p yû kau-ngiuk tso-sṳ̀n ke ngiuk-piáng.
functional-matter;['sa̍k-yîn'];Sa̍k-yîn he yit chúng khóng-sa̍k.
functional-matter;['siong-ngà'];Siong-ngà he siong ke ngà, ya he yit chúng chû-pó.
functional-matter;['ko', 'zirconium', 'zr'];Zirconium he yit-chúng fa-ho̍k ngièn-su, fa-ho̍k fù-ho vì Zr, ngièn-chṳ́ su-muk he 40.
functional-matter;['làm-pó-sa̍k'];Làm-pó-sa̍k he làm-set kông-ngiu̍k pó-sa̍k, chhù-liáu fùng-set ke fùng-pó-sa̍k chṳ̂ ngoi, khì-thâ ngân-set kông-ngiu̍k pó-sa̍k ke thûng-chhṳ̂n, chú-yeu sṳ̀n-fûn he Yòng-fa-lî.
functional-matter;['set', 'caesium', 'cs', 'cae\xadsiu'];Caesium he yit-chúng fa-ho̍k ngièn-su, fa-ho̍k fù-ho vì Cs, ngièn-chṳ́ su-muk he 55.
functional-matter;['sa̍k-fôi-sa̍k'];Sa̍k-fôi-sa̍k he yù fông-kié-sa̍k kèu-sṳ̀n ke chhṳ̀m-chit-ngâm.
functional-matter;['ngiu̍k', 'jade'];Ngiu̍k he yit lui ngàn-set m̀ theu-mìn fe̍t-chá pan theu-mìn ke pó-sa̍k.
functional-matter;['set', 'caesium', 'cs', 'cae\xadsiu'];Caesium he yit-chúng fa-ho̍k ngièn-su, fa-ho̍k fù-ho vì Cs, ngièn-chṳ́ su-muk he 55.
functional-matter;['ngiùn', 'ag'];Ngiùn he yit-tsúng ngièn-su, fù-ho Ag lòi-tshṳ lâ-tên-vùn "argentum".
functional-matter;['phûng-thòng', 'phûng-me̍t'];Phûng-thòng fe̍t-chá Phûng-me̍t he khûn-chhùng thòng-phûng chhiùng khôi-fâ chhṳ̍t-vu̍t ke fâ chûng chhái-tet ke fâ-me̍t chhai phûng-chhâu chûng yòng-chṳ ke me̍t, vi pan théu-mìn.
functional-matter;['thòng', 'thông', '糖'];Thòng he chṳ́ kok-chúng cho-tet sṳ̍t-yung ke tai-yû thiàm-mi ke chîn-thí, chú-yeu sṳ̀n-fun vi cha-thòng, nen-thông fe̍t-chá kó-thòng.
functional-matter;['ngiù-nen'];Ngiù-nen he yit-chúng Phú-nen-lui Tshṳ-sin thung-vu̍t Nen-sien ke fûn-pit-vu̍t, ya-he Phú-nen-lui thi̍t-yû ke nèn-li̍t chṳ̂-yit.
functional-matter;['pên', '冰'];Pên he súi ke ku-thai hìn-sṳt.
functional-matter;['chhiâng-môi-su'];Chhiâng-môi-su he fûn-chṳ́ chûng hàm-yû chhiâng-môi-vàn, nèn pho-fái se-khiûn ke se-pâu-piak pin chhai se-khiûn se-pâu ke fàn-chhṳ̍t khì-kiên hí sat-khiûn chok-yung ke yit-lui khong-sâng-su.
functional-matter;['vù-kau-piáng'];Vù-kau-piáng he kién-tân ke mien-pâu sṳ̍t-phín, tsui-tshû tshut-hien tshai-yî Kú Âi-khi̍p lâu Sû-mî-ngì.
functional-matter;['yòng-fa-lî'];Yòng-fa-lî he pha̍k-set ku-thí, he Lî lâu Yông ke fa-ha̍p-vu̍t, fûn-chṳ́ -sṳt vì Al2O3.
functional-matter;['hiet-chiông', 'hiet-chiong'];Hiet-chiông he hiet ke yi̍t-thí sṳ̀n-fun, hiet-se-pâu hiên-fèu yî khì-chûng.
functional-matter;['lai-kî', 'lai-chi', 'lai-tsi'];Lai-kî (荔枝, Ho̍k-miàng: Litchi chinensis）, he Chûng-koet nàm-phu chhut-sán ke yit-chúng Â-ngie̍t-tai kó-su.
functional-matter;['khó-khiéu-khó-lo̍k'];Coca-Cola是由美国可口可乐公司生產出品的一种可樂。
functional-matter;['calvados'];Calvados he chhiùng Fap-koet Hâ Normandy Thai-khî ke phìn-kó Pha̍k-làn-thi.
functional-matter;['fùng-chhà'];Fùng-chhà he yit-chúng chhiòn fat-kau chhà, he chhà vùn-fa tông-chûng ke chú-yeu chhà-phín.
functional-matter;['mien-pâu'];Mien-pâu he yit-tsúng yung Ńg-kuk‎ mo-fún tsṳ-tsho pin kâ-ngie̍t yì-yèn tsṳ-sṳ̀n ke sṳ̍t-phín.
functional-matter;['phìn-kó'];Phìn-kó ke kó-sṳ̍t fu-yû khóng-vu̍t-tsṳt lâu vì-sâng-su, sṳ̀n-vì ngìn-lui tsui-sòng sṳ̍t-yung ke yit-tsúng súi-kó.
functional-matter;['ngiuk-yèn', '豬肉丸'];Liá-piên "Ngiuk-yèn" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"肉丸" ke ya̍p-mien chhai liá-hong tiám-chhut.
functional-matter;['sa̍k-thèu'];Sa̍k-thèu he Thi-khiù
functional-matter;['ngiù-ngiuk'];Ngiù-ngiuk he tsṳ́-tén tshiùng ngiù-è sṳ̂n-song tet-tshut ke ngiuk, tshiòn sṳ-kie phû-phiên ngiuk-phín tsṳ̂-yit.
functional-matter;['ngiù-nen'];Ngiù-nen he yit-chúng Phú-nen-lui Tshṳ-sin thung-vu̍t Nen-sien ke fûn-pit-vu̍t, ya-he Phú-nen-lui thi̍t-yû ke nèn-li̍t chṳ̂-yit.
functional-matter;['pu'];Pu he yit-chúng yung chhiâm-vì fóng-chṳt ke tûng-sî.
functional-matter;['sú-thiàu', '薯條'];Sú-thiàu he yit-tsúng pá Mâ-lìn-sú tshiet-sui sṳ̀n-vì thiàu-tshong heu yù-cha sṳ̀n ke sṳ̍t-phín, he chui sòng-yû kien-tó ke Khuai-tshôn sṳ̍t-phín tsṳ̂-yit, liù-hàng tshai-yî Mî-koet khi̍p Êu-tsû tén-thi.
functional-matter;['vû-liùng-chhà', 'chhiâng-chhà'];Vû-liùng-chhà, yi̍t chhṳ̂n Chhiâng-chhà, tî-miàng chhà-ya̍p phín-chúng, ngièn-sán-thi Chûng-koet.
functional-matter;['liu̍k-chhà'];Liu̍k-chhà he chhà-ya̍p ke yit-chúng.
functional-matter;['muk'];Muk, fe̍t-chá ham-cho muk-chhòi, he muk-pún chhṳ̍t-vu̍t ke chhiâm-vì chû-chṳt.
functional-matter;['kông-ngiu̍k'];Kông-ngiu̍k he yit-chúng yù Yòng-fa-lî ke kiet-chin hìn-sṳ̀n ke pó-sa̍k, ngân-set siên-fùng.
functional-matter;['pên', '冰'];Pên he súi ke ku-thai hìn-sṳt.
functional-matter;['hiet-chiông', 'hiet-chiong'];Hiet-chiông he hiet ke yi̍t-thí sṳ̀n-fun, hiet-se-pâu hiên-fèu yî khì-chûng.
functional-matter;['ǹg-yèn', '魚丸'];Liá-piên "Ǹg-yèn" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"魚丸" ke ya̍p-mien chhai liá-hong tiám-chhut.
functional-matter;['yàm', '盐', '鹽'];Yàm khó-yî he mìn-khok fe̍t-tsá theu-mìn ke, tshùn-tshai mò-thùng hìn-siong, yì vòng-set, fùng-set, làm-set, liu̍k-set, pha̍k-set khi̍p het-set.
genetic-collective;['pha̍k-ngìn'];Pha̍k-ngìn ha̍p-ngi Pha̍k-set Ngìn-chúng yit-pân yi̍t chok Sî-yòng-ngìn, Sî-fông ngìn. chang-sṳt Ho̍k-miàng vì Kô-kâ-sok Ngìn-chúng he chṳ́ yúng-yû thâm-set phì-fû ke chúng-chhu̍k fe̍t khiùn-thí sṳ̀n-yèn. fe̍t-he yit-lui yúng-yû thâm-set phì-fû, yû-khì he ngièn-chhṳ Êu-chû ke ngìn-lui khiùn-thí, yîn-chhṳ́ yû-sṳ̀ yu chôn-chṳ́ Êu-chû-ngìn.
genetic-collective;['kâ-thìn'];Kâ-thìn he yù fûn-yîn, hiet-yèn fe̍t sû-yông kôan-he só chû-sṳ̀n ke sa-fi chû-chṳt ke kî-pún tân-vi.
genetic-collective;['hannover vòng-chêu', 'hon-nok-vî vòng-chêu', 'hon-nok-vî vòng-koet'];Hon-nok-vî Vòng-chêu, he yî 1692-ngièn －1866-ngièn kiên thúng-chhṳ Tet-yi-chṳhon nok vî thi-khî lâu chhai 1714-ngièn －1901-ngièn kiên thúng-chhṳ Yîn-koet ke Vòng-chêu.
geographical-object;['borneo', 'phô-lò-chû', 'pho-lò-chû', 'phò-lò-chû'];Borneo he sṳ-kie thi-sâm thai-tó, phài-chhai New Guinea chṳ̂-heu.
geographical-object;['khiu-kîm-sân vân', 'san francisco vân', 'khiu-kîm-sân vân-khî', 'san francisco bay'];Khiu-kîm-sân Vân he Mî-koet Kâ-li-fuk-nì-â-chû chûng-phu ke yit-ke hò-khiéu-vân, vi-yî Sacramento-hò ha-yù chhut hói-khiéu.
geographical-object;['yi-thai-li pan-tó'];Yi-thai-li pan-tó, yu miàng â phìn nèn pan-tó he nàm êu chû sâm-thai pan-tó chṳ̂-yit, vi kî sâm-thai pan-tó ke chûng-kiên, chhai Thi-chûng-hói chṳ̂ pet.
geographical-object;['cayman khiùn-tó'];Cayman Virgin Khiùn-tó he Yîn-koet chhai Pet Mî-chû ke yit chak hói-ngoi liâng-thi.
geographical-object;['anguilla', 'ôn-kui-là'];Anguilla he Séu Antilles Khiùn-tó pet-phu ke Yîn-koet Hói-ngoi Liâng-thi, tó-sông ke chú-yeu hàng-ngia̍p he n̂g-ngia̍p lâu kôn-kông ngia̍p.
geographical-object;['liù-khiù khiùn-tó', 'liû-khiû khiùn-tó'];Liù-khiù Khiùn-tó he Thai-phìn-yòng sî-phu ke yit-hì lie̍t-tó yí-khiùn, tshai Thòi-vân-tó lâu Kyūshū-tó tsṳ̂-kiên.
geographical-object;['séu sùn-thâ khiùn-tó', 'séu sunda khiùn-tó'];Séu Sunda Khiùn-tó he Mâ-lòi Khiùn-tó chûng ke yit khiùn-tó, chhai Jawa yî tûng ke Yin-thu-yòng lâu Timor-hói chṳ̂-kiên.
geographical-object;['thai sunda khiùn-tó', 'thai sùn-thâ khiùn-tó'];Thai Sunda Khiùn-tó he Mâ-lòi Khiùn-tó sî-phu, lâu Séu Sunda Khiùn-tó ha̍p-chhṳ̂n Sunda Khiùn-tó.
geographical-object;['南美洲', 'nàm mî-chû', 'nàm-mî-chû'];這邊 "南美洲" 个頁面係漢字，有白話字連結 "Nàm-mî-chû" 个頁面在這項點出。
geographical-object;['南美洲', 'nàm mî-chû', 'nàm-mî-chû'];Liá-piên "Nàm Mî-chû" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"南美洲" ke ya̍p-mien chhai liá-hong tiám-chhut.
geographical-object;['po hò', 'pô-hò', 'pô hò'];Po Hò he Yi-thai-li chui chhòng ke yit-thiàu hò-liù.
geographical-object;['loire-sén', 'loire'];Loire-sén he Fap-koet ke yit-chak sén, vi-yî Fap-koet nàm-phu.
geographical-object;['faroe khiùn-tó'];Faroe Khiùn-tó he Pet-Êu koet-kâ Tân-ma̍k ke hói-ngoi chhṳ-chhṳ Liâng-thi.
geographical-object;['marshall khiùn-tó'];Marshall Khiùn-tó he Thai-yòng-chû ke yit-ke koet-kâ.
geographical-object;['bermuda'];Bermuda vi yî pet Thai-sî-yòng, he Yîn-koet ke chhṳ-chhṳ hói-ngoi liâng-thi.
geographical-object;['canaria khiùn-tó'];Canaria Khiùn-tó fe̍t-chá ham cho Canary Khiùn-tó, he Sî-pân-ngà chhai Fî-chû ke yit chak hói-ngoi liâng-thi.
geographical-object;['falkland khiùn-tó', 'fuk-khiet-làn khiùn-tó'];Falkland Khiùn-tó he Nàm Mî-chû yit-ke khiùn-tó, kîm-ha he Yîn-koet ke yit-chak hói-ngoi liâng-thi.
geographical-object;['saba'];Saba he Hò-làn chhai Pet Mî-chû ke yit chak chhṳ-chhṳ-sṳ.
geographical-object;['thai-yòng-chû', '大洋洲'];這邊 "大洋洲" 个頁面係漢字，有白話字連結 "Thai-yòng-chû" 个頁面在這項點出。
geographical-object;['thai-yòng-chû', '大洋洲'];Liá-piên "Thai-yòng-chû" ke ya̍p-mien he pha̍k-fa-sṳ, yû hon-sṳ lièn-kiet"大洋洲" ke ya̍p-mien chhai liá-hong tiám-chhut.
geographical-object;['pâ-ngì-kòn pan-tó', 'balkan pan-tó', 'pâ-ngì-kon pan-tó'];Balkan pan-tó he yit-ke thi-yèn chṳn-chhṳ lâu vùn-fa sông ke miàng-chhṳ̀, yung yî mèu-shu̍t Êu-chû ke tûng-nàm nyî vi-yî Adriatic-hói lâu Vû-hói chṳ̂-kiên ke liu̍k-thi, siòng-se ke fam-vì yî-cheu thin-ngi put-thùng yû hí-tô-chúng kóng-fap.
geographical-object;['lî-hói'];Lî-hói vi-yî Â-chû lâu Êu-chû kâu-kie, he sṳ-kie sông mien-chit chui-thai ke fûng-pit nui-liu̍k súi thí, thùng-sṳ̀ ya-he sṳ-kie sông chui-thai ke fù phok yî-khi̍p nui-liu̍k hói.
geographical-object;['rhine-hò', 'lòi-yin-hò'];Rhine-hò he yit-thiàu Êu-chû Koet-chi hò-liù, fat-ngièn yî Shuì-sṳ Graubünden-chû ke Alps sân-khî, liù kîn Liechtenstein, O-thi-li, Tet-koet lâu Fap-koet, chui-chûng yî Hò-làn liù-ngi̍p Pet-hói.
geographical-object;['me̍t-sî-sî-pí-hò'];Me̍t-sî-sî-pí-hò, vi yî Pet-mî-chû chûng nàm-phu, he Pet-mî chui-thai ke súi-hì, liù-vet mien-chit yok vì 300-van phìn-fông kûng-lî.
geographical-object;['sulawesi', 'sû-lâ-vî-sî-tó'];Sulawesi he Yin-nì tûng-phu ke yit-ke thai tó-yí.
geographical-object;['sumatra', 'sû-mùn-tap-lia̍p', 'sû-mùn-tap-lia̍p-tó'];Sumatra he Yin-nì chui sî-mien ke yit-ke thai-tó, ya-he chhiòn-khiù thi-luik thai tó-yí.
geographical-object;['hudson-hò', 'hâ-tet-sùn-hò', 'hâ-tet-sùn hò', 'hâ-tet-sûn-hò'];Hâ-tet-sùn-hò he Mî-koet Néu-yok-chû ke thai hò, chhòng 507 kûng-lî, sông-yù fûn-chhut Mo̍k-fà-khiet-hò, sî-chiap Yî-li Yun-hò, ma̍t-tôn fi-ngi̍p Néu-yok-kóng, he Néu-yok-chû ke kîn-chi miang-mak.
geographical-object;['saint lawrence-hò'];Saint Lawrence-hò he Pet-Mî ke yit-thiàu hò-liù, vi-yî Kâ-nâ-thai lâu Mî-koet kin-nui.
geographical-object;['new guinea'];New Guinea chhai Au-chû yî pet, he sṳ-kie sông thi-ngi thai tó-yí.
geographical-object;['yucatán pan-tó', 'yû-khà-thán pan-tó'];Yû-khà-thán Pan-tó, vi yî Chûng Mî-chû pet-phu, Me̍t-sî-kô tûng-nàm-phu ke Pan-tó, Me̍t-sî-kô-vân lâu Kâ-le̍t-pí-hói chṳ̂-kiên, chiông Kâ-le̍t-pí-hói chhiùng Me̍t-sî-kô-vân chûng fûn-lì chhut.
geographical-object;['mâ-lòi pan-tó'];Mâ-lòi Pan-tó vi-yî Â-chû thai-liu̍k chui nàm-tôn, he Tûng-nàm-â chûng-nàm pan-tó ke yit-ke chú-yeu Pan-tó, lâu Sû-mùn-tap-lia̍p-tó kak-tén Mâ-liuk-kap Hói-hia̍p‎, he Thai-phìn-yòng lâu Yin-thu-yòng ke fûn-kie sien.
geographical-object;['anatolia pan-tó', 'ôn-na̍p-thok-li-â pan-tó', 'ôn-na̍p-thok-li-â'];Ôn-na̍p-thok-li-â Pan-tó, yu miàng Séu Â-se-â, he Â-chû sî-nàm-phu ke yit-ke pan-tó, vi-yî Het-hói lâu Thi-chûng-hói chṳ̂-kiên.
geographical-object;['iberia pan-tó', 'yî-pí-li-â pan-tó'];Iberia Pan-tó vi-yî Êu-chû sî-nàm kok, tûng lâu nàm-lìm Thi-chûng-hói, sî-piên he Thai-sî-yòng, pet-lìm Biscay-vân.
geographical-object;['bonaire'];Bonaire he Hò-làn chhai Pet Mî-chû ke yit chak chhṳ-chhṳ-sṳ.
geographical-object;['ngò-hòi-ngò-hò'];Ngò-hòi-ngò-hò he Mî-koet tûng-phu ke yit-thiàu hò-liù, he Me̍t-sî-sî-pí-hò chui-tûng ke kî-liù.
geographical-object;['delaware-hò'];Delaware-hò he Mî-koet Thai-sî-yòng liù-vet ke yit-thiàu hò-liù.
geographical-object;['vû-hói', 'het-hói'];Vû-hói he Êu-Â Thai-liu̍k ke yit-ke Liu̍k-kiên hói, pûn Êu-chû, Kavkaz lâu Anatolia Pan-tó só pâu-vì.
geographical-object;['pô-lò-tit-hói', 'baltic-hói', 'pô-lò-ke-hói'];Baltic-hói he Chûng-Êu lâu Pet-Êu chṳ̂-kiên ke liu̍k-kiên hói, Hói-vet vàng-kon Pet-vúi 53 thu chṳ Pet-vúi 66 thu, Tûng-kîn 10 thu chṳ Tûng-kîn 30 thu, kie yî Scandinavia pan-tó ke Shuì-tién phu-fûn, Êu-chû Thai-liu̍k lâu Tan-ma̍k chû-tó chṳ̂-kiên.
geographical-object;['pô-sṳ̂-vân'];Pô-sṳ̂-vân, Yin-thu-yòng Â-là-pak-hói sî Pet-hói vân.
geographical-object;['chêu-sién hói-hia̍p', 'chêu-siên hói-hia̍p'];Chêu-sién Hói-hia̍p, he Hòn-koet lâu Ngit-pún lióng-koet chṳ̂-kiên ke hói-hia̍p, lièn-chiap Vòng-hói, Tûng-hói lâu Ngit-pún-hói chṳ̂-kiên ke yeu-tho, yû kóng-ngi lâu ha̍p-ngi lióng-chúng yung fap.
geographical-object;['tûng-hò', 'tûng-hò, new york sṳ', 'east river'];Tûng-hò, Mî-koet Néu-yok-chû Néu-yok-sṳ sṳ-nui ke yit-thiàu chhèu-sip-hîn hói-hia̍p, pet-chiap chhòng-tó hói-vân, nàm-chiap sông Néu-yok-vân, chiông vi-yî Chhòng-tó lâu Màn-hâ-tun-tó yî-khi̍p vi-yî Pet-mî-chû Thai-liu̍k ke Pu-lóng-khiet-sṳ̂ fûn-khôi.
geographical-object;['nàm chûng-koet hói', 'nàm-hói'];Nàm Chûng-koet Hói he Chûng-koet yî-nàm ke Liu̍k-yèn-hói.
geographical-object;['montserrat'];Montserrat he Yîn-koet chhai Pet Mî-chû ke yit chak hói-ngoi liâng-thi.
geographical-object;['kâ-le̍t-pí-hói', 'caribe-hói'];Caribe-hói he yû Pet-mî-chû lâu Nàm-mî-chû
geographical-object;['me̍t-sî-kô-vân'];Me̍t-sî-kô-vân he Pet-mî-chû nàm-phu Thai-sî-yòng ke yit hói-vân, yî Fu̍t-lò-lî-tha̍t Pan-tó-Kú-pâ-Yû-khà-thán Pan-tó yit-sien lâu ngoi-hói fûn-kot.
