abstract-quality;['особистість', 'особистості'];Відображення соціальної природи людини
agentive-physical-object;['dalbergia cearensis', 'kingwood дерева'];Вид рослин
agentive-physical-object;['bougainvillea glabra', 'бугенвіль гола', 'паперу квітка'];Вид рослин
agentive-physical-object;['німецька вівчарка', 'німецький вівчар', 'німе́цька вівча́рка', 'німецькі вівчарки', 'німецькі поліцейські собаки'];Порода собаки
agentive-physical-object;['шиперке', 'schipperke', 'шіпперке'];Порода собак
agentive-physical-object;['чау-чау', 'chow chow'];Порода собаки
agentive-physical-object;['мальтез', 'мальтійська собака', "мальтійська тер'єр"];Порода собаки
agentive-physical-object;['phalaropus tricolor', 'steganopus триколор', 'плавунчік уїлсон', 'уїлсон плавунчік'];Вид птахів
agentive-physical-object;['gymnocarpium dryopteris', 'голокучник дубовий', 'gymnocarpium dryoptheris', 'gymnocarpium щитовника', 'thelypteris щитовника', 'дуб папороті'];Вид рослин
agentive-physical-object;['каркас південний', 'celtis australis', 'середземноморський каркас', 'європейським каркас'];Вид рослин
agentive-physical-object;['вивільга звичайна', 'іволга', 'oriolus oriolus', 'звичайна вивільга'];Вид птахів
agentive-physical-object;['chrysolophus pictus', 'фазан золотий', 'золотий фазан', 'chrysolophus ршіз'];Вид птахів
agentive-physical-object;['ovalipes ocellatus', 'американська леді краб', 'бязь краба', 'леді краба'];Вид ракоподібних
agentive-physical-object;['euonymus fortunei', 'euonymus fortunei радіканс', 'euonymus радіканс vegetus', 'вічнозелені гірко'];Вид рослин
agentive-physical-object;['ulmus procera', 'ulmus ргосега', "англійська в'яз", "англійський в'яз", "європейським в'яза"];Вид рослин
agentive-physical-object;['pieris japonica', 'pieris японська', 'лілі-оф-долині дерева', 'японські андромеди'];Вид рослин
agentive-physical-object;['brodiaea elegans', 'brodiaea елеганс', 'елегантні brodiaea'];Вид рослин
agentive-physical-object;['fucus serratus', 'fucus зубчаста', 'fucus зубчастої', 'зубчасті пузирчастий'];Вид бурих водоростей
agentive-physical-object;["трав'янка лучна", "лучна трав'янка", 'saxicola rubetra', 'чекан лучний', 'whinchat'];Вид птахів
agentive-physical-object;['жайворонок польовий', 'жа́йворонок', 'alauda arvensis', 'жайворонок звичайний', 'звичайний жайворонок', 'жайворонок', 'alauda польовий'];Вид птахів
agentive-physical-object;['aquila rapax', 'орел рудий', 'степовий орел'];Вид птахів
agentive-physical-object;['вівсянка садова', 'emberiza hortulana', 'садова вівсянка', 'ortolan бантінг', 'ortolan вівсянка'];Вид птахів
agentive-physical-object;['bryonia dioica', 'переступень дводомний', 'bryonia cretica subsp. dioica', 'bryonia дводомної', 'дикий хміль', 'червоні бріонія'];Вид рослин
agentive-physical-object;['пізньоцвіт осінній', 'colchicum autumnale', 'дикий шафран', 'зимовик', 'морозець', 'луговий шафран', 'colchicum осінній', 'безвременник', 'пізньоцвіт'];Вид рослин
agentive-physical-object;['часник', 'часник городній', 'allium longicuspis', 'allium sativum', 'allium посівного'];Вид рослин
agentive-physical-object;['часник', 'часник городній', 'allium longicuspis', 'allium sativum', 'allium посівного'];вид рослин
agentive-physical-object;['iris persica', 'перські ірис'];Вид рослин
agentive-physical-object;['iris xiphium', 'xiphium ірис', 'іспанська ірис'];Вид рослин
agentive-physical-object;['нарцис', 'narcissus', 'нарциси'];Рослина з родини амарилісевих
agentive-physical-object;['цибуля городня', 'цибуля ріпчаста', 'цибуля', 'allium cepa', 'ріпчаста цибуля', 'allium сера', 'allium сірка', 'лук завод'];Багаторічна трав'яниста рослина, представник роду Цибуля родини Цибулевих
agentive-physical-object;['амариліс', 'amaryllis'];Рід рослин
agentive-physical-object;['iris tingitana'];Вид рослин
agentive-physical-object;['iris filifolia'];Вид рослин
agentive-physical-object;['орлан-білохвіст', 'haliaeetus albicilla', 'haliaeetus albicilla albicilla', 'haliaeetus albicilla groenlandicus', 'скоб білохвостий', 'сіруватень', 'орлан-білохвост', 'орлан білохвостий', 'ern', 'haliatus білохвіст', 'білохвостий орлан', 'сірого морського орла', 'європейські орлани'];Вид птахів
agentive-physical-object;['лопух великий', 'лопух справжній', 'arctium lappa', 'дідовник', "реп'яшник", 'лопух звичайний', 'arctium лаппа', 'більше лопуха', 'великі лопухи', 'дурнішніка'];Вид рослин
agentive-physical-object;['uca', 'краб скрипаля', 'краби'];Рід ракоподібних
agentive-physical-object;['гофер-поліфем', 'gopherus polyphemus', 'ґофер-поліфем', 'ховрах черепаха', 'gopherus polypemus', 'поліфем', 'суслик черепаха'];Вид плазунів
agentive-physical-object;['кактусова миша', 'peromyscus eremicus', 'кактус миші', 'реготузсіз eremicus'];Вид ссавців
agentive-physical-object;['стрункий сліпун західний', 'rena dugesii', 'rena segrega', 'leptotyphlops humilis', 'західній сліпі змії'];Вид плазунів
agentive-physical-object;['phaseolus lunatus', 'боби ліми', 'квасолі лима', 'масло бобів рослини'];Вид рослин
agentive-physical-object;['cycloloma atriplicifolium', 'крилатого марь', 'перекотиполе'];Вид рослин
agentive-physical-object;['tanacetum parthenium', 'маруна дівоча', 'піретрум', 'піретрум дівочий', 'хризантема parthenium'];Вид рослин
agentive-physical-object;['eubotrys racemosa', 'leucothoe гасетоза', 'солодкі дзвони'];Вид рослин
agentive-physical-object;['daphne laureola', 'дафна laureola', 'молочай лаврових'];Вид рослин
agentive-physical-object;['чина весняна', 'lathyrus vernus', 'горошок весняний', 'lathyrus повернуся', 'навесні vetchling'];Вид рослин
agentive-physical-object;['abelmoschus moschatus', 'hibiscus abelmoschus', 'гібіскус moschatus', 'мускусних дерево'];Вид рослин
agentive-physical-object;['rivina humilis', 'bloodberry', 'rougeberry', "кров'ю ягід", "рум'яна завод"];Вид рослин
agentive-physical-object;['arctotis stoechadifolia', 'arctotis venusta', 'блакитноока африканських ромашка'];Вид рослин
agentive-physical-object;['salsola soda', 'курай содовий', 'kali', 'солянка соди', 'barilla', 'kelpwort', 'солерос', 'солянка калі'];Вид рослин
agentive-physical-object;['salsola soda', 'курай содовий', 'kali', 'солянка соди', 'barilla', 'kelpwort', 'солерос', 'солянка калі'];Сторінка значень в проекті Вікімедіа
agentive-physical-object;['erica vagans', "корніш здоров'я", 'еріка vagans', 'корніш хіт'];Вид рослин
agentive-physical-object;['melampodium leucanthum', 'blackfoot ромашки'];Вид рослин
agentive-physical-object;['macadamia tetraphylla', 'квінсленд гайкою'];Вид рослин
agentive-physical-object;['acanthocereus tetragonus', 'acanthocereus pentagonus', 'плід дракона', 'пітайя', 'пітайя кактус', 'пітайі'];Вид рослин
agentive-physical-object;['layia platyglossa', 'tidytips', 'охайний поради'];Вид рослин
agentive-physical-object;['madia elegans', 'madia елеганс', 'загальні madia', 'загальні tarweed'];Вид рослин
agentive-physical-object;['nemophila maculata', 'nemophila тасіша'];Вид рослин
agentive-physical-object;['erythronium californicum', 'палевий лілії'];Вид рослин
agentive-physical-object;['salvia spathacea'];Вид рослин
agentive-physical-object;['torreya californica', 'torreya сащогтса', 'каліфорнія мускатного горіха', 'мускатний горіх, тис'];Вид рослин
agentive-physical-object;['carpenteria californica', 'carpenteria', 'carpenteria сащогтса'];Вид рослин
agentive-physical-object;['prunus ilicifolia', 'вічнозеленої вишні', 'холлі листя вишні', 'холлі листям вишні'];Вид рослин
agentive-physical-object;['mirabilis laevis', 'mirabilis сащогтса', 'mirabilis хепоріз', 'каліфорнія 4:00'];Вид рослин
agentive-physical-object;['fritillaria micrantha', 'fritillaria parviflora', 'коричневий дзвони'];Вид рослин
agentive-physical-object;['fritillaria pluriflora', 'adobe лілії', 'рожеві рябчик'];Вид рослин
agentive-physical-object;['oreortyx pictus', 'перепелиця гірська', 'oreortyx', 'гірська перепелиця', 'oreortyx піктів palmeri', 'гора перепела', 'гірські куріпки', 'гірські перепелів'];Вид птахів
agentive-physical-object;['lithophragma affine', 'lithophragma афінних', 'lithophragma ашшз', 'tellima ашшз', 'ліс зірки'];Вид рослин
agentive-physical-object;['bloomeria crocea', 'золота зірка', 'золоті зірки'];Вид рослин
agentive-physical-object;['antirrhinum coulterianum', 'білий левиний зів'];Вид рослин
agentive-physical-object;['lepechinia calycina', 'sphacele calycina'];Вид рослин
agentive-physical-object;['baccharis douglasii', 'baccharis salicifolia', 'baccharis viminea', 'мула жиру'];Вид рослин
agentive-physical-object;['baccharis douglasii', 'baccharis salicifolia', 'baccharis viminea', 'мула жиру'];Вид рослин
agentive-physical-object;['zantedeschia rehmannii', 'zantedeschia rehmanii', 'рожеві калли'];Вид рослин
agentive-physical-object;['кутра конопляна', 'apocynum cannabinum'];Вид рослин
agentive-physical-object;['очеретянка канаркова', 'phalaris canariensis', 'phalaris канареечніка', 'канаркова', 'корм трава'];Вид рослин
agentive-physical-object;["фук'єрія колоноподібна", 'fouquieria columnaris', 'idria columnaris', 'буджум дерева', 'чіріо'];Вид рослин
agentive-physical-object;['canna indica', 'canna plurituberosa', 'канна показниками', 'achira', 'канна гриб', 'індійська постріл'];Вид рослин
agentive-physical-object;['canna indica', 'canna plurituberosa', 'канна показниками', 'achira', 'канна гриб', 'індійська постріл'];Вид рослин
agentive-physical-object;['catalpa speciosa', 'catalpa спесіоза'];Вид рослин
agentive-physical-object;['streptomyces scabies', 'streptomyces корости', 'бактерії картоплі паршею'];Вид прокаріотів
agentive-physical-object;['ralstonia solanacearum', 'pseudomonas solanacearum', 'бактерій кільцева гниль'];Вид прокаріотів
agentive-physical-object;['ліванський кедр', 'кедр ліванський', 'cedrus libani', 'кедр ливанський'];Вид рослин
agentive-physical-object;['macrocephalon maleo', 'малео', 'macrocephalon', 'maleo'];Вид птахів
agentive-physical-object;['pachyrhizus erosus', 'хікама', 'jicama', 'джікама'];Вид рослин
agentive-physical-object;['бузок карпатський', 'syringa josikaea', 'бузок угорський', 'syringa josikea', 'угорська бузок'];Вид рослин
agentive-physical-object;['nautilidae', 'argonauta', 'argonauta argo', 'наутилус', 'argonauta арго', 'паперу nautilus', 'nautilus', 'аргонавт', 'документа nautilus'];Вид молюсків
agentive-physical-object;['cerastium tomentosum'];Вид рослин
agentive-physical-object;['губоногі', 'сороконі́жка', 'chilopoda', 'geophilomorpha', 'сороконіжка'];Клас членистоногих
agentive-physical-object;['salpiglossis sinuata', 'пофарбований мову'];Вид рослин
agentive-physical-object;['gevuina avellana', 'guevina avellana', 'guevina heterophylla', 'чилі гайкою', 'чилі карі', 'чилійські гайки', 'чилійські фундука'];Вид рослин
agentive-physical-object;['rosa laevigata', 'cherokee rose', 'cherokee виросли', 'роза laevigata'];Вид рослин
agentive-physical-object;['kolkwitzia amabilis', 'кольквіція чарівна', 'краса куща'];Вид рослин
agentive-physical-object;['ephedra sinica', 'mahuang', 'ефедра синиця'];Вид рослин
agentive-physical-object;['meconopsis betonicifolia', 'meconopsis', 'мак блакитний'];Вид рослин
agentive-physical-object;['alpinia officinarum', 'альпінія лікарська', 'калган малий', 'alpinia лікарська', 'менше калган'];Вид рослин
agentive-physical-object;['гвоздика китайська', 'dianthus chinensis', 'dianthus китайського', 'веселка рожеві', 'китай рожевому'];Вид рослин
agentive-physical-object;['hibiscus mutabilis', 'гібіскус mutabilis', 'конфедерації виросла мальва', 'конфедерації виросли'];Вид рослин
agentive-physical-object;['тунг китайський', 'vernicia fordii', 'алевритами fordii', 'дун', 'дун дерева', 'дун масло дерева'];Вид рослин
agentive-physical-object;['cinnamomum cassia', 'коричник китайський', 'касія, кора дерев'];Вид рослин
agentive-physical-object;['pellaea mucronata', 'pellaea ornithopus', 'пташині ноги папороті'];Вид рослин
agentive-physical-object;['перець чорний', 'чо́рний пе́рець', 'чорний перець', 'стручковий перець', 'piper nigrum', 'piper шдгіт', 'білий перець', 'загальний перець', 'мадагаскар перець', 'перець'];Вид рослин
agentive-physical-object;['cotoneaster dammeri'];Вид рослин
agentive-physical-object;['ротанґ', 'ротангова пальма', 'ротанг', 'calamus ротанг', 'ротанга', 'ротангу долоні'];Вид рослин
agentive-physical-object;['toxicodendron radicans', 'toxicodendron радіканс', 'markweed', 'poison ivy', 'rhus радіканс', 'отруйний плющ', 'отрута ртуті', 'рус токсікодендрон'];Вид рослин
agentive-physical-object;['actinidia deliciosa', 'актинідія приємна', 'actinidia chinensis', 'актинідія deliciosa', 'актинідія китайська', 'ківі, виноград'];Вид рослин
agentive-physical-object;['actinidia deliciosa', 'актинідія приємна', 'actinidia chinensis', 'актинідія deliciosa', 'актинідія китайська', 'ківі, виноград'];Вид рослин
agentive-physical-object;['lupinus texensis'];Вид рослин
agentive-physical-object;['trifolium dubium', 'конюшина дрібноголівчаста', 'менше жовтого трилисника', 'трилисник'];Вид рослин
agentive-physical-object;['trifolium reflexum', 'trifolium stoloniferum'];Вид рослин
agentive-physical-object;['trifolium reflexum', 'trifolium stoloniferum'];Вид рослин
agentive-physical-object;['kniphofia uvaria', 'покер завод'];Вид рослин
agentive-physical-object;['cypripedium fasciculatum', 'кластерний венерин черевичок'];Вид рослин
agentive-physical-object;['echinochloa frumentacea', 'пайза', 'echinochloa', 'sanwa проса', 'мільярдів доларів траві', 'японські проса', 'японські просо обори'];Вид рослин
agentive-physical-object;['eleusine indica', 'eleusine показників', 'yardgrass', 'дворі трава'];Вид рослин
agentive-physical-object;['galeopsis tetrahit', 'жабрій звичайний', 'конопель кропиви'];Вид рослин
agentive-physical-object;['печериця польова', 'agaricus arvensis', 'psalliota arvensis', 'кінь грибами', 'польовий agaricus', 'шампіньйон польовий'];Вид грибів
agentive-physical-object;['palmaria palmata', 'dulse', 'palmata', 'rhodymenia palmata', 'темно-червона їстівна водорость'];Вид водоростей
agentive-physical-object;['anthriscus sylvestris', 'бугила лісова', 'anthriscus звичайна', 'дикі кервель', 'корова петрушки'];Вид рослин
agentive-physical-object;['хрін звичайний', 'хрін', 'armoracia rusticana', 'armoracia сільська', 'хріном', 'червона капуста'];Вид рослин
agentive-physical-object;['verbesina encelioides', 'cowpen ромашки', 'ximenesia encelioides', 'золота корона бороду', 'золотий crownbeard', 'масло ромашки'];Вид рослин
agentive-physical-object;['allium ampeloprasum', 'allium ampeloprasum var. kurrat', 'ampeloprasum', 'kurrat', 'левант часником'];Вид рослин
agentive-physical-object;['райграс високий', 'arrhenatherum elatius', 'висока трава вівсяного', 'висока трава лугова', 'вічнозелені трави', 'помилкових вівсяної', 'французький жита'];Вид рослин
agentive-physical-object;['ambrosia psilostachya', 'багаторічна амброзії', 'західній амброзії'];Вид рослин
agentive-physical-object;['eryngium yuccifolium', 'гримучої змії майстра'];Вид рослин
agentive-physical-object;['eryngium aquaticum'];Вид рослин
agentive-physical-object;['solanum carolinense', 'бик кропиви', 'кінь кропиви', "м'яч кропиви", "м'яч пасльону"];Вид рослин
agentive-physical-object;['tetragonia tetragonoides', 'tetragonia expansa', 'tetragonia tetragonioides', 'нова зеландія шпинатом'];Вид рослин
agentive-physical-object;['земноводні', 'амфі́бія', 'земново́дне', 'amphibia', 'амфібії', 'амфібій'];Клас наземних хребетних
agentive-physical-object;['aletris farinosa', 'лихоманка трави', 'лихоманці кореневої'];Вид рослин
agentive-physical-object;['aquilegia canadensis', 'аквілегія канадська', 'молитовний будинок'];Вид рослин
agentive-physical-object;['aquilegia coerulea', 'aquilegia caerulea', 'aquilegia scopulorum calcarea', 'сині коломбіна'];Вид рослин
agentive-physical-object;['nyssa aquatica', 'води гумки', 'нісського адіаіса'];Вид рослин
agentive-physical-object;['nyssa sylvatica', 'blackgum', 'pepperidge', 'sylvatica', 'кислий гумки', 'нісського sylvatica'];Вид рослин
agentive-physical-object;['двигун внутрішнього згоряння', 'двз', 'двигун внутрішнього згорання', 'двс', 'двигун автомобіля'];Тип двигуна, у якому енергія палива, що згоряє, перетворюється у механічну енергію
agentive-physical-object;['підкоришник американський', 'certhia americana', 'американський підкоришник', 'пищуха американська', 'certhia американа', 'американський ліани', 'коричневий creeper', 'коричневий рептилія'];Вид птахів
agentive-physical-object;['мідиця звичайна', 'мі́диця звича́йна', 'бурозубка звичайна', 'sorex araneus', 'звичайна мідиця', 'sorex агапеіз', 'бурозубка', 'бурозубки'];Вид ссавців
agentive-physical-object;['arisaema triphyllum', 'arisaema atrorubens', 'індійський ріпу'];Вид рослин
agentive-physical-object;['troglodytes aedon', 'волоочко співоче', "будинок кропив'яник", 'будинок рен'];Вид птахів
agentive-physical-object;['сосна жовта', 'pinus ponderosa', 'жовта сосна', 'жовтої сосни', 'ponderosa', 'бик сосна', 'західній жовтої сосни'];Вид рослин
agentive-physical-object;['підсніжник', 'anemone quinquefolia', 'anemonoides quinquefolia', 'galanthus', 'пролісок'];Рід рослин
agentive-physical-object;['підсніжник', 'anemone quinquefolia', 'anemonoides quinquefolia', 'galanthus', 'пролісок'];Вид рослин
agentive-physical-object;['підсніжник', 'anemone quinquefolia', 'anemonoides quinquefolia', 'galanthus', 'пролісок'];вид рослин
agentive-physical-object;['cabomba caroliniana', 'fanwort'];Вид рослин
agentive-physical-object;['лисун гренландський', 'pagophilus groenlandicus', 'pagophilus groenlandica', 'гренландський тюлень', 'pagophilus', 'гренландського тюленя'];Вид ссавців
agentive-physical-object;['thymus vulgaris', 'чебрець садовий', 'thymus вугри', 'загальні чебрець'];Вид рослин
agentive-physical-object;['betula lenta', 'вишня берези', 'солодкий березовий'];Вид рослин
agentive-physical-object;['галка', 'coloeus monedula', 'га́лка', 'corvus monedula'];Вид птахів
agentive-physical-object;['бузина чорна', 'sambucus coreana', 'sambucus nigra', 'sambucus nigra l.', 'bourtree', 'бузини', 'загальні старшого', 'чорної бузини'];Вид рослин
agentive-physical-object;['бузина чорна', 'sambucus coreana', 'sambucus nigra', 'sambucus nigra l.', 'bourtree', 'бузини', 'загальні старшого', 'чорної бузини'];вид рослин
agentive-physical-object;['viverra zibetha', 'великий ціветти'];Вид ссавців
agentive-physical-object;['clematis virginiana', 'клематис віргінський', 'діви альтанки'];Вид рослин
agentive-physical-object;['мокасинова змія мідноголова', 'agkistrodon contortrix'];Вид плазунів
agentive-physical-object;['corallorhiza maculata', 'corallorhiza тасіша', 'плямистий коралових кореневої'];Вид рослин
agentive-physical-object;['centropus sinensis', 'ворона фазан'];Вид птахів
agentive-physical-object;['ворона американська', 'corvus brachyrhynchos', 'американська ворона', 'corvus brachyrhyncos'];Вид птахів
agentive-physical-object;['rattus norvegicus', 'пацюк сірий', 'пацюк мандрівний', 'коричнева пацюк', 'норвегія щурів'];Вид ссавців
agentive-physical-object;['печериця звичайна', 'agaricus campestris', 'psalliota campestris', 'печериці', 'agaricus сатрезиз', 'лугових грибів'];Вид грибів
agentive-physical-object;['гнойовик білий', 'coprinus comatus', 'shaggymane', 'shaggymane грибами', 'волохатій шапці'];Вид грибів
agentive-physical-object;['crassostrea virginica', 'virginica', 'вірджинія устриць'];Вид молюсків
agentive-physical-object;['плетуха звичайна', 'calystegia sepium', 'convolvulus sepium', "хедж-в'юнок"];Вид рослин
agentive-physical-object;['лилик двоколірний', 'vespertilio murinus', 'кажан двокольоровий', 'кажан двоколірний', 'матовий кажан', 'строкатою битою'];Вид ссавців
agentive-physical-object;['arum maculatum', 'кліщинець плямистий', 'арум maculatum', 'cuckoopint', 'лорди-і-леді'];Вид рослин
agentive-physical-object;['сиворакша', 'coracias garrulus', 'звичайна сиворакша', 'ракша', 'сиворакша євразійська', 'сизоворонка', 'роликові європейських', 'європейським ролика'];Вид птахів
agentive-physical-object;['пергач пізній', 'eptesicus serotinus', 'кажан пізній', 'бурий кажан', 'кажан пізній битою'];Вид ссавців
agentive-physical-object;['підкоришник звичайний', 'certhia familiaris', 'звичайний підкоришник', 'європейським ліани'];Вид птахів
agentive-physical-object;['saxicola torquatus', 'чорноголовий чекан', 'saxicola torquata'];Вид птахів
agentive-physical-object;['орлики звичайні', 'aquilegia vulgaris', 'aquilegia вугри', 'бабусині капелюшки'];Вид рослин
agentive-physical-object;['зозуля звичайна', 'cuculus canorus', 'звичайна зозуля', 'зозуля', 'європейської зозулі'];Вид птахів
agentive-physical-object;['снігур', 'снігу́р', 'pyrrhula pyrrhula', 'снігурі снігур'];Вид птахів
agentive-physical-object;['золототисячник гарний', 'centaurium pulchellum', 'centaurium мінус', 'менше золототисячника'];Вид рослин
agentive-physical-object;['виноград культурний', 'виноград справжній', 'vitis vinifera', 'європейського винограду', 'вініфера', 'загальні лози винограду'];Вид рослин
agentive-physical-object;['сорока', 'сорока звичайна', 'pica pica', 'євразійська сорока', 'європейським сороки'];Вид птахів
agentive-physical-object;['куріпка сіра', 'сіра куріпка', 'perdix perdix', 'угорські куріпки'];Вид птахів
agentive-physical-object;['льонок звичайний', 'яблуні', 'яблучне дерево', 'malus', 'linaria vulgaris', 'linaria вугри', 'дикий левиний зів', 'диявола льону', 'льнянка', 'маслом і яйцями'];Вид рослин
agentive-physical-object;['витка гречка берізкова', 'тамус звичайний', 'fallopia convolvulus', 'polygonum convolvulus', 'витка гречка берізковидна', 'dioscorea communis', 'tamus communis', 'tamus соттішз', "в'юнок", 'чорні бріонія', "чорні в'юнок"];Вид рослин
agentive-physical-object;['витка гречка берізкова', 'тамус звичайний', 'fallopia convolvulus', 'polygonum convolvulus', 'витка гречка берізковидна', 'dioscorea communis', 'tamus communis', 'tamus соттішз', "в'юнок", 'чорні бріонія', "чорні в'юнок"];Вид рослин
agentive-physical-object;['viola reichenbachiana', 'фіалка лісова', 'браток лісовий', 'проліски борові', 'фіалка рейхенбаха', 'фіялка лісова', 'альт reichenbachiana', 'альт sylvatica', 'хедж-фіолетового'];Вид рослин
agentive-physical-object;['мухоловка сіра', 'muscicapa striata', 'сіра мухоловка', 'плямистий мухоловка', 'строкатою grisola', 'строкатою striata'];Вид птахів
agentive-physical-object;['тсуґа канадська', 'tsuga canadensis', 'тсуга канадська', 'tsuga канадська', 'канадська', 'канадські болиголова', 'східної hemlock', 'східній болиголова'];вид дерев роду тсуґа
agentive-physical-object;["м'ята кучерява", 'mentha crispa', 'mentha spicata', "кучерява м'ята", "м'ята колосовидна", 'mentha зргсаш', "м'ята"];Вид рослин
agentive-physical-object;['mirabilis jalapa', 'mirabilis халапа', 'mirabilis uniflora', 'загальний 4:00', 'чудо-оф-перу'];Вид рослин
agentive-physical-object;['мітлиця собача', 'agrostis canina', 'agrostis шипшини', 'коричневі вигнуті', 'оксамиту вигнуті', 'род-айленд вигнуті', 'собака вигнуті', 'трави оксамиту вигнуті'];Вид рослин
agentive-physical-object;['гуска сіра', 'сіра гуска', 'anser anser', 'сірий гусак', 'гусак сірий', 'гуска дика', 'graylag', 'graylag гусака', 'дикий гусак'];Вид птахів
agentive-physical-object;['грак', 'га́йворон', 'гайворон', 'corvus frugilegus'];Вид птахів
agentive-physical-object;['вероніка лікарська', 'veronica officinalis', 'gypsyweed', 'загальні вероника'];Вид рослин
agentive-physical-object;['лунь польовий', 'польовий лунь', 'circus cyaneus', 'cyrcus cyaneus', 'cyaneus', 'болотний яструб', 'лунь', 'цирк cyaneus'];Вид птахів
agentive-physical-object;['пацюк чорний', 'rattus rattus', 'чорний щур', 'азіатський чорний щур', 'чорний пацюк', 'щур чорний', 'дах щурів', 'чорні щури'];Вид ссавців
agentive-physical-object;['ploceus philippinus', 'baya'];Вид птахів
agentive-physical-object;['тремблер прямодзьобий', 'toxostoma rufum', 'бурий дрізд', 'коричневий thrasher', 'toxostoma rufums', 'браун thrasher', 'коричневий молочниці'];Вид птахів
agentive-physical-object;['lilium canadense', 'дикий луг лілій', 'дикі жовті лілії', 'канада лілії', 'лугова лілія'];Вид рослин
agentive-physical-object;['erica cinerea', 'bell хізер', 'верес дзвін', 'еріка стегеа', 'стегеа', "тонколиста здоров'я"];Вид рослин
agentive-physical-object;['крех великий', 'mergus merganser', 'крохаль великий', 'великий крех', 'mergus крохаль', 'великий крохаль', 'крохаль'];Вид птахів
agentive-physical-object;['symphyotrichum ericoides', 'aster ericoides'];Вид рослин
agentive-physical-object;['rhus copallinum', 'rhus copallina', 'блискучі сумах', 'гірські сумах', 'карлик сумах', 'чорні сумах'];Вид рослин
agentive-physical-object;['rhus glabra', 'rhus гола', 'гладкою сумах', 'червоному сумах'];Вид рослин
agentive-physical-object;['олень білохвостий', 'американський олень білохвостий', 'odocoileus virginianus curassavicus', 'odocoileus virginianus', 'odocoileus peruvianus', 'білохвостий олень', 'білохвостого оленя', 'virginianus', 'whitetail', 'білий олень хвіст', 'білий хвіст', 'білий хвіст оленя', 'вірджинія оленів'];Вид ссавців
agentive-physical-object;['asplenium platyneuron', 'asplenium ebenoides', 'скотт костенец', 'чорне костенец'];Вид рослин
agentive-physical-object;['asplenium platyneuron', 'asplenium ebenoides', 'скотт костенец', 'чорне костенец'];Вид рослин
agentive-physical-object;['pooecetes gramineus', 'веспер воробей', 'вечірній горобець'];Вид птахів
agentive-physical-object;['бруант білогорлий', 'zonotrichia albicollis', 'білогорлий горобець', 'білий горлом воробей', 'білий горлом горобець'];Вид птахів
agentive-physical-object;['юнко сірий', 'junco hyemalis', 'темноокий юнко', 'сланцем кольору юнко', 'юнко hyemalis'];Вид птахів
agentive-physical-object;['actitis macularius', 'actitis macularia', 'плямистий sandpiper', 'плямистий кулик'];Вид птахів
agentive-physical-object;['sambucus pubens', 'американський червоний старшого', 'смердюча старшого'];Вид рослин
agentive-physical-object;['cornus sericea', 'cornus stolonifera', 'redbrush', 'американський кизилу', 'червона верба кизилу'];Вид рослин
agentive-physical-object;['salix lucida', 'блискучі верби'];Вид рослин
agentive-physical-object;['parthenocissus quinquefolia', "дівочий виноград п'ятилисточковий", "дикий виноград п'ятигострокінцевий", 'американський плющ', 'дикий виноград пятілістние', 'диким виноградом'];Вид рослин
agentive-physical-object;['злинка канадська', 'erigeron canadensis', 'пушняк канадський', 'conyza канадська', 'erigeron канадська', 'канадські блошніца дизентерійна'];Вид рослин
agentive-physical-object;['lysimachia quadrifolia', 'мутовчато дербенника'];Вид рослин
agentive-physical-object;['верес звичайний', 'calluna vulgaris', 'erica vulgaris', 'calluna', 'верес', 'вереск', 'calluna вугри', 'шотландський верес'];Вид рослин
agentive-physical-object;['рястка зонтична', 'ornithogalum umbellatum', 'ornithogallum umbellatum', 'starflower', 'влітку сніжинка', 'сонний член'];Вид рослин
agentive-physical-object;['дрізд співочий', 'turdus philomelos', 'співочий дрізд', 'півчий дрізд', 'пісня дрозда', 'співочого дрозда'];Вид птахів
agentive-physical-object;['viola arvensis', 'фіялка польова', 'фіалка польова', 'альт польовий', 'поля братки'];Вид рослин
agentive-physical-object;['мітлиця повзуча', 'agrostis stolonifera var. scabriglumis', 'agrostis stolonifera', 'agrostis straminea', 'мітлиця біла', 'agrostis болотний', 'повзучий вигнуті'];Вид рослин
agentive-physical-object;['пижмо звичайне', 'пи́жмо', 'tanacetum vulgare', 'tanacetum звичайної', 'пижмо', 'золоті гудзики'];Вид рослин
agentive-physical-object;['горошок мишачий', 'вика мишачий горошок', 'vicia cracca', 'вика багатоквіткова', 'мишачий горошок', 'calnada гороху', 'птах вика', 'тафтингові вика'];Вид рослин
agentive-physical-object;['aralia nudicaulis', 'аралія nudicaulis', 'дикі sarsparilla', 'дикі сарсапарелі', 'помилкових сарсапарелі'];Вид рослин
agentive-physical-object;['symphyotrichum novae-angliae', 'нова англія айстри', 'нових aster-angliae'];Вид рослин
agentive-physical-object;['euphorbia corollata', 'бродяги молочай', 'дикий молочай', 'цвітіння молочай'];Вид рослин
agentive-physical-object;['вивірка звичайна', 'sciurus vulgaris ognevi', 'білка руда', 'sciurus vulgaris', 'sciurus vulgaris orientis', 'білка звичайна', 'білка лісова', 'вивірка лісова', 'вивірка хоккайдоська', 'звичайна білка', 'sciurus вугри', 'вугри', 'руді білки'];Представник класу гризунів
agentive-physical-object;['aythya affinis', 'oxyura vittata', 'чернь американська', 'aythya ашшз', 'малої чорніти', 'менше чорніти', 'менше чорніти качка', 'озеро качка'];Вид птахів
