abstract-region;['grannizza fìsica scalari', 'rannizza fìsica scalari'];Grannizza fìsica chi si po'' misurari cûn nùmmiru sulu
functional-matter;['cachi', 'khaki'];Tinta avana chi s''adòpira nta l''uniformi dî surdati
functional-matter;['terra di siena', 'terra i siena'];Tinta di marrò
functional-matter;['ghiacciu', 'gelu', 'ghiazzu', 'iazzu', 'ielu', 'jazzu', 'jelu'];Acqua ô statu solidu
functional-matter;['lovastatina'];Midicinali
functional-matter;['spezziu', 'spezzia'];Ngridienti siccu ca s''adòpira a quantità picciriddi, pi dari sapuri o puru culuri ô manciari, o pi fàrilu mmantèniri megghiu. po'' èssiri nu fruttu, na ràdica o n''autra parti di na chianta
functional-matter;['citrus', 'agrumi'];Gèniri di chianti
functional-matter;['ocra'];Culuri
functional-matter;['virdura'];Erba, o na so parti, ca è bona pi manciari
functional-matter;['sarsa', 'sausa', 'salsa'];Conza lìquida, cchiu'' o menu densa, ca s''adòpira pi dari lu sapuri ô manciari
functional-matter;['ingridienti'];Sustanza ca va a fari parti di na mistura, ad esempiu di na ricetta di manciari
functional-matter;['jilatu', 'gelatu', 'gilatu', 'jazzatu', 'jlatu'];Ducci fattu di na crema ghiacciata
functional-matter;['pumu', 'puma'];Fruttu
functional-matter;['jilata'];Jelu finu ca si forma supra ê cosi ca stannu fora quannu fa'' friddu, comu ô sirinu
functional-matter;['bitumi', 'asfalt', 'pici minirali'];Sustanza nìura, ugghiusa, viscusa chi si trova ntâ natura mmiscata a petra calcaria nta l''asfalti naturali
functional-matter;['pasta'];Manciari fattu di acqua e farina, chi si bugghî e si po'' cunsari cu sausa, sucu, ogghiu e autri cosi
functional-matter;['fluidu curpurali', 'fluidu biulòggicu'];Fluidu ca veni pruduciutu ntô corpu di n''èssiri viventi
functional-matter;['ghiacciu', 'gelu', 'ghiazzu', 'iazzu', 'ielu', 'jazzu', 'jelu'];Acqua ô statu solidu
functional-matter;['fangu'];Terra mmiscata cu acqua
functional-matter;['sali'];Minirali fattu di clururu di sodiu
geographical-object;['lacu', 'lagu'];Specchiu d''acqua di supirficî granni circunnatu dâ terra, di sòlitu fattu d''acqua duci
geographical-object;['po', 'ciumi po'];Ciumi cchiu'' longu di l''Italia
geographical-object;['arcipèlacu', 'arcipèlagu', 'archipìlagu', 'arcipìlagu', 'arcipelacu', 'arcipelagu'];Gruppu di ìsuli vicini
geographical-object;['ìsula', 'isula'];Parti di terra chi è cumplitamenti circunnata di l''acqua
geographical-object;['oceania', 'ociania'];Cuntinenti
geographical-object;['mississippi', 'mississipi'];Ciumi cchiu'' longu dî Stati Uniti d''Amèrica
geographical-object;['rusceddu', "cursu d'acqua", 'vadduni', 'lavina', 'lavinaru', 'torrenti', 'turrenti'];Cursu d''acqua naturali picciriddu, chi quannu nun chiovi po'' puru stagghiari cumpletamenti
geographical-object;['mari aràbbicu'];Mari di l''Ocèanu Innianu sittintriunali
geographical-object;['sguazzu', 'guadu', 'guazzu'];Postu unni un cursu d''acqua è picca funnu e si po'' passari di na banna a l''autra senza barchi e senza natari
geographical-object;['indu', 'innu'];Ciumi dû Pakistan, chi passa macari nta Innia e Cina
geographical-object;['chianu', 'chiana', 'gghianu'];Terra chiatta para para, senza fossa e muntagni
geographical-object;['amèrica'];Cuntinenti dâ Terra, chi si sparti nta Amèrica Sittintriunali e'' Amèrica Miridiunali
geographical-object;['zilanna', 'ìsula di zilanna', 'silanna'];Ìsula dâ Danimarca, di nun cunfùnniri câ pruvincia ulannisi dâ Zilanna
geographical-object;['tamiggi'];Ciumi di l''Inghilterra
geographical-object;['missouri', 'missuri'];Ciumi dî Stati Uniti d''Amèrica
gestalt;['ellissoidi'];Quatrica chi custituisci l''estinsioni a tri diminsioni di chiddu chi è n''ellissi nta du'' diminsioni, comu lu sferoidi e la sfera
information-object;['nomu di duminiu dns'];Nomu idintificativu ùnicu p''un situ Internet
information-object;['marca'];Idintità ca nu prudutturi adotta pi signari li beni o li sirvizza ca pruduci
information-object;['alfabbetu latinu', 'alfabbetu rumanu'];Insiemi di littri chi havi orìggini ntâ lingua latina e oggi s''adòpira pi scrìviri tanti lingui eurupei
information-object;['simàfuru'];Signali luminusu chi règula lu tràfucu
information-object;['caràttiri', 'grafema'];Sìmmulu ca cumponi li palori scritti
information-object;['caràttiri', 'grafema'];Unità innipinnenti cchiu'' picciridda ntôn sistema di scrittura
information-object;['signu'];Quarchi cosa chi tistimonia n''autra cosa o pi cunnissioni causali o pi cunvenzioni
information-object;['kappa'];Littra di l''alfabbetu grecu
information-object;['mi', 'miù'];Littra di l''alfabbetu grecu
information-object;['alfa'];Littra di l''alfabbetu grecu
information-object;['phi', 'fi'];Littra di l''alfabbetu grecu
information-object;['chi'];Littra di l''alfabbetu grecu
information-object;['psi', 'ψ'];Littra di l''alfabbetu grecu
information-object;['beta'];Littra di l''alfabbetu grecu
information-object;['èpsilon'];Littra di l''alfabbetu grecu
information-object;['zeta'];Littra di l''alfabbetu grecu
information-object;['eta'];Littra di l''alfabbetu grecu
information-object;['plurali'];Nùmmiru grammaticali
information-object;['omega'];Littra di l''alfabbetu grecu
information-object;['sìmmulu dûn tìtulu', 'ticker'];Còdici alfanummèricu ca rapprisenta un tìtulu nta na vurza di valuri
information-realization;['prugramma', 'applicazzioni', 'programma', 'prugramma di computer', 'prugramma nfurmàticu'];Siguenza di istruzzioni ca si dununu ôn calculaturi elittrònicu pi esiguìri un sirvizzu
information-realization;['software', 'programma', 'prugramma', 'softuerri'];Prugramma nfurmàticu ntô senzu cchiu'' ginèricu: la parti immatiriali dûn sistema nfurmàticu
information-realization;['cap', "còdici d'avviamèntu pustali"];Codici chi innica na distinazzioni pûn sirvizzu pustali
information-realization;['libbru'];Cugghiuta di palori e mmàggini ca rapprisèntunu canuscenza, di sòlitu stampati o manuscritti supra carta riligata, o puru digitalizzati ntôn ducumentu elittrònicu
information-realization;['questiunariu'];Strumentu di ricerca ca cunsisti nta na serî di dumanni, ô scopu di cògghîri nfurmazzioni statìstichi supra ê cristiani chi rispùnnunu
information-realization;['sistema di scrittura', 'scrittura'];Modu di rapprisintari li palori di na lingua in manera gràfica, supra â carta o n''autru menzu
information-realization;['nutazzioni'];Manera difiniua pi cudificari na nfurmazzioni
information-realization;['artiggianatu'];Misteri di cu sapi criari o cunsari oggetti adupirannu sulu li so manu e arnesi chi nun sunnu industriali
information-realization;['astrattismo'];Strage di capaci
information-realization;['ambiguità'];Statu di chiddu ca è suscettìbbili di diffirenti ntirpitrazzioni
language;['linguaggiu di prugrammazzioni'];Linguaggiu furmali artificiali ca s''adòpira pi scrìviri prugrammi pî calculatura elittrònici
language;['lingui àustru-asiàtichi'];Famigghia di lingui dû Sud-Est Asiàticu
language;['lingui itàlichi'];Famigghia linguistica fatta dî lingui parrati dî pupulazzioni antichi dâ pinìsula italiana e dâ Sicilia, e dî lingui muderni chi nni discìnnunu
language;['lingui slavi'];Famigghia dî lingui parrati dî pupulazzioni slavi nta l''Europa centru-orientali e balcànica
language;['wu', 'lingua cinisi wu', 'lingua wu'];Lingua chi si parra ntâ Cina
language;['lingua yiddish', 'yiddish'];Lingua parrata di l''ebbrèi Ashkenazi
language;['malayalam', 'lingua malayalam'];Lingua chi si parra ntô Kèrala, nu statu di l''Innia
language;['mòngulu', 'lingua mòngula'];Lingua mongolica chi si parra ntâ Mungolia, ntâ Cina, ntâ Russia e ntô Kirghizzistàn
language;['lingui uràlichi'];Famigghia di lingui chi s''iputizza àppiru orìggini ntâ riggioni di l''Urali
language;['carilianu', 'carelianu', 'lingua careliana', 'lingua cariliana'];Lingua baltu-fìnnica chi si parra ntâ Carelia, na riggioni dâ Russia, e ntâ Finlannia
language;['c'];Linguaggiu di prugrammazzioni
language;['lingui afru-asiàtichi'];Famigghia di lingui chi si pàrrunu nta l''Àfrica sittintriunali e ntô Vicinu e Mediu Orienti
language;['bingalisi', 'bangla', 'bengalisi', 'lingua bangla', 'lingua bengalisi', 'lingua bingalisi'];Lingua innu-arica chi si parra ntô Bangladesci e nta l''Innia
language;['ossetu', 'lingua osseta'];Lingua iraniana orientali chi si parra nta l''Ossezzia
language;['giurgianu', 'lingua giurgiana'];Lingua caucàsica chi si parra ntâ Georgia
language;['nurviggisi', 'lingua norviggisa', 'lingua nurviggisa', 'lingua norveggisa', 'lingua norviggisi', 'lingua nurviggisi'];Lingua chi si parra ntâ Nurveggia
language;['danisi', 'da', 'dan', 'lingua danisi'];Lingua scannìnava chi si parra ntâ Danimarca
language;['svidisi', 'lingua svidisa', 'lingua svidisi', 'lincua svidisa', 'lincua svidisi'];Lingua girmànica sittintriunali chi si parra ntâ Svezzia
language;['bùlgaru', 'lingua bùlgara'];Lingua slava miridiunali chi si parra ntâ Bulgarìa
language;['lingui turchi'];Famigghia di lingui parrati di pupulazzioni turchi nta n''aria chi va dû Miditirraniu fina â Sibberia
language;['lingua'];Capacità di cumunicari pi menzu di signa comu palori o gesti
language;['luviu', 'lingua luvia'];Lingua morta innu-eurupea chi si parrau nta l''Anatolia fina a l''VIII sèculu a.C.
language;['lingua sanscrita', 'sànscritu', 'lingua sànscrita', 'sanscritu'];Lingua clàssica di l''Innia
language;['marathi', 'lingua marathi'];Lingua ufficiali di l''Innia
language;['lingua ngrisa', 'ngrisi', 'ingrisi', 'anglisi', 'angrisi', 'inglisi', 'lincua ancrisi', 'lincua angrisi', 'lincua ingrisi', 'lincua ncrisi', 'lincua ngrisi', 'lingua ancrisi', 'lingua anglisi', 'lingua angrisa', 'lingua angrisi', 'lingua ingrisi', 'lingua ncrisi', 'lingua nglisa', 'lingua nglisi', 'lingua ngrisi', 'ngrisa'];Lingua girmànica occidintali nativa di l''Inghilterra
language;['taggicu', 'lingua taggica', 'lingua taggika', 'taggiku'];Lingua pirsiana chi si parra ntô Taggikistàn
language;['afrikaans', 'af', 'afr', 'lingua afrikaans'];Lingua girmànica occidintali chi si parra ntô Suddafrica e ntâ Namibbia
language;['lingua latina', 'latinu', 'lincua latina'];Lingua innu-eurupea dâ famigghia itàlica
language;['lingua cinisa', 'cinisi', 'lingua cinisi'];Famigghia di lingui chi si pàrrunu ntâ Cina
language;['ngrisi anticu', 'old english'];Forma cchiu'' antica dâ lingua ngrisa chi fu parrata nfina â fini dû XII sèculu
language;['ngrisi mudernu'];Forma dâ lingua ngrisa chi s''havi parratu a pàrtiri dâ fini dû XV sèculu
language;['ebbrèu mudernu', 'ebbràicu mudernu', 'lingua ebbràica muderna', 'lingua ebbrèa muderna'];Lingua simìtica chi si parra nta Israeli
language;['filippinu', 'lingua filippina'];Lingua tagalla ufficiali dî Filippini
language;['fiammingu', 'lingua fiamminga'];Lingua ulannisi chi si parra ntô Belgiu
language;['matri lingua', 'lingua matri', 'lingua nativa', 'matrilingua'];Lingua ca nu cristianu si nzigna quannu crisci, senza studiàrila
language;['cheyenne', 'lingua cheyenne'];Lingua algunchina chi è parrata dî genti cheyenne ntê Stati Uniti d''Amèrica
language;['curianu', 'lingua curiana'];Lingua orientali chi si parra ntâ Curea
language;['lingua ebbràica', 'ebbrèu', 'ebbràicu', 'lingua ebbrèa', 'abbraicu', 'abbràicu', 'abraicu', 'abràicu', 'ebbraicu', 'ebraicu', 'ebràicu', 'lingua abbraica', 'lingua abbràica', 'lingua abraica', 'lingua abràica', 'lingua ebbraica', 'lingua ebraica', 'lingua ebràica'];Lingua simitica chi si parra nta Israèli
language;['irlandisi', 'irlannisi', 'lingua irlandisi', 'lingua irlannisi'];Lingua gaèlica chi si parra nta l''Irlanda
language;['sòmalu', 'lingua sòmala'];Lingua cuscìtica orientali chi si parra ntâ Sumalia e ntê paìsi cunfinanti
language;['mannarinu', 'lingua cinisi mannarina', 'lingua mannarina'];Lingua ufficiali dâ Cina
language;['cantunisi', 'lingua cantunisi', 'lingua cinisi cantunisi'];Lingua orientali chi si parra ntâ Cina
language;['innunisianu', 'indunisianu', 'lingua indunisiana', 'lingua innunisiana'];Lingua austrunisiana chi si parra nta l''Innunesia e a Timòr Est
language;['ngrisi miricanu', 'nglisi', 'lingua ngrisi miricana'];Dialettu dâ lingua ngrisa ca si parra ntê Stati Uniti d''Amèrica
language;['lingui austrunisiani'];Famigghia linguìstica di lingui parrati principalmenti nta ìsuli chi vannu di l''Ocèanu Paciìicu fina ô Madagascàr
language;['mannisi', 'lingua mannisi', 'lingua manx', 'manx'];Lingua guidèlica chi si parra nta l''ìsula di Man
language;['gaèlicu scuzzisi', 'lingua gaèlica scuzzisi'];Lingua gaèlica chi si parra ntâ Scozzia
language;['lingua greca antica', 'grecu anticu'];Lingua innu-eurupea chi fu parrata nta l''antica Grecia
language;['lingua greca', 'grecu', 'lincua greca'];Lingua innu-eurupea chi si parra ntâ Grecia
language;['gujarati', 'lingua gujarati'];Lingua ufficiali di l''Innia
language;['lingua arbanisa', 'albanisi', 'arbanisi', 'lingua albanisa', 'arvanisi', 'lingua albanisi', 'lingua arbanisi'];Lingua innu-eurupea chi si parra nta l''Albanìa
language;['lingua armena', 'armenu'];Lingua innu-eurupea chi si parra nta l''Armenia
language;['giavanisi', 'lingua giavanisi'];Lingua maleu-pulinisìaca chi si parra nta l''ìsula di Giava, nta l''Innunesia, e ntâ Malesia
language;['cherokee', 'lingua cherokee'];Lingua irochisi chi è parrata dî genti cherokee ntê Stati Uniti d''Amèrica
language;['lingua persiana', 'pirsianu', 'farsi', 'lingua farsi', 'lingua pirsiana'];Lingua irànica chi si parra nta l''Iràn
language;['malisianu', 'lingua malisi standard', 'lingua malisiana', 'malisi standard'];Lingua malisi aduttata ufficialmenti dâ Malesia
language;['lingua occitana', 'occitanu', "lingua d'oc", 'lingua pruvinzali', 'pruvinzali'];Lingua rumanza chi si parra nta Francia miridunali, ntô Principatu di Monacu, e di minuranzi ntâ Spagna, ntô Piemunti e ntê Calabbrî
language;['khmer', 'lingua khmer'];Lingua mon khmer chi si parra ntâ Camboggia, ntô Vietnam e ntâ Tailannia
language;['vietnamita', 'lingua vietnamita'];Lingua chi si parra ntô Vietnàm
language;['kiswahili', 'lingua kiswahili', 'lingua swahili', 'swahili'];Lingua bantù chi si parra nta l''Àfrica centru-orientali
language;['hindi', 'hindī', 'lingua hindi'];Lingua nazziunali ufficiali di l''Innia
language;['lingui girmànichi sittintriunali', 'lingui scanninavi'];Suttafamigghia di lingui girmànichi chi sunnu parrati ntâ pinìsula scannìnava e nta ìsuli assuciati
language;['hawaianu', 'lingua hawaiana'];Lingua pulinisiana chi si parra nta l''ìsuli Hawaii
language;['birmanu', 'lingua birmana'];Lingua tibbitu-birmana chi si parra ntâ Birmania
language;['èstuni', 'lingua èstuni'];Lingua ugru-fìnnica chi si parra nta l''Estonia
language;['lingua fillannisa', 'finlannisi', 'lingua finlannisa'];Lingua
language;['lingua ungarisa', 'ungarisi', 'lingua ungarisi'];Lingua ugru-fìnnica chi si parra nta l''Ungarìa
language;['lèttuni', 'lingua lèttuni'];Lingua bàltica orientali chi si parra ntâ Littonia
language;['urdu', 'lingua urdu'];Lingua chi si parra ntô Pachistàn
language;['nipalisi', 'lingua nepalisi', 'lingua nipalisi', 'nepalisi'];Lingua pahari chi si parra ntô Nepal, nta l''Innia e ntô Bhutan
language;['lingua spagnola', 'spagnolu', 'castigghianu', 'lingua castigghiana'];Lingua rumanza chi si parra ntâ Spagna
language;['lingua macèdoni', 'macèduni', 'lingua macèduni'];Lingua slava miridiunali chi si parra ntâ Macidonia
language;['lingua pulacca', 'pulaccu', 'lingua polacca'];Lingua slava occidintali chi si parra ntâ Pulonia
language;['cecu', 'lingua ceca'];Lingua slava occidintali chi si parra ntâ Ripubblica Ceca
language;['serbu-cruatu', 'lingua serbu-cruata'];Insiemi dî lingui slavi miridiunali chi si pàrrunu ntâ Cruazzia, ntâ Serbia, ntô Muntinigru e ntâ Bosnia-Erzigovina
language;['bielurussu', 'lingua bielurussa'];Lingua slava orientali chi si parra ntâ Bielurussia
language;['sluvaccu', 'lingua sluvacca'];Lingua slava occidintali chi si parra ntâ Sluvacchia
language;['ucraìnu', 'lingua ucraìna'];Lingua slava orientali chi si parra nta l''Ucraìna
language;['lingua russa', 'russu', 'lincua russa'];Lingua slava chi si parra ntâ Russia
language;['tidiscu', 'lingua tidesca', 'lingua tudisca', 'lingua tidisca', 'tudiscu', 'lincua tidesca', 'lincua titisca', 'lingua tedesca', 'tidescu'];Lingua girmànica occidintali
language;['lingua ulannisa', 'ulannisi', 'olandisi', 'lingua olannisa', 'olannisi', 'lingua ulandisi', 'lingua ulannisi'];Lingua girmanica occidintali chi si parra nta l''Ulanna
locative-role;['firenzi', 'firenze'];Nu cumuni di Tàlia
locative-role;['saluniccu', 'salunicchi', 'tessalonica'];Città ntâ Macidonia Cintrali, riggioni dâ Grecia
locative-role;['pisa'];Nu cumuni di Tàlia
locative-role;['pàduva', 'padova', 'padua', 'paduva', 'pàdova', 'pàdua'];Nu cumuni di Tàlia
locative-role;['parcu dî divirtimenti', 'giocarelli', 'luna park'];Postu unni cci sunnu armati joca e mpianti pi fari divèrtiri li genti
locative-role;['oasi', 'òasi'];Postu isulatu ntôn disertu unni c''è acqua e po'' crìsciri la viggitazzioni
locative-role;['pàsculu', 'pastura'];Terra unni si pòrtunu l''armali pi pàsciri
locative-role;['scandinavia'];reggiùnanu giugrafica jé stòricu culturali ḍḍ'Europa sittintriunali
locative-role;['metròpuli', 'citati', 'cità', 'mitròpuli'];Cità assai granni
locative-role;['villa', 'parcu'];Jardinu pùbblicu unni si po'' annari pi rricriari
locative-role;['vigna', 'vignera'];Locu cultivatu a racina
locative-role;['isulatu'];Gruppu di palazzi nta na cità circunnatu dî strati
locative-role;['gènuva', 'genova', 'genua', 'genuva', 'gènua'];Nu cumuni di Tàlia
locative-role;['villaggiu', 'paisi', 'paìsi'];Insiemi di casi cchiu'' picciriddu di na cità, cu na pupulazzioni di na para di migghiara
locative-role;['fruttera'];Locu cultivatu a arvuli di frutta
locative-role;['parcu nazziunali'];Riserva naturali curata di l''enti amministrativu cchiu'' autu di na nazzioni
locative-role;['cumuni'];Entità tirrituriali amministrativa
locative-role;['fusu urariu', 'fusu orariu', 'fuso orario'];Riggioni dâ Terra chi havi la stissa ura ufficiali
locative-role;['nord', 'n', 'nordu', 'sittintrioni', 'tramuntana', 'nodd'];Dirizzioni cardinali di cu varda lu polu Nord dâ Terra
locative-role;['milanu', 'milano'];Cumuni capulocu dâ Lumbardìa
locative-role;['nova york', 'nova jorca', 'new york', 'niu iorche', 'nu-iorchi', 'nu-jorchi', 'nu iorchi', 'nu jorchi', 'new york city', 'broccolino', 'brooklyn', 'brucchelino', 'brucchilin', 'brukelino', 'niu iorchi', 'niu jorche', 'niu jorchi', 'niuiorche', 'niuiorchi', 'niujorche', 'niujorchi', 'niù iorche', 'niù jorche', 'nova iorca', 'nova iorche', 'nova iorchi', 'nova iorka', 'nova iorki', 'nova jorche', 'nova jorchi', 'nova jorka', 'nova jorki', 'nova yokki', 'nova yorca', 'nova yorchi', 'nova yorka', 'nova yorki', 'novaiorca', 'novaiorche', 'novaiorchi', 'novaiorka', 'novaiorki', 'novajorca', 'novajorchi', 'novajorka', 'novajorki', 'novayorca', 'novayorchi', 'novayorka', 'novayorki', 'nuiorchi', 'nujorchi', 'nuova iorche', 'nuova york', 'nuovaiorche'];Città cchiu'' granni dû statu di New York e dî Stati Uniti d''Amèrica
locative-role;['centru finanziariu'];Cità chi è sedi d''un nùmmiru significativu a liveddu ntirnazziunali di banchi, mprisi, burzi valuri
locative-role;['favara', 'surgenti', 'surgiva'];Postu unni nasci un ciumi niscennu l''acqua di sutta terra
mental-object;['canuscenza', 'sapiri', 'cunuscenza'];Statu di cu havi nu cuncettu ntâ so menti
method;['munarchìa custituzziunali'];Forma di guvernu munàrchica unni lu suvranu è suggettu a na custituzzioni
method;['munarchìa', 'monarchia', 'munarchia'];Forma di guvernu unni tutti li putiri màssimi dû statu appartènunu ôn sulu cristianu
non-agentive-physical-object;['autustrata', 'autostrada', 'autostrata', 'autustrada'];Strata unni ponnu passari sulu veìculi a muturi viloci, chi nun s''incrocia mai cu autri sorti di strata, si nun nta punti di trasuta e nisciuta cuntrullati
non-agentive-physical-object;['piscina'];Vasca fatta apposta pi fari natari li cristiani
non-agentive-physical-object;['suca', 'pompa'];Tubbu gghîcàbbili e purtàtili, di gumma o di tila, ca s''adòpira pi trasfiriri nu fluidu di na banna a n''autra
non-agentive-physical-object;['cunnuttu'];Sruttura quali è jè chi giuva a purtari un fluidu di na banna a n''autra
non-agentive-physical-object;['tubbu'];Cosa longa e fina, vacanti dintra, aperta sulu a l''estremità, bona pi traspurtari un fluidu di n''estremità a l''autra senza spànniri
non-agentive-physical-object;['caminu pidunali', 'caminu pidestri'];Via cs si po'' pircùrriri sulu a pedi
non-agentive-physical-object;['ciminìa', 'canna fumaria', 'fumaloru', 'coddu dû caminu', 'caminu'];Summità dû caminu, parti chi nesci supra ô tettu di na casa o di na fàbbrica pi scarricari lu fumu
non-agentive-physical-object;['canali'];Èpira idraulica artificiali fatta dûn fossu granni chinu d''acqua, chi giuva pi purtari l''acqua o pi fari passari barchi di na parti a n''autra
non-agentive-physical-object;['strisci pidunali'];Traggittu pinsatu apposta pi fari passari li piduna di na banna a l''autra di na strata
non-physical-collection;['datu'];Rapprisintazzioni simmòlica di na nfurmazzioni
non-physical-collection;['cuncettu'];Rapprisintazzioni mentali astratta dâ rialtà d''un oggettu, di na situazzioni o d''un finòminu
non-physical-collection;['cridenza'];Cunvinzioni chi na cosa è vera
non-physical-collection;['monoteismu', 'monuteìsmu', 'monutiìsmu', 'munuteìsmu', 'munutiìsmu', 'monuteismu'];Riliggioni chi cuntempla l''esistenza d''un sulu diu
non-physical-collection;['politeismu', 'politeìsmu', 'puliteìsmu', 'pulitiìsmu', 'puliteismu'];Riliggioni chi cuntempla l''esistenza di cchiu'' ssai d''un diu
non-physical-collection;['cristianèsimu', 'riliggioni cristiana', 'cristianesimu'];Riliggioni monuteìstica ca vènira a Gesù di Nazaret comu figghiu di Diu fattu omu
non-physical-place;['balata', 'sipultura', 'fossa'];Postu unni s''assutterra un mortu
organized-collection;['galassia'];Gruppu i stiddi, gas e purverata chi n''davi ''na gravità propria
organized-collection;['datu'];Rapprisintazzioni simmòlica di na nfurmazzioni
organized-collection;['bibbliuteca'];Postu unni si sàrvunu li libbra e si ponnu cunsultari
organized-collection;['girarchìa'];Scala di pusizzioni unni li pusizzioni cchiu'' basci sunnu subburdinati a chiddi cchiu'' auti
organized-collective;['etnìa'];Catigurìa di cristiani ch'' cunnivìdunu na stissa idintità pi cultura, lingua, etc.
organized-collective;['insiemi suciali'];Du'' cristiani o cchiu'' ssai ca hannu rapporti tra d''iddi
parameter;["nùmmuru d'oru"];rapportu tra ḍḍu lunghizze disuguali, ḍḍi quali á maggiuri jè mèdiu prupurzionali tra á minuri jé á somma ḍḍi ḍḍui
phenomenon;['statu dâ materia', 'fasi', 'statu'];Statu ntô quali si po'' truvari la materia, comu aeriformi, lìquidu, sòlidu o puru plasma
phenomenon;['plasma'];Statu dâ materia fatta di particeddi lìbbiri pusitivi e nigativi e cumplissivamenti neutra
phenomenon;['intirazzioni dèbbuli'];Forza rispunsàbbili dû dicadimentu radiuattivu e dâ fusioni nucliari dî particeddi suttatòmichi
phenomenon;['intirazzioni forti'];Forza chi manteni nsèmmula prutoni ed elittroni ntô nucliu e li quark nta l''adroni
phenomenon;['intirazzioni funnamintali'];Una dî quattru forzi funnamintali dâ fìsica
phenomenon;['nibbulusa planitaria', 'nebbulusa planetaria'];Qualità di nibbulusa ad emissioni fatta di na scorcia di gas jonizzatu chi s''espanni, emisa di na giganti russa nta so vita tarda
phenomenon;['etirusissualità'];Attrazzioni sissuali o sintimintali versu individui di sessu oppostu
phenomenon;['finòminu', 'finominu'];Na cosa chi succedi e veni pigghiata a cunsiddirazzioni
phenomenon;['masturbazzioni', 'masturbazioni'];Minarisi
phenomenon;['ferrumagnitismu'];Prupietà dûn matiriali, comu ô ferru, ca vèni attiratu o rispinciutu dî campi magnètici
phenomenon;['nivi'];Pricipitazzioni atmusfèrica fatta di cristalli fini d''acqua jilata
phenomenon;['bisissualità'];Attrazzioni sissuali o sintimintali versu individui sia dû sessu oppostu, sia dû stissu sessu
phenomenon;['pricipitazzioni atmusfèrica'];Finòminu dî cosi chi càlunu nterra di l''atmusfera, comu ad esempiu nivi, acqua e grànnula
phenomenon;['tempu', 'cunnizzioni mitiurulòggichi', 'tempu atmusfèricu'];Cunnizzioni dî finòmini di l''atmusfera chi nfluenzunu l''omu: caudu, friddu, ventu, nivi, etc.
phenomenon;['traîttoria', 'traittoria', 'trajettoria'];Linia pircurruta di n''oggettu ca si movi
phenomenon;['lìquidu', 'statu liquitu', 'liquidu', 'liquitu', 'lìquitu'];Fluidu ca è diffìcili a cumprìmiri
phenomenon;['sòlidu'];Statu dâ materia ca tenni a aviri forma e vulumi custanti
phenomenon;['gas', 'aeriformi', 'gassi', 'statu gassusu'];Flùidu chi è fàcili a cumprìmiri
phenomenon;['acqua', 'chiuvuta', 'chioggi', 'chiova', 'acqua di celu', 'pioggia', 'acqua chiuvana', 'acqua di chioggi', 'acqua di cielu', 'acqua di cioggi', 'acqua di ghioggi', 'acqua di gioggi', 'acqua ri celu', 'chioggia', 'cioggi', 'cioggia', 'ghioggi', 'ghioggia', 'gioggi'];Pricipitazzioni atmusfèrica fatta di acqua, senza jilata, ca scinni dû celu
phenomenon;['risinu', 'sirinu', 'sirenu', 'zirinu'];Ùmidu ca scinni dû celu ntâ notti, e si trova la matina sutta forma di stizziceddi d''acqua pusati supra ê fogghî dî chianti o di autri supirficî esposti
physical-body;['particedda'];Oggettu picciriddu e lucalizzatu ô quali si ponnu attribbuìri prupietà fìsichi
physical-body;['nuclioni'];Particedda suttatomica cumpunenti dû nucliu di l''àtumu, prutoni o elittroni
physical-body;['gluoni', 'gluon'];Busoni elimintari purtaturi di forza nta l''intirazzioni forti
physical-body;['busoni di gauge'];Busoni chi è purtaturi di forza nta una dî quattru intirazzioni funnamintali
physical-body;['fotoni', 'futoni'];Particedda elimintari, quantu dâ radiazzioni elettrumagnètica, purtaturi di forza ntâ forza elettrumagnètica
physical-body;['supernova'];Stidda â fini dâ so vita chi scattìa
physical-body;['misoni', 'mesoni'];Adroni fattu dûn quark e n''antiquark
physical-body;['liptoni', 'lepton', 'leptoni'];Particedda elimintari cu spin ½ , chi nun subbisci l''intirazzioni forti e obbidisci ô principiu di esclusioni dû Pauli
physical-body;['neutroni', 'niutrùni', 'niutroni', 'niutruni', 'neutruni', 'niutròna', 'niutròni'];Particedda suttatomica elittricamenti neutra
physical-body;['elittroni', 'elettroni', 'elettrùni', 'elettruni', 'elittruni', 'alittroni', 'littroni'];Particedda suttatòmica cu càrrica elèttrica nigativa ð
physical-body;['neutrinu', 'niutrinu', 'niutrìnu'];Particedda suttatomica elimintari elittricamenti neutra cu spin ½
physical-body;['antiprutoni', 'antipróton'];Antiparticedda dû prutoni, chi nn''havi li stissi carattirìstichi ma havi càrrica elèttrica opposta
physical-body;['luna'];Satèlliti dâ Terra
physical-body;['busoni', 'bosoni'];Particedda carattirizzata di statìstica di Bose-Einstein e chi nun obbidisci ô principiu di esclusioni dû Pauli
physical-body;['firmioni', 'fermioni'];Particedda carattirizzata di statistica di Fermi-Dirac e chi obbidisci ô principiu di esclusioni dû Pauli
physical-body;['universu', 'cosmu'];Lu nsiemi di tuttu chiddu chi esisti
physical-body;['terra', 'munnu', 'pianeta terra', 'suli iii'];Terzu pianeta dû Sistema Sulari, unni nascìu l''Omu
physical-body;['marti', '♂', 'suli iv'];Quartu pianeta dû Sistema Sulari
physical-body;['io', 'ìo', 'giovi i', 'ìu'];Satèlliti di Giovi
