abstract-region;['skaler', 'sayısal'];Koordinat sistemlerindeki özelliklerden etkilenmeyen bir niceliktir
biological-object;['bez', 'beze', 'bezi', 'bezleri', 'glandüler', 'salgı organıdır', 'secreter', 'secretor'];Doku veya hücre kümesi
biological-object;['kivi'];Meyve türü
biological-object;['sil', 'bazal granula', 'blefaroblast', 'cilia cellularia', 'dip taneciği', 'diplomikrotubulus periferiki', 'diplomikrotubulus sentralis', 'kinetosilia', 'kinetozom', 'kinetozoma', 'proksimal sentriyol', 'stereosilia', 'kirpik', 'kirpikler', 'kirpikli'];Hareket organeli.
biological-object;['pilus', 'fimbria', 'fimbrium', 'pili'];Bir hücre organeli.
biological-object;['altın post', 'altin post', 'altın pösteki', 'golden fleece'];Yunan mitolojisinde zenginliği ve iktidarı sembolize eden efsanevi post.
biological-object;['kamçı', 'flagellum', 'flagella', 'bakteri kamçısı', 'flagellae'];Bazı organizmaların hareket edebilmesini sağlayan organel.
biological-object;['işık düzengeci', 'diyafram'];Fotoğraf makinelerinde kullanılan düzenek
biological-object;['yumurtalık'];Dişi üreme organı.
biological-object;['taç yaprak', 'petal', 'taçyaprak', 'taçyaprağı', 'yaprakları', 'yapraksız', 'çiçek taç yaprağı'];Taç yaprakta yer alan çiçek tacı ve taç yapraklar.
biological-object;['burun boşluğu', 'burun boşlukları'];Nazal kavite
biological-object;['adem elması', 'âdem elması', 'laringeal çıkıntı', 'prominentia laryngea', 'kalkansı kıkırdak', 'tiroid kıkırdak'];Gırtlak çıkıntısı.
biological-object;['bel', 'kısmı', 'bel ölçüsü'];Insan bedeninde göğüsle karın, sırtla kalçalar arasında daralmış bölüm
biological-object;['burun', 'koku organı'];Organ olarak burun | Burun (organ) | burun. yüz üzerinde alınla üst dudak arasında bulunan, dışa çıkıntılı, iki delikli koklama ve solunum organı
biological-object;['dura mater', 'duramater', 'dura'];Spinal kord ve beyni çevreleyen dokunun en dış kısmı
biological-object;['kolon'];Sindirim sistemi anatomisinde kalın bağırsak anlamında kullanılan bir terim
biological-object;['sinir sistemi', 'nörolojik sistem', 'sinir ağı', 'nöral', 'nörojenik', 'systema nervosum'];Canlılarda, sinirlerin oluşturduğu yapı
biological-object;['solunum sistemi', 'olunum sistemi', 'soluk alma ve verme', 'solunum sistemi ve organları', 'solunum yolları', 'solunum yolu', 'solunum', 'systema respiratorium'];Vücuttaki sistemlerden biri.
biological-object;['kök'];Kara hayatına uymuş olan gelişmiş bitkilerde, genel olarak toprak içerisine doğru büyüyen ama nadiren toprak üstünde de bulunan bir organ
biological-object;['bağ doku', 'bağ dokusu', 'bağdoku', 'fibröz bağ dokusu'];Bir organın hücrelerini bağlayan ve bir arada tutan doku.
causal-role;['reaktif', 'ayıraç', 'reaktan', 'reaktant', 'tepken', 'kimyasal reaktif', 'reaktifler'];Ve bu sayede o bileşiğin varlığını, hatta miktarını belirlemeye yarayan bir bileşik. (İngilizce reagent)
causal-role;['risk', 'tehdit', 'tehlike', 'riziko', 'güvenlik riski', 'tehlikeli'];Bir olayın gerçekleşme olasılığı ve olaydan etkilenme kombinasyonu olarak tanımlanmaktadır.
chemical-object;['radikal', 'serbest radikal', 'tek elektron transferi'];Eşleşmemiş elektronu olan bir atom, molekül veya iyon.
cognitive-event;['pişmanlık', 'vicdan azabı', 'pişman'];Vicdan eksikliğinden duyulan pişmanlık.
cognitive-event;['sıla özlemi', 'gurbet', 'yurt özlemi'];Aileden ve alıştığı ortamdan uzak kalmasına bağlı olarak hissettiği güçlü özlem duygusu
cognitive-event;['rüya', 'düş', 'ruya'];Uyurken zihinde beliren olayların, düşüncelerin bütünü, düş
cognitive-event;['ağrı', 'acı hissi', 'akut ağrı', 'ağrı hissi'];Olmuş veya olası doku hasarıyla bağlantılı ya da bu tür bir hasar üzerinden tanımlanan nahoş bir duyusal veya duygusal deneyim
cognitive-event;['kâhinlik', 'kehanet', 'kahin', 'kahinler', 'kahinlik', 'kehânet', 'kâhinler', 'mantika', 'omina', 'prodigia', 'signa', 'peygamberlik'];Meydana gelecek olayları birtakım yöntemlerle önceden bilmeye çalışmak.
cognitive-event;['vicdan', 'ahlaki anlamda', 'duygusu doğru ve yanlış', 'vicdansızca'];Dini ve felsefî bir kavram.
cognitive-event;['türev', 'türev fonksiyonu', 'derivatif', 'türevlenebilirlik', 'türemiş', 'türevlenebilir', 'türev ve türevlenebilirlik', 'birinci türev', 'diferansiyel', 'diferansiyel katsayısı', 'ilk türevi', 'türetilmiş fonksiyonu', 'türevi'];Matematiksel bir terimdir ve "fonksiyonlar" konusuyla ilgilidir.
cognitive-event;['i̇lkel fonksiyon', 'belirsiz integral', 'integral', 'antiderivative', 'integral belirsiz'];F & prime. = f
cognitive-modal-description;['gnostisizm', 'gnostisizim', 'gnostik', 'gnostikler', 'gnostisizm tarikatı'];Eski Yunan ezoterizmini (Platon, Pisagor), İbrani tradisyonlarını, Zerdüştçülüğü, bazı Doğu geleneklerini ve dinlerini, Hıristiyanlığı eklektik bir tutumla sentezleyen, birçok tarikatın benimsediği mistik felsefeye verilen genel ad.)
cognitive-modal-description;['saygı', 'hürmet', 'saygısı'];Değeri, üstünlüğü, yaşlılığı, yararlılığı, kutsallığı dolayısıyla bir kimseye, bir şeye karşı dikkatli, özenli, ölçülü davranmaya sebep olan sevgi duygusu, hürmet, ihtiram.
cognitive-state;['trans'];Kişinin haricî uyarıcılara kapalı olduğu yarı uyanık durum
course;['trafik kazası', 'trafik kazaları', 'araba kazası', 'araç kazası', 'motorlu taşıt kazası', 'otomobil kazası', 'araba kazaları', 'araba kazasında', 'motorlu araç kazası', 'otomobil kazaları', 'trafik çarpışma', 'trafik çarpışmalar', 'çarpışma'];Karayolunda meydana gelen çarpma olayı.
course;['bayılma', 'senkop', 'baygınlık', 'bayıldı', 'deliquium', 'soluk'];Ani ve geçici şuur kaybı, bayılma
course;['gurur dünyası', 'vanity fair'];William Makepeace Thackeray `in 1847 tarihli romanı. Türkçede Gurur Dünyası adıyla yayımlandı.
course;['kader', 'yazgı', 'akıbet', 'alınyazısı', "i̇slam'da kader", 'kaderi'];Din ve felsefede doğaüstü güç, ezeli takdir
course;['havale', 'konvülsiyon'];Gebelerde, küçük çocuklarda görülen bir çeşit çırpınmalı, bazen ateşli de olabilen hastalık.
dependent-place;['mozole', 'anıt mezar', 'mezar', 'anıt kabir', 'anıtmezar', 'mozoleler', 'türbe'];Makam, şöhret veya zenginlik sahibi kişilerin yaptırdığı ya da onlar için sevenlerinin yaptırdığı büyük gösterişli mezarlar
dependent-place;['dönel kavşak', 'döner kavşak', 'döner', 'göbekli', 'göbekten', 'roundabouts', 'sarmal olarak dönen', 'trafik daire'];Etrafında karayolu araç trafiğinin çeşitli yönlere dağıldığı dönel kavşak.
ecological-collective;['bitki', 'flora', 'bitey', 'bitki örtüsü', 'bitkiler', 'bitkiler âlemi', 'bitkinin kısımları', 'nebatat', 'plantae', 'plantea', 'tohumsuz bitkiler', 'vejetasyon', 'florasında'];Bir bölgede yetişen bitkilerin ortak adı, diğer bir deyimle Bitki örtüsü.
event;['hareket', 'devinim', 'hareketi'];Sıfırdan büyük kütleli herhangi bir cismin yatay, dikey veya her iki düzlemde birden bu düzlemlerdeki sabit bir noktaya göre pozisyonunun zaman fonksiyonuyla değişmesini ifade eden kavram
event;['yangın', 'yangın felaketi', 'yangın felâketi'];Maddenin ısı ve oksijenle birleşmesi sonucu oluşan yanma reaksiyonlarının neden olduğu doğal afet.
event;['dalga', 'rüzgar dalgaları', 'deniz dalgası', 'mahya hareket', 'okyanus dalgası', 'okyanus yüzey dalgaları', 'okyanus yüzey dalgası', 'rüzgar dalgası', 'su dalgaları'];Su dalgası
event;['brown hareketi', 'brownian motion', 'brownian hareketi', 'pedesis'];Hareket türü
functional-matter;['turkuaz', 'turkuvaz', 'turquoise', 'türkuvaz'];Turkuaz olarak da adlandırılan mineral
functional-matter;['petrol', 'ham petrol', 'yer yağ', 'yer yağı', 'yeryağ', 'yeryağı', 'akaryakıt', 'fosil petrol', 'gaz dağıtım', 'ham', 'konvansiyonel petrol', 'madeni yağ', 'petrol yakıt'];Yeraltından çıkarılmış doğal yanıcı mineral yağ
functional-matter;['şantung', 'şantuk', 'şantuklu'];Yazlık giyim (Çin `in Şantung eyaletinin adından)
functional-matter;['topaz', 'zebercet'];Alüminyum silikatı ve florinden oluşan, kahverengi veya soluk sarı renkte değerli taş
functional-matter;['kireç taşı', 'kalker', 'kireçtaşı', 'koralin kireçtaşı'];Kalsiyum karbonat tuzundan oluşan tortul bir kayaçtır.
functional-matter;['aydınger kağıdı', 'aydınger kâğıdı', 'aydınger'];Açık grimat renkte olan kâğıt çeşidi
functional-matter;['atlas', 'satin', 'saten'];Ince ipekten bir tür kumaş.
functional-matter;['ülker', 'pleiades', 'ülker yıldız kümesi', 'messier 45', 'ngc 1432', 'ülker takım yıldızı', 'ülker takımyıldızı'];Boğa takımyıldızında bulunan Ülker yıldız kümesi `nin diğer adıdır. Ayrıca "Pervin" olarak da bilinir.
functional-matter;['abadî', 'manila kağıdı', 'manilla', 'manilla kağıt'];Bir cins hint kağıdı.
functional-matter;['aşı', 'aşılama', 'vaccinum'];Hastalıklara karşı bağışıklık sağlama amacıyla vucuda verilen çözelti
functional-matter;['afyon', 'afyon sakızı', 'afyon ticareti'];Haşhaş bitkisinden elde edilen narkotik bir madde.
functional-matter;['serebrospinal sıvı', 'beyin-omurilik sıvısı', 'beyin omurilik sıvısı', 'liquor cerebrospinalis', 'nörolenf', 'omurilik sıvısı'];Serebrospinal sıvı, BOS veya CSF
functional-matter;['brendi', 'kanyak', 'brandy', 'üzüm ruhu'];TDK `nın tanımına göre, damıtılmış şaraptan üretilen yüksek dereceli ispirtonun gelen adı. Kanyak. Fakat gerçekte Brendi.
functional-matter;['deniz ürünleri', 'deniz ürünü', 'su ürünleri', 'su ürünü'];Bunlardan imal edilen ürünlerdir.
functional-matter;['kivi'];Meyve türü
functional-matter;['plastik', 'plastic', 'plastikler'];Polimerli malzemesi
functional-matter;['malt'];Maltoz ağırlıklı şeker için kullanılan terim.
functional-matter;['konyak', 'cognac', 'kanyak', 'borderies'];Fransa `da Cognac ve civarında üretilen brendi.
functional-matter;['altın post', 'altin post', 'altın pösteki', 'golden fleece'];Yunan mitolojisinde zenginliği ve iktidarı sembolize eden efsanevi post.
functional-matter;['yumurta', 'egg', 'tavuksal fırlatgaç', 'tavuk yumurta', 'yumurta üretimi'];Yiyecek türü
functional-matter;['humus'];Bitki artıkları sayesinde oluşan, koyu renkli organik madde.
functional-matter;['pasta', 'kuru pasta', 'yaş pasta', 'torte'];Bir tatlı türü
functional-matter;['dışkı', 'büyük abdest yapmak', 'kaka yapmak', 'sıçmak', 'bok', 'gayta', 'sıçmık', 'gübre', 'kuş pislikleri', 'pislikleri'];Gaita veya dışkı, hayvanların sindirim artıklarından oluşan ve anüs yoluyla vücuttan atılan artık madde
functional-matter;['tekstil', 'kumaş', 'dokumacılık', 'otel tekstili', 'hazır giyim', 'dokuma bezi', 'tekstil kumaşı', 'ev tekstili', 'tekstil terimleri', 'tekstilci'];Bir ipliği oluşturan ince liflerden biri.
functional-matter;['mutfak', 'aşçılık', 'yemek sanatı', 'sofra', 'mutfak sanatları', 'mutfağı', 'yemek pişirme sanatı'];Bir kültürün yemek hazırlama geleneklerinin topluca adı.
functional-matter;['sedef', 'anne-of-inci'];Midye ve istiridye gibi deniz hayvanlarının kabuğunda bulunan süslemecilikte kullanılan, pırıltılı, beyaz, sert bir madde.
functional-matter;['mutfak', 'aşçılık', 'yemek sanatı', 'sofra', 'mutfak sanatları', 'mutfağı', 'yemek pişirme sanatı'];Bir kültürün yemek hazırlama geleneklerinin topluca adı.
functional-matter;['harç'];Duvarları sıvamak için kullanılan, toprak, saman, kum, kireç, çimento vb. şeyleri su ile kararak yapılan karışım.
functional-matter;['tabasco', 'tabasco sosu'];Acı bir baharat sosu.
functional-matter;['bloody mary'];Bir içki türü
functional-matter;['çamur', 'mud', 'çok oyunculu zindan oyunu'];Doğada toprak, su vb. bazı maddelerin karışımı
genetic-collective;['windsor hanedanı', 'windsor evi'];Halihazırdaki Britanya kraliyet ailesi
geographical-object;['güney amerika', 'güney amerika kıtası', 'g.amerika'];Büyük Okyanus ile Atlas Okyanusu arasında yer alan kıta.
geographical-object;['deniz'];Bir okyanus ile bağı olan ve büyük bir alanı kaplayan ve genellikle tuzlu olan su birikintisidir.
geographical-object;['marshall adaları', 'marşal adaları', 'marshal adaları', 'marşall adaları'];Pasifik Okyanusu `nda bulunan adalar
geographical-object;['bermuda', 'bermuda adaları', 'uzun şort'];Kuzey Amerika Kıtası `nda yer alan bir ülke
geographical-object;['okyanus', 'deniz', 'okyanuslar'];Kıtaları birbirinden ayıran engin, açık denizler
geographical-object;['mississippi nehri', 'mississipi nehri', 'misisipi nehri', 'misisippi nehri', 'missisipi nehri', 'missisippi nehri', 'mississippi', 'mississippi irmağı', 'mississippi havza'];Kuzey Amerika `nın en uzun akarsuyu.
geographical-object;['amazon nehri'];Güney Amerika `da bir nehir.
geographical-object;['süveyş körfezi'];Batı Sina `da körfez
geographical-object;['neckar nehri', 'neckar'];Almanya `daki bir nehir
geographical-object;['little bighorn nehri', 'küçük boynuz'];Wyoming ile Montana eyaletlerindeki nehir
geographical-object;['obi nehri', 'ob', 'obi', 'obi irmağı', 'ob nehri'];Sibirya `nın güneyinden başlayan ve Kuzey Buz Denizi `ne dökülen nehir
geographical-object;['volga', 'volga nehri', 'i̇dil', 'i̇til nehri', 'edil nehri', 'i̇dil irmağı', 'i̇dil nehri', 'volga irmağı'];Rusya Federasyonu `nda Rusçası Volga olan bir akarsu
geographical-object;['lut gölü', 'lût gölü', 'ölü deniz'];Filistin ve Ürdün arasında yer alan göldür.
geographical-object;['karadeniz', 'euxeinos', 'kara deniz', 'black sea', 'euxine', 'karadeniz denizi', 'euxine denizi'];Ukrayna `nın ise güneyinde bulunan bir deniz.
geographical-object;['büyük tuz gölü'];ABD `de Utah eyaletinin kuzeydoğusunda göl.
geographical-object;['paraná nehri', 'parana nehri', 'paraná', 'rio paraná', 'parana'];Brezilya, Paraguay ve Arjantin boyunca akan bir nehir
geographical-object;['şelale', 'şelaleler', 'şelâle', 'çağlayan'];Bir nehrin yatağındaki büyük bir yükseklik fark nedeniyle suyun yüksekten düştüğü yerdir.
geographical-object;['hürmüz boğazı', 'ormuz boğazı'];Asya `da bir boğaz.
geographical-object;['burun', 'burun ve koy', 'ness'];Coğrafi terim olarak burun | Burun (coğrafya) | burun. karanın, özellikle yüksek ve dağlık kıyılarda, türlü biçimlerde denize uzanmış bölümü
geographical-object;['bengal körfezi'];Hint Okyanusu `nun kuzeydoğudaki uzantısı
geographical-object;['kore', 'kore yarımadası', 'güney kore', 'kore cumhuriyeti', 'dae-han-min-gook', 'han-gook'];Asya kıtasında geçmişte var olmuş bir ülkenin adı. Günümüzde ikiye bölünmektedir.
geographical-object;['antarktika', 'antarktika kıtası', 'antartika', 'dünyanın en soğuk ülkesi', 'antartika kıtasına'];DAFIF 0413 / DIA 65-18 / FIPS PUB 10-4 bölge kodu ve eski NATO kodu
geographical-object;['marmara denizi', 'marmara', 'marmora'];Marmara Bölgesi `nde yer alan iç deniz
geographical-object;['capri', 'capri adası', 'kapri'];Napoli körfezinin güneyinde kalan İtalyan adası.
geographical-object;['bozkır', 'step'];Bitki örtüsü
geographical-object;['atlas okyanusu', 'atlantik okyanusu', 'atlantik', 'atlas okyanus', 'cantabrian denizi', 'güney atlantik', 'güney atlantik okyanusu', 'kantabria denizi', 'kuzey atlantik', 'kuzey atlantik okyanusu'];Dünyanın ikinci büyük okyanusu.
geographical-object;['michigan gölü', 'lake michigan'];Kuzey Amerika `daki Büyük Göller `den biri
geographical-object;['baffin adası'];Kanada `ya bağlı ada
geographical-object;['avrasya', 'eurasia'];Avrupa ve Asya kıtalarını kapsayan coğrafî bölge.
geographical-object;['mora yarımadası', 'mora', 'peleponnes', 'peleponnesos', 'peloponnesia', 'peloponnesos', 'peloponnesus', 'peloponnez yarımadası', 'peloponisos', 'peloponnesos yarımadası', 'peloponez yarımadası', 'peloponnes', 'peloponnese'];Yunanistan `da bir yarımada
geographical-object;['haliç', 'gelgit haliç'];Nehir ve deniz sularının birbirine karıştığı girintili kıyı biçimi.
geographical-object;['niagara şelalesi', 'niagara şelaleleri', 'niyagara çağlayanı', 'atnalı şelalesi', 'atnalı şelalesi, kanada', 'niyagara çavlanı'];ABD-Kanada sınırında, Niagara Nehri `nin üzerindeki şelale.
gestalt;['kare', 'karenin çevresi', 'murabba', '▪', 'oturaklı'];Geometride bütün kenarları ve açıları eşit olan dörtgen
information-encoding-system;['dram', 'dramatik', 'trajik komedi', 'trajikomedi', 'trajikomik'];Sahne için yazılmış tiyatro oyunu
information-object;['i̇kon', 'ikon', 'bilgisayar simgesi', 'simge'];Bilgisayarda bir dosyayı, dizini veya uygulamayı simgeleyen resim, görüntü
information-object;['üç nokta', '...', 'süspansiyon noktası'];Noktalama işaretidir.
information-object;['yeşil kart', 'abd süresiz oturum izni', 'green card', 'daimi ikamet'];Amerika Birleşik Devletleri `ne gidebilmek için bu ülkenin yetkili kurumlarınca düzenlenen belge
information-object;['master of science', 'm.s', 'm.sc', 'msc', 'yüksek lisans'];Kısaca M.Sc. diye anılan üniversite yüksek lisans derecesi
information-object;['tire', 'kısa çizgi', 'uzun çizgi', '-', '⸺', '⸻', '〰', 'kısa çizgi nedir', 'çizgi'];Diğer adı kısa çizgi olan bir noktalama işareti.
information-object;['nokta', 'süre'];Bir noktalama işareti
information-object;['yıldız', 'yıldız işareti', '*', 'asterisk', 'yıldız imi', '∗', '✱', '❃', '＊'];Tipografik bir sembol veya glift
information-object;['kappa', 'kapa', 'κ'];Yunan alfabesinde bir harf
information-object;['pi', 'pi (ππ) yunanca harf', 'π'];Yunan alfabesinde bir harf
information-object;['psi', 'ψ'];Yunan Alfabesi `nde bir harf
information-object;['onur madalyası', 'medal of honor', 'onur kongre madalyası', 'onur madalya'];ABD Ordusu tarafından verilen onur madalyası.
information-object;['omega', 'ω'];Yunan alfabesinin son harfi
information-realization;['mahabharata', 'mahabharatam', 'mahabharatum'];Hint destanı.
information-realization;['yunus kitabı', 'yona kitabı', "yunus'un kitap"];Yahudilik kitaplarından Tanah' a ait bir kitap.
information-realization;['divan', 'dîvân', 'diwan'];Divan edebiyatı şairlerinin şiirlerini topladıkları eser.
information-realization;['i̇kona', 'i̇kon', 'ikon', 'simge', 'simgeler'];Hıristiyan Ortodoks mezhebinde dinî içerikli resimler
information-realization;['oyun', 'piyes', 'tiyatro oyunu', 'dramatik oyun', 'düz oyun', 'stageplay', 'tiyatro'];Tiyatro oyunu
information-realization;['roman', 'roman yazarı', 'romancı', 'modern roman'];Edebî tür
information-realization;['senet'];Bir anlaşmanın kaydedildiği resmi belge (örneğin, Helsinki Nihai Senedi veya noter senedi).
information-realization;['senet', 'vesika', 'nakil senedi'];Bir tarafın imzaladığı ve onun aleyhine delil teşkil eden yazılı hukuki belge.
information-realization;['ağıt', 'mersiye', 'sagu', 'seyrani'];Genellikle bir ölümün ya da acı, üzücü bir olayın ardından söylenen halk türküsü
information-realization;['tab', 'tablatura', 'tabulature'];Nota okumak yerine geliştirilmiş bir tekniktir.
information-realization;['nota', 'do', 'müzik notaları', 'sol'];Müzikte bir nota
information-realization;['arıza', 'bemol', 'diyez', 'arızalar', 'tesadüfi'];Müzikte notalardaki ton değişimini belirten işaretler
information-realization;['hikâye', 'kısa öykü', 'kısa hikâye', 'hikaye', 'öykü', 'kısa öykü yazarı'];Edebiyatta gerçek veya tasarlanmış olayları anlatan düz yazı türü.
information-realization;['makine dili', 'makine kodu', 'makina dili', 'makine komutu', 'yerel kod'];Instructions and data directly understandable by a CPU
information-realization;['şarkı', 'parça', 'insan sesi', 'vokal'];Ezgili insan sesleri dizisi. ezgi, müzik parçası
information-realization;['v işareti', 'zafer işareti', '✌'];Winston Churchill tarafından II. Dünya Savaşı `nda sıklıkla kullanılmış slogan ve işaret. Zafer işareti de V for Victoryden gelir. (victory: İng. zafer)
information-realization;['i̇lkelcilik', 'primitivizm', 'i̇lkelci', 'primitivist'];An early 20th century art movement
information-realization;['gerilim', 'gerilim filmi', 'belirsizlik', 'endişe', 'merakta kalma', 'muallak', 'aksiyon-gerilim filmi', 'gerilim kurgu', 'gerilim romanı', 'tıbbi gerilim'];Sinema, roman, hikâye gibi yapıtlarda kullanılan bir tür
information-realization;['mors alfabesi', 'mors kodu', 'morse kodu', 'uluslararası mors kodu'];Kısa ve uzun işaretler kullanarak bilgi aktarılmasını sağlayan yöntem
information-realization;['i̇hzar müzekkeresi', 'habeas corpus', 'habeas', 'uyarı beyanı'];Gelenek hukukunda, bir mahkeme ya da yargıçça çıkarılan ve gönderildiği kişi ya da kurumdan gözaltında tuttuğu kişiyi belirli bir amaçla mahkeme önünde hazır bulundurmasını isteyen yazılı ve yargısal emir.
information-realization;['çek', 'banka çeki'];Bir havalenin ödenmesi için çıkarılan teyit emri
information-realization;['havale', 'virman', 'virman i̇şlemi', 'posta havalesi'];Banka, postane vb. aracılığıyla gönderilen para.
information-realization;['soyut sanat', 'nonfigüratif sanat', 'nesnel olmayan', 'non-figüratif', 'soyut resim', 'soyut ressam', 'soyut sanatçı oldu'];Biçimler ve renklerin, temsili olmayan veya öznel kullanımı ile yapılan sanat
information-realization;['deneme'];Edebiyat alanında herhangi bir konuda yeni ve kişisel görüşlerle bezenmiş bir anlatım içinde sunulan düz yazı türü.
information-realization;['arya', 'aryaları'];Opera eserinde, solistlerden birinin orkestra eşliğinde söylediği, genellikle kendi içinde bütünlüğü olan şarkı
information-realization;['kateşizm', 'tam i̇lmihâl', 'cathechism', 'cathecism', 'ilmihal', 'ilmihaller'];Her Müslümanın, îmân, amel ve ahlâk ile ilgili öğrenmesi ve yapması lâzım olan bilgiler veya bu bilgileri anlatan kitap.
information-realization;['modernizm', 'modernite', 'modernist', 'modern hareketin', 'modernistler'];Bu dünya görüşüne paralel gelişen sanatsal ve kültürel bir akım
information-realization;['argo', 'argo terim', 'argo ifade'];Dilde bir tür jargon
information-realization;['ceza hukuku'];Suç ve ceza kavramlarını inceleyen kamu hukuku bölümü
information-realization;['sayılar kitabı', 'sayılar', 'çölde sayim', 'çölde sayım'];Tevrat' ın dördüncü kitabı
information-realization;['the star-spangled banner', 'abd ulusal marşı', 'amerika birleşik devletleri ulusal marşı', 'yıldız-bezeli sancak', 'star-spangled banner'];ABD ulusal marşı
information-realization;['levililer', 'levililer kitabı'];Tevrat' ın beş kitabından üçüncüsü.
information-realization;['lehçe', 'diyalekt', 'ağız', 'şive', 'altlehçe', 'lehçesi', 'diyalektik', 'lehçeleri', 'regiolect'];Bir dilin alt kolu.
intentional-collective;['kültürel akım', 'kültür hareketi'];Toplumsal düzenin ve onun değişiminin bir gereği olarak, dünya görüşü ve sanat anlayışı bakımından birleşen kişilerin, eserleriyle ortaya koydukları ve sürdürdükleri ilkelerin toplamından doğan tutarlılık. Okul veya ekol de denir.
language;['bantu dilleri', 'bantu dil ailesi', 'bantu', 'bantoid dili', 'bantoid dilidir', 'bantu dildir'];Nijer-Kongo dillerinin bir alt grubu
language;['saliş dilleri', 'salishan', 'salishan dil', 'salishan dildir'];Kanada ve ABD `de konuşlan Algonkin-Vakaş dilleri
language;['na-dene dilleri', 'na-dene'];Kızılderili dilleri ailesi
language;['hindustânî', 'hindostani', 'muğalca', 'bazaar hindi', 'hindi-urdu', 'hindi urdu', 'hindustani', 'hindustanî', 'hindustānī', 'urdu-hindi', 'urdu hindi', 'hindoostani'];Hindavi veya Hindi-Urdu, Hindistan' ın sabiri olan Hint-Aryan dili
language;['atabask dilleri', 'athabaska dilleri', 'athabascan', 'athabascans', 'athapaskan dili'];Atabask halklarının konuştuğu diller.
language;['dravid dilleri', 'dravidian dil', 'dravidic'];Hindistan ve Sri Lanka `da konuşulan Tamil, Telegu, Malayalam, Kannada dilleri
language;['yukatek mayacası', 'chan santa cruz mayacası', 'yukatekçe'];Yukatan Yarımadasında Meksika ve Belize `de Yukatek Mayalarının konuştuğu dil.
language;['türkçe', 'i̇stanbul türkçesi', 'tr', 'türk dili', 'türk lisanı', 'türkçe dili', 'türkçe lisanı', 'anadolu türkçesi', 'anadoluca', 'dünyada türkçe konuşulan ülkeler', 'dünyamızda türkçe konuşulan ülkeler', 'dünyanın hangi ülkelerinde türkçe konuşulur', 'iso 639:tr', 'tr.', 'turkce', 'turkish', 'turkish language', 'turkçe', 'türkce', 'türkisch', 'türkiye türkçesi', 'türkiş', 'türk'];Kıbrıs, Kosova, Makedonya gibi birçok ülkenin genel veya bölgesel resmî dili. Türkiye Türkçesi.
language;['algol'];Yüksek düzey bir programlama dili.
language;['i̇do dili', 'ido'];Yapay dil.
language;['pidgin', 'tarzanca', 'iletişim dili', 'pidgin dil', 'pidgins', 'sorumluluk'];Iki dilin karışmasıyla oluşan melez dil
language;['latince', 'latin', 'lat.', 'latin dili', 'latina', 'lingua latina', 'lâtince'];Eski bir dil.
language;['karaayakça', 'siksikaca', 'sikssikaca'];Kanada `da ve ABD `de konuşulan Algonkin dili
language;['arapahoca'];ABD `de konuşulan Algonkin dili
language;['krice', 'cree dili', 'iso 639:cre', 'kri dilleri'];Kanada `da konuşulan Algonkin dili
language;['potavatomice', 'potawatomi dil'];ABD Algonkin Kızılderili dili
language;['şavnice', 'shawnee dili'];ABD `de konuşulan Algonkin dili
language;['i̇skoçça', 'i̇skoç gaelcesi', 'i̇skoç galcesi', 'iskoç galcesi', 'iskoç galler', 'iskoç gal dili'];Hebridler ve İskoçya `da konuşulan bir Kelt dili.
language;['yunanca', 'yunan dili', 'demotiki', 'dimotiki', 'elinikaca', 'griechisch', 'grihiş', 'helence', 'iso 639:ell', 'rumca', 'çağdaş yunanca', 'ελληνικά', 'hellen dilinde', 'yunan'];Bir önek. Anlam: bez için. Örnek adenit (bez enflamasyonu), adenopati (veya limfadenopati), adenoma
language;['farsça', 'acemce', 'farsi', 'fa', 'farsça dili', 'i̇ran dili', 'fars dili', 'farsî', 'fârisî', 'iso 639:fas', 'i̇ranca', 'paris dili', 'parsça', 'فارسی'];Gül bahçesi, çiçek bahçeleri. Huzurlu, rahat ve zenginlik dolu yer.
language;['keçuva dilleri', 'keçuva dili', 'quechua dili', 'kechua', 'ketschua', 'keçhua', 'keçuaca', 'keçuvaca', 'kueçua', 'kechuan', 'quechuan', 'quechuan dili'];Güney Amerika `da And Dağlarında konuşulan bir Kızılderili dili
language;['macarca', 'magyar', 'macar'];Ural Dillerinden, Macaristan ve çevre ülkelerde konuşulan bir dil.
language;['arapça', 'arap dili', 'arapça dili', 'arap lisanı', 'arapça lisanı', 'ar.', 'arabic language', 'iso 639:ara', 'العربية'];Parıldayan, parlak anlamına gelen bir kız ismidir.
language;['rusça', 'rus', 'rus dili', 'ru', 'iso 639:rus', 'rusca', 'russian language', 'русский'];Bir Doğu Slav dili.
legal-possession-entity;['damga vergisi', 'pul vergisi'];Devlet tarafında alınan sözleşme vergisi
legal-possession-entity;['sınav', 'test', 'değerlendirme', 'ölçek', 'ölçüm', 'sınavlar', 'sınavları', 'yetenek testi'];Bir kişi ya da öbeğin bilgi birikimi ve diğer becerilerini ölçmeye yarayan araç
locative-role;['armageddon', 'melhame-i kübra'];Dünya `nın sonu geldiğinde yapılacağı kehanet edilen büyük savaşın yapılacağı yer
locative-role;['delhi', 'eski delhi', 'shahjahanbad'];Hindistan `da bulunan federal yapıya sahip Yeni Delhiyi de içine alan ulusal başkent bölgesi.
locative-role;['lancaster şehri', 'lancaster', 'lancaster, i̇ngiltere'];Kasabalar, köyler ve kırsal alanlar da sınırları içinde bulunur.
