abstract-region;['скаларна физичка величина', 'скалар'];Еднодимензионална физичка величина
functional-matter;['витамин е', 'vitamin e', 'токоферол'];Vitamin e
functional-matter;['лес'];Вид наслага
functional-matter;['омега кентаур', 'ngc 5139', 'ω cen', 'колдвел 80', 'omega centauri', 'омега кентаури'];Збиено ѕвездено јато во соѕвездието Кентаур
functional-matter;['оптичко влакно', 'влакнена оптика', 'оптички влакна'];Светлопроводно влакно
functional-matter;['псилоцибин', '4-po-dmt'];Природно психоделично соединение
functional-matter;['црница', 'чернозем'];Вид почва
functional-matter;['сребро', 'ag'];Хемиски елемент од редот на благородните метали
functional-matter;['тапенада', 'tapenade'];Француски провансалски сад се состои од пюре или ситно сецкани маслинки, каперси и маслиново масло.
functional-matter;['метадон'];Лекарство
functional-matter;['бензин'];Бистро гориво добиено од нафта
functional-matter;['кумис'];Ферментиран млечен пијалок
functional-matter;['мраз', 'лед'];замрзната вода во цврста состојба
functional-matter;['пијалак', 'напиток', 'пијалок'];Течност предвидена да се пие од човек
functional-matter;['шкрилец', 'шкрилци'];Вид метаморфна карпа
functional-matter;['пеницилин'];Група антибиотици
functional-matter;['consomme'];појаснителна страница
functional-matter;['шери', 'херез', 'херес'];Шпанско закрепнато вино
functional-matter;['кајгана'];Јадење од јајца
functional-matter;['јаболко', 'јаболка'];Плод на јаболкница
functional-matter;['кварцит'];Вид метаморфна карпа
functional-matter;['питаја', 'змејско овошје'];Плод на неколку видови кактуси
functional-matter;['жолто цвекло', 'бросква'];Подвид растение
functional-matter;['градежен материјал', 'градежни материјали'];материјали кои служат за изградба
functional-matter;['тресет'];Наслаги од делумно разградени растенија
functional-matter;['џем'];појаснителна страница
functional-matter;['кари'];Зачин
functional-matter;['бургундско вино', 'бургоњ'];Вино од Бургундскиот винарски крај во Фрнација
functional-matter;['базалт'];Вид вулкански камен
functional-matter;['гвано', 'guano', 'гуано'];Наталожен измет од морски птици и лилјаци
functional-matter;['азотен субоксид', 'диазотен оксид', 'азот(i) оксид', 'азотен(i) оксид'];Хемиско соединение
functional-matter;['меласа'];Вискозен нуспроизвод од рафинирањето на шеќерот
functional-matter;['мраз', 'лед'];замрзната вода во цврста состојба
genetic-collective;['хабсбурговци', 'хабсбуршка династија', 'династија хабсбург', 'хабзбурговци', 'хабсбург', 'хабсбурговците', 'хабсбуршка империја', 'хабсбуршката династија', 'хабсбуршката монархија'];европска династија
genetic-collective;['раса'];Класификација на луѓето
genetic-collective;['виндзор', 'виндзори'];Кралска династија
geographical-object;['кампечки залив', 'кампече'];Залив во Мексико
geographical-object;['санфранциски залив', 'санфранцискански залив'];Залив во Калифорнија, САД
geographical-object;['ангвила', 'ангила', 'ангилја', 'анги́лја', 'anguilla'];британска прекуморска територија во Карибите
geographical-object;['маријански острови'];архипелаг во северозападниот дел на Тихиот Океан
geographical-object;['тахо', 'тежо', 'тагус'];Река во Шпанија и Португалија
geographical-object;['лемнос', 'lemnos', 'лимнос'];Остров во Грција
geographical-object;['фарски острови', 'овчи острови', 'овчите острови', 'фарските острови', 'феројски острови', 'феројските острови', 'ферски острови', 'ферските острови'];Архипелаг во северниот Атлантски Океан во владение на Данска
geographical-object;['малајски архипелаг', 'инди', 'малајски острови', 'малајскиот архипелаг'];Архипелаг помеѓу континентална југоисточна Азија иа Австралија
geographical-object;['малајски архипелаг', 'инди', 'малајски острови', 'малајскиот архипелаг'];Региони во Азија и Америка
geographical-object;['бизмарков архипелаг', 'бизмаркови острови', 'бизмарковиот архипелаг'];Архипелаг северно од Нова Гвинеја
geographical-object;['самоански острови', 'samoa', 'самоански архипелаг'];архипелаг што покрива 3,030 км² и се наоѓа во централниот дел на Јужен Пацифик, дел од Полинезија и поширокиот регион на Океанија
geographical-object;['гондвана', 'гондва́на', 'gondwana', 'гондваналенд'];Праисториски суперконтинент
geographical-object;['лох', 'loch', 'лох фада'];шкотски и ирски збор за езеро или засолнет залив
geographical-object;['циркно езеро', 'цирково езеро'];Вид планинско езеро или бара
geographical-object;['сулавеси', 'sulawesi', 'целебес'];Остров во Индонезија
geographical-object;['миндоро', 'mindoro'];Остров во состав на Филипините
geographical-object;['поток', 'водотек'];водотек
geographical-object;['свети лаврентиј', 'сент лоренс'];Голема река во Северна Америка
geographical-object;['колумбија'];Река во Северна Америка
geographical-object;['јукатан'];Полуостров во Средна Америка
geographical-object;['камчатка'];Полуостров во источна Русија
geographical-object;['синајски полуостров', 'синај', 'синајскиот полуостров'];Полуостров на Блискиот Исток
geographical-object;['тајмир', 'тајмирски полуостров'];Полуостров во Русија
geographical-object;['нијагара', 'нијагарини водопади'];река во Канада и САД
geographical-object;['адиџе', 'adige', 'еч'];Река во северна Италија
geographical-object;['изер', 'isère'];Река во Франција
geographical-object;['арканзас', 'arkansas'];Река во САД, притока на Мисисипи
geographical-object;['об', 'ob'];Река во Русија, втора по должина во Азија
geographical-object;['ебро', 'ebro'];Река на Пиринејскиот Полуостров
geographical-object;['лофотенски острови', 'lofoten', 'лофотен', 'луфутен'];Аргипелаг и област во Норвешка
geographical-object;['јужнокинеско море', 'лузонско море'];Море во Тихиот Океан
geographical-object;['алеутски острови', 'алеути'];Островска група во Северниот Тихи Океан
geographical-object;['егејско море', 'бело море', 'егејското море', 'егејот'];Море во состав на Средоземното Море
geographical-object;['амур', 'аму́р', 'amur', 'хејлунгџанг'];Река во Русија и Кина
geographical-object;['иртиш', 'кара-иртиш', 'кара иртиш', 'црн иртиш'];Река во Кина, Казахстан и Русија
geographical-object;['дарлинг', 'darling'];Река во Австралија
geographical-object;['велика британија', 'вели́ка британија', 'британија'];Шаблон на Викимедија
geographical-object;['нова каледонија'];Викимедиина категорија
geographical-object;['свети мартин', 'свети мартин, холандија', 'сен мартен/синт маартен', 'сент мартен', 'сент мартин', 'синт маартен', 'синт мартен', 'холандски свети мартин'];Остров во Карипското Море
geographical-object;['степа', 'степи', 'степите'];Екорегион со тревнати површини
geographical-object;['јалу', 'амрок'];Река на границата на Северна Кореја со Кина
geographical-object;['лох', 'loch', 'лох фада'];шкотски и ирски збор за езеро или засолнет залив
geographical-object;['бафинова земја', 'бафинов остров'];Остров во Канада
geographical-object;['полинезија', 'полине́зија', 'полинезиски', 'полинезици'];Подрегион на Океанија
geographical-object;['нова британија', 'нова померанија', 'ново поморје'];Остров во Бизмарковиот Архипелаг, Папуа Нова Гвинеја
geographical-object;['јангцекјанг', 'сина река', 'јангѕеѓанг', 'јангце', 'јанцекјанг'];Најдолга река во Кина
geographical-object;['меѓународни води', 'отворено море', 'меѓународен воден пат', 'меѓународна вода', 'меѓународни водни патишта', 'прекугранични води'];Води вон управната надлежност на поединечни држави
geographical-object;['западни инди'];Островски регион во Карибите
information-encoding-system;['воведен напис', 'колумна', 'воведна статија'];новинарски жанр
information-object;['податотека', 'датотека', 'фајл', 'сметачка податотека', 'компјутерска податотека'];Блок информации со кој располага сметачки програм
information-object;['фонема', 'говорен звук', 'зборовен звук'];Основна единица во фонологијата
information-object;['белина', 'празно место'];Одделувач на зборови во пишувањето
information-object;['клуч', 'радикал'];Дел од кинескиот знак
information-object;['квачка', 'ˇ', 'хачек', '◌̌'];Надреден знак
information-object;['доктор на науки', 'доктор по филозофија', 'докторат'];Академски степен што нема врска со филозофијата
information-object;['пројава'];Физичко отелотворение на информациски артефакт
information-object;['лексема'];Значенска единица во јазикот
information-object;['точка'];интерпункциски знак
information-object;['жезло'];свештенички обреден стап
information-object;['латиница', 'латинично писмо', 'латинско писмо', 'латинична азбука', 'латинската азбука', 'романско писмо'];Азбука
information-object;['алегорија', 'алегориски'];Alegorija
information-object;['кадуцеј'];Жезолот на Хермес
information-object;['спектрална линија', 'спектрални линии'];Оптичка појава
information-object;['медал на честа'];Највисока воена декорација доделена од САД.
information-object;['кубит', 'аршин', 'лакот'];Стара мерна единица
information-realization;['оперативен систем', 'операти́вен систем', 'оперативни системи', 'оперативниот систем'];Програмска опрема која управува со машинската опрема на еден сметач
information-realization;['програмска опрема', 'софтер', 'компјутерскиот софтвер', 'програмската опрема', 'софтвер'];Збир од програми и поврзани податоци што на сметачот му наредуваат што и како да прави.
information-realization;['конвенција'];Сет на договорени и општо прифатени стандарди
information-realization;['аналекти', 'лун ји', 'лунји', 'мислења и беседи'];Збирка мисли на кинескиот филозоф Конфучиј
information-realization;['атарваведа'];Веда во хиндуизмот
information-realization;['самаведа'];Веда во хиндуизмот
information-realization;['јаџурведа'];Веда во хиндуизмот
information-realization;['концерт'];Вид музичко дело
information-realization;['дневник'];Писмен запис со записи уредени по датум
information-realization;['бадинерија', 'скерцо', 'scherzo', 'бадинаж'];Дел од музичко дело
information-realization;['трактат'];Формална и систематска расправа на некоја тема
information-realization;['магнум опус', 'magnum opus'];Најголемото дело на еден творец
information-realization;['лимерик', 'limerick'];Вид шеговита стихотворба
information-realization;['прилогче', 'applet'];Аплет
information-realization;['лиценца'];Право на користење на нешто
information-realization;['меркаторова проекција'];цилиндрична картографска проекција измислена од Герард Меркатор во 1569 г.
information-realization;['rondó'];појаснителна страница
information-realization;['мртва природа'];Сликарски жанр
information-realization;['криптограм'];вид загатка
information-realization;['фанфара'];Кратка музичка композиција за дувачки инструменти
information-realization;['наредбен ред', 'посредник со наредбени редови'];Вид посредник што работи со внесување на текст
information-realization;['ригведа'];Веда во хиндуизмот
information-realization;['воведен напис', 'колумна', 'воведна статија'];новинарски жанр
information-realization;['библија на кралот јаков', 'kjb', 'kjv', 'библија на кралот џејмс', 'крал јаковова библија'];Англиканска верзија на Библијата
information-realization;['книжевност', 'литература', 'книжевник', 'книжевно дело', 'писатели'];Уметност на пишаниот збор
information-realization;['блаженства', 'макаризми'];искази на Исус Христос во Беседата на гората
information-realization;['второзаконие', 'повторени закони', '5 мојсеј'];книга од Библијата
information-realization;['броеви'];книга од Библијата
information-realization;['левит', '2 мојсеј'];книга од Библијата
language;['програмски јазик', 'компјутерски јазик', 'програмски јазици', 'сметачки јазик', 'сметачки јазици'];Јазик предвиден за внесување наредби во машина
language;['ву'];јазик во Кина
language;['јидиш', 'ји́диш'];Јазик на ашкенашките Евреи
language;['малајалам', 'малајалски јазик', 'малајаламски јазик'];Јазик во Индија од дравидското семејство
language;['фулани', 'фула', 'фулбе'];Народ во Африка
language;['ирокески јазици'];Јазично семејство
language;['мускошки јазици'];Јазично семејство
language;['туписко-гварански јазици'];Јазично семејство во Јужна Америка
language;['карелски јазик'];Фински јазик
language;['кушитски јазици', 'источнокушитски јазици'];Јазично семејство во Источна Африка
language;['израз', 'фраза'];Група зборови
language;['маратски јазик', 'марати'];Индоариски јазик во Индија
language;['англиски јазик', 'english language', 'анг.', 'англ.', 'англиски', 'англискиот јазик'];Западногермански јазик
language;['паштунски јазик', 'паштунски'];Јазик
language;['африканс', 'африкаанс', 'африканерски јазик', 'африканс јазик'];Западногермански јазик што се говори претежно во Јужноафриканската Република
language;['американски староседелски јазици', 'индијански јазици', 'староседелски американски јазици', 'американски домородни јазици', 'американски староседелски јазик', 'американски јазици', 'индијански јазик', 'список на индијански јазици', 'список на староседелски јазици во америка', 'староседелски јазици во америка'];Јазици на староседелските народи во Северна, Средна и Јужна Америка
language;['тибетски јазици'];Јазично семејство
language;['гегиско наречје', 'гегиски албански јазик', 'гегиски дијалект', 'геги', 'гегиски албански', 'гегски дијалект'];Наречје на албанскиот јазик
language;['туарешки јазици', 'туарешки јазик'];Јазична група во берберското семејство
language;['индонезиски јазик', 'индонезиски'];Службен јазик на Индонезија
language;['амхарски јазик', 'етиосемитски јазици', 'афросемитски јазици', 'етиопски семитски јазици', 'етиопски јазици'];Јазик во Етиопија
language;['коми', 'коми јазик', 'комиски јазик'];Уралски јазик
language;['новогрчки јазик', 'современ грчки јазик'];јазик
language;['гуџаратски јазик'];Јазик
language;['синхалски јазик', 'синхала', 'синхалезиски јазик', 'синхалски'];Јазик на Синхалците во Шри Ланка
language;['балијци'];Народ во Индонезија
language;['јавански јазик', 'јавански'];Австронезиски јазик во Индонезија
language;['нормандски јазик', 'нормански јазик'];Јазик од романското семејство
language;['кмерски јазик', 'km', 'камбоџански јазик', 'кмерски', 'кмерскиот јазик'];Главен јазик на Камбоџа
language;['унгарски јазик', 'унгарски', 'magyar', 'magyar nyelv', 'унг.', 'унгарскиот јазик'];Јазик застапен во и околу Унгарија
language;['чиверски јазик'];Американски домороден јазик од сиуанското семејство
language;['старословенски', 'старословенски јазик', 'црковнословенски јазик', 'црковнословенски', 'старобугарски език', 'словенски', 'старобугарски јазик', 'старосл.', 'старословенскиот јазик', 'црковен словенски јазик', 'црковномакедонски јазик'];Изобличена форма на словенски јазик со скратена употреба
language;['македонски јазик', 'македонски', 'iso 639:mk', 'makedonski jazik', 'мак.', 'макед.', 'македонски литературен јазик', 'македонскиот јазик'];јужнословенски јазик
language;['белоруски јазик', 'белоруски', 'biełaruskaja mova', 'белор.', 'белорус.', 'белорускиот јазик'];Источнословенски јазик
language;['руски јазик', 'руски', 'русин', 'русинка', 'рус.', 'рускиот јазик'];Источнословенски јазик
language;['ќаншки јазици'];Јазична група
language;['холандски јазик', 'хол.', 'холандски', 'холандскиот јазик'];Западногермански јазик
locative-role;['орландо', 'orlando', 'орландо, флорида', 'орландо флорида'];Град во Флорида, САД
locative-role;['worcester'];Презиме (Worcester)
locative-role;['шенјанг'];Главен град на покраината Љаонинг, Кина
locative-role;['солун', 'салоника', 'тесалоника', 'тесалоники'];Град во Егејска Македонија
locative-role;['едрене', 'одрин', 'адријанопол', 'едирне'];Град во Турција
locative-role;['лајпциг', 'leipzig', 'липск'];Град во Германија
locative-role;['нирнберг'];Град во Баварија, Германија
locative-role;['пусан', 'бусан', 'busán'];Втор по големина град во Јужна Кореја
locative-role;['херес де ла фронтера', 'jérez de la frontera', 'херез де ла фронтера'];Град во Кадис, Шпанија
locative-role;['тајџунг', 'тајчунг', 'taichung'];Град во Тајван
locative-role;['утрехт', 'utrecht'];Град и општина во Холандија
locative-role;['лајден', 'лејден', 'leiden'];Град и општина во Јужна Холандија
locative-role;['сиан', "си'ан", 'чанган', 'сји́ан'];Главен град на покраината Шенси, Кина
locative-role;['хангџоу', 'ха́нгџоу', 'hángzhōu'];Главен град на покраината Џеѓанг, Кина
locative-role;['мајен', 'mayenne'];департман во Франција
locative-role;['намиб', 'намибиска пустина'];Пустина во Африка
locative-role;['атакама', 'atacama'];пустина во Јужна Америка
locative-role;['тесалија'];Област во Грција
locative-role;['савана', 'савани'];Тревен екосистем
locative-role;['јоркшир', 'yorkshire'];Поранешна грофовија во Северна Ирска
locative-role;['франш конте', 'franche-comte', 'франш-конте'];поранешен регион во Франција
locative-role;['бретања'];Регион во Франција
locative-role;['нормандија'];Историска област во Франција
locative-role;['голанска висорамнина', 'голански висови', 'голан'];Област во Левантот
locative-role;['бања'];Место каде термоминералната вода се користи за медицински третмани
locative-role;['ранч'];Сточарски предел во Северна Америка
locative-role;['центар-долина на лоара', 'centre', 'центар'];Регион во Франција
locative-role;['пристаниште'];Засолниште за бродови
locative-role;['избирачко место'];место каде што се гласа
locative-role;['кан', 'cannes'];Град во департманот Приморски Алпи, Франција
locative-role;['паго паго', 'pago pago'];Главен град на Американска Самоа
locative-role;['њукасл на тајн', 'newcastle upon tyne', 'њукасл'];Град во Тајн и Вер, Англија
locative-role;['антверпен'];Град во покраината Антверпен, Белгија
locative-role;['кадис', 'cádiz', 'кадиз'];Град во Андалузија, Шпанија
locative-role;['север-па де кале', 'nord-pas-de-calais'];Регион во Франција
locative-role;['шлеска', 'шлезија'];Историски регион во Средна Европа.
locative-role;['шампања-ардени', 'champagne-ardenne'];Регион во Франција
locative-role;['блекпул', 'blackpool'];Град во Ланкашир, Англија
locative-role;['џенова'];Град во Италија
locative-role;['патагонска пустина'];пустина во Аргентина
locative-role;['село', 'атар', 'атарот', 'села'];Мала човечка населба помала од град, со население од неколку стотина жители
locative-role;['стратфорд на ејвон', 'stratford-upon-avon'];Град во Ворикшир, Англија
locative-role;['гробишта', 'некропола'];големи антички гробишта
locative-role;['голема низина'];големо рамничарско подрачје во САД и Канада
locative-role;['ерихон', 'јерихон'];Град во Палестина
locative-role;['бродоградилиште'];место за изградба и поправка на бродови
locative-role;['сарагоса', 'zaragoza', 'зарагоза'];Град во Арагон, Шпанија
locative-role;['партија'];Област во североисточен Иран
locative-role;['фригија'];древно кралство во Анадолија, денешна Турција
locative-role;['берза'];Организација што тргува со хартии од вредност
locative-role;['апалачија'];Област во САД
locative-role;['патагонија'];Историско-географска област на јужниот крај на Јужна Америка
locative-role;['конфедеративни американски држави', 'кад', 'конфедеративни држави'];Отцепничка држава од САД
locative-role;['ротердам', 'rotterdam'];Град во Холандија
locative-role;['ланџоу', 'ла́нџоу', 'lanzhou'];Главен град на покраината Гансу, Кина
locative-role;['болоња'];Покраина во Италија
locative-role;['големо војводство', 'големо кнежевство'];Вид држава под управа на голем војвода или голем кнез
locative-role;['азурен брег', 'француска ривиера', 'француската ривиера', 'french riviera'];Француска ривиера, средоземниот брег на Франција
locative-role;['мешхед'];Втор град по големина во Иран
locative-role;['карачи', 'karāchi'];Главен град на покраината Синд, Пакистан
locative-role;['ниски земји', 'историја на ниските земји', 'ниските земји'];Поголема историска област во северозападна Европа
locative-role;['средна америка', 'централна америка', 'цетрална америка'];географски регион во Америка
locative-role;['длабок југ', 'deep south', 'долен југ', 'памучни држави'];Област на југот на САД
locative-role;['западен крај', 'west country', 'вест кантри'];Област во југозападна Англија
locative-role;['пампа', 'pampa', 'пампас', 'пампаси', 'пампи'];Област во Аргентина
method;['парламентарен систем', 'парламентарна демократија'];форма на управување
non-agentive-physical-object;['ингот'];појаснителна страница
non-agentive-physical-object;['фес', 'fez'];Турска капа
non-agentive-physical-object;['шпорет', 'шпо́рет'];Шпорет
non-agentive-physical-object;['плашт', 'мантија', 'хералдичка мантија'];Елемент во хералдиката
non-agentive-physical-object;['одело', 'костум', 'ко́стум', 'оде́ло'];Вид облека
non-agentive-physical-object;['одело', 'костум', 'ко́стум', 'оде́ло'];Вид облека
non-agentive-physical-object;['петта авенија'];Авенија во Менхетн, Њујорк
non-agentive-physical-object;['еполета'];Обележје на воен чин
non-agentive-physical-object;['лилјан', 'крин', 'хералдичка лилија'];Симбол во хералдиката
non-agentive-physical-object;['филигран'];Појаснителна страница
non-agentive-physical-object;['тротоар', 'допат', 'пешачник', 'тротоа́р'];Пешачка патека долж една улица
non-agentive-physical-object;['заобиколница', 'обиколница', 'заобиколен пат'];Пат кој заобиколува некое место
non-physical-collection;['златно правило'];етичко начело во човековото поведение
non-physical-collection;['dance'];Tekstil
non-physical-collection;['романска архитектура', 'романеска'];Архитектонски стил во средновековна Европа
non-physical-collection;['многубоштво', 'многубо́штво', 'политеи́зам', 'политеизам'];Верување во повеќе од еден бог
non-physical-collection;['анабаптизам'];Христијанско движење и верувања што се појавиле како последица на реформите во Западното Христијанство
non-physical-collection;['материјализам', 'физикализам'];Филозофска теорија
non-physical-collection;['цезаропапизам', 'кајзеропапизам', 'царопапизам'];Општествен поредок
non-physical-collection;['стоицизам', 'стоик', 'стоици'];Филозофски правец
non-physical-collection;['схоластика'];доминантен метод на критичко размислување во академската педагогија низ средновековните Европски универзитети, околу 1100-1700 година
organized-collection;['жива слика'];Театарски жанр
parameter;['величински поредок', '1000000000000', 'величински ред', 'величински редови'];Скала на броеви со утврден сооднос
parameter;['копривница', 'уртијарија'];кожна болест
parameter;['километри на час', 'km/h', 'километар на час', 'километри/час', 'км/ч'];Единица за брзина
parameter;['херц', 'hz', 'хц', 'khz', 'mhz', 'терахерц', 'тхц', 'херци'];Единица за фреквенција по СИ
phenomenon;['потрошувачка'];Поим во економијата
phenomenon;['напрегање', 'напон'];Физичка величина
phenomenon;['размена', 'метатеза'];Хемиска реакција
phenomenon;['експоненцијален распад'];Веројатносна густина во честичната физика
phenomenon;['порој'];Ненадејно поплавување на ниски подрачја
phenomenon;['југо', 'широко'];ветар
phenomenon;['електрична енергија', 'elektricna struja', 'електричната енергија'];Elektricna energija
phenomenon;['феромегнетизам', 'феромагнет'];Физичка појава
phenomenon;['69'];природен број
phenomenon;['снег'];Врнежи во облик на снегулки од кристализиран воден талог
phenomenon;['електромагнетно зрачење', 'електромагнетен бран', 'електромагнетни бранови', 'електро-магнетна радијација', 'електро-магнетни зрачења', 'електро-магнетно зрачење', 'електромагнетна радијација'];Колебања во електричното и магнетното поле
phenomenon;['ултравиолетово зрачење', 'ув-зрачење', 'ув-светлина', 'ултравиолетова светлина', 'ултравиолетови зраци', 'ултравиолетово'];Електромагнетно зрачење со бранова должина пократка од онаа на видливата светлина, но подолга од онаа на рендгенските зраци
phenomenon;['потенцијална енергија'];Облик на енергија
phenomenon;['воздушен отпор', 'аеродинамички отпор', 'отпор на средината'];Повратна сила која дејствува врз тело што се движи во воздух или течност
phenomenon;['атмосферски притисок', 'атмосферскиот притисок', 'воздушен притисок', 'воздушниот притисок'];Атмосферски притисок
phenomenon;['дестилација'];метод на одделување на течни смеси
phenomenon;['електромоторна сила', 'емс'];Скаларна физичка величина
phenomenon;['гас', 'плин', 'гасна агрегатна состојба', 'гасови'];Една од состојбите на материјата
phenomenon;['сизигија'];Порамнување на три небесни тела
physical-body;['врвен кварк', 'вистинит кварк', 't-кварк', 'врвен антикварк'];Вид кварк
physical-body;['метеор'];Meteori
physical-body;['длабински кварк', 'убав кварк', 'b-кварк', 'длабински антикварк'];Вид кварк
physical-body;['чуден кварк', 'чуден антикварк'];Вид кварк
physical-body;['горен кварк', 'горен антикварк'];Вид кварк
physical-body;['лептон', 'lepton', 'лептони'];Класа елементарни честички
physical-body;['мион', 'антимион'];Елементарна честичка
physical-body;['електрон', 'e⁻', 'е⁻', 'електрони', 'електроните'];Податомска честичка со негативен полнеж
physical-body;['неутрино', 'антинеутрино', 'неутрно'];Елементарна честичка
physical-body;['месечина', 'месечината'];Природен сателит на Земјата
physical-body;['планетезимал'];Цврсто тело за кое се смета дека постои во протопланетарните и отпадните дискови
physical-body;['земја', 'планета земја', 'свет', 'сина планета', 'земјина топка'];Третата планета од сонцето во Сончевиот систем
physical-body;['капела', 'алфа кочијаш'];Ѕвезда во соѕвездието Кочијаш
physical-body;['ија', 'io', 'ио', 'јо'];Месечина на Јупитер
physical-body;['церера', '1 церера'];Џуџеста планета
physical-body;['проксима кентаур', 'próxima centauri', 'проксима кентаури'];Ѕвезда во соѕвездието Кентаур
physical-endurant;['ентитет', 'сушност'];Нешто што постои
physical-object;['могила', 'тумул'];големо насипување од земја или камен над гробови
physical-object;['автомобил', 'кола', 'автомоби́л'];Моторно возило за патен превоз на патници
physical-object;['45'];природен број
physical-object;['мотоцикл', 'мотор', 'мо́тор', 'мотоци́кл', 'моторцикл', 'мотоциклист'];Моторно возило со две или три тркала
physical-object;['перо'];Предмет што се удира во бадминтонот
physical-object;['пловечка куќа', 'домоброд'];вид пловило
physical-object;['планински велосипед', 'ридски велосипед'];Вид велосипед
physical-object;['траект', 'ферибот'];Вид пловило
physical-object;['водородна бомба', 'хидроге́нска бо́мба', 'термонуклеарна бомба', 'хидрогенска бомба'];вид нуклеарна бомба
physical-object;['струг'];рачна дрводелска алатка
physical-object;['nasdaq'];Американска берза
physical-object;['ножици', 'ножица'];рачно орудие за сечење
physical-object;['фес', 'fez'];Турска капа
physical-object;['топовска кола', 'лафет'];сталка за топ
physical-object;['замаец'];Вртежна направа
physical-object;['борбено летало', 'ловец', 'ловечко-бомбардерски авион', 'борбен авион', 'јуришен авион'];Вид воен авион
physical-object;['шпорет', 'шпо́рет'];Шпорет
physical-object;['носач на авиони', 'носач на авио́ни'];Воен брод
physical-object;['јаз', 'каскадна брана'];Препрека преку река предвидена да го измени нејзиното течение
physical-object;['громобран'];Уред за заштита од громови
physical-object;['пилана'];Постројка за сечење трупци за дрвена граѓа
physical-object;['славолак', 'триумфална порта', 'триумфална арка', 'триумфална капија'];Вид споменик во облик на лак
physical-object;['патнички крстосувач', 'крузер'];Туристички патнички брод
physical-object;['тоалетна вода', 'eau de toilette'];Мирислив освежувач за кожа
physical-object;['креда'];Вид мека карпа
physical-object;['ладилник'];Дел во електрониката
physical-object;['студентски дом'];Место каде за време на своето студирање престојуваат студентите
physical-object;['куфер', 'ко́фер', 'ку́фер'];Вид на багаж
physical-object;['удирачница'];Градба од која се вежбаат удари во голфот
physical-object;['компактен диск', 'ко́мпакт-ди́ск', 'це-де', 'cd', 'компакт-диск', 'компакт диск', 'цд'];Оптички носач на податоци
physical-object;['плашт', 'мантија', 'хералдичка мантија'];Елемент во хералдиката
physical-object;['одело', 'костум', 'ко́стум', 'оде́ло'];Вид облека
physical-object;['линиски брод', 'мановар'];вид воен брод со едра
physical-object;['автодром'];Реквизит во забавен парк
physical-object;['занимливост'];Предмет кој нема практична намена, туку се продава поради неговата единственост, смешност или едноставно како нешто ново или необично
physical-object;['дискета', 'флопи-диск', 'флопи диск'];Носач на податоци
physical-object;['плектрум', 'перце', 'тргалка', 'трзалица'];Помагало за свирење на тргачки жичен инструмент
physical-object;['сиднејски заливски мост', 'сиднејски пристанишен мост', 'sydney harbour bridge'];Мост преку Сиднејскиот Залив во Сиднеј, Австралија и знаменитост на градот
physical-object;['воздушен брод', 'дирижа́бл', 'дирижабл', 'цепелин'];Вид летоло полесно од воздухот
physical-object;['рапир', 'рапи́р'];Вид тенок меч
physical-object;['пијано', 'клавир', 'пијанофорте'];Музички инструмент
physical-object;['сот'];Тридимензионално поплочување во математиката
physical-object;['кула', 'tower', 'кули'];Градба со поголема височина од широчина
physical-object;['ашов'];Земјоделско-градинарска алатка
physical-object;['одело', 'костум', 'ко́стум', 'оде́ло'];Вид облека
physical-object;['шилеста кула', 'шилец', 'шилест покрив'];стеснета зашилена градба врз покрив или кула
physical-object;['парфем', 'мирис', 'parfem', 'парфимерија'];Мешавина што оддава пријатен мирис
physical-object;['саат-кула'];Кула со часовник
physical-object;['принстонски универзитет'];Универзитет во Принстон, Њу Џерси, САД
physical-object;['соковник'];направа за цедење сок од овошје и зеленчук
physical-object;['мегалит'];структура изградена од огромни камени блокови и плочи кои се потпрени еден на друг
physical-object;['облакодер', 'висококатница'];Висока зграда
physical-object;['лак', 'лак и стрела'];Оружје
physical-object;['мост', 'железнички мост'];Градба изградена за да премости физички препреки
physical-object;['пагода', 'pagodă'];степенеста кула во азиските земји
physical-object;['млат', 'вршилка', 'чу́кало', 'чукало'];Земјоделско орудие
physical-object;['гума за бришење', 'гумичка за бришење', 'гума'];Предмет за отстранување на напишано на хартија
physical-object;['карван-сарај'];вид на престојувалиште
physical-object;['обртомер', 'вртомер', 'тахометар'];Уред кој мери вртежна честота
physical-object;['ветроказ'];Метеролошка направа за ветер
physical-object;['балон', 'летечки балон'];Направа за летање во облик на балон со дотур на топол воздух
physical-object;['скијачка жичница', 'ски-лифт', 'скижичница', 'скилифт', 'скијачка дигалка'];Уред што качува скијачи по падина
physical-object;['топломер', 'термометар', 'термоме́тар', 'топломе́р', 'термометри', 'топломери'];Направа за мерење на температура
physical-object;['црква', 'христијански храм', 'цркви'];Градби наменета за верски потреби
physical-object;['хостел'];евтино сместување
physical-object;['чембало', 'клавичембало'];Стар клавијатурен инструмент
physical-object;['електрометар'];појаснителна страница
physical-object;['карбуратор'];Горивен систем на еден мотор
physical-object;['асуанска брана'];Брана на реката Нил во Асуан, Египет
physical-object;['студиски албум', 'музички албум', 'албум', 'музички плочи'];Збирка музички нумери
physical-object;['оргули', 'оргула', 'органа'];дувачки инструмент што произведува звук со спроведување на воздух под притисок низ цевки
physical-object;['оргули', 'оргула', 'органа'];Клавијатурен музички инструмент
physical-object;['прирабница'];појаснителна страница
physical-object;['багаж', 'патни торби', 'бага́ж', 'па́тни то́рби'];Куфери или торби за складирање на предметиите на патникот
