abstract-region;['ຕຳລາຂັ້ນສອງ'];ຕຳລາຂັ້ນສອງ ແມ່ນ ຕຳລາພະຫຸພົດ ທີ່ມີຮູບຮ່າbhgnnhbb f = a x 2 + b x + c {\displaystyle f=ax^{2}+bx+c\,\!}, where a ≠ 0 {\displaystyle a\neq 0\,\!}.
agentive-physical-object;['ດູ່'];ດູ່ ຫຼືໄມ້ດູ່ (Pterocarpus indicus) ແມ່ນໄມ້ຍືນຕົ້ນ ມີຊື່ພື້ນເມືອງອື່ນໆ ຄື ດູ່ປ່າ(ເໜືອ), ອະນອງ, ດູ່
agentive-physical-object;['ໝາກຫຸ່ງ'];ໝາກຫຸ່ງ (ຊື່ທາງວິທະຍາສາດ: Carica papaya) ເປັນໄມ້ຜົນຊະນິດໜຶ່ງ.
agentive-physical-object;['ນົກແກ້ວ', 'ແກ້ວ'];ນົກແກ້ວ ເປັນນົກຊະນິດນຶ່ງ ຈັດຢູ່ໃນຊັ້ນສັດປີກ.
agentive-physical-object;['ສັດປີກ', 'ນົກ', 'aves', 'bird'];ສັດປີກ ຫຼື ນົກ (ລວມເຖິງ ໄກ່, ເປັດ, ຫ່ານ, ໄກ່ຟ້າ, ຫົງ) ຈັດຢູ່ໃນຟີລຳສັດມີແກນສັນຫຼັງ ຊັ້ນ Aves (ລາແຕັງ: aves ໝາຍເຖິງ ນົກ) ໂດຍມີລັກສະນະທົ່ວໄປແມ່ນ ເປັນສັດທະວິບາດ ເລືອດອຸ່ນ ອອກລູກເປັນໄຂ່ ລະຍາງຄູ່ໜ້າປ່ຽນແປງໄປເປັນປີກ ມີຂົນນົກ ແລະມີດູກເຊິ່ງເບົາ.
agentive-physical-object;['ຫ່ານ'];ຫ່ານ (ອັງກິດ: Goose, Gander) ຈັດຢູ່ໃນຟີລຳສັດມີແກນສັນຫຼັງ ຊັ້ນສັດປີກ ແມ່ນສັດທີ່ມະນຸດນິຍົມນຳມາລ້ຽງເພື່ອເຝົ້າບ້ານເຮືອນ ຫຼືກຳຈັດຫຍ້າປ່າໃນສວນ ແລະນຳມາລ້ຽງເພື່ອບໍລິໂພກເປັນອາຫານ.
agentive-physical-object;['ຕົ້ນໂຣສ ເມຣີ', 'rosmarinus officinalis'];ເປັນສະມຸນໄພປະເພດນື່ງເຊິ່ງມີກິ່ນແຮງເປັນພິເສດມີໃບແຫລມຂຽວຄ້າຍຄືເຂັມ ມີດອກສີມວ່ງ ຂາວ ແລະສີບົວ ມີຕົ້ນກຳເນີດໃນເຂດທະເລ Mediterranean ຖືກຈັດໃນຄອບຄົວຂອງ mint.
agentive-physical-object;['ອູດແກະໃຫຍ່', 'lama glama', 'llama'];ອູດແກະໃຫຍ່ ຫຼື ລາມາ (ຝະລັ່ງ: Lama) ເປັນສັດລ້ຽງລູກດ້ວຍນ້ຳນົມໃນຕະກູນອູດ (camelid) ມີຖິ່ນກຳເໜີດໃນທະວີບອາເມລິກາໃຕ້.
amount-of-matter;['ກາເຟ'];ກາເຟ (ອັງກິດ: coffee, ຝະລັ່ງ: café) ແມ່ນເຄື່ອງດື່ມທີ່ເຮັດແຕ່ມະເລັດ ເຊິ່ງໄດ້ແຕ່ຕົ້ນກາເຟ ຫຼືນິຍົມເອີ້ນວ່າ ເມັດກາເຟ ຂົ້ວ.
amount-of-matter;['ອົກຊີແຊນ', 'o'];ອົກຊີແຊນ(ພາສາອັງກິດ:oxygen)ເປັນອົງປະກອບໃນຕາຕະລາງທາດເຄມີໄລຍະເວລາທີ່ມີ O ສັນຍາລັກແລະຈໍານວນປະລໍາມະນູ 8 ອົງປະກອບນີ້ແມ່ນໄດ້ພົບເຫັນທັງໃນໂລກນີ້ແລະຕະຫລອດຈັກກະວານ.
amount-of-matter;['dna', 'ອາເດແອັນ'];ກົດເດຊົກຊີລີໂບນູກະເລອິກ (ຝະລັ່ງ: Acide désoxyribonucléique, ADN) ຫຼື ດີເອັນເອ (ອັງກິດ: Deoxyribonucleic acid - DNA) ເປັນກົດນູກະເລຍອີກອັນນຶ່ງເຊິ່ງປະກອບດ້ວຍສິ່ງທີ່ເປັນແມ່ແບບທາງດ້ານກຳມະພັນທີ່ໃຊ້ເຂົ້າໃນການພັດທະນາ ແລະ ການເຮັດໜ້າທີ່ຕ່າງໆ ຂອງສິ່ງມີຊີວິດ ແມ້ນກະທັ້ງເຊື້ອວີລຸດ ໂດຍໜ້າທີ່ຫຼັກຂອງ ADN ແມ່ນເຮັດການເກັບຮັກສາຂໍ້ມູນຕ່າງໆກ່ຽວກັບກຳມະພັນ.
amount-of-matter;['ອາລູມິນຽມ', 'al'];ອາລູມີນຽມ ແມ່ນທາດໂລຫະຊະນິດໜຶ່ງ, ສັນຍາລັກດ້ວຍ Al ແລະ ມີມວນສານອາໂຕມເທົ່າກັບ 13.
amount-of-matter;['ນ້ຳຕານໝາກໄມ້'];ນ້ຳຕານໝາກໄມ້ (ອັງກິດ: fruit sugar, fructose) ແມ່ນນ້ຳຕານພື້ນຖານຈຳພວກນ້ຳຕານດ່ຽວ ພົບໃນອາຫານຫຼາຍຫຼວງແລະແມ່ນນຶ່ງໃນສາມຂອງນ້ຳຕານໃນເລືອດທີ່ມີຄວາມສຳຄັນຫຼາຍທີ່ສຸດ.
amount-of-matter;['ນ້ຳມັນ', 'oil'];ນ້ຳມັນ (ອັງກິດ: oil, ຝະລັ່ງ: huile) ແມ່ນຄຳສາມັນທີ່ໃຊ້ເອີ້ນສານປະກອບອອກການິກຂອງເຫຼວເຊິ່ງປະສົມເຂົ້າກັນບໍ່ໄດ້ (immiscible) ກັບນ້ຳ.
amount-of-matter;['ທອງຄຳ'];ທອງຄຳ ນ.
amount-of-matter;['ນໍ້າມັນເຊື້ອໄຟ', 'ນ້ຳມັນແອັດຊັງ'];ນໍ້າມັນເຊື້ອໄຟ ຫຼື ແອັດຊັງ ແມ່ນສານທີ່ກັນຕອງມາຈາກນໍ້າມັນດິບ ແລະ ປະສົມກັບທາດຊ່ວຍເຜົາໃຫມ້, ໃຊ້ເປັນພະລັງງານໃຫ້ແກ່ເຄື່ອງຈັກ.
amount-of-matter;['ນົມ', 'ນ້ຳນົມ'];ນົມ ຫຼື ນ້ຳນົມ (ອັງກິດ: milk, ຝະລັ່ງ: lait) ໝາຍເຖິງຂອງເຫຼວສີຂາວທີ່ປະກອບດ້ວຍສານອາຫານທີ່ອອກມາຈາກເຕົ້ານົມຂອງສັດລ້ຽງລູກດ້ວຍນົມ.
amount-of-matter;['ໂກແລສະເຕໂລນ', 'cholesterol'];ໂກແລສະເຕໂລນ (ອັງກິດ: cholesterol, ຝະລັ່ງ: cholestérol) ແມ່ນທັງສານ ສະເຕໂລອິດ (stéroïde) ລີປິດ (lipide) ແລະ ອານໂກໂອນ (alcool) ພໍ້ໃນ ເຍື່ອຫຸ້ມແຊນລູນຂອງທຸກເນື້ອເຍື້ອໃນຮ່າງກາຍແລະຖືກຂົນສົ່ງໃນກະແສເລືອດຂອງສັດ.
amount-of-matter;['ກະລູຊິດ', 'carbohydrate', 'ຄາໂບໄຮເດດ'];ກະລູຊິດ (ຝະລັ່ງ: glucide, ອັງກິດ: carbohydrate) ຫຼື ແມ່ນສານຊີວະໂມເລກູນທີ່ສຳຄັນທີ່ເປັນອົງປະກອບຂອງສິ່ງມີຊີວິດທຸກຊະນິດ.
amount-of-matter;['ເຄື່ອງດື່ມ'];ເຄື່ອງດື່ມ (ອັງກິດ: drink, ຝະລັ່ງ: boisson) ມັກຈະເປັນສິ່ງທີ່ມະນຸດຈັດກຽມສຳລັບດື່ມ ມີສະຖານະເປັນຂອງເຫຼວ ແລະມັກຈະມີນ້ຳເປັນສ່ວນປະກອບຫຼັກ.
amount-of-matter;['ປະໂລເຕອິນ', 'protein'];ປະໂລເຕອິນ (ອັງກິດ: protein, ຝະລັ່ງ: protéine) ແມ່ນສານປະກອບຊີວະເຄມີ ເຊິ່ງປະກອບດ້ວຍໂປລີແປບຕິດນຶ່ງສາຍຫຼືຫຼາຍກວ່າ ທີ່ພັບກັນເປັນຮູບຊົງກົມຫຼືເສັ້ນໃຍ ໂດຍເຮັດໜ້າທີ່ອຳນວຍຂະບວນການທາງຊີວະວິທຍາ.
amount-of-matter;['ອາຍແກັສແຫຼວ', 'ອາຍເກັສນໍ້າມັນແຫຼວ', 'ອາຍເກັສແຫຼວ'];ອາຍແກັສແຫຼວ (ພາສາອັງກິດ: Liquefied petroleum gas ຫຼື LPG) ແມ່ນ ເຊື້ອເພີງທາດອາຍທີ່ຢູ່ໃນສະພາວະທາດແຫຼວ ໃນ ອຸນະພູມປົກກະຕິ ຍ້ອນການເພີ່ມຄວາມກົດດັນໃສ່ ທາດອາຍ ເຊັ່ນ ອາຍບູຕັນ, ອາຍໂປຣປານ.
amount-of-matter;['ນົມ', 'ນ້ຳນົມ'];ນົມ ຫຼື ນ້ຳນົມ (ອັງກິດ: milk, ຝະລັ່ງ: lait) ໝາຍເຖິງຂອງເຫຼວສີຂາວທີ່ປະກອບດ້ວຍສານອາຫານທີ່ອອກມາຈາກເຕົ້ານົມຂອງສັດລ້ຽງລູກດ້ວຍນົມ.
amount-of-matter;['ກາເຟອຽກລັງ', 'irish coffee'];ກາເຟອຽກລັງ (ອຽກລັງ: Caife Gaelach) ແມ່ນເຄື່ອງດື່ມຊະນິດນຶ່ງ ເຊິ່ງມີການນຳກາເຟຮ້ອນມາປະສົມກັບວິສະກີ້ອຽກລັງແລະນ້ຳຕານ ປະສົມແລ້ວກໍມາໃສ່ແກັມ.
amount-of-matter;['ນ້ຳດື່ມ'];ນ້ຳດື່ມ (ອັງກິດ: drinking water ຫຼື potable water, ຝະລັ່ງ: eau potable) ຫຼື ນ້ຳສະອາດ ແມ່ນນ້ຳທີ່ປອດໄພສຳລັບການດື່ມໂດຍມະນຸດ ຫຼື ຢູ່ໃນລະດັບອັນຕະລາຍຕ່ຳໃນການດື່ມ.
biological-object;['ໝາກປົ່ມ'];ໝາກປົ່ມ ຫຼື ໝາກແອບເປິ້ນ ໝາກຜິງ ແມ່ນໝາກໄມ້ໃນຕະກູນ Rosaceae.
biological-object;['ຕັບ'];ຕັບ (ອັງກິດ: liver) ແມ່ນອະໄວຍວະສຳຄັນທີ່ພົບໃນສັດມີກະດູກສັນຫຼັງແລະສັດລາງຊະນິດ ໃນຮ່າງກາຍມະນຸດ ຢູ່ໃນຊ່ອງທ້ອງເບື້ອງຂວາທາງເທິງກ້ອງກຳບັງລົມ ມີໜ້າທີ່ຫຼາຍຢ່າງລວມທັງການກຳຈັດພິດຮ້າຍໃນເມແທບໍໄລ (ອັງກິດ: metabolites) (ສານທີ່ໄດ້ຈາກຂະບວນການເມແທບໍລິຊຶມ) ການສັງເຄາະປະໂລເຕອິນ ແລະການຜະລິດສານຊີວະເຄມີຕ່າງ ໆ ທີ່ຈຳເປັນໃນຂະບວນການຍ່ອຍອາຫານ.
biological-object;['ໜ້າ'];ປ່າໄມ້ແຂວງຈຳປ່າສັກ ມີຄວາມອຸດົມສົມບູນ
biological-object;['ດັງ'];ດັງ (ອັງກິດ: nose, ຝະລັ່ງ: nez) ແມ່ນສ່ວນທີ່ຍື່ນອອກມາຈາກກົງກຶ່ງກາງຂອງໃບໜ້າ.
biological-object;['ໝາກໄມ້'];ໝາກໄມ້ ແມ່ນສິ່ງທີ່ເກີດຈາກການຂະຫຍາຍພັນໂດຍອາໄສເພດຂອງພືດບາງຊະນິດ ເຊິ່ງຜູ້ຄົນສາມາດກິນໄດ້ ແລະສ່ວນຫຼາຍຈະບໍ່ເຮັດເປັນຂອງກິນທີ່ມີກິ່ນແຮງ.​ ໂຕຢ່າງໝາກໄມ້ ຄື ໝາກກ້ຽງ, ໝາກກ້ວຍ, ໝາກມ່ວງ, ໝາກນັດ, ແລະ ໝາກແງວ ເປັນຕົ້ນ.
chemical-object;['ປະໂລເຕອິນ', 'protein'];ປະໂລເຕອິນ (ອັງກິດ: protein, ຝະລັ່ງ: protéine) ແມ່ນສານປະກອບຊີວະເຄມີ ເຊິ່ງປະກອບດ້ວຍໂປລີແປບຕິດນຶ່ງສາຍຫຼືຫຼາຍກວ່າ ທີ່ພັບກັນເປັນຮູບຊົງກົມຫຼືເສັ້ນໃຍ ໂດຍເຮັດໜ້າທີ່ອຳນວຍຂະບວນການທາງຊີວະວິທຍາ.
classification-system;['ສຸລິຍະຄະຕິ'];ສຸລິຍະຄະຕິ ແມ່ນປະຕິທິນອັນກ່ຽວກັບລະດູການແລະເດຄິເນຊັ້ນຂອງດວງອາທິດ ປະຕິທິນໃນແນວນີ້ມີດັ່ງນີ້ ປະຕິທິນເກກໍລ້ຽນ ປະຕິທິນຈູລ້ຽນ ປະຕິທິນຄັອບ ປະຕິທິນຈະລາລີ ປະຕິທິນສຸລິຍະຄະຕິໄທປະຕິທິນເຫຼົ່ານີ້ແມ່ນມີ 365 ມຶ້.
classification-system;['ປະຕິທິນ', 'ປະຕິທີນ'];b|ປະຕິທິນບູຮານຂອງຊາວຮິນດູ]] ປະຕິທິນ ແມ່ນລະບົບທີ່ໃຊ້ໃນການຮຽກຊື່ຊ່ວງໄລຍະເວລາ ເຊັ່ນ ມື້ ເປັນຕົ້ນ ມື້ແມ່ນທີ່ຮູ້ຈັກໃນຖານະ ມື້ປະຕິທິນ ມື້ຈະຂຶ້ນຢູ່ກັບການເຄື່ອນທີ່ວັດຖູທາງດາຣາສາດ ເຮົາສາມາດສະແດງປະຕິທິນໄດ້ຫຼາຍຮູບແບບ ສ່ວນຫຼາຍແມ່ນກະດາດ ເຊັ່ນ ແບບສີກ ແບບແຂວນ ແບບຕັ້ງຕາຕະລາງ ເປັນຕົ້ນ == ປະຕິທິນໄທ == ໃນອະດີດ ປະເທດໄທໃຊ້ ປະຕິທິນຈັນທະລະຄະຕິ ຕັ້ງແຕ່ສະໝັຍອານາຈັກສຸໂຂທັຍ ໂດຍນັບຕາມປີມຫາສັກກະລາດແລະ ຈຸນລະສັກກະລາດ ຕາມລຳດັບ ຈົນຮອດສະໝັຍ ພະບາດສົມເດັດພະຈອມເກົ້າເຈົ້າຢູ່ຫົວ ໄດ້ໂປດເກົ້າໂປດກະໝ່ອມ ປ່ຽນຈາກປະຕິທິນຈັນທະລະຄະຕິ ມາໃຊ້ ປະຕິທິນສຸລິຍະຄະຕິ ໃນປີຈຸນລະສັກກະລາດ 1240 ເຊິ່ງແມ່ນປີ ພ.ສ.
cognitive-event;['ນະໂຍບາຍການເງິນ'];ນະໂຍບາຍການເງິນ ແມ່ນ ຄຳສັບດ້ານ ເສດຖະກິດ ທີ່ ໝາຍເຖິງ ການທີ່ ລັດຖະບານ ອອກບັນດານະໂຍບາຍ ເພື່ອກຳນົດ ລະດັບ ການໃຊ້ຈ່າຍຂອງລັດຖະບານ ແລະ ແຫຼ່ງທຶນ ເພື່ອການໃຊ້ຈ່າຍນັ້ນໆ.
cognitive-event;['ອາລົມ'];ໃນທາງຈິດວິທະຍາ ປັດຊະຍາ ແລະສາຂາຍ່ອຍອື່ນ ໆ ອາລົມ (ອັງກິດ: emotion, ຝະລັ່ງ: émotion) ໝາຍເຖິງປະສົບການໃນຄວາມຮູ້ສຳນຶກແລະອັດຕະວິໄສທີ່ຖືກກຳໜົດລັກສະນະສະເພາະໂດຍການສະແດງອອກທາງຈິດສະລີລະວິທະຍາ ປະຕິກິລິຍາທາງຊີວະວິທະຍາ ແລະສະພາບຈິດໃຈ.
cognitive-event;['ຈິນຕະນາການ'];ຈິນຕະນາການ ແມ່ນຄວາມສາມາດໃນການສ້າງພາບໃນສະໝອງ ເຊິ່ງພາບເຫຼົ່ານີ້ບໍ່ໄດ້ຮັບຮູ້ກາຍການເບິ່ງເຫັນ ການໄດ້ຍິນ ຫຼືກາຍວິທີການຮັບຮູ້ອື່ນ ໆ.
cognitive-event;['ແຟຊັ້ນ', 'ແຟຊັ່ນ'];ແຟຊັ້ນ (ອັງກິດ: fashion, ຝະລັ່ງ: mode) ແມ່ນຄຳທີ່ແປວ່າ "ສະໄໝນິຍົມຫຼືວິທີການທີ່ນິຍົມກັນທົ່ວໄປຊົ່ວໄລຍະເວລານຶ່ງ".
cognitive-event;['ຄວາມຄຶດ', 'ຄວາມຄິດ'];ໂດຍທົ່ວໄປ ຄວາມຄຶດ (ອັງກິດ: thought, ຝະລັ່ງ: pensée) ໝາຍເຖິງ ກິຈະກຳທາງຈິດໃຈຫຼືທາງປັນຍາທີ່ກ່ຽວຂ້ອງກັບຈິດສຳນຶກສະເພາະຄົນ.
cognitive-event;['ຜົນຕຳລາ'];ໃນ ຄະນິດສາດ ຜົນຕຳລາ ແມ່ນ ຕຳລາ ທີ່ ສະແດງເຖິງ ການປ່ຽນແປງ ຂອງ ຕຳລາໃດໜຶ່ງ ເມື່ອ ໂຕປ່ຽນ ມີການປ່ຽນແປງ ໜ້ອຍທີ່ສຸດ ຫຼື ເກືອບເທົ່າສູນ.
cognitive-modal-description;['ສັງຄົມນິຍົມ'];ສັງຄົມນິຍົມ ແມ່ນລະບົບສັງຄົມແລະເສດຖະກິດ ເຊິ່ງສັງຄົມເປັນເຈົ້າຂອງປັດໄຈການຜະລິດແລະການຈັດການເສດຖະກິດແບບຮ່ວມມື ຕະຫຼອດຈົນທິສະດີແລະຂະບວນການທາງການເມືອງເຊິ່ງມຸ່ງສະຖາປະນາລະບົບດັ່ງກ່າວ "ສັງຄົມເປັນເຈົ້າຂອງ" ອາດໝາຍເຖິງ ການປະກອບການສະຫະກອນ ການເປັນເຈົ້າຂອງຮ່ວມ ລັດເປັນເຈົ້າຂອງ ພົນລະເມືອງເປັນເຈົ້າຂອງຄວາມສະເໝີພາບ ພົນລະເມືອງເປັນເຈົ້າຂອງກຳມະສິດ ຫຼືທີ່ກ່າວມາລວມກັນ.
cognitive-modal-description;['ອະເທວະນິຍົມ', 'ການປະຕິເສດພະເຈົ້າ'];ອະເທວະນິຍົມ (ຄຳເຄົ້າ: ອເທວນິຍົມ, ອັງກິດ: atheism, ຝະລັ່ງ: athéisme) ແມ່ນການປະຕິເສດຫຼືບໍ່ເຊື່ອໃນການດຳລົງຢູ່ຂອງພະເຈົ້າ ຫຼືສິ່ງເໜືອທຳມະຊາດ (supernatural beings) ແລະເຊື່ອໃນກົດທຳມະຊາດ ເຊິ່ງກົງກັນຂ້າມກັບເທວະນິຍົມ (theism).
commerce-role;['ສິນຄ້າ'];ໃນ ເສດຖະສາດ ສິນຄ້າ ແມ່ນ ສິ່ງທີ່ເພີ່ມ ຄວາມເພິ່ງພໍໃຈ.
commerce-role;['ສິນຄ້າ', 'ຜລິດຕະພັນ'];ໃຫ້ການບໍລິການດ້ານການເງິນ
course;['ຂັ້ນຕອນວິທີ'];ຂັ້ນຕອນວິທີແມ່ນວິທີແກ້ໄຂບັນຫາເລກເປັນຂັ້ນໆຢູ່ຄະນິດສາດ,ການໃຊ້ຄອມພິວເຕີ,ແລະອື່ນໆ.
dependent-place;['ມຸມສາກ'];ໃນ ເລຂາຄະນິດ ແລະ ໄຕມຸມ, ມຸມສາກ ແມ່ນ ມຸມ 90 ອົງສາ, ຫຼື ໜຶ່ງສ່ວນສີ່ຂອງຮູບວົງມົນ.
ecological-collective;['ປ່າໄມ້'];ປ່າໄມ້ ແມ່ນຊັບພະຍາກອນທີ່ມີຄຸນຄ່າເຊິ່ງຢູ່ໃນບໍລິເວນທີ່ມີຄວາມຊຸ່ມແລະປົກຄຸມດ້ວຍໃບໄມ້ສີຂຽວ ມີອິດທິພົນຕໍ່ສິ່ງແວດລ້ອມເຊັ່ນ ການປ່ຽນແປງຂອງດິນຟ້າອາກາດ ມີສັດປ່າແລະສິ່ງມີຊີວິດຕ່າງໆອາໃສຢູ່ໂດຍມີການພົວພັນຊຶ່ງກັນແລະກັນ.
event;['ກິລາໂອແລມປິກ', 'ກີລາແຫລມທອງ'];ກິລາໂອແລມປິກ
functional-matter;['ແປ້ງມ້ວນເມັກຊິກ', 'burrito'];ແປ້ງມ້ວນເມັກຊິກ ຫຼື ບູຣີໂຕ (ແອສະປາໂຍນ: burrito) ຫຼື ຕາໂກເດອາຣີນາ (taco de harina) ແມ່ນອາຫານແບບເມັກຊິກ ປະກອບດ້ວຍແປ້ງເຂົ້າບະເລຜະສົມແປ້ງສາລີຫຍາບ ເຮັດເປັນແຜ່ນແລ້ວຫໍ່ເປັນຮູບແທ່ງກົມ ໂດຍມີໄສ້ໃນ ແຕກຕ່າງຈາກຕາໂກ ເຊິ່ງເປັນແຜ່ນແປ້ງສາລີອົບແຫ້ງແຂງຫໍ່ພຽງເຄິ່ງດຽວ ເປີດໃຫ້ເຫັນໄສ້.
functional-matter;['ກາເຟ'];ກາເຟ (ອັງກິດ: coffee, ຝະລັ່ງ: café) ແມ່ນເຄື່ອງດື່ມທີ່ເຮັດແຕ່ມະເລັດ ເຊິ່ງໄດ້ແຕ່ຕົ້ນກາເຟ ຫຼືນິຍົມເອີ້ນວ່າ ເມັດກາເຟ ຂົ້ວ.
functional-matter;['ນ້ຳເຕົ້າຮູ້', 'ນົມຖົ່ວເຫຼືອງ'];ນ້ຳເຕ້າຮູ້ (ອັງກິດ: soy milk, ຝະລັ່ງ: lait de soja) ຫຼື ນົມຖົ່ວເຫຼືອງ ເປັນເຄື່ອງດື່ມຊະນິດນຶ່ງ ເຊິ່ງຜະລິດຈາກການບົດຖົ່ວເຫຼືອງແລະນຳໄປຕົ້ມກອງຈົນເຈືອຈາງລົງ.
functional-matter;['ຟົວກາ', 'foie gras'];ຟົວກາ (ຝະລັ່ງ: foie gras, [fwɑ gʁɑ] ແປວ່າ "ຕັບທີ່ມີໄຂມັນສູງ") ແມ່ນຕັບຫ່ານຫຼືເປັດທີ່ຂຸນໃຫ້ຕຸ້ຍເປັນພິເສດ.
functional-matter;['ເນີຍແຂງ', 'ເບີແຂງ'];ເນີຍແຂງ (ອັງກິດ: cheese, ຝະລັ່ງ: fromage) ຫຼື ຟະໂລມາດ ແມ່ນ ຜະລິຕະພັນຈາກນົມເຊິ່ງສາມາດຜະລິດໄດ້ຈາກນົມງົວຫຼືແບ້ ເປັນຕົ້ນ ທີ່ຜ່ານກະບວນການຄັດແຍກປະໂລເຕອີນ ແລ້ວນຳໂປຕີນຂອງນົມມາເຮັດການປະສົມເຊື້ອຮາ ຫຼືແບກທີເລຍ ຫຼືສານອື່ນໆ ແຕກຕ່າງກັນໄປຕາມແຕ່ລະປະເພດຂອງເນີຍແຂງ ເຊິ່ງແຕກຕ່າງຈາກເນີຍທີ່ເຮັດມາຈາກໄຂມັນຂອງນົມ.
functional-matter;['ນໍ້າມັນເຊື້ອໄຟ', 'ນ້ຳມັນແອັດຊັງ'];ນໍ້າມັນເຊື້ອໄຟ ຫຼື ແອັດຊັງ ແມ່ນສານທີ່ກັນຕອງມາຈາກນໍ້າມັນດິບ ແລະ ປະສົມກັບທາດຊ່ວຍເຜົາໃຫມ້, ໃຊ້ເປັນພະລັງງານໃຫ້ແກ່ເຄື່ອງຈັກ.
functional-matter;['ນົມ', 'ນ້ຳນົມ'];ນົມ ຫຼື ນ້ຳນົມ (ອັງກິດ: milk, ຝະລັ່ງ: lait) ໝາຍເຖິງຂອງເຫຼວສີຂາວທີ່ປະກອບດ້ວຍສານອາຫານທີ່ອອກມາຈາກເຕົ້ານົມຂອງສັດລ້ຽງລູກດ້ວຍນົມ.
functional-matter;['ເນີຍ'];ເນີຍ ຫຼື ເບີ (ຝະລັ່ງ: beurre, ອັງກິດ: butter) ແມ່ນຜະລິຕະພັນທີ່ເຮັດມາຈາກໄຂມັນຂອງນົມ.
functional-matter;['ຮອກມົນ', 'hormone'];ຮອກມົນ (ຝະລັ່ງ: hormone ມາຈາກພາສາກະເລັກ horman ແປວ່າ ເຄື່ອນໄຫວ) ແມ່ນ ໂຕນຳສົ່ງສານເຄມີຈາກແຊນລູນກູ່ມຂອງແຊນລູນນຶ່ງໄປຍັງແຊນລູນອື່ນໆ ສິ່ງມີຊີວິດຫຼາຍແຊນລູນ (organisme multicellulaire).
functional-matter;['ເຄື່ອງດື່ມ'];ເຄື່ອງດື່ມ (ອັງກິດ: drink, ຝະລັ່ງ: boisson) ມັກຈະເປັນສິ່ງທີ່ມະນຸດຈັດກຽມສຳລັບດື່ມ ມີສະຖານະເປັນຂອງເຫຼວ ແລະມັກຈະມີນ້ຳເປັນສ່ວນປະກອບຫຼັກ.
functional-matter;['ວິຕາມິນ', 'ຢາມີແຮງ', 'vitamin'];ວິຕາມິນ (ອັງກິດ: vitamin, ຝະລັ່ງ: vitamine) ແມ່ນສານອອກການິກທີ່ສິ່ງມີຊີວິດຈຳເປັນຕ້ອງໄດ້ຮັບໃນປໍລິມານເລັກນ້ອຍ ສຳລັບການເຕີບໂຕ ຂະຫຍາຍພັນ ແລະຊ່ອຍໃຫ້ມີສຸຂະພາບດີ.
functional-matter;['ວິຕາມິນ', 'ຢາມີແຮງ', 'vitamin'];ວິຕາມິນ (ອັງກິດ: vitamin, ຝະລັ່ງ: vitamine) ແມ່ນສານອອກການິກທີ່ສິ່ງມີຊີວິດຈຳເປັນຕ້ອງໄດ້ຮັບໃນປໍລິມານເລັກນ້ອຍ ສຳລັບການເຕີບໂຕ ຂະຫຍາຍພັນ ແລະຊ່ອຍໃຫ້ມີສຸຂະພາບດີ.
functional-matter;['ເນີຍແຂງຟ້າແກ່'];ເນີຍແຂງຟ້າແກ່ (ອັງກິດ: blue cheese, ຝະລັ່ງ: fromage à pâte persillée ຫຼື ຝະລັ່ງ: fromage bleu) ແມ່ນບັນດາເນີຍແຂງທີ່ເຮັດຈາກນົມງົວ ນົມແກະ ຫຼືນົມແບ້ ເຊິ່ງມີການເພາະປູກຂອງຮາ Penicillium ເພື່ອທີ່ຈະໃຫ້ມີຮາເປັນຈຸດໆ ໂດຍມີຮາທີ່ມີສີຟ້າແກ່ ສີຟ້າແກ່ອົມສີຂີ້ເທົ່າ ຫຼືສີຟ້າແກ່ອົມສີຂຽວ ແລະມີກິ່ນອັນມີເອກະລັກ.
functional-matter;['ຜັກ'];ຜັກ ແມ່ນພືດທີ່ຜູ້ຄົນເອົາສ່ວນໃດສ່ວນໜຶ່ງຂອງພືດ ເຊັ່ນ ລູກ ໃບ ຮາກ ດອກ ຫຼືລຳຕົ້ນ ມາປະກອບຂອງກິນ ເຊິ່ງບໍ່ນັບຮວມໝາກໄມ້ ໝາກຖົ່ວ ແລະເຄື່ອງເທດ.
functional-matter;['ຊອດໄຂ່ແດງ', 'ມາຢໍແນດ', 'mayonnaise', 'ຊອດໄຂ່ເຫຼືອງ'];ຊອດໄຂ່ເຫຼືອງ ຫຼື ມາຢໍແນດ (mayonnaise) ແມ່ນຊອດຂົ້ນອັນມັກໃຊ້ເປັນເຄື່ອງປຸງ.
functional-matter;['ຊາດຳ'];ຊາດຳ ຫຼື ຊາແດງ (ຈີນ: 紅茶, hóng chá, ຫົງສາ) ແມ່ນຊາທີ່ເຮັດໂດຍການນຳໃບຊາມາເຮັດໃຫ້ແຫ້ງໂດຍການຮີດນ້ຳທີ່ຫຼໍ່ລ້ຽງໃຫ້ໃບຊາຊຸ່ມຊື້ນອອກມາເພື່ອເຮັດໃຫ້ໃບຊາຫ່ຽວແລະອ່ອນລີບ ໂດຍໃຊ້ໄລຍະເວລາທັງໝົດ 16 ຊົ່ວໂມງ.
functional-matter;['ເນີຍແຂງລົກຟອກ', 'roquefort', 'roquefort cheese', 'ເນີຍແຂງລອກຟອກ'];ເນີຍແຂງລົກຟອກ (ຝະລັ່ງ: roquefort [ʁɔk.fɔʁ]) ແມ່ນເນີຍແຂງຟ້າແກ່ເຮັດຈາກນົມແກະຊະນິດໜຶ່ງ ອັນມາຈາກພາກໃຕ້ຂອງປະເທດຝະລັ່ງ.
