abstract-quality;['indiwiduallyk'];INDIWIDUALLYK
locative-role;['basseýn'];Basseýn ýagşyň ýa-da erän garyň suwunyň derýa, köl, howdan, estuariý, batgalyk, deňiz ýa-da okean ýaly suw giňişligine tarap akýan ýeri bolan gury ýer giňişligidir.
locative-role;['maşat'];Maşat (pars.
locative-role;['mesopotamiýa'];Mesopotamiýa (gad.-grek.
locative-role;['stambul'];Stambul (türk.
locative-role;['nýu-ýork', 'nýu-ýork şäheri', 'new-york'];Nýu-Ýork
locative-role;['karaçi', 'karāchi'];Karaçi (urd.
locative-role;['demirgazyk ýewropa'];Demirgazyk Ýewropa geografiki sebitiniň ýurtlarynyň we olaryň paýtagtlarynyň sanawy: Daniýa — Kopengagen Islandiýa — Reýkýawik Norwegiýa — Oslo Finlýandiýa — Helsinki Şwesiýa — Stokgolm Latwiýa — Riga Litwa — Wilnýus Estoniýa — Tallin Demirgazyk Ýewropa Skandinaw ýarymadasyny, Ýutlandiýa ýarymadasyny, Fennoskandiýanyň düzlüklerini we Islandiýa hem-de Şpisbergen adalaryny öz içine alýar.
locative-role;['antarktida'];Antarktida (grek.
locative-role;['arktika'];Arktika (grek.
locative-role;['keýptaun'];Keýptaun (Kapstad) (iňl.
locative-role;['pampaslar', 'pampa'];Pampa (Pampáslar) (isp.
locative-role;['sahara', 'sahara çöli'];Sahara
mental-object;['bilim'];Bu adalganyň başgaça manylary hem bar, ser.
method;['demokratiýa', 'demokratsiýa'];Demokratiýa döwlet dolandyryşynyň formasydyr.
non-agentive-physical-object;['panama kanaly'];Panama kanaly — Ýuwaş okeanyň Panama aýlagyny Karib deňzi hem-de Atlantik okean bilen birleşdirýän gämi gatnawly kanal.
non-agentive-physical-object;['bagjyk'];BAGJYK — köýnegiň, donuň, çäkmeniň we başga käbir geýimleriň ýakasyny birikdirmek üçin edilýän bag.
non-agentive-physical-object;['zergärçilik'];Türkmenleriň zergärçilik däpleri gadymy wagtlardan başlanypdyr.
non-physical-collection;['indiwidualizm'];Indiwidualizm
non-physical-collection;['induizm'];Induizm — has giň ýaýran dilleriniň biri.
non-physical-collection;['din', 'mömin'];Din - Taňry tarapyndan esaslandyrylýandygyna ynanylýan kanundyr.
non-physical-collection;['şamanizm'];Şamaniz —Tutemiz, Animizm we Naturizm elementlerini öz içine alỳan ynanç hem däplerdir.
non-physical-collection;['abolisionizm'];Abolissionizm - 1
non-physical-collection;['yslam'];Şablon:Infobox Islam Yslam dini iň soňky pygamber – hezreti Muhammediň ﷺ üsti bilen ähli adamzada Alla Tagalanyň iberen iň soňky we iň kämil dinidir.
non-physical-collection;['yahudilik', 'ýehudylykda'];Ýehudylykda bolmak ýekelik Ybraýym dinleri.
organized-collection;['galaktika'];Galaktika dartyş güýji arkaly biri-birine baglanýan ýyldyzlardan, ýyldyzara gazlardan hem-de tozandan we häzirlikçe onçakly göz ýetirilmedik garaňky jisimden emele gelýän ulgamdyr.
parameter;['zehin synagy'];Bütindünýä Saglyk Guramasynyñ hödürledigi zehin klaslandyryş tablissasy.
phenomenon;['himiki reaksiýa'];Himiki reaksiýa — bir ýa-da birnäçe başlangyç maddanyň özünden himiki düzümi ýa-da gurluşy taýdan tapawutlanýan maddalara öwrülmegi.
phenomenon;['inflýasiýa nämedir'];Inflýasiýa,nyrhlaryñ derejesiniñ satylýan zatlarda we hyzmatlarda dowamly we belli boljak şekilde, belli bir wagt aralygynda artmasydyr.
phenomenon;['absorbsiýa'];Absorbssiýa - gaz garyndysyndaky maddalary suwuklygyň ýuwutmak, siňdirmek prossesi.
phenomenon;['ingalýasiýa'];Ingalýasiýa
phenomenon;['inbriding'];INBRIDING
phenomenon;['ýaşaýyş'];Ýaşaýyş — materiýanyň işjeň barlyk formasy, ol birnäçe babatda materiýanyň fiziki we himiki barlyk formalaryndan ýokarda durýar. ol öýjükde madda çalşygyny we onuň bölünmegini amala aşyrmaga mümkinçilik berýän, öýjükde bolup geçýän fiziki we himiki prosesleriň jemidir.
phenomenon;['elektrik zarýady'];Elektrik zarýady — jisimiň elektromagnit meýdanyň çeşmesi bolmak we elektromagnit özara täsire gatnaşmak ukybyny kesgitleýän fiziki skalýar ululyk.
phenomenon;['abraziýa'];Abraziýa - deňizileriň, kölleriň we uly suw howdanlarynyň kenarlarynyň tolkun zerarly weýran bolmagy.
phenomenon;['ýagyş'];Ýagyş — bulutlardan ýagýan, ortaça diametri 0,5 we 6-7 mm bolan suwuklyk damjalary görnüşindäki atmosfera ygaly.
phenomenon;['çigrek'];Çigrek diýip howanyň ýylylygynyň sowap pese düşmegi, howanyň we toprak üstüniň temperaturasy -00°С we ondanam pes bolmagyna, hem-de ýylyň ösüş döwründe howanyň gije-gündizki ýylylygy 00°С we pese çenli sowap üýtgemek hadysasyna aýdylýar.
physical-body;['kometa'];Kometa ýa-da guýruklyýyldyz Günüň daşyndan aýlanýan ownuk jisimdir, ol Güne ýeterlik derejede ýakynlaşan mahaly görnüp duran koma ýa-da guýruk emele getirýär.
physical-body;['absolýut gara jisim'];Absolýut gara jisim - tolkun uzynlygyna baglanşyklysyzlykda, öz üstüne düşýän ähli şöhlelenme akymyny islendik temperaturada doly siňdirýän jisim.
physical-body;['aý'];Aý — Ýeriň tebigy hemrasy.
physical-body;['asteroid'];Asteroidler Gün ulgamyna degişli kiçiräk asman jisimleri bolup, olar Günüň orbitasynda aýlanýarlar.
physical-body;['ýer', 'dünýä'];Güne iň ýakyn 3-nji planeta.
physical-body;['mars', '♂'];Mars, Myrryh Gün ulgamynda Günden uzaklygy boýunça dördünji planeta.
physical-body;['merkuriý'];Merkuriý — Gün ulgamynyň Güne iň ýakyn planetasy, ol Günüň daşyndan 88 ýer gije-gündiziniň dowamynda aýlanýar.
physical-object;['elektronika we aragatnaşyk inženerligi'];== Daşarky çykgytlar ==
physical-object;['awiabaza'];Awiabaza- serediň: Harby baza.
physical-object;['gazet'];Gazet—Gündelik yada Hepdelik habarlary çap edyan serişde.
physical-object;['induktiwlik tegegi'];INDUKTIWLIK TEGEGI - görnüşinde saralan, izolirlenen.
physical-object;['azatlyk heýkeli'];Amerikadaky Azatlyk/Swoboda heykelini fransuzlar ABŞ'yñ garaşsyzlygynyñ 100 yyllygyna sowgat hökmünde gurupdyrlar.Bu heykel,gurujylary Frederik Bartold we Gustaw Eyfeliñ gatnaşmagynda Azatlyk adasynda Gudzon deryasynyñ gyrasynda 1886'jy yylyñ 28 oktybrynda açylyar.
physical-object;['ampermetr'];Ampermetr, elektrik aýlanşygyndan geçýän togu ölçeýän guraldyr.
physical-object;['abažur'];Abažur - elektrik çyra armaturasynyň ýagtylygy dargatmak we yzyna gaýtarmak arkaly ýiti ýagtynyň täsirinden gözü goramak we gerek bolan ýagtylygy döretmek üçin niýetlenen bölegi.
physical-object;['diod'];Diod (gad.-grek.
physical-object;['buraw wyşkasy'];Buraw enjamy ýer gatlagynda deşik we/ýa-da sütün emele getirýän enjamdyr.
physical-object;['bogaziçi köprüsi', 'bosfor köprüsi'];Bogaziçi köprüsi Hazirki dowurde dunyadaki asma koprulerinin arasynda uzynlygy boyunca 12 nji orunda bolan Turkiyanyn Istanbul saherinde yerlesenBogazici koprusi 1970 nji yylyn 20 nji fewralynda Turkiyanyn hokumetinin buyurmasy esasynda gurlusygyna baslandy.
physical-object;['transformator', 'transformatorlar'];Transformator, elektrik toguny ýa-da toguň güýjüni kiçeltmek ýa-da ulaltmak üçin ulanylýan elektrik enjamdyr.Iki we ikiden köp elektrik sepini elektromagnitiki induksiýonyň kömegi bilen, birirek biregini birikdirýän elektrik enjama transformator diýilýär.Elektrik sepinden beýleki bir elektrik sepine, energiýa, elektromagnit meýdanyň kömegi bilen geçiriler.
physical-object;['transformator', 'transformatorlar'];Transformator, elektrik toguny ýa-da toguň güýjüni kiçeltmek ýa-da ulaltmak üçin ulanylýan elektrik enjamdyr.Iki we ikiden köp elektrik sepini elektromagnitiki induksiýonyň kömegi bilen, birirek biregini birikdirýän elektrik enjama transformator diýilýär.Elektrik sepinden beýleki bir elektrik sepine, energiýa, elektromagnit meýdanyň kömegi bilen geçiriler.
physical-object;['oksford uniwersiteti'];11-njy asyryň ahyrynda esaslandyrylan Oksford uniwersiteti Beýik Britaniýada ýerleşýär, Ýewropanyň iň gadymy ýokary okuw mekdepleriň biri hasaplanýar.
physical-object;['prinston uniwersiteti'];" Princeton University", Prinston, ABS. ABS-nyn in meshur we abrayly uniwersitetlerinin biri bolup, 1746-njy yylda esaslandyrylypdyr.
physical-object;['şofar'];Şofar bolmak saz gural degişlilik duýmak yahudi, peýda içinde Roş Aşana.
physical-object;['luwr muzeýi'];LUWR - bu diňe bir ajaýyp arhitektura ýadygärligi bolman, eýsem ol fransuz korollarynyň köşgi, dünýäniň iň abraýly adygan muzeýleriniň biridır.
physical-object;['transformator', 'transformatorlar'];Transformator, elektrik toguny ýa-da toguň güýjüni kiçeltmek ýa-da ulaltmak üçin ulanylýan elektrik enjamdyr.Iki we ikiden köp elektrik sepini elektromagnitiki induksiýonyň kömegi bilen, birirek biregini birikdirýän elektrik enjama transformator diýilýär.Elektrik sepinden beýleki bir elektrik sepine, energiýa, elektromagnit meýdanyň kömegi bilen geçiriler.
physical-object;['telewizor', 'telewizion'];== Çeşmeler ==
physical-object;['induksion tizlendiriji', 'zarýadly bölejikleri tizlendiriji'];Zarýadly bölejikleri tizlendiriji — ýokary energiýaly zarýadly bölejikleri almak üçin ulanylýan gurluşlaryň klasy.
physical-object;['radar'];c
political-geographic-object;['rumyniýa'];Rumyniýa, Romaniýa ýa da Romyniýa
political-geographic-object;['lyon'];Lyon
political-geographic-object;['çernobyl'];Çernobyl, Ukraina.
political-geographic-object;['deli', 'délhi'];Deli (hind.
political-geographic-object;['har\xadki', 'harkow'];Harkiw
political-geographic-object;['kum', 'qom'];Qom - Eýranda yerlesen bir saherdir.
political-geographic-object;['sewastopol'];Sewastopol
political-geographic-object;['ho şi miň şäheri', 'ho chi minh city'];Ho Chi Minh City Wýetnam'da bir oba.
political-geographic-object;['los-anjeles'];Los-Anjeles (Los-Anjelos, Los-Anželes, Los-Anheles) (iňl.
political-geographic-object;['sankt-peterburg'];Sankt-Peterburg — Russiýa Federasiýasynda şäher.
political-geographic-object;['mekge'];Mekge (arap.
political-geographic-object;['demirgazyk koreýa', 'koreýa halk demokratik respublikasy'];Demirgazyk Koreýa, bir kommunistik döwlet Aziýa'da.
political-geographic-object;['norwegiýa', 'kongeriket noreg', 'kongeriket norge', 'noreg', 'norge'];Norwegiýa Patyşalygy (norw.
political-geographic-object;['niderlandlar'];Niderland Patyşalygy (niderl.
political-geographic-object;['lesoto'];Lesoto Günorta ýerleşýän döwlet.
political-geographic-object;['ýaponiýa'];Ýaponiýa (ýap.
political-geographic-object;['monako'];Monako Knýazlygy ýa-da Monako (fr.
political-geographic-object;['merkezi afrika respublikasy'];Merkezi Afrika Respublikasy (MAR) (fr.
political-geographic-object;['jibuti'];Jibuti (arap.
political-geographic-object;['malaýziýa'];Malaýziýa (mal.
political-geographic-object;['namibiýa'];Namibiýa, taýdan Namibiýa Respublikasy bolan Günorta Afrikanyň bir ýurdy.
political-geographic-object;['mawritaniýa'];Mawritaniýa Günbatar Afrikadaky Atlantik ummanynyň kenarynda ýerleşýän ýurt.
political-geographic-object;['ekwatorial gwineýa'];Ekwatorial Gwineýa Respublikasy (isp.
political-geographic-object;['komor adalary'];Komor Adalary, resmi ady Komor Adalarynyň Bileleşigi — Hindi okeanynda, demirgazyk Madagaskar bilen demirgazyk Mozambigiň arasyndaky Mozambik bogazynyň demirgazyk böleginde ýerleşýän döwlet.
political-geographic-object;['şweýsariýa', 'ch'];Şweýsariýa (nem.
political-geographic-object;['birleşen arap emirlikleri'];Birleşen Arap Emirlikleri (arap.
political-geographic-object;['lýuksemburg', 'lüksemburg'];Beýik Lüksemburg Dükalygy
political-geographic-object;['sapporo'];Sapporo Ýaponiýanyň ilaty boýunça bäşinji uly şäheri hasaplanýar.
political-geographic-object;['marokko'];Marokko (arap.
political-geographic-object;['ispaniýa'];Ispaniýa (isp.
political-geographic-object;['saud arabystany'];Saud Arabystany patyşalygy (arap.
political-geographic-object;['çad'];Çad — Merkezi Afrikada ýerleşýän döwlet.
political-geographic-object;['täjigistan'];Täjigistan
political-geographic-object;['uganda'];Uganda Gündogar Afrikada döwlet.
political-geographic-object;['belorussiýa', 'belarus'];Belarus, bir döwlet Ýewropa'da.
political-geographic-object;['malawi'];Malawi Respublikasy (iňl.
political-geographic-object;['zimbabwe'];Zimbabwe Respublikasy (iňl.
political-geographic-object;['azerbaýjan', 'azarbeýjan respublikasy', 'azerbeýjan', 'azarbeýjan'];Azarbeýjan Respublikasy Günorta Kawkazyň gündogar böleginde, Hazar deňziniň kenarynda ýerleşýär.
political-geographic-object;['gyrgyzystan'];Gyrgyzystan
political-geographic-object;['mali'];Mali Günbatar Afrikada ýerleşýän döwlet.
political-geographic-object;['gazagystan'];Gazagystan - Merkezi Aziýada ýerleşýän döwlet.
political-geographic-object;['mongoliýa'];Mongoliýa Halk Respublikasy, bir döwlet Aziýa'da.
political-geographic-object;['týanžin', 'týanszin', 'týanžin, hytaý'];Týanžin, Hytaý.
political-geographic-object;['belgiýa'];Belgiýa (niderl.
political-geographic-object;['swazilend'];Swazilend Günorta ýerleşýän döwlet.
political-geographic-object;['tonga'];Tonga (tong.
political-geographic-object;['päkistan', 'pakystan'];Päkistan (urd.
political-geographic-object;['bangladeş'];Bangladeş Halk Respublikasy (beng.
political-geographic-object;['owganystan'];Owganystan (puştu.
political-geographic-object;['awstriýa'];Awstriýa Respublikasy Merkezi Ýewropadaky döwlet.
political-geographic-object;['laos'];Laos, bir döwlet Aziýa'da.
political-geographic-object;['mýanma', 'birma'];Mýanma Bileleşigi, Aziýa'da bir döwlet.
political-geographic-object;['kamboçiýa', 'kamboja'];Kamboja Patyşalygy, bir döwlet Aziýa'da.
political-geographic-object;['awstraliýa'];Awstraliýa (iňl.
political-geographic-object;['konakri', 'conakry'];Gwineýa respublikasyň paýtagty.
political-geographic-object;['bordeaux'];Bordeaux
political-geographic-object;['makao'];Makao.
political-geographic-object;['butan'];Butan Korollygy (dzong.
political-geographic-object;['kataloniýa'];Kataloniýa (iňl.
political-geographic-object;['aparteid', 'apartheid'];Aparteid, apartheýd (afr.
political-geographic-object;['türkmenistan', 'türkmenistan / түркменистан', 'turkmenistan', 'türkmenistan respublikasy'];Türkmenistan merkezi Aziýada bir döwletdir.
political-geographic-object;['gruziýa'];Gürjüstan Respublikasy Ýewropa'da bir ýurt.
political-geographic-object;['ruanda'];Ruanda Respublikasy — Merkezi Afrikada uly bolmadyk döwlet.
political-geographic-object;['zambiýa'];Zambiýa (iňl.
political-geographic-object;['kongo demokratik respublikasy'];Kongo Demokratik Respublikasy (fr.
political-geographic-object;['gwatemala', 'guatémala'];Gwatemala, resmi taýdan Gwatemala respublikasy, Demirgazyk Amerikadaky ýurt.
political-geographic-object;['kosta-rika'];Kosta-Rika Amerikada döwlet.
political-geographic-object;['wengriýa'];Wengriýa ýa da Majarystan
political-geographic-object;['polşa'];Polşa (pol.
political-geographic-object;['burundi'];Burundi (rundi we fr.
political-geographic-object;['tanzaniýa'];Tanzaniýa Birleşen Respublikasy (suah.
political-geographic-object;['gwineýa'];Gwineýa Günbatar Afrikada ýerleşýän döwlet.
political-geographic-object;['somali'];Somali (somal.
political-geographic-object;['wýetnam'];Wýetnam (wýet.
political-geographic-object;['liwiýa'];Liwiýa Günbatar Afrikada ýerleşýän döwlet.
political-geographic-object;['germaniýa'];Germaniýa
political-geographic-object;['sudan'];Sudan (arap.
political-geographic-object;['müsür'];Müsür (arap.
political-geographic-object;['gaýana'];Gaýana
political-geographic-object;['surinam'];Surinam (niderl.
political-geographic-object;['wenesuela'];Wenesuela Boliwar Respublikasy (isp.
political-geographic-object;['alžir'];Alžir (arap.
political-geographic-object;['hindistan'];Hindistan Respublikasy (hind.
political-geographic-object;['italiýa'];Italiýa (ital.
political-geographic-object;['çili'];Çili (isp.
political-geographic-object;['paragwaý'];Paragwaý Günorta Amerikada döwlet.
political-geographic-object;['botswana'];Botswana Günorta ýerleşýän döwlet.
political-geographic-object;['mozambik'];Mozambik Respublikasy (port.
political-geographic-object;['indoneziýa'];Indoneziýa
political-geographic-object;['gresiýa'];Gresiýa
political-geographic-object;['ukraina'];Ukraina (ukr.
political-geographic-object;['meksika'];Meksika (isp.
political-geographic-object;['ermenistan'];Ermenistan (erm.
political-geographic-object;['yrak'];Yrak (arap.
political-geographic-object;['koreýa respublikasy', 'günorta koreýa', 'günorta koreÿa'];Koreýa Respublikasy (kor.
political-geographic-object;['gambiýa'];Gambiýa Günbatar Afrikada ýerleşýän döwlet.
political-geographic-object;['gana'];Gana Günbatar Afrikadaky döwlet.
political-geographic-object;['nigeriýa'];Nigeriýa (iňl.
political-geographic-object;['kot-d’iwuar', "kot d'iwuar"];Kot d'Iwuar Günbatar Afrikada ýerleşýän döwlet.
political-geographic-object;['niger'];Niger Günbatar Afrikada ýerleşýän döwlet.
political-geographic-object;['gabon'];Gabon (fr.
political-geographic-object;['kongo respublikasy'];Kongo Respublikasy (fr.
political-geographic-object;['kamerun'];Kamerun (fr.
political-geographic-object;['gwineýa-bisau'];Gwineýa-Bisau Günbatar Afrikada ýerleşýän döwlet.
political-geographic-object;['senegal'];Senegal Günbatar Afrikada ýerleşýän döwlet.
political-geographic-object;['fransiýa'];Fransiýa (fr.
political-geographic-object;['irlandiýa', 'irlandiýa respublikasy'];Irlandiýa, Irlandiýa Respublikasy (irl.
political-geographic-object;['madagaskar'];Madagaskar Respublikasy (Şablon:Lang-mg [republiˈkʲan madaɡasˈkʲarə̥], fr.
political-geographic-object;['maldiwler'];Maldiwler (mald.
political-geographic-object;['filippinler'];Filippinler, Aziýada ýerleşýän döwletleriň biri.
political-geographic-object;['seýşel adalary'];Seýşel Adalary Respublikasy (fr.
political-geographic-object;['şwesiýa', 'iswiç'];Iswiç karollygy
political-geographic-object;['paýtagt'];Paýtagt — döwletiň ýa-da administratiw emele gelşiň resmi baş şäheri, ol ýerde, kada bolşy ýaly, ýokary häkimiýet we dolandyryş organlary: döwlet baştutanynyň rezidensiýasy, parlament we ş.m.
political-geographic-object;['puerto-riko'];Resmi ady: Puerto-Riko arkalaşygy.
political-geographic-object;['lihtenşteýn'];Lihtenşteýn Knýazlygy (nem.
political-geographic-object;['andorra'];Andorra knýazlygy (kat.
political-geographic-object;['alýaska', 'alaska'];Demirgazyk Amerika yklymynyň iň günbatar-demirgazyk böleginde ýerleşýän ABŞ-a degişli bolan ştat.
political-geographic-object;['jorjiýa', 'geórgia'];Jorjiýa —ABŞ-nyň bir ştaty.
political-geographic-object;['arizona'];Arizona ABŞ-nyň günorta-günbatar sebitinde ýerleşýär.
political-geographic-object;['alabama'];Alabama — ABŞdaky ştatlarynyn biri.
political-geographic-object;['gawaý adalary'];Gawaý adalary: Okeaniýanyň dg-da ýerleşmek bilen 100-çe ownuk adalardan ybaratdyr.
political-geographic-object;['oman'];Oman Soltanlygy (arap.
political-geographic-object;['damask'];Damask — Siriýanyň paýtagty
political-geographic-object;['töwriz', 'tabriz'];Tabriz - Eýranda yerlesen bir saherdir.bu şaherin ahalisi azar turkmenleri dirler.
political-geographic-object;['gadymy sparta taryhy'];Gadymy Sparta
political-geographic-object;['kuweýt'];Kuweýt (arap.
political-geographic-object;['iordaniýa'];Iordan Haşimit Korolligi
political-geographic-object;['liwan'];Liwan (arap.
political-geographic-object;['watikan'];Watikan, Watikan şäher-döwleti (lat.
political-geographic-object;['fiji'];Fiji respublikasy Ýuwaş okeanyň ýerleşýän ada döwletidir.
political-geographic-object;['amsterdam'];Amsterdam (niderl.
political-geographic-object;['donesk'];Donesk
political-geographic-object;['kabo-werde'];Kabo-Werde Günbatar Afrikada ýerleşýän döwlet.
political-geographic-object;['bahreýn'];Bahreýn, Demirgazyk-günbatar Aziýada, Pars aýlagynda adada ýerleşýän iň kiçi Arap döwletdir.
political-geographic-object;['islandiýa'];Islandiýa (isl.
political-geographic-object;['san-paulu', 'sâo paulo'];San-Paulu (port.
political-geographic-object;['lissabon'];К:Ilatly nokatlar, düýbi tutulan ýyly 719 ýylda Lissabon Portugaliýanyň paýtagty we iň uly şäheri.
political-geographic-object;['sofiýa'];Sofiýa - Bolgariýada yerlesen bir saherdir.
political-geographic-object;['bogota'];Bogota (Santa-fe-de-Bogota, isp.
political-geographic-object;['jakarta'];Jakarta (ind.
political-geographic-object;['bagdat', 'bagdād'];Bagdat — şäher, Yrak respublikasynyň paýtagty.
political-geographic-object;['rim'];Rim (ital.
political-geographic-object;['buharest'];Buharest
political-geographic-object;['iýerusalim', 'ierusalim'];Ierusalim (iwr.
political-geographic-object;['kiýew', 'kyýiw'];Kiýew
political-geographic-object;['belgrad'];Belgrad, bir şäher Serbiýa'da.
political-geographic-object;['ýerewan', 'ýerevan'];Ýerewan (erm.
political-geographic-object;['berlin'];Berlin
political-geographic-object;['pekin'];Pekin (hyt.
political-geographic-object;['taýland'];Tailand (taýl.
political-geographic-object;['efiopiýa'];Efiopiýa (ኢትዮጵያ [ʾiːtjoːṗṗjaː]), resmi ady Efiopiýa Federatiw Demokratik Respublikasy) — Gündogar Afrikada döwlet, deňze çykalgasy ýok.
political-geographic-object;['moskwa'];Moskwa, Maskwa, Moskowa - Russiýa Federatsiýasynyn paýtagty, Federal şäher hasaplanyar, adminstratiwnyy esasy federalnyy merkezi toweregi we moskwa merkezi welayaty hasaplanyar.
political-geographic-object;['benin'];Benin Günbatar Afrikada ýerleşýän döwlet.
political-geographic-object;['russiýa sowet federatiw sotsialistik respublikasy', 'rsfsr'];Russiýa Sowet Federatiw Sotsialistik Respublikasy
political-geographic-object;['burkina-faso', 'burkina faso'];Burkina-Faso Günbatar Afrikada ýerleşýän döwlet.
political-geographic-object;['bagama adalary'];BAGAMA ADALARY — Florida ýarymadasynda günorta-gündogar-da, West-Hindistandaky arhipelag.
political-geographic-object;['san-tome we prinsipi', 'san tome we prinsipi'];San Tome we Prinsipi Merkezi Afrikada döwlet.
political-geographic-object;['ysraýyl', 'izrail'];Ysraýyl, doly resmi ady — Ysraýyl Döwleti (iwr.
political-geographic-object;['chicago', 'çikago'];Chicago
political-geographic-object;['tripoli'];Tripoli — Liwiýanyñ paýtagty we merkezy.
political-geographic-object;['finlýandiýa', 'finlandiýa'];Finlýandiýa (fin.
political-geographic-object;['samarkand'];Samarqand şäher.
political-geographic-object;['doha'];Doha — Katardyň paýtagty.
political-geographic-object;['tirana'];Tirana — Albaniýanyñ paýtagty we merkezy.
political-geographic-object;['wena'];Wena (nem.
political-geographic-object;['dakka', 'dhaka'];Dakka (beng.
political-geographic-object;['mýunhen'];Mýunhen (nem.
political-geographic-object;['santiýago'];Santiýago de Çile
political-geographic-object;['london'];London (iňl.
political-geographic-object;['tallin'];Tallin — Estoniýanyñ paýtagty we merkezy.
political-geographic-object;['helsinki'];Helsinki
political-geographic-object;['pariž'];Pariž (fr.
political-geographic-object;['tbilisi', 'tiflis'];Tiflis — Gürjüstanyň paýtagty.
political-geographic-object;['akkra', 'akra', 'accra'];Gana respublikasyň paýtagty.
political-geographic-object;['atina', 'afiny'];Atina
political-geographic-object;['tähran', 'teherán'];Tähran (pars.
political-geographic-object;['tokio', 'tokýo'];Tokio (ýap.
political-geographic-object;['naýrobi', 'nairobi'];Nairobi (iňl.
political-geographic-object;['kuala lumpur'];Kuala Lumpur — Malaýziýanyň paýtagty.
political-geographic-object;['mehiko'];Mehiko (isp.
political-geographic-object;['ýangon'];Ýangon (ozalky Rangun, birm.
political-geographic-object;['warşawa'];Warşawa Polşanyň paýtagty.
political-geographic-object;['seul'];Seul
political-geographic-object;['madrid'];Madrid
political-geographic-object;['stokgolm'];Stokgolm — Shwedsiýanyñ paýtagty.
political-geographic-object;['bangkok'];Bangkok (taýl.
political-geographic-object;['abijan', 'abidjan'];Abijan - Günbatar Afrikada Şirmaýy Kenar respublikasynyň paýtagty.
political-geographic-object;['aşgabat', 'aşgabat şäheri'];Aşgabat, Türkmenistanyň paýtagty.
political-geographic-object;['baku'];Baku, Azerbaýjanyñ paýtagty.
political-geographic-object;['minsk'];Minsk — Belarussiýanyň paýtagty.
political-geographic-object;['zagreb'];Zagreb — Xorwatiýanyñ paýtagty.
political-geographic-object;['kair', 'kahire'];Kair
political-geographic-object;['nyu-dehli', 'täze deli'];Nyu-Deli — Hindistannyň paýtagty.
political-geographic-object;['almaty'];Almaty (gaz.
political-geographic-object;['bişkek'];Gyrgyzystanyň paýtagty.
political-geographic-object;['duşanbe'];Duşanbe — Täjigistannyň paýtagty.
political-geographic-object;['daşkent'];Özbegistanyň paýtagty.
political-geographic-object;['kinşasa'];Kinşasa — Kongo Demokratik Respublikasynyň paýtagty, ol Kongo derýasynyň ýakasynda, Kongo Respublikasynyň paýtagty Brazzawiliň garşysynda ýerleşýär.
political-geographic-object;['valparaiso'];Valparaiso — Çili ululygy boýunça ikinji şäheri.
political-geographic-object;['rio-de-žaneýro', 'rio de janeiro'];Rio-de-Žaneýro (port.
political-geographic-object;['maşat'];Maşat (pars.
political-geographic-object;['sidneý', 'sydney'];Sidneý
political-geographic-object;['stambul'];Stambul (türk.
political-geographic-object;['nýu-ýork', 'nýu-ýork şäheri', 'new-york'];Nýu-Ýork
political-geographic-object;['karaçi', 'karāchi'];Karaçi (urd.
political-geographic-object;['tripoli'];Tripoli — Liwiýanyñ paýtagty we merkezy.
political-geographic-object;['braziliýa'];Braziliýa, resmi ady Braziliýa Federatiw Respublikasy (port.
political-geographic-object;['toronto'];Toronto (iňl.
political-geographic-object;['keýptaun'];Keýptaun (Kapstad) (iňl.
political-geographic-object;['tehas', 'téxas'];Tehas — ABŞ-da bir ştat.
quality;['induktiwlik'];Induktiwlik
quality;['induizm'];Induizm — has giň ýaýran dilleriniň biri.
quality;['din', 'mömin'];Din - Taňry tarapyndan esaslandyrylýandygyna ynanylýan kanundyr.
quality;['şamanizm'];Şamaniz —Tutemiz, Animizm we Naturizm elementlerini öz içine alỳan ynanç hem däplerdir.
quality;['impuls'];IMPULS (lat.
quality;['absolýut temperatura'];Absolýut temperatura - absolýut noldan başlap hasaplanýan temperatura.
quality;['absolýut nol'];Absolýut nol - absolýut temperaturany hasaplamagyň başlangyjy.
quality;['yslam'];Şablon:Infobox Islam Yslam dini iň soňky pygamber – hezreti Muhammediň ﷺ üsti bilen ähli adamzada Alla Tagalanyň iberen iň soňky we iň kämil dinidir.
quality;['yahudilik', 'ýehudylykda'];Ýehudylykda bolmak ýekelik Ybraýym dinleri.
quality;['impulsiwlilik'];IMPULSIWLILIK
region;['rynda'];Gämi jaň saz gurallary edilen bürünç.
region;['absolýut ululyk'];Absolýut ululyk - hakyky sanyň Absolýut ululygy san pložitel alamatda bolanda onuň özüne, san otrissatel alamatda bolsa, onuň garşylykly ululygyna deň.
region;['at güý\xadj'];At güý­ji – kuw­wat­ly­lyk bir­li­gi.
region;['bitin sanlar'];San okunda O nokatdan sag ugurda masştab kesimini n gezek alyp goýup, položitel n sany alarys.
region;['riel'];Riel — Kambojada Pul.
region;['sedi'];Sedi,— Ganada Pul.
region;['rupiah'];Rupiah — Indoneziýada Pul.
region;['ýen', 'yen'];Ýen — Ýaponiýada ulanylýan pulyň birliginiň ady.
region;['kip'];Kip — Laosda Pul.
region;['naýra'];Naýra,— Nigeriýada Pul.
region;['günorta koreýa won', 'demirgazyk koreýa won'];Günorta Koreýa Won — Koreýa Respublikasyda Pul.
region;['zloty'];Zloty — Polşada Pul.
region;['demirgazyk koreýa won', 'günorta koreýa won'];Demirgazyk Koreýa Won — Demirgazyk Koreýada Pul.
region;['baht'];Baht — Taýlandda Pul.
