abstract-region;['terfyn', 'terfan', 'cyfyngu ar bwynt', 'pwynt o gasglu'];term mathemategol
functional-matter;['waffl', 'malu awyr', 'wafflau', 'waffle'];bwyd yn seiliedig ar toes neu cytew, wedi'i coginio rhwng dau blât patrymog, ffurfiedig
functional-matter;['lemon meringue pie'];tudalen wahaniaethu Wikimedia
functional-matter;['camembert'];Caws Ffrengig
functional-matter;['pasta', 'saws pasta', 'ymborth past'];Math o does, a bwyd traddodiadol yn yr Eidal
functional-matter;['meddyginiaeth', 'cyffur meddygol', 'cyffuriau fferyllol', 'meddyginiaethau', 'cyffuriau meddyginiaethol', 'fferyllol', 'medicament'];Sylwedd cemegol a ddefnyddir mewn diagnosis, iachâd, triniaeth, neu atal clefyd
functional-matter;['sglodion', 'tsips', 'sglodion ffrengig', 'ffrengig-ffrio tatws', 'ffrio ffrengig', 'sglodion cyrliog', "tatws wedi'u ffrio ffrangeg"];Darnau o daten wedi eu ffrio''n ddwfn
functional-matter;['impost', 'springer'];Tudalen wahaniaethu Wikimedia
functional-matter;['sorod', 'scoria', 'slag'];Sylwedd cemegol
functional-matter;['brechdan'];Dwy dafell o fara â llenwad rhyngddynt
functional-matter;['halen', 'halen bwrdd', 'chynhyrchu halen', 'halen cyffredin', 'halen sodiwm'];Cyfansoddyn cemegol
geographical-object;['llyn', 'llyn dŵr croyw', 'llyn naturiol', 'llyn ysbeidiol', 'llynnoedd'];Corff o ddŵr croyw, eitha llonydd
geographical-object;['lagŵn', 'morlyn', 'laguna', 'lagune'];Corff bas o ddwr wedi ei rannu oddi ar corff fwy o ddwr, fel rheol dwr hallt.
geographical-object;['ynysoedd ryūkyū', 'ynysoedd ryukyu', 'ynysoedd loo choo', 'ynysoedd riwciw'];cadwyn o ynysoedd Siapan tuag at cyfeiriad Taiwan
geographical-object;['afon seine'];Afon yn Ffrainc
geographical-object;['ynysoedd ffaröe', 'føroyar', 'ynysoedd ffaro', 'faeroes', 'foroyar', 'ynysoedd faroe', 'ynysoedd ffaroe', 'ynysoedd ffarö', 'ynysoedd y ffaroe', 'tîm pêl-droed cenedlaethol ynysoedd faroe'];Ynysfor a gwlad yng Ngogledd Ewrop
geographical-object;['ynysoedd gilbert', 'gilbert islands', 'gilberts', 'kings-mill islands', 'kingsmill', 'tungaru'];Cadwyn o ynysoedd yn Cefnfor Tawel, prif gadwyn gweriniaeth Ciribati
geographical-object;['ynysoedd heledd', 'hebrides', 'ynysoedd y gorllewin', 'ynysoedd yr hebrides'];Ynysfor yn yr Alban
geographical-object;['afon congo', 'afon y congo', 'congo afon', 'zaire afon'];afon yng nghanolbarth Affrica
geographical-object;['afon tiber', 'tevere', 'tiber'];Afon yn yr Eidal
geographical-object;['ynysig', 'motu', 'ynys', 'ynysoedd'];ynys fechan
geographical-object;['ynysoedd balearig', 'ynysoedd baleares'];Ynysoedd yn y Môr Canoldir
geographical-object;['ynysoedd erch', 'ynysoedd orkney', 'orcni', 'orkney', 'ynysoedd orcni', 'orkney islands'];Ynysfor yn y Môr y Gogledd
geographical-object;['caledonia newydd', 'new caledonia'];tudalen categori Wikimedia
geographical-object;['martinique', 'martiniciaid'];Département Ffrainc
geographical-object;['nantucket, massachusetts', 'nantucket', 'nantucket county, massachusetts'];sir yn nhalaith Massachusetts, Unol Daleithiau America
geographical-object;['afon tafwys', 'thames', 'tafwys'];Afon yn Lloegr
geographical-object;['culfor dover', 'culfor dofr', 'culfor calais', 'pas de calais'];culfor ym man culaf y Môr Udd
information-encoding-system;['areithyddiaeth', 'ynganu'];Tudalen wahaniaethu Wikimedia
information-encoding-system;['kenning', 'kennings'];Ymadrodd Norwyeg
information-encoding-system;['barddoniaeth', 'prydyddiaeth', 'barddoniaeth cariad', 'barddonol', 'cerddi', 'ffurf farddonol', 'poesy'];Math o lenyddiaeth
information-encoding-system;['jargon', 'derminoleg dechnegol', 'hiaith technegol', 'iaith dechnegol', 'jargon cyfrifiadurol', 'yn o gelf'];Terminoleg a ddiffinnir yn arbennig mewn perthynas â gweithgaredd, proffesiwn, grŵp neu ddigwyddiad penodol
information-object;['hagiograffeg', 'buchedd', 'hagiography', 'hagiographic', 'hagiographical', 'hagiographies'];bywgraffiadau’r seintiau
information-object;['enw masnachu', 'brand', 'enw brand', 'brand-enw', 'brandiau', 'ddynodiad', 'delwedd brand', 'enw masnach', 'enw masnachol', 'enwau brand', 'enwau masnach', 'hunaniaeth brand', 'marchnata brand', 'tradename'];Enw arferol y cwmni
information-object;['enw masnachu', 'brand', 'enw brand', 'brand-enw', 'brandiau', 'ddynodiad', 'delwedd brand', 'enw masnach', 'enw masnachol', 'enwau brand', 'enwau masnach', 'hunaniaeth brand', 'marchnata brand', 'tradename'];Enw arferol y cwmni
information-object;['enw cyn priodi', 'enw priod', 'enwau priod a cyn priodi'];Enw teuluol a ddefnyddir gan fenyw cyn priodi
information-object;['medal anrhydedd', 'medal of honor', 'medal of honor cyngresol'];yr addurn milwrol uchaf a ddyfarnwyd gan yr Unol Daleithiau.
information-object;['swastica', '卐', 'swastika', 'croes gam', 'croes grwca', 'gammadion', 'hakenkreuz', 'svastika', 'swastikas'];croes gyda'r breichiau wedi eu plygu ar ongl sgwâr. Symbol mewn Bwdiaeth, Hindwaeth a Natsiaeth
information-realization;['cytundeb', 'anghonfensiynol', 'arferol', 'chonfensiynau cymdeithasol', 'confensiwn cymdeithasol', 'confensiynol', 'gonfensiwn', 'gonfensiynau cymdeithasol'];Set o safonau a gytunwyd, a nodwyd, neu a dderbynnir yn gyffredinol
information-realization;['llyfr', 'llyfrau'];cyfrwng ar gyfer cofnodi gwybodaeth ar ffurf ysgrifennu neu ddelweddau
information-realization;['dyddiadur', 'dyddlyfr'];Cofnod ysgrifenedig gyda chofnodion wedi'u trefnu yn ôl y dyddiad
information-realization;['gweithred', 'gweithred gludo', 'weithred'];Math o offeryn cyfreithiol
information-realization;['deuawd'];cyfansoddiad neu drefniant cerddorol ar gyfer dau berfformiwr
information-realization;['goleuad', 'bach'];Dull o weithio mewn celf
information-realization;['cais', 'cymhwysiad meddalwedd', 'ceisiadau rhaglen', 'cymwysiadau cyfrifiadurol', 'rhaglen cais'];Meddalwedd cyfrifiadurol a gynlluniwyd i berfformio grŵp o swyddogaethau, tasgau neu weithgareddau wedi'u cydlynu er budd y defnyddiwr
information-realization;['geiriadur', 'geiriaduron'];casgliad o eiriau a’u hystyron
information-realization;['chwedl', 'apologue', 'chwedlau'];stori fer ddychmygol gyda moeswers ynddi (fable yn Saesneg)
information-realization;['hafalnod', 'hafaliad', 'arwydd cyfartal'];Symbol mathemategol i ddynodi fod un rhan yn union yr un faint a rhan arall
information-realization;['mesur', 'bil', 'llofnodi i mewn gyfraith'];deddf arfaethedig
information-realization;['cytundeb heddwch', 'cytundebau heddwch', 'heddwch cytundeb'];cytundeb rhwng dau neu fwy o barthau gelyniaethus sy'n dod a rhyfel i ben yn ffurfiol
information-realization;['fersiwn, rhifyn neu gyfieithiad'];(defnyddir gyda P31, enghraifft o'r canlynol)
information-realization;['haiku', 'haikus'];ffurf o farddoniaeth Siapanëeg
information-realization;['llenyddiaeth', 'llenyddol', 'llen', 'llên', 'celfyddydau llenyddol', 'gwaith llenyddol', 'llenyddiaethau'];Cynnyrch llenyddol
information-realization;['poliffoni', 'polyffoni', 'canu poliffonaidd', 'canu poliffonig', 'poliffonig', 'bolyffonig', 'cerddoriaeth ar y cyd', 'cerddoriaeth bolyffonig', 'gerddoriaeth bolyffonig'];Canu, cerddproaeth harmoni aml lais
information-realization;['samba', 'samba cerddoriaeth'];math o gerddoriaeth o Frasil
information-realization;['reggae', 'cerddoriaeth rege', 'cerddoriaeth reggae', 'rege'];math o gerddoriaeth
information-realization;['llyfr gweddi gyffredin', "lliver gweddi gyffredin a gwenidogaeth y sacrametae, ac eraill gynneddfeu a' ceremoniae yn eccles loecr", 'llyfr gweddi cyffredin'];llyfr (gwaith)
information-realization;['llyfr numeri', 'numeri'];Yr bedwerydd llyfr yn Beibl, cyfansawdd yn 36 pennodau
language;['ieithoedd iroquaidd', 'ieithoedd iroquoiaidd', 'ieithoedd irocaidd', 'ieithoedd irocwoiaidd', 'iroquoian', 'iaith iroquoian', 'ieithoedd iroquoian', 'iroquoian iaith'];teulu ieithoedd brodorol o Nogledd-Nwyrain America
language;['ieithoedd wralaidd', 'iaith wralaidd', 'wralaidd'];Teulu ieithyddol
language;['ieithoedd athabasgaidd', 'ieithoedd athabascaidd', 'athabascan', 'athabascans', 'iaith athabaskan', 'iaith athapasgaidd', 'ieithoedd athabascan', 'ieithoedd athabaskan'];teulu iaith frodorol yng Ngogledd America
language;['iaith naturiol', 'ieithoedd naturiol'];Iaith nad yw wedi'i ei chreu'n ffurfiol
language;['ieithoedd affro-asiaidd', 'hamito-semitaidd', 'ieithoedd affro-asiatig', 'ieithoedd afro-asiaidd', 'ieithoedd afro-asiatig', 'afroasiatic', 'affro-asiaidd', 'affro-asiaidd ieithoedd', 'afrasian', 'afrasian iaith', 'hamito-semitig', 'iaith affro-asiaidd', 'iaith afroasiatic', 'ieithoedd afroasiatic'];Teulu ieithyddol
language;['iaith', 'ieithoedd', 'amrywiaeth ieithyddol', 'cyfathrebu ieithyddol', 'iaith ddynol'];System gyfathrebu a enwir yn aml gan y lle neu'r bobl sy'n ei siarad
language;['saesneg', 'iaith saesneg', 'english', 'english language', 'ingles', 'yr iaith fain', 'cyfrwng saesneg'];iaith Germaniaidd o Loegr
language;['cyrdeg', 'cwrdeg', 'kurdish'];Iaith Indo-Iraneg
language;['ieithoedd brodorol yr amerig', 'ieithoedd brodorol de america', 'americanaidd-indiaidd iaith', 'amerind', 'amerindiaidd iaith', 'ieithoedd americanaidd brodorol', 'ieithoedd brodorol yr americas', 'ieithoedd indiaid america'];ieithoedd sy'n siarad gan y pobl brodorol yr Amerig
language;['tsieineeg', 'tsieinëeg', 'tseinaeg', 'tsieinaeg', 'tsieinëaeg', 'tsieinïeg', 'tsienëeg', 'iaith tseiniaidd', 'tseiniaidd', 'tseiniaidd-iaith'];Teulu o ieithoedd
language;['cobol'];Iaith raglennu seiliedig ar wrthrychau
language;['pensaernïaeth gothig', 'pensaerniaeth gothig', 'bensaernïaeth gothig', 'arddull gothig', 'eglwysi cadeiriol gothig', 'gothig'];Arddull pensaernïol canoloesol
language;['gwyddeleg canol', 'iaith wyddeleg canol'];Iaith Wyddeleg yn yr 10fed i 12fed ganrif
language;['crî', 'iaith cree', 'cr', 'cree'];iaith Algoncaidd sy'n siarad yng Nghanada
language;['saesneg americanaidd', 'saesneg', 'en-us', 'saesneg yn yr unol daleithiau', 'daleithiau saesneg', 'americanaidd iaith'];Yr iaith Saesneg yn yr Unol Daleithiau America
language;['ieithoedd awstronesaidd', 'iaith awstronesaidd', 'iaith awstronesiaidd', 'awstronesaidd', 'awstronesaidd iaith'];Teulu ieithyddol
language;['ieithoedd indo-ewropeaidd', 'indo-ewropeaidd', 'ieithoedd indo ewropeaidd', 'indo-ewropeg', "teulu'r ieithoedd indo-ewropeaidd", 'iaith indo-ewropeaidd', 'indo-ewropeaidd iaith', 'indo-hethiad', 'teulu ieithyddol indo-ewropeaidd'];Teulu ieithyddol
language;['chmereg', 'iaith khmer'];Iaith swyddogol Cambodia
language;['fietnameg', 'tiếng việt', 'annamite', 'iaith fietnameg'];Iaith Fietnam
language;['hawäieg', 'hawaieg', 'hawaiieg', 'hawäiieg', 'iaith hawaii'];Iaith bolynesaidd, iaith cyd-swyddogol y dalaith americanaidd Hawaii
language;['latfieg', 'lv', 'iaith latfieg', 'latfeg', 'iaith latfia', 'latfia', 'lettish'];Iaith Baltig, swyddogol yn Latfia a'r Undeb Ewropeaidd
legal-possession-entity;['ystad', 'stâd', 'erw', 'ystad glanio', 'berchennog glanio', 'demên', 'eiddo tiriog', 'parth ffiwdal', 'stad wledig'];ardal sy’n cynnwys adeiladau a thiroedd helaeth
locative-role;['weald', 'weald uchel', 'high weald', 'low weald', 'weald isel', 'weald sussex', 'y weald'];ardal yn Ne-ddwyrain Lloegr
locative-role;['fflorens', 'firenze'];Tref yn yr Eidal
locative-role;['kaunas', 'cawnas', 'kovna', 'kovno'];Y ddinas ail-fwyaf yn Lithwania
locative-role;['mecca', 'meca'];Saudi Arabia Dinas a phrifddinas talaith blentyndod
locative-role;['reading', 'reading, berkshire'];Tref yn Berkshire, Lloegr
locative-role;['mayenne'];Département Ffrainc
locative-role;['llydaw', 'bretagne', 'breizh', 'rhanbarth llydaw', 'breiz'];Gwlad yn Ewrop
locative-role;['lerpwl', 'liverpool', 'llynlleifiad'];Dinas yng Nglannau Merswy, Lloegr
locative-role;['safle bws', 'arosfannau bws', 'arosfannau bysiau'];Lle dynodedig lle mae bysiau'n stopio i deithwyr fynd neu adael
locative-role;['newcastle upon tyne', 'newcastle-upon-tyne', 'newcastle'];Dinas yn Lloegr
locative-role;['auvergne'];Ardal weinyddol yn Ocsitania a Ffrainc
locative-role;['andalucía', 'andalucia', 'andalusia', 'andalwsia'];Un o gymunedau ymreolaethol Sbaen
locative-role;['limousin'];Cyn ardal weinyddol yn Ocsitania a Ffrainc
locative-role;['sheffield'];dinas yn Ne Swydd Efrog
locative-role;['stratford-upon-avon', 'stratford-on-avon'];Tref yng Nghorllewin-Canolbarth Lloegr
locative-role;['sachsen', 'saxony', 'freistaat sachsen', 'sacsoni'];Un o daleithiau'r Almaen heddiw
locative-role;['martinique', 'martiniciaid'];Département Ffrainc
locative-role;['sgwâr', 'sgwâr cyhoeddus', 'sgwâr y ddinas', 'sgwâr y dref'];Man gyhoeddus agored
locative-role;['bari'];dinas yn yr Eidal
locative-role;['aqaba', 'acaba', "al-'aqabah", 'akaba', 'al aqabah'];Dinas Gwlad Iorddonen
locative-role;['valparaíso', 'valparaiso'];dinas yn Tsile
locative-role;['gwaith haearn', 'felin haearn', 'haearn', 'siderurgy'];safle lle mae haearn yn cael ei doddi
locative-role;['man geni', 'geni'];Lle ganed person
locative-role;["l'aquila", 'aquila degli abruzzi'];dinas yn yr Eidal
non-agentive-physical-object;['carthffosiaeth', 'carthffos', 'ceuffos'];system carthffosiaeth i drosglwyddo a gwaredu gwastraff dynol
non-agentive-physical-object;['patrwm', 'patrwm geometrig', 'phatrymau geometrig'];Rheoleidd-dra amlwg yn y byd neu mewn dyluniad o waith dyn
non-agentive-physical-object;['grisiau pysgod', 'ysgol bysgod', 'pas pysgod', 'llwybr pysgod', 'ysgol pysgod', 'ysgolion pysgod'];Strwythur i alluogi pysgod a rhywogaethau eraill i deithio ar hyd afon lle ceir rhwystrau naturiol neu artiffisial yn eu ffordd
non-agentive-physical-object;['crys polo', 'crys chwaraeon', 'crys golff', 'crysau polo'];crys llewys byr ar gyfer chwaraeon, hamdden a gwaith
non-physical-collection;['syniad'];Gwybodaeth elfennol
non-physical-collection;['pensaernïaeth normanaidd', 'pensaerniaeth normanaidd', 'norman pensaernïaeth'];Arddull pensaernïol
non-physical-collection;['pensaernïaeth gothig', 'pensaerniaeth gothig', 'bensaernïaeth gothig', 'arddull gothig', 'eglwysi cadeiriol gothig', 'gothig'];Arddull pensaernïol canoloesol
non-physical-collection;['pensaernïaeth duduraidd', 'pensaerniaeth duduraidd', 'bensaernïaeth arddull duduraidd', 'tudor pensaernïaeth'];Arddull pensaernïol oes y Tuduriaid
non-physical-collection;['pensaernïaeth glasurol', 'pensaernaieth glasurol', 'pensaerniaeth clasurol', 'pensaernïaeth clasurol', 'bensaernïaeth glasurol', 'groeg-rufeinig pensaernïaeth'];Arddull pensaernïol
non-physical-collection;['naturiolaeth', 'naturiolaeth athronyddol', 'naturiolaeth methodolegol'];Yr athroniaeth mai rheolau naturiol sy'n rheoli'r bydysawd
non-physical-collection;['siartiaeth', 'mudiad y siartwyr', 'siartwyr', 'siartaeth', 'siartwr', 'y siartwyr', 'gwrthryfel y siartwyr'];idioleg
non-physical-place;['bedd', 'beddrod', 'angladdol', 'beddrodau', 'gravesite'];man claddu corff marw
organized-collection;['llyfrgell gyhoeddus', 'llyfrgelloedd cyhoeddus'];Llyfrgell sydd ar agor i'r cyhoedd
organized-collective;['grŵp', 'grwpiau cymdeithasol', 'grŵp cymdeithasol', 'grŵp gymdeithasol', 'grw p cymdeithasol'];Cymdeithaseg
parametrized-collection;['fersiwn, rhifyn neu gyfieithiad'];(defnyddir gyda P31, enghraifft o'r canlynol)
phenomenon;['hangeul', 'hangul', 'alffabet coreaidd', 'chosongul', "chosŏn'gŭl", 'tsiòson-gwl'];Alffabet Coreaidd
phenomenon;['deurywioldeb', 'deurywiol', 'deurywiolion', 'bi-rywiol'];Atyniad rhywiol a / neu rhamantus i bobl o'r ddau yr un rhyw a rhyw eraill
phenomenon;['heneiddio', 'broses heneiddio', 'dauddegau', 'nonagenarian', 'octogenarian', 'senescence', 'senescence cellog', 'senescent', 'septuagenarian', 'thirtysomething'];Y broses o fynd yn hen
phenomenon;['bywyd', 'yr 7 nodweddion o pethau byw'];Mater sy'n gallu echdynnu ynni o'r amgylchedd i'w ddyblygu
phenomenon;['nwy', 'cyflwr nwyol', 'nwyol', 'nwyon'];Un o dair cyflwr clasurol mater
physical-body;['ïon hydrogen', 'ïonau hydrogen'];Tudalen wahaniaethu Wikimedia
physical-body;['bydysawd', 'y bydysawd', 'macrocosm', 'byd', 'byd ffisegol', 'cosmos', 'universes'];Cyfanswm y gofod a'r holl gynnwys
physical-body;['y ddaear', 'byd', 'daear', 'ddaear', 'y byd', 'age of the earth'];Y drydedd blaned o''r Haul yng Nghysawd yr Haul
physical-body;['ewropa', 'europa'];un o leuadau'r blaned Iau
physical-object;['gwarbac', 'backpack', 'cefn', 'haversack', 'sach deithio', 'bagiau cefn', 'packsack', 'yn ôl pecyn'];Bag i cario rhywbeth ar eich cefn
physical-object;['bar llorweddol', 'bar sengl', 'bar gymnasteg', 'bar uchel'];bar gymnasteg sengl
physical-object;['caregl', 'cwpan cymun', 'gobled'];cwpan a ddefnyddir mewn seremonïau crefyddol
physical-object;['llong fasnach', 'llong fasnachol', 'lori', 'merchantman'];Llong y gellir ei hurio
physical-object;['campfa', 'gymnasiwm', 'neuadd ymarfer corff', 'y gampfa', 'campfeydd', 'gampfa'];lleoliad, ystafell ar gyfer ymarfer corff
physical-object;['tŵr llundain', 'twr llundain'];Castell yn Llundain
physical-object;['lyra', 'telyn gron', 'liră', 'lire', 'lyres'];Offeryn cerddorol
physical-object;['ceffyl pwmel', 'ceffyl gymnasteg', 'ceffyl ochr', 'pommel ceffyl'];cyfarpar a champ gymnasteg i ddynion
physical-object;['ffermdy'];Prif dŷ fferm
physical-object;['doorjamb', 'doorpost', 'jamb drws', 'ystlysbyst'];tudalen wahaniaethu Wikimedia
physical-object;['castell', 'caer', 'cestyll', 'castell canoloesol', 'château-gaer', 'gastell canoloesol'];math o strwythur caerog a adeiladwyd gan uchelwyr yn Ewrop, Asia a'r Dwyrain Canol yn ystod yr Oesoedd Canol
physical-object;['bobsled', 'bobsledder', 'bobsledding', 'bobsleigh'];Chwaraeon gaeaf, lle mae timau o ddau neu bedwar yn llithro lawr trac iâ cul ar gar llusg
physical-object;['cored', 'gored'];Rhwystr ar draws afon er mwyn rheoli ond nid ataf, llif y dwr
physical-object;['sither', 'zither', 'sidder', 'zithern'];Offeryn cerddorol, tannau, dwyrain Ewrop a'r Almaen
physical-object;['pin cau', 'pin diogelwch', 'pin clo', 'safety pin', 'diogelwch pin'];pin i ddal defnydd neu ddillad at ei gilydd
physical-object;['siwtces', 'ces dillad', 'cês dillad', 'gês', 'teithio bag'];Math o bagiau
physical-object;['cwt nissen', 'nissen cwt', 'cwt quonset', 'quonset cwt'];math o adeilad parod
physical-object;['amddifad', 'plentyn amddifad', 'amddifad rhyfel', 'plant amddifad'];plentyn heb rieni
physical-object;['luge'];Chwaraeon gaeaf, lle mae unigolyn neu tîm o ddau yn llithro, traed-gyntaf, lawr trac iâ cul ar gar llusg
physical-object;['telesgop gregoraidd', 'adlewyrchydd cassegrain', 'cassegrainian telesgop', 'gregoraidd telesgop', 'telesgop cassegrain'];Math o delesgop
physical-object;['llong gargo', 'llong cargo', 'llongau cargo', 'llongau masnach'];Llong a wnaed yn arbennig i gario llwythi a defnyddiau o un porthladd i''r llall
physical-object;['stwffwl', 'stapl', 'staplen', 'stêpl'];Dyfais ar gfyer cyfuno gwahanol ddarnau o bapur, pren neu gardfwrdd, neu, garreg
physical-object;['crys polo', 'crys chwaraeon', 'crys golff', 'crysau polo'];crys llewys byr ar gyfer chwaraeon, hamdden a gwaith
physical-object;['obo', 'hautbois', 'hautboy'];offeryn cerdd chwythbren
physical-object;['dwfe', 'duvet', 'carthen blu', 'comforter', 'continental quilt', 'cwilt cyfandurol', 'doona', 'gyfandirol cwilt'];Gwasarn, math o garthen
physical-object;['telyn', 'telynor', 'y delyn', 'telynau'];Offeryn cerdd cenedlaethol Cymru
physical-object;['pont humber'];Pont ar Afon Humber, Gogledd-ddwyrain Lloegr
physical-object;['pin bawd', 'pìn bawd', 'pin bys a bawd', 'tac', 'thumbtack', 'dynnu pin', 'pushpin', 'thumbtacks'];Teclyn fel hoelen bychan i ddal deunydd i fwrdd meddal
physical-object;['prifysgol rhydychen'];Prifysgol yn Rhydychen, Lloegr
physical-object;['clip papur', 'clipyn papur', 'clip drysor'];Dyfais metal i ddal papur at ei gilydd
physical-object;['pladur', 'bladur'];Erfyn amaethyddol a ddefnyddir am ladd gwair a medi cnydau
physical-object;['thermomedr', 'tymeriadur', 'synhwyrydd tymheredd', 'thermomedrau'];Sut mae thermomedr yn ei weithio?
physical-object;['eglwys', 'bangeibr', 'llan', 'adeilad eglwys', 'adeilad yr eglwys'];Addoldy Cristnogol
physical-object;['barrau cyfochrog', 'barrau cyflin', 'barrau cyflun', 'barrau paralel', 'bariau'];camp mewn gymnasteg
physical-object;['siopau cadwyn', 'siop gadwyn', 'siop gadwen', 'cadwyni bwyty'];nifer o siopau cysylltiedig dan ambarel un cwmni
physical-object;['trawst', 'trawst cydbwysedd', 'trawst gymnasteg', 'y trawst'];camp a cyfarpar gymnasteg
physical-object;['bagiau'];Câs neu gynhwysydd ar gyfer storio eitemau teithwyr
physical-object;['neddyf', 'fwyell gam', 'adze', 'adz', 'adzes'];Offeryn awch hynafol
physical-object;['haearn gwrymiog', 'haearn rhychog', 'haearn rhychiog', 'haearn rhychiog galfanedig', 'metel rhychiog'];math o ddefnydd adeiladu
plan;['regimen'];Tudalen wahaniaethu Wikimedia
political-geographic-object;['fflorens', 'firenze'];Tref yn yr Eidal
political-geographic-object;['kaunas', 'cawnas', 'kovna', 'kovno'];Y ddinas ail-fwyaf yn Lithwania
political-geographic-object;['mecca', 'meca'];Saudi Arabia Dinas a phrifddinas talaith blentyndod
political-geographic-object;['reading', 'reading, berkshire'];Tref yn Berkshire, Lloegr
political-geographic-object;['antigwa a barbiwda', 'antigwa a barbuda', 'antigua a barbuda', 'antiga a barbwda', 'antigua and barbuda'];gwlad ym Môr y Caribî
political-geographic-object;['gogledd swydd efrog', 'gogledd efrog', 'north yorkshire', 'swydd gogledd efrog'];Swydd seremonïol yn Lloegr
political-geographic-object;['berkshire', 'swydd berks', 'swydd berkshire'];swydd serimonïol yn Lloegr
political-geographic-object;['lloegr', 'loegr', 'seisnig'];Gwlad yng ngogledd Ewrop
political-geographic-object;['cernyw', 'cornwall', 'cornwall council', 'nghernyw'];Gwlad a Sir Seremoniol
political-geographic-object;['y deyrnas unedig', 'teyrnas unedig prydain fawr a gogledd iwerddon', 'y deyrnas unigol', 'prydain fawr', 'y du', 'du', 'prydain', 'd.u.', 'dg', 'gwledydd prydain', 'teyrnas gyfunol', 'teyrnas gyfunol prydain fawr a gogledd iwerddon', 'teyrnas unedig', 'y dg', 'deyrnas gyfunol', 'deyrnas unedig', 'prydain fawr a gogledd iwerddon', 'teyrnas undedig prydain fawr a gogledd iwerddon', 'united kingdom', 'united kingdom of great britain and northern ireland', 'y deyrnas gyfun', 'y deyrnas gyfunol'];Gwladwriaeth sofran yn Ewrop
political-geographic-object;['sawdi arabia', 'saudi arabia', 'sawdi-arabia', 'teyrnas sawdi arabia', 'arabia sawdïaidd', 'saudi', 'teyrnas saudi arabia'];Gwlad yn Asia
political-geographic-object;['lerpwl', 'liverpool', 'llynlleifiad'];Dinas yng Nglannau Merswy, Lloegr
political-geographic-object;['swydd gaerlŷr', 'leicestershire'];swydd serimonïol yn Lloegr
political-geographic-object;['gorllewin swydd efrog', 'gorllewin efrog', 'swydd gorllewin efrog', 'west yorkshire'];Sir fetropolitaidd a swydd seremonïol yn Lloegr
political-geographic-object;['new jersey', 'jersey newydd', 'nj', 'wladwriaeth ardd'];talaith yn Unol Daleithiau America
political-geographic-object;['illinois', 'il', 'land of lincoln', 'paith y wladwriaeth'];talaith yn Unol Daleithiau America
political-geographic-object;['minnesota', 'north star wladwriaeth', 'wladwriaeth gopher'];talaith yn Unol Daleithiau America
political-geographic-object;['missouri', 'dangos me wladwriaeth'];talaith yn Unol Daleithiau America
political-geographic-object;['michigan', 'great lakes wladwriaeth', 'rhanbarth great lakes', 'wolverine wladwriaeth'];talaith yn Unol Daleithiau America
political-geographic-object;['nebraska', 'cornhusker wladwriaeth'];talaith yn Unol Daleithiau America
political-geographic-object;['gwlad belg', 'belg', 'belgium', 'wlad belg', 'belgique', 'teyrnas gwlad belg'];Wlad yn Ewrop
political-geographic-object;['umbria', 'wmbria'];rhanbarth yr Eidal
political-geographic-object;['abruzzo', 'abruzzi', 'abruzzi e molise'];rhanbarth yr Eidal
political-geographic-object;['connecticut', 'cyfansoddiad y wladwriaeth', 'nytmeg wladwriaeth'];talaith yn Unol Daleithiau America
political-geographic-object;['sichuan', 'szechuan', 'szechwan', 'szechwan talaith'];talaith Tsieina
political-geographic-object;['newcastle upon tyne', 'newcastle-upon-tyne', 'newcastle'];Dinas yn Lloegr
political-geographic-object;['gansu', 'gansu talaith', 'kansu'];talaith Tsieina
political-geographic-object;['yunnan', 'yunnan dalaith'];talaith Tsieina
political-geographic-object;['toscana', 'tuscany', 'twscani', 'twsgani', 'tysgani'];rhanbarth yr Eidal
political-geographic-object;['friuli-venezia giulia'];rhanbarth yr Eidal
political-geographic-object;['puglia', 'apulia'];rhanbarth yr Eidal
political-geographic-object;['lombardia', 'lombardi', 'lombardy'];rhanbarth yr Eidal
political-geographic-object;['emilia-romagna'];rhanbarth yr Eidal
political-geographic-object;['trentino-alto adige', 'de tirol', 'südtirol', 'trentino-alto adige/südtirol'];rhanbarth yr Eidal
political-geographic-object;['veneto', 'feneto', 'rhanbarth veneto', 'venezia-euganea'];rhanbarth yr Eidal
political-geographic-object;['catalwnia', 'catalonia', 'catalunya', 'catalonha', 'cataluña'];Gwladwriaeth a gyhoeddodd ei hannibyniaeth
political-geographic-object;['basilicata', 'lucania'];rhanbarth yr Eidal
political-geographic-object;['molise'];rhanbarth yr Eidal
political-geographic-object;['apartheid'];System gwahanu hil a orfodir trwy ddeddfwriaeth yn Ne Affrica
political-geographic-object;['hwngari', 'hungary', 'hwngaria', 'gweriniaeth hwngari', 'magyarorszag'];gweriniaeth yng nghanol Ewrop
political-geographic-object;['gwlad pwyl', 'pwyl', 'gwlad pŵyl', 'poland', 'pwyldir', 'gweriniaeth gwlad pwyl', 'polska'];gweriniaeth a gwlad sofran yng nghanol Ewrop
political-geographic-object;['gini', 'guinée', 'guinea', 'guiné', 'guinéa', 'gwini', 'ffrangeg guinea', 'gweriniaeth gini'];gwlad yn Affrica
political-geographic-object;['fietnam', 'fiet nam', 'viet nam', 'fiet-nam', 'gweriniaeth sosialaidd fietnam', 'vietnam', 'annam', 'gweriniaeth sosialaidd o fietnam'];Gwlad yn ne-ddwyrain Asia
