abstract-region;['taran'];Taran Xisaab ahaan waa natiijada Iskudhufasho laba walxoox.
functional-matter;['hangul'];Alifbeetada Kuuriya sidoo kale Koonfurta Kuuriya looga yaqaan Hangul, Waqooyiga Kuuriya iyo shiinaha neh looga yaqaan Chosŏn'gŭl / Chosŏn Muntcha, waa alifbeeto loo isticmaalo in lagu qoro afka Kuuriyaanka ah tan iyo Boqorkii Sejong qarnigii 15aad.Waa habka rasmiga ah ee kuunfurta iyo woqooyiga kuuriya wax loogu qoro.
functional-matter;['bun', 'qahwe', 'koffee', 'koofi', 'qaxwe'];Kani waa maqaal ku saabsan Bunka.
functional-matter;['jermaaniyaam', 'г', 'ge', 'germanium'];Jermaaniyaam
functional-matter;['dhuxul'];Dhuxul
functional-matter;['bur', 'daqiiq'];Kani waa bog ku saabsan daqiiqda.
functional-matter;['tamaashiir'];Tamaashiir
functional-matter;['yoghurt', 'yogurt'];Yogurt waa cunto fudud oo laga diyaariyo caano garoor, khamiir, bakteeriya iyo midho la isku dhex qasay. taasi oo laga cuno dhamaan deegaanada caalamka.
functional-matter;['shidaal'];Shidaal
functional-matter;['kober', 'cu', 'copper'];Kober
functional-matter;['hambeegar'];Hambeegar waxaa laga sameeyay, Hilib shiidan iyo roodhi wareegan.
functional-matter;['nafto'];Nafto waa dareere loo adeegsado makiinadaha ku shaqeeya naftada, sida baabuurta, Matoorada Korontoda iyo Maraakiibta qaarkood.
functional-matter;['casho', 'casho labaad'];Kani waa maqaal ku saabsan nooc ka mid ah cuntada.
functional-matter;['khamro', 'khamri'];Khamri waa wax ee gaalada cabaan.
functional-matter;['ciid'];Ciid ama carro waa dhagax aad u yar yar oo laga helo dhulka dabiiciga ah waxay ka timid dhagaxaan iyo macdan kala furfurmay, ama dhadhaab iyo macdanta isku qasan oo aad u yar.
functional-matter;['sirkooniyaam', 'zr', 'zirconium'];Sirkooniyaam
functional-matter;['qado', 'qado labaad'];Kani waa maqaal ku saabsan nooc ka mid ah cuntada.
functional-matter;['kaasiyaam', 'cs', 'caesium'];Kaasiyaam
functional-matter;['nuurad'];Nuurad
functional-matter;['xaniid', 'xaniiid'];Kani waa maqaal ku saabsan nooc ka mid ah cuntada.
functional-matter;['waslad'];Kani waa maqaal ku saabsan nooc ka mid ah cuntada.
functional-matter;['sukhaar', 'suqaar'];Kani waa maqaal ku saabsan nooc ka mid ah hilibka cuntada.
functional-matter;['kaasiyaam', 'cs', 'caesium'];Kaasiyaam
functional-matter;['naxaas', 'ag', 'silver'];Naxaas
functional-matter;['malab'];Malab waa cunto macaan oo Shinida ka sameeso biyaha Sonkorta leh oo lagu magacaabo Nektar, waxaa dhalo Ubaxa.
functional-matter;['sharoobo'];Sharoobo
functional-matter;['sonkor'];Sokor waa dareere laga miiray geedka qasabka ka dib la qalajiyay oo la jejebiyay.
functional-matter;['caano'];= Caano =
functional-matter;['niikotiin'];Niikotiin waa shay Kimikal ah oo sun ah waxaa laga helaa dhamaan waxyabaha Tobakada ha
functional-matter;['uunsi'];waxaanu u baahanahay dareraha xabagta geedka maraaga magaca Saynis: Boswellia Carterii, waa xabag ama caano geed, qayb ka mida luubaanta ayaa la calaaliliyaa guryahana waa lagu uunsiyaa iyadoo leh caraf heer sare ah, waxaa kaloo loo adeegsadaa daawo dhaqameedka, Luubanta waxaa aad loogu yaqaanaa dhaqanka Soomaaliyeed iyo kuwa carabta.
functional-matter;['subag'];Subag waa dareere huruud ah oo caanaha xoolaha laga sameeyo.
functional-matter;['barandho', 'bataato', 'solanum tuberosum', 'barandhe'];Ka timid Wikipedia, Insaykalabeedhiyaha Xorta ah
functional-matter;['baraf'];Baraf waa biyo qaboobay, oo dhagax noqday.
functional-matter;['saxaro', 'digo'];Saxaro sidoo kale loo yaqaano Xaar waa qashinka ka soo baxa dadka, xoolaha iyo gebi ahaanba xayawaanka noocyadiisa kala duwan.
functional-matter;['cabitaan'];Cabitaan waa dareere dhadhan macaan, dhanaan, qadhaadh ama dhexdhexaad ah leh oo qabow ama kulul oo dadku cabaan.
functional-matter;['fiitamiin'];Fiitamiin
functional-matter;['xawaash'];Xawaash, Xawaaji waa midho, khudaar, xidido, caleemo iyo xubno kale oo dhirta ka mid ah taasi oo lagu darsado cuntada si ay dhadhan iyo caraf ugu sameeyso.
functional-matter;['benseliin'];Benseliin Af Ingiriisi Waamid kamida dawooyinka ladagaalma Bakteeriyada waana tan ugu qadiimsan noocii ugu horeeyay ee lahelayna waxa uu ahaa nooca looyaqaano Penicillin G‏.
functional-matter;['digir'];Kani waa maqaal ku saabsan digirta.
functional-matter;['nafaqo'];Bogani wuxuu ka hadlayaa guud ahaan nafaqada.
functional-matter;['fiitamiin'];Fiitamiin
functional-matter;['malmal'];Malmal, Mal mal.
functional-matter;['malmal'];Malmal, Mal mal.
functional-matter;['firiley', 'firi'];Kani waa maqaal ku saabsan guud ahaan midhaha firida.
functional-matter;['soor', 'shuuro'];Soor, Shuuro waa nooc ka mid ah cuntoda taasi oo laga diyaariyo galley la jajabiyey ka dibna la kariyey.
functional-matter;['sabiib'];Kani waa bog ku saabsan sabiibka.
functional-matter;['khudaar'];Khudaar waa midho ka baxa dhirta kuwaas oo lagu darsado cuntada.
functional-matter;['bur', 'daqiiq'];Kani waa bog ku saabsan daqiiqda.
functional-matter;['sigaar'];Sigaar Sigaar waa buuri ku duuban warqad khafiif ah kaas oo la cabo qiiqiisa.
functional-matter;['suugo'];Kani waa maqaal ku saabsan nooc ka mid ah cuntada.
functional-matter;['rooti', 'roodhi'];Rooti waa Cunto, oo laga sameeyay Bur iyo Biyo la isku qasay.
functional-matter;['saladh'];Ansalaato' sidoo kale loo yaqaano Salar waa miro ka mid ah khudaarta taas oo ka baxda dhirta oo lagu darsado cuntada.
functional-matter;['cadaad', 'acacia senegal'];Cadaad waa geed yar oo qodxo leh, geedkaan caleentiisa waxoo labada dhinac ku leeyahay caleemo badan oo qaliir ah.Ubaxiisa neh waa jaalo ama kalar isku dhaxqas ah.Miraha oo dhalo waxee u ehyihiin sida cambuulada waxee ku jiraan qolof dheer.Geedkaan waxoo ka baxaa Afrika iyo Aasiya.
functional-matter;['jalaato'];Jalaato waa cunto fudud taasi oo ka samaysan iskdhaf la qaboojiyay.
functional-matter;['calooleey'];Calooleey waa cunto la cuno.
functional-matter;['maraq', 'faxfax'];Kani waa maqaal ku saabsan maraqa.
functional-matter;['chocolate', 'shukulaato'];Shukulaato waa macmacaan laga sameeyay miraha la dubay ee kakawga.
functional-matter;['dhagax'];Dhagax waa adke ka sameeysan macdan badan oo is-heeysata.
functional-matter;['caano'];= Caano =
functional-matter;['ukun'];Ukun waa wax Shimbiraha dhalaan, Ukunta wee wareegantahay, dhaxda neh waxaa uuga jiro wax jaale ah.
functional-matter;['makaroone', 'baasto makarone', 'makarone'];Kani waa maqaal ku saabsan nooc ka mid ah cuntada.
functional-matter;['dabocase', 'baytaraaf', 'beytaraaf', 'dabacase'];Kani waa maqaal ku saabsan geedka iyo midhaha dabacasaha.
functional-matter;['baasto', 'pasta'];Kani waa maqaal ku saabsan nooc ka mid ah cuntada.
functional-matter;['cudbi', 'suuf'];Cudbi
functional-matter;['daango'];Daango waa Galey la dubay.
functional-matter;['macdan'];Kani waa maqaal ku saabsan macdanta guud ahaan.
functional-matter;['dhar'];Dhar waa shay dabacsan oo ka samaysan dun la xardhay.
functional-matter;['qureec', 'quraac'];Kani waa maqaal ku saabsan nooc ka mid ah cuntada.
functional-matter;['hilib', 'jiidh'];Hilib waa jiidhka xayawaanka kaasi oo dadku u quutaan cunto ahaan.
functional-matter;['alwaax'];Alwaax waa gobol, qeyb iyo waaxyo laga soo jaro jirida iyo qeybo kale oo dhirta ka mid ah.
functional-matter;['baraf'];Baraf waa biyo qaboobay, oo dhagax noqday.
functional-matter;['faasuliyad', 'digirta cad'];Kani waa maqaal ku saabsan faasuliyada.
genetic-collective;['dadka cad'];Kani waa maqaal ku saabsan guud ahaan dad cad.
genetic-collective;['qoys'];Qoys waa dad ka kooban dhowr qof, ugu yaraan labo qof, kuwaas oo hal aqal wada degan.
geographical-object;['pangea'];Pangea waa magac waxaa laga wadaa aduunka oo dhan.
geographical-object;['ameerikada koonfureed', 'koonfur ameerika', 'koonfurta ameerika', 'latin amerika'];Boga "Latin Amerika" halkan ayaa laga soo toosiyay.
geographical-object;['bad', 'badda'];Kani waa maqaal ku saabsan guud ahaan biyaha badaha.
geographical-object;['taywan', 'taywaan'];Taywan ama markeeda hore ladhihi jiray Formosa waa Jasiirad weyn oo ku taalo koonfurta bari ee biyaha dalka shiinaha.
geographical-object;['jasiiradaha feroe'];Jasiiradaha Feroe waxee ku yaalaan Waqooyiga Badweynta Atlaantik.
geographical-object;['jasiirada marshall', 'marshall islands'];Jasiirada Marshall ama Jamhuuriyadda jasiirada Marshall waa wadan jasiirado ah oo ku yaalo Badweynta Baasifik dhinaca qaarada Ooshiyaaniya.
geographical-object;['bermuda', 'bermuuda'];Bermuda ingiriisiga waa jasiirado ku taalo Badweynta Atlaantik, waxeyna ka tirsanyihiin dalka Ingriiska.
geographical-object;['nederlaan antiilis'];Nederlaan Antiilis
geographical-object;['jasiirad', 'gasiirad'];Jasiirad, Gasiirad waa dhul ka go'an qaarad, waxaana ku wareegan biyaha badda.
geographical-object;['badweyn', 'badda', 'badweynta atlantika', 'badweynta baasifig', 'badweynta hindiya', 'badweynta koonfured'];Badweyn waa biyo dhanaan oo aad u baaxad wayn isla markaana qariya 2/3 oogada dhulka.
geographical-object;['ooshiyaaniya'];Ustareliya
geographical-object;['bada qaswiin', 'bada qazwiin/caspian'];Qaswiin waa bad xiran oo ku taala galbeedka Aasiya, baaxadeedu leegtahay 371,000 km2 waana bada ugu baaxada wayn badaha xiran, dhirirkeedu ugu badan waa 1,030 km ballarkuna waa 435 km waxay ugu qoto dheertahay 1,025 m, waxaa bada qaswiin kulaala shan wadan oo kala ah Ruushka, iiraan, Kasakhstan, Turkmenistan iyo Aserbiijaan.
geographical-object;['webiga mississipi', 'webiga mississippi'];Kani waa maqaal ku saabsan webiga Mississipi ee dhexmara Minnesota, Maraykanka.
geographical-object;['gacanka caqaba'];Gacanka Caqaba waa laan kabaxada Bada cas waxa uu kuyaala Bariga jasiira Siinaawaxa uu kulmiyaa wadamada Masar, Israaiil, Sacuudi Carabiya iyo Urdun.waa mandaqad aad ugu fiican dalxiiska waxa ku yaala xeebo aad u gu fiican dhanka dalxiiska
geographical-object;['bada carbeed', 'bada carabeed'];Bada Carbeed waa magac loo bixiyay biyaha Bariga Dhexe oo ka mid ah Badweynta Hindiya.
geographical-object;['siinaa'];Siinaa waa jasiirad yar oo isku xirto Afrika iyo aasiya.
geographical-object;['anatooliya'];Anatooliya waa dalka Turkiga qaybta ku taalo qaarada Aasiya.
geographical-object;['bada baldiiqa'];Isuduwe 58°N 20°E
geographical-object;['gacanka faarsiga', 'gacanka carbeed'];Gacanka Faarsiga ama Gacanka carbeed waxaa la dhahaa biyaha u dhaxeeyo dalka Iiraan iyo Jasiirad Dhuleedka Carabta.
geographical-object;['rainforest'];Keynta Rainforest waa keymo baaxad balaadhan leh oo geedo badan iyo cows badan leh, kuwaas oo si dabiici ah uga baxa meelo badan oo Koonfur Ameerika, Afrika, Aasiya iyo Ustaraaliya.
geographical-object;['wabiga nijer', 'niger'];Wabiga Nijer waa wabiga ugu dheer galbeedka Afrika.
geographical-object;['badda karabiya', 'bada kaariibiyaanka', 'bada kaaribiyaanka'];Bada Kaarabiya waa bad ku taalo Badweynta Atlaantik.
geographical-object;['kuuriya', 'kuuriyada koonfureed', 'korea'];Kuuriya waa gobol ku yaal bariga Aasiya ka kooban Jasiiradda Kuuriya, Jasiiradda Jeju, iyo dhowr jasiiradood oo yaryar oo u dhow Jasiiradda.
geographical-object;['tigris'];Tigris
geographical-object;['antarktika', 'antiarktis', 'qaarada antarktika'];Kani waa maqaal ku saabsan qaarada Antarktika.
geographical-object;['bannaan'];Banaan Juqraafi ahaan waa dhul bedeed ballaaran ee hooseeya fitsan si guud ahaan aan dhaafi karin 200 mitir.
geographical-object;['badweynta arktik', 'bada arktik', 'bada waqooyi', 'badweynta arktika'];Kani waa maqaal ku saabsan badweynta Arktik.
geographical-object;['badweynta atlaantik', 'badweeynta atlaantik', 'badweynta atlantika'];Badweynta Atlantika waa biyo dhanaan oo aad u baaxad wayn isla markaana qariya 20% oogada biyaha dhulka.
geographical-object;['ooraasiya'];Template:Infobox Continent Oaraasiya waa cuf dhuleed cabirkiisu yahay 54,000,000 kilo mitir isku wareeg, waana isku darka labada qaarad ee kala ah yurub iyo aasiya, sida ereyga ooraasiya ka muuqataba, Ooraasiya ayaa ku taal qaybta woqooyi ee kubada dhulka, galbeedka fog waxaa ka xiga jasiiradaha ayrlaan iyo bad waynta atlaantiga, bari waxaa ka xiga marin biyoodka biirinji iyo qaar kamida jasiiradaha kaamsha iyo sakhaaliin iyo bad weynta barafka ah ee woqooyi, koonfur waxaa ka xiga jasiiradaha taymoor iyo badwaynta hindiya, oo ka kooban badda cas iyo iyo gacanka carbeed.
geographical-object;['griinland', 'greenland'];Griinland waa jasiirada ugu ween aduunka, waxee ku taalaa Waqooyiga Ameerika.
geographical-object;['harta fiktooriya'];Harta Fiktooriya waa har ka middah harahha ugu waaweyn ee Afrika.
geographical-object;['badweynta baasifik', 'badweeynta baasifik', 'badweynta baasifiga', 'badweynta baasifig'];w:jp:太平洋 w:zh:太平洋 Badweynta Pacific waa badweynta ugu weyn caalamka marka loo eego kuwa kale.
geographical-object;['honshu'];Honshu Honshu
geographical-object;['badweynta koonfured', 'bada koonfureed', 'badweynta antaraktika', 'badweynta antarktika'];Boga "Badweynta Antarktika" halkan ayaa laga soo toosiyay.w:es:Océano Antártico Badweynta Koonfureed, Badweynta Antarktika waa mid ka mid ah shanta badweyn ee aduunka taasi oo dhacda meesha ugu xigta koonfurta dhulka.
geographical-object;['wabiga niil', 'niil'];Wabiga Niil waa wabiga ugu dheer caalamka waxoona dhaxmaraa qaarada Afrika.Wabigaan Dhirirkiisa waxoo gaaraa ilaa 6,650 km,waxa uu u qaybsamaa laba qaybood oo kala ah niilka buluuga ah iyo niilka cad.
gestalt;['labajibaarane'];Jometeriya xisaabta Labajibaarane waxa uu leeyahay qaab laba jibaaran waxa uu leeyahay 4 dhinac iyo afar xaglood oo quman, afarta dhinac kasta waa isla egyihiin.
gestalt;['koor'];Koor waxa ay leedahay afar xagal laba xariiq oo kamid ah waa Barbaroolayaal oo is dhinac socda.
gestalt;['qabaal'];Qabaal ingriis ellipse oo macnaheedu yahay wax kala dhiman, waa salax u eg qaabka Qardhaasta
gestalt;['qardhaas'];Qardhaas Waa mid kamid ah joometeriya afar xagal leh, afartiisa dhinacna ay isla egyihiiin, waxa uuna u egyahay laba saddax-xagal oo kala jeeda oo hal sal ka dhaxeeya
gestalt;['laydi'];Jometeriya xisaabta Laydi waxa uu leeyahay qaab laba jibaaran waxa uu leeyahay 4 dhinac iyo afar xaglood oo quman, Labada dhinac kasta ee iska joo horjeeda waa isla egyihiin, wuuna qilaafsanyahay Barbaroole maxaa yeelay xaglahiisa waa kuwa quman ama Toosan, sidoo kale waxa uu qilaafsanyahay Labajibaarane maxaa yeelay Laydi ga laba dhinac kasta ee iska soo horjeeda waa isla egyihiin.
gestalt;['barbaroole'];Barbaroole ama Qardhaas La mood: Waa afar dhinacle oo labadii dhinac ee iska soo horjeeda ay barbaroole yihiin, saas oo kale labadii dhinac ee iska soo horjeeda waa isku cabir dherer kooda, Xaglahiisa iskubeeganna waa kuwa isla eg, labada xariiq ayaa isjara dhammaan xaglahiisu waa 360°.
gestalt;['sanab', 'sanam'];Sanab
gestalt;['shakaal'];Shakaal waa erey xisaabeed, khadka ugu dheer ee saddax-xagalka,
information-encoding-system;['majaajilo'];Majaajilo waa bandhig faneed iskugu jira qosol, shactiro, madadaalo, sheeko iyo ruwaayadeyn, kaasi oo loogu talogalay in lagu madadaaliyo dad.
information-encoding-system;['gabay', 'gabayada', 'taariikhda gabayada'];Gabay wadar waa Nooc maansada ka mid ah oo leh qaafiyad iyo luuq oo aan muusig loo tumin.
information-object;['rikter cabir'];Waa Halbeeg lagu qiyaaso Dhulgariirka ee kasareeya 4.5
information-object;['farta laatiinka'];Farta laatiinka waa farta ugu weyn oo aduunka laga isticmaalo.
information-object;['astaamayn'];Asto qoraaleed Sida aynu wada ognahay, waxa jira in af soomaaliga uu sii dhimanayo walaw la hirgaliyay astaamayntiisa waxaana u sabab ah qoris la'anta af soomaaliga iyo bahda saxaafadda oo qora waxyaaba qalad ah. waxaa kaloo jira dadkii afkeena maalayay oo aan awood u wada lahayn Afka qorshayntiisa iyo astaamayntiisa.
information-realization;['operating system'];operating system waxaa weeyi group software ah oo maamula dhismaha computerka computer hardware kaasoo u keena adeegyo isku mida prograamada computerka.
information-realization;['software', 'computer software', 'software engineering'];Software waa barnaamijyo dhowr ah oo si wada jir ah u maamula iyo haga aalada Kumbuyuutarka si uu u qabto shaqo cayiman ama mid badan oo isku dhafan asaga oo iskiis isku maamulaya ama qof u soo werinaya.
information-realization;['baahsan'];Wax baahsan waa wax yaabaha ee caadi ah.
information-realization;['maahmaah', 'maah maah'];Maahmaahdu waa hadal murtiyeed.
information-realization;['buug', 'buug.'];Buug wadartiisu waa buugaag, waa walax wax ku qoranyihiin, ama ku daabacanyihiin, ama waxba aysan ku qorneyn, buugu waa weelka aqoonta lagu kaydiyo loona sameeyay in la aqriyo bilow ilaa dhamaad isagoo u samaysan qaab sheeko, taariikh, wax barasho iyo wax walboo loo baahdo in dib loogu noqdo ama dib loo raaco si looga dhigto daliil ama tuse, noocyada buugaagta waxaa ka mida tixraac sida qaamuusyada, iyo aqoonta iskoolada iyo dugsiyada diinta laga barto, oo hadii la waayo ay aqoon badani lumayso, == Qeexida Buug == waa walax ka samaysan xaashiyo daabacan ama cad oo la isku keenay oo ku lagu laabay ama dhexda uga jira labo garbad maqaar ama maro ama walax adag ka samaysan.
information-realization;['qalin'];Qalin waa shey loo adeegsado qorida gaar ahaan ku qorida warqad,
information-realization;['qaamuus'];Qaamuus waa ereyo badan oo la soo ururiyay kuwaasi oo luuqad ku turjumaya luuqad kale.
information-realization;['sanab', 'sanam'];Sanab
information-realization;['hees'];Hees waa ereyo murtiyeeysan oo qof ku dhawaaqayo isla markaana muusig la socdo.
information-realization;['heesta qaranka', 'national anthem'];Heesta Qaranka waa hees loo qaado calan dowladeed.
information-realization;['laxan'];Laxan waa habka iyo nidaamka dhawaqa hees leedahay, taasi oo fanaan ku luuqeeyo.
information-realization;['sawir'];Sawir waa samaynta iyo diiwangelinta muuqaalka qof, shay ama walax taasi oo la isticmaalayo aalad lagu qaado sawiraanta.•
information-realization;['warqad'];Haku khaldin warqad
information-realization;['muusig', 'muusik'];Muusig muusig waxa lato waqtigi laa asasay waa 1395 bishi 4 tatiq 9
information-realization;['hadal'];Hadal waa nooc ka mid ah wada xidhiidhka kaasi oo la isticmaalayo shanqadh iyo dhawaq laga samaynayo afka, kaasi oo micno iyo fahan la isla yaqaano leh.
information-realization;['suugaan', 'buraan-bur', 'geeraar'];suugaantu waa mid kamida tacbiir bixinta insaanka oo ay kamidyihiin caadifad afkaar shafi faisal axmed iyo arimao badan oo isku guda jira suugaantu waxa ay ka koobantahay sida alfaada gabayaada iyo samaynta haysa qorista buugaagta qofka suugaanta ku shaqada leh waxa lagu magacaabaa suugaan yahan == Taariikhda fanka iyo suugaanta. ==
information-realization;['destuur', 'dastuur'];Dastuur waa qaanuunka ama heshiiska ugu sareeya ee xadida haykalada aasaasiga ah ee dawladi leedahay iyo nidaamka xukunka ee xeer u ah shacab ama bulsho nidaam wadaga nidaamkaasi ha ahaado mid jamhuuri ah am mid boqortooyo ah wwaxa kale oo uu dastuurku xadidaa sawirka xukuumada siad jamhuuriyad barlamaani ah am mid raysalwasaare leh dastuurku waashayga qofkasta xaqiisa u damaanad qaada
information-realization;['hypertext'];Sideedaba Hypertext waa habka laisugu xiriiriyo qoraallo, masawirro iyo macluumaad kaleba ayadoo la adeegsanaayo farbooddada waxaa lagu diyaariyaa luqadda Hypertext Markup Language af Soomaali ahaan ah
information-realization;['quraan', "qur'aan", 'al-furqaan', 'al furqaan', 'kitaabka sabuur', "qu'raan", 'quraan kariim', 'quraanka', 'quraanka kariimka', 'quran'];Quraan, Qur'aan, Quraanka Kariimka waa kitaabka Alle ﺍﻟﻠﻪ ku soo dejiyay Nebi Maxamed, kaas oo ku qoran luuqada carabiga.
information-realization;['axdiga cusub'];Cahdiga Cusub waa qaybta labaad ee Baybalka oo ka ka kooban 27 cutub.
information-realization;['towraad', 'kitaabka towraad', 'suxufi muuse', 'towrah'];Towraad Towrah Kitaabka Towraad waa kitaabka diinta Towraad ee Ilaahay ku soo dejiyay Nebi Muuse.
information-realization;['kitaabka quduska', 'kitaabka qudus'];Cusubaha?
information-realization;['afguri'];Afguri ama Lahjad waa af shabaha luqada, waxana badanaa ku hadla dad meel wada dagan sida magaalo ama gobolo.
intentional-collective;['qabyaalad'];Qabyaalad, Qabiileysi ama Qoloqoleysi waa nooc oo ka mid ah midabtakoor.
language;['luqadaha tashaadiga'];Luqadaha Tashaadiga waa luqadaha looga hadlo woqooyiga afrika.
language;['luqadaha kushiitiga', 'kushitik'];Alla aniga hada ayaan ogaaday bal ila ogow adna.in ay Luqadaha Kushiitiga ay yihiin luqadaha looga hadlo wadamada Geeska Afrika ee kala ah, Soomaaliya Kenya, Tansaaniya, Suudaan, Masar iyo itoobiya, Luqada ugu weyn ee kushiitiga waa Af-Oromo ee ku hadlaan dad ka badan 35 miliyan oo qof, waxaana ku xiga afka-Soomaaliga ee ku hadlaan dad lagu qiyaaso in ka badan 30 miliyan oo qof.
language;['luqadaha omotik'];Luqadaha Omotik waa luqado ka mid ah Afroasiyaatik, waxaana looga hadlo koonfur galbeed ee dalka Itoobiya.
language;['luqadaha semitiga'];Luqadaha Semitiga waxaa la dhahaa luqadaha looga hadlo Bariga Dhexe, woqooyiga Afrika iyo Geeska Afrika gaar ahaan Itoobiya.Waxaa ku hadlo dad kabadan 470 miliyan oo qof.
language;['af-iswiidhan'];Af-Iswiidhan waa luqad oo lagagahadlo Iswiidhan iyo Finland.
language;['luuqad', 'af', 'luqad'];Kani waa maqaal ku saabsan luuqadaha dadka guud ahaan.
language;['af-turki'];Af-Turki waa luqad looga hadlo wadamo aad u badan, waxaana ku hadlo dad kor u dhaafaayo 83 miliyan oo qof.Dadka ku hadlo afka turkiga waxee u badanyihiin wadanka Turki iyo Waqooyiga Saybrus \ laqada turkiga waa mid kamida luqadaha turkiga ee looyaqaano in ay yihiin amaba kasoo jeedaan bah luqeedaka looyaqaano Altis intii ka horaysay waxa afka turkiga lagu qorui jiray farta carabiga.waxaana luqadaas u badanaa kalmado kasoo jeeda Faaris iyo carabi.laakiin Jamhuuriyiintii talada lawareegtay ee uu madaxda u ahaa Mustafa Kemal Atatürk, ayaa kadanbeeyay in afka Turkiga lagu qoro farta laatiinka ah ee maanta loo isticmaalo.daadka kuhadla luqada turkiga waxa lagu qiyaasaa ilaa 130 milyan oo qof oo kukal nool in kabadan ilaa 15 wadan.
language;['esberanto', 'af-esperanto', 'esiperaanto', 'esperanto'];shucayb osmaan Ali waa wiil saqajaan ah == Waxbarasho == Internacia Lingvo Kurso - somala lingvo
language;['af-romani'];Af-Romani waa af lagagahadlo Romania,Moldofa,Kanada,Maraykanka,Ruushka,Ukrain,Israaiil,Serbia iyo Hungaria.
language;['af-ingiriisi', 'ingiriis', 'af-ingiriis', 'english'];Axmed Jaamac Cabdi Axmed jaamac cabdi wuxuu ku dhashay magaalada Awbare ee dawlad deegaanka itoobiya Wuxuuna dhashay sanadku markuu ahaa 12/11/1993 Wuxuu waxbarashadiisa ku soo dhamaystay dugsida hoose dhexe ee sheekh xasan nuuriye ee magaalada Awbare iyo dugsiga sare ee dagmada Awbare Wuxuuna soo dhameeyay Jijiga Universaty wuxuu Wuxuuna ku dhashay Dagmada Awbare ee dawlad deegaanka somalida itoobiya Mudane Axmed Jaamac wuxuu ku dhashay magaalada Awbare gobolka Jijiga sanadkii 1993 waxa uu ka bilaabay waxbarashada Quraanka iyo mida hoose.
language;['afrikaans', 'af afrikaanays'];Afrikaans waa luqad Geesiga Jarmalka ah oo laga hadlo Koonfurta Afrika, Namibiya iyo, ilaa xad, Botswana iyo Zimbabwe.
language;['af-laatiin'];Af-Laatiin waa luqad looga hadli jiray wadamada Waayadii hore Giriig iyo talyaaniga, waxaana lagu isticmaali jiray caalamka oo dhan ilaa bartamaha 1800.
language;['fara-ka hadal'];Fara-ka hadal waa luqada ay isticmaalaan dadka dhagoolayaashaa ah.
language;['luqada masaarida'];Luqada Masaarida waa luqad looga hadlo dalka masar, waxeyna ka midtahay Luqadaha Afroasiyaatik.
language;['af-hebrow'];Af-Hebrow Af-Hebrow Waa mid kamida jeeska Luqadaha Semitiga, waana luqad ay adeegsadaan dad gaadhaya ilaa 7 milyan oo qof.Dadka ugu badan ee luqadan ku hadalaa waxa ay ku noolyihiin dawlada Israa'iil.
language;['af-soomaali', 'af soomaali', 'af somaali', 'af-maxaa tiri', 'af maxaatiri', 'luuqada soomaaliga', 'somali language', 'soomaaliga', 'xamraawi'];Af-Soomaali waa luqad Afro-Aasiyatik ah oo ay leedahay laanta Kushiitik.
language;['amxaari', 'axmaari', 'af-amxaari', 'amharic', 'amxaar'];Amxaari waa luqad looga hadlo waqooyiga dhexe ee Itoobiya, waana luqada rasmiga ah ee Dawladda Federaalka ee Itoobiya.
language;['luqada hindo yurub'];Luqada Hindo Yurub waxaa laisku dhahaa 150 luqadood oo 3 biliyan oo qof ku hadasho.
language;['af-faarisi', 'af-faarsi'];Af-Faarsi waa luqad oo lagagahadlo Dalka Iiraan, Sidoo kale waxaa looga hadlaa wadamada kala ah Afgaanistan, Tadsjikistan, Usbekistan, Ciraaq, Bakistaan, Baxrayn iyo Aserbiijaan.
language;['af-sawaaxili', 'sawaaxili', 'kiswahili', 'luqada sawaaxiliga'];Af Sawaaxili, loogu dhawaaqo Kiswahili, waa Luqad Bantu ah, waxayna luqada koowaad u tahay Dadka sawaaxiliga.
language;['af-isbaanish', 'isbanish'];Isbaanash-ku waa luqad loogahadlo wadanka Isbayn iyo wadamo badan oo ku yaala Ameerikada Hoose.
language;['carabi', 'af-carabi', 'af carabi', 'luuqada carabiga'];Luqada Carabiga waa luqad ay ku hadlaan in kabadan 422 Milyan oo Qof, Waxanay leedahay Lahjado badan, waana mid kamida luqadaha caalamka ugu,shacbiyada badan luqada carabiga waxa sigaar ah u adeegsada dadka islaamka ah waayo waxa kusoo dagay Qur'aanka kariimka ah.
language;['af-ruush'];Af-Ruush, waa afka Dawladda Ruushka.
language;['af-jarmal'];Af-Jarmal waa afka lagagahadlo dalka Jarmalka.
language;['af-holandees', 'nederlands'];Nederlands Waa luqada lagaga hadlo wadanka Holland waana mid kamida caa'ilada luqadeeda looyaqaano,Luqadaha Jermanik Waxa ay gaadhayaan dadka kuhadla luqada Nederlandka ilaa 22 milyan oo qof oo u adeegsada luqad hooyo ahaan.
legal-possession-entity;['canshuurta'];Canshuurta wa lacagta la siiyo dowladda.
legal-possession-entity;['hanti maguurto'];Hantida maguurtada ah waa dhulka, Beeraha iyo Guryaha.
locative-role;['orlando', 'orlando, florida'];Kani waa maqaal ku saabsan caasimada Orlando, Florida, Maraykanka.
locative-role;['nanjing'];Nanjing waa caasimada gobolka Jiangsu ee wadanka Shiinaha.
locative-role;['hargeysa', 'hargaysa', 'hargeisa'];Hargeysa ama Hargaysa waa caasimada dalka Somaliland.
locative-role;['xalab', 'aleppo'];Xalab waa magaalo iyo gobol oo kutaalo dalka Suuriya.
