abstract-quality;['individuallik'];Individuallik
information-realization;['ishlatuv tizimi', 'operatsion sistema', 'operatsion tizim', 'operatsion tizimi'];Ishlatuv tizimi — kompyuterning asosiy dasturidir va boshqa dasturlar uchun platformasi.
information-realization;['kod'];Kod
information-realization;['dasturiy vosita', 'dasturiy taʼminot'];Dasturiy taʼminot yoki SOFTWARE bu Komputerda maʼlum bir turdagi vazifani bajarish uchun ishlab chiqilgan vositadir.
information-realization;['amplituda-chastota harakteristikasi'];Amplituda-chastota harakteristikasi – elektr zanjiri orqali signallar uzatish jarayonida si-nusoidal tebranish amplitudasining uning chastotasiga bog‘lanishi.
information-realization;['mahabharata', '"mahabharata"'];"MAHABHARATA" — qad.
information-realization;['liga'];Liga — nota yozuvidat yoysimon belgi.
information-realization;['ariozo', 'arioso'];Ariozo
information-realization;['barkarola'];Barkarola
information-realization;['darslik'];Darslik — muayyan fanga doir bilim asoslarini maʼlum tartibda bayon etadigan va yuqori maʼnaviy-gʻoyaviy, ilmiy uslubiy saviyada yozilgan kitob. oʻquv adabiyotining asosiy va yetakchi turi.
information-realization;['argo'];Argo
information-realization;['dengiz navigatsiya haritalari'];Dengiz navigatsiya haritalari — dengiz haritalarining asosiy tipi, kema yurgizish va suzish xavfsizligini taʼminlash uchun ishlatiladi.
information-realization;['yulduz xaritalari'];Yulduz xaritalari — yulduzlar osmoni yoki uning bir qismi xaritasi.
information-realization;['arpejio'];Arpejio
information-realization;['atharvaveda'];Atharvaveda – hind xalqining buddizmgacha bo‘lgan eng qadimgi diniy va adabiy yodgorligi bo‘lmish 4 she’riy va nasriy to‘plam – vedalardan biri.taxminan miloddan avvalgi 9–8-asrlarda tuzilgan.
information-realization;['devon'];Devon — Sharq adabiyotida sheʼriy toʻplam.
information-realization;['antologiya'];Antologiya
information-realization;['akkord'];Akkord
information-realization;['maqol', 'masal'];Maqol — xalq ogʻzaki ijodi janri. qisqa va loʻnda, obrazli, grammatik va mantiqiy tugal maʼnoli hikmatli ibora, chuqur mazmunli ran.
information-realization;['matbuot konferensiyasi'];Matbuot konferensiyasi - keng ommani qiziqtiruvchi masalalar yuzasidan davlat, jamoat, fan arboblarining matbuot vakillari bilan uchrashuvi, suhbati.
information-realization;['konsessiya'];Konsessiya
information-realization;['ikona'];Ikona
information-realization;['kitob'];Kitob —axborotlarni, gʻoya, obraz va bilimlarni saqlash hamda tarqatish, ijtimoiy-siyosiy, ilmiy, estetik karashlarni shakllantirish vositasi. bilimlar targʻiboti va tarbiya quroli. badiiy, ilmiy asar, ijtimoiy adabiyot.
information-realization;['diskant', 'discantus'];Diskant
information-realization;['applikatsiya'];Applikatsiya
information-realization;['goroskop', 'tolenoma'];Goroskop
information-realization;['diplom'];Diplom — 1
information-realization;['patent'];Patent (lot.
information-realization;['opera'];Opera
information-realization;['diagramma'];Diagramma
information-realization;['roman'];Roman
information-realization;['skerso', 'scherzo'];Skerso
information-realization;['qorbobo', 'qor bobo', 'қорбобо'];Ayoz Bobo bilan adashtirmang.
information-realization;['qimmatbaho qogʻoz'];Qimmatbaho qogʻozlar — hujjatlar boʻlib, ular bu hujjatlarni chiqargan yuridik shaxs bilan ularning egasi oʻrtasidagi mulkiy huquqlarni yoki qarz munosabatlarini tasdiqlaydi, dividendlar yoki foizlar tarzida daromad toʻlashni hamda ushbu hujjatlardan kelib chiqadigan huquqlarni boshqa shaxslarga oʻtkazish imkoniyatini nazarda tutadi.
information-realization;['impichment'];Impichment - ayrim mansabdor shaxslarning mansabdan chetlatish va javobgarlikka tortish jarayoni.
information-realization;['butaforiya'];Butaforiya
information-realization;['ekspressionizm'];Ekspressionizm
information-realization;['nomogramma'];Nomogramma
information-realization;['magnum opus', 'opus magnum', 'магнум опус'];Magnum opus yoki opus magnum — muallif, rassom yoki bastakorning shoh asari.
information-realization;['odisseya', '"odisseya"'];"ODISSEYA"
information-realization;['iliada', '"iliada"'];"ILIADA" — yunon epik dostoni.
information-realization;['troya oti'];Troya oti — yunon rivoyatlariga koʻra, yogʻochdan ishlangan ulkan ot. uning ichiga yashirinib olgan yunonlarning sara askarlari Troyaga kirganlar.
information-realization;['ozodlik haykali'];Ozodlik haykali dunyoning eng tanilgan obidalaridan biri boʻlib, 1886 yil AQSh - N'yu-Y'ork shahrida qurilgan.
information-realization;['dalolatnoma'];Dalolatnoma — muayyan shaklda tuzilgan rasmiy yozma yuridik hujjat.
information-realization;['litsenziya', 'parvona', 'ruxsat'];Litsenziya
information-realization;['vakolatnoma', 'ishonchnoma'];Vakolatnoma — Ishonchnoma, vakolatnoma — muayyan muassasa yoki ayrim shaxs oʻz nomidan ish koʻrish uchun ikkinchi bir shaxsga ishonch bildiradigan yozma vakolatli hujjat.
information-realization;['dekret'];Dekret
information-realization;['simfoniya'];Klasik Simfoniya
information-realization;['oda'];Oda
information-realization;['leytmotiv', 'leytmavzu', 'leytohang'];Leytmotiv, leytmavzu, leytohang
information-realization;['litografiya'];Litografiya
information-realization;['imlo', 'yozuv', 'orfografiya'];Imlo
information-realization;['imlo', 'yozuv', 'orfografiya'];Yozuv deb tilning matn orqali ifodalanishiga aytiladi.
information-realization;['fotomontaj', 'fotomantaj'];Fotomontaj (qad.
information-realization;['duet'];Duet
information-realization;['divertisment'];Divertisment
information-realization;['fantaziya'];Fantaziya — badiha uslubidagi janr. muayyan kompozitsion qoliplarga bogʻlanmagan musiqa asarlaridan iborat.
information-realization;['syuita'];Syuita
information-realization;['kontrapunkt'];Kontrapunkt
information-realization;['oktava'];Oktava — musiqada bir tovush chastotasi ikkinchi tovush chastotasidan ikki marta katta boʻlgan interval.
information-realization;['tabulatura'];Tabulatura (lot.
information-realization;['ostinato'];Ostinato
information-realization;['messa'];Messa
information-realization;['kantata', 'oratoriya'];Kantata
information-realization;['kantata', 'oratoriya'];Oratoriya
information-realization;['kompozitsiya'];Kompozitsiya — badiiy asarning mazmunan, harakteri va maqsadi jihatidan bogʻlangan qismlarining joylashishi.
information-realization;['monoxromiya'];Monoxromiya
information-realization;['natyurmort'];Natyurmort
information-realization;['diptix'];Diptix
information-realization;['devoriy rassomlik'];Devoriy rassomlik - bezak sanʼati sohasi, bevosita bino devori, shifti, ustuni suvogʻi ustidan yoki ularga mustahkamlangan mato, qogʻoz va b.ga boʻyoklar yordamida ishlanadigan tasvir yoki naqsh.
information-realization;['diorama', 'panoramă', 'diarama'];Diorama, diarama
information-realization;['oʻymakorlik', "o'ymakorlik", 'o`ymakorlik', 'o‘ymakorlik'];Oʻymakorlik — amaliy sanʼatning qadimiy va keng tarqalgan turi. yogʻoch, ganch, metall, tosh, suyak, terrakota va boshqalarni oʻyish, yoʻnish, kesish yoʻli bilan badiiy shakl yasash sanʼati.
information-realization;['fotolitografiya'];Fotolitografiya
information-realization;['unix'];UNIX — boshqa turdagi EHMlarga o'tkazilishi oson, ayni vaqtda bir qancha vazifani bajara oluvchi, ko'p foydalanuvchili operatsion tizimlar guruhidir.
information-realization;['brauzer', 'brouser', 'veb-brauzer', 'veb brauzer', 'veb brauzerlar roʻyhati'];Veb yorituvchi yoki bráuzer — qidirish, veb-saytlarni koʻrib chiqish, ular bilan ishlash, kiritish va bir sahifadan ikkinchisiga oʻtish uchun moʻlgalllangam programma taʼminoti.
information-realization;['xaritagrafik proyeksiyalar'];Xaritagrafik proyeksiyalar — Yer ellipsoidi sirti yoki uning biror qismi yuzasini xaritalar chizish maqsadida tekislikda matematik asoslangan tasvirlash usullari.
information-realization;['alla'];Alla — 1
information-realization;['lugʻat', "lug'at", 'lug`at', 'lug‘at'];Lugʻat — 1
information-realization;['ensiklopediya', 'qomus'];Ensiklopediya yoki qomus ilmiy yoki ilmiy-ommabop nashrdir.
information-realization;['variatsiyalar'];Variatsiyalar — musiqa shakli.
information-realization;['diatonika'];Diatonika (dia...
information-realization;['byust'];Byust
information-realization;['tovushqator', 'gamma'];Gamma, musiqada — dastlab oʻrta asr Yevropa ilmida musiqa tovush katorining eng past tovushi.
information-realization;['tovushqator', 'gamma'];Tovushqator — muayyan musiqa tizimidagi barcha tovushlarnnj tartiblashgan majmuasi.
information-realization;['operetta'];Operetta
information-realization;['masal'];Masal
information-realization;['qoʻshiq', "qo'shiq", 'qo`shiq', 'qo‘shiq'];Turkiy halqlar orasida, sheʼrga bitilgan bir nazm shakli, qo'shiqdir.
information-realization;['country', 'country music', 'country musiqa', 'kantri', 'kantri musiqa'];Country Amerika ommabop musiqasi janri boʻlib, 1920-yillarda AQSh janubining qishloq joylarida shakllana boshlagan.
information-realization;['broshyura', 'pamflet', 'kitobcha', 'risola', 'pisola'];Pamflet
information-realization;['broshyura', 'pamflet', 'kitobcha', 'risola', 'pisola'];Broshyura
information-realization;['marionetka'];Marionetka
information-realization;['davlat madhiyasi'];Davlat madhiyasi — davlat gerbi va davlat bayrogʻi bilan bir qatorda davlat rasmiy ramzi hisoblanadigan sheʼriy-musiqiy tantanavor asar, gimn.
information-realization;['madhiya', 'gimn', 'мадҳия'];Madhiya, Gimn asosan davlat yoki kishini madh etish uchun yaratilgan musiqa hamda so'z ijrosida yaratilgan asar.
information-realization;['globus'];Globus
information-realization;['menuet'];Menuet
information-realization;['legenda', 'afsona', 'rivoyat', 'haritagrafiyada'];Legenda
information-realization;['primitivizm'];Primitivizm - 19-asr oxiri -20-asr boshlarida yuzaga kelgan avangard sanʼat oqimi. badiiy vositalarni soddalashtirish va primitiv shakllar ga murojaat etuvchi yoʻnalish.
information-realization;['joʻrnavozlik', 'akkompanement', "jo'rnavozlik", "jo'rovozlik", 'jo`rnavozlik', 'jo`rovozlik', 'joʻrovozlik', 'jo‘rnavozlik', 'jo‘rovozlik'];Joʻrnavozlik, joʻrovozlik, akkompanement — 1ansambl, orkestr
information-realization;['kuy', 'melodiya', 'ohang', 'tarona', 'куй'];Kuy —
information-realization;['gemma'];Gemma
information-realization;['triller'];Triller, koʻp sonli, jumladan, bir-birini to‘ldiradigan adabiyotlarga ega boʻlgan film va televideniyaning keng janri.
information-realization;['devanagari'];Devanagari — yozuvning boʻgʻinli tizimi.
information-realization;['motiv'];Motiv
information-realization;['haykaltaroshlik'];Haykaltaroshlik - tasviriy sanat turi. borliqni hajmli shakllarda, makonda uch oʻlchamda tasvirlashga asoslanadi.
information-realization;['diplom ishi'];Diplom ishi — Oʻzbekistan Respublikasida oliy oʻquv yurtlari va oʻrta kasb-hunar oʻquv yurt larini bitiruvchilarning oʻquv tadqiqot xarakteridagi yakunlovchi ishi.
information-realization;['dodekafoniya'];Dodekafoniya
information-realization;['antifon'];Antifon
information-realization;['illyustratsiya'];Illyustratsiya
information-realization;['arman yozuvi'];Arman yozuvi — arman yepiskopi Mesrop Mashtots tomonidan 405 — 406 yillarda yunon va oromiy yozuvlar asosida yaratilgan.
information-realization;['sillabik yozuv', "bo'g'inli yozuv", 'bo`g`inli yozuv', 'boʻgʻinli yozuv', 'bo‘g‘inli yozuv'];Sillabik yozuv
information-realization;['denonsatsiya', 'shartnoma', 'denonsatsiya qilish'];Shartnoma — fuqarolik huquqida ikki yoki bir necha shaxsning fuqarolik huquq va burchlarini vujudga keltirish, burchlarini oʻzgartirish yoki bekor qilish haqidagi kelishuvi, bitimniig turi, sharhidan kelib chiquvchi fuqarolik huquqiy munosabat ham, shuningdek, yozma ravishda tuzilgan Sh.
information-realization;['denonsatsiya', 'shartnoma', 'denonsatsiya qilish'];Denonsatsiya
information-realization;['abstraksionizm'];Abstraksionizm (lot.
information-realization;['fyuchers'];Fyuchers
information-realization;['glossariy'];Glossariy - izoqlab yoki boshqa tilga, tarjima qilib beruvchi kam qoʻllanuvchi soʻz yoki iboralar lugʻati.
information-realization;['esse', 'insho'];Esse
information-realization;['mixxat'];Mixxat — qadimda Old Osiyoda qoʻllangan, mix yoki ponachalarga oʻxshash chiziqcha larni loy taxtachalarga oʻyib tushirishdan iborat ideografii yozuv turi, miloddan avvalgi 3ming yillik boshlarida shumerlar tomonidan yaratilgan.
information-realization;['efemerida'];Efemerida — astronomik kundalik jadval.
information-realization;['tikuv'];Tikuv qoʻl mehnatining bir turi boʻlib, igna va ip yordamida matoda bahya va choklar yaratishdan iborat.
information-realization;['rassomlik sanʼati'];Rassomlik sanʼati — asarlari biror yuza ga boʻyoq, qalam, rangli tosh, shisha va h.k.da ishlanadigan tasviriy sanʼat turi.
information-realization;['musiqa', 'muzika'];Musíqa — tovush san’atidir. musiqiy asarga nisbatan ham musiqa atamasi qo‘llanishi mumkin.
information-realization;['raqs'];Raqs sanʼat turi boʻlib, musiqaga monand ritmik tana harakatlarida namoyon boʻladi.
information-realization;['ariya'];Ariya
information-realization;['elektrofotografiya'];Elektrofotografiya — yorugʻlik sezgir elektrofotografik materiallar da, yaʼni yorugʻlik taʼsirida elektr oʻtkazuvchanligini oʻzgartiradigan fotoyarimoʻtkazgich qatlam da fotografik tasvir hosil qilish jarayoni.
information-realization;['taqriz'];Taqriz
information-realization;['faksimile'];Faksimile
information-realization;['tez aytish'];Xalq og‘zaki ijodi turlaridan biri bo‘lmish tez aytish ayrim nutq tovushlarining ko‘p qaytarilishi yoki tovushlarning so‘z va iboralar tarkibida talaffuzni qiyinlashtiradigan darajada murakkab joylashishiga asoslanadi.
information-realization;['idioma'];Idioma
information-realization;['evfemizm'];Evfemizm
information-realization;['epitafiya'];Epitafiya
information-realization;['ms-dos'];MS-DOS x86 arxitekturali shaxsiy komputerlar uchun ishab chiqarilgan ishlatuv tizimidir.
information-realization;['madrigal'];Madrigal
information-realization;['modernizm'];Modernizm XIX asrning ikkinchi yarmi, XX asrning 50—60-yillarida Yevropa, AQSH adabiyoti va sanʼatida rivoj topgan oqim va yoʻnalishlarning umumiy nomi.
information-realization;['shtrix kod', 'universal product code'];Shtrix kod, maʼlumotlarni vizual, mashinada oʻqiladigan shaklda taqdim etish usuli.
information-realization;['shtrix kod', 'universal product code'];Universal Product Code — shtrix kod belgisi boʻlib, bu Oʻzbekiston, Amerika Qo‘shma Shtatlari, Kanada, Yevropa, Avstraliya, Yangi Zelandiya va boshqa mamlakatlarda doʻkonlardagi savdo buyumlarini kuzatish uchun keng qoʻllaniladi.
information-realization;['ikkilik kod'];Ikkilik kod - elektron hisoblash mashinalari da arifmetik amallarni bajarishda shartli ravishda qabul qilingan sanoq sistemasi.
information-realization;['adabiyot'];Adabiyot — 1.
information-realization;['kashta'];Kashta
information-realization;['fantaziya'];Fantaziya — badiha uslubidagi janr. muayyan kompozitsion qoliplarga bogʻlanmagan musiqa asarlaridan iborat.
information-realization;['injil', 'yevangeliya'];Injil — Alloh taolo Iso ga Jabroil orqali ogʻzaki tarzda nozil qilgan kitob.
information-realization;['upanishadlar'];Upanishadlar [sanskritcha ustozning yonida oʻtirmoq] — hind diniyfalsafiy risolasi. proza va sheʼr bilan yozilgan, veda adabiyotining yakunlovchi kdemi, xotimasi.
information-realization;['konstitutsiya'];Konstitutsiya
information-realization;['ilmiy fantastika', 'ilmiy-taxayyuliy', 'ilmiy taxayyulot'];Ilmiy taxayyulot yoki ilmiy fantastika ilgʻor fan-texnika mavzusiga bagʻishlangan badiiy adabiyot janridir.
information-realization;['hipermatn', 'hiper matn'];Hipermatn — kompyuter ekrani yoki boshqa elektron qurilmalarda koʻrsatiladigan va faqat yozuvdan iborat boʻlmagan xususiyatlarga ega boʻlgan hujjatlar.
information-realization;['grizayl', 'grisaille'];Grizayl
information-realization;['polifoniya'];Polifoniya
information-realization;['diniy musiqa'];Diniy musiqa - musiqa turi. diniy mazmundagi matn lar asosida yaratilgan, shuningdek, diniy marosim va bayramlarda maxsus ijro etiladigan vokal yoki vokal-cholgʻu musiqa jyan/maridan iborat.
information-realization;['pop musiqa', 'pop-musiqa', 'pop'];Pop — 1950-yillarda rock and rolldan kelib chiqqan keng tarqalgan musiqa stili.
information-realization;['tango'];Tango
information-realization;['diplomatiya'];Diplomatiya
information-realization;['xatboshi', 'abzats', 'paragraf'];Xatboshi, abzats — bosma yoki yozma matnda xatning birinchi qatoridan joy tashlab boshlash.
information-realization;['buff opera', 'opera buffa'];Buff opera — italyan komik operasi.
information-realization;['gomofoniya'];Gomofoniya
information-realization;['grafika'];Grafika
information-realization;['kollaj'];Kollaj
information-realization;['absurd drama', 'absurd teatr', "g'ayrimantiqiy teatr", 'g`ayrimantiqiy teatr', 'gʻayrimantiqiy teatr', 'g‘ayrimantiqiy teatr'];Absurd drama, absurd teatr, g‘ayrimantiqiy teatr – dramaturgiyadagi oqimning shartli nomi.
information-realization;['kitob bosish'];Kitob bosish — boʻyoqni bosma formadan qogʻozga oʻtkazib, kitob, jurnal, gazeta va boshqa bosma mahsulotlari tayyorlanadigan ishlab chiqarish jarayonlari.
information-realization;['mormon kitobi'];Mormon Kitobi mormon dinining muqaddas kitobidir.
information-realization;['avesto', 'avesta', 'avestā', 'aveszta', 'awesta', 'ewısta', 'ovasto', 'αβέστα', 'авестæ', 'авеста', 'авесто', 'ավեստա', 'אווסטה', 'أبستاق', 'ئەوێستا', 'اوستا', 'اویستا', 'اوېستا', 'अवेस्ता', 'அவெத்தா', 'അവെസ്ത', 'คัมภีร์อเวสตะ', 'アヴェスター', '波斯古经', '阿維斯塔', '아베스타'];Avesto, Ovasto – zardushtiylikning muqaddas kitoblari to‘plami.
information-realization;['qurʼon', "qur'on", 'qurʻon', 'qurʼoni karim', 'qur’on', 'qur’oni karim'];Qurʼon — musulmonlarning asosiy muqaddas kitobi.
information-realization;['talmud'];Talmud
information-realization;['chizma'];Chizma — qogʻoz, kalka, taxta, yer sirti va boshqa ga chizilgan loyiha. maxsus chizmachilik asboblari yordamida qalam, tush bilan maʼlum qoidalar asosida chizilgan grafik tasvir.
information-realization;['relyef'];Relyef, boʻrtma tasvir —haykaltaroshlikning bir turi.
information-realization;['relyef'];Relyef, boʻrtma tasvir —haykaltaroshlikning bir turi.
information-realization;['diksiya'];Diksiya
information-realization;['interval'];Interval — ikki tovushning past-balandlik jihatidan oʻzaro nisbati.
information-realization;['logarifm'];loga x = b
information-realization;['tavrot', 'tora'];Tavrot
information-realization;['stravinskiy igor fyodorovich'];Stravinskiy Igor Fyodorovich [1882.5 .6, hozirgi Lomonosov — 1971.6.4, NyuYork, Venetsiyada dafn etilgan] — rus kompozitori, pianinochi va dirijyor.
information-realization;['valyuta opsioni'];Valyuta opsioni — 1sotishga qoʻyilgan miqdor
information-realization;['muqaddas kitob', 'tavrot va injil', 'bibliya', 'injil', 'таврот ва инжил'];Muqaddas Kitob, Tavrot va Injil, Bibliya bundan xulosa kélib chiqyaptiki, yahowanin'g shohidlari muqaddas kitobni xudonin'g kalomi, déb biladilar.
information-realization;['muqaddas kitob', 'tavrot va injil', 'bibliya', 'injil', 'таврот ва инжил'];Bibliya
information-realization;['lahja', 'dialekt', 'sheva'];Lahja, dialekt — umumxalq tilining muayyan chegaralangan hududda joylashgan kishilar jamoasida bevosita aloqa vositasi sifatida qoʻllanuvchi va nisbatan yaxlit lisoniy tizim bilan ajralib turuvchi koʻrinishi.
information-realization;['libretto'];Libretto
intentional-collective;['surrealizm', 'syurrealizm'];Syurrealizm
intentional-collective;['parad'];Parad (frans.
intentional-collective;['maʼrifatchilik'];Maʼrifatchilik - madaniyat va maʼnaviyat sohasidagi oqim.
intentional-collective;['dadaizm'];Dadaizm (frans.
intentional-collective;['ekspressionizm'];Ekspressionizm
intentional-collective;['kubizm'];Kubizm
intentional-collective;['jamiyat'];Jamiyat — kishilarning tarixan qaror topgan hamkorlik faoliyatlari majmui.
intentional-collective;['avangardizm'];Avangardizm
language;['programmalash tili'];Programmalash tili - maʼlumotlar ni va ularni elektron mashinalarda ishlash algoritmlari ni bayon qilish uchun moʻljallangan rasmiy til. odamning elektron mashina bilan bogʻlanishi uchun ishlatiladigan shartli belgilar tizimi.
language;['fuqarolik', 'fuqaro'];Fuqarolik jismoniy shaxsning maʼlum bir davlat bilan huquqiy bogʻlanishidir.
language;['monolog'];Monolog
language;['boltiq tillari'];Boltiq tillari — boltiq qabilalari tillari.
language;['german tillari'];German tillari - hind-yevropa tillari oilasiga mansub tillar guruhi.
language;['italiy tillari'];Italiy tillari - ulik tillar.
language;['kelt tillari'];Kelt tillari — hind-yevropa tillari oilasiga mansub tillar guruhi.
language;['slavyan tillari'];Slavyan tillari — Hind-Yevropa tillari oilasi tarkibidagi qarindosh tillar guruhi.
language;['prus tili'];Prus tili — boltiq tillaridan biri, baʼzan uni nemis tilining prus shevalaridan farqlash uchun qad.
language;['idish'];Idish — yahudiylar bir qismi tili.
language;['malayalam', 'malayali tili', 'malayalam tili'];Malayalam, malayali tili — dravid tillari oilasining jan.
language;['kannada'];Kannada, kannara — kannara xalqi tili. Hindistonning Maysur shtatida tarqalgan.
language;['niger-kongo tillari'];Niger-kongo tillari - nigerkordofan tillari makrooilasiga mansub til oilasi.
language;['chad tillari'];Chad tillari — som-hom tillari makrooilasining bir tarmogʻi. Markaziy va Gʻarbiy Sudanda, Chad koʻli atrofidagi mintaqa — Shim.
language;['mongol tili', 'moʻgʻul tillari', "mo'g'ul tili", 'mo`g`ul tili', 'moʻgʻul tili', 'mo‘g‘ul tili', "mo'g'ul tillari", 'mo`g`ul tillari', 'mo‘g‘ul tillari'];Mongol tili, moʻgʻul tili -moʻgʻul tillaridan biri, Mongoliyaning rasmiy tili, xalxa lahjasi asosida rivojlanmoqda, shuning uchun "xalhamongol tili" deb ham ataladi. XXRning Ichki Mongoliya hududida xdm qabilalararo til sifatida qoʻllanadi.
language;['mongol tili', 'moʻgʻul tillari', "mo'g'ul tili", 'mo`g`ul tili', 'moʻgʻul tili', 'mo‘g‘ul tili', "mo'g'ul tillari", 'mo`g`ul tillari', 'mo‘g‘ul tillari'];Moʻgʻul tillari — moʻgʻul xalkdari tillari guruhi.
language;['tungus-manjur tillari', 'manjur-tungus tillari'];Tungus-manjur tillari, manjur-tungus tillari — Sibir va Uzok, Sharkdagi yaqin qarindosh tillar guruhi.
language;['fula', 'tukul or', 'ful', 'fulani', 'fulfulde'];Fula, fulbe, fulfulde, fulani, ful, pyol, tukul o r — kongokordofan tillark oilasining gʻarbiy atlantik tarmogʻiga mansub, Gʻarbiy Afrikada Atlantika okeani qirgʻoqlaridan Chad koʻligacha boʻlgan hududda tarqalgan til.
language;['bantu tillari'];Bantu tillari - benuekongo
language;['irokez tillari'];Irokez tillari - AQShning shim.sharqiy qismi va Kanadaning unga qoʻshni hududlaridagi Shim.
language;['ural tillari'];Ural tillari — finn-ugor tillari va samodiy tillari oilalarini oʻz ichiga olgan yirik til birlashmasi. mazkur til oilalarini baʼzi olimlar til guruhlari deb xisoblaydilar. ularning qarindoshligi esa fin olimi E. Setalya tomonidan isbotlangan.
language;['fin-ugor tillari'];Fin-ugor tillari - yirik til oilasi — ural tillari makrooilasi tarkibidagi tillar oilasi.
language;['veps tili'];Veps tili — vepslar tili.
language;['hindistoniy', 'hindaviy'];Hindistoniy, hindaviy -oʻrta asrlarda Dehli, Agra, Marathi hududlarida mavjud boʻlgan khari boʻli lahjalari asosida shakllangan xalq-soʻzlashuv tili.
language;['c'];C — umum-maqsad dasturlash tili boʻlib 1969~1973-yillarda AT&T laboratoriyasida Dennis Ritchie tomonidan ishlab chiqilgan.
language;['perm tillari'];Perm tillari — finn-ugor tillari guruhining bir tarmogʻi. komiziryan, komi-permyak va udmurt tillarini qamrab oladi.
language;['nilot tillari'];Nilot tillari — Afrika sharqidagi sharqiy sudan tillari. Nil - Sahroi Kabir tillari makrooilasining shari-nil tillari oilasiga mansub.
language;['kushit tillari'];Kushit tillari — som-xom tillari oilasiga mansub.
language;['oltoy tillari', 'oltoy oilasi'];Oltoy tillari — turkiy tillar, moʻgʻul tillari va tungus-manjur tillarini ularning kelib chiqishi bir degan taxmin asosida birlashtiradigan tillar makrooilasini biddiruvchi shartli termin.
language;['dravid tillari'];Dravid tillari - Hindiston yarim oroli va unga qoʻshpn hududlar-lagi tillar oilasi Asosan Hindistonning jap.
language;['som-hom tillari', 'afrika osiyo tillari'];Som-hom tillari, afrika osiyo tillari — Afrikaning Atlantika okeani qirgʻogʻi va Kanar o.laridan Qizil dengiz qirgʻogʻigacha boʻlgan shim.
language;['sheʼr', 'she’r'];Sheʼr — fikrning his-tuygʻuga qorishiq ifodasi sifatida vujudga kelgan, hayajonli sheʼriy nutq bilan ifoda etilgan, maʼlum ichki ohangga ega badiiy asar.
language;['apart'];Apart
language;['bengal tili'];Bengal tili — bengʻallar tili.
language;['som tillari'];Som tillari — som-hom tillari makrooilasining bir tarmogʻi. Gʻarbiy Osiyoda va Afrikada Sahroi Kabirning shim.
language;['osetin tili'];Osetin tili — hind-yevropa tillari oilasining eroniy tillar guruhiga mansub, asosan Shim.
language;['pascal', 'paskal'];XVII asrda yashagan va dunyoda birinchi hisoblash mashinasini yaratgan fransuz olimi Blеz Paskal sharafiga shunday dеb nomlangan Pascal tili, Shveysariyaning Syurix shahridagi oliy tеxnika maktabining profеssori Nikols Virt tomonidan 70-yillarda yaratilgan bo‘lib, 1979-yilda standart Pascal dеb tasdiqlangan.
language;['gruzin tili', 'gurji tili'];Gruzin tili — gruzin xalqi tili.
language;['farer tili', 'farencha'];Farer tili — Skandinaviya tillaridan biri. island tili bilan birgalikda orollardagi Skandinaviya tillari guruhini tashkil etadi.
language;['norveg tili'];Norveg tili — Hind-Yevropa tillari oilasidagi german tillari guruhining skandinav tillari shoxobchasiga mansub til.
language;['dan tili', 'da', 'dan'];Dan tili — danlar tili.
language;['shved tili'];Shved tili — german tillarining shim.
language;['bolgar tili', 'bolgar', 'bolgarcha'];Bulg'or tili — bolgarlar tili.
language;['gap', 'jumla'];Gap — muayyan til qonuniyatiga koʻra grammatik va intonatsiyaviy shakllangan nutq birligi.
language;['turkiy tillar', 'turk tillari', 'turkiy'];Turkiy tillar — hozirgi va qadimgi turkiy xalqlar va elatlarning tillari.
language;['til', 'zabon'];Til deb murakkab muloqot tizimiga yoki shu tizimni oʻrganish va ishlatish qobiliyatiga aytiladi.
