abstract-region;['quadratische funktion'];A quadratische Funktion is in da Mathematik a gonzrationale Funktion zwoatn Grades.
functional-matter;['zugga', 'zucker'];Zugga is a Sammebegriff fia siaße, lesliche Kuinhydrate, de wo in Viktualien vawendd wean.
functional-matter;['muich', 'mille', 'mil', 'milch', 'mili', 'milli', 'müch', 'mülli'];Muich nennd ma des weiße Zeig, wos aus'm Eita vo de Kia aussakimmd.
functional-matter;['oachekaas', 'smegma'];Oachekaas oda aa Zipfekaas (Hochdeutsch Eichelkäse, medizinisch Smegma gr.
functional-matter;['weihrauch'];Weihrauch, aa Olibanum, is des drickade Beech vom Weihrauchbaam.
functional-matter;['budan', 'budda', 'butter'];Da Budan is a Milliprodukt, wo aus Budanfett, Milliprotein und Wossa bschdeht.
functional-matter;['eadäpfe', 'kardoffe', 'eadbian', 'eadepfe', 'eadopfe', 'eadäpfen', 'erapfe', 'erdbirn', 'erdepfe', 'erdäpfel', 'erpfe', 'grundbian', 'grundbirn', 'kartoffel', 'solanum tuberosum'];Da Eadopfe, Meazoih: Eadäpfe, aa Grundbian oda Eadbian, is a Nutzpflaunzn, de wos zua Famülie vau de Nochttschottngwäx gheat.
functional-matter;['punsch'];Punsch is a uaschpringle a Mischdrangl aus Indien, wo aus finf Zuadodn bschtäht.
functional-matter;['ziprofloxazin'];Ziprofloxazin is a Antibiotikum mid am großn Wirkungsspektrum, des aus da Gruppm vu de Fluorchinolone kimmd.
functional-matter;['misthaufen', 'mist'];Misthaufen, oda a Misthaffa gnannt, han de Plätz wo da Baua von seine Kia den Mist logat.
functional-matter;['drangl', 'getränk', 'gsiif'];A Drangl oda Gsiif is Saumebegriff fia Flissigkeitn, de wos speziö fian menschlichn Konsum geeignet san.
functional-matter;['gwiaz', 'gewürz'];A Gwiaz
functional-matter;['fisel', 'bohne', 'fisole'];Die Fisel isch a Hilsnfrucht.
functional-matter;['elastomer'];Elastomer san, wias da Nam scho sogt, elastisch.
functional-matter;['erdäpfelsalat', 'eadepfesalod', 'eadepfösolod', 'eadepfösolot', 'eadäpfesalod', 'erdäpfesalod', 'erdäpfesalot', 'erdäpfesolod', 'kartoffelsalat'];Da Erdäpfelsalat oder Eadäpfesalod wiad aus kochde Erdäpfen und a poa aundare Zuatatn heagstöd.
functional-matter;['lagerbier', 'lager'];Lagerbier is mehr oder wenga a Werbenam.
functional-matter;['bofesn', 'pofese', 'bavesn', 'pofesn'];Bofesn, aa gschriemm ois Bavesn, Pofesn und ähnli, is a boarisch-östreichische Variantn vo Arme Ritter.
functional-matter;['tofu'];Da Tofu, boarisch Boanlkaas, is a Viktualie, wo uaspringle aus Kina kimmt.
functional-matter;['kranawitt', 'gemeiner wacholder', 'krammetsbaam', 'kranawittn', 'kranewit', 'kranewitt', 'kranewitten', 'kronabit', 'heide-wacholder', 'wacholder'];Da Kranawitt, aa Kranawittn, is a Pflanznoart, wo zua Gattung vo de Wachoida aus da Familie vo de Zypressn kheat.
functional-matter;['weinbrand', 'brandy', 'branntwein'];A Weinbrand oda Brandy is a Schnops, dea wo nua aus Wein brennt wead.
functional-matter;['schnops', 'schnaps', 'spirituosen'];Schnops oda Schnaps is a Sammebegriff fia olle Drangln mit an houchn Oikohoighoit.
functional-matter;['weinberl', 'rosine', 'rosinen', 'weibal', 'weimberl', 'weinbal', 'zibeben', 'ziwebm', 'ziwem'];Weinberl, Weinbal oda Weinbial,
functional-matter;['matze'];Matze, pl.
functional-matter;['gmias', 'gemüse'];A Gmias is a Gruppm vo Pflanzna oda aa Tei dovo, de wo ma essn ko.
functional-matter;['gmias', 'gemüse'];Im Mannschoftssport is as Zamspui un a guade Taktik wichdig.
functional-matter;['lungaharing', 'auswuaf', 'auswurf', 'expektoration', 'sputum'];A Lungaharing (OMB: Greana. deitsch Auswurf oda lat.
functional-matter;['wein'];Da Wein is a Traubnsoft, dea duach Gärung an Oikohoiontei griagd hod.
functional-matter;['schoatn'];Schoatn
functional-matter;['mej', 'mehj', 'mehl', 'mäih', 'möh', 'mø', 'mäi'];Mej is a Puiva, wo aus Droad-Keandln gmoin is.
functional-matter;['tschick'];A Tschick oda Zigrettn is a Papiareal, des wos mit drickatn, feingschnittanan Tabakbladdln gfuit is und fias Rauchn gmocht is.
functional-matter;['schmei', 'schmeizla', 'schmoizla', 'bries', 'dawak', 'nosnlega', 'schnupf', 'schmeitzler', 'schnupfdawag', 'schnupftabak', 'schmaizla'];Schmei is a fein zribna Tabak, wo ma si in de Nosn affe schiabt.
functional-matter;['stockfisch'];A stockfisch isch a fisch ohne Eier
functional-matter;['brod', 'loawe', 'brot', 'broud'];Brod is a hoidboas Lebmsmiddl, des wos aus an Dag aus gmohlanan Draad, Wossa und diversn Zuatatn aussabochn wiad.
functional-matter;['brod', 'loawe', 'brot', 'broud'];Illinois is a US-amerikanischa Bundesstoot.
functional-matter;['salod'];A Salod wor uaspringli a Speis aus Salodpflanzna mit Essig und Öi, de wo imma koid und oft roh gessn wead.
functional-matter;['speiseeis'];Speiseeis is a Siassigkeit aus Flüssigkeitn wia Wossa, Müüch und Schlogobas, Zucka und gschmockgebandn Zuatatn unta Riahn zu aana Creme gfroan wiad.
functional-matter;['kletze'];Die Kletze isch a Schnittl van a Pir, dé in pewégger unt wårmer Luft tricknt wert.
functional-matter;['epfe', 'abfe', 'apfel', 'opfi'];Epfe sand Fricht, de wo essbar sand.
functional-matter;['napoim', 'napalm'];Napoim, Napalm isa Brandwaffn wos haubdsechle aus Benzin gmochd is.
functional-matter;['kunststoff', 'plaste', 'plastik'];Unta Kunststoff, Plastik oder Plaste vastähd ma organische, polymere Festkeapa, oiso feste Materialien, de wo syhthetisch oda hoibsynthetisch aus monomern organischn Molekuin oda Biopolymern hergstejd wean.
functional-matter;['schlehalikea', 'schlehenlikör'];Da Schlehalikea is a Likea, wo aus da Frucht vo da Schleha gmocht wead.
functional-matter;['brezn', 'breze', 'brezel', 'brezen'];A Brezn is a typisches boarisches Laugngebäck und wead vom Beck aus am Doag aus Woaz, Geam, Wossa und Soiz gmocht.
functional-matter;['beigl', 'bagel', 'beigel'];A Beigl oda Beigel
functional-matter;['edlwuascht', 'salami'];A Edlwuascht is a gfüüde Haut.
functional-matter;['wuascht', 'wurst', 'wiascht'];A Wuascht is a Lemsmiddl, des wos in da Regl aus zahocktn Fleisch, Speck, Soiz und Gwiazn zaumgsetzt is.
functional-matter;['zwetschgnwossa', 'schligowitz', 'schliwowitz', 'zwetschgnschnops', 'slibowitz', 'slivovic', 'sliwowitz', 'zwetschgenschnaps', 'zwetschgenwasser', 'zwetschgenwossa'];Zwetschgnwossa oda Zwetschgnschnops, aa Schliwowitz oda Schligowitz, is a stoaks, foabloses äukoholisches Drangl, a Obstla, dea wos aus Zwetschgn gmocht wiad.
functional-matter;['pizza'];A Pizza is a aus Neapel staummands Essn, des aus am Fladnbrod bestehd, dea mid vaschiadnste Lemsmittl belegt und nocha bocha wiad.
functional-matter;['parfait'];Parfait wean sowoi wiazige Pastetn, Terrinen und Suizn ois aa Hoibgfrorans gnennd.
functional-matter;['tschoglàd'];Metal oda a Heavy Metal is a Richtung in da Rockmusi.
functional-matter;['schogglad', 'dschogglad', 'schokolade'];Schogglad oda Dschogglad is a Lems- und Genussmiddl, des wo voa oim aus Gaugau und Zugga gmocht wead.
functional-matter;['met'];A Met is a oikoholisches Drangl, wo aus Heng und Wossa gmocht wead.
functional-matter;['raiwadadschi', 'kartoffelpuffer', 'reiberdatschi'];Raiwadadschi san a dradizionele Eadöpfi-Schbais, de bsondas in da bemischn Küch, in da estareichischn und in da deitschn Küch gean gmocht wean.
functional-matter;['marmorkuchen'];A Marmorkuchen wiad aus Riahdaag gmocht.
functional-matter;['stoa', 'stõa', 'gestein', 'stein', 'stoana'];As Woat Stoa hod im Boarischn vaschiedane Bedeitunga.
functional-matter;['baustoff', 'bauschtoff'];A Baustoff is jeda Weakstoff, dea wo zan Bau vo Haisa und ondan Bauweakn gnutzd wead.
functional-matter;['howanfloggn', 'haferflocken'];Howanfloggn
functional-matter;['muich', 'mille', 'mil', 'milch', 'mili', 'milli', 'müch', 'mülli'];Muich nennd ma des weiße Zeig, wos aus'm Eita vo de Kia aussakimmd.
functional-matter;['maibowle'];A Maibowle
functional-matter;['püls', 'pils'];A Püls is a harbs Bia, des wos meahra Hopfm und weniga Staummwiazn wiar a sunstigs Bia hod.
functional-matter;['papyrus'];Papyrus woa da Bschreibstoff im Altertum.
functional-matter;['granit'];Granit is a keaniga Stoa, dea wos aus Magma entstondn is.
functional-matter;['semf', 'sembf', 'senf'];Semf is a schoafes Gwiaz, des wos aus de Keandln vo weißn, braunen und schwoazn Semf gmocht wiad.
functional-matter;['dempf'];Dempf is a Brei aus Äpfe.
functional-matter;['camembert'];Camembert is a Kaassortn, de urspringli aus Frankreich kummt.
functional-matter;['kanelbulle', 'zimtschneckn'];De Kanelbulle
functional-matter;['ranna', 'rahne', 'rauna', 'ronen', 'rote bete', 'rote rübe'];Ranna (lateinisch Beta vulgaris subsp.
functional-matter;['sulz', 'suiz'];A Sulz oda Suiz is a koits Gericht aus Fleisch oda Gfligl, manchmoi aa Gmias, des in Gelee eiglegt ist.
functional-matter;['aquavit', 'akvavit'];Aquavit oda Akvavit, is a kloara bis goidgejba Kimmeschops.
functional-matter;['sauakraut', 'sauerkraut'];Sauakraut, is a Weißkoi, dea wos mid Müchsairegearung konsaviat woan is.
functional-matter;['bischgodn', 'bischkottn', 'biskotte'];A Bischkottn oda Bischgodn is a Keks aus ana Biskuitmassn.
functional-matter;['bindemittl'];Bindemittl (dt.
functional-matter;['boog', 'bock', 'boogbia'];A Boog oda Boogbia is a oba- oda untagearigs Bia, wo da Stommwiazghoit iwa 16 % und da Oik uma 6,5 % Vol., ko owa aa weid driwa lieng.
functional-matter;['likea', 'likäa', 'likör'];A Likea oda Likäa
functional-matter;['kriachal', 'griachal'];De Kriachal (Prunus domestica subsp.
functional-matter;['ringlo', 'prunus domestica'];De Ringlo, aa Ringlodn oda Reneklodn (dt.
functional-matter;['kracherl', 'brause', 'krachal', 'kràchal', 'limo', 'limonad', 'limonade'];A Kracherl, aa Brause oda Limonad, is a sias Drangl, des wo aus Wossa, Zucka, Gschmo und Koinsaire gmacht werd.
functional-matter;['fleisch'];Fleisch nennt ma im engan Sinn Muskln und Fett vo Spoviechan und Vegln, wo vo Menschn gessen wean.
functional-matter;['hoiz', 'holz'];Hoiz hoaßt ma a hoarts Gweb, des wo bestimmte Pflanzna buidn.
functional-matter;['ethanoi', 'ethanol'];Ethanoi oda Ethanol, aa reina Oikohoi
functional-matter;['oagloa', 'eiklar', 'eiweiß', 'oaweiß', 'protein'];As Oagloa oda Oagload, aa Oaweiß, is de gloare Flissigkeit im Oa, wo in Dodda festhoid.
functional-matter;['dodda', 'dotter', 'lekithos', 'vitellum', 'λέκιθος'];Da oda as Dodda is a Osommlung vo Reseavestoffe vo ana Eizej.
functional-matter;['ketchup'];Ketchup is a wiazige Soos, de wo aus Paradeisa, Essig, Zugga, Soiz und Gwiaz bschtäht.
functional-matter;['strudl', 'strudel'];A Strudl is a typisch middleiropäische Möispeis, de wos as in Bayern, Estareich und in di oroanadn windischn Lànda in faschiene Variantn gibt.
functional-matter;['maitl', 'maita', 'meatl', 'mäuta', 'mörtel'];A Maitl, Maita oda Mäuta, aa Meatl, is a Bauschtoff, dea wo in easchda Linie aus Wossa, Bindemiddl und Sand bschtehd.
functional-matter;['obwossa', 'abwasser'];Obwossa is a Wossa, des wo duach de Nutzung vaschmutz worn is.
functional-matter;['soiz', 'kochsalz', 'salz', 'steinsalz', 'såiz'];Soiz gheat zu de Gwüaz und wiad oft in olle möglichn Speisn hergnumma, damits an bessan Gschmack griang.
functional-matter;['spofackl'];A Spofackl is a Fackl wos nu gseigt wiad.
functional-matter;['weimischdrangl', 'weinmischdranggl', 'gespritzter', 'gschpritzda', 'gspritzda', 'gspritzter', 'spritza', 'spritzer', 'weinmischgetränk', 'weinmischgetränke'];Untar an Weimischdrangl vastehd ma a Gmisch auf da Grundlog vo an Wei.
genetic-collective;['habsburga', 'habsburg', 'habsburger'];De Hobsburga san a eiropäische Dynastie.
genetic-collective;['dynastie', 'haus'];A Dynastie
genetic-collective;['famij', 'famülie'];A Famij oda östar.: Famülie is a enge Lemsgmoaschoft.
geographical-object;['mobile bay'];De Mobile Bay is a Bucht im Bundesstoot Alabama, USA. Om Kopf vo da Bucht liegd Mobile, de wichtigsde Hofnstod vo Alabama.
geographical-object;['lagune'];A Lagune is a seichts Gwässa, des wo duach Sandoblogarunga oda Korallenriffe vom Mea trennt is.
geographical-object;['siidamerika', 'siadamerika', 'sidamerika', 'südamerika'];Siidamerika is as siadliche Stickl vom amerikanischn Dobbekondinent, hod a Bvejkarung vo 418 Million Leid und is mid arana Flächn vo 17.843.000 km² de viatgresste kondinendale Landflächn vo da Erde.
geographical-object;['meer', 'meea'];Meea nennd ma de Wossaflächn, de de Kontinent umgem.
geographical-object;['republik kina', 'republik china', 'taiwan'];Vorlage:Infobox Staat/Wartung/NAMEVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE D Republik Kina af Taiwan, aa Taiwan, offiziell Republik China - friaa a Nationalkina gnennt -, af da gleichnamign Insel Taiwan war neba da Volksrepublik China oarna vo de zwoa kinesischn Staatn, de Anspruch draf erhom ham, Kina rechtmäßig zu vertreten.
geographical-object;['färöer', 'färöer-insln'];Vorlage:Infobox Staat/Wartung/NAME-DEUTSCHVorlage:Infobox Staat/Wartung/BILD-WAPPEN-BREITE D'Färöer, oda d'Färöer-Insln han an Inslgruppn an Nordatlantik mid da Haptstod Tórshavn.
geographical-object;['grousse seen', 'große seen'];De Groussn Seen (engl.
geographical-object;['foiklandinsln', 'falklandinseln'];De Foiklandinsln (dt.: Falklandinseln, engl.
geographical-object;['hawaii-insln', 'liste der hawaii-inseln'];Des is a Listn vo de Hawaiʻi-Insln.
geographical-object;['gondwana'];Gondwana is da Nama vo am ehemolign Riesnkontinent af da Sidhoibkugl.
geographical-object;['saba'];Saba is a Oat in Simbabwe.
geographical-object;['insl', 'insel'];A Insl is a Landmassn, de in am Binnengwassa, in am Meer oda grod a so bei Houwossa vom Wossa aussaschaud und koa Kontinent is.
geographical-object;['ozean', 'wejdmeea', 'wäidmeea'];Mid Ozean oda a Wejdmeea hand de gressdn Meea vo da Eadn gmoand.
geographical-object;['kaspisches meea', 'kaspischs meer', 'kaspisches meer', 'kaspisee'];As Kaspische Meea, aa Kaspisee, russ.
geographical-object;['fjord'];A Fjord is a Meeresoam dea weid as Landesinnane eine glangd und duach Doigletscha entstehd, de se seewärts ausseschiamand.
geographical-object;['loch'];Ois Loch wead in Schottland a stehads Gwässa gnennt.
geographical-object;['kongo'];ff Da Kongo is a Strom in Afrika.
geographical-object;['rhein'];f fVorlage:Infobox Fluss/NACHWEISE aus Da Rhein is a Fluss, dea in Middl- und Westeiropa liggd.
geographical-object;['mississippi river'];f f Da Mississippi River, aa Mississippi [ˌmɪsɪˈsɪpɪ] is a 3778 Kilometa langa Schdrom in de Vaeinigtn Stoodn.
geographical-object;['gäiba fluss', 'gejba fluss', 'gelber fluss'];f f Da Gejbe Fluss
geographical-object;['amazonas'];f
geographical-object;['boch', 'bech'];A Boch, Pl.: Bäch is a gloans natialichs Siasswossa, des wo rinnd.
geographical-object;['yukon river'];f f Da Yukon River is a Strom, dea am kanadischn Territorium Yukon entspringt und noch Westen fliaßt und nochad am US-Bundesstaat Alaska as Beringmeer mindt.
geographical-object;['arabische hoibinsl'];D Arabische Hoibinsl, a Arabien, is mid 2,73 Million km² Flächn de gresste Hoibinsl auf da Wejd und ligt auf da Arabischn Blattn.
geographical-object;['yucatan'];Yucatan, is a Hoibinsl in Middlamerika, de wos an Goif vo Mexiko vom Karibischn Meer trennd.
geographical-object;['bonaire'];Vorlage:Infobox Insel/Wartung/Höhe fehltD Insl Bonaire is geographisch gseng a Teil vo deGloan Antilln.
geographical-object;['niagara river'];f f f f Da Niagara River [naɪ̯ˈægəɹə ˈɹɪvəʴ] is a Fluss in Nordamerika.
geographical-object;['tennessee river', 'tennessee'];f f Da 1049 km longe Tennessee is da längsde Nemfluss van Ohio.
geographical-object;['charles river'];f f Da Charles River is a rejativ kuaza Fluss in Massachusetts, dea's Zentrum vo: Boston vo Cambridge und Charlestown trennd.
geographical-object;['etsch', 'adige', 'adiç'];f
geographical-object;['jordan'];f
geographical-object;['cumberland river'];f f Da Cumberland River is a 1106 km longa Fluss in de USA. Ea entsprind im estlichn Kentucky unweid vo da Grenz za Virginia in de westlichn Auslaifa vo de Appalachen.
geographical-object;['wolga'];f f De Wolga valauft im eiropäischen Teu vo Russland, is mit 3.530 km Läng da längste und wossareichste Fluss vom Kontinent Eiropa und kheat zu de längstn Flüss vo da Eadn.
geographical-object;['schwoaz meer', 'schwoazzes meea', 'schwoazz meea', "schwarz' meer", 'schwarzes meer'];As Schwoazze Meea is a Meea in Eirasien zwischn Eiropa, Kaukasus und Anatolien.
geographical-object;['ostsee', 'ostsää', 'boitisches mea', 'mare balticum', 'suevisches mea'];De Ostsää, Boitisches Meea oda Suevisches Meea is a 412.000 km² großs und bis za 459 Meta diafs Binnenmeea in Eiropa.
geographical-object;['waterfalls', 'fervenza'];Waterfalls is a Oat in Simbabwe.
geographical-object;['krim'];De Krim (russ.
geographical-object;['victoria falls'];Victoria Falls is a Oat in Simbabwe.
geographical-object;['niger'];f fVorlage:Infobox Fluss/Veraltet Da Niger is nochm Nil und am Kongo mid 4184 Kilomeda Läng da drittlängste Strom in Afrika.
geographical-object;['aleutn', 'aleuten'];De Aleutn hand a Inselkettn zwischn Noadamerika und Asien am sidlichn Rand vom nordpazifischn Beringmeer.
geographical-object;['karibischs meer', 'karibisches meer'];As Karibische Meer is a Nemmeer vom Atlantischn Ozean.
geographical-object;['goif vo mexiko', 'golf von mexiko'];Da Goif vo Mexiko
geographical-object;['adria', 'adriatisches meea', 'adriatisches meer', 'mare adriatico'];De Adria oda's Adriatische Meea is as longgstreggde neadliche Seitnbeggn vom Middlmeea zwischn Italien und'm Balkan.
geographical-object;['ganges'];f f Da Ganges is da iba 2600 km lange zwoatgresste Fluss vo Indien und Bangladesch.
geographical-object;['indus'];f f Da Indus is mid 3180 km da längste Fluss aufm indischn Subkontinent und da wichtigste Strom vo Pakistan.
geographical-object;['antarktika', 'antarktis'];Antarktika is da siadlichste Kontinent vo da Eadn.
geographical-object;['dschungl', 'busch'];Dschungl sogt ma zan dichdn unzuagänglichn Woid, owa heife is damid aa trobischa Rengwoid gmoand.
geographical-object;['ellis island'];Vorlage:Infobox Insel/Wartung/Fläche fehltVorlage:Infobox Insel/Wartung/Höhe fehlt
geographical-object;['wake'];Vorlage:Infobox Atoll/Wartung/HoeheFehlt
geographical-object;['oahu', 'oʻahu'];Oahu oda Oʻahu is de drittgresste und bekonntaste Insl vo Hawaii.
geographical-object;['nantucket', 'nantucket county', 'nantucket county, massachusetts'];Nantucket is a grouße Insl im Bundesstoot Massachusetts in da USA. Nantucket is a zgleich a Stod und a County.
geographical-object;['arktischer ozean', 'arktischa ozean', 'neadlichs eismeer'];Da bis zu 5608 m diafe Arktische Ozean, aa Nordpoiarmeea, Neadlichs Eismeea, Arktische See oda kuaz Arktik gnennd, is mid 14,09 Mio.
geographical-object;['amerika', 'amerega'];Amerika is a Doppekontinent mid 42,5 Milljonen Quadratkilometan und domit da zwoatgräßte Kontinent.
geographical-object;['isle of man', 'insl vo man', 'ellan vannin'];De Isle of Man, af manx: Ellan Vannin, is a Insl in da Irischn See.
geographical-object;['beringmeer', 'beringsee'];As Beringmeer is a im Schnied 1609 Medda diafs Randmeer am neadlichn Endt vom Pazifischn Ozean zwischn Noadamerika und am Noadostn vo Asien.
geographical-object;['loch'];Ois Loch wead in Schottland a stehads Gwässa gnennt.
geographical-object;['atlantischa ozean', 'adlantik', 'atlantik', 'atlantis thalassa', 'atlantischer ozean'];Da Atlantische Ozean is noch'm Pazifik s zwoatgressde Meea af da Eadn.
geographical-object;['donau', 'doana', 'deana', 'dona'];fVorlage:Infobox Fluss/NACHWEISE aus De Doana, aa Donau is noch da Wolga da zwoatlängste Strom in Eiropa.
geographical-object;['eriesee'];Da Eriesee is da sidlichste und viatgresste vo dena fümf Groussn Seen vo Noadamerika.
geographical-object;['polynesien'];Polynesien bsteht nua aus Insln, de af oana großn Flechn vom Pazifik vaschtreid san.
geographical-object;['grönland', 'grenland', 'grønland', 'kalaallit nunaat'];Grenland oda Grönland is de greißte Insl vo da Wöd und mea wia sechsmoi sou grouß wia Deitschland.
geographical-object;['seeland', 'sjælland'];Vorlage:Infobox Insel/Wartung/Bild fehlt Seeland is mid ana Fläch vo 7031,3 km² de gressde Insl vo da Ostsee und Dänemark im Ostn van Land.
geographical-object;['viktoriasee', 'ukerewesee', 'victoria nyanza', 'victoriasee'];Da Viktoriasee, aa Victoriasee, Victoria Nyanza, friara Ukerewesee) ligt in Ostafrika und is a Teil vo de Lända Tansania, Uganda und Kenia.
geographical-object;['pazifik', 'pazifische ozean', 'pazifischa ozean', 'pazifischer ozean', 'stiller ozean'];Da Pazifik, aa Pazifische Ozean oda Stuia Ozean gnennt, is da grässde und diafste Ozean vo da Wejd.
geographical-object;['honshu', 'honshū', '本州'];Honshū (jap.
geographical-object;['jangtsekiang'];f f Dá Jangtsekiang
geographical-object;['niihau', 'niʻihau'];Niihau oda Niʻihau, de „Vabotene Insl“, is a kloane Insl vom Hawaiʻi-Archipel.
geographical-object;['hokkaido'];Hokkaidō is de zweitgreßte Insl vo Japan.
geographical-object;['sidlicha ozean', 'südlicher ozean'];Da Sidliche Ozean, aa Sidpolarmeea, Sidlichs Eismeea, Antarktischa Ozean oda Antarktik is as zwoatkloansde Wejdmeea.
geographical-object;['magellanstross'];D Magellanstross is a Meereng mid an Haufa Insln zwischm am sidamerikanischn Festland und da Insl Feialand.
geographical-object;['nil'];f f Da Nil is 6852 Kilometa laung und damit da längste Fluss vu Afrika und - je noch Sichtweise - neman Amazonas da längste vu da Eadn.
gestalt;['elipsn', 'ellipse'];A Elipsn is in da Geometrie a gschlossane glotte Kuavn, wo ois gstreckts oda gstauchts Buidl vo am Kroas voagstejt wean ko.
gestalt;['hoizbuidhaua', 'hoizbuidschnitza', 'holzbildhauer'];A Hoizbuidhaua oda Hoizbuidschnitza is a Buidhaua, dea wo Figurn oda Reliefs in Hoiz schnitzt.
gestalt;['buidhauarei', 'bildhauerei', 'büdhauarei', 'büidhauarei'];D' Buidhauarei is oa Teil vo da buidndn Kunst.
gestalt;['gleichseitades dreieck', 'gleichseitiges dreieck'];A gleichseitades Dreieck is a Dreieck, bei dem olle drei Seiten gleich laung san.
gestalt;['hüpotenusn', 'hypotenuse'];D'Hüpotenusn hoaßt ma d'längste Seitn in am rechtwünkling Dreieck.
information-encoding-system;['ironie'];De Ironie is a Aißarung, wo zmoast unausgsprochane Dawatunga afdeckt, indem dass zum Oschei as Gengdeil bhaupt wead.
information-encoding-system;['kenning', 'kenningar'];Kenning (vo altnord.
information-encoding-system;['tragedie', 'tragödie', 'trauaspui'];De Tragedie is a Fuam vom Drama und nem da Komedie de wichtigste Vatretarin vo dera Gottung.
information-encoding-system;['sochbuach', 'sachbuch'];Sochbuach is de deitschsprochige Bzeichnung fiar a Buach, des a bstimmts Sochthema fiar a Lainpublikum doasteijt.
information-encoding-system;['redundanz'];In da Infoamationstheorie moant Redundanz, inwiaweit a Queijn iwaflissige Infoamation enthoit.
information-encoding-system;['drama'];Drama (oidgr.
information-encoding-system;['phraseologie'];Unta Phraseologie vastähd ma de Disziplin vo da Sprochwissnschoft, de se mid Phraseologismen, oiso mid festn Woatvabindungd bschäftigt.
information-encoding-system;['antiphrasis'];Antiphrasis oda Antiphrase is a Redefigur, wos Gegntei bedeit vo dem wos an Augnschein noch ausdruckt.
information-object;['phonem'];A Phonem is a Klass vo Lautn, de wo de sejbe Funktion ham.
information-object;['radio'];A Radio (v.
information-object;['affrikat'];An Affrikat is a zwifocher Konsonant in ara Lautgruppm nouch da Artikulationsoart: Affrikatn fonga o mit an Plosiv und hejern af mit an Frikativ.
information-object;['pharyngal', 'guttural'];A Pharyngal is a Konsonant, wou in Rocha, in da Fochsprouch: da Pharynx, gsprocha wird.
information-object;['alveolar', 'dental'];A Dental is a Konsonant, wou mit da Zunga on de owern Schnaidezee gsprocha wird.
information-object;['alveolar', 'dental'];A Alveolar is a Konsonant, wou mit da Zunga on oder ban Zodomm, gsprocha wird.
information-object;['plosiv'];A Plosiv is a Konsonant in ara Lautgruppm nouch da Artikulationsoart: Da Mundraum wird kurz vaschlossn, a Luft strejmt aine, nou wird da Luftstroum gschwind wider fraigem.
information-object;['bilabial'];A Bilabial is a Konsonant, wou mit de zwoa Lippm gsprocha wird.
information-object;['frikativ'];A Frikativ is a Konsonant in ara Lautgruppm nouch da Artikulationsoart: A Engposs zwischa zwoa Artikulationsstölln wird büldt.
information-object;['nasal'];A Nasal is a Konsonant in ara Lautgruppm nouch da Artikulationsoart: Es Gamasegl wird gsenkt, und d Luft strejmt desweng durch d Nosn as.
information-object;['cognomen'];Es Cognomen wor im Remischn Reich oft da dritte Namasbstandtei.
information-object;['diakritisches zoachn', 'diakritisches zeichen'];Diakritische Zoachn
information-object;['stoamandl'];A Stoamandl nennt ma a Markierung, de wo aufm Berg heift, dass ma an Weg besser findt.
information-object;['marke'];A Marke is dazua do, de Waren und Dienstleistungan vo oam Untanehmen vo dene vo andare Untanehmen zu unterscheidn.
information-object;['ә'];Ә, aa Schwa gnannt, ist a Buachstob aasm kyrillischn Oiphabet, der in vuin Sprochn gnutzt wiad.
information-object;['kataster'];S Kataster, bzw.
information-object;['vokal'];A Vokal is a syllabischa Sprochlaut, da wou oun a Zammzejng von Vokaltrakt virabracht wiad.
information-object;['lateinischs oiphabet', 'remisches alphabet'];Des lateinische Alphabet, zu dem wos ma aa remisches Alphabet sogt, is vo da lateinischn Sproch auf vüü romanische, germanische, slawische, finno-ugrische und no a boa Sprochn iwatrogn wuan und is des Alphabet, des wos auf da Wööd am weidastn vabraat is.
information-object;['lehnwort', 'loanwoat'];A Loanwoat is a Woat, wo aus oana "Quejsproch" in a "Zuisproch" iwanumma worn is.
information-object;['woatoart', 'wortart'];A Woatoart, aa Woatklass oda Sprochtei
information-object;['jhwh', 'yhwh'];JHWH oda YHWH is da Naum vaum Heagod im Tanach, da heulign Schrift vau de Judn.
information-object;['majuskel', 'maiusculus'];Majuskel (vo lat.
information-object;['kappa'];Des Kappa is ds 10.
information-object;['kaph'];Kaph, jidd.
information-object;['my'];Des My oda my is da 12.
information-object;['ny'];Des Ny [nyː] is da 13.
information-object;['mem'];Mem, jidd.
information-object;['xi'];Des Xi is da 14.
information-object;['nun'];Nun, jidd.
information-object;['omikron'];Des Omikron is da 15.
information-object;['pi'];Des Pi is da 16.
information-object;['rho'];Des Rho is da 17.
information-object;['pe'];Pe, jidd.
information-object;['sigma'];Da griachische Buachstob Sigma is da 18.
information-object;['tsade', 'tzade'];Es Tsade oda Tzade, jidd.
information-object;['tau'];Des Tau is da 19.
information-object;['alpha'];Alpha (oidgriach.
information-object;['aleph'];Aleph, jidd.
information-object;['ypsilon'];Des Ypsilon is da 20.
information-object;['phi'];Des Phi
information-object;['chi'];Des Chi is da 22.
information-object;['psi', 'ψ'];Des Psi is da 23.
information-object;['taw'];Taw, jidd.
information-object;['beta'];Des Beta is da zwoate Buachstob vom griachischn Alphabet und hod im griachischn Zoinsystem an numerischn Weat vo zwoa.
information-object;['beth', 'bet'];Beth, jidd.
information-object;['epsilon'];Des Epsilon is da 5.
information-object;['zeta'];Des Zeta is da 6.
information-object;['waw'];Waw is da sechste Buachstob im Hebräischn Alphabet.
