activity;['raga', 'kiwiki', 'rugby', 'raga soka', 'rugger'];Raga (ing.
amount-of-matter;['polima', 'polymer', 'homopolymer', 'mnyororo polymer', 'polymeric'];Polima ni molekuli ndefu iliyotengenezwa kwa kuungana pamoja vizio vingi vidogo vya kemikali.
amount-of-matter;['mawese', 'mafuta ya mawese'];Mawese ni mafuta ya kula yanayotolewa katika matunda ya mti wa mchikichi.
amount-of-matter;['feleji isiopatadoa', 'stainless steel', 'chuma cha pua', 'cha', 'kromiamu chuma'];Feleji isiopatadoa ni aloi ya feleji yenye kiwango cha chromi ambayo ni kinga dhidi ya kutu inayosaidia kutoshika kutu haraka.
amount-of-matter;['mata', 'maada', 'jambo'];Mata ni neno pana linalojumlisha vyote vinavyoweza kuonekana, kusikika, kuguswa, kuchunguzwa n.k., ikiwemo hasa mata ya kawaida inayoundwa na atomi ambazo tena zinaundwa na kiini cha protoni na neutroni, kikizungukwa na wingu la elektroni.
amount-of-matter;['ethanoli', 'alkoholi ethili', 'ethanol', 'nafaka pombe', 'fermentation pombe', 'pombe ethyl'];Ethanoli ni dawa lililopo ndani ya aina zote za vinywaji vya pombe.
amount-of-matter;['grafati', 'graphite', 'grafiti', 'mweusi kuongoza'];Grafati ni umbo la pekee la elementi kaboni linalopatikana kwa fuwele za pembesita.
biological-object;['vitundu vya mataya', 'kitundu cha taya', 'jino tundu'];Vitundu vya mataya ni nafasi katika mataya zinazoshika vizizi vya meno.
biological-object;['nyuroni', 'neuroni', 'neuron', 'neuronal', 'neurone', 'neurones', 'niuroni', 'seli ujasiri', 'seli ya neva', 'seli za neva', 'seli za ubongo'];Nyuroni ni seli zinazobeba msukumo wa umeme ndani ya mwili.
biological-object;['ventrikali', 'moyo ventrikali'];Ventrikali ni kila kimoja kati ya vyumba viwili vikubwa ndani ya moyo ambavyo hukusanya na kusukumiza damu kutoka kwenye atriamu kuelekea sehemu za pembeni ndani ya mwili na mapafu.
biological-object;['tawi', 'tanzu', 'matawi'];Tavi ni sehemu ya mti isiyokuwemo katika shina lake.Kulingana na aina ya mti, matawi yake yanaweza na umbo na ukubwa tofauti sana.
biological-object;['kinembe', 'clit', 'clitoral', 'clitoridis frenulum', 'clitoridis glans', 'glans clitoral'];Kinembe ni kinyama kinachotokeza katika uchi wa mwanamke kinachomsaidia apate msisimko wakati wa kujamiana.
biological-object;['kidole', 'vidole', 'tarakimu'];Kidole ni kiungo cha mwili kilichopo kwenye ncha ya mkono na mguu.
biological-object;['kiazi', 'viazi', 'mizizi', 'mizizi tuberous', 'tuber', 'tuberous'];Kiazi ni sehemu ya mzizi wa mmea ambayo imekua nene na inahifadhi chakula cha mmea.
biological-object;['ogani', 'chombo', 'chombo muhimu', 'visceral', 'viungo vya ndani'];Ogani ni sehemu ya mwili au mmea inayofanya kazi fulani ya pekee.
biological-object;['wengu', 'bandama'];Wengu ni kiungo cha mwili chenye nafasi katika mzunguko wa damu.
biological-object;['kibofu', 'kibofu cha mkojo', 'urinary kibofu'];Kibofu ni kifuko kinachotunza mkojo kabla haujatolewa nje ya mwili wa binadamu na wanyama.
biological-object;['tunguu', 'balbu', 'bulb', 'bulbils', 'bulbous'];Tunguu ni sehemu ya shina la mimea fulani ilio na majani manene kwa umbo wa gamba yanayohifadhi chakula.
biological-object;['ngozi', 'tegument', 'cutis', 'kiini ngozi', 'ya ngozi'];Kwa maana nyingine ya neno hili linganisha ngozi Ngozi ni ganda la nje linalofunika mwili wa mnyama au binadamu.
biological-object;['mbegu'];Mbegu ni sehemu ya tunda la mmea inayoweza kuendelea kuwa mmea mpya.
biological-object;['mfumo wa kingamaradhi', 'immune system', 'mfumo wa kinga ya mwili', 'mfumo wa kingamwili', 'mfumo wa kinga', 'majibu ya kinga', 'mifumo ya kinga'];Mfumo wa kingamaradhi ni seti ya tishu za mwili zinazofanya kazi pamoja ili kukwepa ugonjwa.
biological-object;['mwili', 'fremu', 'miili', 'mwili wa binadamu', 'anatomy ya binadamu', 'bod', 'fomu', 'kimwili mwili', 'nyenzo mwili', 'physiology binadamu', 'rangi ya binadamu ngozi', 'rangi ya ngozi', 'takwimu'];Mwili ni kinachofanya binadamu aonekane na kuishi katika ulimwengu, kwa kufanana na wanyama.
biological-object;['fistula', 'nasuri', 'fistulae'];Nasuri (ing.
biological-object;['fumbatio', 'utumbo', 'tumbo', 'gaster', 'gastric', 'gastric secretion', 'orifice moyo', 'sphincter ya chini esophageal', 'tum'];Fumbatio ni sehemu ya mwili inayounganisha kifua na fupanyonga.
biological-object;['neva', 'mishipa ya fahamu', 'endings ujasiri', 'innervate', 'innervated', 'nervus', 'terminal ujasiri', 'ujasiri'];Neva, pia mishipa ya fahamu, ni kundi la seli za pekee mwilini zenye kazi ya kuwasilisha habari kati ya ubongo na sehemu za mwili.
biological-object;['ubavu'];Ubavu au pambazi ni mfupa mwembamba katika mwili wa viumbehai kadhaa onaoambaaambaa upande wa kulia na wa kushoto ili kuunganisha kifua na uti wa mgongo.
biological-object;['tezi', 'secreter', 'secretor', 'secretory chombo'];Tezi ni ogani za mwili zinazotoa dutu za pekee ambazo ni muhimu kwa kazi ya mwili kwa jumla na hasa kwa ogani nyingine.
biological-object;['shavu la mkono', 'musculus biceps brachii', 'biceps', 'bicep', 'biceps brachii misuli'];Kwa matumizi tofauti ya jina hili angalia Shavu na Mashavu Shavu la mkono ni musuli wa kilimbili, sehemu ya juu ya mkono katikati ya kiko na bega.
biological-object;['utumbo mpana', 'colorectal', 'utumbo mkubwa'];Utumbo mpana ni sehemu ya utumbo kati ya utumbo mwembamba na mkundu.
biological-object;['seli nyeupe za damu', 'seli nyeupe ya damu', 'seli nyeupe', 'leucocyte', 'lukosaiti', 'kiini kinga', 'leucocytes', 'leukocytes', 'nyeupe corpuscle', 'nyeupe kiini', 'nyeupe za damu corpuscle', 'seli za kinga', 'wbc'];Seli nyeupe za damu ni miongoni mwa aina za seli za damu.
biological-object;['mtulinga', 'clavicle', 'collarbone', 'clavicles', 'mfupa collar'];Mtulinga ni mfupa ambao unapatikana kwenye bega katika mwili wa binadamu na wanyama mbalimbali.
biological-object;['mapafu', 'uvimbe'];Mapafu ni sehemu ya mwili inayoingiza oksijeni mwilini na kuituma kwenye seli za mwili.
biological-object;['titi', 'ziwa', 'matiti', 'nyonyo'];Matiti au maziwa ni sehemu za kifua zilizotutumka zenye machuchu.
biological-object;['seli za damu', 'selidamu', 'damu corpuscle', 'damu kiini', 'kiini damu'];Seli za damu ni seli za pekee ambazo, pamoja na plasma ya damu, zinafanya damu ya wanyama wengi, hasa ya wanyama wenye uti wa mgongo.
biological-object;['shavu', 'mashavu'];Kwa matumizi tofauti ya jina hili angalia Shavu la mkono na Mashavu Shavu ni eneo la uso chini ya macho na kati ya pua na masikio.
biological-object;['mkundu', 'anal sphincter', 'perianal', 'sphincter anal'];Mkundu ni sehemu ya mwili wa binadamu ambapo mavi hutoka utumbo.
biological-object;['tofaa', 'tufaha', 'tofah', 'tufaa', 'apple', 'green apple', 'malus domestica'];Tofaa (pia: tufaha. kutoka kar.
biological-object;['meno', 'jino'];Meno ni viungo vya mwili vilivyopo kinywani vyenye kazi ya kutafuna yaani kumega chakula.
biological-object;['kisugudi', 'kisigino', 'kiwiko', 'articulatio cubiti', 'binadamu elbow', 'cubital pamoja', 'cubitus', 'elbow', 'elbow-pamoja', 'elbow pamoja', 'elbows', 'pamoja elbow'];Kisugudi ni kifundo cha mkono kinachounganisha mkono wa juu na kigasha.
biological-object;['goti', 'articulatio jenasi', 'binadamu goti', 'genu', 'goti-pamoja', 'goti ya pamoja', 'kuumia goti', 'magoti', 'pamoja goti'];Goti ni sehemu ya mguu inayounganisha mifupa ya paja na muundi.
biological-object;['ini', 'hepatic', 'wakifanya upotovu'];Ini ni kiungo cha mwili, hasa wa binadamu na wanyama wa hali ya juu.
biological-object;['mstafeli', 'stafeli', 'guanabana', 'guanábana', 'soursoups'];Mstafeli ni mti mdogo wa familia Annonaceae.
biological-object;['mstafeli', 'stafeli', 'guanabana', 'guanábana', 'soursoups'];Stafeli ni tunda la mstafeli lenye rangi ya kijani nje, nyama nyeupe, laini na tamu na mbegu nyeusi.
biological-object;['pembe'];Pembe ni miundo myenye mifupa inayoonekana juu ya vichwa vya wanyama kama kondoo, twiga au mbuzi.
biological-object;['mfumo wa uzazi', 'reproductive system', 'njia ya uzazi', 'uzazi mfumo'];Mfumo wa uzazi ni mfumo wa ogani za kijinsia ndani ya mwili zinazofanya kazi pamoja katika kulenga uzazi wa kijinsia.
biological-object;['petali', 'petal', 'apetalous', 'petals', 'ua petal'];Petali ni majani ya pekee katika ua ambayo huzunguka sehemu za uzazi za ua.
biological-object;['ua', 'maua', 'floral'];Maua ni majani ya pekee kwenye sehemu za uzazi wa mimea.
biological-object;['matamvua', 'mashavu', 'shavu la samaki', 'branchia', 'gill', 'gills'];Matamvua ya samaki ni viungo kwenye mwili wa samaki na wanyama wengine wanaoishi kwenye maji vinavyowawezesha kupumua, yaani kupeleka oksijeni iliyomo mwenye maji kuingia katika damu.
biological-object;['mfupa', 'mifupa', 'osseous'];Mfupa ni tishu ngumu katika mwili mwa binadamu na wanyama wenye uti wa mgongo.
biological-object;['figo', 'mafigo', 'ugonjwa figo'];Figo ni kiungo cha mwili ambacho kazi yake ni cha kutatanisha: mafigo yanafanya kazi mbalimbali muhimu katika mwili wa binadamu.
biological-object;['kwapa', 'armpits', 'axillae', 'kikwapa', 'kwapa cavity', 'kwapa fossa', 'underarm'];Kwapa ni sehemu ya mwili chini ya bega ambayo katika mwili wa binadamu kwa kawaida huota nywele.
biological-object;['spora', 'kiiniyoga', 'kijimbegu', 'spore', 'heterosporous', 'homosporous', 'spores'];Spora ni jina la hatua ya uzazi bila ngono.
biological-object;['ubongo', 'brain', 'encephalon', 'kazi ya ubongo', 'ubongo ya mamalia'];Ubongo ndio kiini cha mfumo wa neva katika wanyama wote wenye ugwemgongo, na wengi wa wanyama wasio na ugwemgongo.
biological-object;['mkono', 'kiganja', 'kitengele', 'manus'];Kiganja ni sehemu ya mwisho wa mkono inayoishia kwa vidole.
biological-object;['seli', 'cell', 'chembe hai', 'kiini', 'kiini baiolojia', 'kiini kibaiolojia', 'mchakato wa seli', 'seli za wanyama', 'subcellular'];Seli ni chumba kidogo ndani ya mwili wa binadamu, wanyama.
biological-object;['kiwiliwili', 'torso', 'mwili', 'shina'];Kiwiliwili ni sehemu kuu ya mwili bila kichwa, shingo, miguu na mikono na mkia.
biological-object;['kinena', 'nena', 'inguen'];Kinena ni sehemu ya mwili inayounganisha mapaja na fumbatio.
biological-object;['kiunzi nje', 'kiunzi cha nje', 'exoskeleton', 'exoskeletons', 'mnyama shell'];Kiunzi nje ni ganda au ngozi imara inayobeba na kulinda mwili wa mnyama kwa nje, si kwa ndani kama kiunzi cha mifupa.
biological-object;['pistili'];Pistili ni sehemu ya kike ya ua ambayo huwa na sehemu kuu tatu ambazo ni: stigma, staili pamoja na ovari ambazo ndani yake hupatikana chembekike za mmea.
biological-object;['kidole cha mwisho', 'kidole kidogo', 'kidole pinky', 'pinkie', 'pinky'];Kidole cha mwisho ni kidole cha tano mkononi.
biological-object;['kidole cha shahada', 'forefinger', 'index kidole'];Kidole cha shahada ni kidole cha pili mkononi.
biological-object;['tako', 'kitako', 'derriere', 'matako', 'aboral', 'apical', 'basal', 'buns', 'caudal', 'caudally', 'distal', 'dorsolateral', 'dorsoventral', 'hind mwisho', 'ipsilateral', 'kanda gluteal', 'keister', 'kupakana', 'lateral', 'masharti kwa anatomical mahali', 'mkoa gluteal', 'mstari midclavicular', 'nates', 'nyuma mwisho', 'nyuma ya', 'plantar', 'posterior', 'posteriorly', 'prat', 'suala anatomical ya mahali', 'tooshie', 'tush', 'upembeni', 'ventrolateral'];Tako ni sehemu ya mwili inayounganisha mgongo na paja.
biological-object;['uso', 'binadamu uso'];<div class="thumb tright" style="width: px. "> Uso ni sehemu ya mwili inayoweza kumtambulisha zaidi mtu au mnyama.
biological-object;['ndimu', 'chokaa'];Ndimu ni tunda la mndimu, mti wa familia ya michungwa.
biological-object;['kiunzi cha mifupa', 'mifupa', 'kiunzi mifupa', 'viunzi mifupa', 'mifupa ya binadamu', 'skeletal', 'skeletal mfumo', 'systema skeletale'];Kiunzi cha mifupa ni jumla ya mifupa kwenye mwili wa mtu na wanyama.
biological-object;['moyo', 'chumba moyo', 'moyo kulia', 'moyo wa binadamu', 'moyo wa kushoto'];Moyo ni ogani ya mwili inayoendesha mzunguko wa damu mwilini.
biological-object;['muundi', 'ugoko', 'goko'];Muundi ni mfupa mkubwa wa mbele wa mguu ambao unaanzia kifundo hadi goti na umeunganika na mfupa mwingine mdogo ambao umejishikiza kwa sehemu ya pembeni.
biological-object;['aorta', 'aota', 'mkole', 'aortic'];Aorta ni mshipa wa damu unaoanza katika moyo na ambao kazi yake ni kupeleka damu safi yenye oksijeni kwenye sehemu zote za mwili wa binadamu na wanyama mbalimbali.
biological-object;['kikoromeo', 'cartilage tezi', 'tezi cartilage', 'umaarufu laryngeal'];Kikoromeo ni sehemu ya shingo ya binadamu ambayo inajitokeza, hasa katika wanaume.
biological-object;['utumbo mwembamba', 'chango', 'matumbo ndogo', 'ngozi', 'tumbo', 'utumbo mdogo'];Utumbo mwembamba ni sehemu ya mfumo wa mmeng'enyo wa chakula iliopo kati ya tumbo na utumbo mpana.
biological-object;['jani', 'msahafu', 'majani', 'abaxial', 'adaxial', 'ala jani', 'axil', 'axil jani', 'axils', 'crenate', 'foliar', 'jani basal', 'leafage', 'majani eneo', 'margin jani', 'midrib', 'pubescent'];Jani ni ogani ya mimea na kazi yake ya msingi ni usanisinuru na upumuaji.
biological-object;['mboo', 'mshiriki', 'uume'];Mboo au mboro ni kiungo cha uzazi cha kiume ambacho hupitisha shahawa yenye mbegu kutoka mapumbu kupitia kifuko cha akiba kwa kuingizwa katika kuma.
biological-object;['shahawa', 'manii', 'kiini manii', 'manii kiini', 'spermatozoa', 'spermatozoan'];Shahawa (ing.
biological-object;['chavulio', 'stameni', 'androecium', 'androphore', 'anthers', 'staminate'];Chavulio ni sehemu ya stameni, ambayo ni sehemu ya kiume ya ua.
biological-object;['kiuno', 'waistline'];Kiuno ni sehemu ya mwili kati ya fumbatio na manyonga.
biological-object;['jicho', 'mboni', 'macho', 'oculus', 'optic', 'macho eneo', 'oculi'];Jicho ni sehemu ya mwili inayowezesha kuona.
biological-object;['pua', 'olfactory chombo'];Pua ni kiungo cha mwili wa watu na wanyama vertebrata.
biological-object;['mfumo wa mzunguko wa damu', 'mzunguko wa damu', 'circulatory system', 'cardiopulmonary', 'circulatory mfumo', 'haemocoel', 'hemocoel', 'mfumo wa damu', 'mfumo wa moyo', 'mfumo wa usambazaji', 'moyo na mishipa', 'mzunguko', 'usambazaji wa damu', 'vasculature', 'wazi circulatory mfumo'];Mfumo wa mzunguko wa damu
biological-object;['shingo', 'nuchal'];Shingo ni sehemu ya mwili wa mnyama au binadamu inayounganisha kichwa na kifua.
biological-object;['utumbo', 'bowel', 'matumbo', 'enteric', 'gastro-intestinal', 'gut', 'guts', 'intestinal', 'intestinal upumuaji', 'lumen intestinal', 'lumen matumbo', 'mfumo utumbo', 'mucosa intestinal', 'njia gastro-intestinal', 'njia ya binadamu utumbo', 'njia ya juu utumbo', 'vyombo vya digestive'];Utumbo ni ogani ya mwili inayounganisha tumbo na mkundu.
biological-object;['kifua', 'pectus', 'thorax'];Kifua ni sehemu ya mwili inayounganisha shingo na fumbatio.
biological-object;['paja', 'mapaja'];Paja ni sehemu wa mguu inayounganisha nyonga na goti.
biological-object;['kigasha', 'forearm', 'forearms'];Kigasha ni sehemu ya chini ya mkono kati ya kisugudi na kiganja.
biological-object;['umio', 'koromeo', 'makutano gastroesophageal', 'sphincter esophageal ghorofani', 'sphincter esophageal juu'];Umio (lat.-ing.
biological-object;['mgongo', 'nyuma'];Kwa maana mengine ya jina hili angalia hapa mgongo
biological-object;['tunda', 'matunda', 'ganda mbegu'];Matunda ni sehemu za mimea zilizo na mbegu ndani yao.
biological-object;['kidole cha kati', 'kidole kikubwa', 'kidole kirefu', 'katikati kidole', 'kidole katikati'];Kidole cha kati ni kidole cha tatu mkononi.
biological-object;['sikio', 'masikio', 'sikio binadamu'];Masikio ni sehemu za mwili zinazowezesha kusikia sauti.
biological-object;['mfumo wa neva', 'nervous system', 'mfumo neural', 'mifumo ya neva', 'neural', 'niurojeniki', 'systema nervosum'];Mfumo wa neva ni sehemu ya mwili wa wanyama ambayo inaratibu matendo yake ya hiari na yasiyo ya hiari na kutuma taarifa kati ya viungo mbalimbali.
biological-object;['uti wa mgongo', 'mgongo', 'mgongo safu', 'rachis', 'safu mgongo', 'safu ya uti wa mgongo', 'spinal column', 'vertebrae'];Uti wa mgongo ni nguzo ya mifupa ambayo ni kiini cha kiunzi cha mifupa katika miili ya vetebrata kama binadamu, mamalia wote na pia wanyama wengine wengi kama samaki, reptilia na ndege.
biological-object;['chuchu', 'mamilla', 'mammilla', 'nipple', 'pap'];Chuchu ni kichirizi kinachounganisha kwa viwele.
biological-object;['fofota', 'massa', 'massa meno'];Fofota ni sehemu ya ndani ya jino.
biological-object;['mfumo wa upumuaji', 'mfumo wa upumuo', 'respiratory system', 'kupumua', 'kupumua mfumo', 'mfumo wa kupumua', 'systema respiratorium'];Mfumo wa upumuaji ni jumla ya viungo vyote mwilini vinavyohusika na upumuo.
biological-object;['mfumo wa homoni', 'endokrini mfumo', 'mfumo endokrini'];Mfumo wa homoni ni jumla ya tezi za mwili zinazomwaga homoni kwenye mzunguko wa damu pamoja na ogani zilizo tayari kupokea homoni hizo.
biological-object;['kidole gumba', 'kidole cha gumba', 'pollex', 'thumb', 'thumb opposable', 'thumbs'];Kidole gumba ni kidole cha kwanza mkononi.
biological-object;['kidole cha kati cha kando', 'kidole cha pete', 'pete kidole', 'annualry'];Kidole cha kati cha kando ni kidole cha nne mkononi.
biological-object;['ufizi wa meno', 'gingiva', 'ufizi'];Ufizi wa meno ni tishu laini inayofunika mataya ndani ya kinywa.
biological-object;['kichwa', 'cephalic'];Kichwa ni sehemu ya mwili ambayo kwa mwandadamu na vetebrata huwa na ubongo, macho, masikio, pua na kinywa ambazo hutumiwa kwa kuona, kusikia, kunusa, na kuonja.
causal-role;['kitakasa', 'antimicrobiano', 'antimikrobiell', 'disinfectant', 'germicide', 'antimicrobials', 'antimicrobic', 'disinfect', 'disinfectants', 'kupambana na microbial', 'sanitizer', 'wakala antimikrobiell'];Kitakasa ni misombo ya kemikali inayotumika ili kuharibu vimelea.
chemical-object;['molekuli', 'molekyuli', 'masi', 'muundo wa molekuli'];Molekuli ni maungano ya kudumu ya angalau atomi mbili au zaidi.
chemical-object;['ioni', 'ion', 'anions', 'cationic', 'cations', 'dianion', 'ions', 'nonionic'];Ioni ni neno la fani ya kemia kwa ajili ya atomi au molekuli yenye chaji ya umeme.
chemical-object;['protini', 'protein', 'proteini', 'awali protini', 'polyprotein'];Protini ni molekuli ndefu na sehemu za lazima katika muundo wa seli za mwili wa viumbehai.
chemical-object;['isotopi', 'aisotope', 'isotopu', 'isotope'];Isotopi ni aina tofauti za atomi za elementi za kikemia.
classification-system;['kalenda ya jua-mwezi', 'kalenda jua-mwezi', 'lunisolar calendar', 'kalenda lunisolar', 'lunisolar', 'lunisolar kalenda'];Kalenda ya jua-mwezi ni kalenda inayotumia awamu za Mwezi pamoja na mwaka wa jua.
classification-system;['kalenda ya mwezi', 'kalenda za mwezi', 'kalenda'];Kalenda ya Mwezi ni kalenda inayohesabu miezi kufuatana na mwendo wa Mwezi kwenye anga.
classification-system;['kalenda ya jua', 'mwaka wa jua', 'nishati ya jua kalenda'];Kalenda ya jua ni kalenda inayofuata mwendo wa jua jinsi inavyoonekana angani.
classification-system;['html', 'hypertext markup language', 'hypertext alama-up lugha', 'hypertext ghafi lugha'];HTML ni kifupi cha "HyperText Markup Language" au Lugha ya kutunga matini ya mtandao.
classification-system;['mfumojalada', 'mfumo wa faili', 'filesystems', 'kufungua mfumo', 'mfumo faili'];Katika utarakilishi, mfumojalada unadhibiti vilevile majalada ambayo yanatunzwa na yanapatwa katika tarakilishi.
classification-system;['kalenda', 'calendar'];Kalenda ni utaratibu wa kupanga wakati.
classification-system;['mfumo majira', 'kumbukumbu ya mfumo', 'kuratibu', 'kuratibu mfumo', 'mabadiliko kuratibu', 'mabadiliko ya kuratibu', 'mfumo kuratibu', 'mifumo kuratibu', 'muafaka kumbukumbu', 'muafaka ya kumbukumbu', 'muafaka za rejea', 'rejea sura'];Mfumo majira ni mbinu wa hisabati unaoeleza nafasi ya kila nukta katika seti ya namba.
classification-system;['kalenda ya kiislamu', 'hijri', 'kiislamu kalenda', 'mohammed kalenda', 'moslem kalenda', 'muslim kalenda', 'mwislamu kalenda'];Kalenda ya Kiislamu ni mtindo wa kuratibu wakati unaopatikana katika nchi mbalimbali za Kiislamu.
classification-system;['muundo wa data', 'data muundo', 'miundo data'];Katika utarakilishi, muundo wa data ni mpangilio wa data unaowezesha upatikanaji na mabadiliko yenye kufaa.
classification-system;['kalenda ya juliasi', 'old style kalenda', 'julian kalenda', 'kalenda julian', 'mwaka julian', 'sinema kale na tarehe mpya sinema'];Kalenda ya Juliasi ni kalenda iliyoanzishwa katika Dola la Roma kwa amri ya Julius Caesar mnamo mwaka 46 KK Ilichukua nafasi ya kalenda ya Kirumi iliyotangulia.
classification-system;['kalenda ya gregori', 'gregory kalenda', 'kalenda ya gregory', 'kalenda ya kikristo', 'kalenda ya magharibi', 'mpya sinema kalenda'];Kalenda ya Gregori ni kalenda ambayo leo inatumiwa zaidi kimataifa.
cognitive-event;['libido', 'ashiki', 'nyege'];Libido ni uchu au hamu ya kujamiana ambayo hupatikana kwa wanaume na kwa wanawake.
cognitive-event;['kijicho', 'wivu', 'enviousness'];Kijicho ni hisia au kilema kinachomfanya binadamu asikitikie mambo mema waliyonayo wengine.
cognitive-event;['kiburi', 'pridefulness'];Kiburi ni hamu isiyoratibiwa ya kujipatia ukuu dhidi ya wengine.
cognitive-event;['sera za kigeni', 'mambo ya nje'];Sera za kigeni, ya nchi pia inaitwa sera ya mahusiano ya kimataifa, ni seti ya malengo inayoonyesha jinsi nchi hiyo itakuwa ikihusiana na nchi zingine kiuchumi, kisiasa, kijamii na kijeshi, na kwa kiwango kidogo, jinsi itakuwa ikihusiana na wahusika wasio mataifa huru.
cognitive-event;['ubeberu', 'mabeberu', 'ubeberu wa magharibi'];Ubeberu kikawaida hutaja masuala ya kisiasa eneo la kijiografia linamilikiwa na milki au dola kama vile Dola la Osmani, Dola la Ufaransa Dola la Urusi, Dola la Uchina, au Dola la Uingereza, na kadhalika.
cognitive-event;['ndoto', 'njozi'];Ndoto ni mfululizo wa picha, mawazo, mihemko na hisia ambao unatokea akilini, kwa kawaida bila makusudi, katika hatua fulanifulani za usingizi.
cognitive-event;['uzinifu', 'lecherousness', 'tamaa', 'utamanifu'];Uzinifu ni hamu isiyoratibiwa ya ashiki katika maisha ya binadamu.
cognitive-event;['hisia', 'hisia za binadamu', 'kihisia'];Hisia ni mihemko ambayo binadamu na wanyama hujisikia moyoni na huathiri mwili pia kupitia ubongo.
cognitive-event;['ubadilishaji data', 'uongofu data', 'data uongofu'];Katika utarakilishi, uongofu data ni kitendo cha kubadilisha umbizo wa data ya tarakilishi kutoka umbizo mmoja hadi mwingine.
cognitive-event;['dhamiri', 'aibu', 'hisia ya haki na makosa', 'maadili hisia', 'maadili hisia nadharia', 'sentimentalism'];Dhamiri ni kipawa cha binadamu kinachomwezesha kuamua kuhusu uadilifu au uovu wa tendo fulani analolikabili au alilolitenda.
cognitive-event;['ono', 'passionateness', 'shauku'];Ono ni hali inayompata binadamu au mnyama kwa ndani, lakini inajitokeza kwa nje.
cognitive-event;['ubunifu', 'akili imagery', 'imagery', 'imagery akili', 'mawazo'];Ubunifu
cognitive-event;['ufahamu', 'kuelewa', 'savvy', 'uelewa'];Ufahamu ni dhana inayorejelea kujua na kuielewa jambo kwa usahihi na kuweza kulielezea upya kwa usahihi bila kupoteza maana yake ya msingi.
cognitive-event;['kumbukumbu', 'kukumbuka'];Kumbukumbu ni hali ya kuweza kutambua jambo uliloliona au kuweza kufafanua au kuelezea jambo ulilolihifadhi ndani ya kichwa chako.
cognitive-event;['mitindo', 'fashion', 'mtindo', 'fashions', 'sekta ya mtindo'];Mitindo ni njia ya mtu, kundi au jamii kufanya au kuwasilisha jambo kwa namna maalumu.
cognitive-event;['fikira', 'fikra', 'mawazo', 'kufikiri', 'mawazo mchakato', 'cerebration', 'intellection', 'madhumuni'];Fikira au Fikra ni ujumbe uliotumwa kutoka akilini kwa ajili ya viumbe hai ili kujua kutenda jambo bila kukosea.
cognitive-event;['tashihisi', 'anthropomorphism', 'anthromorphic', 'anthropomorph', 'anthropomorphic', 'anthropomorphize', 'anthropomorphized', 'mtu'];Tashihisi
cognitive-modal-description;['ushikiliaji ukale', 'conservatism', 'conservativism', 'kihafidhina', 'conservatives', 'kidini kihafidhina', 'kihafidhina kisiasa', 'ultra-kihafidhina', 'ultraconservative'];Ushikiliaji Ukale ni wazo la kisiasa.
cognitive-modal-description;['ufashisti', 'fascists'];Ufashisti ni siasa ya mrengo wa kulia ambayo ilitawala Italia tangu mwaka 1922 hadi 1943 ikiongozwa na mwanzilishi wake, dikteta Benito Mussolini.
cognitive-modal-description;['usoshalisti', 'ujamaa', 'harakati ya kijamaa', 'socialistic', 'wajamaa'];Usoshalisti ni nadharia ambayo inahusu siasa na uchumi na kutaka njia kuu za uchumi ziwe na manufaa kwa jamii nzima. ili kuhakikisha hilo, inataka zimilikiwe na umma, dola au taifa.
cognitive-modal-description;['ukomunisti', 'wakomunisti', 'chama cha kikomunisti', 'nadharia ya kikomunisti'];Ukomunisti ni njia ya kisiasa ya kufikiri na dhana ya jinsi gani jamii inapaswa kufanya kazi na kupanga mambo yake.
cognitive-modal-description;['heshima'];Heshima ni kitu anachopewa mtu kama alama ya kuthaminiwa kwake.
cognitive-modal-description;['itikadi', 'falsafa ya kisiasa', 'ideologist', 'ideologue', 'kiitikadi', 'kisiasa mwanafalsafa', 'kisiasa nadharia', 'kisiasa ya ngono'];Itikadi ni mkusanyiko wa imani unaoshirikiwa na kikundo cha watu fulani.
cognitive-modal-description;['ukanaji mungu', 'atheism', 'uatheisti', 'wakanamungu', 'atheistic', 'hawamjui'];Ukanaji Mungu ni dhana inayokataa kuwepo kwa Mungu.
cognitive-modal-description;['mamlaka ya watu weupe', 'nyeupe-supremacist', 'nyeupe ukuu', 'supremacism nyeupe', 'supremacists nyeupe', 'ukuu nyeupe', 'white supremacist'];Mamlaka ya watu wepe ni itikadi ambayo imejikita katika imani ya kumwezesha au kumhamasisha mtu mwepe kuwa juu na bora zaidi kwa watu wa rangi nyingine hivyo basi, watu weupe waweze kuwashinda watu ambao sio weupe katika nyanja zote yaani kiuchumi, kisiasa na kijamii.
combinatorial-system;['sintaksi', 'sintaksia', 'sarufi miundo', 'kisintaksia', 'miundo ya sentensi', 'muundo kisintaksia', 'phrase muundo', 'syntactical', 'syntax'];Sintaksi ni tawi la isimu au taaluma ya sarufi inayoshughulikia namna ambavyo vikundi vya maneno na sentensi mbalimbali zinajengwa katika lugha.
commerce-role;['shehena', 'cargo', 'mizigo', 'bahari mizigo', 'consignment', 'hakuna tena wa kununua', 'shehena ya usafiri', 'transport', 'usafiri wa mizigo'];Shehena inamaanisha mzigo wa bidhaa ambazo zinasafirishwa, mara nyingi kwa kutumia chombo cha usafiri kama vile lori, treni, meli au eropleni.
