abstract-region;['limiet', 'limieten'];In de wiskunde is e limiet e weirde die deur e functie in 't oneindige kan wordn benoaderd.
agentive-physical-object;['aketisse', 'aketissn', 'hoagedisse', 'hoagedissn', 'lacertilia', 'oagedisse', 'sauria'];Aketissn, akketessn, lokketetsn of hoagedissn zyn een ounderorde van de schubreptieln.
agentive-physical-object;['knoagbeestn', 'knoagbêestn', 'knoagdiern', 'rodentia'];Knoagbeestn zyn 'n orde van zoogbeestn die gekenmerkt wordn deur één poar continu groeinde snytandn in de boovn-en oenderkoake.
agentive-physical-object;['kardemong', 'cardemom', 'kardemom'];Kardemong is e specerye van de familie van gember.
agentive-physical-object;['hommels', 'hommel', 'bombus'];Hommels is e groep van byen uut 't geslacht Bombus.
agentive-physical-object;['bertelôot', 'squatina', 'squatina squatina'];De bertelôot of zêe-iengel is e vis uut de familie van iengelhoain.
agentive-physical-object;['bertelôot', 'squatina', 'squatina squatina'];Squatina is e geslacht van zêe-iengels of iengelhoain.
agentive-physical-object;['pinguins', 'spheniscidae', 'sphenisciformes'];Pinguins zyn zworte zêeveugels mè ne wittn buuk van de familie Spheniscidae, orde Sphenisciformes.
agentive-physical-object;['fulica'];Fulica is e geslacht van de ralachtign.
agentive-physical-object;['insektn', 'insecta', 'insecte', 'insectn', 'insekte'];Insektn zyn e klasse van oengewervlde bêestn binn de stamme van de gelêedpôotign die 'n uutwendig chitineachtig skelet ên, e driedêelig lichoam, drie poar gelidde pôotn, saamngestelde oogn en êen poar antenn.
agentive-physical-object;['kokmêeuwe', 'larus ridibundus', 'chroicocephalus ridibundus'];De kokmêeuwe es ne veugel van de familie van de mêeuwn.
agentive-physical-object;['hoagemussche'];Hoagemusschn zyn zangveugels uut de familie van de hoagemusschn, woarin dan der buutn de geweune hoagemussche nog 12 aar sôortn zittn.
agentive-physical-object;['hoazelworme', 'anguis fragilis', 'hazelworm', 'oazelworme'];Hoazelwormes zyn êen van de weinige sôortn lokketetsn zounder pôotn.
agentive-physical-object;['distelvienke', 'carduelis carduelis', 'distelvink'];Distelvienkn is e zangveugel uut de familie van de vienkn.
agentive-physical-object;['ree', 'capreolus capreolus', 'reeën'];Reeën zyn klêne hertn die vôornkommn in verre hêel Europa, Turkeye en de Kaspische Zêe.
agentive-physical-object;['musse', 'mussche', 'passer domesticus', 'uusmusse'];Een musse, of ôok mussche, of beter een uusmusse es ne veugel da je vele teegnkomt in unen of.
agentive-physical-object;['ysveugel', 'alcedo atthis'];Ysveugels zyn e sôorte van veugels die surtout upvolln omdan ze zukke stravve kleurn hen, etwot die in gemoatigde streekn redelik uutzounderlik is.
agentive-physical-object;['tope', 'soricidae'];Toopn of tolpn zyn zoogdiern uut de orde van de insectneters.
agentive-physical-object;['egel', 'erinaceus europaeus'];Egels zyn zoogdiern die in West-Vloandern vele vôornkomn, je zie ze geregeld in hovetjes.
agentive-physical-object;['hoazeloare', 'corylus avellana', 'oazeloare'];En oazeloare is e sôorte troenke uut de familie van de berkn.
agentive-physical-object;['toornvalke', 'falco tinnunculus', 'tôornvoolke'];De toornvalke es nen rôofveugel uut de familie van de valkachtign.
agentive-physical-object;['drietêenstrangeloper', 'calidris alba', 'drietêenstrandloper'];Den drietêenstrangeloper is e veugel uut de familie van de snipachtign.
agentive-physical-object;['tryntje', 'spinus spinus'];Tryntje is e zangveugeltje út de familie van de vienkn.
agentive-physical-object;['stern', 'sternidae', 'sterns'];Sternn zyn zêeveugels van de familie Sternidae, verwant an de mêeuwn.
agentive-physical-object;['hoagemusschn', 'prunella', 'prunellidae'];D' hoagemusschn zyn e familie van zangveugels mè moar één geslacht Prunella.
agentive-physical-object;['miern', 'formicidae', 'miere'];Miern zyn eusosjoale insektn van de famielje Formicidae en, tegoare mê de verwante wespn en byn, ôorn ze by d' orde van de vliesvleuglign.
agentive-physical-object;['peird', 'peerd', 'equus caballus'];'t Peird is e gedomesticeerde hoefbêeste uut de orde van de oeneevnhoevign.
agentive-physical-object;['lysters', 'turdidae'];Lysters zyn e familie van zangveugels met e weireldwyde verspreidienge.
agentive-physical-object;['spaansche ratte', 'cavia porcellus', 'spoansche ratte', 'cavia'];Dit artikel es geschreevn in 't Ypers, en da zou best ozô bluuvn.
agentive-physical-object;['hoaze', 'lepus europaeus', 'oaze', 'hoazn', 'lepus'];Dit artikel es geschreevn in 't Ypers, en da zou best ozô bluuvn.
agentive-physical-object;['echte paddn', 'bufonidae'];Echte paddn zyn e familie van de puutachtign.
agentive-physical-object;['intespugers', 'sepiida'];Intespugers of sepia's zyn 'n orde van intevissn of koppootign.
agentive-physical-object;['vos', 'vulpes vulpes'];Dit artikel es geschreevn in 't Ypers, en da zou best ozô bluuvn.
agentive-physical-object;['cloacabêestn', 'monotremata'];Cloacabêestn vormn een orde van bêestn die leevn in Australië, Tasmanië en Nieuw-Guinea.
agentive-physical-object;['brombeier', 'broambeier', 'broamn', 'rubus fruticosus'];De broambeier is 't fruut van e mêerjoarige plante van de familie van de rôozn.
agentive-physical-object;['kemel'];De kemel is e grôte hoefbêeste van de familie van de Camelidae, ofkomstig van de stepn van Centraal-Azië.
agentive-physical-object;['twêevleuglign', 'diptera', 'twêevleugelign'];De twêevleuglign of Diptera zyn 'n orde van insektn woa da al de vliegn en meezjs byôorn.
agentive-physical-object;['mottn', 'heterocera', 'motte', 'nachtvliendrs'];Mottn of nachtvliendrs zyn e groep insektn die verwant zyn mê de vliendrs en die dêel uutmoakn van d' orde van de schubvleuglign.
agentive-physical-object;['poapegoais', 'psittaciformes'];Poapegoais zyn en orde van veugels die up te dêeln zyn in 3 families en 372 bekende sôortn.
agentive-physical-object;['snoek', 'esox lucius'];Dit artikel es geschreevn in 't Ypers, en da zou best ozô bluuvn.
agentive-physical-object;['veugel', 'aves', 'veugels'];Veugels zyn e biologische klasse van chordabêestn.
agentive-physical-object;['kôornsaloa', 'valerianella locusta', 'valerianella olitoria', 'kôornsala'];Kôornsaloa is e sôorte groonsel, die in 'n tyde nie mêer of wiet wos die tusschn de wienterterwe groeide.
agentive-physical-object;['seldery', 'selder', 'apium graveolens'];Seldery of selder is e tweejoarig kruud van de familie van de schermblommigen.
agentive-physical-object;['lama', 'lama glama'];De lama, is e Zuud-Amerikoansche gedomesticeerde hoefbêeste uut de familie van de kemelachtigen.
agentive-physical-object;['luuzn', 'phthiraptera'];Luuzn zyn 'n orde van insectn zoender vleugels mè bykans 5000 soortn.
agentive-physical-object;['veelvroate', 'gulo gulo'];E veelvroate is de grotste sôorte marterachtige die up 't land leeft, ollêne 'n reuznotter is e bitje grodder.
agentive-physical-object;['schoap', 'ovis aries', 'schaap', 'schoapn'];Dit artikel es geschreevn in 't Ypers, en da zou best ozô bluuvn.
agentive-physical-object;['riengelworms', 'annelida', 'riengwurms'];Riengelworms of riengwurms zyn e grôte stamme van oungewervelde, gesegmenteerde bêestn mè mêer of 17.000 sôortn, woarounder de bustelworms, de bloedzuugers en de reegnworms.
amount-of-matter;['kaffie', 'kafje'];Kaffie of kafje is e drankske da ze moakn van de gemoaln e gerôosterde kaffiebôonn van de kaffieplante en woater da juste gekookt ei.
amount-of-matter;['woater', 'h₂o'];Woater is, chemisch gezien, e verbiendieng tusschn 2 woaterstofatoomn e 1 zuurstofatoom.
amount-of-matter;['kalium', 'k'];Kalium es een scheikundig element van het type alkalimetoal.
amount-of-matter;['inte', 'ienkte', 'inkte'];Inte is e vloeistoffe mè pigmentn of kleurstoff'n, die gebruukt wordt vor en ippervlak te kleurn en azo en tekst, ofbeeldienge of ountwerp te produceern.
amount-of-matter;['zuurstof', 'o', 'zeurstoffe', 'zuurstoffe'];Zuurstof of zeurstoffe is 't chemisch element mè symbool O en atoomnummer 8.
amount-of-matter;['woaterstof', 'h', 'woaterstoffe'];Woaterstof es een scheikundig element van 't type alkalimetoal.
amount-of-matter;['dna', 'desoxyribonucleïnezuur'];Desoxyribonucleïnezuur, by de mêeste minsn beter gekend ounder zyn ofkortienge DNA es et erfelik materioal van olle leevnde weezns.
amount-of-matter;['isomo', 'ps', 'poly', 'eps', 'expanded polystyrene'];Isomo is een sorte van styf lichte, witte kunststoffe, die styf vele gebruukt is.
amount-of-matter;['koolstof-14'];Koolstof-14 of 14C is een radioactieve isotoop van koolstoffe dat in 1940 ontdekt wierd deur Martin Kamen en Sam Ruben van 't unif van Berkeley.
amount-of-matter;['yperiet', 'mosterdgas'];Yperiet of mosterdgas is e vloeistoffe die styf pykt as ze in contact komt mi je vel of jen ôgen.
amount-of-matter;['helium', 'he'];Helium es e scheikundig element van et type edelgas, 'tgeen die wil zeggn da 't hêel reks in de tabelle van Mendeljev stoat.
amount-of-matter;['leucine'];Leucine es een natuurlyk aminozuur.
amount-of-matter;['melk'];Melk is e witte vloeistoffe die geproduceerd wordt deur de borstkliern van zoogbeestn, inclusief van menschn.
amount-of-matter;['carbong', 'carboun', 'c', 'carbon', 'koolstof', 'koolstoffe'];Carbong of koolstoffe es een element van de tabelle van Mendeljev.
amount-of-matter;['sulfer', 'solfer', 's', 'zwavel', 'zwoavel'];Sulfer of zwoavel is e chemisch element me atoomnummer 16.
amount-of-matter;['valine'];Valine es een natuurlyk aminozuur.
amount-of-matter;['isoleucine'];Isoleucine es êen van de 20 natuurlyke aminozuurn.
amount-of-matter;['koolstofmonoxide', 'co'];Koolstofmonoxide, met de chemische formule CO, is een klurlôos en vrê giftig sôorte gaze da nie kan gerookn of geproefd wordn.
amount-of-matter;['proteïne', 'eiwit'];Een proteïne of eiwit es een biologisch polymeer da in elke celle vôorkomt.
amount-of-matter;['alcool', 'alcol'];Alcool wordt vele als synoniem vo ethanol gebruukt.
amount-of-matter;['chemisch element', 'scheikundig element'];E chemisch element is een ienkelvoudige stoffe die nie verdêeld kan wordn in êen of mêer andere stoffn deur chemische bewerkiengn.
amount-of-matter;['seenappelsap', 'appelsiensap'];Seenappelsap is e drank die wordt gemakt deur seenappels uut te persn.
amount-of-matter;['aminozuur'];Een aminozuur es een chemische stoffe die an de êne kant een amine-functie eit en an de andere kant een carboxyl-functie.
amount-of-matter;['kortndrank', "kort'ndrank", 'kortendrank'];Kortndrank es nen drank woarin dat er mêer dan twêeëntwintig groadn alcol zit.
amount-of-matter;['wyn'];Wyn is e drank met alcohol, die wor gemakt deur 't fermenteren van druuvn en druvesap.
amount-of-matter;['melk'];Melk is e witte vloeistoffe die geproduceerd wordt deur de borstkliern van zoogbeestn, inclusief van menschn.
amount-of-matter;['materie'];Materie es 't materioal woaruut dat olles bestoat.
amount-of-matter;['glycine'];Glycine es êen van de 20 natuurlyke aminozuurn.
amount-of-matter;['bloody mary'];E Bloody Mary is e cocktail, die hoofdzoakelik bestoat uut tomattezop en wodka.
biological-object;['oader'];Een oader is e soorte bloedvat die zorgt vo 't werevoern van bloed noa 't herte.
biological-object;['orgoan'];En orgoan is e groep weefsels in en organisme met ein of meir fysiologische functies.
biological-object;['wortelstok'];E wortelstok of rhizoom is e sôorte styngel van e plante die mêestal horizontoal ounder de ground kruupt en wortels vormt.
biological-object;['toenge'];De toenge is e gespierd orgoan in de moend van de mens en de meiste andere gewerveld'n en dient vo 't eet'n te knabbeln, te zwelgn en vo de smoake.
biological-object;['zoadbloaze', 'zoadbloasje'];De zoadbloasjes moakn dêel uut van 't vôortplantiengsstelsel van de vint.
biological-object;['rebbe', 'rebbn'];De rebbn zyn beenders die tôpe de rebbekasse vormn.
biological-object;['citrus'];Citrus is e geslacht van bloeinde boomn en struukn in de ruutefamilie.
biological-object;['litchi'];Ne litchi is een tropische bôomsorte, die ol ouzes surtout gekend is omwille van zyn fruut, die ôok litchi's zyn genoemd.
biological-object;['kliere van cowper'];De kliere van Cowper of bulbo-urethroale kliere is één van de twêe klêne kliern die dêel uutmoakn van 't vôortplantiengsstelsel van de vint en andere mannelikke zôogbêestn.
biological-object;['appel', 'appels'];Een appel is de vrucht van den appelboom Malus domestica.
biological-object;['tand'];E tand is en harte, verkalkte structeure in de koake of de moend van vele beist'n.
biological-object;['elletuute'];Een elletuute is 't gewricht die de verbiendienge vormt tusschn de boovnoarm en den oenderoarm.
biological-object;['gebied van wernicke', 'centrum van wernicke'];‘t Gebied van Wernicke, genoemd noa den ountdekker Carl Wernicke, is êen van de twêe stikkn van de cortex cerebri in d’heirsens.
biological-object;['dutsekop', 'schedel', 'totsekop'];Een dutsekop, totsekop of schedel is de structeure van de bêenders van 't hoofd by de mens of de kop by de bêeste.
biological-object;['pense', 'pens'];De pense is een voormage by de erkauwers lik koeien, schapen en buffels.
biological-object;['erte', 'herte', 'zoogdiernerte'];Een erte is e holle spiere die, deurdat em geregeld t'hopetrekt, bloed deur e lichoam poempt.
biological-object;['gebied van broca'];'t Gebied van Broca of 't center van Broca is een dêel van d' hêssens genoemd achter hunder ountdekker, Paul Pierre Broca, en stoat ook bekend as 't motorisch sproakcenter.
biological-object;['nekke'];De nekke is, by de mens en by vele andere gewervelde bêestn, 't dêel van 't lyf tusschn de kop en de reste van 't lichoam.
biological-object;['rik', 'rugge'];Ne rik is by de gewervelde beestn, e gedeelte van 't lichoam met wervels en rebbn.
biological-object;['kinne'];By menschn is de kinne 't oenderste deil van 't oanzichte oender de moend.
biological-object;['buuk'];De buuk of 't abdomen is by de gewervlde bêestn woaroendre de mens 'n olte, de buuk-olte, die gevuld is mêt 'n antal orgoann die in d' êeste plekke te moakn ên mêt de spysverteirienge, de uurieneproduuksje en de vôortplantienge.
chemical-object;['proteïne', 'eiwit'];Een proteïne of eiwit es een biologisch polymeer da in elke celle vôorkomt.
classification-system;['julioansche kalender'];De julioansche kalender is e zunnekalender die in 't antyke Rome gebruukt wierd.
classification-system;['gregorioansche kalender'];De gregorioansche kalender, genoemd noa paus Gregorius XIII die hèm in 1582 invoerde, is bykans in al de land'n van de weireld d'n officiële kalender.
course;['apocalyps'];Apocalyps is Grieks vor oopnboarienge.
course;['zunsverduusterienge'];Een zunsverduusterienge geburt ot de moane tusschn de zunne en d' eirde passèrt en de zunne gedêeltelik of hêelteganstn bedekt.
dependent-place;['absis', 'apsis'];Nen absis (mv.
dependent-place;['tribune'];E tribune es en oopn verdiepienge woa da 't vook kut zittn.
dependent-place;['geosfeer', 'lithosfeer'];De lithosfeer is 't ounbuugzoame omhulsel van een rotsachtige planete gelik d' Eirde.
dependent-place;['geosfeer', 'lithosfeer'];'t Wôord geosfeer wordt vantydn gebruukt vo 't rotsachtig dêel van d' eirde.
dependent-place;['hydrosfeer'];Een hydrosfeer in physische eirdrykskunde beschryft de combinèrde massa woater da gevoundn wordt up
ecological-collective;['plantn', 'plantae', 'plante', 'planten'];Plantn zyn leevnde organismn.
ecological-collective;['bus', 'wälder', 'bos'];Bus is begroeiienge die surtout uut boomn bestoat, met ook nog de legere oundergroei van plantn en uttn d'r by.
functional-matter;['kaffie', 'kafje'];Kaffie of kafje is e drankske da ze moakn van de gemoaln e gerôosterde kaffiebôonn van de kaffieplante en woater da juste gekookt ei.
functional-matter;['bloewost', 'bloelienk', 'bloeling'];Bloewost of bloelienk is een worst die normoalgezien bestoat uut een miengsel van bloed mè vet of smout, spek, kruudn en vulmiddels.
functional-matter;['mente'];E mente is e sôorte spekke.
functional-matter;['schutteldoek', 'schotelvod'];Een schutteldoek is e sôorte slunse die gebruukt wordt in de keukn vo de toafel, 't anrecht, de woaterstêen en 't fornuus of te kuuschn.
functional-matter;['kant', 'kloskant'];Kant is een kunstige vlechtinge van droadn.
functional-matter;['gebak', 'patisserie'];Patisserie è de noame van sneukelgoed en toartn di gemakt wèrn deur te bakn in nen oven.
functional-matter;['sjeklitte', 'tuttefrut', 'chiclette', 'sjiklette', 'sjiklitte'];E chiclette, sjeklitte of spirment is e klêne twad da gelykt ip e spekke.
functional-matter;['zand'];Zand is los, korrelig materioal en één van de mêest vôornkommende nateurlyke stoffen ip eirde.
functional-matter;['sjeklitte', 'tuttefrut', 'chiclette', 'sjiklette', 'sjiklitte'];E chiclette, sjeklitte of spirment is e klêne twad da gelykt ip e spekke.
functional-matter;['leem', 'lêem'];Leem is e groendsoorte die bestoat uut 20% zand, 70% silt en 10% klyte.
functional-matter;['spekke', 'spekkn'];E spekke is e klêene sôorte sneukelienge.
functional-matter;['sigarre'];E sigarre of sigare is e rolletje toebak met e toebaksblad der roend da dient voe te smoôrn.
functional-matter;['bustik', 'biefstuk', 'steak'];Bustik of bufstik es de noame van e sorte zocht en moager vlêes, mêestal van e koebêeste.
functional-matter;['koas'];Koas is e zuuvelproduct die geproduceerd wordt van melk in verschillige soortn smoakn, texteurn en vormn.
functional-matter;['zêem', 'heuning', 'zeem'];Zêem is en voediengsmiddel da gemakt wordt deur biejn.
functional-matter;['toespyze'];Toespyze bestoat uut etenswoarn die mêestal by brôod wordn g'eetn.
functional-matter;['melk'];Melk is e witte vloeistoffe die geproduceerd wordt deur de borstkliern van zoogbeestn, inclusief van menschn.
functional-matter;['marseping', 'massepein'];Marseping is e mingelinge van gemoaln amandels en suker met e bitje rozewoater vo de smoake.
functional-matter;['beuter', 'beutre', 'butter'];Beuter is e vaste kneedboare emulsie van woater en melkvet, die verkreegn is uut melk, room, melkwei of e mingelinge dervan.
functional-matter;['petat', 'solanum tuberosum', 'aardappel', 'patat', "patat'n", 'patatte', 'patatten', 'patattn', "petat'n", 'petatn', 'petatte', 'petatten'];E petat of patat es e plante, mêer bepoald de sorte Solanum tuberosum.
functional-matter;['citrus'];Citrus is e geslacht van bloeinde boomn en struukn in de ruutefamilie.
functional-matter;['muzestrountjes', 'muzestroentjes'];Muzestroentjes zyn klêne korrelkes van chocla.
functional-matter;['seenappelsap', 'appelsiensap'];Seenappelsap is e drank die wordt gemakt deur seenappels uut te persn.
functional-matter;['klakoars', 'klakkoards'];Klakoars, klakkers of verlôorn brôod, is e gerecht emakt van wit brôod da dikkers ni mè goed enoeg is om azôa op 't eetn.
functional-matter;['litchi'];Ne litchi is een tropische bôomsorte, die ol ouzes surtout gekend is omwille van zyn fruut, die ôok litchi's zyn genoemd.
functional-matter;['kortndrank', "kort'ndrank", 'kortendrank'];Kortndrank es nen drank woarin dat er mêer dan twêeëntwintig groadn alcol zit.
functional-matter;['groensel', 'groonsel'];Groensel is de noame die algemêen gebruukt wordt voe itboare stikkn van plantn, mêestal de bloarn, de stiengels of de wortels.
functional-matter;['mammoetbôom', 'mammoetboom', 'sequoiadendron giganteum'];Nen mammoetbôom es e sorte van noaldbôom, die indeliks grôo kan komn.
functional-matter;['wyn'];Wyn is e drank met alcohol, die wor gemakt deur 't fermenteren van druuvn en druvesap.
functional-matter;['sigrette', 'sigarettestompel', 'stompel', 'sigaret', 'sigarette', 'sigretten', 'sigrettn'];Een sigrette es een rolleke toebak, dat tope g'houdn wordt door een bledje, een dun papierne kokerke.
functional-matter;['appel', 'appels'];Een appel is de vrucht van den appelboom Malus domestica.
functional-matter;['rystepiet', 'selderyzout'];Rystepiet is e miengelienge van selderyzoad me keuknzout of zêezout.
functional-matter;['caoutchou', 'caoutchouc', 'catchou'];Caoutchou es een materioal da kunt verkrygn deur 't bewerkn van natuurlike latex, sop die uut sommigte tropische bôomn komt.
functional-matter;['gestêentesôortn', 'gesteente', 'gesteentesoortn', 'gestêente'];Een gestêente is in de geologie e nateurlik vôortkommend vast aggregoat van verschillende mineroaln.
functional-matter;['melk'];Melk is e witte vloeistoffe die geproduceerd wordt deur de borstkliern van zoogbeestn, inclusief van menschn.
functional-matter;['magma'];Magma is een gesmoltn gestêente dat ounder d'uppervlakte van d'eirde gevoundn wordt, dikwils in een magmakamer ounder een vulkoan.
functional-matter;['azyn', 'azyl'];Azyn of Azyl is e zeure vloeistoffe, gebruukt vo smoake te geevn an gerechtn, vor eetn te bewoarn of vo te kuuschn.
functional-matter;['frietn', 'petatfrit', 'friet', "friet'n", 'frieten', 'fritn', 'fritten', 'frittn'];Frietn zyn in stoafkes gesneen patattn die in frietvet gebakkn zyn.
functional-matter;['vlees', 'vlêes'];Vlees is 't spierweefsel van gewervelde beestn, inclusief orgoann lyk lever of niern.
functional-matter;['out', 'hout'];Out is de stoffoasje woaruut dan outachtige plantn emakt zyn.
functional-matter;['pluim', 'veder'];Den alpaca wok wel nen berglama ghenoemd, is een soorte lama die voornkomt in de bergn van den Andes in Zuud-Amerika.
functional-matter;['eierdorre', 'dorre'];Een eierdorre is de gele binnkant van een ei.
functional-matter;['bloody mary'];E Bloody Mary is e cocktail, die hoofdzoakelik bestoat uut tomattezop en wodka.
genetic-collective;['uus van habsburg', 'habsburg', 'habsburgers', 'huus habsburg'];'t Huus Habsburg was e belangryke Europeesche dynastie, genoemd achter 't kastêel Habichtsburg in Aargau, nu e kantong in Zwitserland.
genetic-collective;['huus plantagenet'];'t Huus Plantagenet was een Iengelsche keunienklyke dynastie, die ofstamde van 't Frãns groafschap Anjou.
geographical-object;['atlantis'];Atlantis è en mythisch eiland veur 't êest vermeld by Plato in Timaeus en Kritias.
geographical-object;['lac', 'meer'];E lac of meer is e woatermassa die omgeevn is deur land.
geographical-object;['lagune'];E lagune is en oendiepe woatermassa die van e grottere woatermassa wordt geschèid deur zandbank'n, rifn of barrière-eiland'n.
geographical-object;['zuud-amerika', 'zuyd-amerika'];Zuud-Amerika is e continent ip 't zuudelyk alfroend, te zuud'n van Noôrd-Amerika en te noôrd'n van Antarctica.
geographical-object;['zêe', 'zee'];Een zêe is e grôte zoutwoatermassa round de verschillige vastelandn ip eirde en stoat in verbindinge met een andere zêe of een oceoan.
geographical-object;['seine'];De Seine es e riviere van 776 kilomèiters lank die van't midd'n van Vrankryk noa 't nôordwestn strôomt tout in't Iengels Kanoal.
geographical-object;['loire'];Dat artikel goat over de riviere de Loire.
geographical-object;['taiwan'];Taiwan, officieel de Republiek China, is e soevereine stoat in Ôost-Azië.
geographical-object;['archipel', 'eilandngroep'];'n Archipel of eilandngroep is e keetn, cluster of verzoamelienge van eilandn die relatief dichte by mekoar liggn.
geographical-object;['gondwana'];Gondwana is 'n vôorhistorisch supercontinent genoemd achter de Gondwanastreke in Indië.
geographical-object;['saba'];Saba is een Hollands eiland in 't Caraïbisch gebied da sinds 2010 besteurlyk ols oopnboar lichoam e byzoundere gemêente vormt.
geographical-object;['eiland', 'eyland'];'n Eiland is e stik land die an al de kantn omriengd is deur woater, moa die kleinder is of e continent en grotter of e rotse of e zandbank.
geographical-object;['oceoan'];En oceoan is e min of meir zelfstandige weireldzeie tusschn de continent'n en kan meirdere zeien bevat'n.
geographical-object;['oceanië', 'oceoanië'];Oceanië is de collectieve noame vor een grôot antal eilandn in de Stilln Oceoan.
geographical-object;['kaspische zêe'];De Kaspische Zeie is e lac mè zeiwoater die omsloot'n is deur land.
geographical-object;['reyn'];De Reyn is met 1323 kilometers êen van de langere riviern van Europa.
geographical-object;['beke'];E beke is e smal, oendiep woatertje die vanof e bronne stroomofwoarts vloeit en die klinder is of e riviere.
geographical-object;['botnische golf'];De Botnische Golf is 't nôordelykste gedêelte van de Baltische Zêe.
geographical-object;['spitsbergn', 'svalbard'];Spitsbergn is een eilandngroep in de Nôordelyke Yszêe, 565 km te nôordn van Nôorweegn, die uut drie grôte en e stik of tachntig klêene eilandn bestoat.
geographical-object;['kamtsjatka-schiereiland'];'t Kamtsjatka-Schiereiland is e schiereiland in 't Russiesche Verre Ôostn da 1 250 kielomeetrs lank is, en dat 'n ippervlakte êt van apeupri 270 000 km².
geographical-object;['anatolië'];Anatolië of Kleen-Azië is e growt schiereiland in Wèst-Azië die 't grotste deil van 't Turkeye van vandoage vormt.
geographical-object;['bonaire'];Bonaire is 'n eiland in 't Caraïbisch gebied da sinds 10 oktober 2010 besteurlyk ols openboar lichoam e byzoundere gemêente binn Holland vormt.
geographical-object;['tyne'];Den Tyne es e riviere van apeupri 320 kilomèiters lank die strôomt in't nôordôostn van Ingeland.
geographical-object;['zwarte zêe', 'zworte zêe', 'zwortn zêe'];De Zwarte Zêe is e binnzêe die ligt tusschn Europa en Klêen-Azië.
geographical-object;['ôostzêe', 'baltische zêe', 'baltischn zêe'];De Ôostzêe of Baltische Zêe is e randzêe van den Atlantischn Oceoan die ruwweg tusschn Zweedn, Finland, Pooln, Duutsland, Denemarkn en de Baltische stoatn in ligt.
geographical-object;['perzische golf'];De Perzische Golf is 'n uutloper van den Indischn Oceoan tusschn 't Arabisch Schiereiland en Iran.
geographical-object;['baleoarn'];De Baleoarn zyn een eilandngroep in de Middellandsche Zêe, ten ôostn van 't Spoans vasteland.
geographical-object;['karajiebiesche zêe', 'caraïbische zee', 'caraïbische zêe'];De Karajiebiesche Zêe is e zêe van d' Atlantiesche Oceoane geleegn in de troopn van 't Westlik Oafroend.
geographical-object;['golf van biskaje', 'golf van biskoaje'];De Golf van Biskaje is e grôte boaie tusschn Vrankryk en Spanje die hem uutstrekt van Bretagne toet de nôordkust van Spanje.
geographical-object;['iengels kanoal', "'t kanoal"];'t Iengels Kanoal of kortweg 't Kanoal is de zêe of zêestroate tusschn Grôot-Brittannië en Vrankryk, die 't zuudelyk dêel van de Nôordzêe verbiendt met den Atlantischn Oceoan.
geographical-object;['egeïsche zêe', 'egeïschn zêe'];D' Egeïsche Zêe es 'n zêe in't zuudôostn van Europa, geleegn tusschn Grieknland en Turkeye.
geographical-object;['tyrreensche zêe', 'tyrreensche zee', 'tyrreenschn zêe', 'tyrreense zêe'];De Tyrreensche Zêe es 'n zêe in Zuud-Europa, geleegn o de zuudwestkantn van't Itoalisch schiereyland, o de nôordkantn van Sicilië en o 't ôostn van Corsica en Sardinië.
geographical-object;['ligurische zêe', 'ligurischn zêe'];De Ligurische Zêe es 'n zêe in Zuud-Europa, geleegn o de nôordwestkantn van't Itoalisch schiereyland, die dêel uutmakt van de Middellandsche Zêe.
geographical-object;['adriatische zêe', 'adrioatische zêe', 'adrioatischn zêe'];D' Adriatische Zêe is e woatermassa tusschn d' Apennynn ip 't Italioans Schiereiland en de Dinarische Alpn ip 't Balkanschiereiland.
geographical-object;['ionische zêe', 'ionischn zêe'];D'Ionische Zêe es 'n zêe in Zuud-Europa, geleegn o de zuudôostkantn van't Itoalisch schiereyland, o d'ôostkantn van Sicilië, o 't westn van Grieknland en 't zuudwestn van Alboanië.
geographical-object;['nôordzêe', 'noordzee', 'noordzêe', 'noôrdzeê', 'nôordzee'];De Nôordzêe is e zêe van den Atlantischn Oceoan, die ligt tusschn Nôorweegn en Denemarkn in 't ôostn, Iengeland en Schotland in 't westn en Duutsland, Olland, België en e stiksje Vrankryk in 't zuudn.
geographical-object;['tigris'];De Tigris is den ôostelykn van twêe grôte riviern in 't Middn-Ôostn.
geographical-object;['antarctica'];Antarctica is 't continent round de Zuudpole van d' Eirde.
geographical-object;['zêe van marmara', 'propontis'];De Zêe van Marmara es e binn'nzêe geleegn tusschn Europa en Klêen-Azië, die dêel uutmakt van de verbindienge tusschn de Zwortn Zêe en de Middellandsche Zêe.
geographical-object;['grôot-brittannië', 'groot-brittannië', 'groôt-brittannië', 'grôot-brittannje'];Grôot-Brittannië is een eiland in 't nôordwestn van 't Europees vasteland.
geographical-object;['sint eustatius'];Sint Eustatius is een Hollands eiland in 't Caraïbisch gebied da sinds 2010 besteurlyk ols openboar lichoam e byzoundere gemêente vormt.
geographical-object;['nôordelyke yszêe', 'arctischn oceoan'];De Nowrdelyke Yszeie of Arctischn Oceoan is 'n oceoan te nowrd'n van de continent'n Eurazië en Nowrd-Amerika woarin da 't growt ysveld van de Nowrdpole ligt.
geographical-object;['eyland man', 'eiland man'];'t Eyland Man is een eyland in d' Iersche Zêe tusschn Grôot-Brittannië en Ierland.
geographical-object;['atlantischn oceoan', "atlantisch'n oceoan", 'atlantische oceoan', 'atlantische oceoane', 'atlantische océoane', 'atlantischen oceoan'];Den Atlantischn Oceoan is achter de Stilln Oceoan de grotstn oceoan ter weireld.
