activity;['masal'];Masal meraklı çok büük fantazialı janrasıydır.
political-geographic-object;['bahamalar'];Bahamalar - bir Poyraz Amerika devleti.
political-geographic-object;['san tome hem prinsipi'];San Tomé hem Prinsipie ya da resmî adıyla São Tomé ve Príncipe Demokratik Respublikası (República Democrática de São Tomé e Príncipe), Orta Batı Afrika'nın Gine Körfezi açıklarında bir ada ülkesidir.
political-geographic-object;['i̇srail', 'i̇zrail'];İsrail — bir devlet Aziyada.
political-geographic-object;['chicago'];Chicago — Amerika Birleşik Devletläri kasabası.
political-geographic-object;['finlandiya'];Finlandiya (Fin dili: Suomi, Șveți dili: Finland) — Evropada bir devlet.
political-geographic-object;['tirana'];Tirana - Albaniyanın baş kasabası.
political-geographic-object;['vena'];Vena (Nemtä dili: Wien) — Evropada Avstriya baş kasabası.
political-geographic-object;['santiago'];Santiago — Çili baş kasabası.
political-geographic-object;['lefkoşa'];Lefkoşa — Kipra adasında bir kasaba.
political-geographic-object;['kopenhagen'];Kopenhagen — Daniya baş kasabası.
political-geographic-object;['london'];London — Büük Britaniya baş kasabası.
political-geographic-object;['tallinn'];Tallinn — Estoniya'nin baş kasabası.
political-geographic-object;['helsinki'];Helsinki — Finlandiya'in baş kasabası.
political-geographic-object;['paris'];Paris - Franțiya baş kasabası.
political-geographic-object;['tbilisi'];Tbilisi — Gruziyanın baş kasabası.
political-geographic-object;['afina'];Afina — Grețiyanın baş kasabası.
political-geographic-object;['riga'];Riga (Latviya: Rīga) — Latviya baş kasabası.
political-geographic-object;['vaduz'];Vaduz — Lihtenşteyn baş kasabası.
political-geographic-object;['vilnüs'];Vilnüs — Litvaniya baş kasabası.
political-geographic-object;['oslo'];Oslo (Bokmal: Oslo) — Norvegiya baş kasabası.
political-geographic-object;['varşava'];Varşava — Polşa baş kasabası.
political-geographic-object;['seul'];Seul (Seoul, 서울.서울특별시) — Üülen Koreya baş kasabası.
political-geographic-object;['madrid'];Madrid (İspan: Madrid) — Evropa, İspaniya baş kasabası.
political-geographic-object;['stockholm', 'stokholm'];Stockholm — Şvețiya baş kasabası.
political-geographic-object;['montevideo'];Montevideo — Urugvaynın bir kasabası.
political-geographic-object;['baku'];Baku (Azerbaycan dili: Bakı) — Azerbaycanın baş kasabası.
political-geographic-object;['minsk'];Minsk (Belarus: Мiнск) — Biyaz Rusiya baş kasabası.
political-geographic-object;['zagreb'];Zagreb - Horvatiya baş kasabası
political-geographic-object;['almatı'];Almatı — Kazakstanın kasabası.
political-geographic-object;['milan'];Milan — İtaliyanın bir kasabası.
political-geographic-object;['valetta'];Valetta (Malta: Humilissima Civitas Valletta) — Evropada Malta baş kasabası.
political-geographic-object;['kişinöv'];Kişinöv (rumınça: Chișinău) — Republika Moldovanın baş kasabası, muniţipiu.
political-geographic-object;['wellington'];Wellington (İngiliz: Wellington, Maori: Te Whanga-nui-a-Tara) — Okeaniya, Eni Zelandiya baş kasabası.
political-geographic-object;["l'yublyana", 'lyublyana'];L'yublyana — Sloveniya baş kasabası.
political-geographic-object;['duşanbe'];Duşanbe — Tacikistanın baş kasabası.
political-geographic-object;['ankara'];Ankara (Türk: Ankara) — Türkiyänın baş kasabası.
political-geographic-object;['valparaíso'];Valparaíso — Çilinın bir kasabası.
political-geographic-object;['sydney'];Sydney — Avstraliyanın en büük kasabası.
political-geographic-object;['i̇stanbul'];İstanbul (Türk: İstanbul) — Türkiyänin en büük kasabası.
political-geographic-object;['new york city'];New York City — Amerika Birleşik Devletläri kasabası.
political-geographic-object;['braziliya'];Braziliya (Portugal dili: Brasil) ya da resmî adıyla Braziliya Federal Respublikası (Portugal dili: República Federativa do Brasil), Üülen Amerika'da yer alan, kıtanın en büük ve en kalabalık ülkesidir.
political-geographic-object;['teksas', 'téxas'];Teksas — Amerika Birleşik Devletläri Viliyatı.
qualitative-role;['i̇deya öz fikir', 'tema'];Tema herbir yaratma yazılı bir düşünülmüş uur için işlär için.
qualitative-role;['i̇deya öz fikir', 'tema'];İdeya öz fikir bu te o fikirlär, angılarına yaratmayı okuyarak biz etişeriz.İdeya yaratmanın baş fikiri.
quality;['i̇slam'];İslâm - ikinci büük din.
quality;['ortodoks'];Ortodoks — hristianlıkta bir din.
quality;['hristianlık', 'hristian', 'hrıstian'];Hristianlık-hem büük dünedä din.
situation;['bilmeyce'];Bilmeyce
situation;['irsızlık'];Irsızlık — ya da Hırsızlık başkasının malını çalmaa, çalınmaa.
situation;['urum alfaviti'];Urum alfaviti
socially-constructed-person;['lüdvig van bethoven'];Lüdvig van Bethoven — Vena kasabasında yaşayan insannar ii bilärdilär bu yaşlı hem geniş arkalı adamı, angısının annısı da geniş, üzü lüzgerli hem saçları dolaşık.
socially-constructed-person;['aleksandri makidon'];Aleksandri Makidon
socially-constructed-person;['james k. polk'];James Knox Polk 11th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['zachary taylor'];Zachary Taylor 12th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['franklin pierce'];Franklin Pierce 14th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['james buchanan'];James Buchanan Jr.
socially-constructed-person;['abraham lincoln'];Abraham Lincoln 16th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['wolfgang amadeus mozart'];Wolfgang Amadeus Mozart — Vena kasabasında yaşayan insannar ii bilärdilär bu yaşlı hem geniş arkalı adamı, angısının annısı da geniş, üzü lüzgerli hem saçları dolaşık.
socially-constructed-person;['andrew johnson'];Andrew Johnson 17th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['ulysses s. grant'];Ulysses S. Grant 18th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['rutherford b. hayes'];Rutherford Birchard Hayes 19th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['george washington'];George Washington 1st Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['james a. garfield'];James Abram Garfield 20th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['grover cleveland'];Stephen Grover Cleveland 22nd & 24th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['benjamin harrison'];Benjamin Harrison 23rd Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['william mckinley'];William McKinley Jr.
socially-constructed-person;['theodore roosevelt'];Theodore Roosevelt Jr.
socially-constructed-person;['william howard taft'];William Howard Taft 27th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['woodrow wilson'];Thomas Woodrow Wilson 28th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['warren g. harding'];Warren Gamaliel Harding 29th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['john adams'];John Adams 2nd Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['herbert hoover'];Hebert Clark Hoover 31st Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['franklin d. roosevelt'];Franklin Delano Roosevelt 33rd Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['john f. kennedy'];John Fitzgerald Kennedy 35th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['lyndon b. johnson'];Lyndon Baines Johnson 36th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['gerald ford'];Gerald Rudolph Ford 38th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['jimmy carter'];James Earl Carter 39th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['thomas jefferson'];Thomas Jefferson 3rd Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['ronald reagan'];Ronald Wilson Reagan wis 40th Preziden o Amerika Birleşik Devletläri.
socially-constructed-person;['bill clinton'];William Jefferson Clinton 42nd Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['james madison'];James Madison Jr.
socially-constructed-person;['james monroe'];James Monroe 5th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['john quincy adams'];John Quincy Adams 6th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['andrew jackson'];Andrew Jackson 7th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['martin van buren'];Martin Van Buren 8th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['william henry harrison'];William Henry Harrison 9th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['vepsler'];Vepsiyannar yaki Vepsler (Veps dili: Veps - Vepsians insannar hepsi 8,755.
socially-constructed-person;['çingenelär', 'romanlar'];Çingeneler veya Romanlar
socially-constructed-person;['tatarlar'];Tatarlarya da Tatar Türkleri
socially-constructed-person;['bulgarlar'];Bulgarlar, Tukannar - Bulgariya, Germaniya, Türkiye, Amerika Birleşik Devletläri, Ukrayna, Moldova, Büük Britaniya, Argentina, İtaliya, Braziliya, İspaniya, Kanada, Grețiya, Rusiya, Serbiya, Franțiya, Üülen Afrika Respublikası, Romıniya, Avstriya, Kazahstan, Birleşik Arab Emirlikleri, Avstraliya, Çehiya, Şvețiya, Sloveniya, İrlandiya, Slovakiya, Daniya, Vengriya, Niderland, Norvegiyada yaşeer.
socially-constructed-person;['syerra leone', 'sierra leone'];Syerra Leone (İngiliz dili Republic of Sierra Leone) Afrika kоntinentında bir devlet.
socially-constructed-person;['çıfıtlar'];Çıfıtlar,
socially-constructed-person;['şair'];Şair — şiir yazan demektir.
socially-constructed-person;['dwight d. eisenhower'];Dwight David Eisenhower 34th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['chester a. arthur'];Chester Alan Arthur 21st Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['john tyler'];John Tyler 10th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['millard fillmore'];Millard Fillmore 13th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['calvin coolidge'];John Calvin Coolidge 30th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['harry s. truman'];Harry S. Truman 33rd Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['richard nixon'];Richard Milhous Nixon 37th Prezident Amerika Birleşik Devletläri.
socially-constructed-person;['george h. w. bush'];George Hebert Walker Bush 41st Prezident Amerika Birleşik Devletläri.
subject;['folklor'];Folklor
taxonomic-collective;['aaçkakan', 'picus'];Aaçkakan (Latin: Picus viridis)
temporal-region;['1 orak ay'];== Önemli Olaylar ==
temporal-region;['1 büük ay'];== Önemli Olaylar ==
temporal-region;['2 küçük ay'];== Önemli Olaylar ==
temporal-region;['paskellä'];Paskellä — hristian dünnäsinin en büük yortulardan birisi.
temporal-region;['1 kasım ay'];1 Kasım ay — Kasım ay içinde bir gün.
temporal-region;['25 kırım ay'];25 Kırım ay — Kırım ay içinde bir gün.
temporal-region;['19 baba marta'];19 Baba Marta , Gregoryen Takvimi'ne göre yılın 78 .
temporal-region;['12 canavar ay'];Olaylar
temporal-region;['4 orak ay'];== Önemli Olaylar ==
temporal-region;['25 baba marta'];25 Baba Marta , Gregoryen Takvimi'ne göre yılın 84 .
temporal-region;['24 hederlez ay', '24 hederlez'];== Olaylar ==
temporal-region;['17 ceviz ay'];Ceviz ay içinde bir gün.
temporal-region;['1 harman ay'];Harman ayında içinde bir gün.
temporal-region;['14 kirez ay'];14 Kirez ay — Kirez ay içinde bir gün.
temporal-region;['29 kirez ay'];29 Kirez ay — Kirez ay içinde bir gün.
temporal-region;['pazar'];Pazar heftenin günlerinden bir gün.
temporal-region;['29 ceviz ay'];Ceviz ay içinde bir gün.
temporal-region;['21 kirez ay'];21 Kirez ay — Kirez ay içinde bir gün.
temporal-region;['1 hederlez ay', '1 hederlez'];== Olaylar ==
temporal-region;['büük ay'];== Önemli Olaylar ==
temporal-region;['perşembä'];Perşembä heftenin günlerinden bir gün.
temporal-region;['büük ay'];== Önemli Olaylar ==
temporal-region;['büük ay'];== Önemli Olaylar ==
temporal-region;['çarşamba'];Çarşamba heftenin günlerinden bir gün.
temporal-region;['kırım ay'];== Önemli Olaylar ==
temporal-region;['kırım ay'];== Önemli Olaylar ==
temporal-region;['hederlez ay'];== Önemli Olaylar ==
temporal-region;['ceviz ay'];== Önemli Olaylar ==
temporal-region;['baba marta'];== Önemli Olaylar ==
temporal-region;['küçük ay'];== Önemli Olaylar ==
temporal-region;['harman ay'];== Önemli Olaylar ==
temporal-region;['orak ay'];== Önemli Olaylar ==
temporal-region;['kirez ay'];fitrah
temporal-region;['kasım ay'];== Önemli Olaylar ==
temporal-region;['canavar ay'];== Önemli Olaylar ==
temporal-region;['29 küçük ay'];== Önemli Olaylar ==
temporal-region;['23 kirez ay'];23 Kirez ay — Kirez ay içinde bir gün.
temporal-region;['pazertesi'];Pazertesi heftenin günlerinden bir gün.
temporal-region;['cumartesi'];Cumartesi heftenin günlerinden bir gün.
temporal-region;['cumaa'];Cumaa heftenin günlerinden bir gün.
temporal-region;['salı'];Salı - haftanın günlerinden ikinci gün.
temporal-region;['6 büük ay'];== Önemli Olaylar ==
