abstract-region;['스칼라', '스칼라 물리량', '스칼라량', '스칼라물리량'];크기만 있고 방향은 없는 1차원적인 물리량
amount-of-matter;['산화 구리', '구리 산화물'];위키미디어 동음이의어 문서
amount-of-matter;['음료', '위키책:음료', '드링크', '마실 것', '마실 수있는', '음료수'];사람이 마실 수 있는 물과 술을 제외한 액체류 일체
amount-of-matter;['단백질', '계란소', 'proteinaceous'];여러 영양소 중에서 생물의 세포를 구성하는데 필요한 필수 영양소 중 하나.
amount-of-matter;['이당류', '2당류'];단당류 두 분자가 글리코사이드결합으로 만들어지는 화합물
amount-of-matter;['퓨린', '푸린'];화학 물질
amount-of-matter;['핵산', '뉴클레인'];고분자 거대분자
amount-of-matter;['콜라', '탄산단물'];단맛의 탄산음료
amount-of-matter;['셰리', '셰리 주', '비노 데 헤레스', '셰리주', '쉐리', '백포도주'];스페인의 헤레스데라프론테라 근처의 지역에서 자란 백포도로 만든 강화 포도주이다.
amount-of-matter;['초콜릿 우유', '초코 우유', '초코우유', '초콜렛 우유', '초콜렛우유', '초콜릿우유'];녹인 초콜릿, 초콜릿 시럽이나 코코아 파우더을 넣어 만든 우유
amount-of-matter;['젖', '유즙', '우유', '밀크', '소젖', '저지방 우유', '저지방우유'];포유류 암컷의 유선에서 만들어지는 액체
amount-of-matter;['에탄올', 'c2h5oh', 'ch3ch2oh', 'ethanol', 'ethylalcohol', '에타놀', '에틸 알코올', '에틸 알콜', '에틸알코올', '곡물 알코올', '발효 알코올'];알코올의 한 종류
amount-of-matter;['포틴', '밀조 위스키'];아일랜드 전통 술
amount-of-matter;['식수', '음용수', '음료수', '마시는 물', '먹는 물', '냉수', '상수', '물 소비를'];사람이 마실 수 있는 물
amount-of-matter;['성수'];위키미디어 목록 항목
biological-object;['정맥', '베나', '정맥 혈관'];인체의 한 부분
biological-object;['음핵', '클리토리스', '공알', '크리토리스', 'clit', 'clitoral'];여성의 성기 기관 중 하나
biological-object;['배꼽열매', '이과', '이상과', '인과', 'pome', '허위 과일'];식물학적 과실 형태의 한 종류
biological-object;['주먹', '주먹을 꽉 주먹'];모든 손가락을 손바닥 쪽으로 구부린 모양
biological-object;['t세포', 't 림프구', 't 세포', 't림프구', '세포', 't-림프구', 't-세포'];조절 t 세포
biological-object;['벅스킨'];직물의 한 종류
biological-object;['생식 세포', '생식세포', '성 세포', '세균 세포'];생물이 자손을 만들 때 자손에게 유전 물질을 전달하는 세포이다
biological-object;['관자뼈', '측두골', 'os temporale', '관자놀이 뼈'];머리뼈를 구성하는 뼈의 하나이다.
biological-object;['넙 다리 정맥', '베나 femoralis'];위키미디어 동음이의어 문서
biological-object;['늑골', '갈비뼈', '갈비'];가슴을 보호하기 위해 길고 가늘게 여러 가닥으로 뻗어나간 뼈
biological-object;['음순', 'labium'];여성 외음부의 한 부분
biological-object;['glute', 'gluteus', 'gluteus 근육', 'glutæus 막시무스의 의', '둔부', '둔부 근육'];위키미디어 동음이의어 문서
biological-object;['대장', '큰창자', '굵은밸', '큰 창자'];생물학 용어로, 척추동물의 소화 기관계에서 마지막 기관이다.
biological-object;['허파', '부아', '폐', '폐장', '숨주머니', '공기가 신선한 빈터'];양서류 이상의 척추동물에게 있는 호흡기 기관이다.
biological-object;['유방', '가슴', '젖', '젖통', '젖가슴', '젖꼭지'];동물에게 있는 젖을 분비하는 기관
biological-object;['음문', '외음부', '보지', '씹'];여성의 생식 기관 중 밖에서 보이는 부분의 총칭
biological-object;['사과', '사과나무', '평과', '빈파', '사과꽃', '그린 애플', '맬 러스 domestica'];사과나무의 열매
biological-object;['손톱', '손발톱', '발톱', '발손톱'];손가락과 발가락에 각각 달려 있는 반투명한 케라틴 재질
biological-object;['허리뼈', '요추', '요추골', '허리 척추 뼈'];척추 중에서 복부의 뒷부분에 위치하는 뼈
biological-object;['고환', '불알', '달걀', '불', '정소', '볼', 'ballock', 'testis'];남성의 생식 기관 중 하나
biological-object;['신장', '콩팥', '신', '신장 장애'];척추동물에 있는 콩 형태의 배설 기관이다.
biological-object;['뇌', '골', '두뇌', '머릿골', 'encephalon'];신경 세포가 하나의 큰 덩어리를 이루고 있으면서 동물의 중추 신경계를 관장하는 기관
biological-object;['측두엽', '관자엽', '시간적 ccortex'];뇌의 한 부분
biological-object;['손', '손바닥', '손뼈', '손길', '일손', '매너 스'];일부 생물의 팔 끝에 달린 기관
biological-object;['두개골', '머리뼈', '해골', '해골바가지', '두골', 'postfrontal', 'supratemporal'];머리에 위치한 뼈.
biological-object;['음낭', '낭심', '봉알', 'scrotal'];남성의 고환들을 감싸고 있는 피부 조직
biological-object;['혹위', '제1 위', '양곱창', '양', '제일 위', '제1위', '제일위', '첫번째 위'];반추 동물의 첫째 위
biological-object;['주름위', '제4 위', '홍창', '막창', '추위', '제사위', '제4위', '제사 위', '넷째 위'];반추 동물의 넷째 위
biological-object;['심장', '자동능'];동물의 혈액을 순환시키는 신체 장기
biological-object;['음경', '고추', '자지', '경물', '남경', '신경', '양경', '양물', '좆', '페니스'];수컷 성기
biological-object;['눈', '눈알', '동물의 눈', '안구', '목', '이목구비', '자위', '점', '쪽', 'oculi', 'oculus', '광', '눈의'];빛을 감지하여 신경 기관에 전기화학적 자극을 가해 상으로 바꾸는 기관
biological-object;['가슴', '흉부', '흉곽', '품', 'pectus'];머리와 복부 사이에 있는 동물의 앞 부분
biological-object;['벌집위', '제2 위', '벌집양', '제2위', '제이 위', '제이위', '둘째 위', '소포체'];반추 동물의 둘째 위
biological-object;['척추', '척주', '척추골', '척추뼈', '추골', '등골', '척추 칼럼'];동물의 상체를 유지하는 중심 뼈
biological-object;['젖꼭지', '유두', '젖', 'mamilla', '꼭지', '아빠'];유방의 일부분으로 젖이 나오는 부분
biological-object;['겹주름위', '백엽', '제3 위', '처녑', '천엽', '중판위', '제3위', '제삼 위', '제삼위', 'omasum', 'psalterium', '셋째 위'];반추 동물의 셋째 위
biological-object;['콧구멍', '코구멍', 'n 계속', 'nares', 'naricorns라는 있습니다', '앞 naris', '콧 구멍'];콧구멍(문화어: 코구멍)은 코에 뚫인 두 구멍을 말하며, 비공(鼻孔)이라고도 한다. 새와 포유 동물의 경우, 비갑개라 불리는 연골 조직이 있으며, 호흡할 때 공기를 따뜻하게 하고 수분을 없애 주는 역할을 한다. 물고기는 코로 직접 숨을 쉬지 않고 아가미로 물속에 들어있는 공기를 흡입하지만, 냄새를 맡기 위한 두 개의 구멍을 가지고 있다.
causal-role;['위험', '위험 요소', '위해 요소', '해저드', '위태로운', '유해'];생명, 건강, 재산, 환경을 위협하는 요소
causal-role;['소독', '소독제', '소독약', '항균', 'antimicrobic', '살균제'];위키미디어 동음이의어 문서
chemical-object;['수소 이온'];위키미디어 동음이의어 문서
chemical-object;['단백질', '계란소', 'proteinaceous'];여러 영양소 중에서 생물의 세포를 구성하는데 필요한 필수 영양소 중 하나.
chemical-object;['메틸기', '메틸 그룹', '메틸', '메틸 라디칼'];메테인의 작용기
classification-system;['시공간', '시공', '공간 시간', 'spacelike', 'timelike', '공간 시간 연속체', '공간과 같은', '시간과 같은'];시간과 장소를 하나의 구조로 묶은 4차원 수학적 모델
classification-system;['이슬람력', '히주라력', '회회력', 'muhammadan 달력', '마호메트의 캘린더', '이슬람 달력', '이슬람교 달력', '회교력'];순태음력
cognitive-event;['식욕', '밥맛', '입맛', '먹보', '성욕'];음식을 느끼는 일종의 상호작용
cognitive-event;['걱정', '근심', '곤란', '문제', '심려', '염려', '고민', '배려', '번민', '우려', '우환'];여러가지로 마음이 쓰이는 감정
cognitive-event;['기억', '기억력', '추억', '메모리', '암기', '향수', '장기기억', '기념', '상기'];과거의 경험이나 학습에 대해 보유하고 있는 정보
cognitive-event;['추론', '추리', '추상'];위키미디어 동음이의어 문서
cognitive-event;['의인화', '의인관', 'anthromorphic', 'anthropomorphize', 'anthropomorphized', 'personified', '신인 동형 동성 론', '의인화 된'];인간 이외의 무생물, 동식물, 사물 등을 사람처럼 표현하는 것을 말한다.
cognitive-event;['적분', '적분론', '적분법', '적분학', '정적분', '완전한'];정의된 함수의 그래프와 그 구간으로 둘러싸인 도형의 넓이를 구하는 것
cognitive-event;['미분', '미분소', '도함수', '미분가능성', '미분가능한', '미분학', '미분 계수', '미분법', 'dy/dx', "f'", '가미분 함수', '가미분함수', '두 번 미분 가능', '두 번 미분 가능 함수', '두 번 미분 가능한 함수', '두 번 미분가능', '두 번 미분가능 함수', '두 번 미분가능한 함수', '두번 미분 가능 함수', '두번 미분 가능한 함수', '두번 미분가능', '두번 미분가능 함수', '두번 미분가능한 함수', '두번미분가능', '두번미분가능 함수', '두번미분가능한 함수', '두번미분가능함수', '미분 가능', '미분 가능 함수', '미분 가능성', '미분 가능한 함수', '미분 불가능', '미분가능', '미분가능한 함수', '미분가능함수', '미분계수', '변화율', '순간변화율', '이계 도함수', '평균변화율', '첫째 파생', '파생 기능'];함수의 순간변화율을 구하는 계산 과정
cognitive-event;['미각', '맛', '미각작용', '기본 맛', '맛보기', '무미', '미각적', '신맛', '쓴맛', '짠맛', '감칠맛', '경험', '구미', '기미', '입맛', '풍미', 'gustatory', 'gustatory 센세이션', 'gustatory 인식', '맛 감각', '맛 인식'];오감중 하나
cognitive-event;['공격', '살인 미수'];사람을 죽이려고 시도하는 행위
cognitive-modal-description;['보수주의', '보수주의자', '보수적 인', 'conservativism', 'ultraconservative', '종교 보수와'];관습적인 전통 가치를 옹호하고, 기존 사회 체제의 유지와 안정적인 발전을 추구하는 정치이념
cognitive-modal-description;['공산주의', '공산주의 운동', '공산주의자', '커뮤니즘', '코뮤니즘'];자본가 계급이 소멸되고, 노동자 계급이 주체가 된 생산수단의 공공 소유에 기반을 둔 무계급 사회 조직, 공동체 형성에 관한 이론, 또는 그러한 체제를 목표로 삼는다고 주장하는 다양한 정치 운동
cognitive-modal-description;['이데올로기', '이념', '주의', '관념학파', '리념', '이데롤로그', '이데올로그', '정치이념', '정치 이론', '정치 방향', '정치 사상', '정치 철학자'];사람이 인간 ·자연 ·사회에 대해 규정짓는 현실적이며 이념적인 의식의 형태를 일컫는 말이다.
cognitive-modal-description;['동성애 혐오', '호모포비아', '동성애 혐오증', '동성애 공포증', '호모포빅', '동성애혐오', '동성애혐오증', 'heterophobia을', 'internalized 동성애 혐오가', '동성애'];동성애에 관련되었거나 동성애자라는 이유로 반대하거나 축출하려는 행위
cognitive-modal-description;['무신론', '무신론자'];신의 존재에 대한 신앙을 부정하거나 신의 존재 자체를 인정하지 않는 사상
cognitive-state;['기억상실', '건망증', '健忘症', '기억 상실증', '기억 장애', '기억상실장애', '기억상실증', '기억장애', '잊음증', 'amnestic', '기억 상실', '기억력 상실', '단기 기억 손실', '메모리 손실'];기억을 잃어버리는 증상
commerce-role;['제품', '상품', '재화', '매물', '물화', '세공'];시장에서 판매될 수 있는 상품
communication-method;['초감각적 지각', '투시', '초감각', '클레어보얀스', '클레어보이언스', '투시력', 'esp', '예지력', '지각을 넘어선', '지각을 넘어선 지각', '초능력'];아무런 도구 없이 눈만 가지고 특정 대상의 안을 볼 수 있는 능력
course;['자동차 사고', '교통사고', '교통 사고', '자동차사고', '도로 교통 사고의', '스매시 - 업'];보행자, 동물, 다른 물체가 자동차와 충돌하거나 자동차와 자동차가 충돌한 사고
course;['뇌졸중', '뇌연화증', '뇌졸증', '뇌혈관 장애', '죄졸중', '죄졸증', '뇌 혈관 사고', '졸중', 'cva'];뇌혈류 이상으로 인해 갑작스레 유발된 국소적인 신경학적 결손 증상
course;['세이시', '부진동', '정진', 'seiche'];닫힌 수역에서 발생하는 거대한 높이의 정상파
course;['변형'];재료과학에서 특정 물체가 모양 또는 크기가 변하는 현상
course;['외상', '실수로 부상'];사고 등으로 인해 입은 신체적 상해
course;['범유행', '팬데믹', '판데믹', '세계적 대유행', '대유행병', '범유행병', '팬더믹', '펜데믹', '세계적 유행병'];전세계적으로 확산된 감염병의 대유행
course;['경기 순환', '경기 변동', '경기변동', '경기순환', '경기', '경기 순환 기준일', '경기 순환기준일', '경기 확장', '경기동행종합지수', '경기동행종합지수 순환변동치', '경기동행지수', '경기동행지수 순환변동치', '경기변동주기', '경기선행종합지수', '경기선행종합지수 순환변동치', '경기선행지수', '경기선행지수 순환변동치', '경기순환 기준일', '경기순환국면', '경기순환기', '경기순환기 기준순환일', '경기순환기 기준일', '경기순환기준일', '경기순환시계', '경기순환주기', '경기순환주기 기준순환일', '경기순환주기 기준일', '경기종합지수', '경기종합지수 순환변동치', '경기후행종합지수', '경기후행지수', '경제 변동', '경제변동', '기준순환일', '순환변동치', '호경기', '호황', '무역주기', '비즈니스 사이클'];위키미디어 동음이의어 문서
course;['월식', '개기 월식', '개기월식', '부분달가림', '부분월식', '옹근월식', '월식 현상', '월식현상'];달이 지구의 그림자에 들어오는 현상
course;['사망', '죽음', '사망자', '사멸', '별세', '서거', '순국', '승하', '타계'];생물이 그 활동을 종료하고 영원히 멈추는 것
course;['조석', '간만', '밀물', '간조', '만조', '밀썰물', '썰물', '조석 현상', '조석현상', '조수 간만', '조수간만', '참물', '조수', '갯벌'];지구의 바다가 태양과 달이 지구에 미치는 기조력에 의해 오르내리는 현상이다.
dependent-place;['황도좌표계', '적위', '황경', '황도 좌표', '황도좌표', '천상의 위도'];황도
dependent-place;['단층', '수직 단층', '수직단층', '수평 단층', '수평단층', '역단층', '오버스러스트', '오버쓰러스트', '정단층', '주향 이동 단층', '주향이동단층', '힌지 단층', '힌지단층', '단층 지형', '단층 파쇄대', '단층지형', '단층파쇄대', '지진 단층', '지진단층', '결함 비행기', '오류있는', '장애 라인의', '지질 학적 장애', '파업 슬립'];암석이 파열되거나 끊어져 불연속하게 된 면
dependent-place;['고속도로 나들목', '나들목', '인터체인지', 'ic', '고속도로', '아이씨', '고속도로나들목', '고속도로 인터체인지입니다', '도로 인터체인지입니다'];도로에 진입할 수 있도록 설치된 교차로
dependent-place;['샌앤드리어스 단층', '산안드레아스 단층', '샌앤드리어스단층', '산 안드레아스 단층'];태평양 판과 북아메리카 판의 경계에 있는 변환 단층
dependent-place;['중심', '중점', '중간점', '가운데', '중간 지점'];선의 중간 지점
dependent-place;['충상단층', '스러스트 단층', '메가스러스트', 'overthrust 오류', '스러스트 오류', '잘못을 역'];섭입 각도가 45도 이하인 역단층
ecological-collective;['식물', '식물상', '식물계', 'floras', '식물의'];세포벽과 엽록소를 가지고 광합성을 하는 생물
ecological-collective;['숲', '삼림', '임야', '산림', '가지', '수림', '수풀'];나무가 우거진 곳
event;['이류', '머드플로우', 'mudslides', '진흙 사태'];うんこ
event;['사태', 'rockslide'];위키미디어 동음이의어 문서
event;['옐프', 'yelp', 'yelping', '깨갱 거리는 소리', '큰소리로 말하다'];특정 지역에서 가 볼만한 장소의 정보를 제공하는 사이트
event;['화재', '대화재', 'a급화재', 'b급 화재', '가스 화재', '가스화재', '유류 화재', '유류화재', '일반 화재', '일반화재', 'a급 화재', 'c급 화재', '큰 화재'];원인을 불문한 통제되지 않은 불
event;['경쟁', '상호 경쟁', '상호경쟁', '콩쿠르', '콩쿨'];생물체나 동물, 개인, 집단 간에 주도권을 두고 서로 겨루는 것
event;['산불', '임야화재', '들불', '야생 화재'];산이나 들이 통제되지 않은 불로 인하여 타 없어지는 현상
event;['노이즈 마케팅', '노이즈마케팅', 'bombilation', 'bombination', '버즈 마케팅'];상품의 홍보를 위해 고의적으로 각종 이슈를 만들어 소비자의 호기심을 불러 일으키는 마케팅기법
event;['올림픽', 'olympic', '국제 올림픽 경기 대회', '근대 올림픽', '올림픽 게임', '올림픽 경기 대회', '올림픽 대회', '올림픽게임'];32년마다 계절이 바뀌어 개최되는 세계에서 가장 작은 국제 스포츠 행사
event;['결혼식', '혼례', '결 혼', '웨딩', '혼인', '화혼', '전통 혼례', '전통혼례', '식', 'hymeneals'];결혼식을 유교적 절차에서 칭하는 말
event;['knell', '알리다'];성씨 (Knell)
event;['고양이 의사소통', '고양이의사소통', '야옹 야옹 울다'];고양이의 의사소통법
functional-matter;['한글', 'iso 15924:hang', '가갸글', '국문', '대한민국 나라말', '암클', '언문', '조선글', '한국어의 표기 체계'];한국어의 표기 문자
functional-matter;['초밥', '스시', 'sushi', '장어초밥'];식초, 설탕으로 조미한 식힌 밥에 날생선회를 올려 먹는 음식
functional-matter;['사시미', '생선회', 'sashimi', '회'];날생선을 썰어먹는 요리
functional-matter;['인디고 염료', '인디고', '보라', 'indigotin'];푸른색을 내는 염료
functional-matter;['유리', '류리', '색 유리', '색유리', '크리스털유리', '글라스', 'glassmaker'];단단하고 깨지기 쉬운 비결정성 고체(과냉각된 액체)를 뜻한다.
functional-matter;['다이에틸 에터', '에테르', '디에텔 에테르', '디에틸 에터', '디에틸 에테르', '디에틸에터', '디에틸에테르', '다이에틸 에테르', '다이에틸 이써', '다이에틸에터', '에톡시에테인', '에틸 에터', '디 에틸 에테르', 'ethoxyethane', '디 비닐 에테르', '비닐 에테르', '에틸 에테르'];화학물
functional-matter;['브리스킷', '양지머리', '가슴살', '고기'];소고기
functional-matter;['칼로리 제한', '열량 제한', '칼로리제한', '낮은 칼로리 다이어트'];섭취하는 칼로리를 제한하는 식이요법.
functional-matter;['마약', '마약류', '마취제'];향정신성 의약품의 출물
functional-matter;['햄버거', '고기겹빵', '다진 고기와 빵', '다진고기와 빵', '다진고기와빵', '비프버거', '쇠고기 부르기'];샌드위치 일종의 음식
functional-matter;['껌', '츄잉껌', '추잉검'];삼키는 일 없이 씹기 위해 만들어진 부드럽고 점성 있는 물질의 총칭
functional-matter;['디부카인', '다이뷰케인', '신코카인', '신코케인', 'dibucaine'];약효와 독성이 가장 강력한 편에 속하는 아마이드계 국소 마취제.
functional-matter;['점심', '중식', '점심 식사', '점심밥', '중반', '오반', '오찬', '주식', '주찬', '점심식사', 'dejeuner', '점심을 먹다'];점심에 끼니로 먹는 밥
functional-matter;['화약', '흑색 화약', '폭약', '화약류', '흑색화약', '작약', '탄약'];총이나 포와 같은 화기에 장전하여 폭발을 일으키는데 사용하는 물질
functional-matter;['독소', '독', '생체 독소를'];이 문서는 독소에 관한 것이다.
functional-matter;['페퍼로니', 'pepperoni', '페페로니'];양념이 들어간 고기로 만드는 미국식 살라미
functional-matter;['껌', '츄잉껌', '추잉검'];삼키는 일 없이 씹기 위해 만들어진 부드럽고 점성 있는 물질의 총칭
functional-matter;['수건', '타월'];얼굴이나 몸 등의 물기를 닦아내기 위한 용도로 만들어진 천 조각
functional-matter;['사암', '샌드스톤', 'berea의 사암', 'sandstones'];지름이 0.063~2㎜인 모래 크기의 입자들이 쌓여 고화된 암석이다. 셰일 다음으로 흔한 퇴적암이다.
functional-matter;['이쑤시개'];이 사이에 낀 이물질을 제거하기 위해 사용하는 도구이다.
functional-matter;['새틴', '공단'];표면이 윤이 나고 뒷면은 그렇지 않은 직물이다.
functional-matter;['은', 'ag', '백금', '기본은', '원자 번호 47', '자세'];원소번호 47번의 화학물질
functional-matter;['페이즐리'];무늬 중 한 종류
functional-matter;['벅스킨'];직물의 한 종류
functional-matter;['치즈', '치이즈', '건락'];우유, 산양유, 양젖 또는 그 밖의 포유류의 젖으로 만든 고체 음식이다.
functional-matter;['플레이아데스 성단', '플레이아데스성단', '플레이아데스', '모재기별떼', '좀생이성단', 'm45', '메시에 45', '메시에 45번', '묘성', '좀생이', '좀생이별', '플라이아데스 성단', '플레이아데스 산개 성단', '플리어디스', '플리어디스 성단'];황소자리에 위치한 산개성단
functional-matter;['콘크리트', '공구리', '콩크리트'];건설용 자재 중 하나
functional-matter;['키슈', 'quiche', '끼슈', '키쉬', '퀴슈', '파이'];달걀과 크림을 사용해 만든 프랑스 알자스 로렌느 지방의 향토요리
functional-matter;['젖', '유즙', '우유', '밀크', '소젖', '저지방 우유', '저지방우유'];포유류 암컷의 유선에서 만들어지는 액체
functional-matter;['트라이나이트로톨루엔', '뜨로찔', '트리니트로톨루엔', '트리니트로 톨루엔', 'tnt'];TNT의 공식 명칭
functional-matter;['감자', 'solanum tuberosum', '감자꽃', '마령서', '고구마', 'potatoe', 'tater', '머피', '새로운 감자의 있으며', '아일랜드어 감자'];가지과의 다년생식물로, 세계에서 네 번째로 많이 생산되는 곡물이다.
functional-matter;['얼음', '설빙', '수빙', '빙판', '아이스'];물이 고체가 된 상태
functional-matter;['음료', '위키책:음료', '드링크', '마실 것', '마실 수있는', '음료수'];사람이 마실 수 있는 물과 술을 제외한 액체류 일체
functional-matter;['결정편암', '편암', '편암의'];암석의 한 종류로, 석운, 운모 등의 광물 입자가 옆으로 배열된 변성암이다.
functional-matter;['휘석', 'clinopyroxene', 'orthopyroxene', 'pyroxenes'];이노규산염 광물의 한 종류
functional-matter;['납작빵', '플랫브레드', 'flatbread', '평면 빵'];빵의 유형
functional-matter;['베이컨', '배이컨'];돼지고기를 소금에 절여 말리거나 불에 그슬린 식품이다.
functional-matter;['프렌치 토스트', '프렌치토스트'];빵 요리
functional-matter;['브리틀', '토피', '그릴리야시', '부서지기 쉬운', '웨일스 사람'];설탕과 함께 구운 견과류의 프랑스 디저트
functional-matter;['콜라', '탄산단물'];단맛의 탄산음료
functional-matter;['차트니', '처트니', 'chutney', 'chutneys', '인도 양념'];남아시아 · 서아시아를 중심으로 사용되고 있는 소스
functional-matter;['콩소메', 'consomme', '콘소메'];위키백과 동음이의어 문서
functional-matter;['조니케이크', '옥수수 빵', 'johnnycake', '여행 케이크'];옥수수 팬케이크
functional-matter;['파이'];구운 과자의 일종
functional-matter;['셰리', '셰리 주', '비노 데 헤레스', '셰리주', '쉐리', '백포도주'];스페인의 헤레스데라프론테라 근처의 지역에서 자란 백포도로 만든 강화 포도주이다.
functional-matter;['채소', '야채', '남새'];먹거나 요리할 수 있는, 길러낸 식물
functional-matter;['담배', '궐련', '연초', '권연', '권연초', '궐련초', '마라초', '시가렛', '지궐련', 'cigaret', '관의 손톱', '담배를'];담배 잎을 썰어서 종이로 말아 만든 작은 담배
functional-matter;['빵', '제과제빵', '식빵', '양식', '주식', '생활의 직원'];곡식 가루와 물로 된 반죽으로 만든 음식
functional-matter;['스튜', '찌개', '조림'];수프와 흡사한 요리 형태
functional-matter;['고양이 먹이', '캣 푸드', '고양이먹이', '고양이밥'];고양이에게 제공할 수 있게 되는 각종 먹이의 총칭
functional-matter;['쓰레기', '음식물 쓰레기', '음식물쓰레기', '음식 쓰레기', '음식 찌꺼기', '나부랭이', '부스러기', '찌꺼기', '거절하다', '식품 폐기물'];먹지 않거나 썩어 버려지는 음식물
functional-matter;['아이스크림', '얼음보숭이', '아이스케이크', '얼음과자', '아이스 크림', '아이스크림류', '🍨', 'icecream'];현대의 디저트
functional-matter;['사과', '사과나무', '평과', '빈파', '사과꽃', '그린 애플', '맬 러스 domestica'];사과나무의 열매
functional-matter;['플라스틱', '플래스틱', '합성 수지', '합성수지'];지구 망하게 하는 주범
functional-matter;['엿기름', '맥아', '맥얼', '엿길금', '몰트'];밀, 보리 등에 물을 주어 싹을 내서 말린 것을 이용하여 만든 식용 당화 분해효소
functional-matter;['고르곤졸라', '고르곤촐라', 'gorgonzola'];이탈리아의 치즈
functional-matter;['피자', '피차', 'pizza', '모레툼', '삐짜', '삐쨔', '피자 파이'];밀가루 반죽 위에 토마토 소스, 모차렐라 치즈를 얹어서 둥글고 납작한 형태로 구운 빵
functional-matter;['프로슈토', '산다니엘레 햄', '프로슈토 디 산 다니엘레', '프로슈토 크루도', 'prosciutto', 'culatello과', 'culatello에 일으켰습니다'];이탈리아의 말린 햄
functional-matter;['프로슈토', '산다니엘레 햄', '프로슈토 디 산 다니엘레', '프로슈토 크루도', 'prosciutto', 'culatello과', 'culatello에 일으켰습니다'];햄
functional-matter;['초콜릿', '초콜렛', '쪼꼬렛', '쪼꼬릿', '초컬릿', '초코렛', '초코릿', '쵸콜레트', '쵸콜렛', '쵸콜릿', '테오브로마'];카카오 콩을 재료로 가공한 식품
functional-matter;['돼지고기', '돼지 고기', '돗괴기', '돈육', '저육', '제육', '포크', 'porc'];돼지를 도축하여 얻은 고기를 말한다.
functional-matter;['모차렐라', 'mozzarella', '모짜렐라', '모짜렐라 치즈', '모차렐라 치즈'];이탈리아의 치즈
functional-matter;['초콜릿 우유', '초코 우유', '초코우유', '초콜렛 우유', '초콜렛우유', '초콜릿우유'];녹인 초콜릿, 초콜릿 시럽이나 코코아 파우더을 넣어 만든 우유
functional-matter;['젖', '유즙', '우유', '밀크', '소젖', '저지방 우유', '저지방우유'];포유류 암컷의 유선에서 만들어지는 액체
functional-matter;['달걀', '알', '계란', '닭알', '새알', '식란', '에그', '무정란', '미수정란', '유정란', '계란 생산'];닭의 알
functional-matter;['레몬머랭파이', '레몬 머랭 파이'];위키미디어 동음이의어 문서
functional-matter;['엽록체', '풀색체'];진핵생물에서 광합성을 하는 세포 소기관
functional-matter;['독성 폐기물', '독성폐기물', '유독 산업 폐기물'];독성 폐기물(毒性廢棄物, toxic waste)은 해를 미칠 수 있는 모든 형태의 원치 않는 물질이다. 텔레비전, 컴퓨터, 전화기, 스마트폰 등 오늘날 가전 제품의 다수는 공기, 토양, 물의 질을 오염시킬 수 있는 독성 화학 물질과 방사성 물질을 함유하고 있다. 이러한 물질을 버리는 것을 막는 일은 주된 보건과 환경 관련 시설의 역할이다.
functional-matter;['잼', '설탕 절임', '젤리'];위키미디어 동음이의어 문서
functional-matter;['암피실린', 'ampicillin', 'polycillin', 'principen', 'sk-암피실린'];항생제. 사용 시 의사의 상담을 받으세요.
functional-matter;['파스타', '빠스따', '영양의 붙여 넣기'];밀가루 반죽과 물을 이용해서 만드는 이탈리아의 국수 요리
functional-matter;['크나크부르스트', 'knackwurst', 'knockwurst'];소시지
functional-matter;['면', '면섬유', '목화', '코튼', '면화', '목화씨', '무명', '줄', '가구,면 섬유', '면 섬유', '생면'];아욱과 목화속 식물 가운데 섬유를 뽑는 식물, 또는 그 섬유를 일컫는다.
functional-matter;['토스트'];빵 요리
functional-matter;['색종이 조각', '꽃종이', '색종이'];행사 등에서 쓰이는 색종이 조각 따위를 일컫는 단어
functional-matter;['콜라드', 'collards', 'collard 그린', 'collard 녹색'];많이 먹을수록 화음을 잘 넣을 수 있어요..아카펠라 그룹들은 꼭 같이 간식으로..
functional-matter;['똥', '배변', '대변', '변', '💩', '숙변', '응가', '뒤', '분', 'faecal 문제', '찌끼'];사람과 동물이 음식이나 먹이를 먹고 항문을 통해 바깥으로 배출되는 배설물이자 남은 찌꺼기의 총칭
functional-matter;['감자 튀김', '프렌치 프라이', '감자 튀기', '감자튀기', '감자튀김', '칩스', '프렌치 프라이즈', '프렌치프라이', '후렌치 후라이', '프렌치 프라이스', '프렌치프라이스', '돈', '튀김', '프랑스어 튀김 감자'];껍질을 벗긴 감자를 여러 면으로 자르고, 기름으로 튀긴 요리이다.
functional-matter;['뇌'];음식
functional-matter;['아침', '아침 식사', '아침밥', '올밥', '조반', '조식', '조찬', '아침식사'];아침에 끼니로 먹는 밥
functional-matter;['에탄올', 'c2h5oh', 'ch3ch2oh', 'ethanol', 'ethylalcohol', '에타놀', '에틸 알코올', '에틸 알콜', '에틸알코올', '곡물 알코올', '발효 알코올'];알코올의 한 종류
functional-matter;['정액', '좆물', '씨물', '되', '건물', '내뿜다', '사정', '왔다', '질내 사정'];수컷의 생식기에서 분비되는 체액
functional-matter;['난백', '흰자위', '흰자', '단백', '오브알부민', '계란 흰자', '달걀 흰자', 'ovalbumin', '달걀 횐 자위'];노른자를 둘러싼 물질로, 90%가 수분이고 나머지는 주로 단백질이다.
functional-matter;['햄', '생햄', 'jambon'];햄
functional-matter;['포토푀', '포토프', '냄비-au-feu'];프랑스의 요리이다. 고기와 야채를 삶은 수프 요리로서, 보통 그 수프는 따로 식탁에 올린다.
