abstract-region;['bội số', 'bội', 'nhiều'];Tích của một số bất kì với một số nguyên
agentive-physical-object;['hoa tóc tiên', 'ipomoea quamoclit', 'dương leo', 'cây bách cây nho', 'quamoclit pennata', 'sao vinh quang'];Thực vật có hoa thuộc họ Convolvulaceae
agentive-physical-object;['nở ngày', 'gomphrena perennis', 'gomphrena globosa', 'hoa nở ngày', 'cúc bách nhật', 'toàn cầu dền'];Thực vật có hoa
agentive-physical-object;['lô hội', 'aloe vera', 'nha đam', 'lô hội ta', 'cháy nhà máy'];Tên gọi các loài cây mọng nước thuộc chi Lô hội
agentive-physical-object;['ammodytidae', 'họ cá cát', 'cát lance', 'cát launce', 'cát lươn', 'launce', 'lươn cát', 'sandeel', 'sandlance'];Trang định hướng Wikimedia
agentive-physical-object;['tường vi', 'rosa multiflora', 'hoa tường vi', 'tường vy', 'bé tăng', 'multiflora', 'multiflora hoa hồng', 'multiflora tăng', 'nhật bản tăng'];Thực vật có hoa thuộc họ Hoa Hồng
agentive-physical-object;['chim', 'lớp chim', 'aves', 'động vật lông vũ', 'avafauna', 'khu hệ chim', 'đúng địa'];Loài động vật có 2 chi trước là cánh, biết bay
agentive-physical-object;['rau sam', 'portulaca oleracea subsp. granulatostellulata', 'portulaca oleracea subsp. nitida', 'portulaca oleracea subsp. oleracea', 'portulaca oleracea subsp. papillatostellulata', 'portulaca oleracea subsp. stellata', 'portulaca oleracea', 'chung một loại rau', 'pussley', 'pussly', 'verdolagas'];Thực vật có hoa
agentive-physical-object;['mối', 'isoptera', 'con mối', 'kiến trắng', 'trắng ant'];Nhóm côn trùng
amount-of-matter;['thymine', 'timin'];Thành phần cấu tạo nên DNA
amount-of-matter;['cytosine', 'xitôzin', 'xitozin'];Thành phần cấu tạo nên DNA và RNA
amount-of-matter;['uracil', 'uraxin'];Thành phần cấu tạo nên RNA
amount-of-matter;['cà phê', 'cây cà phê', 'hạt cà phê', 'hột cà phê', 'bạc sỉu', 'coffee', 'các loại cà phê'];Một loại thức uống được ủ từ hạt cà phê rang, lấy từ quả của cây cà phê
amount-of-matter;['caffein', 'cafein', 'cafêin', 'cà phê tinh', 'c8h10n4o2', 'caffeine', 'chứa caffeine'];Một xanthine ancaloit có thể tìm thấy được trong các loại hạt cà phê, trong chè, hạt côla, quả guarana và (một lượng nhỏ) trong hạt ca cao.
amount-of-matter;['natri sunfat', 'natri sunphat', 'natri sulfat', 'bánh muối'];Hợp chất vô cơ
amount-of-matter;['nước', 'h₂o', 'h2o', 'nước lỏng', 'dihydrogen monoxide', 'thuỷ', 'thủy', 'giọt nước', 'hoh', 'nước / hơi nước'];Hợp chất hóa học tạo thành từ phân tử gồm hai nguyên tử hidro và một nguyên tử ôxy
amount-of-matter;['krypton', 'kripton', 'kr', 'số nguyên tử 36', 'tên một chất khí'];Nguyên tố hóa học có ký hiệu là Kr và số nguyên tử bằng 36
amount-of-matter;['benzen', 'benzol', 'c6h6', 'benzene', 'ben zol', 'ether dầu khí', 'giặt bằng ben zin', 'xăng'];Một hợp chất hữu cơ có công thức hoá học C6H6
amount-of-matter;['fomanđêhít', 'formaldehyd', 'formaldehyde', 'formalin', 'formol', 'h2co', 'andehit fomic', 'andehit formic', 'focmandehit', 'methanal'];Hợp chất hữu cơ
amount-of-matter;['clo', 'chlorine', 'cl', 'chlor', 'chloro', 'khí clo', 'số nguyên tử 17'];Nguyên tố hóa học của nguyên tử số 17, một chất khí độc, gây kích ứng, khí xanh (green) nhạt.
amount-of-matter;['đồng', 'cu', 'bronze', 'cuprum', 'đỉnh đồng thờ cúng', 'đồ đồng', 'đồng tự nhiên', 'nguyên tử số 29'];Một kim loại màu nâu đỏ, nguyên tố hóa học của nguyên tử số 29.
amount-of-matter;['vonfram', 'volfram', 'vonfam', 'wolfram', 'tungsten', 'vônfram', 'số nguyên tử 74', 'vôn pham'];Nguyên tố hóa học có ký hiệu là W và số nguyên tử 74.
amount-of-matter;['thủy ngân', 'thuỷ ngân', 'thuỷ', 'hydrargyrum', 'hg', 'mercury', 'số nguyên tử 80', 'thủy ngân', 'ô nhiễm thủy ngân'];Nguyên tố hóa học có ký hiệu Hg và số nguyên tử 80
amount-of-matter;['urani', 'uran', 'u', 'uranium', 'hợp chất urani', 'nguyên tử số 92'];Nguyên tố hóa học của nguyên tử số 92, một kim loại phóng xạ màu xám, dày đặc được sử dụng làm nhiên liệu trong các lò phản ứng hạt nhân.
amount-of-matter;['adrenaline', 'adrenalin', 'epinephrine', 'epinephrin', 'adrénaline', 'adrenaline junkie', 'thận tuyến tố'];một catecholamine, một monoamine sympathomimetic thu được từ các amino acid phenylalanine và tyrosine
amount-of-matter;['magiê', 'magie', 'mg', 'ma-nhê', 'ma giê', 'magnesium', 'số nguyên tử 12'];Nguyên tố hóa học của nguyên tử số 12, một kim loại màu trắng bạc của loạt đất kiềm
amount-of-matter;['kali', 'bồ tạt', 'pô tát', 'k', 'ka-li', 'ka li', 'kalium', 'potassium', 'pô-tát', 'số nguyên tử 19'];Nguyên tố hóa học có số thứ tự 19 trong bảng tuần hoàn, ký hiệu hóa học K
amount-of-matter;['isoamyl acetat', 'dầu chuối', 'isoamyl acetate', 'isoamyl axetat', 'chuối dầu'];Isoamyl axetat
amount-of-matter;['ôxy', 'ô-xy', 'oxy', 'dưỡng khí', 'ôxi', 'o', 'khí oxy', 'o2', 'oxi', 'oxygen', 'ô-xi', 'ô xi', 'ô xy', 'ôxy phân tử', 'số nguyên tử 8'];Một khí phản ứng không màu, không mùi, nguyên tố hóa học của nguyên tử số 8 và là thành phần hỗ trợ sự sống
amount-of-matter;['iốt', 'iot', 'iođ', 'i', 'i-ốt', 'i ốt', 'iod', 'iodine', 'iodin', 'số nguyên tử 53'];Nguyên tố hóa học của nguyên tử số 53, một nguyên tố phi kim loại tạo thành tinh thể màu đen và hơi tím.
amount-of-matter;['brom', 'brôm', 'br', 'bờ-rôm', 'bromine', 'số nguyên tử 35', 'xú tố'];Nguyên tố hóa học của nguyên tử số 35, chất lỏng độc màu đỏ (nâu) bốc khói đậm với mùi nghẹt thở, khó chịu. Nó là một nguyên tố của nhóm halogen và chủ yếu là muối trong nước biển và nước muối
amount-of-matter;['hydro', 'hiđrô', 'hyđrô', 'khinh khí', 'hi-đrô', 'hy-đrô', 'khí hydro', 'h', 'hidro', 'hiđro', 'hydrogen', 'hydrô', 'hyđro', 'nguyên tử hidro', 'dihydrogen', 'nguyên tử số 1', 'phân tử hydro', 'tử hydro'];Nguyên tố hóa học trong hệ thống bảng tuần hoàn các nguyên tố với nguyên tử số bằng 1
amount-of-matter;['flo', 'flüor', 'f', 'fluorine', 'chất hóa học', 'fluoro', 'số nguyên tử 9'];Nguyên tố hóa học của nguyên tử số 9, một loại khí màu vàng nhạt cực độc của nhóm halogen. Nó phản ứng rất mạnh với tất cả các nguyên tố, gây bỏng nặng khi tiếp xúc với da.
amount-of-matter;['rna', 'arn', 'axít ribonucleic', 'marn', 'rarn', 'tarn', 'axit ribonucleic', 'ribonucleic acid'];Phân tử mã hóa thông tin di truyền
amount-of-matter;['kali xyanua', 'potassium cyanide', 'kali xianua', 'xyanua kali'];Hợp chất hóa học không màu của kali có công thức KCN.
amount-of-matter;['guanine', 'guanin'];Thành phần cấu tạo nên DNA và RNA
amount-of-matter;['actini', 'ac', 'actinium', 'ac tin chất phát quang tuyến', 'số nguyên tử 89'];Nguyên tố hóa học của nguyên tử số 89, một nguyên tố kim loại phóng xạ của loạt actinide. Nó hiếm trong tự nhiên, xảy ra như là một tạp chất trong quặng urani.
amount-of-matter;['franxi', 'francium', 'fr', 'franci', 'cha', 'số nguyên tử 87'];Nguyên tố hóa học của nguyên tử số 87, một nguyên tố phóng xạ của nhóm kim loại kiềm
amount-of-matter;['xêzi', 'xezi', 'xêsi', 'cs', 'cesium', 'caesi', 'caesium', 'ce 133', 'cesi', 'hóa chất cê ci', 'số nguyên tử 55'];Nguyên tố hóa học trong bảng tuần hoàn có ký hiệu Cs và số nguyên tử bằng 55
amount-of-matter;['stronti', 'sr', 'strontium', 'chất hóa học', 'số nguyên tử 38'];Nguyên tố hóa học của nguyên tử số 38, một kim loại mềm, bạc trắng của nhóm kiềm thổ. Muối của nó được sử dụng trong pháo hoa và pháo sáng vì chúng cho ánh sáng đỏ rực rỡ.
amount-of-matter;['lawrenci', 'lorenxi', 'lawrencium', 'lr', 'số nguyên tử 103'];Nguyên tố hóa học có số hiệu nguyên tử 103
amount-of-matter;['cacbonat'];CO2− 3
amount-of-matter;['nitrat', 'ion nitrat', 'nitrate'];ion nhiều nguyên tử
amount-of-matter;['yttri', 'ytri', 'y', 'hóa yt tri', 'số nguyên tử 39', 'yttrium'];Nguyên tố hóa học của nguyên tử số 39, một kim loại màu trắng xám thường được bao gồm trong các nguyên tố đất hiếm.
amount-of-matter;['natri', 'na', 'sodium', 'hợp chất natri', 'na-tri', 'natrium', 'ná-tri', 'nátri', 'số nguyên tử 11'];Nguyên tố hóa học
amount-of-matter;['xêzi', 'xezi', 'xêsi', 'cs', 'cesium', 'caesi', 'caesium', 'ce 133', 'cesi', 'hóa chất cê ci', 'số nguyên tử 55'];Nguyên tố hóa học trong bảng tuần hoàn có ký hiệu Cs và số nguyên tử bằng 55
amount-of-matter;['stronti', 'sr', 'strontium', 'chất hóa học', 'số nguyên tử 38'];Nguyên tố hóa học của nguyên tử số 38, một kim loại mềm, bạc trắng của nhóm kiềm thổ. Muối của nó được sử dụng trong pháo hoa và pháo sáng vì chúng cho ánh sáng đỏ rực rỡ.
amount-of-matter;['liti', 'lithi', 'lithium', 'li', 'số nguyên tử 3'];Nguyên tố hóa học của nguyên tử số 3, một kim loại màu trắng bạc mềm. Đây là loại kim loại kiềm nhẹ nhất.
amount-of-matter;['bari', 'ba', 'barium', 'bối', 'ka', 'số nguyên tử 56'];Nguyên tố hóa học của nguyên tử số 56, một kim loại phản ứng màu trắng mềm của nhóm kiềm thổ.
amount-of-matter;['rubiđi', 'rb', 'rubidi', 'rubidium', 'chất hóa học', 'nguyên tử số 37'];Nguyên tố hóa học của nguyên tử số 37, một kim loại phản ứng bạc mềm hiếm của nhóm kim loại kiềm.
amount-of-matter;['bạc', 'ag', 'argentum', 'silver', 'bạc bản địa', 'số nguyên tử 47'];Một kim loại quý giá màu xám trắng sáng bóng , nguyên tố hóa học của nguyên tử số 47.
amount-of-matter;['vàng', 'au', 'aurum', 'nguyên tử thứ 79', 'vàng có nguồn gốc', 'vàng quặng'];Một kim loại quý màu vàng, nguyên tố hóa học của nguyên tử số 79, có giá trị đặc biệt để sử dụng trong trang sức và trang trí, và để đảm bảo giá trị của tiền tệ.
amount-of-matter;['natri hiđroxit', 'sodium hydroxide', 'natri hydroxit', 'hiđrôxít natri', 'hydroxide natri', 'xút ăn da', 'hydroxit natri', 'naoh', 'natri hidroxit', 'natri hiđrôxit', 'natri hyđrôxít', 'caustic soda', 'xút'];Hợp chất vô cơ
amount-of-matter;['asen', 'as', 'arsen', 'arsenic', 'thạch tín', 'nguyên tử số 33', 'như'];Nguyên tố hóa học có kí hiệu As và số nguyên tử 33
amount-of-matter;['canxi oxit', 'canxi ôxít', 'chanh xanh', 'ôxít canxi', 'canxi ôxit', 'canxia', 'cao', 'canxi oxít', 'vôi sống', 'vôi', 'bị cháy vôi', 'chất tro còn lại sau khi nung', 'fluxing vôi', 'nung vôi', 'oxit canxi', 'unslaked vôi', 'vôi sống'];Hợp chất hoá học, là một oxit bazơ
amount-of-matter;['canxi', 'ca', 'can-xi', 'calcium', 'can xi', 'chất vôi', 'ion canxi', 'số nguyên tử 20'];Nguyên tố hóa học của nguyên tử số 20, một kim loại màu xám mềm.
amount-of-matter;['lantan', 'lanthanum', 'la', 'số nguyên tử 57', 'tên chất hóa học'];Nguyên tố hóa học của nguyên tử số 57, kim loại đất hiếm màu trắng bạc.
amount-of-matter;['natri bicacbonat', 'sodium bicarbonate', 'bicacbonat natri', 'natri hiđrocacbonat', 'nahco3', 'natri bicarbonate', 'baking soda', 'bicarbonate soda', 'natri hydro cacbonat', 'saleratus'];Natri hiđrocacbonat
amount-of-matter;['scandi', 'scanđi', 'scandium', 'sc', 'số nguyên tử 21', 'tên chất hóa học'];Nguyên tố hóa học của nguyên tử số 21, một kim loại màu trắng bạc mềm thường được bao gồm trong các nguyên tố đất hiếm.
amount-of-matter;['cacbon', 'carbon', 'cácbon', 'c', 'cac-bon', 'các-bon', 'các bon', 'than', 'nguyên tử carbon', 'số nguyên tử 6'];Nguyên tố hóa học của nguyên tử số 6, một phi kim loại có hai dạng thù hình chính (kim cương và than chì) và cũng xuất hiện ở dạng không tinh khiết trong than củi, bồ hóng và than đá.
amount-of-matter;['lưu huỳnh', 's', 'sulfur', 'lưu huỳnh bản địa', 'sulfuric', 'số nguyên tử 16'];Nguyên tố hóa học của nguyên tử số 16, một phi kim loại màu vàng dễ cháy
amount-of-matter;['nicotin', 'nicotine', 'ni-cô-tin', 'ni cô tin', 'nghiện thuốc lá', 'phụ thuộc vào nicotin'];cần thiết
amount-of-matter;['gang'];Hợp kim của sắt và carbon
amount-of-matter;['xyanua', 'cyanide', 'muối xianua', 'cyano', 'xianua'];Hợp chất hoá học có chứa nhóm xyano
amount-of-matter;['radi', 'rađi', 'radium', 'ra', 'số nguyên tử 88', 'đường bán kính'];Nguyên tố hóa học của nguyên tử số 88, một kim loại phóng xạ hiếm có của nhóm kiềm thổ. Nó trước đây được sử dụng như một nguồn bức xạ cho xạ trị.
amount-of-matter;['ôxít đồng', 'oxit đồng', 'oxyde de cuivre', 'đồng oxit'];Trang định hướng Wikimedia
amount-of-matter;['oxit', 'ôxít', 'oc xyt', 'oxyt', 'ôxit', 'oxit kim loại', 'oxit kim loại chuyển tiếp'];Hợp chất gồm 2 nguyên tố trong đó có 1 nguyên tố Oxy
amount-of-matter;['halogen', 'nhóm nguyên tố 17', 'halôgen', 'nhóm halogen', 'nhóm nguyên tố thứ 17', 'nhóm nguyên tố vii', 'nhóm nguyên tố vii a', 'nhóm viia'];Nhóm nguyên tố
amount-of-matter;['khí hiếm', 'khí trơ', 'khí quý', 'nhóm nguyên tố 18', 'khí quí', 'argonon', 'cao quý khí'];Nhóm các nguyên tố hóa học trong bảng tuần hoàn
amount-of-matter;['axit nucleic', 'axít nuclêic', 'acid nucleic', 'axit nuclêic', 'axít nucleic', 'nucleic acid'];một thứ hợp chất đại phân tử sinh vật
amount-of-matter;['axit amin', 'axít amin', 'amino acid', 'acid amin', 'amino axit', 'alpha-amino axit', 'amino', 'amino-acid', 'aminoalkanoic axit'];Hợp chất hữu cơ chứa nhóm chức amin và carboxylic
amount-of-matter;['cola', 'côla'];thức uống ngọt màu caramel
amount-of-matter;['coca-cola', 'coca cola', 'coke', 'chai coke'];Nước ngọt có ga
amount-of-matter;['nước có ga', 'câu lạc bộ nước giải khát', 'ga nước', 'nước ngọt', 'nước lấp lánh', 'nước soda', 'seltzer nước', 'soda câu lạc bộ'];Loại nước chứa khí cacbon dioxit hoà tan
amount-of-matter;['rượu vang', 'rượu vàng', 'bồ đào mỹ tửu', 'rượu bồ đào', 'rượu nho', 'rượu vang tốt', 'vino'];Một thức uống có cồn được làm từ nước ép nho lên men.
amount-of-matter;['este', 'ester', 'diester', 'este hóa', 'este methyl', 'ester carboxylic', 'esterfication', 'hóa et te', 'trái phiếu ester'];Thông tin đầy đủ về hợp chất Este
amount-of-matter;['napan', 'bom napan', 'napalm', 'na-pan', 'bom napalm'];Hỗn hợp cháy của chất tạo keo và chất hóa dầu dễ bay hơi
amount-of-matter;['whisky', 'huých-ki', 'rượu uytky', 'uytky', 'rượu whisky', 'uýt ki', 'uýt ky', 'whiskey'];Loại rượu nổi tiếng của Scotland
amount-of-matter;['pepsi', 'pepsi cola', 'pepsi-cola'];Nước ngọt có ga
amount-of-matter;['adenine', 'ađênin'];Thành phần cấu tạo nên DNA và RNA
amount-of-matter;['vật chất', 'vật chất thấy được', 'chất', 'vấn đề'];Phạm trù cảm thấy được ở không-thời gian
amount-of-matter;['nitrat amoni', 'amoni nitrat', 'ammonium nitrate'];hợp chất
amount-of-matter;['nước thánh'];Bài viết danh sách Wikimedia
amount-of-matter;['nước cất'];Chất lỏng trong suốt, nguyên chất
amount-of-matter;['ephedrine', 'ephedrin'];Chuyển hoá
biological-object;['khớp', 'khớp xương', 'articulatio', 'một khớp'];vị trí hai hay nhiều xương kết nối với nhau
biological-object;['hồi hải mã', 'hippocampus', 'cornu ammonis', 'hippocampi', 'vùng đồi thị'];Vùng của não mang chức năng ghi nhớ và hình dung đường đi
biological-object;['mụt hạch', 'viêm bubo', 'buboes', 'mụt hạch'];Viêm hạch bạch huyết
biological-object;['phần phụ', 'phụ', 'maxilliped'];Bộ phận nhô ra bên ngoài cơ thể, ví dụ điển hình là chi của loài có xương sống
biological-object;['hệ miễn dịch', 'hệ thống miễn dịch', 'phản ứng miễn dịch'];Hệ thống bảo vệ vật chủ gồm nhiều cấu trúc và quá trình sinh học của cơ thể nhằm bảo vệ chống lại bệnh tật
biological-object;['suy giãn tĩnh mạch chân', 'suy giãn tĩnh mạch chi dưới', 'suy van tĩnh mạch chi dưới', 'giãn tĩnh mạch', 'mạch giãn tĩnh mạch'];sự suy giảm chức năng đưa máu về tim của hệ thống tĩnh mạch nằm ở chân
biological-object;['cơ thể người', 'sinh lý học con người', 'hình', 'cơ thể con người', 'giải phẫu cơ thể người', 'khái quát về cơ thể người', 'sinh lý học người', 'sinh lý người', 'bod', 'con số', 'hình thức', 'màu da của con người', 'sắc tố da', 'tài liệu cơ thể', 'vật lý cơ thể', 'xác thịt'];Ham mat
biological-object;['cơ mông', 'cơ mông cơ', 'glute', 'maximus glutæus', 'mông', 'mông cơ'];Trang định hướng Wikimedia
biological-object;['thần kinh phụ', 'dây thần kinh phụ', 'dây thần kinh sọ xi', 'thần kinh 11', 'thần kinh sọ xi', 'thần kinh xi', '11 sọ thần kinh', 'nervus accessorius', 'phụ kiện dây thần kinh cột sống', 'phụ kiện thần kinh', 'sống phụ kiện', 'thần kinh phụ kiện'];Thần kinh sọ thứ 11 của người
biological-object;['khí quản', 'khí quản'];Ống sụn kết nối hầu họng và thanh quản với phổi
biological-object;['hoa', 'bông', '花', 'bông hoa'];Loài thực vật
biological-object;['xương', 'chất xương'];Hay
biological-object;['thần kinh hạ thiệt', 'dây thần kinh hạ thiệt', 'nhánh lưỡi của thần kinh hạ thiệt', 'thần kinh 12', 'thần kinh sọ 12', 'thần kinh sọ xii', 'thần kinh xii', 'hypoglossal', '12 sọ thần kinh', 'hypoglossal thần kinh', 'nervus hypoglosus', 'thần kinh hypoglossal'];đôi dây thần kinh thứ 12
biological-object;['tuần hoàn mạch vành', 'mạch vành', 'lưu thông mạch vành', 'động mạch coronaria', 'động mạch vành'];cấu trúc giải phẫu học
biological-object;['mặt', 'khuôn mặt', 'con người phải đối mặt'];cơ quan cảm quan phức tạp, thường nằm ở mặt trước của các động vật có mặt
biological-object;['tim', 'quả tim', 'tim người', 'trái tim', 'buồng tim', 'tim bên trái', 'tim con người', 'tim phải'];Bộ phận quan trọng nhất để duy trì sự sống của cơ thể động vật, thuộc hệ tuần hoàn
biological-object;['hệ bạch huyết', 'hệ thống bạch huyết', 'bạch huyết', 'bạch huyết hệ thống', 'dẫn lưu bạch huyết', 'systema lymphaticum', 'thoát bạch huyết'];Hệ bạch huyết là một thành phần quan trọng của Hệ miễn dịch và là một phần của hệ tuần hoàn
biological-object;['tinh trùng', 'tinh trùng thể hoạt động', 'spermatozoan', 'tinh trùng', 'tinh trùng di động', 'tế bào tinh trùng'];là tế bào đơn bội
biological-object;['mũi', 'mui', 'khứu giác cơ quan'];bộ phận cơ thể để ngửi và thực hiện hít thở
biological-object;['cột sống', 'xương sống', 'đốt sống cùng', 'đốt sống', 'đốt sống cột', 'động vật có xương sống'];Cấu trúc cơ thể của động vật có dây sống và động vật có xương
causal-role;['chất ôxi hóa', 'chất oxy hóa', 'chất oxi hóa', 'chất ôxy hóa', 'oxidizing agent', 'tác nhân oxy hóa', 'oxidiser', 'oxy hóa', 'chất nhận electron', 'oxy hóa đại lý'];hợp chất hóa học có khả năng chuyển giao các nguyên tử ôxy hoặc một chất thu các điện tử trong một phản ứng ôxy hóa khử
causal-role;['tẩy uế', 'chất kháng vi sinh vật', 'antimicrobiano', 'chất khử trùng', 'kháng khuẩn', 'antimicrobic', 'chất sát trùng', 'chống vi khuẩn', 'kháng sinh', 'khử trùng', 'sát khuẩn', 'thuốc khử trùng', 'tác nhân kháng khuẩn'];trang định hướng Wikimedia
chemical-object;['ion hydro'];Trang định hướng Wikimedia
chemical-object;['ion', 'cation', 'iôn', 'anion', 'dianion', 'không ion'];Ion có liên quan đến hóa trị
chemical-object;['amoni', 'ammonium', 'ammonium ion', 'ion amoni', 'muối amoni'];ion đa năng điện tích dương
classification-system;['lịch la mã', 'lịch roman', 'nones', 'nundinae', 'roman lịch'];LMTx2G2776LMTx2G2776
classification-system;['lịch gregory', 'lịch gregorius', 'lịch grêgôriô', 'lịch gregorian', 'tây lịch', 'lịch dương', 'lịch grêgôri', 'lịch tây', 'ngày gregory', 'lịch phương tây', 'new style lịch'];Nam
cognitive-event;['phân tích nhân tử', 'bao thanh toán', 'factorisation', 'phần từ', 'thừa số'];Phân tích đa thức thành nhân tử
cognitive-event;['ước lượng', 'ước số', 'ước tính', 'dự toán'];Giá trị gần chính xác được xác định một cách sơ qua
cognitive-event;['mốt và xu hướng', 'mốt nhất thời', 'mốt', 'fad', 'hot trend', 'ham mê'];Những đồ vật, hành vi hay câu nói, từ ngữ lên ngôi trong một thời gian ngắn rồi đột ngột biến mất
cognitive-event;['nhạy cảm'];Nhận thức nhạy bén hoặc phản ứng đối với điều gì đó
cognitive-event;['cô đơn', 'sự cô đơn', 'forlornness'];cảm động
cognitive-event;['crush', 'tình yêu gà bông', 'puppy love', 'tình cảm gà bông', 'puppy tình yêu', 'bê tình yêu'];Những cảm xúc yêu đương, lãng mạn hoặc mê đắm của người trẻ
cognitive-event;['suy luận', 'suy luận hợp lý', 'sự kết luận'];trang định hướng Wikimedia
cognitive-event;['nhân hóa', 'nhân hoá', 'anthromorphic', 'anthropomorph', 'anthropomorphic', 'anthropomorphize', 'anthropomorphized', 'nhân cách', 'thuyết thần cung giống người', 'thuyết'];sự phân bổ của hình dáng con người được tạo ra từ các đặc điểm khác cho bất kỳ thứ gì khác ngoài con người
cognitive-event;['tích phân', 'phép tính tích phân', 'tích phân xác định', 'tính tích phân', 'chức năng khả tích', 'diện tích dưới đường cong', 'integrand', 'thiếu', 'thời gian tích phân'];Một khái niệm trong toán học giải tích
cognitive-modal-description;['chủ nghĩa bảo thủ', 'bảo thủ', 'bảo thủ chủ nghĩa', 'các đảng chính trị bảo thủ', 'conservativism', 'bảo thủ chủ nghiả', 'bảo thủ cực đoan', 'bảo thủ tôn giáo', 'chính trị bảo thủ', 'cực kỳ bảo thủ'];lý luận triết học tập trung vào việc duy trì những giá trị truyền thống
cognitive-modal-description;['chủ nghĩa phát xít', 'phát xít', 'phát-xít', 'phát xit', 'chủ nghỉa phát xít', 'chế độ phát xít'];Hệ tư tưởng chính trị-xã hội quốc gia dân tộc cực đoan.
cognitive-modal-description;['chủ nghĩa xã hội', '主義社會', 'xã hội chủ nghĩa', 'cnxh', 'xhcn'];Hệ thống kinh tế xã hội và tư tưởng chính trị ủng hộ quyền sở hữu xã hội đối với các tư liệu sản xuất nhằm tiến đến công bằng xã hội
cognitive-modal-description;['chủ nghĩa cộng sản', 'chế độ cộng sản', 'cộng sản', 'cncs', 'cộng sản chủ nghĩa', 'maoist', 'người cộng sản', 'lý thuyết cộng sản'];Một hình thái kinh tế xã hội và hệ tư tưởng chính trị ủng hộ việc thiết lập xã hội phi nhà nước, không giai cấp, tự do, bình đẳng
cognitive-modal-description;['chủ nghĩa tập thể', 'tập thể hoá', 'tập thể'];Nói về tập thể.
cognitive-modal-description;['ý thức hệ', 'hệ thống tư tưởng', 'hệ tư tưởng', 'nhà tư tưởng', 'lý luận chính trị', 'tư tưởng', 'chính trị định hướng', 'ideologue', 'thuyết chính trị', 'triết học chính trị', 'triết học xã hội', 'triết lý chính trị', 'tư tưởng chính trị'];Hệ thống ý thức nhằm định hình mục đích, mong đợi và hành động
cognitive-modal-description;['chủ nghĩa tinh hoa', 'elitism'];niềm tin cho rằng một số cá nhân, những người thuộc tầng lớp tinh hoa, có khả năng gây ảnh hưởng và sở hữu quyền lực nhiều hơn những người khác.
cognitive-modal-description;['dân chủ xã hội', 'chủ nghĩa dân chủ xã hội', 'các đảng dân chủ xã hội', 'xã hội dân chủ'];Chủ nghĩa xã hội ôn hòa
course;['la chí tường', 'tiểu trư'];Nam ca sĩ, diễn viên và vũ công người Đài Loan
course;['tai nạn giao thông', 'tai nạn giao thông đường bộ', 'tai nạn xe hơi', 'tai nạn ô tô', 'fender bender', 'một xe hơi', 'smash-up', 'tai nạn xe cơ giới', 'va chạm giao thông'];Va chạm giữa các phương tiện giao thông, người, vật... thường gây hậu quả về người và tài sản
course;['tai biến mạch máu não', 'đột quỵ', 'tai biến não', 'đột quị', 'đột quỵ não', 'bị trúng phong', 'cam nắng', 'cva', 'mạch máu não xảy ra tai nạn', 'ngập máu', 'tai nạn mạch máu não'];Một tình trạng y tế trong đó lưu lượng máu đến não giảm đi dẫn đến việc chết tế bào.
course;['đại dịch'];một phân loại dịch bệnh lây lan trên toàn cầu
course;['chu kỳ kinh tế', 'chu kỳ kinh doanh', 'bùng nổ kinh tế', 'thương mại chu kỳ'];Trang định hướng Wikimedia
course;['nguyệt thực', 'lunar eclipse', 'nguyệt thực một phần', 'nguyệt thực toàn phần'];Hiện tượng thiên văn khi Mặt Trăng đi vào hình chóp bóng của Trái Đất, đối diện với Mặt Trời
course;['chết', 'tử vong', 'cái chết', 'qua đời', 'mất', 'liễu đạo', 'sự chết', 'tịch', 'chết'];Sự chấm dứt các hoạt động của một sinh vật hay ngừng vĩnh viễn mọi hoạt động sống
course;['bắt chước', 'automimicry'];Bắt chước: thực hiện giống theo một hành động, hình dạng đã cho trước đó
dependent-place;['trung điểm', 'tâm', 'điểm giữa', 'trung tâm'];Điểm nằm trên đoạn thẳng, chia đoạn thẳng đó thành 2 đoạn bằng nhau
dependent-place;['xi lanh', 'xi-lanh', 'xilanh', 'ben', 'xy lanh', 'xylanh', 'đầu xi lanh', 'lót xi lanh', 'lót ướt', 'piston buồng', 'xi lanh động cơ'];không gian trong đó một piston di chuyển
ecological-collective;['thế giới', 'loài người', 'nhân loại', 'quốc tế', 'con người', 'loài người', 'nhân loại'];Ám chỉ trái đất hoặc cả vũ trụ này
event;['el niño', 'hiện tượng el niño', 'hiện tượng en ni-nhô', 'el-nino', 'el nino'];Hiện tượng khí hậu phát sinh ở Thái Bình Dương
event;['marathon', 'ma-ra-tông', 'chạy marathon', 'đua marathon'];môn thể thao
event;['sóng thần', 'tsunami', 'thần'];Thiên tai
event;['caduta massi', 'rockslide'];trang định hướng Wikimedia
event;['hỏa', 'hoả', 'lửa'];trạng thái ngũ hành
event;['thế vận hội', 'đại hội thể thao olympic', 'olimpic', 'olympic', 'olympic games', 'thế vận hội olympic', 'tvh', 'thế hiện đại', 'thế olympic hiện đại'];Cuộc tranh tài trong nhiều môn thể thao giữa các quốc gia trên toàn thế giới
functional-matter;['hangul', 'chosongul', "chosŏn'gŭl", 'chữ hangul', 'chữ hàn', 'chữ triều tiên', 'hangeul', 'hangŭl', 'hàn văn'];hệ thống chữ viết cho tiếng Hàn tạo ra bởi vua Sejong Đại đế
functional-matter;['sushi'];Một món ăn
functional-matter;['đậu tán chiên', 'chiên đậu', 'frijoles refritos', 'đậu chiên'];Món Mexico
