abstract-quality;['persoonallisuus', 'luonne', 'big five'];Kullekin ihmiselle luonteenomainen ajatusten, tunteiden ja käyttäytymisen muodostama kokonaisuus
agentive-physical-object;['tropaeolum majus', 'isoköynnöskrassi', 'intiankrassi', 'köynnöskrassi', 'koristekrassi', 'intian krassi'];putkilokasvilaji
agentive-physical-object;['papaver nudicaule', 'siperianunikko', 'idänunikko', 'papaver croceum', 'arktinen unikko'];unikkolaji
agentive-physical-object;['zostera marina', 'meriajokas', 'ajokas', 'merilevä', 'ruoho merilevä'];putkilokasvilaji
agentive-physical-object;['calandrinia ciliata', 'etelänsailio', 'punainen piikoja', 'redmaids'];putkilokasvilaji
agentive-physical-object;['montia perfoliata', 'salaattikleitonia', 'perhoskleitonia', 'claytonia perfoliata', 'talviportulakka', 'kaivosmiehen salaattia', 'kuuban pinaatti', 'talvella purslane'];putkilokasvilaji
agentive-physical-object;['riparia riparia', 'törmäpääsky', 'bank swallow', 'hiekka martin', 'pankki martin', 'pankki swallow', 'sand martin'];lintulaji
agentive-physical-object;['rentukka', 'caltha palustris', 'helluntaikukka', 'kylmäkukka', 'lohenkukka', 'sammakonkukka', 'vilukukka', 'luhtarentukka', 'marsh-kehäkukka', 'niitty kirkas', 'toukokuu möykky'];putkilokasvilaji
agentive-physical-object;['cygnus columbianus', 'pikkujoutsen', 'kyhmyjoutsen', 'cygnus columbianus columbianus', 'cygnus bewickii', 'tundrajoutsen', 'tundra joutsen', 'tundra swan'];lintulaji
agentive-physical-object;['macaca sylvanus', 'magotti', 'berberiapina', 'barbary ape', 'barbary makaki', 'macaca sylvana'];apinalaji
agentive-physical-object;['maissi', 'zea mays', 'viljamaissi', 'indian maissi', 'intian maissi'];putkilokasvilaji
agentive-physical-object;['abutilon theophrasti', 'kelta-aulio', 'kiina juutti', 'velvetweed', 'voita-print'];putkilokasvilaji
agentive-physical-object;['fraxinus excelsior', 'saarni', 'lehtosaarni', 'metsäsaarni', 'euroopan ash', 'yhteisen eurooppalaisen tuhka'];putkilokasvilaji
agentive-physical-object;['inula helenium', 'isohirvenjuuri', 'inula magnifica', 'elecampane'];putkilokasvilaji
agentive-physical-object;['heracleum sphondylium', 'etelänukonputki', 'ukonputki', 'heracleum maximum', 'ukonputket', 'lehmän palsternakka', 'kaukasianjättiputki', 'lanatum'];putkilokasvilaji
agentive-physical-object;['nicotiana tabacum', 'virginiantupakka', 'yhteiset tupakka'];putkilokasvilaji
agentive-physical-object;['berteroa incana', 'harmio', 'harmaantunut alison', 'harmaantunut alyssum'];putkilokasvilaji
agentive-physical-object;['holcus lanatus', 'karvamesiheinä', 'sametti ruoho', 'yorkshire-sumu', 'yorkshire fog', 'yorkshire sumu'];putkilokasvilaji
agentive-physical-object;['centaurea scabiosa', 'ketokaunokki', 'piennarkaunokki', 'greater kaunokki', 'suur kaunokki', 'suurempi kaunokki', 'suuri kaunokki'];putkilokasvilaji
agentive-physical-object;['euphorbia esula', 'kenttätyräkki', 'euphorbia virgata', 'lehtivihannekset spurge', 'suden maitoa', 'tuuhean tyräkin', 'vehreässä spurge'];putkilokasvilaji
agentive-physical-object;['larix decidua', 'euroopanlehtikuusi', 'euroopan lehtikuusi'];putkilokasvilaji
agentive-physical-object;['lännendouglaskuusi', 'douglasinkuusi', 'douglaskuusi', 'pseudotsuga menziesii', 'oregon-mänty', 'oregoninmänty', 'oregonmänty', 'douglas fir'];Havupuulaji
agentive-physical-object;['andropogon gerardii', 'andropogon furcatus', 'bluestem', 'isovarrasheinä', 'blue stem', 'andropogon gerardi', 'big bluestem', 'gerardii', 'iso bluestem', 'sininen varsi'];kasvilaji
agentive-physical-object;['larix occidentalis', 'lännenlehtikuusi', 'länsi lehtikuusi', 'länsi tamarack', 'oregon lehtikuusi'];pohjoisamerikkalainen havupuulaji
agentive-physical-object;['tulipa gesneriana', 'tarhatulppaani'];putkilokasvilaji
agentive-physical-object;['digitalis purpurea', 'rohtosormustinkukka', 'sormustinkukka', 'punainen sormustinkukka', 'digitalis purpurea subsp. amandiana', 'digitalis purpurea subsp. purpurea', 'fingerflower', 'fingerroot', 'keiju soittokello', 'sormi-kukka', 'sormi-root', 'sormustinkukasta'];putkilokasvilaji
agentive-physical-object;['rudbeckia laciniata', 'kultapallo', 'syyspäivänhattu', 'cutleaved auringonhattu'];putkilokasvilaji
agentive-physical-object;['chrysanthemum leucanthemum', 'leucanthemum vulgare', 'päivänkakkara', 'ahopäivänkakkara', 'moon päivänkakkara', 'ox-eyed daisy', 'oxeye daisy', 'oxeye päivänkakkara', 'valkoinen päivänkakkara'];putkilokasvilaji
agentive-physical-object;['typha latifolia', 'leveäosmankäämi', 'noropallokaisla', 'kaisla', 'leveälehtiosmankäämi', 'scirpoides holoschoenus', 'heijastin tail', 'nailrod', 'osmankäämi', 'reed mace', 'reedmace'];putkilokasvilaji
agentive-physical-object;['typha latifolia', 'leveäosmankäämi', 'noropallokaisla', 'kaisla', 'leveälehtiosmankäämi', 'scirpoides holoschoenus', 'heijastin tail', 'nailrod', 'osmankäämi', 'reed mace', 'reedmace'];putkilokasvilaji
agentive-physical-object;['maitohorsma', 'epilobium angustifolium', 'chamaenerion angustifolium', 'chamerion angustifolium', 'jättiläinen willowherb', 'wickup'];putkilokasvilaji
agentive-physical-object;['maarianohdake', 'silybum marianum', 'silybum marianumista', 'naisen ohdake', 'pyhä ohdake', 'äitimme lievä ohdake'];putkilokasvilaji
agentive-physical-object;['geranium pratense', 'kyläkurjenpolvi', 'niitty kurjenpolvi'];putkilokasvilaji
agentive-physical-object;['sorghum halepense', 'johnsonheinä', 'jonsonindurra', 'johnson ruoho', 'aleppo ruoho', 'durra halepense', 'ikivihreä hirssi', 'tarkoittaa ruoho'];putkilokasvilaji
agentive-physical-object;['rami', 'boehmeria nivea', 'kiinanruoho', 'kuiturami', 'kiina ruoho', 'kiinan silkki kasvi', 'ramee'];nokkoskasveihin kuuluva ruoho, jonka varren kuitua käytetään tekstiileihin ja paperiin
agentive-physical-object;['salvia pratensis', 'niittysalvia', 'salvia', 'salvia officinalis', 'niitty clary'];putkilokasvilaji
agentive-physical-object;['gypsophila paniculata', 'morsiusharso', 'raunikki', 'harsokukka', "babies' hengitystä", 'vauvan hengitys'];putkilokasvilaji
agentive-physical-object;['juncus effusus', 'röyhyvihvilä', 'pehmeä kiire', 'soft rush', 'yhteinen kiire'];putkilokasvilaji
agentive-physical-object;['picea obovata', 'siperiankuusi', 'picea abies ssp. obovata', 'kuusen'];havupuulaji
agentive-physical-object;['picea pungens', 'hopeakuusi', 'okakuusi', 'sinikuusi', 'colorado blue spruce', 'colorado kuusen', 'hopea kuusen'];putkilokasvilaji
agentive-physical-object;['phoenix dactylifera', 'taatelipalmu', 'välimerentaateli', 'taateli', 'taatelipalmuja', 'date palm', 'taatelipalmut'];putkilokasvilaji
agentive-physical-object;['paspalum dilatatum', 'helmihirssi', 'helmihirssit', 'paspalum', 'dallis ruoho', 'dallisgrass'];kasvisuku
agentive-physical-object;['ukontulikukka', 'verbascum thapsus', 'kukkii', 'flanelli mullein', 'suuri mullein', 'villava mullein', 'yhteinen mullein'];putkilokasvilaji
agentive-physical-object;['heteroscelus incanus', 'harmaaviklo', 'tringa incana', 'polynesian tattler'];lintulaji
agentive-physical-object;['viitarastas', 'hylocichla fuscescens', 'catharus fuscescens', 'veery', 'wilsonin sammas'];lintulaji
agentive-physical-object;['dipsacus fullonum', 'laidunkarstaohdake', 'karttaohdake', 'yhteinen teasel'];putkilokasvilaji
agentive-physical-object;['prunus armeniaca', 'aprikoosi', 'hedelmäaprikoosi', 'yhteinen aprikoosi'];hedelmäpuu
agentive-physical-object;['seepia', 'seepiat', 'mustekala', 'sepiida', 'mustekalan'];Mustekaloihin kuuluvia nilviäisiä
agentive-physical-object;['luffa cylindrica', 'pesusienikurkku', 'pesusienikurkut', 'vihannes sieni'];kurkkukasvisuku
agentive-physical-object;['phaseolus vulgaris', 'tarhapapu', 'pensaspapu', 'salkopapu', 'papu', 'vulgaris', 'yhteinen papu', 'yhteinen papu kasvi'];putkilokasvilaji
agentive-physical-object;['calendula officinalis', 'kehäkukka', 'tarhakehäkukka', 'potin kehäkukka', 'ruddles', 'scotch kehäkukka', 'yhteinen kehäkukka'];putkilokasvilaji
agentive-physical-object;['rubus idaeus', 'vadelma', 'vattu', 'puutarhavadelma', 'vaapukka', 'vaarain', 'vatukka', 'framboise', 'euroopan vadelma', 'villivadelma'];putkilokasvilaji
agentive-physical-object;['buteo buteo', 'hiirihaukka', 'buzzards'];lintulaji
agentive-physical-object;['turturikyyhky', 'streptopelia turtur'];lintulaji
agentive-physical-object;['kalalokki', 'larus canus', 'meri mew'];lintulaji
agentive-physical-object;['kettu', 'vulpes vulpes', 'punakettu', 'repo', 'hopeakettu', 'mustakettu', 'repolainen', 'ristikettu', 'punakettujen', 'vulpes'];Maailman levinnein maalla liikkuva petoeläin
agentive-physical-object;['kattohaikara', 'ciconia ciconia', 'valkea tuonenkurki'];lintulaji
agentive-physical-object;['pikkutalvikki', 'pyrola minor', 'pyrola vähäisiä', 'vähemmän talvikkiöljy'];putkilokasvilaji
agentive-physical-object;['kärppä', 'mustela erminea', 'portimo', 'stoats'];Näätäeläimiin kuuluva pienikokoinen petoeläin
agentive-physical-object;['nuijasarvisieni', 'xylaria polymorpha', 'dead-kenenkään-sormet', "dead-men's-sormet", "xylaria polymorpha'ssa"];kotelosienilaji
agentive-physical-object;['partakorppikotka', 'gypaetus barbatus', 'gypaetus', 'lammergeier', 'lammergeyer'];lintulaji
agentive-physical-object;['komodonvaraani', 'varanus komodoensis', 'jättiläisvaraani', 'komodo dragon', 'jättiläinen lisko', 'komodo lisko', 'lohikäärme lisko'];Varaaneihin kuuluva matelija ja maailman suurin lisko
agentive-physical-object;['keisaripingviini', 'aptenodytes forsteri', 'emperor penguin'];suurin pingviinilaji
agentive-physical-object;['jauhomato', 'jauhopukki', 'tenebrio molitor', 'jauhomadot', 'mealworm', 'mealworms'];kovakuoriaislaji
agentive-physical-object;['tinea pellionella', 'turkiskoi', 'casemaking vaatekoi'];perhoslaji
agentive-physical-object;['piranga olivacea', 'tulitangara', 'scarlet tanager'];lintulaji
agentive-physical-object;['tursiops truncatus', 'pullonokkadelfiini', 'pullokuonodelfiini', 'delphinus truncatus', 'tursops truncatus', 'atlantic pullonokkadelfiinin'];delfiinilaji
agentive-physical-object;['ihmiskirppu', 'pulex irritans'];hyönteislaji
agentive-physical-object;['tympanuchus cupido', 'preeriakana', 'suur prairie kana', 'suurempi prairie kana'];lintulaji
agentive-physical-object;['minni hiiri', 'minnie mouse'];Kuvitteellinen hahmo
agentive-physical-object;['kääpiömarmosetti', 'cebuella pygmaea', 'callithrix pygmaea', 'kääpiösilkkiapina', 'pikkumarmosetti'];apinalaji
agentive-physical-object;['rudbeckia hirta', 'rudbeckia serotina', 'kesäpäivänhattu', 'päivänhattu'];putkilokasvilaji
agentive-physical-object;['ficus sycomorus', 'sykomori', 'sykomoriviikuna', 'egyptiläinen viikunapuu', 'metsäviikunapuu', 'sycamore kuva', 'mulberry viikuna'];viikunalaji
agentive-physical-object;['alopex lagopus', 'naali', 'napakettu', 'alopex', 'canis lagopus', 'sinikettu', 'sininaali', 'valkonaali', 'vulpes lagopus', 'valkoinen kettu'];Pohjoisen pallonpuoliskon tundralla elävä koiraeläimiin kuuluva petoeläin
agentive-physical-object;['saflori', 'carthamus tinctorius', 'värisaflori', 'väriohdake', 'vääriä sahrami'];putkilokasvilaji
agentive-physical-object;['crataegus laevigata', 'crataegus oxycantha', 'orapihlaja', 'pyöröorapihlaja', 'pyöröliuskaorapihlaja'];putkilokasvilaji
agentive-physical-object;['kolibri', 'kolibrit', 'trochilidae', 'trochiliformes', 'kolibrilinnut', 'kolibrilintu', 'hummingbirds'];lintujen heimo
agentive-physical-object;['nicotiana rustica', 'palturitupakka', 'mahorkka', 'mapache', 'mapacho', 'nurkantakanen', 'venäläinen tupakka', 'villi tupakka'];putkilokasvilaji
agentive-physical-object;['muurahaiskäpy', 'muurahaiskävyt', 'muurahaiskäpyä', 'suomuinen anteater'];Muurahaisia syövä nisäkäslaji
agentive-physical-object;['punalakkipipilo', 'pipilo chlorurus', 'green-tailed towhee'];lintulaji
agentive-physical-object;['maahumala', 'glechoma hederaceae', 'nepeta hederaceae', 'glechoma hederacea', 'alehoof', 'gill-over-the-kentällä', 'ground ivy', 'runaway robin'];putkilokasvilaji
agentive-physical-object;['cynodon dactylon', 'varvasheinä', 'sormiheinä', 'mattovarvasheinä', 'bermuda ruoho', 'bahama ruoho', 'bermuda grass', 'doob', 'elymus repens', 'kweek', 'loukuttaa ruoho', 'paholainen ruoho'];putkilokasvilaji
agentive-physical-object;['hevoskastanja', 'aesculus hippocastanum', 'balkaninhevoskastanja', 'buckeye', 'hevonen kastanja'];puulaji
agentive-physical-object;['anacardium occidentale', 'munuaispuu', 'cashewpähkinä', 'cashew-puu', 'munaispuu', 'cashew', 'cashew-pähkinä', 'cashewpuu', 'cashew pähkinä', 'cashew tree'];Puu, jonka siemeniä käytetään ravintona
agentive-physical-object;['kaakaopuu', 'theobroma cacao', 'kaakaopuukasvit', 'cacao istutus', 'cacao puu', 'suklaa puu'];Trooppinen kasvi
agentive-physical-object;['orthotomus sutorius', 'pitkäpyrstöräätäli', 'räätälit', 'räätälilintu', 'orthotomus', 'tailorbird'];lintulaji
agentive-physical-object;['croton tiglium', 'krotonit', 'ihmepensas', 'kroton', 'moacroton', 'croton'];kasvisuku
agentive-physical-object;['oranssiharjakotinga', 'rupicola rupicola'];lintulaji
agentive-physical-object;['polystichum aculeatum', 'piikkihärkylä', 'cyrtomium aculeatum'];putkilokasvilaji
agentive-physical-object;['psophia crepitans', 'kyssäkurki', 'agami', 'trumpettilintu', 'brasilian trumpetisti'];lintulaji
agentive-physical-object;['silene acaulis', 'tunturikohokki', 'moss campion', 'sammal campion'];putkilokasvilaji
agentive-physical-object;['saxifraga aizoides', 'kultarikko', 'keltainen vuori lettorikko'];putkilokasvilaji
agentive-physical-object;['triglochin maritima', 'merisuolake', 'suolake', 'arrow ruoho'];putkilokasvilaji
agentive-physical-object;['armeria maritima', 'laukkaneilikka', 'rusolaukkaneilikka', 'rannikonlaukkaneilikka', 'atlantinlaukkaneilikka', 'itämerenlaukkaneilikka', 'niittylaukkaneilikka', 'rantalaukkaneilikka', 'tunturilaukkaneilikka', 'cliff nousi', 'meri vaaleanpunainen'];putkilokasvilaji
agentive-physical-object;['kiinanpantaheinä', 'pantaheinät', 'setaria faberi', 'pantaheinää'];putkilokasvilaji
agentive-physical-object;['hyttynen', 'moskiitto', 'sääski', 'hyttyset', 'itikka', 'culicidae', 'itikat', 'hyttysiä', 'mosquitoe'];Hyönteisheimo
agentive-physical-object;['kaksisiipiset', 'kärpänen', 'kaksisiipinen', 'diptera', 'dipterans', 'lentää', 'totta kärpäsiä'];Hyönteisten luokkaan kuuluva niveljalkaisten lahko
agentive-physical-object;['arctium minus', 'pikkutakiainen', 'arctium miinus', 'vähäisemmässä takiainen', 'yhteisiä takiainen'];putkilokasvilaji
agentive-physical-object;['achillea millefolium', 'siankärsämö', 'yarrow'];putkilokasvilaji
agentive-physical-object;['ori', 'koko', 'oriit'];Uroshevonen
agentive-physical-object;['sukkulamato', 'sukkulamadot', 'nematodi', 'suolinkainen', 'nematoda', 'nemata', 'sukkulamato mato', 'sukkula', 'suolinkaistartuntojen'];Eläinten pääjakso
agentive-physical-object;['berberis vulgaris', 'ruostehappomarja', 'euroopan happomarjapensas', 'yhteinen happomarjapensas'];putkilokasvilaji
agentive-physical-object;['ajuga genevensis', 'hammasakankaali', 'pystyssä toitottaa', 'sininen toitottaa'];putkilokasvilaji
agentive-physical-object;['poa pratensis', 'niittynurmikka', 'kentucky bluegrass', 'kentucky sininen', 'kentucy sininen ruoho', 'kesäkuu ruoho'];putkilokasvilaji
agentive-physical-object;['podocarpus totara', 'totara', 'maorinpodokarpus', 'tōtara'];havupuulaji
agentive-physical-object;['villamammutti', 'mammuthus primigenius', 'tundramammutti', 'villakarvamammutti', 'pohjois mammutti', 'villainen mammutti'];Sukupuuttoon kuollut eläinlaji
agentive-physical-object;['tanskandoggi', 'tanskandogi', 'doggia'];Saksalainen koirarotu
agentive-physical-object;['anser cygnoides', 'joutsenhanhi', 'kyhmyhanhi', 'kiinalainen hanhi', 'kiinan hanhi'];lintulaji
agentive-physical-object;['cassia occidentalis', 'senna occidentalis', 'kahvisenna', 'haiseva weed', 'kahvia senna', 'mogdad kahvi', 'styptic weed'];putkilokasvilaji
agentive-physical-object;['tuulenkala', 'tuulenkalat', 'ammodytidae', 'hiekka lance', 'tuulenkalan', 'hiekka launce', 'launce', 'sandlance'];Täsmennyssivu
agentive-physical-object;['amerikanpussitiainen', 'auriparus flaviceps', 'verdin'];lintulaji
agentive-physical-object;['piikkiherne', 'ulex europaeus', 'euroopanpiikkiherne', 'furze', 'piikkipensaistonummet', 'irish piikkipensaistonummet', 'whin'];putkilokasvilaji
agentive-physical-object;['makrillihai', 'isurus oxyrhincus', 'isurus oxyrinchus', 'makrillihaiden', 'makrillihaiden hain'];Kalalaji
agentive-physical-object;['helianthus giganteus', 'jättiauringonkukka', 'roima-auringonkukka', 'jättiläinen auringonkukka', 'pitkä auringonkukka'];putkilokasvilaji
agentive-physical-object;['viburnum lantana', 'villaheisi', 'twist puu', 'twistwood', 'vaeltava puu'];putkilokasvilaji
agentive-physical-object;['rosa multiflora', 'japaninköynnösruusu', 'japanilainen ruusu', 'multiflora', 'multiflora nousi', 'multiflora ruusu', 'vauva ruusu'];putkilokasvilaji
agentive-physical-object;['adlumia fungosa', 'adlumia', 'adlumi', 'fumaria fungosa', 'allegheny viiniköynnöksen', 'kiipeily fumitory', 'peltoemäkki fungosa'];putkilokasvilaji
agentive-physical-object;['bakteriofagi', 'fagi', 'faagi', 'bakteerifaagi', 'bakteriofaagi', 'bakteriofagit', 'faagien'];virus, joka loisii bakteerissa
agentive-physical-object;['hauki', 'esox lucius', 'kaivohauki'];Sisä- ja rannikkovesissä elävä petokala
agentive-physical-object;['numida meleagris', 'helmikana', 'helmikanat', 'guinean helmikana', 'numididae', 'numida', 'helmikanoilla', 'meleagris'];lintulaji
agentive-physical-object;['aramus pictus', 'kotilokurki', 'aramidae', 'aramidaea', 'aramus guarauna', 'kotilokurjet', 'aramus', 'limpkin'];lintulaji
agentive-physical-object;['lintu', 'linnut', 'aves', 'pesäpakoinen', 'avafauna', 'roosting'];Tasalämpöisiä selkärankaisia
agentive-physical-object;['nelumbo lutea', 'amerikanlootus', 'american lotus', 'yanquapin'];lootuslaji
agentive-physical-object;['convolvulus arvensis', 'peltokierto'];putkilokasvilaji
agentive-physical-object;['vyöpitkäjalka', 'cladorhynchus leucocephalus', 'cladorhynchus', 'cladorhyncus leucocephalum', 'porrastettuja paalu', 'vuoroväriset stilt'];lintulaji
agentive-physical-object;['hanhi', 'anserini', 'hanhet'];lintulaji
agentive-physical-object;['lolium temulentum', 'myrkkyraiheinä', 'huimaluste', 'darnel', 'parrakas darnel'];putkilokasvilaji
agentive-physical-object;['bromus secalinus', 'ruiskattara', 'hiirenruis'];putkilokasvilaji
agentive-physical-object;['celosia argentea', 'kukonharja'];putkilokasvilaji
agentive-physical-object;['sinapis arvensis', 'rikkasinappi', 'brassica kaber', 'peltonarsku', 'charlock', 'alalla sinappi', 'chadlock', 'villi sinappi'];putkilokasvilaji
agentive-physical-object;['solanum elaeagnifolium', 'koiso', 'punakoiso', 'kilsekoiso', 'solanum xanti', 'hopea-leaved belladonna', 'hopea-leaved nokkosen', 'preeria marja', 'silverleaf belladonna', 'trompillon', 'valkoinen hevonen nokkosen', 'violetti belladonna'];putkilokasvilaji
agentive-physical-object;['portulaca oleracea', 'vihannesportulakka', 'portulakka', 'rikkaportulakka', 'portulaca oleracea subsp. granulatostellulata', 'portulaca oleracea subsp. nitida', 'portulaca oleracea subsp. oleracea', 'portulaca oleracea subsp. stellata', 'pussley', 'pussly', 'verdolagas', 'yhteinen purslane'];putkilokasvilaji
agentive-physical-object;['lathyrus hirsutus', 'karvanätkelmä', 'caley herne', 'karkea herne', 'singletary herne', 'villi winterpea'];putkilokasvilaji
agentive-physical-object;['aframomum melegueta', 'meleguettapippuri', 'meleguetapippuri', 'grains of paradise', 'guinea jyvät', 'jyvät paratiisi', 'jyvät paratiisin', 'melagueta pippuria', 'melegueta'];inkiväärikasvilaji
agentive-physical-object;['geranium molle', 'pehmytkurjenpolvi', 'dove jalka geraniumöljyn'];putkilokasvilaji
agentive-physical-object;['thermopsis macrophylla', 'korvakenätkelmä', 'revonpapu', 'lathyrus aphaca', 'keltainen herne', 'kultainen herne', 'vääriä lupiini'];putkilokasvilaji
agentive-physical-object;['collinsia heterophylla', 'collinsia bicolor', 'variksenkukka', 'kirjovariksenkukka', 'innocense', 'violetti kiinalainen talot'];putkilokasvilaji
agentive-physical-object;['pulmunen', 'plectrophenax nivalis'];lintulaji
agentive-physical-object;['jäälokki', 'pagophila eburnea', 'pagophila', 'ivory gull', 'norsunluu lokki'];lintulaji
agentive-physical-object;['arokakadu', 'kakatoe leadbeateri', 'cacatua leadbeateri', 'inkakakadu', 'pinkki kakadu'];lintulaji
agentive-physical-object;['jääkarhu', 'ursus maritimus', 'thalarctos maritimus', 'thalarctos', 'ice bear', 'jääkarhuja'];Arktinen karhulaji
agentive-physical-object;['cacatua galerita', 'kultatöyhtökakadu', 'kakatoe galerita', 'rikki-crested cockatoo', 'rikki-crested kakadu'];lintulaji
agentive-physical-object;['larus marinus', 'merilokki', 'suuri selkälokki', 'marinus', 'selkälokki'];lintulaji
agentive-physical-object;['kakadu', 'kakadut', 'cacatuidae', 'cacatuinae'];Papukaijojen heimon alaheimo
agentive-physical-object;['rubus parviflorus', 'valkovatukka', 'lohi marja', 'thimbleberry'];putkilokasvilaji
agentive-physical-object;['bryonia alba', 'mustakoiranköynnös', 'paholaisen nauris', 'valkoinen bryony'];putkilokasvilaji
agentive-physical-object;['trialeurodes vaporariorum', 'ansarijauhiainen', 'kasvihuonekaasujen whitefly'];hyönteislaji
agentive-physical-object;['rana sylvatica', 'metsäsammakko', 'lithobates sylvatica', 'lithobates sylvaticus', 'puu sammakko', 'puu-sammakko', 'sylvatica'];Pohjois-Amerikan pohjoisosien sammakkolaji
agentive-physical-object;['maapähkinä', 'arachis hypogaea', 'maapähkinä viiniköynnöksen'];putkilokasvilaji
agentive-physical-object;['vinca minor', 'pikkutalvio', 'myrtti'];putkilokasvilaji
agentive-physical-object;['mustaherukka', 'ribes nigrum', 'mustaviinimarja', 'mustaherukkapensas', 'mustaviinimarjapensas', 'grosellero negro', 'euroopan mustaherukka'];putkilokasvilaji
agentive-physical-object;['triticum aestivum', 'vehnä', 'leipävehnä', 'nisu', 'vehnän'];viljalaji
agentive-physical-object;['brassica rapa', 'turnipsi', 'rypsi', 'nauris', 'rehunauris'];putkilokasvilaji
agentive-physical-object;['curcuma longa', 'maustekurkuma', 'curcuma domestica', 'kurkuma', 'kurkuma domestica', 'tumeric'];Inkivääreihin kuuluva maustekasvi
agentive-physical-object;['salix herbacea', 'vaivaispaju', 'kääpiö paju'];putkilokasvilaji
agentive-physical-object;['juudaksenkorva', 'auricularia auricula', 'auricularia sambucina', 'hirneola auricula-judae', 'auricularia auricula-judae', "jew's-korva", "jew's-korvat", 'korva sieni'];lahottajasieni
agentive-physical-object;['parus caeruleus', 'sinitiainen', 'peukaloissieppo', 'petroica macrocephala', 'tiainen'];lintulaji
agentive-physical-object;['scleranthus annuus', 'viherjäsenruoho', 'jäsenruoho', 'knawe', 'knawel'];putkilokasvilaji
agentive-physical-object;['tukkakoskelo', 'mergus serrator', 'pikkukoskelo'];lintulaji
agentive-physical-object;['plantago media', 'soikkoratamo'];putkilokasvilaji
agentive-physical-object;['neomys fodiens', 'vesipäästäinen', 'euroopan vesi metsäpäästäinen'];nisäkäslaji
agentive-physical-object;['amerikantilhi', 'bombycilla cedrorun', 'setritilhi', 'bombycilla cedrorum', 'cedar tilhi', 'cedar waxwing', 'cedarbird'];lintulaji
agentive-physical-object;['hyacinthus orientalis', 'hyasintti', 'itäinen hyasintti', 'tuoksuhyasintti', 'hajusintti', 'yhteinen hyasintti'];putkilokasvilaji
agentive-physical-object;['dactylis glomerata', 'koiranheinä', 'dactylis glomerata subsp. hispanica', 'niittykoiranheinä', 'hedelmätarha ruoho', 'koiranheinän'];putkilokasvilaji
agentive-physical-object;['brassica nigra', 'mustasinappi', 'musta sinappi'];putkilokasvilaji
agentive-physical-object;['anthemis cotula', 'haisusauramo', 'konnan sauramo', 'surkulla', 'haiseva kamomilla', 'haiseva saunio', 'saunio'];putkilokasvilaji
agentive-physical-object;['malus sylvestris', 'metsäomenapuu', 'metsäomena', 'villi rapu'];putkilokasvilaji
agentive-physical-object;['vaikertajakyyhky', 'zenaidura macroura', 'zenaida macroura', 'macroura', 'mourning dove', 'suru dove'];lintulaji
agentive-physical-object;['laama', 'lama glama', 'lama guanicoe glama', 'laamat'];Eteläamerikkalainen sorkkaeläin
agentive-physical-object;['gauri', 'bibos gaurus', 'gaur-härkä', 'bibos frontalis', 'bos frontalis gaurus', 'bos gaurus', 'viidakkohärkä', 'bos frontalis', 'gajaali', 'gaur', 'gaurus', 'intialainen bison'];Viidakkohärkä
agentive-physical-object;['balinnauta', 'bantengi', 'bos banteng', 'bos javanicus', 'banteng', 'tsine'];Aasialainen villi nautaeläin
agentive-physical-object;['amerikansepelkyyhky', 'columba fasciata', 'patagioenas fasciata', 'band-tailed kyyhkynen', 'band-tail kyyhkynen', 'bandtail'];lintulaji
agentive-physical-object;['fragaria chiloensis', 'chilenmansikka', 'fragaria chiloënsis', 'chilen mansikka', 'ranta mansikka'];putkilokasvilaji
agentive-physical-object;['salix viminalis', 'koripaju', 'hamppu paju', 'velvet koripaju', 'yhteinen koripaju'];putkilokasvilaji
agentive-physical-object;['hippobosca equina', 'hevoskärpänen', 'hevosentäikärpänen', 'hevonen rasti'];hyönteislaji
agentive-physical-object;['melophagus ovinus', 'lampaantäikärpänen', 'lampaan täikärpänen', 'lampaat ked'];hyönteislaji
agentive-physical-object;['dingo', 'canis dingo', 'villikoira', 'australianvillikoira', 'canis lupus dingo', 'canis familiaris dingo', 'canis familiaris ssp. dingo', 'canis lupus ssp. dingo', 'dingokoira', 'dingoes', 'dingos'];Australiassa ja Kaakkois-Aasiassa elävä suden alalaji
agentive-physical-object;['ahma', 'gulo gulo', 'gulo luscus', 'kätkä'];nisäkäslaji
agentive-physical-object;['picus viridis', 'vihertikka'];lintulaji
agentive-physical-object;['lammas', 'ovis orientalis aries', 'lampaat', 'kesylammas', 'lampaanmaito', 'lampuri', 'ovis ammon aries', 'ovis aries', 'pässi', 'uuhi', 'vuona'];kesytetty vuohieläin
agentive-physical-object;['wilsonia pusilla', 'sitruunakerttuli', 'wilsonin mustapääkerttu', 'wilsonin varpuslintu', 'wilsonin warbler'];lintulaji
agentive-physical-object;['glaucium flavum', 'keltaneidonunikko', 'horn unikko', 'keltainen sarvipäinen unikko', 'meri unikko', 'sarvipäinen unikko'];putkilokasvilaji
agentive-physical-object;['lupinus luteus', 'keltalupiini', 'keltainen lupiini', 'luteus'];putkilokasvilaji
agentive-physical-object;['diplotaxis muralis', 'diplotaxis tenuifolia', 'leveäliuskainen hietasinappi', 'isohietasinappi', 'pikkuhietasinappi', 'seinään raketti'];putkilokasvilaji
agentive-physical-object;['diplotaxis muralis', 'diplotaxis tenuifolia', 'leveäliuskainen hietasinappi', 'isohietasinappi', 'pikkuhietasinappi', 'seinään raketti'];putkilokasvilaji
