abstract-quality;['વ્યક્તિત્વ'];વ્યક્તિત્વ એટલે જે-તે વ્યક્તિની વર્તનશૈલી, તેની બૌદ્ધિક શક્તિઓ, અભિયોગ્યતાઓ, વિચારો, ટેવો, આવેગો, મનોવલણો અને બીજાં એવાં વિશિષ્ટ પાસાંઓના ગત્યાત્મક સંગઠનથી ઊપજેલું સુગ્રથિત સ્વરૂપ.
agentive-physical-object;['દાડમ', 'punica granatum'];દાડમ મીઠા રસદાર દાણાવાળું એક ફળ.
agentive-physical-object;['જંગલી બિલાડી'];જંગલી બિલાડી અથવા રાની બિલાડી તરીકે ઓળખાતા આ ચોપગા, સસ્તન પ્રાણીનો વ્યાપ ગુજરાત રાજ્યના લગભગ બધા જ વિસ્તારોમાં જોવા મળે છે.
agentive-physical-object;['બદામ'];બદામ (Prunus dulcis, syn.
agentive-physical-object;['ડુબકી કુટુંબ'];ભારતીય ઉપખંડમાં નીચે પ્રમાણેનાં ડુબકી કુટુંબનાં પક્ષીઓ જોવા મળે છે.
agentive-physical-object;['ગોલ્ડફિશ'];ગોલ્ડફિશ એ સાઈપ્રિનિડે કુળની સાઈપ્રિનિફોર્મસ વર્ગની તાજા પાણીની માછલી છે.
agentive-physical-object;['શિયાળુ નાની ડુબકી', 'podiceps nigricollis', 'શ્યામગ્રીવા ડુબકી'];શિયાળુ નાની ડુબકી કે શ્યામગ્રિવા ડુબકી, ડુબકી કુટુંબનું જળપક્ષી છે, આ પક્ષી ઓસ્ટ્રેલિયા અને એન્ટાર્કટિકા સિવાઇનાં વિશ્વનાં તમામ ખંડોમાં જોવા મળે છે.
agentive-physical-object;['ઘર ચકલી', 'ચકલી'];ઘર ચકલી એક પક્ષી છે, જે યુરોપ અને એશિયા ખંડમાં સામાન્ય રીતે દરેક જગ્યા પર જોવા મળે છે.
agentive-physical-object;['ચક્તાવાળી બિલાડી'];ચક્તાવાળી બિલાડી કે ચિત્તા બિલાડી એ દક્ષિણપૂર્વ એશિયાની નાની 'જંગલી બિલાડી' છે.જેને 'બંગાળી બિલાડી' તરીકે પણ વિશ્વમાં ઓળખવામાં આવે છે.
agentive-physical-object;['પંગારો'];પંગારો અથવા પનેરવો એ એક વનસ્પતિ છે.
agentive-physical-object;['બાદિયાન'];બાદિયાન તારા આકારનો એક સુગંધી મસાલો કે વસાણું છે જેની સોડમ વરિયાળીને મળતી આવે છે.
agentive-physical-object;['પિસ્તા'];પિસ્તા, પિસ્તાશીયા વેરાએ વનસ્પતિ શાસ્ત્ર અનુસાર એનાકાર્ડીઆસેશી કુળનું વૃક્ષ છે.
agentive-physical-object;['રામફળ'];રામફળ એક મીઠું ફળ છે.
agentive-physical-object;['કીડી'];કીડી એ એક સામાન્ય રીતે બધે જ જોવા મળતું જંતુ છે.
agentive-physical-object;['ઘોડો', 'equus caballus'];ઘોડો નહિ વાગોળનારાં પશુમાંનું સવારી માટેનું એક સુંદર ચોપગું પશું છે.
agentive-physical-object;['થ્રશ કુટુંબ'];ગુજરાત રાજ્યમાં નિચેનીં યાદી પ્રમાણેના થ્રશ કુટુંબનાં પક્ષીઓ જોવા મળે છે.
agentive-physical-object;['પાલક', 'પાલખ'];પાલક કે પાલખ એ એક સપુષ્પ વનસ્પતિ છે જેના પાન ભાજી તરીકે ખવાય છે.
agentive-physical-object;['બોર', 'બોરડી', 'ziziphus jujuba', 'ziziphus zizyphus'];બોરફળનું ઝાડ જાત પ્રમાણે વિવિધ કદના થતા જોવા મળે છે.
agentive-physical-object;['બોર', 'બોરડી', 'ziziphus jujuba', 'ziziphus zizyphus'];બોર એ વનસ્પતિશાસ્ત્રમાં ઝીઝીફસ પ્રજાતિના ક્ષુપનું એક ફળ છે.
agentive-physical-object;['ચોળા'];ચોળા એ ગુજરાતી રસોઈમાં જાણીતું કઠોળ છે.
agentive-physical-object;['હંસ'];હંસ એક લાંબી ડોકવાળું, લાંબા પગવાળું તેમ જ મોટું કદ ધરાવતું પક્ષી છે.
agentive-physical-object;['ગિનિ પિગ', 'cavia porcellus'];ગિનિ પિગ ને કેવી તરીકે પણ ઓળખવામાં આવે છે.
agentive-physical-object;['મકાઈ', 'zea mays'];મકાઈ એક મુખ્ય ખાદ્ય કૃષિ પાક છે, જે જાડાં અનાજની શ્રેણીમાં આવે છે.
agentive-physical-object;['ભીંડા', 'ભીંડો'];ભીંડા એ એક શાકભાજી છે.
agentive-physical-object;['તમાકુ', 'nicotiana tabacum'];તમાકુ એક બહુવર્ષાયુ વનસ્પતિ છે, જે છોડ સ્વરૂપે જોવા મળે છે.
agentive-physical-object;['બાજરો', 'બાજરી'];બાજરો કે બાજરી એ બાજરાની બહોળાપણે ઉગાડવામાં આવતી જાત છે.
agentive-physical-object;['ખજૂર'];ખજૂર ઠંડીમાં સમગ્ર ભારતમાં સહેલાઈથી મલી જાય છે.
agentive-physical-object;['સફેદ ઢોંક', 'ઊજળી'];સફેદ ઢોંક કે ઊજળી, એ મોટું યાયાવર પક્ષી છે.
agentive-physical-object;['શેવાળ'];શેવાળો નાના, નાજુક છોડ હોય છે, જે સામાન્ય રીતે 1-10 સેન્ટિમીટર સુધીના લાંબા હોય છે.
agentive-physical-object;['ધરો', 'ધ્રો', 'ધ્રોખડ', 'દુર્વા'];ધરો, ધ્રો, ધ્રોખડ અથવા દૂર્વા એક પ્રકારની વનસ્પતિ અને ઘાસનો પ્રકાર છે.
agentive-physical-object;['લોબાન'];લોબાનએ તુર્કસ્તાન, આફ્રિકા ખંડના પૂર્વ કિનારા ઉપરના પ્રદેશ, જાવા અને સુમાત્રામાં જોવા મળતું વૃક્ષ છે.
agentive-physical-object;['કાજુ'];કાજુ એ એક પ્રકારનો સૂકોમેવો છે.
agentive-physical-object;['પપૈયાં', 'પપૈયું'];પપૈયું કે પોપૈયું/પોપૈયાં એક ફળાઉ વૃક્ષ અને ફળ છે.
agentive-physical-object;['સીતાફળ'];સીતફળ એ એક મીઠું બહુ બીજી ફળ છે.
agentive-physical-object;['દરજીડો', 'orthotomus'];દરજીડો એ ભારતીય ઉપખંડમાં જોવા મળતું એક પક્ષી છે.
agentive-physical-object;['કારેલું'];કારેલું એ વ્યાપક જોવા મળતું તથા શાકો મા સૌથી કડવું શાક છે.
agentive-physical-object;['તુવેર', 'તુવર'];તુવેર, તુવર કે તુવેરની દાળ (હિંદી:अरहर दाल, અંગ્રેજી: Pigeon pea, Gungo pea), (વૈજ્ઞાનિક નામ: Cajanus cajan, અન્ય વૈજ્ઞાનિક નામો Cajanus indicus Spreng.
agentive-physical-object;['કળથી'];કળથી એ એક ધાન્ય છે.
agentive-physical-object;['પોપટ'];પોપટ એક સુંદર પક્ષી છે.
agentive-physical-object;['મોર', 'મયુર', 'ઢેલ'];મોર એક જાણીતું અને માનવવસ્તીની નજીક રહેતું પક્ષી છે, જે ખાસ કરીને નર મોર ની રંગીન પીંછા વાળી પૂંછડી માટે જાણીતું છે.
agentive-physical-object;['કુંવારપાઠું'];કુંવારપાઠું, આપણા દેશના તમામ મેદાની પ્રદેશોમાં કુદરતી રીતે ઊગે છે.
agentive-physical-object;['પક્ષી', 'પનખિદ', 'aves'];પક્ષીઓ એ 'ગણગણતો (વર્ગ એવ્સ) 'નો (પ્રકાર ઉડાન ભરતો, બે પગવાળો, ગરમીથી ટેવાયેલો, (તાપમાન પ્રમાણે ઘડાયેલો) કરોડ ધરાવતો પ્રાણી વર્ગ છે જે ઇંડા મૂકે છે.અને તેને પોતાના શરીરની ગરમીથી સેવતો કરોડ ધરાવતો પ્રાણી વર્ગ છે.
agentive-physical-object;['ધ્રુવીય રીંછ', 'ursus maritimus'];ધ્રુવીય રીંછ એક રીંછ છે,જે મુખ્યત્વે આર્ક્ટિક મહાસાગર અને આજુબાજુનાં સમુદ્ર અને ભૂમિ ક્ષેત્રોને ઘેરતા આર્ક્ટિક સર્કલનું વતની છે.
agentive-physical-object;['ઉધઈ'];ઉધઈ એક નાનકડું જંતુ છે.
agentive-physical-object;['લેધરબેક કાચબો', 'dermochelys coriacea'];મોટા મહાસાગરમાં લેધરબેક પ્રકારનો કાચબો જોવા મળે છે.
agentive-physical-object;['હળદર'];હળદર /ˈtɜrmərɪk/ વનસ્પતિશાસ્ત્રની દૃષ્ટિએ ઝિન્ઝિબરેસી કુળની એક બહુવર્ષાયુ વનસ્પતિ છે જે ગાંઠમાંથી ઉગતા નાનકડા છોડ સ્વરૂપે જોવા મળે છે.
amount-of-matter;['યુરોપિયમ', 'eu'];યુરોપિયમ એ એક રાસાયણિક તત્વછે જેની સંજ્ઞા Eu અને અણુ ક્રમાંક ૬૩ છે.
amount-of-matter;['જસત', 'zn'];જસત, એ એક રાસાયનીક ધાતુ મૂળ તત્વ છે.આની રાસયણી ક સંજ્ઞા Zn છે અને અણુ ક્રમાંક 30 છે.
amount-of-matter;['જર્મેનિયમ', 'г', 'ge'];જર્મેનિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Ge અને અણુ ક્રમાંક ૩૨ છે.
amount-of-matter;['ટેલુરિયમ', 'te'];ટેલુરિયમએ એક રાસાયણિક તત્વ છે કે જેની સંજ્ઞા Te અને અણુ ક્રમાંક ૫૨ છે.
amount-of-matter;['પાણી', 'h₂o', 'જળ'];પાણી એ એક રાસાયણીક પદાર્થ જેની રાસાયણીક સંજ્ઞા H2O છે.
amount-of-matter;['આર્ગોન', 'árgon', 'ar'];આર્ગોન એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Ar છે.
amount-of-matter;['ક્રિપ્ટોન', 'kr'];ક્રિપ્ટોન એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Kr અને અણુ ક્રમાંક ૩૬ છે.
amount-of-matter;['ઓઝોન', 'ઊર્ધ્વમંડળીય ઓઝોન'];Y ઓઝોન ત્રણ પ્રાણવાયુ પરમાણુથી બનેલો એક ત્રિઆણ્વિક અણુ છે.
amount-of-matter;['મિથેન'];મિથેન એ એક રાસાયણિક સંયોજન છે જેનું રાસાયણીક સૂત્ર CH4 છે.
amount-of-matter;['ઈથેન'];ઈથેન એક રાસાયણીક સંયોજન છે જેનું રાસાયણીક સૂત્ર C2H6 છે.
amount-of-matter;['નિયોન', 'neon', 'ne'];નિયોન એ એક રાસાયણિક તત્વ છે જેની રાસાયણિક સંજ્ઞા Ne છે અને અણુ ક્રમાંક ૧૦ છે.
amount-of-matter;['નીરજી', 'ક્લોરિન', 'cl'];નીરજી ૧૭ પરમાણુ ક્રમાન્ક ધરાવતુ તેમજ ૩૫.૪૫ પરમાણુભાર ધરાવતુ તત્વ છે। તે ઝેરી અને હવા કરતા ભારે વાયુ છે.
amount-of-matter;['નાઇટ્રોજન', 'નત્રલવાયુ', 'n'];નાઇટ્રોજન તત્વ આવર્ત કોષ્ટકનો મહત્વનો વાયુ છે.
amount-of-matter;['પોલિએસ્ટર'];પોલિએસ્ટર એ પોલિમરનો એવો વર્ગ છે જે તેની મુખ્ય શ્રૃંખલામાં ક્રિયાશીલ સમૂહ તરીકે એસ્ટર ધરાવે છે.
amount-of-matter;['ટેક્નેશિયમ', 'tc'];ટેક્નેશિયમ અથવા ટેક્નીશિયમ એ એક રાસાયણિક તત્વ છે જેનો અણુ ક્રમાંક ૪૩ અને સંજ્ઞા Tc છે.
amount-of-matter;['ખનીજ તેલનું ઉત્પાદન કરતા દેશોની યાદી'];આ યાદીમાં એવા દેશો તેમ જ પ્રાંતો/રાજ્યોનાં નામોનું સંકલન કરવામાં આવેલું છે, જ્યાંથી તેલના કુવાઓમાંથી ખનીજ તેલ કાઢવામાં આવે છે.
amount-of-matter;['સિરીયમ', 'ce'];સિરીયમ એ એક રાસાયણિક તત્વ જેની સંજ્ઞા Ce' અને અણુ ક્રમાંક ૫૮ છે.
amount-of-matter;['તાંબુ', 'તાંબું', 'cu'];તાંબુ એ એક ધાતુ તત્વ છે.
amount-of-matter;['ગેડોલિનીયમ', 'gd'];ગેડોલિનીયમ એ એક રાસાયણિક તત્વ છે, જેની સંજ્ઞા Gd અને અણુ ક્રમાંક ૬૪ છે.
amount-of-matter;['ઈથિલીન', 'ઈથીન'];ઈથિલીન એક હાઇડ્રોકાર્બન પદાર્થ છે, તેનું અણુસૂત્ર C2H4 અથવા H2C=CH2 છે.
amount-of-matter;['સમેરિયમ', 'sm'];સમેરિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Sm, અને અણુ ક્રમાંક ૬૨ અને અણુ ભાર ૧૫૦.૩૬ છે.
amount-of-matter;['હાફનીયમ', 'hf'];હાફનીયમ એ એક રાસાયણીક તત્વ છે જેની સંજ્ઞા Hf અને અણુ ક્રમાંક ૭૨ છે.
amount-of-matter;['ઓસ્મીયમ', 'osmium'];'ઘાટા અક્ષર'ઓસ્મીયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Os અને અણુ ક્રમાંક ૭૬ છે.
amount-of-matter;['વર્ણાતુ', 'ક્રોમિયમ', 'cr'];વર્ણાતુ અથવા ક્રોમિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Cr અને અણુ ક્રમાંક ૨૪ છે.
amount-of-matter;['મેંગેનિઝ', 'mn'];મેંગેનિઝ એ એક રાસાયણીક તત્વ છે, જેની રાસાયણીક સંજ્ઞા Mn છે.
amount-of-matter;['કોબાલ્ટ', 'co'];કોબાલ્ટ એ એક રાસાયણીક તત્વ છે જેની રાસાયણીક સંજ્ઞા Co અને અણુ ક્રમાંક ૨૭ છે.
amount-of-matter;['ટેન્ટેલમ', 'ta', 'ટેન્ટેલિયમ'];ટેન્ટેલમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Ta અને અણુ ક્રમાંક ૭૩ છે.
amount-of-matter;['નિકલ', 'ni'];નિકલ એક રાસાયણીક તત્વ છે જેની રાસાયણીક સંજ્ઞા Ni અને અણુ ક્રમાંક ૨૮ છે.
amount-of-matter;['બિસ્મથ'];બિસ્મથ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Bi અને અણુ ક્રમાંક ૮૩ છે.
amount-of-matter;['ઈરિડીયમ', 'ઘનાતુ'];ઈરિડીયમ એ એક રાસાયણિક તત્વ છે જેનો અણુ ક્રમાંક ૭૭ અને તેની સંજ્ઞા Ir છે.
amount-of-matter;['ટંગસ્ટન'];ટંગસ્ટન અથવા વોલફ્રમ, એ એક રાસાયણિક તત્વ છે જેની રાસાયનિક સંજ્ઞા W અને અણુ ક્રમાંક ૭૪ છે.
amount-of-matter;['પ્લેટિનમ', 'pt'];મહાતુ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Pt અને અણુ ક્રમાંક ૭૮ છે.
amount-of-matter;['પારો'];પારો એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Hg અને અણુ ક્રમાંક ૮૦ છે આ એક સંક્રાંતિ ધાતુ છે.
amount-of-matter;['યુરેનિયમ', 'કિરણાતુ', 'u'];યુરેનિયમ એ એક ચળકતી-સફેદ રાસાયણિક તત્વ છે તેનો અણુ ક્રમાંક ૯૨ છે અને તે એક્ટિનાઈડ શ્રેણીનો તત્વ છે.
amount-of-matter;['મેગ્નેશિયમ', 'mg'];મેગ્નેશિયમ એ રાસાયણિક તત્ત્વ છે જેની સંજ્ઞા Mg, પરમાણુ ક્રમાંક ૧૨, અને સામાન્ય બંધનાંક +૨ છે.
amount-of-matter;['પોટેશિયમ', 'k'];પોટેશિયમ એ એક રાસાયણિક તત્વ છે જેની રાસાયણિક સંજ્ઞા K અને અણુ ક્રમાંક ૧૯ છે.
amount-of-matter;['બેરિલિયમ', 'be'];બેરિલિયમ એક રાસાયણિક તત્વ છે જેની રાસાયણિક સંજ્ઞા Be છે અને અણુ ક્રમાંક ૪ છે.
amount-of-matter;['ટાઇટેનિયમ', 'ti'];ટાઇટેનિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Ti છે અને અણુ ક્રમાંક ૨૨ છે.
amount-of-matter;['મદ્યાર્ક યુક્ત પીણું'];મદ્યાર્ક યુક્ત પીણું એક ઇથેનોલ ધરાવતું પીણું છે.
amount-of-matter;['ઝિર્કોનિયમ', 'zr'];ઝિર્કોનિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Zr અને અણુ ક્રમાંક ૪૦ છે.
amount-of-matter;['એંટિમની', 'sb'];એંટિમની એ એક ઝેરી રાસાયણિક તત્વ છે જેની સંજ્ઞા Sb અને અણુ ક્રમાંક ૫૧ છે.
amount-of-matter;['ટર્બિયમ', 'tb'];ટર્બિયમ એ એક રાસાયણિક તત્વ છે જેની રાસાયણિક સંજ્ઞા Tb અને અણુ ક્રમાંક ૬૫ છે.
amount-of-matter;['મિશ્રધાતુ'];બે કે તેથી વધુ ધાતુ અથવા ધાતુ અને અધાતુના સમાંગ મિશ્રણને મિશ્રધાતુ કહે છે.
amount-of-matter;['ફોસ્ફરસ', 'p'];ફોસ્ફરસ એ એક રાસાયણીક તત્વ છે જેની સંજ્ઞા P અને અણુ ક્રમાંક ૧૫ છે.
amount-of-matter;['પ્રાણવાયુ', 'ઓષજન', 'o', 'ઑક્સીજન', 'ઓક્સીજન'];પ્રાણવાયુ તત્ત્વ આવર્ત કોષ્ટકનો મહત્ત્વનો વાયુ છે.
amount-of-matter;['આયોડિન', 'i'];આયોડિન એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા I અને અણુ ક્રમાંક ૫૩ છે.
amount-of-matter;['બ્રોમિન', 'br'];બ્રોમિન. એ શબ્દ ગ્રીક ભાષાનો શબ્દ બ્રોમોસ પરથી ઉતરી આવ્યો છે, જેનો અર્થ બકરાની ગંધ એવો થાય છે આ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Br, અને અણુ ક્રમાંક ૩૫, અને અણુભાર ૭૯.૯૦૪ છે.
amount-of-matter;['ફ્લોરિન', 'f', 'flüor'];ફ્લોરિન એ એક રાસાયણીક તત્વ છે જેનો અણુ ક્રમાંક ૯ છે, અને તેની રાસાયણિક સંજ્ઞા F છે.
amount-of-matter;['મોલિબ્ડેનમ', 'mo'];મોલિબ્ડેનમ, એ ૬ઠ્ઠા આવર્તનનું એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Mo અને અણુ ક્રમાંક ૪૨ છે.
amount-of-matter;['એક્ટિનીયમ', 'ac'];એક્ટિનીયમ એ એક કિરણોત્સારી રાસાયણિક તત્વ છે જેની સંજ્ઞા Ac અને અણુ ક્રમાંક ૮૯ છે, જેની શોધ ૧૮૯૯માં થઈ.
amount-of-matter;['ફ્રાંસીયમ'];ફ્રાંસીયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Fr અને અણુ ક્રમાંક ૮૭ છે.
amount-of-matter;['રેડૉન', 'radon'];રેડોન એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Rn અને અણુ ક્રમાંક ૮૬ છે.
amount-of-matter;['સીસીયમ', 'cs'];સીસીયમ કે સેસીયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Cs અને અણુ ક્રમાંક ૫૫ છે.
amount-of-matter;['સ્ટ્રોન્શિયમ', 'sr', 'સ્ટ્રોન્ટિયમ'];સ્ટ્રોન્શિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Sr અને અણુ ક્રમાંક ૩૮ છે.
amount-of-matter;['પોલોનીયમ'];પોલોનીયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Po અને અણુ ક્રમાંક ૮૪ છે.
amount-of-matter;['આઇન્સ્ટેનીયમ'];આઇન્સ્ટેનીયમ અથવા ક્યારેક ઍથેનીયમ
amount-of-matter;['નોબેલીયમ'];નોબેલીયમ એ એક કૃત્રીમ તત્વ છે જેની સંજ્ઞા No અને અણુ ક્રમાંક ૧૦૨ છે.
amount-of-matter;['મેન્ડેલિવીયમ'];મેન્ડેલિવીયમ એ એક કૃત્રીમ તત્વ છે જેની સંજ્ઞા Md અને અણુ ક્રમાંક ૧૦૧ છે.
amount-of-matter;['લોરેન્સીયમ'];લોરેન્સીયમ એ એક કિરણોત્સારી કૃત્રીમ રાસાયણિક તત્વ છે જેની સંજ્ઞા Lr અને અણુ ક્રમાંક ૧૦૩ છે.
amount-of-matter;['પ્લુટોનીયમ', 'pu'];પ્લુટોનીયમ એ એક ટ્રાંસ-યુરેનિયમ કિરણોત્સારી રાસાયણિક તત્વ છે જેની સંજ્ઞા Pu અને અણુ ક્રમાંક ૯૪ છે.
amount-of-matter;['રુથરફોર્ડીયમ'];રુથરફોર્ડીયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Rf અને અણુ ક્રમાંક ૧૦૪ છે, આનુંનામ ન્યૂઝીલેંડના ભૌતિક શાસ્ત્રી અર્નેસ્ટ રુથરફોર્ડીયમ ના નામે રખાયું છે.
amount-of-matter;['બર્કેલીયમ', 'bk'];બર્કેલીયમ એ એક કૃત્રીમ તત્વ છે જેની સંજ્ઞા Bk અને અણુ ક્રમાંક ૯૭ છે.
amount-of-matter;['કેલિફોર્નીયમ'];કેલિફોર્નીયમ એ એક કિરણોત્સારી ધાતુ રાસાયણિક તત્વ છે જેની સંજ્ઞા Cf અને અણુ ક્રમાંક ૯૮ છે.
amount-of-matter;['ફર્મીયમ'];ફર્મીયમ એ એક કૃત્રીમ તત્વ છે જેની સંજ્ઞા Fm અને અણુ ક્રમાંક ૧૦૦ છે.
amount-of-matter;['અમેરિસીયમ', 'am'];અમેરિસીયમએ એક કૃત્રીમ તત્વ છે જેની સંજ્ઞા Am અને અણુ ક્રમાંક ૯૫ છે.
amount-of-matter;['નેપ્ચ્યુનીયમ'];નેપ્ચ્યુનિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Np છે અને અણુ ક્રમાંક ૯૩ છે.
amount-of-matter;['ક્યુરીયમ', 'cm'];ક્યુરીયમ એ એક કૃત્રિમ તત્વ છે જેની સંજ્ઞા Cm અને અણુ ક્રમાંક ૯૬ છે.
amount-of-matter;['રિનીયમ', 're'];રિનીયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Re અને અણુ ક્રમાંક ૭૫ છે.
amount-of-matter;['રુથેનિયમ', 'ru'];રુથેનિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Ru અને અણુ ક્રમાંક ૪૪ છે.
amount-of-matter;['ગેલિયમ', 'ga'];ગેલિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Ga અને અણુ ક્રમાંક ૩૧ છે.
amount-of-matter;['ઈંડિયમ', 'in'];ઈંડિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા In અને અણુ ક્રમાંક ૪૯ છે.
amount-of-matter;['કપૂર'];કપૂર એક પદાર્થ છે, જે નરમ મીણીયો, સફેદ, અર્ધપારદર્શક, સળગી ઊઠે તેવો, ઝડપથી બાષ્પીભવન પામતો અને સુગંધી હોય છે અને બજારમાં ગોટી સ્વરૂપે મળે છે.
amount-of-matter;['પ્રોટેક્ટિનીયમ'];પ્રોટેક્ટિનીયમ એ એક રાસાયણિક તત્વછે જેની સંજ્ઞા Paઅને અણુ ક્રમાંક ૯૧ છે.
amount-of-matter;['ટીન', 'કલાઈ', 'sn'];ટીન અથવા કલાઈ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Sn છે અને અણુ ક્રમાંક ૫૦ છે.
amount-of-matter;['ઈટ્રીયમ', 'y'];ઈટ્રીયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Y અને અણુ ક્રમાંક ૩૯ છે.
amount-of-matter;['સોડિયમ', 'ક્ષારાતુ', 'na'];સોડિયમ Na સંકેત ધરાવતું ધાત્વિક તત્વ છે અને તેનો પરમાણુક્રમાંક 11 છે.
amount-of-matter;['પલેડિયમ', 'pd'];પલેડિયમ એ એક રાસાયણિક તત્વ છે જેની રાસાયણિક સંજ્ઞા Pd છે અને અણુ ક્રમાંક ૪૬ છે.
amount-of-matter;['કેડમિયમ', 'cd'];કેડમિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Cd અને અણુ ક્રમાંક ૪૮ છે.
amount-of-matter;['નાયોબિયમ', 'cb', 'nb'];નાયોબિયમ અથવા કોલમ્બિયમ, એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Nb અને અણુ ક્રમાંક ૪૧ છે.
amount-of-matter;['થેલીયમ'];થેલીયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Tl અને અણુ ક્રમાંક ૮૧ છે.
amount-of-matter;['સીસું', 'pb'];સીસું એ કાર્બન જૂથનું એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Pb અને અણુ ક્રમાંક ૮૨ છે.
amount-of-matter;['સીસીયમ', 'cs'];સીસીયમ કે સેસીયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Cs અને અણુ ક્રમાંક ૫૫ છે.
amount-of-matter;['સ્ટ્રોન્શિયમ', 'sr', 'સ્ટ્રોન્ટિયમ'];સ્ટ્રોન્શિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Sr અને અણુ ક્રમાંક ૩૮ છે.
amount-of-matter;['લિથિયમ', 'li'];લિથિયમ એ એક નરમ, ચળકતી-સફેદ ધાતુ છે હે રાસાયણીક તત્વોના આલ્કલી ધાતુઓની શ્રેણીમાં આવે છે.
amount-of-matter;['બેરિયમ', 'ba'];બેરિયમ એ એક રાસાયણિક તત્વ જેની સંજ્ઞા Ba અને અણુ ક્રમાંક ૫૬ છે.
amount-of-matter;['રુબિડીયમ', 'rb'];રૂબિડીયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Rb છે અને અણુ ક્રમાંક ૩૭ છે.
amount-of-matter;['પ્રોમેથિયમ', 'pm'];પ્રોમેથિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Pm અને અણુ ક્રમાંક ૬૧ છે.
amount-of-matter;['થુલિયમ', 'tm'];થુલિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Tm અને અણુ ક્રમાંક ૬૯ છે.
amount-of-matter;['ઈટરબિયમ', 'yb'];ઈટરબિયમ એ એક રાસાયણિક તત્વ છે તેની સંજ્ઞા Yb અને અનુ ક્રમાંક ૭૦ છે.
amount-of-matter;['વેનેડિયમ', 'v'];વેનેડિયમ એ રાસાયણિક તત્વ જેની સંજ્ઞા V અને અણુ ક્રમાંક ૨૩ છે.
amount-of-matter;['થોરીયમ'];થોરીયમ એ એક પ્રાકૃતિક કિરણોત્સારી રાસાયણિક તત્વ છે જેની સંજ્ઞા Th અને અણુ ક્રમાંક ૯૦ છે.
amount-of-matter;['ચાંદી', 'ag', 'સિલ્વર'];ચાંદી એ એક તત્વ છે જેની સંજ્ઞા Ag અને અણુ ક્રમાંક ૪૭ છે.
amount-of-matter;['સોનું', 'ગોલ્ડ'];સોનું એક તત્વ છે જેની ક્રમાંક ૭૯ અને ચિહ્ન Au.
amount-of-matter;['પ્રેસિયોડિમિયમ', 'pr', 'પ્રેસિયોડિયમ'];પ્રેસિયોડિમિયમ એ એક રાસાયણિક તત્વ છે જેની સંજ્ઞા Pr અને અણુ ક્રમાંક ૫૯ છે.
amount-of-matter;['સિલિકોન', 'si'];સિલિકોન એક તત્વ છે જેનો ક્રમાંક ૧૪ અને ચિહ્ન Si છે.
amount-of-matter;['સેલિનીયમ', 'se'];સેલિનીયમ એ એક રાસાયણિક તત્વ છે જેનો અણુ ક્રમાંક ૩૪, રાસાયણિક સંજ્ઞા Se, અને અણુભાર ૭૮.૯૬ છે.
amount-of-matter;['સીબોર્ગીયમ'];સીબોર્ગીયમએ એક કૃત્રિમ રાસાયનિક તત્વ છે જેની સંજ્ઞા Sg અને અણુ ક્રમાંક ૧૦૬ છે.
