abstract-quality;['шәхси кемлек'];Мин төшенчәсе, Кемлек, Үзаң, Үзбәяләү һәм Үзбилгеләү төшенчәләре белән бутамагыз.
geographical-object;['шарлавык', 'şarlawıq'];Шарлавык — елга суының елгадагы киртәгә очрап, аннан агып төшү күренеше.
geographical-object;['беринг бугазы'];Беринг бугазы (рус.
geographical-object;['ормуз бугазы', 'ormuz buğazı'];Ормуз бугазы
geographical-object;['көньяк кытай диңгезе'];Көньяк-Кытай диңгезе - Каримата һәм Малакка бугазларыннан башлап Тайвань бугазына кадәр 3,500,000 square kilometres территориясен биләүче Тын океаны өлеше булган кырыйбуе диңгезе.
geographical-object;['кырым', 'кырым ярымутравы', 'qırım', 'крым'];Бу мәкаләнең латин әлифбасындагы игезәге бар.Кырым ярымутравы (кырымтат.
geographical-object;['монтсеррат', 'мансират', 'montserrat'];Монтсеррат — Кече Әнтил утраулары архипелагына кергән бер үк исемле утрауда урнашкан Бөекбританиянең диңгезарты территориясе.
geographical-object;['алеут утраулары'];Алеут утраулары (рус.
geographical-object;['балеар утраулары'];Балеар утраулары
geographical-object;['утлы җир', 'утлы җир архипелагы'];Утлы Җир (исп.
geographical-object;['oman qultığı', 'оман култыгы'];Oman qultığı - Farsı qultığı häm Ğäräbstan diñgezen Ormuz buğazı aşa totaştıruçı qultıq.
geographical-object;['кариб диңгезе', 'karib diñgeze'];Кари́б диңгезе́ (исп.
geographical-object;['бискай култыгы', 'bisqay qultığı'];Биска́й култыгы (исп.
geographical-object;['ла-манш', 'la-manş', 'ла-манш бугазы'];Ла-Ма́нш (фр.
geographical-object;['мексика култыгы', 'миксикә култыгы', 'meksika qultığı'];Мексика култыгы (исп.
geographical-object;['эгей диңгезе', 'egey diñgeze'];Эге́й диңгезе (грекча Αιγαίον πέλαγος, төр.
geographical-object;['әдрән диңгез', 'әдрән диңгезе'];Әдрән диңгез – Урта диңгезнең бер өлеше, Апеннин һәм Балкан ярымутраулары арасында урнашкан.
geographical-object;['ионик диңгез'];Әдрән диңгез – Урта диңгезнең бер өлеше, Апеннин һәм Балкан ярымутраулары, Крит һәм Сицилия утраулары арасында урнашкан.
geographical-object;['төньяк диңгез', 'tönyaq diñgez'];Төньяк диңгез (алм.
geographical-object;['япон диңгезе', 'япун диңгезе', 'япо́н диңгезе́', 'yapun diñgeze'];Япо́н диңгезе́ (яп.
geographical-object;['gang', 'ганг', 'ганга'];Gang - İndiä yılğası, dönyanıñ iñ sulı yılğalarınıñ berse.
geographical-object;['корея ярымутравы', 'кәрия'];Корея ярымутравы (кор.
geographical-object;['tigr yılğası', 'тигр', 'diclä', 'tigr', 'тигр елгасы'];Tigr yä Diclä yılğası - Mesopotamiä töp ike yılğanıñ berse, ikençese - Yefrat yılğası.
geographical-object;['hind yılğası', 'инд', 'инд елгасы', 'һинд елгасы'];Hind yä İnd yılğası - Könyaq Aziä zur yılğası, Gimalay tawlarında Qıtayda başı, İndiädä häm Paqstanda ağa.
geographical-object;['браһмапутра', 'brahmaputra', 'брахмапутра'];Браһмапутра (кыт.
geographical-object;['мекоң', 'mékong', 'меконг'];Мекоң, Меконг — Һиндкытай ярымутравындагы иң зур елга, Кытай, Лаос, Камбоҗа, Вьетнам территориясеннән ага, өлешчә Лаос белән Мьянма вә Таиланд арасындагы чик вазыйфасын да башкара.
geographical-object;['иртеш', 'иртыш'];Иртеш (рус.
geographical-object;['антарктида', 'antarktida'];Антарктида
geographical-object;['һудзон култыгы', 'гудзон култыгы'];Һудзон култыгы
geographical-object;['мәрмәр диңгезе', 'мрамор диңгезе', 'märmär diñgeze'];Мәрмәр диңгезе (төр.
geographical-object;['бөекбритания', 'бөекбрита́ния', 'бөек британия', 'бөекбритания утравы', 'böyek britaniä', 'böyekbritaniä', 'böyekbritaniä utrawı'];Бөекбритания (ингл.
geographical-object;['яңа каледония'];Яңа Каледония Элек ул рәсми рәвештә "Яңа Каледония һәм Бәйлелеләр" дип аталган булган, шуннан соң ул гади рәвештә "Яңа Каледония Территориясе" дип атала башлаган, хәзер рәсми Француз исеме фәкать Nouvelle-Calédonie.
geographical-object;['җәмгыять утраулары'];Җәмгыять утраулары (фр.
geographical-object;['мартиника'];Мартиника ул Франциянең Көнчыгыш Кариб Диңгезенең Көнбатыш Индияләрендә Кече Антиль утрауларында урнашкан диңгезарты территория., мәйданы 376480 кв.
geographical-object;['сен-мартен'];Сен-Мартен Пуэрто-Рикодан якынча 300 км көнчыгышта һәм Кариб Диңгезенең төньяк-көнчыгышында урнашкан утрау.
geographical-object;['гваделупа'];Гваделупа ул Кариб утрауларында Франциянең диңгезарты территориясен формалаштыручы архипелаг.
geographical-object;['дала', 'далалар', 'dala'];Дала — төньяк һәм көньяк ярымшарларның уртача һәм субтропик зоналарында урнашкан, чирәм үләннәре белән капланган тигезлек.
geographical-object;['тигезлек'];Тигезлек
geographical-object;['төньяк боз океаны', 'arktik okean', 'arktika', 'арктик океан', 'арктика', 'төньяк-боз океаны'];Төньяк-Боз океаны — мәйданы буенча Җир шарында иң кечкенә океан, Авразия һәм Төньяк Америка арасында урнашкан.
geographical-object;['америка', 'amerika', 'әмирикә'];Бу терминның башка аңлатмалары да бар, аларны карау өчен Америка битенә күчегез.
geographical-object;['мэн утравы'];Мэн утравы
geographical-object;['беринг диңгезе', 'bering diñgeze'];Беринг диңгезе́ — Тын океаннан Алеут һәм Командор утраулары белән аерылган. Чукот диңгезе белән һәм Төньяк Боз океаны белән Берингов тамак тоташтыра аны бирле.
geographical-object;['атлантик океан', 'atlantik okean', 'atlantik okeanı', 'атлантик океаны', 'атлантика'];Атлантик океан — субарктик киңлекләрдән Антарктидага кадәр сузылган, Тын океаннан соң мәйданы буенча икенче урында торган океан.
geographical-object;['дунай', 'dunay', 'дунай елгасы'];Дуна́й яки Туна
geographical-object;['баффин җире'];Баффин Җире (инг.
geographical-object;['полинезия'];Полинезия — 1000 дан артык утраулардан гыйбарәт Океания субтөбәге.
geographical-object;['меланезия'];Мелане́зия (бор.
geographical-object;['ауразия', 'евразия', 'avraziä', 'avraziä qıytğası', 'awraziä', 'авразия', 'авразия кыйтгасы'];Авразия, Ауразия яисә Евразия — Җир шарындагы иң зур кыйтга.
geographical-object;['зеландия'];Зела́ндия
geographical-object;['тын океан', 'tın okean'];Тын океан – Җир шарында мәйданы ягыннан иң зур, иң тирән һәм иң борынгы океан.
geographical-object;['хонсю', 'honshū', 'honsü', 'һончү'];Хонсю (яп.
geographical-object;['янцзы', 'yancı', 'yanszı', 'yantszı'];Янцзы́ елгасы яки Янҗи
geographical-object;['лусон', 'лусон төбәге', 'luzon', 'лусон утравы'];Лусон
geographical-object;['сулык', 'су'];Сулык — дәвамлы рәвештә яки вакытлыча агымсыз яки аз агымлы суның табигый яки ясалма иңкүлекләрдә җыйналып торуы.
geographical-object;['скандинавия ярымутравы', 'isqandinawiä yarımutrawı'];Скандинавия ярымутравы (норв.
geographical-object;['хоккайдо', 'hokkaydo', 'xokkaydo', 'һоккайдо'];Хокка́йдо (яп.
geographical-object;['көньяк океан'];Көньяк океа́н – Антарктиданы әйләндереп алучы, Җирдәге океаннар арасында зурлык буенча дүртенче урында торучы океан.
geographical-object;['кюсю', 'kyushū'];Кюсю́ (яп.
geographical-object;['гибралтар бугазы'];Гибралтар бугазы (исп.
geographical-object;['дарданеллар', 'dardanellar buğazı', 'дарданел бугазы'];Дарданел бугазы, Дарданеллар
geographical-object;['магеллан бугазы'];Магеллан бугазы — континенталь Көньяк Американы һәм Утлы Җир архипелагын аерып торучы бугаз.
geographical-object;['эстуарий'];Эстуарий
geographical-object;['ниагара шарлавыгы'];Ниага́ра шарлавыгы́ (ингл.
geographical-object;['урманлы тугайлар'];Урманлы тугайлар - елга һәм башка сулыклар яры буенда уйсу җир, болынлык, гадәттә таллар, зирекләр белән капланган, ярымутрау кебек формада була.
geographical-object;['нил', 'nil', 'нил елгасы'];Нил (гарәп.
gestalt;['квадрат', 'kvadrat', 'шакмак'];Квадра́т — барлык почмаклары туры булган дөрес дүртпочмаклык яки ромб, яисә, башкача әйткәндә, барлык яклары һәм почмаклары тигез булган параллелограмм.
gestalt;['азатлык сыны', 'azatlıq statuyası', 'azatlıq sını', 'азатлык статуясы'];Азатлык сыны (ингл.
information-encoding-system;['метафора'];Мета́фора (бор.
information-encoding-system;['чагыштыру'];Чагыштыру — нинди дә булса күренешне аңа охшаш ягы булган икенче күренеш белән чагыштыруга нигезләнгән троп.
information-encoding-system;['троплар', 'троп'];Троплар (бор.
information-encoding-system;['комедия', 'кәмит', 'komediä', 'kämit'];Комедия, шулай ук кәмит
information-encoding-system;['шигърият', 'şiğer', 'şiğriät', 'шигырь'];Шигърият (гарәп.
information-encoding-system;['жаргон'];Жаргон
information-encoding-system;['антитеза', 'antiteza'];Антитеза- - күренеш, төшенчәләрне, фикерләрне, характер үзенчәлекләрен бер-берсенә капма-каршы куеп сурәтләүдән гыйбарәт стилистик фигура.
information-encoding-system;['архаизм', 'arxaizm'];Архаизм (бор.
information-object;['тәрҗемәи хәл', 'avtobiografiä', 'автобиография'];Тәрҗемәи хәл, шулай ук автобиография
information-object;['радио', 'radio', 'радию'];Ра́дио (лат.
information-object;['грин-карта'];Грин-карта
information-object;['кушамат'];Кушамат — кешенең, предметның, хайванның һ.б.
information-object;['тәхәллүс', 'псевдоним', 'täxällüs'];Тәхәллүс яки псевдоним — язучы, артист, рәссам, һәм башка кайбер кешеләрнең үзенә үзе алган уйдырма исеме яки фамилиясе.
information-object;['алмашлык', 'almaşlıq'];Зат атамыйча гына зат яки предметларга, аларның билгесе яки санына һәм хәлләренә күрсәтә торган сүз төркеме алмашлык дип атала.
information-object;['ә'];Ә, ә — кирилл әлифбасының хәрефе.
information-object;['ялгызлык исем', 'ялгызлык исемнәр'];Бер төрдән булган предметлар һәм затларның бер­сенә генә бирелгән исем ялгызлык исем дип атала.
information-object;['аббревиатура', 'аббревиация', 'abbreviatsiä', 'abbreviatura'];Аббревиатура - кыскартылма сүзләр.
information-object;['latin älifbası', 'латин язуы', 'латин хәрефләре', 'латин язмасы', 'латин әлифбасы', 'роман язмасы', 'роман язуы', 'роман әлифбасы', 'латиница'];Latin älifbası ul Könbatış häm Urta Awrupa tellärendä, häm ğomumän dönyada, iñ kiñ qullanıla torğan yazu töre.
information-object;['дифтонг'];Дифтонг - бер иҗектә рәттән ике сузык аваз килеп, авазлар системасында бер бөтен кушма берәмлек барлыкка китерү күренеше
information-object;['алынма', 'алынма сүз', 'alınma', 'alınma süz'];Алынма — халыклар арасында барган иҗтимагый-сәяси, мәдәни багланышлар нәтиҗәсендә бер телдән икенче телгә үтеп кергән сүзләр.
information-object;['рәвеш', 'рәвешләр'];Рәвеш белән бутамагыз.
information-object;['сүз төркеме', 'сүз төркемнәре', 'bäylägeç süzlär', 'бәйләгеч сүзләр', 'модаль сүз төркемнәре', 'мөстәкыйль сүз төркемнәре'];Сүз төркемнәре — уртак семантик һәм грамматик үзенчәлекләре буенча тупланган сүзләр класслары.
information-object;['тәрҗемә'];Тәрҗемә — бер телдән икенче телгә сүзләр мәгъәнәсен интерпретацияләү эше. бер телдән икенче телгә әйләндерү эше. телдән әйтелгән фикернең яки сүзләр төзмәсенең икенче бер тел ярдәмендә бирелеше. бүтән телләрдә яңа, төп нөсхәгә тигез сүзләр салу.
information-object;['биография', 'biografiä'];Биография (бор.
information-object;['бәйлекләр', 'бәйлек', 'bäylek', 'bäyleklär'];Бәйлек — бәйләгеч сүз төркемнәренең берсе.
information-object;['җәяләр', ')', '[', ']', '{', '}', '⁅', '⁆', '❨', '❩', '❪', '❫', '❬', '❭', '❮', '❯', '❰', '❱', '❲', '❳', '❴', '❵', '⟨', '⟩', '⟪', '⟫', '⟬', '⟭', '⟮', '⟯', '〈', '〉', '【', '】', '〔', '〕', '〖', '〗', '〚', '〛', '﹙', '﹚', '（', '）', '［', '］', '｛', '｝', '｟', '｠', '('];Җәяләр — — төрле өлкәләрдә кулланыла торган па́рлы билгеләр.
information-object;['тетраграмматон'];Тетраграмматон яки Тетраграмма
information-object;['математик исбатлау', 'matematik isbatlaw'];Математик исбатлау дип математикада берәр фикернең дөреслеген раслаучы фикри һәм мантыйкка нигезләнгән нәтиҗәләр чылбыры атала.
information-object;['хәреф'];Хәреф — нинди дә булса алфавитның символы, графема, моногра.
information-object;['лингам', 'lingam'];Лингам, кайвакыт линга яки Шива линга дип атала, бу Һинд динендә Шайвизмда Шива Ходаеның аниконик чагылышы.
information-object;['h'];H
information-object;['z'];Z
information-object;['субтитрлар', 'сабтитр', 'сабтитрлар', 'субтитр', 'асъязулар'];Cубтитрлар яки асъязулар — видеорәте белән бара торган текст, гадәттә экранның аскы өлешендәге язулар күренешенә ия.
information-object;['омоним', 'омонимнар', 'омонимия'];Омоним – бертөрле язылыш, әйтелеш һәм грамматик формага ия булган, әмма мәгънәләре ягыннан аерыла торган сүзләр.
information-object;['синоним', 'тиңат', 'sinonim'];Синоним яки мәгънәдәш сүз
information-object;['антоним', 'антонимнар', 'antonim', 'antonimnar'];Антонимнар - мәгънәләре буенча капма-каршы сүзләр.
information-realization;['операцион система', 'операцион систем', 'ос', 'операцион систим', 'operatsion sistema'];Операцион система, кыска ОС
information-realization;['программа белән тәэмин ителеш', 'програм тәэминат', 'програм тәэминаты'];Программа белән тәэмин ителеш, програм тәэминаты — мәгълүматны үзләштерү һәм саклау өчен кулланучы программалар җыелмасы.
information-realization;['маһабһаратам', 'mahabharata'];«Маһабһа́ратам»
information-realization;['бхагавад гита'];Бһагавад Гита, еш Гита дип атала, бу 700-шигырьле Санскрит язмасы, ул Һинд дине Маһабһаратам изге язмасының өлеше булып тора.
information-realization;['тоника'];Белешмә сольфеджио дәресеннән алынган
information-realization;['субдоминанта'];Белешмә сольфеджио дәресеннән алынган
information-realization;['шартнамә'];Шартнамә — граждан хокукларын һәм бурычларын билгеләү, үзгәртү яки туктату турында ике яки берничә затның үзара килешүе.
information-realization;['сөйләүлек'];Сөйләүлек - туристның чит илендә куллануы өчен бастырылган файдалы җөмләләр һәм сүзләр, һәм аларның тәрҗемәләр җыентыгы.
information-realization;['бестселлер', 'bestseller'];Бестселлер (инг.
information-realization;['харе кришна мантра'];Һаре Кришна мантра, шулай ук ул ихтирам итеп Маһа Мантра дип атала, ул 16-сүзле Вайшнава мантрасы, ул Кали-Сантарана Упанишадада искә алына, һәм 15-енче гасырдан алар Чайтанья Махапрабхуның тәгълиматының Бхакти хәрәкәтендә әһәмияте үскән.
information-realization;['арго', 'argo'];Арго
information-realization;['poçta indeksı', 'почта индексы', 'индекс', 'почта коды'];Poçta indeksı yä xat taşu indeksı - poçta adresına xäreflär yä sannar quşıluçı ezleklelege, xatlarnı sortlaw ciñeläytüe öçen qullanıla.
information-realization;['диван'];Диван
information-realization;['мәкаль'];Мәкаль - сөйләшкәндә сүзгә ямь һәм куәт бирү өчен, көнкүрештә күп сыналган дәлил яки шигъри бер мисал урынында әйтеп йөртелә торган, кыска, ләкин гомуми бер, тирән мәгънәне эченә алган төгәл җөмләле халык хикмәте әсәре.
information-realization;['концессия'];Концессия
information-realization;['китап', 'кенәгә', 'kitap', 'китап елгасы'];Кита́п (гарәп.
information-realization;['овердрафт'];Овердрафт — кыска вакытлы банк кредиты формасы, ул клиент хисабыннан калдыктан күберәк булган акча чараларын күчерү ысулы белән эшләнә, бу операция аркасында дебет сальдо барлыкка килә.
information-realization;['опера', 'opera'];Опера
information-realization;['роман', 'roman'];Роман - аерым кешеләрнең яки кешеләр төркеменең язмышлары хикәяләп бирелгән, характер һәм дөньяга караш формалашу процессы гәүдәләндерелгән зур күләмле эпик әсәр.Роман шәхси тормыш аша яшәешнең төп, нигез мәгънәләрен ачарга, объектив чынбарлыкның гомуми сыйфатларын, шул чор җәмгыятенең яшәү кануннарын, рәвешен чагылдырырга омтыла, ягъни бер язмышта, бер кеше тормышы мисалында иң характерлы, типик шартларны да гомумиләштереп тасвирлый.
information-realization;['кар бабай'];Кар бабай — кышын ясалучы кардан әвәләнгән гади скульптура.
information-realization;['çığarılma finans qoralı', 'derivativ', 'дериватив', 'чыгарылма финанс коралы'];Çığarılma finans qoralı yäki derivativ - baza aktivına qarata yaqlarnıñ nindider eş itü xoquqı yäki yöklämäse turında kileşü.
information-realization;['qimmätle käğäz', 'кыйммәтле кәгазь'];Qimmätle käğäz - milek xoquqların birä torğan räsmi dokument, ul kürsätkändä, milek xoquqları ütälergä häm tapşırılırğa bula.
information-realization;['импичмент'];Импичмент
information-realization;['пентатоника'];Белешмә сольфеджио дәресеннән алынган
information-realization;['экспрессионизм'];Экспрессионизм
information-realization;['magnum opus'];Magnum opus (лат.
information-realization;['илиада'];«Илиа́да» (бор.
information-realization;['азатлык сыны', 'azatlıq statuyası', 'azatlıq sını', 'азатлык статуясы'];Азатлык сыны (ингл.
information-realization;['акт', 'akt'];Акт (лат.
information-realization;['ышаныч кәгазе', 'вәкаләтнамә'];Ышаныч кәгазе, вәкаләтнамә — бер зат тарафыннан икенче затка өченче затлар алдында вәкиллек итү өчен бирелә торган язма вәкаләт.
information-realization;['симфония', 'simfoniä'];Симфония (грек.
information-realization;['дөресъязу', 'орфография', 'язу', 'orfografiä'];Имла яки орфогра́фия
information-realization;['сюита'];Сюи́та (фр.
information-realization;['бекар', 'bekar'];Белешмә сольфеджио дәресеннән алынган
information-realization;['диез'];Белешмә сольфеджио дәресеннән алынган
information-realization;['брайль шрифты', 'брайль системасы', 'брайль әлифбасы'];Брайль - сукырлар өчен махсус шрифт.
information-realization;['unix'];Unix – операцион системалар группасы.
information-realization;['гизгеч', 'brawzer', 'browser', 'gizgeç', 'браузер'];Гизгеч (браузер, шулай ук берәүзер инг.
information-realization;['сүзлек', 'lөğәt', 'лөгать', 'süzlek'];Сүзлек (лөгать) (тат.
information-realization;['энциклопедия', 'энциклопедиә', 'ensiklopediä', 'entsiklopediä'];Фәнни белемнең бер яки барлык тармакларыннан җыелган мәгълүмат тупланмасы булган белешмә чыганагы төрен энциклопедия дип атыйлар.
information-realization;['интернационал'];Интернационал (фр.
information-realization;['җыр', 'cır'];Җыр — халык лирикасының иң таралган төре, сүз белән көйнең үзара үрелүенә нигезләнгән, җырлап башкарыла торган шигъри-музыкаль әсәр, яки, киң мәгънәдә алганда, шундый төр әсәрләрне белдерә торган жанр.
information-realization;['новелла'];Новелла
information-realization;['дәүләт һимны', 'däwlät himnı', 'дәүләт гимны', 'милли гимн', 'милли һимн', 'ил көе'];Däwlät himnı yäki il köye — däwlät simvollarınıñ berse, maxsus qanun buyınça ayırım oçraqlarda başqarılğan muzıkal yaki muzıkal-şiğri äsär, himnnarnıñ ber töre.
information-realization;['һимн', 'гимн', 'himn'];гимн
information-realization;['глобус'];Глобус — Җир шарының кечерәйтелгән моделе.
information-realization;['легенда'];Леге́нда (лат.
information-realization;['деванагари', 'dêvanágarí'];Девана́гари, IAST:devanāgarī, Һинди: IPA: [d̪eːʋ.n̪äːɡ.ɾiː], шулай ук нагари дигән атамасы бар — турыдан-туры мәгънәдә «Илаһи шәһәрләр »
information-realization;['ригведа'];«Ригведа»
information-realization;['рәвеш', 'surät', 'сурәт', 'сүрәт'];Рәвеш белән бутамагыз.
information-realization;['хат'];Хат — тормышта бик еш очрый торган эш кәгазьләренең берсе.
information-realization;['чек'];Чек - аны бирүченең билгеле сумманы кемгәдер бирүе турында банкка күрсәтмә бирүен раслаучы акча документы.
information-realization;['ымлык', 'ымлыклар'];Кешенең эчке кичерешләрен, хис-тойгыларын, теләк-ихтыярын кыска рәвештә белдерә торган сүзләр ымлыклар дип атала.
information-realization;['fyuçers', 'фьючерс'];Fyuçers — çığarılma finans qoralı, töp aktivnıñ alu-satu standart waqıtlı birja kontraktı, bügenge bilgelängän bäyädä kiläçäktäge kürsätelgän waqıtta nindider aktiv miqdarın satu yäki alu şartların bilgeläp quyu turında kileşü.
information-realization;['терминологик сүзлек', 'glossariy', 'глоссарий'];Махсус белем өлкәсендә кулланылган барлык терминнарны һәм аларның билгеләмәләрне бирүче әлифба тәртибе буенча төзелгән исемлеккә терминологик сүзлек диләр.
information-realization;['музыка', 'muzika', 'muzıka'];Му́зыка (грек.
information-realization;['бию'];Бию — тигез, мәгънәле, бербөтен төзелешле, көйгә кушылган тән хәрәкәте.
information-realization;['постмодернизм', 'postmodernizm'];Постмодернизм (фр.
information-realization;['модернизм', 'modernizm'];Модернизм (ит.
information-realization;['әдәбият', 'ädäbiät'];Әдәбият (лат.
information-realization;['инҗил', 'i̇ncil'];Назарет шәһәреннән Гайсәнең тормышын тасвирлауга Инҗил диелә.
information-realization;['конституция', 'konstitusiä', 'konstitutsiä'];Конститу́ция (лат.
information-realization;['вульгаризм'];Вульгаризм
information-realization;['матбагачылык', 'matbağaçılıq', 'китап басу', 'нәшер'];Матбагачылык – басма продукция, беренче чиратта китаплар күбәйтү, ясау процессы.
information-realization;['авеста', 'avestā'];«Авеста» зороастрийчыларның изге текстлары җыентыгы.
information-realization;['коръән', 'көръән', "qor'än", 'коръән кәрим', 'коръән шәриф'];Коръән яки Коръән Кәрим, Коръән Шәриф – Ислам галәменең ышануы буенча, Ислам пәйгамбәре Мөхәммәтгә Аллаһ тарафыннан Җәбраил арадашчылыгы аркылы вәхиләр рәвешендә иңдерелгән изге китап.
information-realization;['акыру', 'aqıru'];Акыру — каты тавыш чыгаруга юнәлгән психомоторик активлык.
information-realization;['логарифм', 'logarifm'];b
information-realization;['марсельеза', 'франция республикасы гимны'];“Марсельеза” җыры — Франция Республикасының дәүләт гимны.
information-realization;['игорь стравинский', "i̇gor' stravinskiy", 'i̇gor stravinskiy'];Игорь Фёдор улы Стравинский - Русия, Франция композиторы, дирижёр, пианист, дөньяның музыкаль мәдәнияте иң күренекле вәкилләренең берсе.
information-realization;['йолдызлар сибелгән байрак', 'акш гимны', 'акш һимны', 'акш дәүләт һимны', 'йолдызлар сибелгән байрак акш һимны'];The Star-Spangled Banner – Америка Кушма Штатларының дәүләт гимны.
information-realization;['optsion', 'опцион'];Optsion — çığarılma finans qoralı, bilgelängän aktivnı kileşelgän bäyädä kiläçäktäge satu yäki alu xoquqı turında kileşü.
information-realization;['библия', 'bibliä', 'täwrat'];Библия
information-realization;['сөйләм', 'söyläm', 'диалект', 'шивә'];== “Tel” me, “Söyläm” me == Söyläm dip telneñ ber bilgele alanda qullanıla torğan cirle töre atala.
information-realization;['акростих', 'akrostix'];Акростих – һәр юлның беренче хәрефләре өстән аска таба укыганда нинди дә булса сүз, күп кенә очракларда кеше исеме яки фамилиясе барлыкка килерлек итеп язылган шигырь.
information-realization;['оятсыз сүзләр', 'сүгенү сүзләре', 'әрләү сүзләре', 'әрләү сүләре'];Оятсыз сүзләр дип татар телендәге әдәпсез, цензурага каршы килүче лексика атала.
intentional-collective;['мәгърифәтчелек', 'mäğrifätçelek', 'мәгърифәтче', 'мәгърифәтчеләр'];Мәгърифәтчелек – акыл һәм фәнгә таянып, кеше һәм җәмгыятьнең чын табигатенә туры килә торган “табигый тәртипкә” ирешә алу мөмкинлегенә нигезләнгән XVIII–XIX гасыр уртасы фикер агымы.
intentional-collective;['экспрессионизм'];Экспрессионизм
intentional-collective;['җәмгыять', 'cämğiät'];Җәмгыять (гарәп.
intentional-collective;['авангардчылык', 'авангардизм'];Авангардчылык яки авангард – сүрәтләү чаралары һәм формалар эзли торган юнәлешләрнең гомуми исеме.
language;['программалау теле', 'programmalaw tele', 'программалау телләре'];Программалау теле — санак өчен программалар язу өчен формаль тамгалар системасы.
language;['ватандашлык', 'гражданлык', 'гражданство', 'watandaş', 'watandaşlıq', 'ватандаш'];Ватандашлык — шәхес һәм дәүләт арасындагы бер-берсенә таба хаклар һәм вазыйфалар мәсъәләләрдәге тотрыклы сәяси-хокукый мөнәсәбәт.
language;['лингва-франка', 'lingua franca', 'lingva-franka', 'лингва франка'];Лингва-франка — ана телендә сөйләшмәгән кешеләр арасында аралашуны мөмкин иткән һәм даими рәвештә кулланылган тел.
language;['идиш теле', 'idish', 'yidish', 'идиш'];Идиш теле — Көнчыгыш һәм Үзәк Аурупа илләрендә, күпчелектә алманнар арасында яшәгән яһүдләрдә барлыкка килгән тел.
language;['монгол теле', 'монгол телләре', 'маңгул теле', 'маңг.', 'маңгул телләре', 'маңгулча', 'монг.', 'монголчә', 'монголча'];Бу мәкаләнең латин әлифбасындагы игезәге бар.
language;['монгол теле', 'монгол телләре', 'маңгул теле', 'маңг.', 'маңгул телләре', 'маңгулча', 'монг.', 'монголчә', 'монголча'];Монгол телләре — Монголия, Кытай, Русия һәм Әфганстандагы берничә телне берләштерүче Алтай телләренә керүче телләр төркеме.
language;['тунгус-маньчжур телләре'];Тунгус-маньчжур телләре — алтай телләр гаиләсенә кергән телләр төркеме.
language;['урал телләре', 'урал телләре гаиләсе'];Урал телләре — үз эченә фин-угор һәм самодий телләр төркемнәрен керткән телләр гаиләсе.
language;['фин-угыр телләре', 'фин-угор телләре', 'fin-uğır telläre'];Фин-угыр телләре – бертуган телләр төркеме, урал телләре гаиләсенең тармагы.
language;['карел теле', 'karel tele', 'karelça'];Карел теле — кареллар сөйләшүче тел, Балтыйк буе фин телләренең берсе.
language;['вепс теле'];Вепс теле — вепсларның теле.
language;['һиндстани'];Һиндстани — көнбатыш һинди кластерының өлеше булып торган идиомалар төркеменең гомуми атамасы.
language;['си', 'c', 'si'];Си
language;['алтай телләре', 'алтай телләре гаиләсе', 'altay telläre', 'altay telläre ğailäse'];Алта́й телләре — Алтай телләре гаиләсенә кергән, сүзлек саcтафлары һәм грамматик төзелешләре охшаш үзенчәлекләргә ия булган төрки, монгол, тунгус-маньчжур телләренең гомуми атамасы.
language;['дравид телләре', 'дравид телләре гаиләсе'];Дравид телләре — Азия көньягында таралган телләр гаиләсе.
language;['вер', 'шигырь'];Вер — Франциянең Ло департаментында урнашкан коммуна.
language;['бенгаль теле', 'бәңгәл теле', 'бенгали', 'бенг.', 'бенгаличә', 'бенгальча', 'bengali'];Бенгаль теле яки бенгали (бенг.
language;['осетин теле', 'осет.', 'осетинчә'];Осети́н теле (осет.
language;['паскаль', 'pascal', 'paskal'];Паскаль (инг.
language;['гөрҗи теле', 'гөрҗ.', 'гөрҗичә'];Гөрҗи теле — гөрҗи халкы теле, Кавказ телләренең картвел төркемнә карый.
language;['фарер теле'];Фарер теле — Фарер утрауларында таралган тел.
language;['норвег теле', 'норв.', 'норвегчә'];Норвег теле — норвеглар теле, Норвегиянең дәүләт теле.
language;['дания теле', 'дан теле', 'da', 'dan', 'дан.', 'данияча', 'дат теле', 'датчан теле'];Дания теле́ — даниялеләрнең теле.
language;['исланд теле', 'ислан теле', 'исл.', 'исландча'];Исланд теле — исландлар теле, Исландиянең дәүләт теле.
language;['швед теле', 'шевит теле', 'швед.', 'шведча', 'şved tele'];Швед теле (швед.
language;['болгар теле', 'болг.', 'болгарча', 'bolgar tele', 'bolğar tele'];Төрки телләр гаиләсенең огур төркеменә керүче борынгы болгар теле белән бутамагыз.
language;['җөмлә', 'cömlä'];Җөмлә́ – сүзләрнең грамматик яктан оештырылган кушылмасыннан гыйбарәт булган телнең минималь берәмлеге.
language;['төрки телләр', 'төрки теле', 'төрки телләре', 'törki tellär', 'төрки тел'];Төрки́ теллә́р — алтай макрогаиләсенең тугандаш телләр гаиләсе.
language;['тел', 'tel'];Бу сүзнең башка мәгънәләре дә бар: Тел
language;['төрек теле', 'төрекчә', 'törek tele', 'төр.'];Бу мәкаләнең латин әлифбасындагы игезәге бар.
language;['санскрит', 'санскр.', 'санскритчә', 'sanskrit'];Санскрит — тарихи Һинд-Ари теле, һәм Һиндуизм һәм Буддизмның беренче дини теле.
