abstract-region;['iolraí', 'il'];Sa matamaitic
agentive-physical-object;['moloch horridus', 'ag cuimhneamh orm horridus'];Speiceas reiptílí
agentive-physical-object;['sigmodon hispidus', 'sigmodon', 'sigmodontini', 'francach cadás', 'francach cadás hispid'];Géineas mamach
agentive-physical-object;['sigmodon hispidus', 'sigmodon', 'sigmodontini', 'francach cadás', 'francach cadás hispid'];Speiceas mamach
agentive-physical-object;['fabhcún', 'gorm', 'seabhac seilge'];géineas éan
agentive-physical-object;['asal', 'equus asinus', 'asail', 'asal baile'];speiceas mamach
agentive-physical-object;['muc', 'borra', 'sus', 'sus scrofa domestica', 'an mhuc', 'clíthseach', 'collach', 'uascán', 'muc intíre', 'muca'];Géineas mamach
agentive-physical-object;['antrozous pallidus', 'bat pallid', 'bat uaimh', 'pallidus antrozous'];Speiceas mamach
agentive-physical-object;['éadar', 'lacha lochlannach', 'éadar bogeiteach', 'eider', 'eider lacha', 'eider duck', 'lacha eider'];Géineas éan
agentive-physical-object;['lacha dhubh mheiriceánach', 'anas rubripes', 'lacha dubh'];Speiceas éan
agentive-physical-object;['anisotremus surinamensis', 'dubh margate'];speiceas iasc
agentive-physical-object;['petaurista petaurista', 'eitilte marmot', 'taguan'];Speiceas mamach
agentive-physical-object;['súdhúilaí tarrbhuí', 'buí-bellied sapsucker', 'sphyrapicus varius'];Speiceas éan
agentive-physical-object;['icterus galbula', 'dún na séad oriole', 'dún na séad éan', 'hangbird', 'icterus galbula galbula'];speiceas éan
agentive-physical-object;['gracaill', 'grackle corcra', 'quiscalus quiscula'];Speiceas éan
agentive-physical-object;['faocha', 'miongán', 'gioradán', 'fincín', 'littorina littorea', 'periwinkle coitianta'];Speiceas moileasc
agentive-physical-object;['siren'];Géineas amfaibiach
agentive-physical-object;['eascann leictreach', 'electrophorus electricus', 'electrophorus leictreacha', 'leictreacha eascann'];Speiceas iasc
agentive-physical-object;['cryptacanthodes maculatus', 'cryptacanthodes an atlantaigh', 'ghostfish', 'wrymouth'];speiceas iasc
agentive-physical-object;['congresox talabonoides', 'eascann fionnuisce', 'eascann coitianta'];speiceas iasc
agentive-physical-object;['acris', 'frog cruicéad'];Géineas amfaibiach
agentive-physical-object;['rón eilifintiúil', 'smutrón', 'eilifint séala', 'farraige eilifint', 'rónta eilifint', 'séala eilifint'];Géineas mamach
agentive-physical-object;['rosualt', 'odobenus rosmarus', 'walrus', 'walruses'];speiceas mamach
agentive-physical-object;['tringa', 'yellowlegs'];Géineas éan
agentive-physical-object;['breac beadaí', 'lota', 'burbot', 'lota lota'];Speiceas iasc
agentive-physical-object;['langa', 'bod mór', 'molva molva'];Speiceas iasc
agentive-physical-object;['lus na meall muire', 'malva sylvestris', 'hocas', 'cheeseflower', 'mala ard'];speiceas plandaí
agentive-physical-object;['lutjanus campechanus', 'huachinango', 'lutjanus blackfordi', 'snapper dearg'];Speiceas iasc
agentive-physical-object;['crogall inbhir', 'crocodylus porosus', 'crogaill sáile', 'crogaill uisce salann', 'crogall na háise', 'crogall sáile'];Speiceas reiptílí
agentive-physical-object;['scuab eich uisce', 'eireaball capaill uisce', 'horsetail uisce', 'equisetum fluviatile', 'swamp horsetail'];Speiceas plandaí
agentive-physical-object;['limenitis camilla'];Speiceas feithidí
agentive-physical-object;['fulica atra', 'cearc cheannann eoráiseach', 'sean domhanda coot'];Speiceas éan
agentive-physical-object;['creamh na muice fia', 'asplenium scolopendrium', "hart's-teanga", "hart's-teanga raithneach", 'phyllitis scolopendrium'];Speiceas plandaí
agentive-physical-object;['breacán', 'brambling', 'fringilla montifringilla'];Speiceas éan
agentive-physical-object;['colm coille', 'colúr coille', 'columba palumbus', 'adhmad colm', 'cushat'];Speiceas éan
agentive-physical-object;['gearr breac', 'chonaic crake', 'porzana porzana', 'spotted crake'];speiceas éan
agentive-physical-object;['gealbhan crainn', 'crann sparrow', 'passer montanus'];speiceas éan
agentive-physical-object;['bufo viridis', 'buaf glas na heorpa', 'eurasian glas buaf'];Speiceas amfaibiach
agentive-physical-object;['gaineamhchearc pallas', 'steipcholúr fadearrach', 'sandgrouse pallas ar', 'syrrhaptes paradoxus'];Speiceas éan
agentive-physical-object;['cogal', 'agrostemma githago', 'diasa fia', 'arbhar campion', 'coróin-de-réimse-', 'ruacan arbhar'];speiceas plandaí
agentive-physical-object;['bíosún eorpach', 'bíosún', 'wisent', 'bison bonasus', 'bíosún na heorpa'];Speiceas mamach
agentive-physical-object;['gealóg ghiolcaí', 'brian na giolcaí', 'emberiza schoeniclus', 'giolcach stiallbhratacha', 'reed bunting'];Speiceas éan
agentive-physical-object;['buíóg', 'emberiza sulphurata', 'siobháinín bhuí', 'buí bunting', 'buí stiallbhratacha', 'emberiza citrinella', 'yellowhammer'];Speiceas éan
agentive-physical-object;['buíóg', 'emberiza sulphurata', 'siobháinín bhuí', 'buí bunting', 'buí stiallbhratacha', 'emberiza citrinella', 'yellowhammer'];speiceas éan
agentive-physical-object;['péacóg', 'inachis io', 'peacock féileacán'];Speiceas feithidí
agentive-physical-object;['carassius carassius', 'carbán crucian', 'carassius', 'carassius vulgaris'];Speiceas iasc
agentive-physical-object;['proteus anguinus', 'olm'];speiceas amfaibiach
agentive-physical-object;['deoraí', 'john dory', 'donncha na súl mór', 'zeus faber'];Speiceas iasc
agentive-physical-object;['botrychium multifidum', 'fíonchaor leathery raithneach'];Speiceas plandaí
agentive-physical-object;['broit', 'brill', 'scophthalmus rombas'];Speiceas iasc
agentive-physical-object;['bran', 'bréan', 'abramis brama', 'bran coitianta', 'carbán bran', 'na heorpa bran'];Speiceas iasc
agentive-physical-object;['ruán', 'scardinius', 'talóg', 'deargán', 'ruán coitianta', 'scardinius erythrophthalmus'];Speiceas iasc
agentive-physical-object;['róiste', 'rutilus rutilus', 'róiste coitianta'];Speiceas iasc
agentive-physical-object;['plubán', 'plobán', 'cephalus leuciscus', 'chub', 'na heorpa chub'];Speiceas iasc
agentive-physical-object;['gé ghiúrainn', 'giúrann', 'barnacle gé', 'cadhan', 'branta leucopsis'];Speiceas éan
agentive-physical-object;['cíorbhuí', 'cíorbhuí coiteann', 'goldcrest', 'caipín dearg', 'diarmaidín riabhach', 'dreoilín easpaig', 'regulus regulus', 'órga-crested kinglet'];speiceas éan
agentive-physical-object;['sciolla earraigh', 'earrach squill', 'scilla verna', 'spring squill'];speiceas plandaí
agentive-physical-object;['ulchabhán scopach eoráiseach', 'otus scops', 'sean domhanda scops owl'];Speiceas éan
agentive-physical-object;['raithneach leathan'];Speiceas plandaí
agentive-physical-object;['ibheag bhog', 'polystichum setiferum', 'sciath bog raithneach'];Speiceas plandaí
agentive-physical-object;['filiméala', 'béal binn', 'luscinia megarhynchos'];Speiceas éan
agentive-physical-object;['lon creige', 'fraochán', 'fáinne lon dubh', 'smólach fáinne', 'turdus torquatus'];Speiceas éan
agentive-physical-object;['buaf chnáimhsí', 'alytes obstetricans', 'buaf cnáimhseacha', 'buaf cnáimhseachais'];Géineas amfaibiach
agentive-physical-object;['buaf chnáimhsí', 'alytes obstetricans', 'buaf cnáimhseacha', 'buaf cnáimhseachais'];Speiceas amfaibiach
agentive-physical-object;['lus an phiollaire', 'pillwort', 'pilularia globulifera'];Speiceas plandaí
agentive-physical-object;['bioróg', 'equisetum hyemale', 'equisetum hyemale robustum', 'equisetum robustum', 'horsetail garbh', 'sciúradh rush'];Speiceas plandaí
agentive-physical-object;['pellaea andromedifolia', 'caife raithneach'];speiceas plandaí
agentive-physical-object;['iora sionnaigh oirthearach', 'sionnach iora', 'sciurus niger', 'thoir sionnach iora'];Speiceas mamach
agentive-physical-object;['hydrodamalis gigas', 'bó farraige steller'];speiceas mamach
agentive-physical-object;['conuropsis carolinensis', 'carolina parakeet', 'carolinensis conuropsis'];Speiceas éan
agentive-physical-object;['ommastrephes bartramii', 'ommastrephes'];speiceas moileasc
agentive-physical-object;['crotalus scutulatus', 'mojave rattlesnake', 'rattlesnake mojave'];Speiceas reiptílí
agentive-physical-object;['cryptotermes brevis', 'púdar-post termite'];speiceas teirmítí
agentive-physical-object;['roc na caille', 'manta', 'ghathanna manta', 'manta gha'];Géineas iasc
agentive-physical-object;['tamiasciurus douglasii', 'douglas iora', 'chickeree', 'iora douglas', 'tamiasciurus douglasi'];Speiceas mamach
agentive-physical-object;['ixodes pacificus', 'iarthar dubh-legged tic'];speiceas araicnidí
agentive-physical-object;['pleopeltis polypodioides', 'aiséirí raithneach', 'liath polypody', 'polypodioides polypodium'];speiceas plandaí
agentive-physical-object;['raithneach chorraigh', 'dryopteris thelypteris', 'riasc raithneach', 'thelypteris palustris'];Speiceas plandaí
agentive-physical-object;['polypodium glycyrrhiza', 'licorice raithneach'];speiceas plandaí
agentive-physical-object;['dennstaedtia punctilobula', 'bholláin raithneach', 'féar-scented', 'féar-scented raithneach'];speiceas plandaí
agentive-physical-object;['raithneach chas', 'cryptogramma crispa', 'peirsil eorpach raithneach', 'peirsil sliabh raithneach'];Speiceas plandaí
agentive-physical-object;['pellaea rotundifolia'];speiceas plandaí
agentive-physical-object;['raithneach mhadra', 'dryopteris filix-mas', 'fireann raithneach'];Speiceas plandaí
agentive-physical-object;['cystopteris montana', 'lamhnán sliabh raithneach'];Speiceas plandaí
agentive-physical-object;['asplenium resiliens', 'dubh-gas fionncha', 'dubh-stemmed fionncha', 'fionncha ebony beag'];speiceas plandaí
agentive-physical-object;['deparia acrostichoides', 'acrostichoides deparia', 'thelypteroides athyrium'];speiceas plandaí
agentive-physical-object;['raithneach chrua', 'blechnum spicant', 'fianna raithneach'];speiceas plandaí
agentive-physical-object;['asplenium rhizophyllum', 'ag siúl raithneach', 'camptosorus rhizophyllus', 'rhizophyllum'];speiceas plandaí
agentive-physical-object;['madra fiáin áiseach', 'madra fiáin na háise', 'cuon alpinus', 'dhole', 'alpinus', 'alpinus cuon', 'dholes'];Speiceas mamach
agentive-physical-object;['gealóg chrainn', 'spizella arborea'];Speiceas éan
agentive-physical-object;['crosghob', 'loxia', 'crossbill', 'camghob', 'cathóg', 'crossbills', 'loxia curvirostra'];Géineas éan
agentive-physical-object;['gealóg bhánchorónta', 'zonotrichia leucophrys', 'bán-crowned sparrow'];Speiceas éan
agentive-physical-object;['alectis ciliaris', 'hafraice pompano', 'snáithe-iasc', 'threadfish'];speiceas iasc
agentive-physical-object;['photoblepharon palpebratum', 'photoblepharon palpebratus'];speiceas iasc
agentive-physical-object;['psephurus gladius', 'paddlefish na síne', 'psephurus gladis', 'sínis paddlefish'];Speiceas iasc
agentive-physical-object;['ictiobus niger', 'dubh bíosún'];Speiceas iasc
agentive-physical-object;['caranx hippos', 'crevalle jack', 'jack crevalle'];Speiceas iasc
agentive-physical-object;['caranx crysos', 'rádala gorm'];Speiceas iasc
agentive-physical-object;['latimeria chalumnae', 'coelacanthiformes', 'coelacanth', 'coelocanth'];Speiceas iasc
agentive-physical-object;['capros aper'];Speiceas iasc
agentive-physical-object;['sciobaire', 'anhinga anhinga', 'anhinga', 'anhingidae', 'darter', 'darters', 'snakebird'];Speiceas éan
agentive-physical-object;['láimhíneach', 'anglait', 'lophiidae', 'láimhíneach meiriceánach', 'goosefish', 'allmouth', 'esca', 'iasc angler', 'lophius', 'lophius americanus', 'lotte'];Speiceas iasc
agentive-physical-object;['jordanella floridae', 'flagfish', 'meiriceánach flagfish'];Speiceas iasc
agentive-physical-object;['paralichthys dentatus', 'tsamhraidh flounder'];speiceas iasc
agentive-physical-object;['déchotailéadón', 'dicotyledones', 'dicot', 'dicotyledon', 'dicots', 'dicotyledoneae', 'dicotyledonous', 'exogen', 'magnoliopsid'];Grúpa plandaí
agentive-physical-object;['sarcophaga carnaria', 'cuil fheola', 'sarcophagidae', 'eitilt flesh', 'flesh eitilt'];Fine feithidí
agentive-physical-object;['earrdeargán meiriceánach', 'meiriceánach redstart', 'setophaga ruticilla'];Speiceas éan
agentive-physical-object;['kyphosus sectatrix', 'beirmiúda chub'];speiceas iasc
agentive-physical-object;['cynoscion regalis', 'atlantaigh'];Speiceas iasc
agentive-physical-object;['pagrus pagrus', 'dearg porgy'];Speiceas iasc
agentive-physical-object;['lutjanus apodus'];speiceas iasc
agentive-physical-object;['ramaipiotacas', 'sivapithecus', 'ramapithecus'];Géineas mamach
agentive-physical-object;['mustelus norrisi', 'florida smoothhound'];speiceas iasc
agentive-physical-object;['stenotomus chrysops', 'scup', 'thuaidh porgy', 'thuaidh scup'];Speiceas iasc
agentive-physical-object;['coregonus clupeaformis', 'clupeaformis coregonus', 'loch iasc geal', 'loch éisc geal'];Speiceas iasc
agentive-physical-object;['nostoc'];Géineas cianbhaictéar
agentive-physical-object;['bradán atlantach', 'salmo salar', 'bradán', 'bláthán', 'bradán an atlantaigh'];Speiceas iasc
agentive-physical-object;['lutjanus griseus', 'snapper mangrove', 'liath snapper', 'snapper gray', 'snapper liath'];speiceas iasc
agentive-physical-object;['rivulus'];Géineas iasc
agentive-physical-object;['apogon maculatus', 'apogon an atlantaigh', 'flamefish', 'iasc lasair'];speiceas iasc
agentive-physical-object;['colmóir airgid', 'airgead colmóir', 'merluccius bilinearis'];speiceas iasc
agentive-physical-object;['prunus laurocerasus', 'labhras silíní'];speiceas plandaí
agentive-physical-object;['plestiodon callicephalus', 'eumeces callicephalus', 'sliabh skink'];Speiceas reiptílí
agentive-physical-object;['spirogyra', 'spirigíre', 'spirigíora'];Géineas algaí
agentive-physical-object;['ameiurus nebulosus', 'brown bullhead', 'donn bullhead'];Speiceas iasc
agentive-physical-object;['cúramán', 'tinca tinca'];Speiceas iasc
agentive-physical-object;['lacha rua', 'mareca', 'mareca penelope', 'widgeon', 'rualacha', 'anas penelope'];speiceas éan
agentive-physical-object;['slapaire', 'spadalach tuaisceartach', 'spadalghob', 'anas clypeata', 'spadalach'];Speiceas éan
agentive-physical-object;['ictalurus punctatus', 'cat cainéal', 'cainéal cat'];Speiceas iasc
agentive-physical-object;['chrysemys picta', 'batagur borneoensis', 'turtle péinteáilte', 'terrapin péinteáilte', 'turtar péinteáilte'];speiceas reiptílí
agentive-physical-object;['citharichthys cornutus', 'whiff horned'];speiceas iasc
agentive-physical-object;['ambloplites rupestris', 'carraig bass', 'carraig sunfish'];Speiceas iasc
agentive-physical-object;['creabhar', 'coileach coille', 'coileach feá', 'creabhar caoch', 'chreabhar'];Géineas éan
agentive-physical-object;['nerita peloronta', 'bleeding fiacail'];speiceas moileasc
agentive-physical-object;['druid rósach', 'sturnus roseus', 'ardaigh-daite druid', 'ardaigh-daite sagart', 'sagart roseus', 'sagart sturnus'];speiceas éan
agentive-physical-object;['ambystoma maculatum'];Speiceas amfaibiach
agentive-physical-object;['saiga antelope', 'antalóp saigeach', 'saiga', 'saiga tatarica'];Speiceas mamach
agentive-physical-object;['phalaenoptilus nuttallii', 'poorwill'];Speiceas éan
agentive-physical-object;['geomys pinetis', 'gopher póca oirdheisceart'];Speiceas mamach
agentive-physical-object;['geomys bursarius', 'gopher póca plains'];Speiceas mamach
agentive-physical-object;['cúr gabhlánach', 'elanoides forficatus', 'swallow-tailed eitleog', 'swallow-tailed kite', 'swallow-tailed seabhac'];Speiceas éan
agentive-physical-object;['lactobacillus', 'lactobacilli'];géineas baictéar
agentive-physical-object;['tiomóid', 'phleum pratense', 'féar capaill', 'timothy-féar', 'tréad ar féar'];speiceas plandaí
agentive-physical-object;['scréachóg liath', 'liath jay', 'campa robúlaí', 'ceanada jay', 'gray jay', 'grey jay', 'perisoreus canadensis', 'whisker jack'];speiceas éan
agentive-physical-object;['elanus leucurus', 'bán-tailed kite', 'white-tailed eitleog'];Speiceas éan
agentive-physical-object;['ulchabhán seabhaic', 'ulchabhán seabhaic tuaisceartach', 'seabhac owl', 'surnia ulula'];Speiceas éan
agentive-physical-object;['thomomys talpoides', 'gopher póca thuaidh', 'gopher póca tuaiscirt', 'talpoides thomomys'];Speiceas mamach
agentive-physical-object;['neurotrichus gibbsii', 'meiriceánach dallóg caochún'];Speiceas mamach
agentive-physical-object;['cruidín creasa', 'ceryle alcyon', 'cruidín belted', 'kingfisher belted'];Speiceas éan
agentive-physical-object;['stoeberhinus testaceus', 'moth prátaí', 'moth tiúbair prátaí', 'splitworm'];speiceas feithidí
agentive-physical-object;['gilphíb', 'gilphíb choiteann', 'sylvia communis', 'greater whitethroat', 'níos mó whitethroat', 'whitethroat'];Speiceas éan
agentive-physical-object;['planda feadánach', 'planda soithíoch', 'plandaí níos airde', 'plandaí soithíoch', 'tracheophyte', 'phlandaí soithíoch', 'tracheophytes'];foríocht plandaí
agentive-physical-object;['sphecotheres'];géineas éan
agentive-physical-object;['oxylebius pictus', 'greenling péinteáilte', 'chiontú iasc', 'convictfish', 'péinteáilte greenling'];Speiceas iasc
agentive-physical-object;['druid choiteann', 'druid', 'sturnus vulgaris', 'druid coitianta', 'na heorpa starling', 'starling coiteann', 'vulgaris sturnus'];speiceas éan
agentive-physical-object;['lagostomus maximus', 'viscacha', 'chinchillon', 'vizcacha'];Speiceas mamach
agentive-physical-object;['liathchearc', 'coileach dubh', 'dubh cearca fraoigh'];Speiceas éan
agentive-physical-object;['cánóg sciorrach', 'rynchopidae', 'skimmer'];Géineas éan
agentive-physical-object;['oryzomys palustris', 'oryzomyini', 'francach rís'];Speiceas mamach
agentive-physical-object;['adiantum pedatum', 'cúig fingered maidenhair raithní', 'meiriceánach maidenhair raithneach'];Speiceas plandaí
agentive-physical-object;['dolichotis patagonum', 'mará'];Speiceas mamach
agentive-physical-object;['dolichotis patagonum', 'mará'];Géineas mamach
agentive-physical-object;['nathair fhéir', 'natrix natrix', 'nathair féar', 'nathair ringed', 'nathracha féar'];Speiceas reiptílí
agentive-physical-object;['aspidoscelis exsanguis', 'chihuahuan chonaic whiptail', 'cnemidophorus exsanguis'];speiceas reiptílí
agentive-physical-object;['dasypus novemcinctus', 'naoi-banded armadillo', 'nine-banded armadillo', 'novemcinctus', 'peba', 'texas armadillo'];Speiceas mamach
agentive-physical-object;['nerita'];géineas moileasc
agentive-physical-object;['míol cnis', 'pediculus humanus', 'cláirseach coitianta', 'humanus'];speiceas feithidí
agentive-physical-object;['fulmaire', 'cánóg bhán', 'fulmaire petrel', 'fulmars', 'fulmarus glacialis', 'glacialis'];Speiceas éan
agentive-physical-object;['fulmaire', 'cánóg bhán', 'fulmaire petrel', 'fulmars', 'fulmarus glacialis', 'glacialis'];Géineas éan
agentive-physical-object;['póiseard', 'lacha mhásach', 'aythya ferina', 'pochard'];Speiceas éan
agentive-physical-object;['marmota flaviventris', 'buí-bellied marmot', 'rockchuck', 'yellowbelly marmot'];Speiceas mamach
agentive-physical-object;['angiopteris evecta', 'angiopteris', 'ollmhór raithneach'];géineas plandaí
agentive-physical-object;['angiopteris evecta', 'angiopteris', 'ollmhór raithneach'];speiceas plandaí
agentive-physical-object;['notechis scutatus', 'notechis', 'scutatus', 'tiger nathair'];Géineas reiptílí
agentive-physical-object;['notechis scutatus', 'notechis', 'scutatus', 'tiger nathair'];Speiceas reiptílí
agentive-physical-object;['hemachatus haemachatus', 'rinkhals', 'ringhals', 'spitting nathair'];Speiceas reiptílí
agentive-physical-object;['cerastes cerastes', 'cerastes', 'asp horned', 'cerastes cornutus', 'viper horned'];Speiceas reiptílí
agentive-physical-object;['seamaí', 'fiaghabhar', 'chamois', 'rupicapra rupicapra'];Speiceas mamach
agentive-physical-object;['trícheireatóp', 'triceratops', 'tríceireatóp', 'triceireatops', 'triceratops horridus'];géineas reiptílí
agentive-physical-object;['ichneumonoidea', 'ichneumon eitilt'];forfhine feithidí
agentive-physical-object;['hioracsach carraige', 'carraig hyrax', 'procavia', 'procavia capensis'];Speiceas mamach
agentive-physical-object;['lepomis macrochirus', 'bluegill', 'gorm geolbhaigh'];Speiceas iasc
agentive-physical-object;['mangach', 'bodach buí', 'pollóg', 'pollachius pollachius'];géineas iasc
agentive-physical-object;['mangach', 'bodach buí', 'pollóg', 'pollachius pollachius'];Speiceas iasc
agentive-physical-object;['pollán locha', 'coregonus artedi', 'cisco', 'loch scadán', 'tullibee'];Speiceas iasc
agentive-physical-object;['dubh leatha', 'leathóga na heorpa', 'platichthys flesus'];speiceas iasc
agentive-physical-object;['tioláipia níleach', 'oreochromis niloticus', 'bolti', 'tilapia nilotica', 'tilapia níle'];Speiceas iasc
agentive-physical-object;['clupea pallasii', 'clupea pallasii pallasii', 'an taigéan ciúin scadán', 'clupea harengus pallasii'];Speiceas iasc
agentive-physical-object;['osmerus mordax', 'tuar ceatha boladh'];speiceas iasc
agentive-physical-object;['haldea striatula', 'nathair talamh thoir', 'potamophis striatula'];speiceas reiptílí
agentive-physical-object;['nerodia sipedon', 'nerodia fasciata', 'nathair uisce banded', 'nathair uisce coitianta', 'natrix sipedon'];Speiceas reiptílí
agentive-physical-object;['nerodia sipedon', 'nerodia fasciata', 'nathair uisce banded', 'nathair uisce coitianta', 'natrix sipedon'];Speiceas reiptílí
agentive-physical-object;['dreissena polymorpha', 'diúilicín riabhach', 'séabra diúilicín', 'séabra diúilicíní'];Speiceas moileasc
agentive-physical-object;['macaca radiata', 'coróin moncaí', 'fascicularis radiata', 'macaque bhoinéid', 'macaque bonnet', 'macaque tsáile', 'moncaí bhoinéid'];Speiceas mamach
agentive-physical-object;['tragulus napu', 'napu', 'tragulus javanicus'];Speiceas mamach
agentive-physical-object;['babarúsa', 'babirusa', 'babiroussa', 'babirussa', 'babyrousa babyrussa'];Géineas mamach
agentive-physical-object;['míol crúbach', 'míol ceartáin', 'míol gríofa', 'sceartán crúbach', 'cláirseach portán', 'cláirseach poiblí', 'phthirius pubis'];Speiceas feithidí
agentive-physical-object;['scartella cristata', 'molly miller'];Speiceas Actinopterygii
agentive-physical-object;['lepomis punctatus', 'chonaic sunfish', 'stumpknocker'];Speiceas iasc
agentive-physical-object;['ciaróg', 'coleoptera', 'daol', 'priompallán', 'chafer', 'ciaróga', 'coleopterist'];Ord feithidí
agentive-physical-object;['phrynosoma', 'buaf horned', 'laghairt horned', 'frog horny'];Géineas reiptílí
agentive-physical-object;['ascaris lumbricoides', 'lumbricoides ascaris', 'roundworm coitianta'];Speiceas Secernentea
agentive-physical-object;['artrapód', 'arthropoda', 'artrapóid'];Fíleam ainmhithe
agentive-physical-object;['mongús liath indiach', 'herpestes edwardsii', 'herpestes nyula', 'indiach mongoose'];Speiceas mamach
agentive-physical-object;['langúr hanáman', 'entellus', 'presbytes entellus', 'semnopithecus entellus'];Speiceas mamach
agentive-physical-object;['esox masquinongy', 'muskellunge'];Speiceas iasc
agentive-physical-object;['dicamptodon ensatus', 'dicamptodontidae', 'an taigéan ciúin ollmhór salamander'];Speiceas amfaibiach
agentive-physical-object;['archosargus probatocephalus', 'rinn mhuintir bháire'];Speiceas iasc
agentive-physical-object;['sphyraena barracuda', 'mór barracuda'];Speiceas Actinopterygii
agentive-physical-object;['oryx'];Géineas mamach
agentive-physical-object;['bitis arietans', 'arietans bitis'];speiceas reiptílí
agentive-physical-object;['mórchorr ghorm', 'ardea herodias', 'ardea herodius', 'herons gorm mór', 'mór gorm chorr éisc'];Speiceas éan
agentive-physical-object;['peileacán bán meiriceánach', 'bán peileacánach', 'pelecanus erythrorhynchos'];Speiceas éan
agentive-physical-object;['smólach imirce', 'meiriceánach robin', 'meiriceánach spideog', 'turdus migratorius'];Speiceas éan
agentive-physical-object;['fabhcún tuaithe', 'gyrfalcon', 'falco rusticolus', 'gerfalcon', 'gyrfalcons'];speiceas éan
agentive-physical-object;['adacs', 'addax', 'addax nasomaculatus'];Speiceas mamach
agentive-physical-object;['eubalaena', 'míol mór ceart'];Géineas mamach
agentive-physical-object;['ptisana salicina', 'marattia salicina'];speiceas plandaí
agentive-physical-object;['eala dhubh', 'dubh eala', 'cygnus atratus', 'ealaí dubh'];speiceas éan
agentive-physical-object;['sticherus flabellatus', 'gleichenia flabellata', 'lucht leanúna raithneach', 'scáth raithneach'];speiceas plandaí
agentive-physical-object;['fiach dubh', 'corvus corax', 'bran', 'cnáimhfhiach', 'dónall dubh', 'fiach', 'corax', 'fhiaigh', 'raven'];Speiceas éan
agentive-physical-object;['hippotragus niger', 'antalóp sable', 'antalóip sable'];Speiceas mamach
agentive-physical-object;['casabhara', 'cassowary', 'cassowaries', 'casuariidae'];Géineas éan
agentive-physical-object;['capall coille', 'capercaillie', 'coileach feá', 'capall an adhmaid', 'capercailzie', 'tetrao urogallus'];Speiceas éan
agentive-physical-object;['peitreal smigbhán', 'white-chinned petrel', 'procellaria aequinoctialis'];Speiceas éan
agentive-physical-object;['rapiolar', 'iolar hairpí', 'harpia harpyja', 'harpy iolair'];Speiceas éan
agentive-physical-object;['ollphanda', 'panda', 'panda iompróidh', 'ailuropoda melanoleuca', 'coon iompróidh', 'giant panda', 'iompróidh panda', 'ollmhór panda', 'pandas ollmhór'];Speiceas mamach
agentive-physical-object;['campephilus principalis', 'eabhair-mbille woodpecker', 'ivorybill', 'woodpecker eabhair-mbille'];Speiceas éan
agentive-physical-object;['remora australis', 'remilegia australis', 'sucker míol mór', 'whalesucker'];Speiceas iasc
agentive-physical-object;['abudefduf saxatilis'];Speiceas iasc
agentive-physical-object;['chlamydera nuchalis', 'mór bowerbird'];Speiceas éan
agentive-physical-object;['acropora cervicornis', 'staghorn choiréil', "stag's-adharc choiréil"];Speiceas cniodárach
agentive-physical-object;['meirleach mór', 'catharacta skua', 'skua mór'];Speiceas éan
agentive-physical-object;['macronectes', 'mórpheitreal deisceartach', 'giganteus', 'macronectes giganteus', 'ollmhór fulmaire', 'ollmhór petrel', 'petrel ollmhór'];Géineas éan
agentive-physical-object;['macronectes', 'mórpheitreal deisceartach', 'giganteus', 'macronectes giganteus', 'ollmhór fulmaire', 'ollmhór petrel', 'petrel ollmhór'];Speiceas éan
agentive-physical-object;['cuniculus paca', 'agoutidae', 'cuniculus', 'paca'];Géineas mamach
agentive-physical-object;['cuniculus paca', 'agoutidae', 'cuniculus', 'paca'];Speiceas mamach
agentive-physical-object;['megaderma lyra', 'mór-chluasach ialtóg'];Speiceas mamach
agentive-physical-object;['elaphurus davidianus', 'deer pere david', 'elaphure', 'fia pere david ar'];Speiceas mamach
agentive-physical-object;['rí-chobra', 'rí cobra', 'hannah', 'naja hannah', 'ophiophagus hannah'];Speiceas reiptílí
agentive-physical-object;['trichodesmium'];géineas cianbhaictéar
agentive-physical-object;['scomberomorus maculatus', 'aigéin chiúin an atlantaigh'];Speiceas iasc
agentive-physical-object;['pilibín', 'vanellinae', 'saotharcán', 'glas bhuí', 'lapwings', 'peewit'];speiceas éan
agentive-physical-object;['musclacha', 'biziura lobata', 'cairina moschata', 'muisc duck', 'muscovy lacha', 'musk lacha'];Speiceas éan
agentive-physical-object;['musclacha', 'biziura lobata', 'cairina moschata', 'muisc duck', 'muscovy lacha', 'musk lacha'];Speiceas éan
agentive-physical-object;['siorc tíograch', 'galeocerdo cuvieri', 'tiger siorc'];speiceas iasc
agentive-physical-object;['cat crainn pennant', 'cat dubh', 'iascairí', 'iascairí cat', 'martes pennanti', 'pekan'];Speiceas mamach
agentive-physical-object;['peromyscus gossypinus', 'luch cadás'];Speiceas mamach
agentive-physical-object;['anabrus simplex', 'mormon cruicéad'];speiceas feithidí
agentive-physical-object;['rachycentron canadum', 'cobia', 'iasc sháirsint'];Speiceas iasc
agentive-physical-object;['carcharhinus longimanus', 'siorc bán aigéanach', 'aigéanach whitetip siorc', 'carcharinus longimanus', 'white-tipped siorc'];speiceas iasc
agentive-physical-object;['raithneach ríúil', 'osmunda regalis', 'díog raithneach', 'fraincis raithneach', 'ríoga osmund', 'ríoga raithneach'];Speiceas plandaí
agentive-physical-object;['ulchabhán mór liath', 'breataine gray owl', 'mór liath owl', 'strix nebulosa'];Speiceas éan
