activity;['རག་བི'];Rugby is an english sport.
political-geographic-object;['ཇཱར་མ་ནི', 'ཇཱར་མ་ནི་', 'ཇཱར་མ་ན', 'འཇར་མན་'];ཇཱར་མ་ནི་
political-geographic-object;['ཨལ་ཇི་རི་ཡ།', 'ཨཱལ་ཇི་རི་ཡ', 'ཨལ་ཇི་རི་ཡ'];ཨལ་ཇི་རི་ཡ།
political-geographic-object;['རྒྱ་གར', 'རྒྱ་གར་', 'india'];ཨིན་ཌི་ཡ། (རྒྱ་གར)
political-geographic-object;['ཨྀཊ་ལི་', 'ཨི་ཊ་ལི་', 'ཨྀཊ་ལི'];ཨྀཊ་ལི་
political-geographic-object;['paraguay', 'པ་ར་གུ་ཝའི།'];རྒྱལ་ཁབ པ་རཱ་གྭའི། (Paraguay, Paraguái)
political-geographic-object;['གིརིསི་', 'གིརིསི', 'གྲྀས', 'greece', 'གིརིས', 'གྷི་རིག་'];གིརིསི་
political-geographic-object;['མེཀསི་ཀོ་', 'མེཀ་སི་ཀོ', 'མེཀསི་ཀོ'];མེཀསི་ཀོ་
political-geographic-object;['ཨར་མེ་ནི་ཡ།', 'ཨར་མི་ནི་ཡ', 'ཨར་མེ་ནི་ཡ'];ཨར་མེ་ནི་ཡ།
political-geographic-object;['ལྷོ་ཀོ་རི་ཡ་'];ལྷོ་ཀོ་རི་ཡ་
political-geographic-object;['གྷེམ་བི་ཡ'];རྒྱལ་ཁབ གྷེམ་བི་ཡ།
political-geographic-object;['གྷེ་བྷོན', 'gabon', 'དགའ་བྷོན་'];རྒྱལ་ཁབ གྷེ་བྷོན།
political-geographic-object;['ཕརཱནསི་', 'ཕརཱནསི', 'ཧྥ་རན་སི་'];ཕརཱནསི་
political-geographic-object;['ཨའིརི་ལེནཌ་', 'ཨའིརི་ལེནཌ'];ཨའིརི་ལེནཌ་
political-geographic-object;['སུའི་ཌན་', 'སུའི་ཌན'];སུའི་ཌན་
political-geographic-object;['ཨེན་ཌོ་ར', 'ཨཱན་དོ་ར', 'ཨེན་ཌོ་ར།'];ཨེན་ཌོ་ར།
political-geographic-object;['ཀུ་ཝེཊ་', 'ཀུ་ཝེཊ'];ཀུ་ཝེཊ
political-geographic-object;['བོད།', 'བོད'];བོད་དམ་ཡང་ན་བོད་ཡུལ་ནི་སྟོད་མངའ་རིས་སྐོར་གསུམ་དང་བར་དབུས་གཙང་རུ་བཞི། སྨད་མདོ་ཁམས་སྒང་དྲུག་བཅས་ལ་གོ། ད་ལྟའི་ཆར་བོད་ཅེས་པར་ཆབ་སྲིད་ཀྱི་གོ་བ་དང་མི་རིགས་ཀྱི་གོ་བ་གཉིས་ལེན་གྱི་ཡོད་པ་རེད། སྔ་མ་ནི་རྒྱ་ནག་གིས་བགོས་པའི་བོད་རང་
political-geographic-object;['ལེ་བཱ་ནཱོན་', 'ལེ་བཱ་ནཱོན'];ལེ་བཱ་ནཱོན
political-geographic-object;['བ་ཊི་ཀཱན།'];བ་ཊི་ཀཱན།
political-geographic-object;['བཧ་རེན་', 'བཧ་རེན'];བཧ་རེན་
political-geographic-object;['ཨའིསི་ལེནཌ་', 'ཨའིསི་ལེནཌ', 'ཨེ་སུ་ལན་ཌི་'];ཨའིསི་ལེནཌ་
political-geographic-object;['ཐཱའི་ལེནཌ', 'ཐཱའི་ལེནཌ་'];ཐཱའི་ལེནཌ
political-geographic-object;['མོསི་ཀོ', 'མཽས་ཀོ།', 'མོསི་ཀོ།'];ར་ཤི་ཡཱན་ཕེ་ཌི་རེ་ཤཱན
political-geographic-object;['བཱེ་ནིན།'];བཱེ་ནིན།
political-geographic-object;['བཱ་ཧ་མས྄།', 'བཱ་ཧ་མས྄'];བཱ་ཧ་མས྄།
political-geographic-object;['ཨིཛ་རཱེལ་', 'ཨིཛ་རཱེལ'];ཨིཛ་རཱེལ
political-geographic-object;['ཕིན་ལེནཌ་', 'ཕིན་ལེནཌ', 'ཧྥིན་ལན་ཌི་'];ཕིན་ལེནཌ་
political-geographic-object;['ཊི་བི་ལི་སི'];རྒྱལ་ས ཇཽ་ཇཱ།
political-geographic-object;['ཊོ་ཀི་ཡ'];ཊོ་ཀི་ཡ, ཇཱ་པཱན།།
political-geographic-object;['བལྤ་རཨིསོ', 'valparaiso'];ཁྲོམ་སྡེ།
political-geographic-object;['རིའོ་དེ་ཞ་ནེའི་རོ་', 'rio de janeiro'];རིའོ་དེ་ཞ་ནེའི་རོ་, བཱརཱ་ཛིལ་།
political-geographic-object;['བཱརཱ་ཛིལ་', 'བཱརཱ་ཛིལ', 'བྲ་ཛིལ་'];བཱརཱ་ཛིལ་(Brasil)ནི་ལྷོ་ཨ་མེ་རི་ཀ་འི་རྒྱལ་ཁབ་ཅིག་ཨིན། རྒྱལ་ས་བྲ་ཛི་ལི་ཡ་ཨིན་དང་གྲོང་སྡེ་སྦོམ་ཤོས་སན་པའུ་ལོ་ཨིན། ཁོའི་རྒྱ་ཚད་༨་༥༡༥་༨༠༠km²འདུག་དང་མི་འབོར་༢༠༡༠༣༢༧༡༤་མི་འདུག།
political-geographic-object;['འཛམ་གླིང་རྒྱལ་ཁབ་དག་གི་མིང་རྫོང་དབྱིན་རྒྱ་གསུམ་ཤན་བསྦྱར'];= རྒྱལ་ཁབ་ཀྱི་མིང་གཞུང་། = List of countries = ཨ = ཨོ་སུ་ཐི་རེ་ཤུ – ཨོ་སུ་ཐི་རེ་ཤུ་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Austria 奥地利 ཨབ་གྷ་ནི་སི་ཐན་- ཨབ་གྷ་ནི་སི་ཐན་ཁ་ཆེ་སྤྱི་མཐུན་རྒྱལ་ཁབ། – Islamic Republic of Afghanistan 阿富汗 ཨལ་བྷ་ནི་ཡ་ – ཨལ་བྷ་ནི་ཡ་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Albania 阿尔巴尼亚 ཨལ་ལྗེ་རི་ཡ་ – ཨལ་ཇེ་རི་ཡ་དམངས་གཙོ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ People's Democratic Republic of Algeria 阿尔及利亚 ཨན་ཌོར་ར་ – ཨན་ཌོར་ར་རྒྱལ་ཕྲན་རྒྱལ་ཁབ Principality of Andorra 安道尔 ཨན་གོ་ལ་ – ཨན་གོ་ལ་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Angola 安哥拉 ཨེང་གུའི་ལ་ – ཨེང་གུའི་ལ་ དབྱིན་ཇིའི་རྒྱལ་ཁོངས Angulla 英属西印度群岛 ཨར་ཇེན་ཊི་ནེ་ – ཨར་ཇེན་ཊི་ནེ་སྤྱི་མཐུན་རྒྱལ་ཁབ Argentina, Argentine Republic 阿根廷 ཨ་རིའི་སོ་མོ་ཝ་ – ཨ་རིའི་སོ་མོ་ཝ་ ཨ་རིའི་རྒྱལ་ཁོངས American Somoa 美属萨摩亚 ཨར་མེ་ནི་ཡ་ – ཨར་མེ་ནི་ཡ་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Armenia 亚美尼亚共和国 ཨོ་སི་ཊི་ལི་ཡ་ – ཨོ་སི་ཊི་ལི་ཡ་གནའ་མཐུན་རྒྱལ་ཁབ Commonwealth of Australia 澳大利亚 ཨ་ཛེར་བྷ་ལྗན་ – ཨ་ཛེར་བྷ་ལྗན་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Azerbaijan 阿塞拜疆 ཨན་ཊི་གཱ་ཡ་དང་པར་བུ་ཌ་ - ཨན་ཊི་གཱ་ཡ་དང་པར་བུ་ཌ Antigua and Barbuda 安提瓜和巴布达 ཨ་རུ་བྷ་ - ཨ་རུ་བྷ་ ནེ་རྡུར་ལན་ཌིའི་རྒྱལ་ཁོངས Aruba 阿鲁巴 ཨ་མེ་རི་ཀ་ – ཨ་རི་ ཨ་མེ་རི་ཀ་ America ཨ་མེ་རི་ཀ་མངའ་སྡེ་གཅིག་སྡུད United States Of America 美国 ཨེ་ཌ་ལནྜ་ - Atlanta = བྷ = བྷ་ཧ་མ་སུ་ – བྷ་ཧ་མ་སུ་མནའ་མཐུན་རྒྱལ་ཁབ Commonwealth of The Bahamas 巴哈马 བྷ་རིན་ – བྷ་རིན་རྒྱལ་པོའི་རྒྱལ་ཁབ Kingdom of Bahrain 巴林 བྷང་ལ་རྡེ་ཤུ་ – བྷང་ལ་རྡེ་ཤུ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ People's Republic of Bangladesh 孟加拉国 བྷར་བྷ་ཌོ་སུ་ – བྷར་བྷ་ཌོ་སུ Barbados 巴巴多斯 བྷེ་ལ་རོ་སུ་ – བྷེ་ལ་རོ་སུ་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Belarus 白俄罗斯 བྷེལ་ཇམ་- བྷེལ་ཇམ་རྒྱལ་པོའི་རྒྱལ་ཁབ། – Kingdom of Belgium 比利时 བྷ་ལི་ཛེ་ – བྷ་ལི་ཛེ Belize 伯利兹 བྷེ་ནིན་ – བྷེ་ནིན་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Benin 贝宁 བྷེར་མོ་ཌ་ – བྷེར་མོ་ཌ་ དབྱིན་ཇིའི་རྒྱལ་ཁོངས་ Bermuda 百慕大群岛 འབྲུག་ཡུལ་ - འབྲུག་རྒྱལ་པོའི་རྒྱལ་ཁབ།– Kingdom of Bhutan 不丹 བྷོ་ལི་ཝི་ཡ་ – བྷོ་ལི་ཝི་ཡ་སྤྱི་མཐུན་རྒྱལ་ཁབ་ Republic of Bolivia 玻利维亚 བྷོ་ནཱ་རི་ – བྷོ་ནཱ་རི་ ནེ་རྡུར་ལན་ཌིའི་རྒྱལ་ཁོངས་ Bonaire 博内尔岛 བྷོ་སུ་ནི་ཡ་དང་ཧར་ཛེ་གྷོ་ནཱ་ – བྷོ་སུ་ནི་ཡ་དང་ཧར་ཛེ་གྷོ་ནཱ་མནའ་འབྲེལ་ Federation of Bosnia and Herzegovina 波斯尼亚和黑塞哥维那 བྷོ་ཙི་ཝ་ན་ – བྷོ་ཙི་ཝ་ན་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Botswana 博茨瓦纳 བྷུར་ཟེལ་ - བྷུར་ཟེལ་རྒྱལ་ཕྲན་མནའ་མཐུན་སྤྱི་མཐུན་རྒྱལ་ཁབ། Federative Republic of Brazil 巴西 ན་གར་བྷི་རུ་ནི་རྡ་རུ་ས་ལམ་ – ན་གར་བྷི་རུ་ནི་རྡ་རུ་ས་ལམ་ Negara Brunei Darussalam 文莱达鲁萨兰国 དབྱིན་ཇིའི་ེཝེར་ལྗིན་གླིང་ཚོམ་ – དབྱིན་ཇིའི་རྒྱལ་ཁོངས་་ེཝེར་ལྗིན་གླིང་ཚོམ British Virgin Islands 英属维尔京群岛 བྷོལ་ག་རི་ཡ་ - བྷོལ་ག་རི་ཡ་སྤྱི་མཐུན་རྒྱལ་ཁབ། – Republic of Bulgaria 保加利亚 བྷུར་ཁེ་ན་ཧྥ་སོ་ – བྷུར་ཁེ་ན་ཧྥ་སོ Burkina Faso 布基纳法索 བྷོ་རུན་ཌེ་ – བྷུ་རུན་ཌེ་སྤྱི་མཐུན་རྒྱལ་ཁབ་ Republic of Burundi 布隆迪共和国 འབར་མ་ - འབར་མ་མནའ་མཐུན་རྒྱལ་ཁབ། མེན་མཱར་མནའ་མཐུན་རྒྱལ་ཁབ – Burma / Mianmar 缅甸 = ཀ/ས་ = ཁམ་བྷོ་ཌི་ཡ་ – ཁམ་བྷོ་ཌི་ཡ་སྤྱི་མཐུན་རྒྱལ་ཁབ Kingdom of Cambodia 柬埔寨 ཁ་མེ་རོན་ – ཁ་མེ་རོན་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Cameroon 喀麦隆 ཁ་ན་ཊ་ – Canada 加拿大 ཁ་བྷོ་ཝེར་ཏེ་ – ཁ་བྷེ་ཝེར་ཏེ་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Cabo Verde 佛得角 ཁེ་ཋ་ལོ་ནྱི་ – ཁེ་ཋ་ལོ་ནྱི་རང་སྐྱོང་མངས་ཁུལ Catalonia རྒྱལ་ཁུངས་ཨེ་སི་པན་ཡ་ཡིན Spain དབུས་ཨ་ཧྥི་རི་ཁ་སྤྱི་མཐུན་– དབུས་ཨ་ཧྥི་རི་ཁ་སྤྱི་མཐུན་རྒྱལ་ཁབ Central African Republic 中非共和国 ཁེ་མུན་གླིང་ཚོམ་– ཁེ་མུན་གླིང་ཚོམ་ དབྱིན་ཇིའི་རྒྱལ་ཁོངས Cayman islands 开曼群岛 ཆ་ཌ་ – ཆ་ཌ་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Chad 乍得 ཅི་ལེ་ – ཅི་ལི་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Chile 智利 ཀྲུང་ཀོ་ / རྒྱ་ནག་ – ཀྲུང་ཧྭ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ People's Republic Of China 中国 ཁེ་ལེབ་ཕུ་ཏེན་གླིང་ཕྲན་– ཁེ་ལེབ་ཏེན་གླིང་འཕྲན་ ཧྥ་རན་སིའི་རྒྱལ་ཁོངས Clipperton Island ཁོ་ལོམ་བྷི་ཡ་– ཁོ་ལོམ་བྷི་་ཡ་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Colombia 哥伦比亚 ཁོ་མོ་རོ་སུ་– ཁོ་མོ་རོ་སུ་གཅིག་བསྒྲིལ་གླིང་འཕྲན་རྒྱལ་ཁབ Union of the Comoros 摩洛哥 ཁོན་གོ་མི་དམངས་དམངས་གཙོ་ – ཁོན་གོ་མི་དམངས་དམངས་གཙོ་སྤྱི་མཐུན་རྒྱལ་ཁབ Democratic Republic of the Congo 刚果民主共和国 ཁོན་གོ་སྤྱི་མཐུན་རྒྱལ་ཁབ་ – ཁོན་གོ་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of the Congo 刚果共和国 ཀྲོང་གོ་ – ཀྲོང་གོ་མི་དམངས་སྤྱི་མཐུན་རྒྱལ་ཁབ People's Republic Of China ཁོ་ཁེ་གླིང་ཕྲན་རྒྱལ་ཁབ་ – Cook Islands 库克群岛 ཀོ་སུ་ཊ༌རི་ཁ་ – ཀོ་སུ་ཊ༌རི་ཁ་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Costa Rica 哥斯达黎加 བ་སོ་མཚོ་ཁ་ – བ་སོ་མཚོ་ཁ་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Côte d'Ivoire ཁི་རག་ཏེ་ཡ་ – ཁི་རག་ཏེ་ཡ་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Croatia 克罗地亚 ཁོས་བྷ་ – ཁོས་བྷ་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Cuba 古巴 སེབ་རུ་སི་ – སེབ་རུ་སི་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Cyprus 塞浦路斯 ཆེ་ཥི་ – ཆེ་ཥི་སྤྱི་མཐུན་རྒྱལ་ཁབ Czech Republic 捷克 = ཌ = ཌན་མར་ཀི་ – ཌན་མར་ཀི་རྒྱལ་གཞིས་རྒྱལ་ཁབ Kingdom of Denmark 丹麦 གཞི་བྷོ་ཊི་ – གཞི་བྷོ་ཊི་སྤྱི་མཐུན་རྒྱལ་ཁབ Republic of Djibouti 吉布提 ཌོ་མི་ནི་ཀ་ –ཌོ་མི་ནི་ཀ་མནའ་མཐུན་རྒྱལ་ཁབ Commonwealth of Dominica 多米尼克国 ཌོ་མི་ནི་ཀ་ - ཌོ་མི་ནི་ཀ་སྤྱི་མཐུན་རྒྱལ་ཁབ་ Dominica.
socially-constructed-person;['ཤཱ་ཀྱ་ཐུབ་པ', 'ཤཱཀྱ་ཐུབ་པ', 'སངས་རྒྱས'];ཤཱ་ཀྱ་ཐུབ་པ
subject;['དངོས་ཁམས་རིག་པ'];དངོས་ཁམས་རིག་པ་ནི་དངོས་རྫས་ཀྱི་ཆགས་ཚུལ་དང་ཕན་ཚུན་བྱེད་ནུས། འགུལ་སྐྱོད་སོགས་ཀྱི་གཞི་རྩའི་གནས་ལུགས་ལ་ཞིབ་འཇུག་བྱེད་པའི་རང་བྱུང་ཚན་རིག་ཅིག་ཡིན། དེ་ལ་ཤུགས་རིག་པ་དང་། ཚ་བ་རིག་པ། གློག་སྡུད་རིག་པ། འོད་རིག་པ། ཚད་རྡུལ་ཤུགས་རིག བལྟོས་བཅས་སྨྲ་བ་ལ་སོགས་པའི་ནང་གསེས་འགའ་རུ་བགོ་སྲོལ་ཡོད།
