abstract-region;['極限', 'limit'];極限係話一隻函數嗰自變量靠近嘚某隻特定值嗰時間，函數嗰變化趨勢，好似函數
functional-matter;['膏子'];膏子或餬、糜，係粥樣嗰喫嗰，比粥更加汔，故係要煠蠻久。
functional-matter;['布'];布係一種由纖維織成，質軟嗰平面織物。
functional-matter;['肉', 'meat'];肉係喫嗰裡頭嗰一隻大類，係話各種動物身上喫得嗰肉同得別嗰喫得嗰組織（好似內臟）。
functional-matter;['木'];木係指能次級生長得正嗰植物（像喬木同灌木）生出來嗰木質化組織。
functional-matter;['醬油'];醬油係中國甚至完個東亞嗰主要調味料，主要係用黃豆加水加鹽發酵而成。
genetic-collective;['家庭', 'family'];家庭係透過血緣、婚姻箇滴子人際關係組成嗰生物之間嗰利益集團。
geographical-object;['湖'];湖係拕地包到嗰水嗰一種地形。
geographical-object;['南美洲', 'south america'];南亞美利加洲（字源：阿美利哥·維斯普西），又簡稱南美洲，佢在南半球，西边係太平洋，東边係大西洋，北边係加勒比海。
geographical-object;['海'];海係話裝住大量鹹水嗰地形，多數連到大洋，哈都有些子好像死海同到裡海，冇連出去嗰。
geographical-object;['中華民國', '台湾', '民國'];中華民國，1949年後，中華民國政府播遷臺灣，位到亞洲嗰東頭、太平洋嗰西海岸，佢實際管到嗰領土有台灣同到別嗰滴子附屬島嶼、澎湖群島、金門群島、馬祖列島、東沙群島哈有南沙群島嗰太平島跟中洲島，實際面積36,188 平方公里。
geographical-object;['島'];島係一片全部拕水圍到嗰地。
geographical-object;['大洋', 'ocean'];大洋佔得地球有四分之三（71%）嗰面積，大陸同得滴子蠻大嗰群島搦箇一大片嗰鹽水分做五大洋：
geographical-object;['大洋洲', 'oceania', '澳洲'];大洋洲（英語：Oceania）主要係澳大利亞跟太平洋島嶼構成嗰。
geographical-object;['裡海', 'caspian sea', '里海'];裡海（英文：Caspian Sea）位到亞歐兩洲嗰界上，係世界上最大嗰湖，儲水量也係最多。
geographical-object;['亞馬孫河', 'amazon river'];亞馬孫河（葡萄牙文：Rio Amazonas，西班牙文：Río Amazonas）位到南美洲，係世界水量至大嗰河，跟得後頭排到嗰九條世界大河加得一齊，水流都比佢不贏。
geographical-object;['河'];河，係天然水道。
geographical-object;['黑海', 'black sea'];黑海係歐亞大陸嗰一隻內海，面積有約42.4萬平方公里൹大。
geographical-object;['南海'];南海係指中國以南嗰海。
geographical-object;['日本海'];日本海係亞細亞洲東北部、太平洋的西北首，日本群島嗰沿海水域。
geographical-object;['南極洲', 'antarctica', '南極'];南極洲（英文：Antarctica）基本上係一隻位到南極圈南首嗰洲。
geographical-object;['北冰洋', 'arctic ocean'];北冰洋（Arctic Ocean）位到北半球，係北極團近北極圈範圍裡頭嗰大洋，係五大洋之一。
geographical-object;['美洲'];美洲係地球上頭嗰一隻洲，佢分得正南美洲同到北美洲兩隻洲。
geographical-object;['大西洋', 'atlantic ocean'];大西洋係地球嗰第二大洋，佔得地球面積嗰大概五份之一。
geographical-object;['太平洋', 'pacific ocean'];太平洋係地球嗰第一大洋，位到亞洲、大洋洲、南美洲、北美洲同到南極洲之間。
geographical-object;['長江'];長江，又叫揚子江，係中國最長嗰江，故係早已叫「江」就專指長江，「河」就指黃河。
geographical-object;['地', '土'];地或者叫陸或陸地，係地球上冇拕水浸到嗰地方。
geographical-object;['南冰洋', 'antarctic ocean', '南大洋'];南冰洋（Antarctic Ocean），又叫南大洋（Southern Ocean），係地球南方一隻大洋，2000年定義佢系南緯60度以南，一徑到南極洲岸嗰水域。
geographical-object;['尼羅河', 'nile'];尼羅河﹝阿拉伯文：النيل；古埃及文： iteru﹞係一條到非洲向北流嗰河，拕普遍認為係世界最莽嗰河。
gestalt;['方形', 'square'];方形係隻幾何圖形，係多邊形一種。
gestalt;['自由女神像'];自由神像（英文：Statue of Liberty；法文：Statue de la liberté）係法國到1876年送到美國嗰獨立 100 週年嗰禮物，佢位到美國紐約嗰哈德遜河口附近。
gestalt;['塑像', 'statue'];塑像係為到表達人類或頭牲箇滴子內容嗰雕刻。
gestalt;['雕刻', 'sculpture', '雕塑'];雕刻係類三維立體嗰藝術創作，佢到石頭、木頭、石膏、金屬箇滴子物什上頭搦雕、刻、搉、粘等技法去製作特定嗰形狀器物。
information-encoding-system;['隱喻', 'metaphor'];隱喻（Metaphor）係語言表現技巧裡頭嗰一種修辭手法，係話一隻人用別嗰字去表示原本嗰詞。
information-encoding-system;['明喻', 'simile'];明喻（simile），係語言表現技巧裡頭嗰一種修辭手法，係話一隻人用別嗰字去表示原本嗰詞，佢嗰比喻方式非常直白。
information-encoding-system;['悲劇'];悲劇係話一種會舞得人家悲傷嗰表演藝術。
information-encoding-system;['喜劇'];喜劇係一種讓人發笑嗰表演，像搞笑嗰電視節目、電影或者現場演出。
information-encoding-system;['詩', 'poetry', '詩歌'];詩係一種語文藝術，源自歌，係種押韻嗰文學。
information-encoding-system;['散文', 'prose'];散文係最自由嗰文體，佢冇許講究音韻、冇許講究排比，冇任何嗰束縛同得限制，但係散文講究「形散神不散」，散文嗰結構冇管啷都成不正一隻體系，但中心思想都一樣共樣明確，一樣會抒發作者想話嗰話。
information-encoding-system;['引喻', 'synecdoche'];引喻（Synecdoche）係語言表現技巧裡頭嗰一種修辭手法，佢表面話嗰係一隻東西嗰一部份，但實際上話嗰係佢嗰整體。
information-encoding-system;['戲', '戲劇'];戲係一幫子演員到舞臺上當得觀眾嗰面，演一隻故事嗰一類藝術形式。
information-object;['指示詞', 'demonstrative'];指示詞係話具備指示功能嗰一類詞，佢俚話明話事嗰對象，搦佢同得別嗰人、物區分開。
information-object;['變量', 'variable'];變量係話冇特定值嗰數，一般係搦非數字嗰符號表示，時常係拉丁字母。
information-object;['拉丁字母'];拉丁字母，也叫羅馬字母，係英語同到世界上大多數語言都用到嗰字母系統，係世界上用得頂多嗰字母。
information-object;['詞尾音消失', 'apocope'];詞尾音消失（Apocope）係話一隻詞嗰督上嗰一隻音節或多隻音節消失。
information-object;['學士'];學士係高等教育本科階段授予嗰學位名稱，揸得學科類別拕分做理學士、文學士、社會科學學士同得工商管理學士（或商學士）。
information-object;['數學證明', 'mathematical proof'];數學證明，通常會拕簡做證明，係隻幾何術語，係指揸得公理而推斷出命題係正確冇錯嗰過程。
information-object;['拼音字', 'letter'];拼音字係字母系統裡頭嗰基本元素。
information-object;['h'];H係到拉丁字母裡頭排第八嗰字母。
information-object;['z'];Z係到拉丁字母裡頭排頂豚上嗰字母。
information-object;['姓氏箋釋'];《姓氏箋釋》係清朝嗰雍正年間寫正嗰一本書，佢嗰作者係南昌府嗰新建縣嗰熊峻運。
information-realization;['書', 'book'];書係一疊有字嗰紙，上下加上書皮，佢其中一條邊拕釘到。
information-realization;['歌劇', 'operă'];歌劇（意大利文：opera）是一門西方嗰舞臺表演藝術，佢係搦音樂同得唱歌表達劇情嗰戲。
information-realization;['長篇小說', 'novel'];長篇小說（英文：Novel；來自意大利文：novella、西班牙文：novela、法文：nouvelle，新聞嗰意思）係類敘事型嗰長篇文學散文小說。
information-realization;['詩節', 'stanza'];詩節（stanza），或節、聯，係話西方嗰詩歌裡頭嗰一隻段落、小節。
information-realization;['自由女神像'];自由神像（英文：Statue of Liberty；法文：Statue de la liberté）係法國到1876年送到美國嗰獨立 100 週年嗰禮物，佢位到美國紐約嗰哈德遜河口附近。
information-realization;['俄打', 'oda', 'ode'];俄打（Ode）或頌、賦，係西方詩歌嗰一種形式。
information-realization;['音樂劇'];音樂劇係綜合音樂、舞蹈、對話嗰一種表演。
information-realization;['短篇小說', 'short story'];短篇小說（英文：short story）係小說嗰一種，時常係搦散文嗰形式、敘述嗰口氣寫正嗰，佢嗰定義係揸得佢嗰內容嗰字數算嗰，但不同嗰人有不樣嗰話法。
information-realization;['百科全書'];百科全書係人類對某隻領域或全部領域嗰知識嗰總結，咁寫出來嗰一種工具書。
information-realization;['叭呔語'];叭呔語（Patois）係話任何一種拕認為係非標準嗰語言，但箇隻用詞嘚語言學上冇正式定義。
information-realization;['八行詩', 'octave'];八行詩（Octave）係一首十四行詩嗰頭八行，督上六行就叫Sestet。
information-realization;['六行詩', 'sestet'];六行詩（Sestet） 係西方詩歌裏頭嗰一類押韻詩體。
information-realization;['塑像', 'statue'];塑像係為到表達人類或頭牲箇滴子內容嗰雕刻。
information-realization;['等號', '='];等號（=）係隻表示對等性嗰數學符號，係拕Robert Recorde到1557年發明嗰。
information-realization;['四行詩', 'quatrain'];四行詩（Quatrain）係話一首詩嗰一隻詩節四隻韻文組成。
information-realization;['雕刻', 'sculpture', '雕塑'];雕刻係類三維立體嗰藝術創作，佢到石頭、木頭、石膏、金屬箇滴子物什上頭搦雕、刻、搉、粘等技法去製作特定嗰形狀器物。
information-realization;['十四行詩', 'sonnet'];十四行詩（Sonnet）係西方詩歌裏頭嗰一類押韻詩體。
information-realization;['插圖', 'illustration'];插圖係話搦滴子畫、相片或別嗰藝術作品去視覺化一段字。
information-realization;['畫畫', 'painting', '畫'];畫畫係話到一隻表面上滴子色、塗滴子相嗰藝術行為。
information-realization;['音樂', 'music'];音樂（「樂」音同「嶽」，音[ŋɔk]）可以話就係任何一種藝術嗰、可以讓人歡快嗰、審慎嗰或者別嗰方式排列起來嗰聲氣。
information-realization;['舞蹈', '舞', '跳舞'];舞蹈係話用來表達思想同得感情，社會來往嗰一種活動，也哈會有可能單純為得精神嗰、宗教嗰、或者 係藝術嗰目的來跳舞。
information-realization;['俳句', 'haiku'];俳句（日本話：はいく，羅馬字：Haiku）係日本嗰一類古體短詩，佢攏共有17隻音。
information-realization;['繞口令'];繞口令係一滴子好難念嗰句子擺到一下，咁讀起來就蠻艱難嗰。
information-realization;['後現代主義', 'postmodernism'];後現代主義係現代主義晏後出現嗰一隻藝術嗰形態。
information-realization;['現代主義', 'modernism'];現代主義係起自20世紀頭嗰一隻藝術、文學嗰形態，佢反對早以嗰墨守成規嗰文藝風氣，覺得應該更直接、更真實嗰話出藝術創作嗰想法、感受。
information-realization;['文學', 'literature'];文學係對一隻特定群體嗰語言嗰藝術作品。
information-realization;['古典音樂', 'classical music'];古典音樂係話歐洲到中世紀發展出來嗰一種藝術音樂風格。
information-realization;['流行音樂', 'pop music'];流行音樂（英文：Pop music）通常係話由職業音樂家寫正，接得由一隻歌手唱嗰一類音樂門類。
information-realization;['正旋舞歌', 'strophe'];正旋舞歌（Strophe）係西方詩歌裡頭揸得一首詩嗰韻文嗰數量不同，定義出來嗰一隻概念。
information-realization;['印刷', 'printing'];印刷係話搦相或字嗰原稿緊快嗰大量複製一種技術。
information-realization;['美利堅合眾國憲法', '美國憲法'];《美利堅合眾國憲法》係美利堅合眾國嗰至高法律。
information-realization;['對數', 'logarithm'];對數係表示by嗰幂y嗰程式，故係拕寫做：
information-realization;['詞中音消失', 'syncope'];詞中音消失（syncope）係話一隻詞中間嗰一隻音節或多隻音節拕跌吥嘍嗰情形。
information-realization;['伊戈·式査溫斯基', 'igor stravinsky'];伊戈·式査溫斯基（俄文：Игорь Фёдорович Стравинский），1882年6月17號出世，1971年4月6號過身，係隻俄羅斯嗰作曲家、鋼琴家、指揮家。
information-realization;['聖經'];《聖經》（拉丁話：Biblia；希伯來話：ביבליה‎，）係基督教嗰一本經典經書。
information-realization;['民間音樂', 'folk music'];民間音樂係話通過口頭發展流傳嗰大眾音樂。
information-realization;['自由詩', 'free verse'];自由詩（Free verse）係話西方嗰詩歌裡頭一種冇有嚴格嗰韻律形式嗰詩文。
language;['子句', 'clause'];子句或從句係話一隻句子嗰一部份字詞。
language;['日耳曼語族'];日耳曼語族係印歐語系下底嗰一隻語族，係住到歐洲北首日耳曼民族嗰話嗰集合。
language;['客家話'];客家話，也叫客話、客語，係漢語底下嗰一隻語言。
language;['吳語'];吳語也叫吳方言、江南話、江浙話，係漢語豚下嗰一隻語言。
language;['韻文', 'verse'];韻文（verse），或詩體係話西方詩歌裏頭嗰一篇押韻作品（通常係詩）嗰一隻單行。
language;['孟加拉語', 'bengali language'];孟加拉語（বাংলা，音標：）係印歐語系嗰印度-伊朗語族嗰印度-雅利安語支下頭嗰一隻語言，佢係孟加拉國同得印度嗰西孟加拉邦和特里普拉邦嗰官方話，佢嗰使用人口有2億7百喇萬人。
language;['謂語'];謂語係一隻子句嗰兩大組成部份，另一部份係主語。
language;['冰島語'];冰島語（íslenska）係日耳曼語族嗰斯堪的那維亞語支（北日耳曼語支）下底嗰一隻語言，佢係古時間北歐人話嗰話（或稱古諾斯語），而今冰島嗰官方語言。
language;['瑞典語'];瑞典語（svenska）係歐洲嗰一隻語言，話佢嗰人主要住到瑞典、芬蘭。
language;['語言', 'language'];語言係話人嗰話事嗰能力。
language;['梵語', 'sanskrit', '梵文'];梵語（संस्कृता वाक् saṃskṛtā vāk，簡稱 संस्कृतम् saṃskṛtam）係印歐語系嗰印度-伊朗語族嗰印度-雅利安語支下頭嗰一隻語言，古時間佢係印度次大陸、東南亞嗰通用語，箇下佢已經係一種學術同得宗教性質嗰專門用語。
language;['英語', 'english language', '英文'];英語（English，國際音標：）係印歐語系底下嗰日爾曼語族底下嗰西日爾曼語支嗰一隻語言，佢係古代盎格魯、薩克遜跟日爾曼人話嗰話變來嗰，末後英國到全世界殖民嗰時間就傳播到哩別嗰國家。
language;['拉丁語', 'latin', '拉丁名', '拉丁文', '拉丁話'];拉丁話（Latina，音標：），係印歐語系嗰一隻話。
language;['閩語'];閩語，又稱閩方言，話嗰主要住在福建、臺灣兩隻地方，在廣東、海南、浙江也有奀人話的閩語，佢係漢藏語系嗰漢語底下嗰一隻語言。
language;['漢語', 'chinese language', '中国話', '中國話', '中文'];漢語係指漢人用嗰話，也可以叫佢中文、華文、華語等。
language;['朝鮮話', '朝鮮語', '諺文', '韓國話', '韓國語'];朝鮮話，也可以叫朝鮮語（조선어），或者係韓國語（한국어），又簡稱「朝語」或「韓語」，主要用在東北亞嗰朝鮮半島跟佢附近嗰區域。
language;['希伯來語', '希伯來文', '希伯來話', '希伯萊話', '希伯萊語'];希伯來語（עִבְרִית‎ 或 Ivrit，發音：eevrEEt ）係古代猶太民族嗰語言。
language;['粵語'];粵語，又叫廣東話或者係白話，係漢藏語系漢語語族底下嗰一隻語言，話嗰人主要住在廣東中西部、廣西中南部、香港、澳門，跟其他一些有華人住嗰國家或地區。
language;['印歐語系'];印歐語系係世界頭上分佈最廣嗰語系之一。
language;['希臘語', 'greek language', '希臘文'];希臘語（Ελληνικά，音標：）係歐洲嗰一隻語言，話佢嗰人主要住到希臘、阿爾巴尼亞、塞浦路斯箇滴子國家。
language;['波斯語', '波斯文', '波斯話'];波斯語（فارسی‎ = Fârsi, پارسی‎ = Pârsi）係伊朗、阿富汗同得塔吉克斯坦箇滴子國家嗰官方語言。
language;['印地語', 'hindi'];印地語（हिन्दी或हिंदी，音標：[ɦɪnd̪iː]）係印歐語系嗰印度-伊朗語族下頭嗰印度-雅利安語支嗰一隻語言。
language;['乌尔都语', 'urdû'];乌尔都语是南亚语言之一。
language;['西班牙語', 'spanish language', '西班牙文', '西班牙話'];西班牙語（español或者castellano，音標：/espaˈɲol/或/kasteˈʎano/）係印歐語系羅曼語族底下嗰一隻語言。
language;['阿拉伯語', 'arabic language', '阿拉伯文', '阿拉伯話'];阿拉伯語（اللغة العربية‎，羅馬字：al-Lughah al-ʻArabīyah‎）係阿拉伯人嗰母語。
language;['俄語', 'russian language', '俄文', '俄羅斯文', '俄羅斯話', '俄羅斯語'];俄語（Русский язык；音標：）係歐洲嗰一隻語言，話佢嗰人主要住到東歐、北亞同到中亞。
language;['德語', 'german language', '德文'];德語（Deutsch，音標： ）係歐洲嗰一隻語言，話佢嗰人主要住嘚德國、奧地利、瑞士、列支敦士登同到別嗰37隻國家也有話德語嗰人。
locative-role;['南京'];南京，也簡稱寧，又叫金陵、石城，佢位於長江嗰末游，目前係中華人民共和國江蘇省嗰省會，也係中華民國名義上嗰首都。
locative-role;['德里', 'delhi'];德里（印地話：दिल्ली，烏爾都話：دہلی 或 دلّی‎，旁遮普話：ਦਿੱਲੀ）係印度第二大嗰都市。
locative-role;['胡志明市'];胡志明市係越南最大嗰城市，越南隻直轄市（thành phố trực thuộc trung ương，城舖直屬中央）。
locative-role;['洛杉磯', 'los angeles'];洛杉磯（英文：Los Angles；音標：）係美國第二大嗰城市，加利福尼亞州嗰頭大嗰城市，佢通常拕叫做L.A或「天使之城」（The City of Angels）。
locative-role;['臺中市', 'taichung', '臺中'];臺中市係臺灣中部嗰城市，到2011年有271萬人以上，面積有2215平方公里，全市攏共有29隻市轄區。
locative-role;['麥加', 'mecca'];麥加（阿拉伯語：مكّة المكرمة‎；音標：）係沙特阿拉伯嗰一隻城市。
locative-role;['西安'];西安市，古時間又叫長安等，眼下佢係陝西省嗰省會，位到中國嗰內陸中間腰，係中國嗰地理中心。
locative-role;['戈壁', 'gobi desert'];戈壁（蒙古話：Говь）係亞洲最大面積嗰沙漠，也係世界第五大嗰沙漠。
locative-role;['東南亞'];東南亞係亞洲嗰一隻下屬分區，佢位到南中國、東印度同得北澳洲之間。
locative-role;['法蘭克福'];法蘭克福（Frankfurt，正式名係緬因河畔嗰法蘭克福（Frankfurt am Main），咁就同德國東首嗰奧得河畔法蘭克福（Frankfurt an der Oder）區別開，佢位到黑森州嗰緬因河嗰北舷上。
locative-role;['天津'];天津係中國華北地區嗰一隻直轄市，位到渤海舷上，係中國第三大嗰都市，海河係隻城市嗰主要河川。
locative-role;['面積', 'area'];面積係一塊表面大細嗰度量。
locative-role;['亞述', 'assyria'];亞述係美索不達米亞地區嗰一隻古文明。
locative-role;['沙漠', 'desert'];地理上話，沙漠係一塊好少落雨嗰地方。
locative-role;['聖保羅', 'são paulo'];聖 保羅（葡萄牙文：São Paulo）係巴西、南美洲最大嗰城市，也係世界第七大嗰都會區。
locative-role;['北', '北方'];北，或者叫北方，係指東同西中間嗰方向，同南相反。
locative-role;['芝加哥', 'chicago'];芝加哥（英語：Chicago）位到美國嗰中西部，係伊利諾伊州嗰一個城市，東面憑到密歇根湖，轄區內有人口摸係290萬。
locative-role;['孟菲斯', 'memphis'];孟菲斯（英語：Memphis）係美國田納西州謝爾比縣嗰縣城。
locative-role;['中東', 'middle east', '近東'];中東（英文：Middle East）或近東（英文：Near East）係一隻非洲同得亞洲之間嗰地區。
locative-role;['瓦尔帕莱索', 'valparaiso'];瓦尔帕莱索（西班牙文：Valparaíso）係到1536年起智利嗰最多人嗰城市。
locative-role;['美索不達米亞', 'mesopotamia', '兩河流域'];美索不達米亞（Mesopotamia）到希臘語裡頭係話「兩條江中間嗰土地」（Μεσοποταμία），箇也就係流時嘚話嗰「兩河流域」，即第哥利斯河（Tigris）同得歐夫拿帝斯河（Euphrates）嗰中間。
locative-role;['伊斯坦布爾', 'istanbul'];伊斯坦布爾（土耳其文：İstanbul）係土耳其最大嗰城市，也係歐洲最大嗰城市、第二大嗰都市區，哈係世界第四大嗰城市，佢有1260萬嗰人口。
locative-role;['紐約市', '紐約'];紐約市（英文：City of New York、New York City或New York）係到1790年起美國嗰最多人嗰城市，佢也係世界第一多人嗰嗰都會區。
locative-role;['費城'];費城（英語：Philadelphia），也拕叫做“菲利”（英語：Philly），係美國嗰第五大城市，也係賓夕法尼亞州人頂多、土地頂大嗰城市。
locative-role;['拉丁美洲', 'latin america', '拉美'];拉丁美洲（簡稱拉美；英文：Latin America；西班牙話：América Latina或Latinoamérica；葡萄牙話：América Latina；法國話：Amérique latine），通常係話美洲上頭話羅曼語族嗰語言嗰地區。
locative-role;['北極', 'arctic', '北極圈', '北極地區'];北極或北極地區（英文：Arctic；音標：）係話兜得地球嗰北極點團近嗰地區。
locative-role;['撒哈拉沙漠', 'sahara'];撒哈拉沙漠係世界最大嗰沙漠，也係除吥南極之外，最大嗰荒漠。
mental-object;['心智', 'mind'];心智係話一隻人嗰思維、知覺、感情、意志、記性同得想像合成嗰理智、意識層面嗰一隻狀態。
mental-object;['知識', 'knowledge'];知識係對某隻主題確信嗰認識，同時間箇滴子認識擁有潛在嗰能力為到特定目的而使用。
non-agentive-physical-object;['巴拿馬運河', 'panama canal'];巴拿馬運河（西班牙文：Canal de Panamá）位到拉丁美洲，攏共有 82 公里長，闊嗰地方有 304 米，狹嗰地方有 152 米。
non-agentive-physical-object;['爛蝦蟆', '蝦蟆', '蛤蟆', '蟾蜍', '青蛙'];爛蝦蟆非常像蝦蟆，但係佢會毒人，佢嗰毒性分泌物係一味中藥，叫做「蟾酥」。
non-agentive-physical-object;['爛蝦蟆', '蝦蟆', '蛤蟆', '蟾蜍', '青蛙'];蝦蟆係一類兩栖動物，冇得尾巴。
non-agentive-physical-object;['冰櫃', 'refrigerator'];冰櫃係一隻擺喫嗰嗰電器，食物擺進去會變到冰冷，舞得細菌生長變慢，故係可以弆好久。
non-agentive-physical-object;['和服', 'kimono'];和服（日本話：wafuku）或吳服（gofuku）、着物（kimono）係日本嗰傳統衣裳。
non-agentive-physical-object;['衣裳'];衣裳係穿得身上，位到遮到文身上下嗰一類物什。
non-agentive-physical-object;['褯片'];褯片係為到不曉得啷自家屙尿嗰毛伢子而拕發明出來嗰。
non-agentive-physical-object;['運河', 'canal'];運河係人工水道。
non-physical-collection;['存在主義', 'existentialism'];存在主義（英文：Existentialism）係19世紀到20世紀嗰一隻哲學流派，而今佢有好多分支。
non-physical-collection;['印度教'];印度教係世界主要嗰宗教之一。
non-physical-collection;['虛無主義', 'nihilism'];虛無主義（拉丁文：Nihilismus）係隻否定生活裡頭具有任何有意義嗰方面嗰一隻哲學。
non-physical-collection;['信仰', '宗教', 'belief'];信仰係話人對神仙鬼怪箇滴子宗教內容崇拜、恐懼等行為，或對某滴子思想、主義箇滴子哲學內容嗰信服、實踐等行為。
non-physical-collection;['信仰', '宗教', 'belief'];宗教係指當人類嗰社會發展到一定嗰階段，出現嗰一種文化現象。
non-physical-collection;['道教', '道家'];道教，係一種起源在中國嗰傳宗教。
non-physical-collection;['人文主義', 'humanism'];人文主義（英文：Humanism）係講究「以人為本」嗰一隻哲學，佢注重人類嗰本性、特性，特別係理性。
non-physical-collection;['經驗主義', 'empiricism'];經驗主義（英文：Empiricism）係話知識產自經驗一隻哲學理論。
non-physical-collection;['理性主義', 'rationalism'];理性主義（英文：Rationalism）係話理性（reason）係知識、推理嗰來源。
non-physical-collection;['唯物主義', 'materialism'];唯物主義（英文：Materialism）強調物質（matter）係唯一嗰實體（substance），世界光係由物質組成嗰。
non-physical-collection;['基督教'];基督教，古代也叫景教, 跟佛教、伊斯蘭教合為世界三大宗教。
non-physical-collection;['儒家', 'confucianism', '儒學', '儒教', '孔教'];儒家係搦孔子思想做為主要内容嗰一隻哲學思想體系，佢又拕叫做儒教或者孔教。
organized-collection;['圖書館', 'library'];圖書館係專收資訊嗰地方。
organized-collection;['行列', 'matrix'];行列係話數字組成嗰矩形陣列，好似：
parameter;['百分率', 'percentage'];百分率又叫百分比、百分數（符號為%）係表達比例，比率或分數數值嗰方法。
parameter;['乾旱', '旱'];乾旱'或旱災，係一段時間都冇有水去夠人或別嗰生物用。
parameter;['酸雨'];酸雨係話落嗰雨，或別嗰形式嗰降水裡頭含得異常嗰酸性物質。
parameter;['𩭽頭'];ð©­½頭係話一隻頭ð©­½
phenomenon;['詞頭音消失', 'aphesis'];詞頭音消失（Aphesis）係話一隻詞嗰頭音節拕跌吥嘍，通常係一隻輕讀嗰元音。
phenomenon;['光'];光，到一般人嗰生活中，係一種摸伓到嗰、有顏色嗰、幫人望到東西嗰幅射。
phenomenon;['電氣', 'electricity'];模板:Merge
phenomenon;['同性戀'];同性戀，佢係同性嗰性愛或同思想。
phenomenon;['朝鮮字母', 'hangul'];朝鮮字母（朝鮮話：한글；羅馬字：[haːn.ɡɯl]）係朝鮮話嗰字母系統，佢先頭寫嘚嗰係中國字。
phenomenon;['x光', 'x-ray'];X光係種波長範圍位嘚0.1納米到10納米之間（對應頻率範圍30 PHz到3EHz））嗰電磁輻射形式。
phenomenon;['太陽能', 'solar energy'];太陽能係指話日頭光得到嗰能源。
phenomenon;['核能', 'nuclear power'];核能係搦控制嘚正嗰核反應做能源。
phenomenon;['音節省略', 'elision'];音節省略（Elision）係話一隻單詞、或一隻句子嗰一隻音節或多隻音節拕省略嗰一種情形。
phenomenon;['69'];69係68同70之間嗰自然數。
phenomenon;['風力', 'wind power'];風力係一種能源，用嗰係風嗰動力推ð ´¼風車收集力量，先主要係推動磨坊，箇下就通常推動發
phenomenon;['雪'];雪係天降嗰結晶水，通常係一滴子好細嗰冰做成嗰雪花。
phenomenon;['地震'];地震係陡然地表存到嗰位能放出來嗰自然現象，能量係用地震波嗰形式放出來。
phenomenon;['性交'];性交（英文：sexual intercourse），一般係指勃起状态嗰阴茎插入阴道、或插入肛门及在里面抽送嗰过程，主要目的係为了令自身获得性快感、繁殖下一代。
phenomenon;['屙尿'];屙尿或排尿，係話搦尿從體內嗰膀胱通過尿道排得體外嗰生理過程。
phenomenon;['降水'];降水係話天上嗰水氣冷凝，落嘚地下嗰天氣現象。
phenomenon;['水力', 'hydropower'];水力係由水流體含有嗰能量天然資源，轉化為人類利用嗰能源，好似水力發電。
phenomenon;['火'];火係燃燒嗰現象，熱同得光用發光、火焰嗰形式放出來。
phenomenon;['出世'];出世係話一隻生物從佢娘嗰肚裡頭誕生出來嗰行為。
phenomenon;['汗'];汗，係哺乳動物嗰汗腺分泌嗰液體。
phenomenon;['電'];電，又叫電氣，係物質性質，話物質帶電荷。
phenomenon;['水澇', '水災', '洪水', '澇'];水澇，或者叫水浸、水災，係話大量嗰水湧到地上，而又冇地方去，扤得地上拕浸。
phenomenon;['雨', '落雨'];雨係降水嗰一隻方式。
physical-body;['磨硌牯子'];磨硌牯子係話一款表面平滑、形狀丩圓嗰石頭，箇係因為長時間嘚水底下拕摩擦嗰緣故。
physical-body;['月光', '月亮', '月球', '月頭'];月光，又叫月亮，或者sôngmo̍n就叫月，天文學上叫佢叫月球，地球就佢一隻自然嗰衞星。
physical-body;['地球'];地球係太陽系嗰一隻行星，搦太陽嗰遠近來話嗰話，佢排第三。
physical-body;['火星', '♂'];火星係太陽系裡面第四隻近太陽嗰行星，到地球望，佢係紅色嗰。
physical-body;['水星'];水星係最近日頭嗰行星，用88日就可以圍到太陽轉個圈。
physical-object;['圓拱', 'arch'];圓拱係指建築物彎曲形嗰樑柱，也指完個彎曲形嗰建築構造物。
physical-object;['腳踏車', 'bicycle'];腳踏車，也叫自行車或單車，贛語更稱之為「線車（嘚）」、「鋼絲車」、「腳踏車嘚」，係最常用嗰陸上小型車輛。
physical-object;['電信', 'telecommunication', '電子通信'];電信係話電子技術到異地之間傳遞信息。
physical-object;['汽車', 'automobile'];汽車係話憑得自簡嗰馬達同駄行，不依得外力同路軌嗰載客機動車。
physical-object;['45'];45係44同46之間嗰自然數，哈都係1倍數。
physical-object;['摩托車', 'motorcycle'];摩托車係使用引擎動力嗰一種車，通常佢嗰兩隻駄一前一後。
physical-object;['壩', 'dam'];壩係起嘚水中嗰壁，用做擋住水，防止水澇，或者水力發電，又或者儲水。
physical-object;['牢監'];牢監係困得犯人嗰所在。
physical-object;['的士'];的士（Taxi），又叫計程車，係由路程長短計錢嗰出租汽車，只可以搭一隻至幾隻乘客，而由箇隻客決定目的地落車，大部份地方嗰的士都有碼錶，顯示路程長短同價錢。
physical-object;['萬維網', 'world wide web'];萬維網（World Wide Web，簡稱WWW）係隻資料空間，空間裡頭嗰資源都有自簡嗰「統一資源標識符」（URL），末後通過超文本傳輸協議（HTTP）送得人手跟。
physical-object;['輅䡐', '樂堶', '陀螺'];輅䡐係款頭重督尖、兜得中間軸打轉嗰玩具。
physical-object;['劍', 'sword'];劍係一種可以用得做厾人同劈人嗰武器，兩邊鋒利，多數係尖督。
