abstract-region;['uoperand', 'operand'];We matymatyce, uoperand to argůmynt uoperatora.
geographical-object;['wjelgo brytańijo'];Wjelgo Brytańijo to je wyspa na Uoceańe Atlantyckim, kero ležy we jygo půunocnyj tajli, na zachůd uod stouygo lůndu Ojropy, uod kerego je uoddźelůno Kanouem La Manche a Mořym Půunocnym.
geographical-object;['nowo kaledůńijo'];Nowo Kaledůńijo (fr.
geographical-object;['arktyczny uocean', 'uocean arktyčny'];Arktyczny Uocean – nojmńyjszy a nojpłytszy s uoceanůw na źymje, dowńij uznowany za tajla Atlantyckigo Uoceanu.
geographical-object;['amerika'];Amerika – mjano tajle śwjata kero leży na zachodńij půłkugli, a we keryj skłod wlazujům Půłnocno Amerika a Połedńowo Amerika.
geographical-object;['atlantycki uocean', 'atlantyk', 'uocean atlantycki'];Uocean Atlantycki, Atlantyk – drůgi pod wzglyndym wjelgośći uocean na Źymji, kery pokrywo ůngyfer 20% jeji powjeřchńi.
geographical-object;['důnaj', 'dunaj'];Důnaj (łać.
geographical-object;['ojrazyjo', 'eurazyjo', 'ojroazyjo'];Ojrazyjo – nojwjynkszy kůntynynt na kuli źymskij.
geographical-object;['grynlandyjo', 'grynlandja', 'grynlandyjŏ'];Grynlandyjo – autůnůmične terytorjům zoležne Dańije pouožůne na wyspje uo tym somym mjańe, uo uobšaře 2175,6 tys.
geographical-object;['pokojny uocean', 'uocean spokojny', 'spokojny uocean'];Uocean Spokojny, Pacyfik, Uocean Wjelgi to uocean znojdujůncy śe půmjyndzy Azyjům, Amerikům Půunocnům i Amerikům Pouedńowům, Antarktydům a Australijům.
geographical-object;['hokkaido'];Hokkaido (jap.
geographical-object;['ńil'];Ńil to je nojdugszo rzyka we Africe, podug ńykerych zdrzůdłůw je tyż nojdugszo na Źymji.
gestalt;['kwadrat'];Kwadrat – prostokůnt kery mo růwne boki.
gestalt;['prostokůnt'];Prostokůnt – we plańimetryji je czworokůnt, kery mo wszyjstke eki proste.
gestalt;['forymny wjeloek', 'forymny wjelokůnt'];Forymny wjeloek - wjeloek, kery mo wszyjske wewnyntrzne eki a boki jednako wertne.
information-object;['brifmarka'];Brifmarka to je znak kery śe naklejo na koperće jako dowůd uopłacyńo brifa.
information-object;['łaćińske abecadło', 'łaciyński szrajbōnek'];Łaćińske abecadło je abecadło wźůne za swe s poczůnku do łaćiny, dźiśo brany do kupy inkszych godkůw.
information-object;['kaducyjusz', 'kaducyjuš'];Kaducyjusz (gr.
information-object;['hakenkrojc', 'hakynkrojc', '卐', 'hakenkreuz'];Hakenkrojc, to je we ksztołće krziża kery mo "połomane" ramjůna uo ece 90°.
information-realization;['uoperacyjno systyma'];Uoperacyjno systyma (z ang.
information-realization;['pocztowy kod', 'brifkod'];Pocztowy kod - ciyōng cyfer a/abo buchsztabōw użiwane na pōmoc do sortowaniyŏ listōw abo paczkōw.
information-realization;['uopera', 'operă'];Uopera (it.
information-realization;['motto'];Motto – zorta citatu nojczynści we literaturze kero uokreślo jakiś utwůr, szkryflano bez autora.
information-realization;['duet'];Duet – kůmpozycyjo przeznaczůno lo dwůch śpjywakůw abo utwůr muzyczny na dwa głosy wokalne, bydůncy samodźelnym dźełem abo tajlům jednyj ze wjelgich form muzycznych: uopery, uoperetki, kantaty, uoratorium.
information-realization;['yncyklopedyjo', 'yncyklopedja'];Yncyklopedyjo (uać.
information-realization;['pjosynka', 'śpjywka'];Pjosynka, śpjywka – forma muzyczno powszychńy stosowano we muzyce ludowyj i rozrywkowyj.
information-realization;['hymn'];Hymn – zorta pjeśńi, naszkryflanyj skuli jakigo wydarzyńo, uosoby, abo inkszyj uokazyji.
information-realization;['muzyka', 'lajyra'];Muzyka – kōnszt ôrganizacyje struktur klangowych w czasie.
information-realization;['biblijo krůla jakuba'];Biblijo Krůla Jakuba (ang.
information-realization;['ms-dos'];MS-DOS
information-realization;['popowo muzyka', 'muzyka pop'];Popowo muzyka, pop – rozrywkowo zorta muzyczno, kero powstoła we uůn.
information-realization;['kśynga mormůna'];Kśynga Mormůna je uznowano bez Kośćou Jezusa Chrystusa Śwjyntych w Dńach Uostatńich, Spouečność Chrystusa i inkše kośćouy s ruchu Śwjyntych w Dńach Uostatńich, za ješče jydno śwjadectwo uo Jezuśe Chrystuśe a do wyznawcůw tych kośćouůw stanowi jydno s podstawowych pism śwjyntych.
information-realization;['kśynga powtůrzůnygo prawa', 'deuteronomium', 'kśynga powtůřůnygo prawa', 'pjůnto kśynga mojžešowo'];Kśynga Powtůřůnygo Prawa, Pjůnto Kśynga Mojžešowo zawjyro Tora, je růwnočeśńy pjůntům kśyngům Starygo Testamyntu a Biblije.
information-realization;['biblijo'];Biblijo, Pismo Śwjynte (βιβλίον, biblion – mouo kśynga, l.m.
information-realization;['djalekt', 'djalykt', 'dialekt'];Djalekt – zorta godki kero je charakterystyczno lo danyj skupiny społecznyj używoczůw jakij godki.
intentional-collective;['dadajizm'];Dadajizm to bůł artystyczny nurt we sztuce XX stoleća, kery mjoł anfang we 1916 roku.
language;['słowjańske godki', 'suowjańske godki', 'słowiańske gŏdki'];Suowjańske godki – grupa godek s familije indoojropejskij.
language;['prusko godka'];Prusko godka je umarto godka ze bałtyckich godkůw, poużywano aże do XVIII stolećo, podwjela wojny ze Szwedyjům a zaraza uodludńůły pruske dźydźiny, co przińesło slawizacyjo tych źymjůw.
language;['jidisz', 'jidiš'];Jidiš (jid.
language;['malajalamskŏ gŏdka', 'malajalamsko godka'];Malajalamskŏ gŏdka drawidyjska gŏdka użiwana we stōniy Kerala a tyrytorium Lakszadiwy we Indyjach.
language;['mōngolske gŏdki', 'mōngolskŏ gŏdka', 'můngolske godki', 'můngolsko godka'];Mōngolskŏ gŏdka – mōngolskŏ gŏdka ôficyjnŏ we Mōngolije a we Wywnyntrznyj Mōngolije we Chińskej Ludowej Republice.
language;['mōngolske gŏdki', 'mōngolskŏ gŏdka', 'můngolske godki', 'můngolsko godka'];Mōngolske gŏdki - skupina gŏdek s ałtajskich gŏdek fōngujōnca hlawniy we strzodkowej Azyje.
language;['tōnguske gŏdki', 'tůnguske godki'];Tōnguske gŏdki - familijŏ gŏdek ze skupiny ałtajskich gŏdek.
language;['ałtajske gŏdki'];Ałtajske gŏdki - propōnowanŏ skupina familjōw gŏdek.
language;['gruziyńskŏ gŏdka', 'gruzińskŏ gŏdka', 'gruzińsko godka', 'gruźińsko godka'];Gruziyńskŏ gŏdka - nacyjnŏ kartwelskŏ gŏdka we Gruzyje.
language;['norwesko godka'];Norwesko godka je godka skandynawsko, kerům godajům Norwegi.
language;['szwedzko godka'];Szwedzko godka (szw.
language;['bułgarskŏ gŏdka', 'bułgarsko godka', 'bůłgarsko godka'];Bułgarskŏ gŏdka - połedniyowŏ-słowiańskŏ gŏdka ôficyjnŏ we Bułgaryje, użiwanŏ bez mniyjszość we Madziyarach, Rōmuniyje, Słowacyje, Syrbije a Ukrainiy.
language;['turecke godki', 'turecke gŏdki'];Godki turecke lebo turkijske – nojličńijšo podfamilijo godek autajskych, uobejmujůnco ůngyfer 140 mln godajůncych.
language;['godka', 'gŏdka'];Godka – przijynty bez społyczyństwo system budowańo wypowjedźi.
language;['turecko godka', 'tureckŏ gŏdka'];Turecko godka (tur.
language;['sanskryckŏ gŏdka', 'sanskrycko godka', 'sanskryt'];Sanskryckŏ gŏdka - je nŏjważniyjszōm gŏdkōm liturgicznōm Hinduizmu a filozoficznŏ gŏdka Hinduizmu, Buddyzmu a Dżiniyzmu, urziwana bez uczōnych ze Indyjskegŏ regiōnu kultury.
language;['esperanto'];Esperanto – majůnco nojwjyncyj užytkowńikůw mjyndzynarodowo godka půmocńičo.
language;['růmůńsko godka'];Růmůńsko godka – godka ze zorty godek růmańskich familije godek indoojropejskich.
language;['angelsko godka', 'angielsko godka', 'ynglicko godka', 'ynglickŏ gŏdka'];Angelsko godka (ang.
language;['gŏdka pasztŏ'];Gŏdka pasztŏ - nacyjnŏ gŏdka Pasztōnōw.
language;['godka afrikaans', 'afrikaans', 'afrikanersko godka'];Godka afrikaans, inakšy: afrikanersko godka (af.
language;['łaćina', 'uaćina', 'uaćińsko godka', 'łaćińsko godka'];Łaćina (łać.
language;['chińskŏ gŏdka', 'chińsko godka'];Chińskŏ gŏdka – grupa gŏdkŏwa ze Sino-tybetańskij familje gŏdkŏwyj.
language;['koreańskŏ gŏdka', 'koryjańskŏ gŏdka', 'koreańsko godka', 'koryjańsko godka'];Koreańskŏ gŏdka - ôficyjnŏ gŏdka Połedniyowej Koryje a Pōłnocnej Koryje tyż jednŏ ze 2 gŏdek ôficyjnych we Autōnōmicznym regjōniy Janbian we Chińskej Ludowej Republice.
language;['irlandzko godka'];Irlandzko godka – jedna ze urzyndowych godek na terytorjům Irlandyji.
language;['kantōńskŏ gŏdka', 'kantońsko godka', 'kantůńsko godka'];Kantōńskŏ gŏdka – gŏdka pŏchodzōnco ze pŏbliżo Kantōn we pŏłedniyŏwych Chinach.
language;['indōnezyjskŏ gŏdka', 'indůnezyjsko godka'];Indōnezyjskŏ gŏdka - ôficyjnŏ gŏdka indōnezyje pŏwstałŏ na baziy malajskij gŏdki, kierŏ bŏłŏ użiwanŏ we archipelagu indonezyje bez wjyki.
language;['godka manx'];Godka manx – – godka s grupy gojidelskij godek celtyckych, kero užywano je na wyspje Man, pouožůnyj na Mořu Irlandzkym.
language;['szkocko gaelicko godka', 'gaelicko godka', 'škocko gaelicko godka', 'škocko godka gaelicko'];Szkocko gaelicko godka – jedno ze godek celtyckich, we keryj godo bezma 58 000 ludźi, lo kerych je to godka uojczysto, uosobliwje na Půłnocnych Wyspach, Wyżyńe a myńszych wspůlnotach we Glasgow a Inverness.
language;['grecko godka', 'greka'];Grecko godka lebo greka — godka indoojropejsko s rodźiny hellyńskij, we starožytnośći wažno godka basynu Mořa Śrůdźymnygo.
language;['syngalskŏ gŏdka', 'syngalsko godka'];Syngalaskŏ gŏdka - gŏdka Syngalōw - nŏjwiynkszŏ etniczność we Sri Lancy.
language;['albańskŏ gŏdka', 'albańsko godka'];Albańskŏ gŏdka – indoojropejskŏ gŏdka ŏficyjnŏ we Albaniyje a Kosowie.
language;['uormjańsko godka'];Uormjańsko godka (uorm.
language;['perskŏ gŏdka', 'farsi', 'persko godka'];Perskŏ gŏdka - irańskŏ gŏdka ôficyjnŏ we Iraniy, Afganiystaniy a Tadżykistōniy.
language;['wjetnamskŏ gŏdka', 'wjetnamsko godka'];Wjetnamskŏ gŏdka - ôficyjnŏ gŏdka Wjetnamu a nacyjnŏ lŏ Wjetnamcōw.
language;['madźarsko godka', 'uhersko godka'];Madźarsko godka – je godka we podskupińe ugryjskich godkůw, kero przinoleży do podfamilije ugrofińskij.
language;['łotewsko godka', 'uotewsko godka'];Łotewsko godka to je godka bołtycko, podano na litewsko.
language;['gŏdka urdu', 'godka urdu', 'urdu'];Gŏdka Urdu - sztandardowy zapis Hindustańskej gŏdki.
language;['szpańelsko godka', 'hišpańsko godka', 'szpaniyelskŏ gŏdka'];Hišpańsko godka roz za kedy mjanowano kastylijskům to godka růmańsko půdgrupy iberyjskij.
language;['arabsko godka', 'arabskŏ gŏdka'];Arabskŏ godka to je symickŏ godka używanŏ ôd wele 225-285 miliōnōw ludzi.
language;['macedůńsko godka', 'macedońsko godka'];Macedōńskŏ gŏdka je godkōm połedniowosłowiańskōm.
language;['polsko godka'];Polsko godka (pol.
language;['czesko godka', 'česko godka'];Czesko godka (cz.
language;['bjołorusko godka'];Bjołorusko godka to je wschodńosłowjańsko godka.
language;['słowacko godka', 'suowacko godka'];Słowacko godka (słow.
language;['ukrajińsko godka', 'ůkraińsko godka', 'ůkrajińsko godka'];Ukrajińsko godka (ukr.
language;['rusko godka', 'rosyjsko godka', 'ruskŏ gŏdka'];Ruskŏ gŏdka, inakszy rusyjskŏ gŏdka
language;['mjymjecko godka', 'ńymjecko godka'];Mjymjecko godka (tyż: ńymjecko, mjym.
language;['niyderlandzkŏ gŏdka', 'ńiderlandzko godka'];Niyderlandzkŏ gŏdka abo Niyskoziymskŏ gŏdka - Zachodniyŏ-Germańskŏ gŏdka ôficyjnŏ we Niyderlandach, Belgije, Surinamiy a na Arubie, Sint Marteen a Curaçao.
legal-possession-entity;['akcyza'];Akcyza abo akcyzowo dowka je dowka pobjyrano uod towarůw, kerych spożyće je powożane za szkodliwe abo kerych zasoby sům uograńiczůne.
locative-role;['orlando'];Orlando – mjasto we USA, we sztaće Florida, śedźiba hrabstwa Orange.
locative-role;['firenze'];Firenze – mjasto we Italiji, stolica prowincyji Toskańijo a prowincyji Firenze.
locative-role;['kaunas'];Kaunas - mjasto na Litwje, uostrzodek industryji.
locative-role;['mandalaj', 'mandalay'];Mandalaj
locative-role;['lyon'];Lyon – mjasto we Francyji, we regijůńe Rhône-Alpes, we departamyńće Rhône.
locative-role;['delhi'];Delhi (hindi: दिल्ली [d̪ɪlliː], trb.: Dilli, trl.: Dillī. pyndż.: ਦਿੱਲੀ. urdu: دہلی. ang.
locative-role;['salůńiki'];Salůńiki - mjasto we Grecyji, stolica regijůnu Strzodkowo Macedůńijo.
locative-role;['charkůw'];Charkůw
locative-role;['brugge'];Brugge (fr.
locative-role;['hargejsa', 'hargeisa'];Hargejsa
locative-role;['basel'];Basel (fr.
locative-role;['aleppo'];Aleppo
locative-role;['sewastopol'];Sewastopol
locative-role;['ho chi minh'];Ho Chi Minh – mjasto we Wjetnamje, stolica prowincyji Đông Nam Bộ a morsko hawyna nad Chińskim Morzym.
locative-role;['marsylijo', 'marseille'];Marsylijŏ (fr.
locative-role;['nice', 'nicea'];Nice (it.
locative-role;['lajpcik', 'leipzig'];Lajpcik (mjym.: Leipzig, gsob.
locative-role;['nürnberg'];Nürnberg – mjasto na prowach krysu we Mjymcach, we landźe Bajery.
locative-role;['lund'];Lund - mjasto we Szwecyji, we regijůńe Skańijo.
locative-role;['los angeles'];Los Angeles – mjasto we USA nad Uoceanym Spokojnym we stańy Kaliforńijo.
locative-role;['nagasaki'];Nagasaki – mjasto we Japůńiji, na wyspje Kiusiu, stolica prefektury Nagasaki.
locative-role;['stuttgart'];Stuttgart – mjasto na prowach krysu we Mjymcach, stolica landu Badyńijo-Wirtymbyrgijo.
locative-role;['pittsburgh'];Pittsburgh – mjasto we USA, we sztaće Pynsylwańijo, stolica hrabstwa Allegheny.
locative-role;['wrocłow', 'wrocuaw', 'wrocław', 'breslawia', 'bryslał'];Wrocław
locative-role;['jerez de la frontera'];Jerez de la Frontera - mjasto we Szpańiji, we autůnůmicznyj spůlnoće Andaluzyjo, we prowincyji Cadiz.
locative-role;['utrecht'];Utrecht – mjasto a gmin we Ńiderlandach, stolica prowincyji Utrecht.
locative-role;['wołgograd'];Wołgograd
locative-role;['pejtersburg', 'lyńingrad', 'sankt petersburg'];Pejtersburg (Sankt Petersburg, rus.: Санкт-Петербург, dowńi tyž Peterburg, rus.
locative-role;['pisa'];Pisa – mjasto we Italiji, we regijůńe Toskańijo, stolica prowincyji Pisa.
locative-role;['verona'];Verona – mjasto we Italiji, we regijůńe Ojganejsko Wynecyjo, stolica prowincyji Verona.
locative-role;['essen'];Essen – mjasto na prowach krysu we Mjymcach, we landźe Půłnocno Nadryńijo-Westfalijo.
locative-role;['recife'];Recife – mjasto we Brazyliji, stolica sztatu Pernambuco.
locative-role;['tanger'];Tanger (arab.
locative-role;['gdańsk'];Gdańsk (pol.
locative-role;['oaxaca', 'oaxaca de juárez'];Oaxaca de Juárez – mjasto we Meksyku, stolica sztatu Oaxaca.
locative-role;['leeds'];Leeds - mjasto we Wjelgij Brytańiji, we Ynglandźe, we hrabstwje West Yorkshire.
locative-role;['reading'];Reading – mjasto we Wjelgij Brytańiji, we Ynglandźe, we hrabstwje Berkshire.
locative-role;['hiroszima', 'hiroshima', 'hirošima'];Hiroszima (jap.
locative-role;['köln'];Köln – mjasto na prowach krysu we Mjymcach, we landźe Půłnocno Nadryńijo-Westfalijo.
locative-role;['můnako', 'mōnako'];Můnako, Kśynstwo Můnako (fr.
locative-role;['acapulco', 'acapulco de juárez'];Acapulco, połne mjano Acapulco de Juárez – mjasto we Meksyku, we sztaće Guerrero, morsko hawyna przi Pokojnym Uoceańe.
locative-role;['weimar'];Weimar – mjasto na prowach krysu we Mjymcach, we Turyngiji.
locative-role;['frankfurt am main', 'frankfurt nad mynym'];Frakfurt am Main - mjasto na prowach krysu we Mjymcach, we landźe Hesyjo.
locative-role;['syrbijo', 'syrbijŏ', 'syryjŏ', 'србија'];Syrbijo, Republika Syrbije to państwo we pouedńowyj Ojropje, powstoue 5 čerwca 2006 roku po rozpadźe Syrbije a Čornogůry.
locative-role;['liverpool'];Liverpool to je mjasto we zachodńij Angliji, położůne na půłnocnym brzygu estuaryjům rzyki Mersey.
locative-role;['łůdź', 'uůdź', 'łódź'];Łůdź – mjasto we centralnyj Polsce, stolica łůdzkigo wojewůdztwa, stanowi grodzki krys.
locative-role;['plac rozlygowańo', 'plac figury', 'pole powjeřchńi', 'pole wjyrchu', 'rozlygowańe', 'wjyrch rozlygowańo'];Plac rozlygowańo – mjara, kero wyrażůno ńyujemnům liczbům pado uo wjelgości figury we dwuwymjarze.
locative-role;['wodno hawyna', 'hawyna morsko', 'morsko hawyna'];Wodno hawyna (ze uać.
locative-role;['cannes'];Cannes – mjasto we Francyji, we regijůńe Provence-Alpes-Côte d’Azur, we departamyńće Alpes-Maritimes.
locative-role;['hanowery', 'hannover', 'hanower'];Hanowery, to je mjasto we Mjymcach, stolica landu Dolno Saksůńijo.
locative-role;['dubrovnik'];Dubrovnik
locative-role;['bordeaux'];Bordeaux – mjasto we Francyji, we regijůńe Akwitańijo, we departamyńće Gironde.
locative-role;['trondheim'];Trondheim – mjasto we Norwygiji nad zatokům Trondheimsfjorden wele ujśćo rzyki Nidelva.
locative-role;['newcastle upon tyne'];Newcastle upon Tyne - mjasto we Wjelgij Brytańiji, we Ynglandźe, we hrabstwje Tyne and Wear.
locative-role;['antwyrpijo'];Antwyrpijo (flam.
locative-role;['oran'];Oran (arab.
locative-role;['cádiz'];Cádiz - mjasto we Szpańiji, we autůnůmicznyj spůlnoće Andaluzyjo, stolica prowincyji Cádiz.
locative-role;['göteborg'];Göteborg – mjasto we Szwecyji, stolica regijůnu Västra Götaland.
locative-role;['ślůnsk', 'ślōnsk'];Ślōnsk (śl-mjym.: Schläsing, pol.: Śląsk, niēm.
locative-role;['alzacyjo'];Alzacyjo – (fr.
locative-role;['litwa'];Litwa (lit.
locative-role;['viña del mar'];Viña del Mar – mjasto we Czile, we regijůńe Valparaíso, nade Pokojnym Uoceanym.
locative-role;['blackpool'];Blackpool – mjasto we Wjelgij Brytańiji, we Ynglandźe, we hrabstwje Lancashire.
locative-role;['władywostok', 'vladivostok'];Władywostok (rus.
locative-role;['rostow na donu'];Rostow na Donu (rus.
locative-role;['wieś', 'wjeś', 'dźedźina', 'dźydźina'];Wieś (tyż dziedzina, dziydzina) – podle polskigo prawa "ôsadniczo jednostka ô zwartyj abo roztopiyrzōnyj zabudowie i istnych fōnkcyjach rolniczych abo zwiōnzanych s nimi usugowych abo turystycznych, bez praw praw miejskich abo statusu miasta" (art.
locative-role;['sheffield'];Sheffield – mjasto we Wjelgij Brytańiji, we Ynglandźe, we hrabstwje South Yorkshire.
locative-role;['smyntorz', 'kyrchof', 'kerchůw', 'kirchof', 'kirhof', 'smyntoř'];Smyntorz to je mjejsce wydźelůne do gracańo umartych.
locative-role;['syberyjo'];Syberyjo (rus.
locative-role;['zaragoza'];Zaragoza – mjasto we Szpańiji, stolica autůnůmicznyj spůlnoty Aragůńijo a prowincyji Zaragoza.
locative-role;['tebriz', 'tabriz'];Tebriz - mjasto we Irańe, stolica uostanu Wschodńi Azerbejdżan.
locative-role;['zachodńi brzyg'];Zachodńi Brzyg, dowńi Zachodńi Brzyg Jordanu, Cisjordańijo, we zdrzůdłach izraelskich mjanowany Judyjo a Samaryjo יהודה ושומרון - je tajla Palestyny, kero je uokupowano uod Izraela a je tajlům historycznych krajin Jydyjo a Samaryjo, na zachůd uod rzyki Jordan.
locative-role;['saksůńijo', 'saksōnijŏ'];Saksůńijo (mjym.
locative-role;['půstyńijo'];Půstyńijo – srogi plac, kery ńy pośado zwartyj mangi źelinůw skiż małowjelu uopadůw i choby roz a kedy wedle roku srogich tymperatůr luftu, bezcuż parowańe wody przewyżo manga uopadůw.
locative-role;['krakůw', 'krakowia'];Krakůw (pol.
locative-role;['dońeck'];Dońeck (ukr.
locative-role;['niżnij nowgorod'];Niżnij Nowgorod (rus.
locative-role;['düsseldorf'];Düsseldorf – mjasto na prowach krysu we Mjymcach, stolica landu Nadryńijo Půłnocno-Westfalijo.
locative-role;['são paulo', 'sao paulo'];São Paulo – nojsrogsze mjasto Brazylije a Połedńowyj Ameriki.
locative-role;['czasowo strefa', 'strefa časowo'];Czasowo strefa – wytyczůny wjyrch powjyrzchńi Źymje uo szerokośći 15° dugośći geograficznyj, kery rozćůngo śe połedńikowo mjyndzy bjygůnůma, we kerym urzyndowo uobowjůnzuje jednoki czas.
locative-role;['bari'];Bari – mjasto we Italiji, stolica regijůnu Apulijo a prowincyji Bari.
locative-role;['turyn', 'torino'];Turyn – mjasto we půłnocno-zachodńij Italije, stolica rygjůnu Pjymůnt.
locative-role;['chicago'];Chicago – mjasto we USA, pouožůne nad jeźorym Michigan we stańe Illinois.
locative-role;['minneapolis'];Minneapolis – mjasto we USA, nojsrogsze we sztaće Minnesota.
locative-role;['memphis'];Memphis – mjasto we USA, we sztaće Tennessee, śedźiba hrabstwa Shelby.
locative-role;['walijo'];Walijo (walij.
locative-role;['rotterdam'];Rotterdam – mjasto we Ńiderlandach, we prowincyji Połedńowo Holandyjo.
locative-role;['tórshavn', 'thorshavn'];Tórshavn – ferwaltůngowo stolica Faerskich Wyspůw a mo ůngyfer 19 500 mjyszkańcůw.
locative-role;['münchen', 'můnachijům', 'můnachjum'];München je mjasto we Mjymcach, stolica landu Bajery a rejyncyje Gůrne Bajery.
locative-role;['milano'];Milano - mjasto we Italiji, stolica regijůnu Lůmbardyjo a prowincyji Milano.
locative-role;['valparaíso'];Valparaíso – mjasto we Czile, we regijůńe Valparaíso, rozlygowane nad Pokojnym Uoceanym wele Andůw.
locative-role;['rio de janeiro'];Rio de Janeiro (port.
locative-role;['meszhed'];Meszhed - mjasto we Irańe, stolica uostanu Chorasan-e Razawi.
locative-role;['tel awiw-jafa'];Tel Awiw-Jafa (hebr.
locative-role;['stambuł', 'istanbuł', 'stambůu'];Stambůu (Istambůu, tur.
locative-role;['detroit'];Detroit – mjasto we USA, we stůńy Michigan, na půłnocnym brzygu rzyki Detroit, przi grańicy ze Kanadům.
locative-role;['saint louis', 'st. louis'];Saint Louis – mjasto na prowach hrabstwa we USA, we sztaće Missouri, na zachodńim brzegu rzyki Missouri.
locative-role;['nowy jork', 'new york'];Nowy Jork abo Mjasto Nowy Jork (ang.
locative-role;['karaczi', 'karāchi', 'karači'];Karači, Karaći - nojsrogše mjasto we Pakistańe, we pouedńowyj tajli kraju, nad Mořym Arabskim, na půunocnym kraju delty Indusu.
locative-role;['filadelfijo', 'philadelphia'];Filadelfijo, ang.
locative-role;['guayaquil', 'santiago de guayaquil'];Guayaquil, połne mjano: Santiago de Guayaquil - nojsrogsze mjasto we Ekwadůrze, stolica prowincyji Guayas.
locative-role;['gasansztalt'];Gasansztalt je industryjo, kero zajimo śe uodgasowowańym kamjůnnygo wůngla, coby uotrzimać uosobliwje wůnglowy gas, kery potym przerobjo śe na mjejski gas.
locative-role;['wynecyjo', 'wenecyjo'];Wynecyjo – mjasto we Italiji, stolica regijůnu uo tym samym mjańe, rozlygowano nad Adrijatyckim Morzym.
locative-role;['kapsztad'];Kapsztad (afr.
locative-role;['sahara'];Sahara to je strefa pustynno we půunocnyj Africe a nojwjynkšo pustyńijo na śwjeće.
non-agentive-physical-object;['galoty'];Galoty – wjyrchńo tajla uoblyczyńo kero uosłańo a skrywo korpus czowjeka uod bjoder ku spodkowi.
non-agentive-physical-object;['piracko fana', 'jolly roger'];Piracko fana to je fana używano uod piratůw, kero przedstawjo zauobycz na czornym tle bjoło trupjo czaszka a dwa skrziżowane gnaty.
non-agentive-physical-object;['autobana'];Autobana to je cesta przeznaczůno ino do ruchu autůw a inkszych pojazdůw, kere poradzům jechać przez 25 km/h, ze wykluczyńym bauerskich ćůngńikůw.
non-agentive-physical-object;['fuzekle', 'zoka', 'zoki'];Fuzekle, inakszy zoki to je elymynt uobleczyńo noszůny jednako bez chopůw a baby na szłapach.
non-agentive-physical-object;['celtycki krziż'];Celtycki krziż (ang.
non-agentive-physical-object;['binder'];Binder to je uozdobny elymynt chopskigo uoblyczyńo, mo forma gurtu materyje, kery śe wjůnże a zakłodo nauobkoło karku, przi uobujku.
non-agentive-physical-object;['sarůng', 'sarong'];Sarōng to je zorta kecki noszōnyj jednako ôd bŏb i chopōw na Malajach.
non-agentive-physical-object;['klajd'];Klajd to je wjyrchńe babske jednotajlowe uobleczyńe, kere uokrywo ćało uod barůw aże po nogi, ńykej tyż rynce.
non-agentive-physical-object;['waserlajtůng'];Waserlajtůng to je insztalacyjo kero skłodo śe ze systymu rułůw, kokotkůw a zaworůw.
non-agentive-physical-object;['ancug'];Ancug (mjym.
non-agentive-physical-object;['sůmbrero', 'sombréro'];Sůmbrero (uod szp.
non-agentive-physical-object;['ancug'];Ancug (mjym.
non-agentive-physical-object;['mycka'];Mycka – uobleczyńe kere zakłodo śe na gowa, bajstlowane sům bezma zowdy s roztomajtych mjynkich matyrjołůw
non-agentive-physical-object;['krůnlojter'];Krůnlojter to je uřůndzyńe uośwjetlyńowe, nojčyńśćij dźouojůnce na štrům, kere je podwjyšane pode gipsdekům.
non-agentive-physical-object;['szlagzana', 'šlagzana'];Szlagzana to je śmjytana, kero mo nojczyńśći wjyncy kej 30% fetu a je nafilowano luftym.
non-agentive-physical-object;['kragel'];Kragel, kragiel – szykowno tajla uoblyczyńo, jigo gůrno kůńcůwka przi szyji, stale skůplowano ze ubjorym.
non-agentive-physical-object;['glazyjki', 'handszuiczki', 'handszuy', 'handszůły'];Glazyjki to je zorta uobleczyńo, kero nakłodo śe na rynce.
non-agentive-physical-object;['tepich'];Tepich to je zorta tkaniny dekoracyjnyj, kerōm pokrywŏ sie nojczyńścij zŏl we izbie, rzŏdzij ściany.
non-agentive-physical-object;['zauszńica'];Zauszńica – zdobno zawjyszka do uszůw uod baby, nale roz za czas je do trefjyńo tyż u chopůw abo we inkszych tajlach ćała.
non-agentive-physical-object;['prawo drůgi'];Prawo drůgi to we žyglůdze zbjůr prawiduůw ruchu žyglůgowygo na poščygůlnych drůgach wodnych.
non-agentive-physical-object;['kłobuk', 'hut'];Kłobuk je elymynt uobleczyńo kery zakłodo śe na gowa.
non-agentive-physical-object;['wapyn'];Wapyn (mjym.
non-agentive-physical-object;['lojbik', 'bisenhalter', 'bistynhalter', 'cycynhalter'];Lojbik, inakszy bistynhalter, cycynhalter, pot.
non-physical-collection;['dane'];Dane
non-physical-collection;['religijo', 'religja'];Religijo – systym wjerzyń i praktyk, uokreślajůncy relacyjo jydnostki do roztomajće pojmowanyj sfery sacrum, jyli śwjyntośći i sfery boskij.
non-physical-collection;['můnotejizm'];Můnoteizm (s greckigo μόνος) monos – "jedźiny" + θεός theos – "bůg". jydynobůstwo) – wjara we istńyńy jedźinygo Bůga, we přećiwjyństwje do hynoteizmu wyklučajůnco istńyńy jakychkolwjek inkšych istot boskych.
non-physical-collection;['islam'];Islam – můnotejistyczno religijo, kero zołożůł Mahůmet.
non-physical-collection;['judajizm'];Judajizm – religijo můnotejistyčno, kero ukštoutowoua śe we II tyśůncleću p.n.e.
non-physical-collection;['ius soli'];Ius soli (śl.
