abstract-quality;['شخصیت'];شخصیت یا شخسیت مفهومی کلی هسه که معانی مختلفی داینه.
geographical-object;['ئوشار پائلو آفونسو'];ئوشار پائلو آفونسو ئوشاری هسته که برزیل درون واقع بَیی‌یه و ونه کلی ارتفاع ریزشگاه، 275 پا هسته.
geographical-object;['توگلا'];توگلا اتا ئوشار نوم هسه که جنوبی آفریقا دله دره.
geographical-object;['عربئون جزیره مونا', 'عربستون جزیره\u200cمونا', 'عربستون جزیره مونا'];عربستون ِجزیره مونا که جزیرة العرب نوم جه معروفه، اتا جزیره مونا نوم هسه که آسیای ِغربی‌جنوب وَر دره.
geographical-object;['سینا جزیره\u200cمونا', 'سینا جزیره مونا'];شِمه منظور شاید اینتا بی‌بائه: سینا.
geographical-object;['آناتولی'];پچوک ِآسیا یا آناتولی اتا جزیره مونا نوم هسه که تورکیه دله دره.
geographical-object;['ایبری'];ایبری اتا جزیره مونا نوم هسه که ئوروپا غربی جنوب ور دره.اینتا جزیره مونا گتی ۵۸۱۰۰۰ کیلومترموربع هسه.
geographical-object;['سیو دریا'];سیو دریا اتا دریای ِنوم هسه آسیا و اوروپا میون دره.
geographical-object;['بالتیک دریا'];بالتیک اتا دریا نومه که لهستون و آلمان شمال دره.
geographical-object;['یوسمیت', 'yosemite falls', 'يوسميت'];یوسمیت اتا ئوشار نوم هسه که موتحده ایالات دله دره.
geographical-object;['فارس دریامونا', 'خلیج فارس', 'خليج فارس', 'فارس خليج', 'فارس خلیج'];خلیج عربی یا عرب دریامونا ئوراهی هسه که امتداد عومان دریا دره و میون ایران و شبه جزیره عربستان قرار دارنه.
geographical-object;['چین جنوبی دریا'];چین جنوبی دریا چین ِکشور ِجنوب‌شرق دره.
geographical-object;['کریمه', 'کریمه جزیره مونا', 'شبه جزیره کریمه', 'کیریمه'];دیگه کاروری ئون سر کریمه ره بوینین.
geographical-object;['ئوشار توین'];ئوشار توین ئوشاری هسته که East of Twin Falls and Shoshone Falls درون واقع بَیی‌یه و ونه کلی ارتفاع ریزشگاه، ۲۰۰ ft هسته.
geographical-object;['ویکتوریا', 'ويکتوريا'];‏۲۴″ ۵۱′ ۲۵°شرقی ‏۲۸″ ۵۵′ ۱۷°جنوبی
geographical-object;['ماکرون دریو', 'عمان دریا', 'ئومان دریو', 'عمان دریو', 'عومان دریا'];عمان دریا یا ماکرون دریو اتا ئو جا هسه که هند اوقیانوس ره چلّه هسته.
geographical-object;['کارائیب دریا', 'کارائیب', 'کاراییب'];کارائیب دریا میونی آمریکای شرق دره.
geographical-object;['مکزیکو دریامونا', 'مکزیک دریامونا'];مکزیکو دریامونا دنیا دله گت‌ترین دریامونا هسه.
geographical-object;['شمال دریا'];شمال دریا یا کیلیسا دریو اینگلیس شرق و بلژیک شمال دره.
geographical-object;['ژاپون دریا', 'جاپون دریا'];جاپون دریا اتا دریائه كه جاپون غرب و کره جزیره‌مونای شرق دره.
geographical-object;['مکونگ', 'mékong'];مکونگ اتا درکا هسه آسیا شرقی جنوب دله.
geographical-object;['جنوبگان'];جنوبگان زمین جنوب قاره است.
geographical-object;['گت بريتانيا جزيره'];گت بریتانیا جزیره اتا جزیره نوم هسه که بریتانیای ِکشور ونه دله دره.
geographical-object;['آمریکا', 'آمریکا قاره', 'amərika', 'آمریکای قاره'];شمه منظور شاید اینتا بی بوء: متحده ایالات آمریکا
geographical-object;['چین شرقی دریا'];چین شرقی دریا چین شرق ژاپون جنوب دره.
geographical-object;['اطلس اوقیانوس', 'اطلس اقیانوس'];اطلس اوقیانوس یا آتلانتیک ِاوقیانوس اروپا، آفریقا و آمریکا میون دره.
geographical-object;['میشیگان دریاچه'];میشیگان دریاچه اتا از دنیا گت‌ترین دریاچه ئون هسه.
geographical-object;['آنجل'];آنجل اتا ئوشار نوم هسه که ونزوئلا دله دره.
geographical-object;['سوپریور'];سوپریور دنیا گت‌ترین دریاچه هسه بعد مازرون دریا.اینتا دریاچه شمالی آمریکا منطقه دله ، موتحده ایالات و کانادا میون دره.ونه گتی ۸۲۴۰۰کیلومتر مربع هسه.ونه جولی ۱۰۲۴ متر هسه.گت بندرئونی که ونه میون درنه وشون نوم هسه: تاندربی،سولت سنت ماری دولوت.
geographical-object;['ویکتوریا دریاچه'];ویکتوریا دریاچه اتا گت دریاچه هسه آفریخا قاره دله.
geographical-object;['آروم اوقیانوس', 'آروم اقیانوس'];آروم اوقیانوس دنیای گت‌ترین اوقیانوس هسه که آسیا و آمریکا میون دره.ونه گتی 166 ملیون کیلومتر مربع هسه.دریائونی که ونه او جا هسنه: برینگ،اختسک،ژاپن،چین،مرجان وتاسمانی.
geographical-object;['یانگ تسه کیانگ'];یانگ تسه کیانگ اتا درکا هسه چین کشور دله.
geographical-object;['نروژ دریا'];نروژ دریا شابلون:نروژی جه، اتا دریا شمالی اطلس اوقیانوس دله هسته.
geographical-object;['هوکایدو جزیره', 'هوکايدو جزيره', 'هوکایدو'];هوکایدو جاپون دومین گتِ جزیره هسته که ونه گتی ۷۵۰۶۶ کیلومترموربع هسه.
geographical-object;['اونتاریو', 'ontareyo'];Ontäru attä deryaçe hase şəmäly ämrykä məntəqe dele.vene gaty ۱۹۵۰۰ km u vene july ۶۱ m hase.
geographical-object;['نیاگارا', 'نياگارا'];نیاگارا که وه ره هورس شو هم گانّه، اتا ئوشار نوم هسه که کانادا و آمریکا سامون سَر دره.
information-realization;['بمردن ماسک'];بمردن ماسک موجستمه‌یی هسته از جنس گچ یا موم که پس از بمردن اتا آدِم، ونه صورت جه به روش ریخته‌گری سازنّه.
information-realization;['رمان', 'رمان\u200cنویس'];رُمان اتا بنویشته ره گانّه که داستانی هسته و ونه قالب نثر جه هسته.
information-realization;['ریک'];ریک‌بکاردن اتا حالت آدِم چهرهٔ جه هسته که با تکون بخاردِن عضلات نزدیک به دِتا گوشهٔ داهون شکل گنّه.
information-realization;['تروا اسب', 'تروآ اسب', 'تروی اسب'];شِمه منظور شاید اینتا بی‌بائه: تروا.
information-realization;['خط'];خط اتا چیز هسه که ونه جا آدم اون چی ره که گنه تونه بنویسه.آدم بعد اینکه حرف بزوئن ره یاد بیته و متمدن بیه اینتا وسر که شه دانش همیشه وسر حفظ هکنه خط ره درست هکرده.خط اون زمون جا که درست بیه تا اسا چند جور بیه.
information-realization;['تنظیم', 'تنظیم کر', 'تنظیم گر', 'تنظیم\u200cکر', 'تنظیم\u200cگر'];تنظیم، موسیقی دله، ئه‌ت مرحله دنبالتر از آهنگ بساتن هسته.
information-realization;['اپلیکیشن'];کاربردی نرم‌افزارون که وشون ره انگلیسی دله اپلیکیشن یا اَپ گانّه ات‌تی نرم‌افزار هستنه که مستقیماً کامپیوتر ِمنابع و قابلیتون جه کاری که کارور خانه ره کانّه.
information-realization;['فرهنگنومه', 'فرهنگنامه'];شمه توننی اته فرهنگ نامه دله اته خله چیز پیدا هکنین.
information-realization;['رنگ'];رنگ مجموعه ای از نت‌ها هسته گه هر گادر هدی پشت سر انه، شنونده وشون ره بعنوان ئه‌تا واحد مجموعه اشمارنه.
information-realization;['ساز', 'موسیقی'];ساز ئه تا هنر ره قسمت وونه که میون ونگ و سکوت دخالت کانده، ساز ره بتونده نن همه جور وسه بازوئن، تونن ئه روسی سر، تیلویزیون سر و دیگه چیزون کار واندن، وه فرهنگ تا فرهنگ و ملت تا ملت فرق کانده.
information-realization;['سما', 'sema', 'səma', 'سه ما', 'سه\u200cما'];سِما که فارسی دله وه ره رقص گنه هماهنگ حرکاتی هسه که ادم حالت بیان وسه به کار شونه.
information-realization;['انجیل', 'ئه\u200cنجیل'];انجیل مسیحیون ره مقدس کِتاب هسته.
information-realization;['نشریه'];نشریه به اثری بائوته وانه که به طور دوره‌ای نسخهٔ جدیدی از وه منتشر بواشه.
information-realization;['اویستا', 'avestā', 'evista'];اویستا زردشتیون ر مقدس کیتاب هسه که شیش تا بخش دارنه : گاهون, یسنا, یشتون, وندیداد, ویسپرد و خورد اوستا.
information-realization;['قرآن', 'quran', 'قورآن'];قرآن یا قوران اسلام ِآسمونی کتاب هسته.
information-realization;['تورات', 'ته\u200cئورات'];تورات یهودیون ره مقدس کیتاب هسه که وشون تاریخ و عقاید و شریعت ره در بر گیرنه.
language;['ژرمنی', 'ژرمنی زوونون'];ژرمنی اتا چلّه زوونون اروپایی جه هسه که غرب و میونی اروپای درون ونجه گپ زنّه.
language;['اسلاوی زوونون', 'ایسلاوی', 'اسلاوی زبون'];اسلاوی اتا زوونی رج، اروپایی زوونون جه هسه که وه ره اروپای شرق‌وَر گپ زنّه.
language;['بنگالی', 'بنگالی زوون'];بنگالی اتا هندو-ایرانی زبون هسه که بنگلادش کشور رسمی زبون هسه.
language;['آسی', 'اسی زوون', 'اوستی'];آسی یا اوسِتی اتا ایرانیج زوون هسته که شرقی چلّه دله دره و هنتا قفقاز دله روسیه و گرجستون میون ونجه گپ زنّه.
language;['گرجی', 'گرجی زوون', 'گورجی زوون'];گرجی زوون أتا قفقازی زوون هسه که گرجستون دله ونجه گپ زنّه.اینتا زوون ادبیات خله خار و کوهنه هسه.
language;['نروژی', 'نروژی زوون'];نروژی زوون در اصل دِتا زوون نوم هسته که نروژ ِکشور دله گپ بَزه وانه.
language;['سوئدی', 'سوئدکی'];سوئدی اتا ژرمنی زبون هسه که سوئد کشور دله وه ره گنش کننه.
language;['تورکی', 'ترکی', 'تورکی زوونون', 'ترکی زوون', 'ترکی زوونون'];ترکی اتا زوون هسه که ترک تبارون وه ره گنش کنّه.
language;['زوون', 'زوان\u200e', 'zivan', 'zivun', 'ziwan', 'زبون'];شابلون:تمیزکاری ziwan hesse etta sistem, Kar vandenen temas bayten re, Darne etta deste del sar xas nemayan u etta deste ghevanin ke vand dene iv deste nemayan re.
language;['ایستانبولی تورکی', 'ایستامبولی ترکی', 'استامبولی ترکی', 'ترکی استامبولی'];ایستانبولی ترکی اتا ترکی زبون نوم هسه که ترکیه کشور رسمی زبون هسه اینتا زبون ترکیه دله گنش بونه و ونه قدیمی نوم عثمانی ترکی بی‌یه.
language;['اسپرانتو'];اسپرانتو زوون زوون علمی یا زوون بساته‌بیی جهون هسته.
language;['اینترلینگوا زوون', 'interlingua'];اینترلینگوا اتا زوون میونجی بین‌المللی هسته که سال ۱۹۵۱ میلادی توسط موسسه زوون میونجی بین‌المللی انتشار پیداهاکرده.
language;['ایدو', 'ido'];ایدو زوونی بساته‌بیی هسته که پس از اسپرانتو بنشنه وه ره پراهمیت‌ترین زوون بساته‌بیی جهون بدونستن.
language;['رومانیایی', 'رومانیجی'];رومانیایی اتا رومی‌تبار زبون هسه که رومانی و مولداوی کشور دله وه ره گنش کننه.
language;['اینگلیسی زبون', 'انگلیسی', 'انگلیسی زبون', 'انگلیسی زوون', 'اینگیلیسی', 'اینگیلیسی زبون', 'اینگیلیسی زوون'];اینگیلیسی یا انگلیسی اتا گت زبون دنیا هسه.
language;['پشتو'];پشتو زوون یا پشتوجی اتا ایرانیجی زبون هسه که افغانستون جنوب ور و پاکستون شمال ور وه ره گنش کننه.
language;['کوردی', 'کردی زوون', 'کوردی زوون'];کوردی زوون طیفی از گویش‌ئونی هستنه که کوردون ونجه گپ زنّه.
language;['لاتین'];لاتین زبون اتا چلّه اوروپایی زبونون جه هسه که اروپای دله ونجه گپ زنّه.
language;['چینی زوونون'];شابلون:Infobox language
language;['نینورسک'];نینورسک، نونورسک یا نونوشکیا که وه ره ترنه نروژی هم گانّه اتا چلّه ژرمنی زوونون جا هسته و اتا از دِتا رسمی زوونی هسته که نروژ دله درنه.
language;['کره\u200cیی', 'کوره ای'];کره‌یی یا کوره‌یی جنوبی کره و شمالی کره رسمی‌زوون هسته.
language;['ماندارین', 'چینکی', 'چینی زوون'];ماندارین اتا زبون هسه که چین کشور دله وره گنش کننه.
language;['مانکس زوون', 'مانکس', 'مانکسی', 'مانکسی زوون'];مانکس زوون اتا زوونه که گویدئیک زوون‌ئون زیرچلّه‌ئون جه هسته.
language;['گالیک', 'اسکاتلندی گالیک', 'اسکاتلندی گالیکی', 'گالیک اسکاتلندی', 'گیلیک'];گالیک اسکاتلند بومی زوون هسته.
language;['پنجابی'];پنجابی اتا هندو ایرانی و یونانی زبون هسه که هند و پاکستون دله وه ره گنش کننه.
language;['فارسی', 'farski', 'زوون فارسی', 'فارسی زبون', 'فارسی زوون', 'پارسی'];فارسی اتا هندواروپایی زوون هسته که جنوب‌غربی ایرانیج ِچلّه دله دره.
language;['ایرانی زوونون', 'ايرانی زوون', 'ایرانیج زوون', 'ایرانیج زوونون'];ایرانیج زوونون اتا چلّه هندوایرانی زوونون جه هسته.
language;['هندی زوون', 'گت صفحه'];هندی زوون أتا زوون نوم هسه که هند شمال و میون دله گنشور دانّه.
language;['زبان مائوری', 'مائوری'];مائوری یا ته رئو مائوری نیوزیلند ِمردم بومی زوون هسته و اتا از رسمی زوونون این کشور هسته.
language;['اردو', 'urdû'];اُردو پاکستون ِملی زوون و اتا از ۲۲ زوونی هسته که هند دله ملی زوون هستنه.
language;['ایسپانیولی', 'اسپانیایی', 'اسپانیولی', 'اسپینیجی', 'اسپینیجی زوون', 'ایسپانیایی'];ایسپانیولی یا اسپینیجی اتا لاتین زبون هسه.
language;['عربی', 'ئربی', 'عربی زوون'];عربی أتا زوون نوم هسه که آسیا قرب دله و آفریخا شه‌مال دله وه ره گپ زنه‌نه.اینتا زوون گنش کرون ۶۵ میلیون نفر توم ویشتر هسه.عربی زوون أتا سامی زوون هسه که خله زوونون ره دﻩنیا دله تأثیر به‌شته.اینتا زوون خله واژه‌ئون مازرونی و فارسی و دیگه ایرانیج زوونون دله درنه.مازرونی زوون أتی ادبیات عربی کیتابونی هسه‌نه که اینتا زوون جا دگاردندی بینه.قورآن که ایسلام موقددس کیتاب هسه اینتا زوون جا بنویشت بیه.عربی زوون ادبیات و وﻩنه چه‌کوت خله شه‌کوفا هسه.اینتا زوون ده تا کشور ویشتر زوون هسه.
language;['مقدونی'];مقدونی اتا اسلاوی زوون هسته که بالکان ِمنطقه دله گپ‌کر دارنه.
language;['چکی'];چکی اتا اسلاوی زوون هسه که چک جمهوری دله ونجه گنش کنّه و اینتا زوون چک جمهوری رسمی‎زوون هسه.
language;['بلاروسی'];بلاروسی اتا از دِتا رسمی زوون بلاروس هسته.
language;['روسی', 'روسکی', 'روسی زبون', 'روسی زوون'];روسی اتا اسلاوی زوون هسه که روسیه کشور دله ونجه گنش کنّه.
language;['آلمانی زبون', 'آلمانی', 'آلمانی زوون'];آلمانی زبون اتا اوروپایی زبون هسه که اورپا دله سه تا کشور مردم وه ره گنش کننه.
locative-role;['فلورانس', 'فیرنتزه'];فلورانس ، اتا از تاریخی شهرون و قشنگ ایتالیا هسته و هنتا نیشتنگاء ناحیه توسکانی ایتالیا حساب وونه.
locative-role;['کیوتو'];کیوتو اتا شهر نوم هسته که جاپون ِکیوتو استان دله دره.
locative-role;['ئوشار گریت میسوری'];ئوشار گریت میسوری ئوشاری هسته که ایالات متحده آمریکا درون واقع بَیی‌یه و ونه کلی ارتفاع ریزشگاه، ۱۸۷ ft هسته.
locative-role;['لیون', 'lyon'];لیون شابلون:به فرانسوی اتا شهر نوم هسته که فرانسهِ رون دله دره.
locative-role;['شنیانگ', 'شنيانگ'];شنیانگ يا شِن‌یانگ أتا شهر نوم هسه چین دله دره.
locative-role;['لنکاستر', 'لنکستر'];لنکاستر اتا شهر نوم هسته که بریتانیا دله دره.
locative-role;['هرگیسا', 'hargeisa', 'ھرگیسا'];هرگیسا اتا شهره که سومالی‌ئه دومین شهر هسته و سومالی‌لند نیشتنگائه.
locative-role;['حلب'];حلب أتا شهر نوم هسه سیریا دله دره.
locative-role;['ادیرن'];ادیرن ، یک شهر در بخش اروپایی ترکیه است.
locative-role;['هوشی مینه سیتی'];هوشی مینه سیتی أتا شهر نوم هسه که ویتنام دله دره.
locative-role;['مارسی'];مارسی أتا شهر نوم هسه که فرانسه دله دره.
locative-role;['نیس'];نیس شابلون:به فرانسوی اتا شهر نوم هسته که فرانسهِ آلپ-ماریتیم دله دره.
locative-role;['بوسان', 'busán'];بوسان أتا شهر نوم هسه جنوبی کوره دله دره.
locative-role;['لس آنجلس'];لس آنجلس أتا شهر نوم هسه که موتحده ایالات دله دره.
locative-role;['فوکوئوکا', 'fukuoka'];فوکوئوما اتا شهر نوم هسته که جاپون ِفوکوئوکا استان دله دره.
locative-role;['ناگازاکی', 'nagasaki', 'ناکازاکی'];ناگازاکی اتا شهر نوم هسته که جاپون ِناگازاکی استان دله دره.
locative-role;['سن پترزبورگ', 'سن\u200cپترزبورگ'];سن پترزبورگ اتا از شهرهای روسیه هسِّه.
locative-role;['مکه'];مَکّه اتا شهر نوم هسته که سعودی عربستون ِدله دره.
locative-role;['اورلئان', 'orlèans'];اورلئان اتا شهر نوم هسته که فرانسهِ لوآره دله دره.
locative-role;['لیدز', 'leeds'];لنکاستر اتا شهر نوم هسته که بریتانیا دله دره.
locative-role;['هیروشیما', 'hiroshima'];هیروشیما شابلون:جاپونی جه اتا شهر نوم هسته که جاپون ِهیروشیما استان دله دره.
locative-role;['غزه'];غزه اتا باریکه هسته که مدیترانه دریا پَلی و خاورمیونه‌یِ منطقه دله دره.
locative-role;['بیزانس'];بیزانس یا شرقی روم ِامپراتوری أتا امپراتوری نوم بی‌یه که وسطا قرون دله أمروزی ترکیه و یونان ره شامل بی‌یه.
locative-role;['پروس'];پروس اتا کچیک ایمپراتوری نوم بی‌یه که ۵۰۰ تا ۱۰۰ سال پیش اروپا میون دیّه.
locative-role;['بروتاین', 'برتانی', 'بریتانی'];بروتاین یا برتانی اتا تاریخی استان و فرهنگی منطقه فرانسه دله هسته.
locative-role;['اسکاندیناوی'];اسکاندیناوی اتا فرهنگی-تاریخی منطقه اروپای شمال دله هسته که ۳ تا کشور ونه دله هستنه. اینتا منطقه مردمونِ وایکینگ نژاد جه هستنه.
locative-role;['پرل هاربر', 'pearl harbor'];پرل هاربر اتا بندر بی‌یه که مجمع‌الجزایر هاوایی دله دیّه.
locative-role;['صربستون', 'صربستان'];|
locative-role;['کیتاکیوشو، فوکوئوکا', 'kitakyūshū'];کیتاکیوشو اتا شهر نوم هسته که جاپون ِفوکوئوکا استان دله دره.
locative-role;['ساپورو', 'sapporo'];ساپورو أتا شهر نوم هسه جاپون دله دره.
locative-role;['كلان شهر'];کلانشهر که با عنوان مارشهر یا متروپولیس metropolis هم بشناسی بونه عنوانی هسه که در مورد گت و پرجمعیت شهرون به‌کار شونه.
locative-role;['لیورپول', 'líverpool'];لیورپول اتا شهر نوم هسته که بریتانیا دله دره.
locative-role;['کینگستن هال', 'kingston upon hull'];کینگستن هال اتا شهر نوم هسته که بریتانیا دله دره.
locative-role;['قفقاز'];قفقاز ناحیه‌یی میون مازرون دریا و سیو دریا هسته.
locative-role;['وراکروس', 'veracruz'];وراکروس ‏ مکزیک ِاتا از سی و یِتّا ایالت هسته که ونه نیشتنگا شهر خالاپا هسته.
locative-role;['گتی'];شابلون:هندسه 'گـَتی یا مساحت اتا اصطلاح هسته که مَیـِّن کانده اتا سطح، که دِبُعدی هسته، چنده گتی هسته و چنده جا ره گیرنه.
locative-role;['کن', 'cannes'];کن اتا شهر نوم هسته که فرانسهِ آلپ-ماریتیم دله دره.
locative-role;['هانوفر', 'hannover'];هانوفر أتا شهر نوم هسه که آلمان دله دره.
locative-role;['بوردو', 'bordeaux'];بوردو اتا شهر نوم هسته که فرانسهِ ژیروند دله دره.
locative-role;['نیوکاسل', 'newcastle upon tyne'];نیوکاسل اتا شهر نوم هسته که بریتانیا دله دره.
locative-role;['سیلزی'];سیلزی یا سیلیزیا اتا تاریخی منطقه مرکزی اروپا دله هسته که ونه ویشتر جائون لهستون دله دکته و ونه اتی بخش هم چک جمهوری و آلمان دله دره.
locative-role;['لیتوانی'];| لیتوانی اتا کشور هسته که اروپای ِشمال‌شرقی و بالتیک ِمنطقه دله دَره که وه شمال جه لتویا ره، مشرق و جنوب شرقی جه بلاروس ره، جنوب جه لهستون ره، جنوب‎غربی جه روسیه‌ی ِکالینینگراد ره و غرب جه بالتیک دریا ره وَر خانّه.
locative-role;['ولادی\u200cوؤستؤک', 'vladivostok', 'وەلادی\u200cوؤستؤک'];ولادی‌وستوک اتا شهر نوم هسه که روسیه شرق سامون دله جا دانه، وه شومالی کره و چین پلی دره.
locative-role;['شفیلد', 'sheffield'];شفیلد اتا شهر نوم هسته که بریتانیا دله دره.
locative-role;['شهرک صنعتی'];شهرک صنعتی، روستائی هسه از توابع بخش مرکزی شهرستان آمل در استان مازندران ایران.
locative-role;['تبریز', 'tabriz'];تبریز شهر شرقی آذربایجان اوستان ره نیشتگاه هسته و ونه جمیت ۱٬۳۷۸٬۹۳۵ نفر هسته.
locative-role;['پرسپولیس', 'persépolis'];پرسپولیس اتا کارتونی فیلم هسه که مرجانه ساتراپی وه ره، شه زندگی خَوِری بِساته.
locative-role;['کشمیر'];کشمیر اتا منطقه‌ی اسم هسته که زمونی شه هیمالیای حکومت وِن دله دَیی‌یه و اسا ونه سَر چین ، هند و پاکستون هکش-دکش دارنه.
locative-role;['صحرا'];سَرا یا سَهرا دشت یا جایی ره گانه که ات‌چی کشت کانّه.
locative-role;['بریستول', 'bristol'];بریستول اتا شهر نوم هسته که بریتانیا دله دره.
locative-role;['اوساکا', 'ôsaka'];اوساکا اتا شهر نوم هسته که جاپون ِاوساکا استان دله دره.
locative-role;['بینجستون'];بینجستون ئه‌تا تکه زمین هسته گه ون دله دونه کارنّـــــــه.
locative-role;['سائوپائولو', 'sâo paulo'];سائوپائولو أتا شهر نوم هسه که برزیل دله دره.
locative-role;['بالتیک حوزه کشورون', 'بالتیک'];بالتیک ِدریای ِحوزه‌ی ِکشورون اروپای ِشمال‌شرق دله درنه و کشورون لیتوانی، لتونی و استونی هستنه.
locative-role;['عقبه'];عقبه اتا شهر نوم هسته اردن ِعقبه استان دله دره.
locative-role;['شیکاگو', 'chicago'];شیکاگو أتا شهر نوم هسه که متحده ایالات ِایلینویز دله دره.
locative-role;['ممفیس', 'memphis'];ممفیس أتا شهر نوم هسه که متحده ایالات دله دره.
locative-role;['ولز'];|
locative-role;['لابرادور', 'labrador'];لابرادور اتا جزیره مونا نوم هسه که شمالی آمریکا و کشور کانادا دله دره.
locative-role;['سمرکنده', 'samarkand', 'سأمأرکه\u200cنده', 'سمرقند'];سأمأرکه‌نده أتا شهر نوم تاجیک زبان هسه اوزبکئون دله دره.
locative-role;['آمریکای کنفدراسیون', 'آمریکا مؤتلفه ایالات', 'آمریکا موتلفه ایالات', 'آمریکا کنفدراسیون', 'آمریکا کنفدراسیون ایالات', 'آمریکای مؤتلفه ایالات', 'آمریکای موتلفه ایالات', 'آمریکای کنفدراسیون ایالات'];آمریکایِ کنفدراسیون ِایالات یا آمریکایِ مؤتلفه ایالات یازّه‌تا جنوبی ایالت نوم بی‌یه که آمریکای متحده ایالات جه میون سال‌های ۱۸۶۱ تا ۱۸۶۵ میلادی سیوا اداره بینه.
locative-role;['خاورمیونه'];خاورمیونه Middle East اتا منطقه هسته که مدیترانه و فارس دریامونا وسط کَته.
locative-role;['ناها، اوکیناوا', 'naha'];ناها اتا شهر نوم هسته که جاپون ِاوکیناوا استان دله دره.
locative-role;['والپرایزو', 'ولپریسو', 'valparaiso'];ولپریسو تا شهر نوم هسه که شیلی.
locative-role;['ریو دو ژانیرو', 'rio de janeiro'];ریو دو ژانیرو أتا شهر نوم هسه که برزیلدله دره.
locative-role;['مشهد'];مشهد شهر رضوی خـِراسون اوستان ره نیشتگاه هسته و ونه جمیت ۲٬۴۱۰٬۸۰۰ نفر هسته.
locative-role;['میون رودون', 'بین النهرین'];بین‌النهرین أتا سرزمین هسه میونی آسیا دله که اسا اوزبکستون نوم ئِشت بونه.
locative-role;['استامبول', 'استانبول', 'ایستامبول'];استامبول یا استانبول ‏ ترکیه گت‌ترین شهر و ونه فرهنگی و اقتصادی مرکز هسته.
locative-role;['دیترویت'];دیترویت أتا شهر نوم هسه که موتحده ایالات دله دره.
locative-role;['نیویورک'];نیویورک أتا شهر نوم هسه که موتحده ایالات دله دره.
locative-role;['کراچی', 'karāchi', 'کراچي'];کراچی أتا شهر نوم هسه که پاکئون جنوب ور دره.اینتا شهر پاکئون ایقتصادی نیشته‌گا هسه.
locative-role;['فیلادلفیا'];فیلادلفیا أتا شهر نوم هسه که موتحده ایالات دله دره.
locative-role;['لاتین آمریکا', 'جنوبی آمریکا'];لاتین آمریکا یا جنوبی آمریکا اتا منطقه هسه آمریکا قاره دله.
mental-object;['ذهن'];ذهن یا روان نمودی هوش و آگاهی تجربی جه هسته که بنا به تعاریف، مرکب اندیشه، درک، حافظه، احساس، میل، تخیل و کلیه فرآیند شناخت ناخودآگاه هسته.
mental-object;['دانش', 'elm / علم', 'علم'];اتا دیدگاه جا هر دانش و فعالیت سیستماتیک علم هسه.
method;['اتوکراسی', 'اتوکرات', 'اتوکراتی'];اتوکراسی اتی حکومتون نوم هسته که ات نفر تمومِ قدرت و اختیارات ره مملکت دله بَییته و شه میس دله دارنه.
method;['دموکراسی'];دموکراسی اتا یونانی وآزه هسه که معنی مازرونی بونه مردم سالاری.
method;['تئوکرات', 'تئوکراتی', 'تئوکراسی'];تئوکرات یا ملائون ِحکومت اون دسته از حکومتون خـَوِر گانّه که دین و مذهب ره اساس حکومت یـِلنه.
method;['هژمونی'];شابلون:حکومت روشون هژمونی یا اقتدار ‏ اتا مفهوم هسته که ات‌سری ره توصیف کانده که ات‌سری دیگه سَر تسلط دارِن ولی وشون ره زور ناوِّن و وشون ِرضایت جه شه تسلط ره دمباله هادِن.
non-agentive-physical-object;['دریایی دزدون پرچم', 'jolly roger'];دریایی دزدون اروپایی و آمریکایی قدیما اتا پرچم جه استفاده کاردنه که دریایی دزدون ِپرچم یا دزدون ِکشتی ِپرچم ایسم دانّه.
non-agentive-physical-object;['وک'];وک اتا دوزیست حیوون هسته کا آبندون و کیله و زمین‌سر دله زندگی کنه و خله گوناگون هسته.
non-agentive-physical-object;['شال'];شال ، اتا روستای نوم هسته از توابع شاهرود ِبخش، خلخال ِشهرستون، اردبیل ِاوستان دله، ایران میون.
non-agentive-physical-object;['شاندلیزه', 'شانزلیزه'];شاندلیزه یا شانزِلیزه اتا گت خیابون پاریس هسته.
non-agentive-physical-object;['برقی سازه'];برقی سازه اتا برقی وسیله هسه که آشغال و خاکِخل ره چفنه.
non-agentive-physical-object;['سوتین', 'سینه\u200cبند'];سوتین یا سینه‌بند یا جه‌جووَن ‏ اَته‌جور زیرپوش هسته که زنانِ شِنه.
non-physical-collection;['فیمینیسم', 'فمینیست', 'فمینیسم'];فیمینیسم یا فمینیسم ات‌سری ایدئولوژی و تفکر هسته که ونه دِلِوِس این هسته که زنان و مردانِ سیاسی، اقتصادی و اجتماعی حقوق مساوی بائه یا بعبارت دیگه وشون فرصت‌های برابر دارن.
non-physical-collection;['دین'];دین ایزدی یا فراطبیعی موضوعات ره باور داشتن هسه که ایمان ره مبتنی هسه و پرستش ره سبب بونه.
non-physical-collection;['خرافه'];خرافه عبارت هسه هر مفهوم یا باور جه که بدون وجود شاهد کافی ونه حفظ یا تایید وسّه فرد دله وجود داشت‌بائه.
non-physical-collection;['میترائیسم', 'مهرپرستی', 'میتراییسم'];مهر ِدین یا میترائیسم، اتا راز‌دارِ ِدین بی‌یه که به پایه پرستش مهر ایزد ئیران باستون و خدای خارشید، عدالت ، پیمون و جنگ ، زمون پیش از زرتشت بساته بَیبی‌یه.
non-physical-collection;['مهایانه'];مهایانه گت‌ترین چلّه‌ای هسته که بودایی مذهبون دله درنه.
non-physical-collection;['مزدیسنا'];مزدینسا یا زرتشتی دین، ایرونی پغمبر دین نوم هسه، اشو زرتشت اسپنتمان هسّه.
