abstract-region;['ෆූරියර් ශ්\u200dරේණිය', 'ෆෝරියර් ශ්\u200dරේණිය'];ගණිතයේදී, ෆූරියර් ශ්‍රේණිය මගින් ආවර්තිත ශ්‍රිතයක් සරල දෝලන ශ්‍රිත කිහිපයක ඓක්‍යයක් බවට වියෝජනය කරයි.
agentive-physical-object;['අපෘෂ්ඨවංශීන්', 'අපෘෂ්ඨවන්ශීන්'];අපෘෂ්ඨවංශීන් යනු කශේරුකාවක් රහිත සත්ත්වයන්ටය.
agentive-physical-object;['ව්\u200dයාධිජනක', 'pathogen', 'ව්\u200dයාධිජනකයන්'];ජීව විද්‍යාවේ දී ව්‍යාධිජනකයෙක් යනු රෝග සාදන ඕනෑම දෙයක් වේ.
agentive-physical-object;['මාළු'];මෙයද බලන්න: මුහුදු ආහාර
agentive-physical-object;['ජීවීන්', 'ජීවීයා', 'ජීවීයෝ', 'ජීවියෝ', 'ජීවීා'];ජීව විද්‍යාවෙහි, ජීවියෙක් යනු ජීවයෙහි ගුණාංග මූර්තිමත් කරන ඕනෑම තනි ස්ථිතියකි.
agentive-physical-object;['මිනිසා', 'homo sapiens', 'මනුෂ්\u200dයයා', 'මානවයා'];අප, එනම් මිනිස් ජීවී වර්ගයයි.
agentive-physical-object;['ඩයිනසෝරයන්', 'ඩයිනසෝරයෝ', 'dinosaur', 'ඩයිනෝසෝරයින්'];ඩයිනසෝරයන් යනු වසර මිලියන 160 ක් පමණ කාලයක් ට්‍රයෑසික් යුගයේ අග භාගයේ සිට ක්‍රිටේසියස් යුග‍යේ අග භාගය අතර කාලසීමාව තුළදී භෞමික පරිසර පද්ධති වල ජීවත් වු වඩාත් ප්‍රමුඛතම පෘෂ්ඨවංශී සත්ත්ව කොට්ඨාශය වේ.
agentive-physical-object;['බෝගන්විලා', 'බෝගන්වීලියා', 'bougainvillea'];බෝගන්විලා is a genus of thorny ornamental vines, bushes, and trees with flower-like spring leaves near its flowers.
agentive-physical-object;['රට හාවෝ', 'හාවා'];ලෙපොරිඩේ කුළයේ ඝණ 8කට අයත් විශේෂ ගණනාවක් රට හාවෝ ලෙස පොදුවේ හැඳින්වේ.
agentive-physical-object;['හතු', 'mushroom'];ඇතැම් දිලීර විශේෂයන් මගින් තම වර්ගයා බෝකිරීම සදහා අවශ්‍යවන බීජාණු නිපදවන මල් වැනි විශේෂ ව්‍යුහය හතු නමින් හදුන්වයි.මේවා පොළවෙන් හට ගන්නා මල් වැනි පෙනුමක් ඇති නිසා බිම්මල් නම්න්ද හදුන්වයි.මෙම දිලීරයන්ට හරිතප්‍රද නොමැති බැවින් ස්වාධීනව ආහාර නිපදවාගත නොහැකිය.එබැවින් මෙම බිම්මල් නිපදවන දිලීර මළ දේහමත වැඩෙන මෘතෝපජීවී කාණ්ඩයට අයත්ය.විශේෂයෙන් මළ ශාක ඇසුරු කරගෙන බිම්මල් දැකිය හැකිය.මීට වසර දහස් ගණනකට පෙර සිටම මිනිසා හතු ආහාරයට ගෙන ඇත.ආහාරයට ගතහැකි හතු විශේෂ හා ආහාරයට නොගතහැකි හතු ද ඇත.ඇතැම් හතු උග්‍ර විෂ සහිත වන අතර ආහාරයට ගැනීමෙන් මරණයට පත්වීමට පවා ඉඩ ඇත.ආහාරයට ගත හැකි ඇතැම් බිම්මල් විශේෂ වර්තමානයේ වානිජ වශයෙන් වගාකෙරේ.
agentive-physical-object;['මුහුදු කැස්බෑවා', 'chelonioidea', 'කැස්බෑවා', 'කැස්බෑවෝ'];සාගරයේ වෙසෙන ජීවීන් අතරින් කැස්බෑවා සුවිශේෂී සත්වයෙකි.මෙම සත්ත්වයා සාගරයේ ජීවත්වන උරගයකු ලෙසද හඳුන්වයි.වායුගොලයේ ඔක්සිජන් ස්වසනය කරන සාගරයේ ජීවත් වන මොවුන් වසර දශ ලක්ෂ සියයකටත් ඈත අතීතයේ සිට පරිණාමය වෙමින් වර්තමානය දක්වා ගමන් කර ඇති බව විද්‍යාත්මක සාධක මගින් සනාථ වෙයි.පෘථිවිය මත ජීවත් වන සාර්ථක ජීවී කණ්ඩායමක් ලෙස කැස්බෑවුන් පිළි ගැනේ.මොවුන්ගේ ශරීර උෂ්ණත්වය පරිසර උෂ්ණත්වය අනුව වෙනස් වන බැවින් උදය කාලයේදී සාගරය මතුපිටට පැම්ණ සූර්ය කිරණ මගින් උෂ්ණත්වය වැඩි කර ගනී.මොවුන් පෙනහලු මගින් වාතය ආශ්වාස ප්‍රශ්වාස කරයි.කැස්බෑවන් රාත්‍රිය ගෙවා දමන්නේ අක්‍රියවය.සාගර පත්ලේ ඇති ගුහා හෝ පැලුම් තුළට වී නිදා ගැනීම සිදු කරයි.
agentive-physical-object;['cannabis', 'ganja'];කංසා එසේත් නැත්නම් ගංජා යනු Cannabis පැලෑටියෙන් නිපදවන psychoactive drug එකකි.
agentive-physical-object;['නියඟලා', 'gloriosa superba'];ඉතා සිත්ගන්නාසුළු මලක් හටගන්නා මරණීය විශ සහිත අලයක් ඇතිවන වැලකි.
agentive-physical-object;['සූරියකාන්ත', 'sun fiower'];සූරියකාන්ත මෙය මලකි.
agentive-physical-object;['ක්\u200dෂීරපායීන්', 'ක්\u200dෂීරපායි සත්තු', 'ක්ෂීරපායීන්', 'mammalia', 'ක්\u200dෂීරපායි', 'ක්\u200dෂීරපායී'];කිරිබී වැඩෙන සතුන් මෙනමින් හැඳින්වේ.
agentive-physical-object;['දුම්කොළ', 'nicotiana', 'tobacco'];දුම්කොළ ශාක වල කොළ වලින් සකස්කරන කෘෂිකාර්මික නිෂ්පාදන යක් ලෙස පදම්කළ දුම්කොළ දැක්විය හැක.
agentive-physical-object;['ආසියානු අලි', 'elephas maximus', 'asian eliphant'];ආසියානු හෝ ආසියාතික අලි යනු ජීවත්වන එකම ජාතිය එලිෆාස් වර්ගයේ.
agentive-physical-object;['බුලත්', 'piper betle'];බුලත් වැලක් වන අතර ගම්මිරිස් සහ කොවා ඇතුළත් වන පයිපෙරසී පවුලට අයත්වේ.බුලත් කොළ වැඩිපුරම පරිභෝජනය කරනු ලබන්නේ ආසියාවේ සහ ලෝකයේ අනෙකුත් රටවල සමහර ආසියානු සංක්‍රමණිකයන් විසින්ය.බුලත් විටක් ලෙස භාවිතා කරනු ලබන අතර ඒ සඳහා පුවක්, දුන්කොළ මෙන්ම හුණුද භාවිතා කරයි.
agentive-physical-object;['මී හරකා', 'bubalus bubalis', 'මී ගවයා', 'මී හරක්'];මී හරකා යනු සතෙකි.
agentive-physical-object;['කෑරල්ලු', 'picidae', 'කෑරලා'];Picidae කුලයට අයත් කුරුල්ලෝ පොදුවේ කෑරල්ලු ලෙස හැඳින්වේ.
agentive-physical-object;['කපුටා'];පක්‍ෂියෙකි.
agentive-physical-object;['සිම්බාබ්වේ ජාතික ක්\u200dරිකට් කණ්ඩායම', 'glossina'];The Zimbabwean cricket team represents Zimbabwe in international cricket.
agentive-physical-object;['නිල් මානෙල්', 'nymphaea nouchali'];නිල් මානෙල් හෙවත් Nymphaea nouchali, මානෙල් වර්ගයකි.
agentive-physical-object;['ජර්මන් ෂෙපර්ඩ්'];ජර්මන් ෂෙපර්ඩ් යනු ජර්මනියේ සම්භූත ලද ප්‍රමාණයෙන් සාමාන්‍යය බල්ලෙකුට වඩා විශාල බලු වර්ගයකි.
agentive-physical-object;['පොමරේනියන්'];පොමරේනියන් ස්පිට්zස් වංශයට අයත් සුනඛ වර්ගයක් වන අතර, මෙලෙසින් නම් තබා ඇත්තේ, මධ්‍යම යුරෝපයේ පිහිටා තිබෙන පොමරේනියා ප්‍රදේශය මූලික කරගෙනය.
agentive-physical-object;['ලූනු', 'ළූනු'];ලූනු "ඇලියුම් සීපා", බල්බ ලූනු හෝ සාමාන්‍ය ලූනු ලෙසද හඳුන්වන අතර, එළවළුවක් වශයෙන්ද භාවිත කරයි.
agentive-physical-object;['අභ්\u200dයන්තර දහන එන්ජිම'];අභ්‍යන්තර දහන එන්ජිම යනු, දහන කුටීරය නැමැති සීමා සහිත ඉඩක් තුළ, ඉන්ධනයක හා ඔක්සිකාරකයක දහන‍යක් සිදුවන එන්ජිමකි.
agentive-physical-object;['හෙන්දිරික්කා මල්', "four'o clock flower", 'හෙන්දිරික්කා'];කුඩා පඳුරු වශයෙන් වැවෙන හෙන්දිරික්කා වර්ණ අනුව ප්‍රභේද කිහිපයකට බෙදේ.
agentive-physical-object;['ආකියා', 'archaea'];Archaea is a one of the domain.it has archibacteria kingdom.methanogens,Halophiles,methanococos are some of archibacterian == මූලාශ්‍ර == == Further reading == Howland, John L..
agentive-physical-object;['වායු තල බමරය'];වායු තලබමරය යනු මූලධර්මයන් අතින් හුමාල තලබමරයට සමාන වූ භ්‍රමණ යන්ත්‍රයකි.
agentive-physical-object;['ඔටුවා'];ඔටුවන් විශේෂ 2ක් ඇත.
agentive-physical-object;['ginkgo biloba'];Ginkgo biloba යනු ජීවත්වන ෆොසිලයක් සේ සැලකෙන අපුෂ්ප ශාකයකි.
agentive-physical-object;['නිල් අවරිය', 'indigofera tinctoria', 'අවරිය'];Indigofera tinctoria bears the common name true indigo.
agentive-physical-object;['මුවා'];මුවා ක්‍ෂීරපායී සිවුපාවෙකි.
agentive-physical-object;['උකුස්සා'];උකුස්සන් යනු විශාල, ශක්තිමත් සහ බුද්ධිමත් පක්ෂින් විශේෂයකි.
agentive-physical-object;['බූරුවා', 'equus asinus'];බූරුවා අශ්ව පවුලේ සාමාජිකයෙකි.
agentive-physical-object;['ගවයා', 'bos primigenius taurus'];ක්‍ෂීරපායී සිවුපාවෙකි.
agentive-physical-object;['කුරහං හෙවත් කුරක්කං', 'eleusine coracana'];කුරහං හෙවත් කුරක්කං යනු ධාන්‍යයක් ලෙස ආසියාවහි සහ අප්‍රිකාවහි වගාකරන වාර්ශික බොගයකි.
agentive-physical-object;['කොස්', 'jackfruit'];කොස් ගස හෙවත් බත් ගස ආහාරයක් ලෙස ඉතා වැදගත් ඵල දරන ගසකි.
agentive-physical-object;['මුංඇට'];හැදින්වීම අප රටේ ජනප්‍රිය කෙටි කාලීන රන්ල බෝගයකි.
agentive-physical-object;['ගැට කිඹුලා'];ගැට කිඹුලා යන සත්ත්ව විශේෂය, ජීවත් වන සමස්ත උරගයන්ගෙන් විශාලතමයා වන අතර, ලෝකයේ විශාලතම භෞමික සහ ගංගාබද විලෝපියා වෙයි.
agentive-physical-object;['රුක්අත්තන', 'alstonia scholaris', 'රැක්අත්තන', 'රුක් අත්තන'];වැල් රුක්අත්තන නමින් පරසිඳු මේ ශාඛ වර්ගයේ විද්‍යාත්මක නම Allamanda cathartica වේ.
agentive-physical-object;['හෝමෝ ඉරෙක්ටස්', 'homo erectus', 'හෝමෝ එරෙක්ටස්'];"කෙලින් සිටගත් මිනිසා" යන අර්ථය ඇති, හෝමෝ ඉරෙක්ටස් යනු, 1.8 මිලියන වසර ගණනකට පෙර පළමු ෆොසිල සාක්ෂියද 143,000 පමණ වසර ගණනකට පෙර ඉතා මෑත ෆොසිල සාක්ෂියද හමුවී ඇති, ප්ලයොසීන අවධියේ අවසානයෙහි සිට පසුකාලීන ප්ලෛස්ටොසීන අවධිය දක්වා ජීවත්වූ, වඳවී ගිය හොමිනින් විශේෂයකි.
agentive-physical-object;['බළලා', 'felis silvestris catus', 'පූසා', 'බළලා හෙවත් පූසා', 'cat'];බළලා හෙවත් පූසා ක්‍ෂීරපායී සිවුපාවෙකි.
agentive-physical-object;['ගවයා', 'bos primigenius taurus'];ක්‍ෂීරපායී සිවුපාවෙකි.
agentive-physical-object;['කැරියෝට ඌරේන්ස්', 'කිතුල්', 'caryota urens'];කැරියෝට ඌරේන්ස් යනු, ඉන්දියානු උපමහාද්වීපය සහ අග්නිදිග ආසියාව තුල වෙල් වල සහ තෙත් වනාන්තර හෙළිපෙහෙළියන්හී වැඩෙන හා එහි දක්නට ලැබෙන, තාල ගෝත්‍රයේ සපුෂ්ප ශාක විශේෂයකි.
agentive-physical-object;['අලියා', 'අලි'];අලි බැලීමත් බලි බැලීමත් ඇතිවන්නේ නැහැ යැයි කියමනක් අපේ ජනවහරේ එයි.අලින්ගේ හැසිරීම මිනිසුන්ගේ සිත් සතන් ඇදගන්නා තරම් අපුරුය.මෙවන් කියමනක් අපේ ජනවහරේ එන්නේ ඒ මිනිසා හා අලියා අතර ඇති සම්බන්ධය ‍බොහෝ ඈත කාලය දක්වා දි‍වෙයි.ඒ ගැන ඇති මුල්ම සාක්ෂිය වන්නේ ගල් යුග‍යේ මිනිසුන් ජීවත්වුණු ගල් ගුහාවල ඇති අලින්ගේ රූපසටහන්ය.කැළේ යද්දී මෙම අලින්ගේ රූප සටයන් සි‍තෙහි ‍හොදින් කාවැදීම හේතු කොටගෙන ‍මොවුන් නැවත පැමිණි පසු මෙම රූප ගල් ලෙන්වල නිර්මාණය කරන්නට ඇත.
agentive-physical-object;['ප්\u200dරෝටිස්ටා රාජධානිය'];ප්රෝටිස්ටා රාජධානිය කෘත්‍රිම රාජධානියක් ලෙස සලකනු ලබයි.
agentive-physical-object;['රොට්වෙයිල', 'rottweiler'];රොට්වෙයිල /ˈrɒtwaɪlər/ යනු මධ්‍යම ප්‍රමාණයේ සිට විශාල හෝ විශාල ලෙසින් පිලිගන්නා ගෘහස්ථ සුනඛ වර්ගයකි.මෙම සුනඛ වර්ගය ජර්මනියේ හඳුන්වනු ලබන්නේ රොට්වෙයිල මෙට්ස්ගහන්ඩ්, අදහස රොට්වෙයිල් සතුන් මරන්නන්ගේ සුනඛයන් යනුයි.එයට හේතුව මොවුන් ගොවිපලක සතුන් බලාගැනීමට හා මස් මෙන්ම අනෙකුත් නිෂ්පාදන පටවන ලද කරත්ත වෙළඳපොළ කරා ඇදගෙන යාම සඳහා යොදා ගන්නා ලද බැවිනි.
agentive-physical-object;['ඇන්ටිලොප්'];ඇන්ටිලොප් යන නමින් සත්ත්ව විද්‍යානුකූලව නිශ්චිත එක් සත්ත්ව විශේෂයක් දැක්විය නොහැකිය.
agentive-physical-object;['යතුරු ලියනය'];මුද්‍රණ යන්ත්‍රය නිපදවිම මානව සන්නිවේදන ඉතිහාසයේ වැදගත් සන්ධිස්ථානයක් විය.
agentive-physical-object;['නා', 'mesua ferrea'];' නා' ශ්‍රී ලංකාවට ආවේණික නිවර්තන වෘක්ෂයකි.
agentive-physical-object;['හස්ති පක්\u200dෂියා', 'elephant bird'];හස්ති පක්ෂියා අභාවයට ගිය පියාඹීමට නොහැකි කුරුල්ලෙකු විය.මෙම පක්ෂීන් ගේ ජන්ම භුමිය මැඩකස්කර් දූපත්විය..
agentive-physical-object;['ඇනකොන්ඩා', 'anaconda'];ලොකයේ දිගම, බරම සහ ශක්තිමත්ම සර්පයා ඇනකොන්ඩාය.ඇනකොන්ඩාවන් බහුල වශයෙන් දකුණු ඇමෙරිකාවෙන් හමුවන අතර විශේෂ හතරක් දැනට හඳුනාගෙන ඇත.
agentive-physical-object;['කොටියා', 'කොටි ගණය', 'panthera pardus', 'කොටි'];කොටියා ලෙස විද්‍යාත්මක නාමකරණය කරන කොටි උප == ආශ්‍රිත == කොටි සැහැල්ලුවෙන් underside සමග රතු පැහැයට හුරු තැඹිලි ලොම් මත අඳුරු සිරස් ඉරි ඔවුන්ගේ රටාව වඩාත් හඳුනාගත විශාලතම බළල් විශේෂ වේ.
agentive-physical-object;['ව්\u200dයාග්\u200dරයා', 'කොටියා', 'බ්යග්ඝ', 'panthera tigris'];== මූලාශ්‍ර ==
agentive-physical-object;['සිංහයා', 'සිංහය', 'panthera leo'];සිංහයා යනු ෆෙලිඩේ කුලයෙහි විසල් බිළාලයන් අතරින් එකෙක් වන අතර පැන්තේරා ගණයෙහි සාමාජිකයෙකි.
agentive-physical-object;['කොහොඹ'];කොහොඹ ඹෂධීමය සහ දැවමය වටිනාකමකින් යුත් මහෝගනී පවුලයට අයත් ගසකි.
agentive-physical-object;['සැපදිල්ලා', 'සැපතිල්ලා'];සැපතිල්ලා යනු දිගු කාලයක් ජීවත් වූ සදාහරිත ශාකයකි.
agentive-physical-object;['නිල් තල්මහ', 'balaenoptera musculus'];දැනට ලොව ජීවත්වන විශාලතම සත්වයා වන නිල් තල්මහ ක්‍ෂීරපායි සත්වයෙකි.
agentive-physical-object;['axolotl', 'ambystoma mexicanum'];Axolotl යනු උභය ජීවී විශේෂයකි.
agentive-physical-object;['ශ්\u200dරී ලංකාවේ සර්පයෝ', 'සර්පයෝ - ශ්\u200dරී ලංකා', 'සර්පයා', 'සර්පයෝ', 'ශ්\u200dරී ලංකාවේ සරපයෝ'];ශ්‍රී ලංකාව තුළ සර්ප විශේෂ 106 ක් පමණ දැක ගත හැකි වේ.ඔවුන් කුල 8කට සහ ගණ 49කට අයත් වේ.ඔවුන් ජීවත් වන පරිසරය අනුව රුක් වාසීන්, පාංශු වාසීන්,භෞමික හා ජලජ වශයෙන් වර්ග කෙරේ.ලංකාවේ වෙසෙන සර්ප විශේෂ 106 න් විශේෂ 40 ක් විෂ සහිත වන අතර ඉන් විශ්ෂ 22 ක් මාරාන්තික විෂ සහිත වේ.එයින් විශ්ෂ 15ක් මුහුදු සර්පයන් වේ.විශේෂ 68 ක් විෂ රහිත සර්පයන් වේ.
agentive-physical-object;['ශ්\u200dරී ලංකාවේ සර්පයෝ', 'සර්පයෝ - ශ්\u200dරී ලංකා', 'සර්පයා', 'සර්පයෝ', 'ශ්\u200dරී ලංකාවේ සරපයෝ'];සර්පයින් වසර මිලියන සියයකටත් පෙර සිට මිහිතලයේ වෙසෙන ජීවී විශේෂයකි.ලොව පුරා විවිධ වර්ගයේ සර්ප විශේෂ රැසකට අයත් සාමාජිකයෝ විශාල ප්‍රමාණයක් ජීවත් වෙති.ශ්‍රී ලංකාවේ වෙසෙන සර්ප විශේෂ ගණන අනෙකුත් ආසියානු රටවලට වඩා විශාලය.සර්පයින්ගේ ශරීරය හිස් කබල, කොඳු ඇට පෙළ හා ඉල ඇට වලින් නිර්මාණය වී ඇති අතර වියළි ‍කොරපොතු වලින් වැසී පවතී.බාහිරව ශ්‍රවණේන්ද්‍රියක් පිහිටා නොමැති නිසා වාතය හරහා එන ශබ්ද තරංග ග්‍රහණය කර ගැනීම දුර්වලය.නමුත් ගමන් කරන පෘෂ්ඨය හරහා එන ශබ්ද ග්‍රහණය කර ගැනීමට සමත්ය.මොවුන්ගේ දිව ඉතා සංවේදී අවයවයකි.අවට වාතයේ ස්වභාවය අවබෝධ කර ගන්නේ උඩු ඇන්දේ නාස් පුඩු හා ඇස් අතර පිහිටි සිදුරක් සහිත ඉන්ද්‍රියක් ආධාරයෙනි.ඇසි පිය වෙනුවට විනිවිද පෙනෙන කොරපොත්තක් පිහිටා තිබේ.චලතාපී සත්ව වි‍ශේෂයකි.
agentive-physical-object;['සියඹලා', 'tamarindus indica'];සියඹලා ෆැබසියෙ කුලයට අයත්, නිවර්තන කලාපික, සදාහරිත වෘක්‍ෂයකි.
agentive-physical-object;['තල බඹරය', 'turbină', 'ටර්බයිනය'];ටර්බයිනයක් යනු තරල ප්‍රවාහයකින් ශක්තිය උකහාගෙන එය ඵලදායක කාර්යය බවට පරිවර්තනය කරන භ්‍රමණ යන්ත්‍රයකි.
agentive-physical-object;['කොරල්', 'coral', 'හිරිගල්'];කොරල් යනු නයිඩේරියා වංශයෙහි ඇන්තසෝවා වර්ගයට අයත් සහ සර්වසම තනිතනි "බුහුබාවන්" බොහෝමයක් සංයුක්ත ගණ වාස ලෙසින් දර්ශීය වශයෙන් ජීවත් වන සාමුද්‍රික සත්ත්වයෙකි.
agentive-physical-object;['හිපපොටේමස්', 'hippopotamus amphibius'];හිපපොටේමස්
agentive-physical-object;['ඩයටම්', 'ක්\u200dරයිසොෆීටා වංශය', 'බැසිලාරියෝෆීටා වංශය'];ඩයටම් බැසිලාරියෝෆීටා වංශයට අයත් වේ.
agentive-physical-object;['කුඩා පරිමාණ පරිගණක', 'minicomputer'];කුඩා පරිගණකය යනු බහු පරිශීලක පරිගණක වර්ගයක් වෙත යොදන ලද අභාවයට ගිය යෙදුමකි.
agentive-physical-object;['කරාබුනැටි', 'cloves', 'කරාබු නැටි'];කරාබුනැටි යනු කුළුබඩු විශේෂයකි.
agentive-physical-object;['කාවා'];. කාවා Clothing Moth යනු පියාපත් සහිත පියාසැරීමට දක්ෂ කෘබියෙකි, මෙම කෘබියා ප්‍රබල පළිබොධකයෙකු ලෙස ප්‍රකටය.කාව කීට අවස්ථාවේදී විශේෂයෙන් ඇඳුම් ආහාරයට ගනී.එහෙත් මොවුන්ගේ එකම ආහාරය ඇඳුම් නොවේ.
agentive-physical-object;['නෙළුම්', 'lotus', 'තඹර', 'නෙලුම්', 'නෙළුම', 'පද්ම', 'පියුම්', 'සියපත්'];නෙළුම් යනු මල් වර්ගයකි.
agentive-physical-object;['රටදෙල්', 'artocarpus altilis', 'artocarpus incisa'];දෙල් එසේත් නැත්නම් රටදෙල් යනු විද්‍යාත්මකව ආටොකාර්පස් ඇල්ටිලිස් ලෙස හඳුන්වන ශාකයයි.
agentive-physical-object;['පශු සම්පත්', 'livestock', 'පශු සම්පත් - පශු සම්පත් වර්ග', 'පශු සම්පත් - පශු සම්පත් වර්ණ'];පශ්‍ර සම්පත් යනු අපට අවශ්‍ය සත්ත්ව ආහාර හා කෙඳි නිෂ්පාදනයන් ලබා ගැනීමට කෘෂිකාර්මික සැකසුමක ඇතිකරන හීලෑ සිවුපාවුන් වේ.
agentive-physical-object;['ඉන්දියානු මොනරා', 'pavo cristatus', 'indian peafowl', 'නිල් මොනරා', 'common peacock'];ඉන්දියානු මොනරා හෙවත් නිල් මොනරා යනුවෙන් හැඳින්වෙන්නේ දකුණු ආසියාවට ස්වදේශීය වූ විශාල සහ දීප්තිමත් වර්ණ සහිත මොනර විශේෂයකි.
agentive-physical-object;['සපුෂ්ප ශාක', 'magnoliopsida'];සපුෂ්ප ශාක, also known as angiosperms, Angiospermae,Magnoliophyta, or, more colloquially, flowers, are the most diverse group of land plants, with 64 orders, 416 families, approximately 13,000 known genera and 300,000 known species.
agentive-physical-object;['දම්වැල් කියත'];දම්වැල් කියත යනු පහසුවෙන් එහා මෙහා ගෙන යා හැකි, යාන්ත්‍රික, ඇන්ජිමක් සහිත කියතකි.
agentive-physical-object;['සයනොබැක්ටීරියා', 'cyanobacteria'];සයනොබැක්ටීරියා යනු බැක්ටීරියා මෙන් ප්‍රාග් න්‍යෂ්ටික ඒක සෛලීය සංවිධානයක් ඇති ජීවීන් වෙයි.
agentive-physical-object;['ඉත්තෑවා'];ඉත්තෑවා යනු ක්‍ෂීරපායි සතෙකි.
agentive-physical-object;['පිටි මකුණා', 'mealybug'];Mealybug is the common name of insects in Pseudococcidae, a family of unarmored scale insects found in moist, warm climates.
agentive-physical-object;['බැක්ටීරියා', 'bacteria', 'bacterium'];ජීවීන් බෙදා ඇති රාජධානි පහෙන් පළමුවැන්න වන මොනෙරා රාජධානියට අයත් වන, ප්‍රාග් න්‍යෂ්ටික සෛලීය සංවිධානයක් ඇති ක්‍ෂුද්‍රජීවීන් වේ.
agentive-physical-object;['කෘමියෝ', 'insecta', 'කෘමීන්'];කෘමියෝ යනු සන්ධිපාදක,බාහිර අස්ථිවලින් සැදි අපෘෂ්ඨ වංශික ගණයට අයත් ජීවීන් කොටසකි.කෘමි සිරුර හිස,උරස හා උදරය ලෙස කොටස් තුනකින්ද,එක් පසෙකට තුන බැගින් වූ එක්ව තැනුන පාද යුගල් දෙකකින්ද,සංයුක්ත ඇස් හා ස්පර්ශක යුගලකින්ද සමන්විත වෙයි.පෘථිවිය මත වඩාත් වර්ගීකරණයට ලක්වූ සත්ව කොට්ථාශයන් අතරට කෘමීන් ද අයත් වේ.එයට මිලියනයකට අධික වූ හඳුනාගත් කෘමි කුලයන් අයත් වන අතර මෙම අගය ලොව හඳුනාගත් සියලු ජීවීන්ගෙන් අඩකටත් වඩා නියෝජනය කරයි.දැනට මිහිමත ජීවත් වෙන ඇස්තමේන්තු ගත කෘමි කුලක ප්‍රමාණය මිලියන 6-10 ත් අතර පවතියි.කෘමීන් බොහෝ දුරට සියලුම පරිසරයන් තුලින් හමුවන අතර සුළු කුලකයන් ප්‍රමාණයක් සාගරය තුල ජීවත් වෙයි.
agentive-physical-object;['පග්', 'පග් සුනඛ විශේෂය'];පග් යනු රැලි වැටුන කෙටි හොම්බකින් යුත් මූණක් සහ වටකුරු වූ වලිගයක් සහිත කුඩා ශරීරයක් ඇති සුනඛයෙකි.
agentive-physical-object;['මුහුදු අශ්වයා', 'hippocampus'];Sandaru samaraweera 12:06, 18 ජූනි 2016
agentive-physical-object;['ගප්පියා', 'ගප්පි'];ගප්පියා දකුණු හා මධ්‍යම ඇමරිකාවට ආවේණික කුඩා මිරිදිය මත්ස්‍යයෙකි.
agentive-physical-object;['කූඹියා'];කෘමියෙකි.
agentive-physical-object;['වාෂ්ප ටර්බයිනය', 'steam turbine'];වාෂ්ප ටර්බයිනය යනු සම්පීඩක වාෂ්පයෙන් තාප ශක්තිය, උරාගෙන එම ශක්තිය ප්‍රයෝජනවත් යාන්ත්‍රික ශක්තියක් බවට පරිවර්තනය කරන යන්ත්‍රයකි.
agentive-physical-object;['හාවෝ', 'හාවා'];ලඳු කැළෑ ආශ්‍රිතව ජීවත් වන ඉතා වේගයෙන් දිවයන ක්‍ෂීරපායී වර්ගයකි.
agentive-physical-object;['බඩ ඉරිඟු', 'zea mays', 'බඩඉරිඟු'];බඩ ඉරිඟු යනු ආහාරමය ඇට වර්ගයකි.
agentive-physical-object;['බණ්ඩක්කා'];බණ්ඩක්කා එළවළු වර්ගයකි.බණ්ඩක්කා ඉතාම ගුණදායී අාහාරයකි.30cm පමණ දිග වේ.
agentive-physical-object;['තල', 'corypha umbraculifera'];Corypha umbraculifera is a species of palm, native to southern India and Sri Lanka.
agentive-physical-object;['කොමොඩෝ මකරා'];කොමොඩෝ මකරා.
agentive-physical-object;['දූරියන්'];දූරියන් දූරියෝ ගණ​යට හා මලවාසියේ කුලයට අයත් වන පළ​තුරකි අග්නිදිග​ ආසියාතිකයන් විසින් "පළතුරු අතර රජු" ලෙසින් හඳුන්වන දූරියන් එහි විශාලත්වය, දැඩි කටු සහිත ලෙල්ල හා එයටම ආවේණික සුවඳ නිසා විශේෂත්වයක් උසුලයි.
agentive-physical-object;['සිනමෝමම් වේරම්', 'ශ්\u200dරී ලාංකා කුරුඳු', 'සත්ය කුරුඳු', 'සිනමෝමම් සිලනිකම්', 'සිලෝන් කුරුඬු'];සිනමෝමම් වේරම් හෝ සිනමෝමම් සෙලනිකම් ලෙස විද්‍යාත්මකව හදුන්වන සත්ය කුරුඳු හෙවත් ශ්‍රී ලාංකික කුරුඳු, ලෝරේසියේ පවුලට අයත් ශ්‍රී ලංකාවට ආවේනික බහුවාර්ෂික ශාකයකි.
agentive-physical-object;['මදුරු ගණය', 'මදුරුවෝ', 'මදුරුවා'];මදුරුවන් Culicidae කුලයට අයත් කෘමි විශේෂයකි.
agentive-physical-object;['නෙමටෝඩ්', 'nematoda'];නෙමටෝඩ් හෝ වට පනුවන් පරපෝෂිත කුලයන් 80000 කින් එකකි.
agentive-physical-object;['ගිරා ගෝත්\u200dරය', 'ගිරවා', 'psittaciformes'];කොළ පැහැති වක් වූ හොට ඇති ගෙල රත් මාල දරන ගිරවා පළතුරු හා ධාන්‍ය කෑමට ගන්නා අතර ගස් බෙනවල කූඩු සාදයි.
agentive-physical-object;['මොනරා', 'මයුරා'];මොනරා ආසියාතික පක්ෂි විශේෂ දෙකක් සහ අප්රිකානු විශේෂ එකක් ඇතුළත් වේ.
