abstract-region;['वर्ग फलन'];बिजगणितमा, एक वा अधिक चरसँग बहुपद कार्यनै बहुपदिए फलन हो जसलाई डिग्री २ को बहुपद
biological-object;['राइबोसोम'];राइबोसोम सजीव कोशिकाको कोशिका द्रवमा स्थित धेरै नै सूक्ष्म कण हुन्, जसको प्रोटीनहरूको संश्लेषणमा महत्त्वपूर्ण भूमिका है। यिनीहरू आनुवांशिक पदार्थहरू को संकेतहरूलाई प्रोटीन शृंखलामा परिवर्तित गर्छन्। यिनीहरू एण्डोप्लाज्मिक रेटिकुलमको ऊपरी सतहमा पाइन्छन्, यसको वाहेक यिनीहरू माइटोकाण्ड्रिया तथा क्लोरोप्लास्टमा पनि पाइन्छन्। राइबोसोम एक सन्देशधारक राईबोस न्यूक्लिक अम्ल को साथ जुडे रहइन्छ जसमा कुनै विशेष प्रोटीनको निर्माणको लागि आवश्यक अमीनो अम्लको सही क्रमानुसार लगाउनको सन्देश रहइन्छ। अमीनो अम्ल सन्देशवाहक आरएनए अणुओंको साथ संलग्न रहन्छन्। यस प्रकार राइबोसोम प्रोटीनको संश्लेषणमा त सहायता करता नै छ लिपिडको उपापचयी क्रियाहरूमा पनि सहायता गर्छ।
biological-object;['फूल', 'पुष्प'];फूल भन्नाले फूल भन्ने बुझिन्छ भने पुष्प व्यवसाय भन्नाले फूल उत्पादन गरेर त्यसलाई विक्रि गरेर जीविकोपार्जन गर्ने कृयालाई बुझाउछ। नेपाली संस्कारमा फूल जन्मे देखि मृत्यू पर्यन्त जसबेला पनि आवश्यकता पर्दछ। धर्मकर्म,पूजापाठ,प्रेमालाप,कुनै वरिष्ट पाहुनाको स्वागत घर या वातावरणको जसावट र साजसज्जा सबैमा फूलको अनिवार्य उपस्थिति रहेको हुन्छ।
biological-object;['सुपारी'];सुपारी एक औषधीय गुण भएको पोथ्रा वर्गमा पर्ने वनस्पति हो । सुपारीलाई विभिन्न कार्यमा प्रयोजन गर्ने गरिन्छ । हिन्दु घर्ममा सिङ्गो सुपारीलाई हिन्दु देवता गणेशको रूपमा पुजा आराधना गरिन्छ । सुपारीका विभिन्न राम्रा तथा नराम्रा पक्षहरु छन् । सुपारीलाई औषधिको रूपमा पनि प्रयोग गर्न सकिन्छ ।
biological-object;['काखी'];काखी मानिसको पाखुरा र काँध जोडिने स्थानको ठिक तलको भाग हो.
biological-object;['ज्यामिर', 'citrus aurantifolia'];ज्यामिर नेपालमा पाइने एक किसिमको फल हो। यो सिट्रस वर्गमा पर्दछ। यसको फल अमीलो हुन्छ तर पाकेपछि केही गुलियो पनि हुन्छ।
biological-object;['मस्तिष्क'];मस्तिष्क स्नायु प्रणालीको एक महत्त्वपुर्ण अङ्ग हो |मस्तिष्क केन्द्रिय स्नायु प्रणाली को सञ्चालक हो। यसको सुरक्षा खप्परले गर्छ।
biological-object;['हात'];हात मानिस लगायतका अन्य दोपाया स्तनधारी प्राणीहरूको पाखुराको छेउको भाग हो.
biological-object;['कोशिका'];कोशिका सजीवहरुको शरीरको रचऩात्मक र क्रियात्मक एकाइ हो।
biological-object;['कुर्कुच्चा', 'गोलीगाँठो'];पैतलाको पछाडिको भाग जसले शरीरको भार बहन गर्दछ| यो स्थानमा खुट्टा र पाईताला जोडिन्छ|
biological-object;['पुट्ठा'];पुट्ठा मानिस वा अन्य दोपाया नितम्बको गोलाकार मासुको भाग हो । == सन्दर्भ सूची == == बाह्य कडीहरू == "The Muscles and Fasciæ of the Thigh" at "Anatomy of the Human Body", १९१८.
biological-object;['पाइताला'];खुट्टाको सबै भन्दा तलको भाग जुन हिड्दा जमीनको सम्पर्कमा आउछ|
biological-object;['मानव मुटु', 'मुटु', 'मुटुरोग'];मुटु मानव लगायत भर्टेब्रेट प्राणीहरूको शरीरको एक अङ्ग हो। यस अङ्ग शरीरको रक्त सञ्चालन प्रक्रियासँग सम्बन्धित छ । मुटु मानव तथा अन्य जनावरमा भएको पेशी अङ्ग हो, जसले रक्तनली मार्फत सञ्चार प्रणालीमा रगत पम्प गर्ने काम गर्छ ।सामान्यतः एउटा वयस्क मानिसको मुटुको तौल ९ देखि ११ औन्स हुन्छ। सम्भवतः मानिसको शरीरको सबैभन्दा बलियो अङ्ग नै मुटु हुनुपर्छ। यसले एक घण्टामा करिब ३ हजार पौण्ड तौल उठाउन लाग्ने बराबरको शक्ति पैदा गर्छ। यो शक्ति एउटा सानो खालको कारलाई जमीनबाट १ फुटमाथि उठाउन पर्याप्त हुन्छ।मानिसको मुटु कति बलियो हुन्छ भने यसले रगतको छिर्कालाई ३० फिट परसम्म फ्याँक्न सक्छ।एक दिनमा मुटुले करिब २ हजार ग्यालन रगत पम्प गर्छ। औसत आयुलाई ७० वर्ष मान्ने हो भने मुटुले जीवनभरमा करिब ५१ मिलियन ग्यालन रगत पम्प गर्ने गर्छ।मुटुमा चारवटा भाग हुन्छन्,जसमा दुईवटा अउरिकल र दुईवटा भेन्ट्रिकल हुन्छन। गर्भाधान भएको करिब ८ हप्ताभित्रमै मानिसको मुटु विकसित भइसकेको हुन्छ। जबकि त्यो बेलामा भ्रूण करिब १ इन्च मात्र लामो हुन्छ। अझ गर्भाधानको ४ हप्तादेखि नै भू्रणको मुटु पनि धड्कन सुरू भइसकेको हुन्छ भनी वैज्ञानिकहरू मान्दछन्।मुटुएउटा शंक्तिशाली मांसपेशिक अङ्ग हो।यो शरीरमा छातीभित्र दुई फोक्सोको बीचमा रहेको हुन्छ। मुटुलाई एउटा पातलो झिल्लीले घेरिएको हुन्छ, जसलाई "पेरिकार्डिम"भनिन्छ। == इतिहास == पहिलो ओपन हार्ट सर्जरी सन् १८९३मा डा.
biological-object;['लिङ्ग', 'शिश्न', 'पुरुष जनेन्द्रीय', 'लाँडो'];शिश्न कशेरुकी र अकशेरुकी दुबै प्रकारको केही भाले जीवहरूको एक बाह्य यौनाङ्ग हो।
biological-object;['कम्मर'];कम्मर मानव शरीरको करङ र नितम्बको क्षेत्रको बीचको तथा नाइटो वरीपरीको भाग हो.
biological-object;['आँखा'];आँखा शरीरको महत्त्वपूर्ण अङ्ग हो जुन दृष्टिको काममा आँउछ। मानव शरीरमा दुई आँखा हुन्छन्। यो दुईटै आँखा खोपडीको अर्बिटमा अवस्थित हुन्छन्। आँखाको फोटोरिसेप्टर प्रकाशलाई विद्युतीय सिग्नलमा परिवर्तन गर्दछ। यो सिग्नललाई अप्टिक स्नायु मष्तिश्कमा पुर्याउँछ र व्यक्तिलाई दृष्टिको अनुभुति हुन्छ। आँखाको विभिन्न भाग यस प्रकार छन-
biological-object;['नाक'];"नाक" लेख यहाँ रिडाइरेक्ट हुन्छ। कृपया नाकको अरू उपयोगका लागि नाक हेर्नुहोला।
biological-object;['छाति', 'छाती'];छाती मानिस तथा अन्य जीवहरूको टाउको मुनिको शरीरको अगाडि पट्टिको भाग हो।
biological-object;['तिघ्रा', 'तिघ्रिा'];मानिसको दुईटा तिघ्रा हुन्छ|सामान्यता तिघ्रा घुडा भन्दा माथिको र फिला भन्दा मुनिको भागलाई भनिन्छ|
biological-object;['नाडि'];नाडि हत्केला र कुहिनाको बीचको भाग हो ।
biological-object;['ढाड'];ढाड मानव शरीरको पछाडी पट्टिको घाँटि र कुम देखि तल नितम्ब सम्मको भाग हो.
biological-object;['पुच्छर'];एक पुच्छर जनावरको गरेको शरीर को अन्त मा छ।
biological-object;['स्त्री प्रजनन प्रणाली'];स्त्री प्रजनन प्रणालीलाई निम्न २ भागमा बिभाजित गरिएको छ :- भित्री अङ्गहरू बाहिरी अङ्गहरू == ‍‍ भित्री अङ्गहरू == === योनीमार्ग === योनीमार्ग योनिद्वार पाठेघरको मुख सम्म फैलिएको हुन्छ। यसको भित्ता तन्किनेखालको मांसपेसीले बनेको हुन्छ अर्थात यो एउटा तन्किने खालको मांसपेसीले बनेको हुन्छ। यो महिलाको दुई तिघ्राको कापमा गुदद्वार र मुत्रमार्गको बीचमा अगाडिबाट माथी तिर उठदै पछाडी तिर लगभग ४५ डिग्री कोण बनाई तेर्सो परेको हुन्छ। सामान्यतया योनिमार्गको लम्बाई ७ देखि १० से.
biological-object;['पुरुष प्रजनन प्रणाली'];पुरुष प्रजनन प्रणाली अन्तर्गत ती अंगहरु समेटिन्छन् जुन पुरुष प्रजनन कार्यमा संलग्न हुन्छन् । पुरूषको सन्दर्भमा प्रजनन अंगहरु शरीरको बाहिरी भागमा पेटको तल्लो भागको आसपासको क्षेत्रमा रहेको हुन्छ ।
biological-object;['फल-फूल', 'फलफूल'];रुख या बोटमा पाइने खाध्ह पदार्थ.
biological-object;['फल-फूल', 'फलफूल'];विरुवामा फुल फुलेर वा जरामा विकास भएर फल्ने चिजलाई फल भनिन्छ। प्राय धेरैजसो फल खाद्यान्नका रूपमा प्रयोग गरिन्छ। फलफुलबाट प्रयाप्त मात्रामा प्रोटिन पाईन्छ। फलबाट, फलको बोटको जराबाट तथा बोक्राबाट विभिन्न प्रकारका औषधिहरु बनाउँछन् । == सन्दर्भ == == बाह्य कडीहरू == Images of fruit development from flowers at bioimages.Vanderbilt.edu Fruit and seed dispersal images at bioimages.Vanderbilt.edu Fruit Facts from California Rare Fruit Growers, Inc.
biological-object;['कान'];कान भनेको प्राणीहरूको एक अंग हो। मानिसमा यो अंगको काम सुन्ने र सन्तुलन मिलाउने हो। कानको बनावटअनुसार कानलाई तीन भागमा बाडिएको छ। बाहिरी कान, मध्य कान र भित्री कान।
biological-object;['स्तनको मुन्टा'];स्तनको मुन्टा महिलाको स्तनको अगाडि पट्टी उठेको भाग हो। यो बच्चालाई स्तनपान गराउने क्रममा ल्याक्टिफेरस नली हुँदै दुध निस्कने मार्ग पनि हो।
biological-object;['श्वासप्रस्वास प्रणाली', 'श्वासप्रस्वास प्रणालि'];श्वास प्रश्वास प्रणाली सजिवले श्वास फेर्ने क्रियासँग सम्बन्धित प्रणाली हो। यो सजीवको शरीरको एक अभिन्न प्रणाली हो।शरीरको सबै भागमा ग्यास आदान प्रदान गर्नु यसको मुख्य कार्य हो।
biological-object;['बाह्य भगोष्ठ', 'बाहिरी भगोष्ठ'];बाहिरी भगोष्ठ मोन्स प्यूबिस देखि पेरिनियम सम्म फैलिएको दुई प्रत्यक्ष ठाडो रेखामा रहेका छालाको पत्र र पुडेन्डल क्लेफ्टको आङ्गिक सिमा पनि हो। यसले भित्री भगोष्ठ, भगांकुर, इन्टरल्याबियल सल्सि, भगांकुरको फ्रेनलम, भल्बल भेस्टिब्युल आदिलाई समेटेको हुन्छ।
biological-object;['टाउको', 'शिर'];जीवित प्राणीको चेतना अथवा दिमाग हुने शरीरको माथिल्लो भाग।
biological-object;['कर्पस ल्यूटम'];कर्पस ल्यूटम स्त्री प्रजनन प्रणालीमा डिम्बाशयबाट डिम्ब उत्सर्जन भएर कर्पस हेमोर्‍याजिकम बनेपछि विकसित हुने डिम्बाशयमा रहने भाग हो। गर्भधारण भएमा गर्भावस्थाभरी नै यसले प्रोजेस्टेरोन उत्पादन गरेर गर्भको रक्षा गर्छ। तर गर्भ रहेन भने यो कर्पस अलबिक्यानस् बन्दै अन्तत हराएर जान्छ। यसरी फोलिकल समेत डिम्बको विकास हुने, उत्सर्जन, कर्पस हेमोर्‍याजिकम, कर्पस ल्यूटम, कर्पस अलबिक्यानस् हुदै जाने हुदा स्त्री जनावरहरूको इस्ट्रस चक्र चलिरहन्छ।
causal-role;['घोलक पदार्थ'];घोलमा घुलित पदार्थहरूलाई घुलाउन मद्धत गर्ने पदार्थहरूलाई घोलक पदार्थ भनिन्छ । जस्तै: पानी, दुध आदि घोलक पदार्थका केहि उदाहरणहरु हुन् ।
chemical-object;['अणु', 'आणु'];एक अणु, रासायनिक बन्धनद्वारा आयोजित दुई वा बढी परमाणुहरूको विद्युत तटस्थ समूह हो। अणुहरू विद्युतीय चार्जको अभावमा आयनहरू भन्दा भिन्न छन् । यद्यपि क्वान्टम फिजिक्स, जैविक रसायनशास्त्र, र जैव रसायनशास्त्रमा अणु भन्ने शब्द प्रायः कम कडाइका साथ प्रयोग गरिन्छ, यि विषयहरूमा पोलियटोमिक आयनहरू लाई नि अणु भन्‍ने चलन छ।
chemical-object;['प्रोटिन'];प्रोटिन मानिसको शरीरको लागि अति आवश्यक पौष्टिक तत्व हो ।
chemical-object;['समस्थानिक', 'आइसोटोप'];समस्थानिक भनेको त्यस्ता रासायनिक तत्व हुन् जसको नाभिकमा प्रोटोनहरूको संख्या समान हुन्छ तर तिनको नाभिकमा न्युट्रोनहरूको संख्या अलग-अलग हुन्छ। यिनको रासायनिक गुण त प्रायः समान हुन्छन् किन्तु केही भौतिक गुण भिन्न हुन्छन्।
classification-system;['चन्द्रमासिक सम्वत्'];चन्द्रमासिक संवत् वा चन्द्रमानक संवत् चन्द्रमाले पृथ्वी घुम्ने आधारमा निर्धारित पात्र प्रणाली हो । प्रत्येक चन्द्रमासमा लगभग २९.५ दिन हुने गर्दछ । विश्वका विभिन्न संस्कृतिका परम्परागत सम्बतहरू चन्द्रमासमा आधारित छन् ।
classification-system;['एच.टी.एम.एल.', 'एचटिएमएल', 'html', 'hypertext markup language'];एचटिएमएल एउटा स्क्रिप्टिङ भाषा हो जसको प्रयोग विभिन्न वेबसाइटहरू निर्माण गर्नको लागि गरिन्छ। यो कुनै पनि दस्तावेजमा अक्षरहरूमा आधारित जानकारीहरूको संरचना निर्धारण गर्ने स्क्रिप्टिङ भाषा हो। एचटिएमएलले अक्षर विशेषको लिङ्क, शीर्षक, अनुच्छेद, सूची आदिको रूपमा नोट गर्दछ तथा यसमा अन्तर्क्रियात्मक फारम, संलग्न चित्र, तथा अन्य ओब्जेक्ट जोड्दछ। एचटिएमएल ट्याग्सको रूपमा लेखिन्छ जुन एङ्गल ब्राकेट द्वारा घेरिएको हुन्छ। एचटिएमएल केही हदसम्म कुनै दस्तावेजको दृश्य, रूप आदिलाई निर्धारित गर्न सक्दछ तथा यसमा स्क्रिप्टिङ भाषा कोड जस्तो जाभास्क्रिप्ट, पिएचपी आदिमा पनि संलग्न गर्न सकिन्छ।
classification-system;['पात्रो', 'कालदर्शक', 'क्यालेण्डर'];पात्रो वा क्यालेन्डर एक प्रणाली हो जो समयलाई व्यवस्थित गर्नका लागि प्रयोग गरिन्छ। क्यालेन्डरको प्रयोग सामाजिक, धार्मिक, वाणिज्यिक, प्रशासनिक वा अन्य कार्यहरुका लागि गर्न सकिन्छ। यो कार्य दिन, सप्ताह, मास, वा वर्ष आदि समयावधिहरूलाई केही नाम दिएर गरिन्छ। प्रत्येक दिनलाई जो नाम दिइन्छ त्यो "तिथि" कहलाउँछ। प्राय: मास र वर्ष कुनै खगोलीय घटनादेखि सम्बन्धित हुन्छन् किन्तु यो सबै क्यालेन्डरहरुका लागि जरूरी छैन। अनेक सभ्यताहरु र समाजहरूले आफ्नो प्रयोगका लागि कुनै न कुनै क्यालेन्डर निर्मित गरे थिए जो प्राय: कुनै अर्को क्यालेन्डरदेखि व्युत्पन्न थिए ।
classification-system;['इस्लामी क्यालेण्डर'];इस्लामी पञ्चाङ्ग वा क्यालेन्डर वा मुस्लिम क्यालेन्डरलाई जसलाई हिजरी क्यालेन्डर पनि भन्दछन्, एक चन्द्र क्यालेन्डर हो, यो मात्र मुस्लिम देशहरूमा प्रयोग हुन्छ तर यसलाई पूरा विश्वका मुस्लिम इस्लामिक धार्मिक पर्वहरूलाई मनाऊन सही समय जाननका लागि प्रयोग गर्दछन्। यो चन्द्र-क्यालेन्डर छ, जसमा वर्षमा बारह मास, एवं ३५४ वा ३५५ दिवस हुन्छन्। किनभनें यो सौर क्यालेन्डरदेखि ११ दिवस सानो छ यस लागि इस्लामी धार्मिक तिथिहरु, जो कि यस क्यालेन्डरका अनुसार स्थिर तिथिहरूमा होतीं छन्, परन्तु प्रत्येक वर्ष पछिल्ला सौर क्यालेन्डरदेखि ११ दिन पछि हुन जान्छन्। यसलाई हिज्रा वा हिज्री पनि भन्दछन्, किनभनें यसको पहिलो वर्ष त्यो वर्ष हो जसमा कि हजरत मुहम्मदको मक्का शहरदेखि मदीनातर्फ हिज्ऱ वा वापसी भएको थियो। प्रत्येक वर्षका साथ वर्ष संख्याका पछि H जो हिज्रलाई सन्दर्भित गर्दछ वा AH
