abstract-quality;['ವ್ಯಕ್ತಿತ್ವ'];ವ್ಯಕ್ತಿತ್ವವು ಒಬ್ಬ ವ್ಯಕ್ತಿಯ ಭಾವನಾತ್ಮಕ, ಮನೋಭಾವದ, ಮತ್ತು ವರ್ತನಾತ್ಮಕ ಪ್ರತಿಕ್ರಿಯೆ ಮಾದರಿಗಳ ನಿರ್ದಿಷ್ಟ ಸಂಯೋಜನೆ.
agentive-physical-object;['ಎಳ್ಳು'];ಎಳ್ಳು ಸೆಸಮಮ್ ಪಂಗಡದಲ್ಲಿನ ಒಂದು ಹೂಬಿಡುವ ಸಸ್ಯ.
agentive-physical-object;['ರಾಗಿ', 'ಗುಲಿ ವಿಧಾನ: ರಾಗಿ', 'ಗುಳಿ ವಿಧಾನ: ರಾಗಿ', 'ರಾಗಿ ಬೆಳೆ.'];ರಾಗಿ ಆಫ್ರಿಕ ಮತ್ತು ಏಷ್ಯಾದ ಹಲವಾರು ಒಣ ಪ್ರದೇಶಗಳಲ್ಲಿ ಬೆಳೆಯಲಾಗುವ ಒಂದು ಬಗೆಯ ಆಹಾರ ಧಾನ್ಯ.
agentive-physical-object;['ಸರ್ಪಗಂಧ'];ಸರ್ಪಗಂಧ ಒಂದು ಔಷಧೀಯ ಸಸ್ಯ, ಬಹುವಾರ್ಷಿಕ ಸಸ್ಯ.
agentive-physical-object;['ಸೂಜಿಮಲ್ಲಿಗೆ', 'ದುಂಡು ಮಲ್ಲಿಗೆ'];ಸೂಜಿಮಲ್ಲಿಗೆ ಮಲ್ಲಿಗೆ ಹೂವಿನ ಒಂದು ಪ್ರಬೇಧ.
agentive-physical-object;['ಕಗ್ಗಲಿ', 'ಅಕೇಶಿಯ ಕ್ಯಾಟೆಚು'];ಕಗ್ಗಲಿ ಸುಮಾರು ೫೦ ಆಡಿಗಳಷ್ಟು ಎತ್ತರಕ್ಕೆ ಬೆಳೆಯುವ ಮರ.
agentive-physical-object;['ಪಲಾಶ', 'ಕಿಂಶುಕ', 'ಮುತ್ತುಗ'];ಪಲಾಶ - ಪಲಾಶ ಹಲವಾರು ರೋಗ್ಯಗಳಿಗೆ ಔಷಧವಾಗಿ ಉಪಯೋಗಿಸಲ್ಷಡುತ್ತದೆ, ಹಾಗೂ ಧಾರ್ಮಿಕ ಕಾರ್ಯಗಳಿಗೂ ಇವುಗಳನ್ನು ಬಳಸಲಾಗುತ್ತದೆ.
agentive-physical-object;['ಕಮರಾಕ್ಷಿ', 'ಧಾರೆ ಹುಳಿ'];ಕಮರಾಕ್ಷಿ, ಒಂದು ರಸವತ್ತಾದ ಮೃದು ಹಣ್ಣು.
agentive-physical-object;['ಹಲಸು'];ಹಲಸು ನಿತ್ಯಹರಿದ್ವರ್ಣದ ದೊಡ್ಡ ಪ್ರಮಾಣದ ಮರ.
agentive-physical-object;['ಪುನ್ನಾಗ', 'ಸುರಹೊನ್ನೆ', 'calophyllum inophyllum'];ಸುರಹೊನ್ನೆ ಮರವು ಗಟ್ಟಿಫೆರೀ ಕುಟುಂಬಕ್ಕೆ ಸೇರಿದ ಕಾಲೊಫಿಲ್ಲಂ ಟೊಮೆಂಟೋಸಮ್ ಪ್ರಭೇದದ ಸ್ತಂಭಾಕೃತಿಯ ಕಾಂಡದ ನಿತ್ಯಹರಿದ್ವರ್ಣದ ಮರ.
agentive-physical-object;['ಪುನ್ನಾಗ', 'ಸುರಹೊನ್ನೆ', 'calophyllum inophyllum'];ಪುನ್ನಾಗ ಮರವು ಗಟ್ಟಿಫರೆ ಕುಟುಂಬಕ್ಕೆ ಸೇರಿದ ವನ್ಯ ವೃಕ್ಷ.
agentive-physical-object;['ಆಲ', 'ಆಲದ ಮರ', 'ಆಲದ'];ಆಲ ಇದು ಭಾರತದ ರಾಷ್ಟ್ರವೃಕ್ಷ.ಹಿಂದಿನ ಕಾಲದಲ್ಲಿ ಇದರ ನೆರಳಿನಲ್ಲಿ ಬನಿಯಾಗಳು ತಮ್ಮ ವ್ಯಾಪಾರ ಮಾಡುತ್ತಿದ್ದುದರಿಂದ ಇದನ್ನು ಪ್ರವಾಸಿಗಳು ಬನಿಯಾನ್ ಟ್ರೀ ಎಂದು ಕರೆದರು.ಇದು ಬೃಹತ ಪ್ರಾಮಾಣದ್ದಾಗಿದ್ದು ಅಗಲವಾಗಿ ಹರಡಿರುವ ಕೊಂಬೆಗಳಿಂದ ಕೂಡಿದೆ.ಎಲ್ಲೆಡೆ ಸಾಲುಮರಗಳಾಗಿ ಬೆಳೆಸಲಾಗಿದೆ.ಜಗತ್ತಿನ ಅತ್ಯಂತ ದೊಡ್ಡದಾದ ಮರ ಕಲ್ಕತ್ತಾದಲ್ಲಿದೆ.
agentive-physical-object;['ಸೀಸಂ'];ಸೀಸಂ ಇದು ಸಾಮಾನ್ಯವಾಗಿ ಉತ್ತರ ಭಾರತೀಯ ರೋಸ್‌ವುಡ್ ಎಂದು ಕರೆಯಲ್ಪಡುತ್ತದೆ.
agentive-physical-object;['ಜಾಯಿಕಾಯಿ', 'ಮೈರಿಸ್ಟಿಕಾ ಫ್ರಾಗ್ರನ್ಸ್', 'ಜಾಪತ್ರೆ'];'ಇಂಗ್ಲೀಷ್'ನಲ್ಲಿ Myristica ಎಂದು ಕರೆಯಲಾಗುವ ಜಾಯಿಕಾಯಿ ಔಷಧೀಯ ಗುಣಗಳಿಂದಲೂ, ವಾಣಿಜ್ಯಿಕವಾಗಿ ಬಹಳ ಪ್ರಮುಖವಾದ ವನಸ್ಪತಿ.
agentive-physical-object;['ನೇರಳೆ ಗಾರ್ಸಿಯ'];ನೇರಳೆ ಗಾರ್ಸಿಯ ಗಾರ್ಸಿಯ ಎಂಬ ಮರದ ಹಣ್ಣು, ನೇರಳೆ ಗಾರ್ಸಿಯ ಎಂದು ಪ್ರಸಿದ್ದ್ಧವಾಗಿರುವ ಈ ಹಣ್ಣು ಉಷ್ಣವಲಯದ ನಿತ್ಯಹರಿದ್ವರ್ಣದ ಕಾಡುಗಳಲ್ಲಿ ಕಾಣಬಹುದು.ಇದನ್ನು ವೈಜ್ಞಾನಿಕವಾಗಿ ಮ್ಯಾಂಗೋಸ್ಟಾನ ಎಂದು ಕರೆಯಲಾಗುತ್ತದೆ.ಈ ಮರಗಳು ಸುಂಡ ದ್ವೀಪಗಳು ಮತ್ತು ಇಂಡೋನೇಷ್ಯಾದ ಮೊಲುಕ್ಕಸ್ನಲ್ಲಿ ಆರಂಭಗೊಂಡಲಾಗಿದೆ ಎಂದು ನಂಬಲಾಗಿದೆ.
agentive-physical-object;['ಹೊನ್ನೆ', 'ಪೆಟೋಕಾರ್ಪಸ್ ಮರ್ಸುಪಿಯಮ್', 'pterocarpus marsupium'];ಹೊನ್ನೆಒಂದು ದೊಡ್ಡ ಪ್ರಮಾಣದ ಮುಖ್ಯ ಚೌಬೀನೆ ಮರ.ಮಿಶ್ರಪರ್ಣಪಾತಿಅರಣ್ಯಗಳಲ್ಲಿ ೭೫ ರಿಂದ ೨೦೦ ಸೆ.ಮೀ.ಮಳೆ ಬೀಳುವ ಪ್ರದೇಶಗಲ್ಲಿ ಉತ್ತಮವಾಗಿ ಬೆಳೆಯುತ್ತದೆ.ಇದು ಭಾರತ,ನೇಪಾಳ,ಶ್ರೀಲಂಕಾಗಳ ಮೂಲ ಮರ.
agentive-physical-object;['ಗುಗ್ಗುಳ ಧೂಪ', 'boswellia serrata', 'ಗುಗ್ಗುಳದ ಮರ'];'ಗುಗ್ಗುಳ ಧೂಪ ಒಂದು ಮದ್ಯಮ ಪ್ರಮಾಣದ ಪರ್ಣಪಾತಿ ಮರ.ಕರ್ನಾಟಕದ ಶುಷ್ಕ ವಾತಾವರಣದಲ್ಲಿ ಹೆಚ್ಚಾಗಿ ಕಂಡು ಬರುತ್ತದೆ.
agentive-physical-object;['ಕಡಲ ಸೌತೆ'];== ಕಡಲ ಸೌತೆ == ಕಂಟಕ ಚರ್ಮಿವಂಶದ ಹೋಲೋತುರಾಯ್ಡಿಯ ವರ್ಗದ ಪ್ರಾಣಿಗಳಿಗಿರುವ ಜನಪ್ರಿಯ ಹೆಸರು.
agentive-physical-object;['ನಕ್ಷತ್ರಮೀನು', 'asteroidea'];ನಕ್ಷತ್ರಮೀನು ಅಥವಾ ಸಮುದ್ರ ನಕ್ಷತ್ರಗಳು ಆಸ್ಟೊಡಿಯೊಡೆಯ ವರ್ಗಕ್ಕೆ ಸೇರಿದ ನಕ್ಷತ್ರ ಆಕಾರದ ಎಕಿನೊಡರ್ಮ್ಗಳಾಗಿವೆ.
agentive-physical-object;['ಹೆಸರು ಕಾಳು', 'ಹೆಸರು ಬೇಳೆ'];ಹೆಸರು ಕಾಳು ಬಾಂಗ್ಲಾದೇಶ, ಭಾರತ ಮತ್ತು ಪಾಕಿಸ್ತಾನಕ್ಕೆ ಸ್ಥಳೀಯವಾದ ವಿಗ್ನಾ ರ‍್ಯಾಡಿಯೇಟಾದ ಬೀಜ.{The English word mung is derived from the Hindi word मूंग moong . Sanskrit word मुद्ग } ಸೀಳಲಾದ ಹೆಸರು, ಸಿಪ್ಪೆಯಿದ್ದಾಗ ಹಸಿರು ಬಣ್ಣ ಮತ್ತು ಸಿಪ್ಪೆ ತೆಗೆದಾಗ ಹಳದಿಯಾಗಿದ್ದು, ಹೆಸರು ಬೇಳೆ ಎಂದು ಪರಿಚಿತವಾಗಿದೆ.
agentive-physical-object;['ಸೋಯಾ ಅವರೆ', 'glycine max'];ಸೋಯಾ ಅವರೆಯು ಪೂರ್ವ ಏಷ್ಯಾಕ್ಕೆ ಸ್ಥಳೀಯವಾದ ದ್ವಿದಳಧಾನ್ಯದ ಒಂದು ಜಾತಿ.
agentive-physical-object;['ಸಮುದ್ರವಾಸಿ ಮೊಸಳೆ'];ಸಮುದ್ರವಾಸಿ ಅಥವಾ ನದೀಮುಖದಲ್ಲಿರುವ ಮೊಸಳೆ ಯು ಎಲ್ಲಾ ಜೀವಂತ ಸರೀಸೃಪಗಳ ಪೈಕಿ ಅತಿದೊಡ್ಡದು ಎನಿಸಿಕೊಂಡಿದೆ.
agentive-physical-object;['ಕಾಕಮಾಚಿ-ಕಾಗೆ ಗಿಡ', 'ಕಾಕಮಾಚಿ', 'ಕಾಗೆ ಗಿಡ'];ಔಷಧೀಯ ಸಸ್ಯಗಳು - ಕಾಕಿ ಗಿಡಇದು ಮಲೆನಾಡಿನಲ್ಲಿ ಬೆಳೆಯುವ ಕಳೆ ಗಿಡ, ಕೆಲವು ಕಡೆ ಔಷಧಿಗಾಗಿ ಸಾಗುವಳಿ ಮಾಡಿ ಬೆಳೆಯುವ ಪದ್ದತಿಯೂ ಇದೆ.
agentive-physical-object;['ಮೂಲಂಗಿ'];ಮೂಲಂಗಿ ಸಸ್ಯಹಾರಿಗಳ ಬಹು ಬಳಕೆಯ ತರಕಾರಿ.
agentive-physical-object;['ಯುರೇಶಿಯನ್ ಟ್ರೀ ಸ್ಪ್ಯಾರೋ'];ಪಾಸರ್ ಮೊಂಟಾನಸ್ ಎಂಬುದು ಒಂದು ಜಾತಿಯ ಯುರೇಶಿಯನ್ ಟ್ರೀ ಸ್ಪ್ಯಾರೋ ಮರದಲ್ಲಿ ವಾಸಿಸುವ ಗುಬ್ಬಚ್ಚಿಯಾಗಿದ್ದು, ಇದು ಗುಬ್ಬಚ್ಚಿ ಸಮೂಹ ದಲ್ಲಿ ಸೇರ್ಪಡೆಯಾಗಿದೆಯಲ್ಲದೇ, ಇದರ ತಲೆಯ ಬಣ್ಣ ಮತ್ತು ಕುತ್ತಿಗೆಯ ಹಿಂಭಾಗ ಕಡು ಕಂದು ಬಣ್ಣದಿಂದ ಕೂಡಿದೆ ಹಾಗೆಯೇ, ಅದರ ಪ್ರತಿಯಾದ ಪರಿಶುದ್ಧವಾದ ಬಿಳಿ ಕದಪುಗಳಲ್ಲಿ ಕಪ್ಪು ಬಣ್ಣದ ಮಚ್ಚೆಗಳಿವೆ.
agentive-physical-object;['ಜಿಪ್ಸೀ ಪತಂಗ'];ಜಿಪ್ಸೀ ಪತಂಗ - ಲೆಪಿಡಾಪ್ಟಿರ ಗಣದ ಲಿಪಾರಿಡೀ ಕುಟುಂಬಕ್ಕೆ ಸೇರಿದ ಪತಂಗ.
agentive-physical-object;['ಅಲೈಟಿಸ್'];ಅಲೈಟಿಸ್ ನೆಲಗಪ್ಪೆ.
agentive-physical-object;['ಆವಕಿರೆ'];ಸಾಮಾನ್ಯವಾಗಿ ಮಳೆ ಕಡಿಮೆ ಬೀಳುವ ಮರಳು ಮಿಶ್ರಿತ ಫಲವತ್ತಲ್ಲದ ಪ್ರದೇಶಗಳಲ್ಲಿ ಬೆಳೆಯುವ ನಿತ್ಯಹರಿದ್ವರ್ಣದ ಗಿಡ.
agentive-physical-object;['ಆಲಿವ್', 'olea europaea'];ಆಲಿವ್‌ ಎಂಬುದು ಸಣ್ಣ ಮರಗಳ ಪ್ರಭೇದ.
agentive-physical-object;['ಹಾಲೆ ಮರ', 'alstonia scholaris'];ಗಿಡದ ಯಾವ ಭಾಗವನ್ನು ಕತ್ತರಿಸಿದರೂ ಹಾಲು ಹೊಮ್ಮುವುದರಿಂದ ಇದನ್ನು ಹಾಲೆ ಮರ ಎಂದು ಕರೆಯುತ್ತಾರೆ.
agentive-physical-object;['ಬರಗು'];ಬರಗು ಜಪಾನ್, ಚೀನ, ಮಧ್ಯ ಹಾಗೂ ದಕ್ಷಿಣ ರಷ್ಯ, ಆಫ್ರಿಕ, ಭಾರತ ಮತ್ತು ಅಮೆರಿಕಗಳಲ್ಲಿ ವ್ಯವಸಾಯದಲ್ಲಿರುವ ಆಹಾರಧಾನ್ಯ.
agentive-physical-object;['ಉರಗಪಕ್ಷಿ'];ಉರಗಪಕ್ಷಿ: ಉರಗವರ್ಗದ ಡೈಆಪ್ಸಿಡ ಉಪವರ್ಗದ ಟೀರೋಸಾರಿಯ ಗಣದ ಗತವಂಶೀ ಪ್ರಾಣಿಗಳು.
agentive-physical-object;['ಡೋಡೋ', 'raphus cucullatus'];ಡೋಡೋ ಎಂಬುದು ಹಾರಲಾರದ ಪಕ್ಷಿಯಾಗಿದ್ದು ಹಿಂದೂ ಮಹಾಸಾಗರದ ದ್ವೀಪವಾದ ಮಾರಿಷಸ್‌ನ ಸ್ಥಳೀಯ ಪಕ್ಷಿಯಾಗಿದೆ.
agentive-physical-object;['ಆರ್ಕಿಯಾಪ್ಟೆರಿಕ್ಸ್', 'archaeopteryx lithographica'];ಆರ್ಕಿಯಾಪ್ಟೆರಿಕ್ಸ್ಮೀಸೊಜೋಯಿಕ್ ಅಥವಾ ಜುರಾಸಿಕ್ ಕಲ್ಪದ ಇದ್ದ ಉರಗ ಮತ್ತು ಪಕ್ಷಿ ಲಕ್ಷಣಗಳೆರಡನ್ನೂ ಹೊಂದಿದ ಪ್ರಾಣಿಯ ಪಳೆಯುಳಿಕೆ.
agentive-physical-object;['ಹೋಮೋ ಎರೆಕ್ಟಸ್', 'homo erectus'];ಹೋಮೋ ಎರೆಕ್ಟಸ್ ಹೋಮಿನಿನಿ ಬುಡಕಟ್ಟಿನ ಒಂದು ದ್ವಿಪಾದಿ ಮಾನವ ಮತ್ತು ಸುಮಾರು ೧.೯ ದಶಲಕ್ಷ ಹಿಂದಿನಿಂದ ಮತ್ತು ೭೦೦೦೦ ವರುಷಗಳ ಹಿಂದಿನವರೆಗೆ ಪ್ಲಿಸ್ಟೋಸಿನ್ ಕಾಲಮಾನದ ಬಹಳಷ್ಟು ಭಾಗದಲ್ಲಿ ಬದುಕಿದ್ದ.
agentive-physical-object;['ಬೆಕ್ಕು', 'felis silvestris catus'];ಬೆಕ್ಕು ಒಂದು ಚಿಕ್ಕ ಪರಭಕ್ಷಕ ಮತ್ತು ಮಾಂಸಾಹಾರಿ ಸಸ್ತನಿ ಕಾರ್ನಿವೊರ ಕುಟುಂಬಕ್ಕೆ ಸೇರಿದ ಸಾಕುಪ್ರಾಣಿ.
agentive-physical-object;['ದನ', 'bos primigenius taurus', 'ಆಕಳು', 'ಹಸು'];ದನಗಳು ದೊಡ್ಡ ಪಳಗಿಸಿದ ಗೊರಸುಳ್ಳ ಪ್ರಾಣಿಗಳ ಅತಿ ಸಾಮಾನ್ಯ ವಿಧ.
agentive-physical-object;['ಕೆನ್ನಾಯಿ', 'ಸೀಳು ನಾಯಿ'];ಕೆನ್ನಾಯಿ ದಕ್ಷಿಣ ಮತ್ತು ಆಗ್ನೇಯ ಏಷ್ಯಾಕ್ಕೆ ಸ್ಥಳೀಯವಾದ ಕ್ಯಾನಿಡೈ ಕುಟುಂಬದ ಒಂದು ಪ್ರಜಾತಿ.
agentive-physical-object;['ಅಶ್ವತ್ಥಮರ', 'ಅರಳೀ ಮರ'];ಅಶ್ವತ್ಥಮರ ಭಾರತೀಯರಿಗೆಲ್ಲರಿಗೂ ಪವಿತ್ರವೆಂದು ಪರಿಗಣಿತವಾದ ಮರ.ಇದು ದಕ್ಷಿಣ ಏಷಿಯಾದಲ್ಲಿ ವ್ಯಾಪಕವಾಗಿರುವ ಮರ.
agentive-physical-object;['ಡಾರ್ಟರ್', 'ಹಾವಕ್ಕಿ', 'ಹಾವ್ಹಕ್ಕಿ'];ಡಾರ್ಟರ್ ಅಥವಾ ಸ್ನೇಕ್ ಬರ್ಡ್ ಗಳು ಮುಖ್ಯವಾಗಿ ಆನ್‌ಹಿಂಜಿಡೆ ಜಾತಿಗೆ ಸೇರಿದ ಉಷ್ಣವಲಯಕ್ಕೆ ವಿಶಿಷ್ಟವಾದ ನೀರುಹಕ್ಕಿಗಳಾಗಿವೆ.
agentive-physical-object;['ಗಾಳಗಾರ ಮೀನು'];ಸಾಗರದಾಳದಲ್ಲಿ ಜೀವಿಸುವ ಅನೇಕ ಮೀನುಗಳಿಗೆ ಬಹಳ ದೊಡ್ಡ ತಲೆ ಮತ್ತು ಚಿಕ್ಕ ದೇಹಗಳಿರುತ್ತವೆ.
agentive-physical-object;['ಬಗನಿ', 'caryota urens'];ಬಗನಿ ಮರ ತಾಳೆ ಜಾತಿಯ ಒಂದು ಮರ.ಕರ್ನಾಟಕದಲ್ಲಿ ಪಶ್ಚಿಮಘಟ್ಟ ಪ್ರದೇಶಗಳಲ್ಲಿ ಕಂಡು ಬರುವುದು.
agentive-physical-object;['ಆನೆ'];== ಪ್ರಾಚೀನತೆ == ಈ ಲೇಖನದ ವಿಂಗಡಣೆ ವಿಭಾಗ ನೋಡಿಪ್ರಾಣಿಶಾಸ್ತ್ರದ ಪ್ರಕಾರ ಆನೆ ಸಸ್ತನಿಗಳ ವರ್ಗದಲ್ಲಿ ಪ್ರೊಬೊಸಿಡಿಯ ಉಪವರ್ಗದ ಒಂದು ಕುಟುಂಬ.
agentive-physical-object;['ಮಳೆಬಿಲ್ಲು ಟ್ರೌಟ್', 'ರೇನ್\u200dಬೋ ಟ್ರೌಟ್'];ರೇನ್‍ಬೋ ಟ್ರೌಟ್ ಏಷ್ಯಾ ಮತ್ತು ಉತ್ತರ ಅಮೆರಿಕಾದಲ್ಲಿನ ಪೆಸಿಫಿಕ್ ಮಹಾಸಾಗರದ ತಣ್ಣೀರಿನ ಉಪನದಿಗಳಿಗೆ ಸ್ಥಳೀಯವಾದ ಸ್ಯಾಲ್ಮನಿಡ್‍ನ ಪ್ರಜಾತಿ.
agentive-physical-object;['ಪ್ರೊಟಿಸ್ಟ್'];ಪ್ರೊಟಿಸ್ಟ್ ಪ್ರಾಣಿಗಳು, ಸಸ್ಯ, ಅಥವಾ ಶಿಲೀಂಧ್ರವಲ್ಲದ ಯೂಕ್ಯಾರಿಯೋಟಿಕ್ ಜೀವಿ.
agentive-physical-object;['ಬಸವನ ಹುಳು'];ಬಸವನ ಹುಳು ನೀರಿನಲ್ಲಿ ಹಾಗೂ ಭೂಮಿಯಲ್ಲಿ ವಾಸಿಸುತ್ತವೆ.
agentive-physical-object;['ಧಾನ್ಯ'];ಹಣ್ಣು ಮತ್ತು ಸಿಪ್ಪೆಯನ್ನು ಹೊಂದಿರುವ ಅಥವಾ ಹೊಂದದೆ ಇರುವ ಸಣ್ಣ, ಗಟ್ಟಿಯಾದ ಏಕದಳ ಸಸ್ಯಗಳ ಬೀಜವನ್ನು ಧಾನ್ಯವೆಂದು ಕರೆಯುತ್ತಾರೆ.
agentive-physical-object;['ಗೂಳಿ ನೊಣ'];ಗೂಳಿ ನೊಣಡಿಪ್ಟರ ಗಣದ ಈಸ್ಟ್ರಿಡೀ ಕುಟುಂಬಕ್ಕೆ ಸೇರಿದ ಒಂದು ಕೀಟ.
agentive-physical-object;['ಬದನೆ', 'ಗುಂಡು ಬದನೆಗಿಡ', 'ನೆಲಗುಳ್ಳ', 'ಬಿಳಿಬದನೆ', 'solanum melongena', 'ಬದನೆಕಾಯಿ', 'ಬದ್ನೆ', 'ಬದ್ನೆಕಾಯಿ', 'ಸೀಮೆಬದ್ನೇಕಾಯಿ ಬೆಳೆ'];ಬದನೆ ಸೊಲನೆಸೆ
agentive-physical-object;['ನಾಗಸಂಪಿಗೆ', 'mesua ferrea'];ನಾಗಸಂಪಿಗೆಯು 'ಸಿಲೋನ್ ಐರನ್ ವುಡ್'ಎಂದು ಪ್ರಸಿದ್ಧವಾಗಿದೆ.ಇದು ಮದ್ಯಮ ಪ್ರಮಾಣದಲ್ಲಿ ದೊಡ್ಡಗಾತ್ರಕ್ಕೆ ಬೆಳೆಯುವ ಮರ.ಪರಿಮಳದ ಹೂವಿನಿಂದ ಕೂಡಿ ಅತ್ಯಂತ ಗಟ್ಟಿಯಾದ ದಾರುವನ್ನು ಹೊಂದಿದೆ.
agentive-physical-object;['ಚೌಡಂಗಿ'];ಚೌಡಂಗಿ ಸಸ್ಯದ ವೈಜ್ಞಾನಿಕ ಹೆಸರು ಸೊಲಾನ್ಂ ಇರಿಯಾಂತಂ
agentive-physical-object;['ಕರೀಜೀರಿಗೆ'];ಕರೀಜೀರಿಗೆ ರಾನನ್ಕ್ಯುಲೇಸೀ ಕುಟುಂಬಕ್ಕೆ ಸೇರಿದ ನೈಜೆಲ ಸೇಟಿವ ಎಂಬ ಶಾಸ್ತ್ರೀಯ ಹೆಸರಿನ ಪುಟ್ಟಮೂಲಿಕೆ .ಬ್ಲಾಕ್ ಕಾರವೇ ಮತ್ತು ನೆಜೆಲ್ಲಾ ಅಥವಾ ಕಲೋಂಜಿ ಎಂದೂ ಹಸರಿದೆ.
agentive-physical-object;['ಕೆಸು', 'ಕೆಸವು', 'ಕೆಸವೆ'];ಕೆಸು ಜವುಗು ಹಾಗೂ ನೆರಳಿನಲ್ಲಿ ಬೆಳೆಯುವ ಒಂದು ಸಸ್ಯ.
agentive-physical-object;['ಆಲ್ಫಾಲ್ಫ', 'medicago sativa'];ಆಲ್ಫಾಲ್ಫ ಲೆಗ್ಯೊಮಿನೋಸಿ ಕುಟುಂಬದ ಪಾಪಿಲಿಯೊನೇಸಿ ವಿಭಾಗಕ್ಕೆ ಸೇರಿದ ಗಿಡ.
agentive-physical-object;['ಶ್ರೀಗಂಧ'];ಶ್ರೀಗಂಧವು ಒಂದು ಸುವಾಸಿತ ಮರ.
agentive-physical-object;['ದುಂಬಿ', 'coleoptera', 'ಅಲರುಣಿ', 'ಅಲಿ', 'ಅಳಿ'];ದುಂಬಿಗಳು ಅಥವಾ ಜೀರುಂಡೆಗಳು ಕೋಲಿಯಾಪ್ಟರ ಗಣವನ್ನು ರೂಪಿಸುವ ಕೀಟಗಳ ಒಂದು ಗುಂಪು.
agentive-physical-object;['ಉಮ್ಮತ್ತಿ', 'ದತ್ತೂರ'];ಉಮ್ಮತ್ತಿ ಸೊಲನೇಸೀ ಕುಟುಂಬದ ಸಸ್ಯ.
agentive-physical-object;['ಜಂತುಹುಳು', 'ascaris lumbricoides'];ಜಂತುಹುಳು ಮಾನವರ ಕರುಳಿನಲ್ಲಿರುವ ಒಂದು ಪರೋಪಜೀವಿ.
agentive-physical-object;['ಸಂಧಿಪದಿಗಳು', 'ಸಂಧಿಪದಿ', 'arthropoda'];ಸಂಧಿಪದಿಗಳು ಅಕಶೇರುಕ ಪ್ರಾಣಿಗಳಾಗಿದ್ದು, ಇವು ಹೊರ ಕಂಕಾಲ, ವಿಭಜಿತ ದೇಹ ಮತ್ತು ಜೋಡಿಸಲಾದ ಕೀಲು ಕಾಲುಗಳನ್ನು ಹೊಂದಿರುತ್ತವೆ.
agentive-physical-object;['ಮುಂಗಸಿ', 'herpestes edwardsii'];ಮುಂಗಸಿ ಅಥವಾ ಮುಂಗುಸಿ ಇದರ ವೈಜ್ಞಾನಿಕ ಹೆಸರು : ಹೆರ್ಪೆಸ್ಟ್ಸ್ ಎಡ್ವಡ್ಸಿ ಭಾರತದಲ್ಲಿ ಎಲ್ಲೆಡೆ ಕಂಡು ಬರುವ ಪ್ರಾಣಿ.
agentive-physical-object;['ಕೂಗರ್', 'puma concolor'];ಕೂಗರ್ ಅಮೆರಿಕ ಖಂಡಗಳಿಗೆ ಸೀಮಿತವಾಗಿರುವ ಒಂದು ಹಬ್ಬೆಕ್ಕು.ಇದಕ್ಕೆ ಪ್ಯೂಮ, ಮೌಂಟನ್ ಲಯನ್, ಪ್ಯಾಂಥರ್, ಕ್ಯಾಟಮೌಂಟ್, ಪಯಿಂಟರ್ ಎಂಬ ಹೆಸರುಗಳೂ ಇವೆ.
agentive-physical-object;['ಎಮು'];ಎಮು ಅಥವಾ ಡ್ರೊಮೈಯಸ್‌ ನೊವೇಹೊಲ್ಯಾಂಡಿಯೇ ಎಂಬ ಶಾಸ್ತ್ರೀಯ ಹೆಸರಿನಿಂದ ಕರೆಯಲ್ಪಡುವ ಪಕ್ಷಿಯು ಆಸ್ಟ್ರೇಲಿಯಾ ಮೂಲದ ಒಂದು ಅತ್ಯಂತ ದೊಡ್ಡ ಪಕ್ಷಿಯಾಗಿದೆ ಮತ್ತು ಡ್ರೊಮೈಯಸ್‌ ಕುಲಕ್ಕೆ ಸೇರಿರುವ ಏಕೈಕ ಉಪಲಬ್ಧ ಸದಸ್ಯನಾಗಿದೆ.
agentive-physical-object;['ಕಿಯಾ ಗಿಣಿ', 'kéa', 'nestor notabilis'];ಕಿಯಾ ಗಿಣಿನ್ಯೂಜಿಲ್ಯಾಂಡ್ ದ್ವೀಪ ಸಮೂಹದಲ್ಲಿ ಸಾಮಾನ್ಯವಾಗಿ ಕಂಡು ಬರುವ ಗಿಣಿ ಜಾತಿಯ ಹಕ್ಕಿ.
agentive-physical-object;['ಕಾಳಿಂಗ ಸರ್ಪ'];ಕಾಳಿಂಗ ಸರ್ಪ ವು ೫.೬ ಮೀಟರ್‌ಗಳವರೆಗೆ ಬೆಳೆಯುವ ವಿಶ್ವದ ಅತಿ ಉದ್ದದ ವಿಷಪೂರಿತ ಹಾವು ಆಗಿದೆ.
agentive-physical-object;['ಚಿರತೆ', 'panthera pardus'];ಚಿರತೆಯು ಆಫ಼್ರಿಕಾ ಹಾಗು ಉಷ್ಣವಲಯ ಏಷ್ಯಾದ ಕೆಲವು ಭಾಗಗಳು, ಸೈಬೀರಿಯಾ, ದಕ್ಷಿಣ ಹಾಗು ಪಶ್ಚಿಮ ಏಷ್ಯಾದಿಂದ ಆಫ಼್ರಿಕಾದ ಉಪ ಸಹಾರಾ ಪ್ರದೇಶಗಳ ಬಹುಪಾಲು ಉದ್ದಗಲದವರೆಗಿನ ವ್ಯಾಪಕ ವ್ಯಾಪ್ತಿಯ ಫ಼ೆಲಿಡೈ ಕುಟುಂಬದ ಒಂದು ಸದಸ್ಯ.
