abstract-quality;['personalidad', 'perfil', 'caracter', 'carácter', 'personalidades'];Concepto en psicología
activity;['estañado', 'estañadura'];Proceso de cubrir con estaño una pieza hecha de otro metal
activity;['emboscada', 'celada', 'zalagarda', 'encerrona', 'trampa', 'al acecho', 'ataque sorpresa', 'emboscadas'];táctica militar consistente en un ataque violento y sorpresivo sobre un elemento enemigo
activity;['conducción', 'manejo', 'operador de vehículo', 'conduccion', 'conductor de vehículo', 'conduccion de automoviles', 'conduccion de automóviles', 'conduccion de vehiculos', 'conduccion de vehículos', 'conducción de automóviles', 'conducción de vehiculos', 'conducción de vehículos', 'automovilistas'];Operación de manera controlada de un vehículo
activity;['molde', 'fundición', 'moldeado', 'casting', 'modelado', 'colada', 'troquel', 'contracción', 'fundición de metales', 'moldeo'];Pieza usada para la creación de otra en su interior hueco
activity;['molde', 'fundición', 'moldeado', 'casting', 'modelado', 'colada', 'troquel', 'contracción', 'fundición de metales', 'moldeo'];Proceso de formación de metales que consiste en verter metal líquido en un molde
activity;['defensa personal', 'autoprotección', 'defensa propia', 'autodefensa', 'arma defensiva'];Conjunto de medidas que tienen como objetivo la defensa propia, de la propiedad o del bienestar de daño externo
activity;['boleador', 'bolear', 'bolos'];Lanzamiento de cricket
activity;['boleador', 'bolear', 'bolos'];Jugador de cricket que lanza la pelota
activity;['disciplina', 'disciplina militar', 'disciplinal', 'disciplinar', 'disciplinario', 'disciplinas'];Autocontrol
activity;['detección', 'espionaje', 'captación', 'localización'];Acción de acceder a información sin cooperación específica o sincronización con el remitente
activity;['cuantificación', 'cuantificador'];Acto de contar y medir como parte del método científico
activity;['campamento', 'camping', 'acampada', 'cámping', 'vivac', 'campin', 'campismo', 'refugio vivac', 'tenting', 'vivaqueando'];Actividad humana que consiste en colocar una vivienda temporal en un lugar con el fin de habitarla
activity;['exposición de arte', 'exhibición de arte', 'exhibicion artistica', 'exhibicion de arte', 'exhibición artística', 'exposicion de arte', 'muestra de arte', 'exposicion artistica', 'exposición artística', 'exhibicion artística', 'exhibiciones artisticas', 'exhibiciones artísticas', 'exhibición artistica', 'exposiciones de arte'];Espacio donde se dan a conocer al público los objetos artísticos
activity;['exilio', 'deportación', 'exiliado', 'expatriación', 'destierro penal', 'destierro', 'exiliados', 'transporte penal', 'transporte pena', 'exhilio', 'exiliada', 'exiliadas', 'refugiado politico', 'refugiado político', 'auto-exilio', 'desterrar'];Salida de un individuo de algún sitio por un motivo propio del individuo
activity;['minería', 'industria minera', 'excavación', 'explotación minera', 'extracción', 'residuo mineral', 'mineras', 'mineria', 'mineria bajo tierra', 'minería bajo tierra', 'extracción de minerales', 'extracción minera', 'industria extractiva', 'industrias extractivas', 'minería subterránea'];Extracción de minerales valiosos u otros materiales geológicos
activity;['gobierno', 'administración', 'gobernanza', 'gobernabilidad', 'gobernancia', 'gobierno relacional', 'actividad gubernamental', 'gobernante', 'gobiernos', 'sistema de gobierno'];Administración política o gubernamental
activity;['hipnotismo', 'sugestión', 'mesmerismo', 'sugestion', 'sugestiones', 'sugerencia'];Influir una idea, generalmente de manera obsesiva, acrítica, irracional e incluso intimidatoria, en el comportamiento de un individuo
activity;['salto', 'saltar'];Forma de locomoción o movimiento
activity;['cinematografía', 'cine', 'filmación', 'rodaje', 'cinefotógrafo', 'cinematográfica', 'cinematográfica fotografía', 'cinematográfico'];Arte de producir imágenes en movimiento
activity;['serigrafía', 'serigrafia', 'serigrafías', 'pantalla de seda'];Técnica de impresión
activity;['ciencias de administración y gestión', 'gestión', 'administración', 'management'];Conjunto de actividades de coordinación de los esfuerzos de las personas
activity;['socialización', 'socializar', 'sociabilidad', 'sociabilizacion', 'sociabilización', 'sociable', 'socializacion', 'socializados'];Proceso mediante el cual el ser humano aprende los elementos socioculturales de su medioambiente
activity;['salto de esquí', 'saltos de esquí', 'salto en esquí', 'salto de esqui', 'salto en esqui', 'saltos de esqui', 'saltos en esqui', 'saltos en esquí'];Deporte de invierno
activity;['persuasión', 'convencimiento', 'coacción', 'retórica', 'persuasion', 'persuadir'];Influencia social de las creencias, actitudes, intenciones, motivaciones y comportamientos
activity;['juego', 'apuesta', 'juego de apuestas', 'juegos de apuestas', 'juego por dinero', 'apuestas', 'juegos', 'jugadores'];Forma de juego basado en el azar, del que se espera obtener algún tipo de beneficio
activity;['posesión', 'propiedad', 'tenencia', 'posesion', 'poseedor', 'dueño de la mayoría', 'propietarios'];Hecho jurídico que consiste en que una persona tenga en su poder una cosa corporal como señor y dueño
activity;['protesta', 'objeción', 'disensión', 'manifestación', 'disidencia', 'disidente', 'manifestante', 'protesta grupo', 'protesta política', 'protestas'];Expresión de objeción ante eventos, políticas o situaciones particulares
activity;['castigo', 'pena', 'penalización', 'penable', 'penada', 'penadas', 'penado', 'penados', 'derecho penal ejecutivo', 'castigar', 'sanción penal', 'sistema penal'];Castigo impuesto por la violación de una norma
activity;['racionamiento', 'administración', 'dosificación', 'graduación', 'racionamiento de alimentos'];Distribución controlada de recursos limitados y bienes de consumo
activity;['alquiler', 'arrendamiento', 'arriendo', 'contrato de arrendamiento', 'alogador', 'alogamiento', 'alogar', 'aloguer', 'alquiler social', 'arrendador', 'arrendamiento urbano', 'arrendatario', 'contrato de alquiler', 'locacion', 'locación', 'renting', 'alquilar'];Contrato por el cual el arrendador se obliga a transferir temporalmente el uso y goce de una cosa mueble o inmueble al arrendatario, quien a su vez se obliga a pagar por ese uso o goce un determinado precio
activity;['repatriación', 'repatriados'];Proceso de devolver un activo, un artículo o una persona a su dueño o su lugar de origen o ciudadanía
activity;['redirección de url'];Técnica para hacer que una página web esté disponible en más de una dirección URL
activity;['dirección', 'gobierno', 'direccion', 'mecanismo de dirección', 'dirección a las cuatro ruedas', 'dirección en las cuatro ruedas'];Conjunto de órganos que permiten a cualquier vehículo modificar su trayectoria para seguir el rumbo deseado
activity;['natación', 'natacion', 'estilos de nado', 'nadadora', 'nado', 'natación olímpica', 'nadar', 'natación competitiva'];Deporte
activity;['baño', 'ablución', 'lavatorio'];Inmersión total o parcial de un cuerpo en un líquido
activity;['silbido', 'silbando', 'silbar', 'chiflido'];Sonido agudo, resultante de hacer pasar un soplido a través de los labios fruncidos
activity;['diseño', 'modelo', 'diseñar', 'disenadores', 'disenar', 'diseno', 'diseñado', 'diseños', 'filosofía de diseño', 'filosofía diseño', 'proceso de diseño'];Creación de un plano o convención para la construcción de un objeto o un sistema
activity;['descolonización', 'descolonizacion', 'descolonizado'];Proceso de dejar una situación colonial
activity;['vigilantismo', 'justiciero ficticio', 'justiciero de ficcion', 'justiciero de ficción', 'justiciero imaginario', 'vigilante ficticio', 'vigilante imaginario', 'vigilante', 'vigilantes'];Tipo de personaje
activity;['vigilantismo', 'justiciero ficticio', 'justiciero de ficcion', 'justiciero de ficción', 'justiciero imaginario', 'vigilante ficticio', 'vigilante imaginario', 'vigilante', 'vigilantes'];Autojusticia sistematizada
activity;['tauromaquia', 'toreo', 'lidia', 'fiesta de los toros', 'fiesta del toro bravo', 'tauromáquico', 'taurómaco', 'corridas de toros', 'corrida de toros'];Técnica de lidiar toros
activity;['comunicación', 'comunicación social', 'ciencias de la comunicación', 'comunicacion social', 'comunicacion', 'comunicador social', 'receptor', 'comunicaciones', 'el intercambio de informacion', 'el intercambio de información', 'comunicar', 'la comunicacion', 'la comunicación', 'teoria de la comunicacion', 'teoria de la comunicación', 'teoria de la comunicacíon', 'teoría de la comunicacion', 'teoría de la comunicación', 'teoría de la comunicacíon', 'comunicado', 'comunicarse', 'falta de comunicación', 'habilidades de comunicación'];Habilidad social
activity;['cifrado', 'codificación', 'encriptación', 'ciframiento', 'criptografía', 'código secreto', 'encriptar', 'algoritmo de cifrado', 'cifrar', 'descifrar'];Procedimiento que transforma un mensaje de tal forma que sea incomprensible
activity;['control'];Función gerencial
activity;['negocios', 'negocio', 'empresa', 'organización comercial', 'empresas', 'organizacion comercial', 'negociante', 'negocioso', 'negozuelo', 'con fines de lucro', 'empresa comercial', 'negocio de la empresa', 'sistema de negocios'];Organización dedicada a la actividad comercial, industrial o profesional
activity;['montaje', 'edición', 'edicion', 'edición cinematográfica', 'edición de cine', 'montaje cinematografico', 'montaje cinematográfico', 'edicion cinematografica', 'edicion de cine', 'director de montaje', 'sala de montaje', 'edición de películas'];Edición cinematográfica
activity;['transporte por carretera', 'camionaje', 'transporte por camión', 'transporte terrestre', 'el negocio de mudar los bienes entre lugares', 'camiones', 'transportación'];De mercancías y viajeros
activity;['adoración', 'devoción', 'veneración', 'adoracion', 'culto', 'culto religioso'];Acto de devoción religiosa
activity;['sedación', 'drogar'];Reducción de la irritabilidad y la agitación mediante la administración de medicamentos
activity;['aculturación', 'endoculturación', 'enculturación', 'aculturacion', 'aculturada', 'aculturado', 'aculturar', 'aculturización', 'aculturizada', 'aculturizado', 'aculturizar', 'enculturacion', 'endoculturacion', 'aculturizacion'];Proceso de cambio cultural y psicológico
activity;['tenor', 'heldentenor', 'tenor de voz', 'tenor dramático', 'tenor lírico', 'tenores'];Tipo de voz
activity;['juegos olímpicos en la antigüedad', 'juegos olímpicos', 'juegos olímpicos antiguos', 'olimpíada', 'juegos olimpicos en la antiguedad', 'antiguos juegos olimpicos', 'juegos olimpicos antiguos', 'juegos olimpicos de la antiguedad', 'juegos olimpicos de la antigüedad', 'juegos olimpicos en la antigüedad', 'juegos olímpicos de la antiguedad', 'juegos olímpicos en la antiguedad', 'olimpiadas griegas', 'antiguos juegos olímpicos', 'juegos en la antiguedad', 'juegos en la antigüedad', 'juegos olímpicos de la antigüedad'];Competición atlética celebrada en Olimpia, antigua Grecia
activity;['teatro', 'arte dramático', 'dramaturgia', 'arte dramatico', 'teatral', 'teatralidad', 'teatralización', 'teatralizar', 'teatrero', 'teatro al aire libre', 'artes teatrales', 'teatro en vivo', 'teatros', 'artes escénicas', 'compañía de teatro', 'compañía teatral', 'estudios de teatro', 'lugar de entretenimiento', 'lugar entretenimiento', 'teatro infantil'];Arte de la composición y representación de un drama
activity;['batalla de zama', 'zama'];202 a. C. entre el general cartaginés Aníbal Barca y el joven Publio Cornelio Escipión, «el Africano Mayor».
activity;['batalla de hastings', 'hastings', 'batalla deee hastings'];Batalla que se produjo el 14 de octubre 1066
activity;['batalla de waterloo', 'waterloo'];Última batalla de las guerras napoleónicas
activity;['batalla de bosworth', 'bosworth', 'batalla de bosworth field', 'bosworth field'];Batalla de la Guerra de las Dos Rosas sucedida en 1485
activity;['decálogo', 'diez mandamientos', 'diez palabras', '10 mandamientos', 'tablas de la ley', 'decalogo', 'decálogo de los diez mandamientos', 'el decalogo', 'los 10 mandamientos', 'decalogo de los diez mandamientos', 'el decálogo', 'mandamiento', 'mandamientos', 'los diez mandamientos', 'quinto mandamiento'];Lista de preceptos religiosos
activity;['batalla de inglaterra', 'battle of britain'];Combates aéreos de la Segunda Guerra Mundial
activity;['auto de fe', 'autodafe', 'autos de fe', 'auto-da-fe', 'auto-da-fé', 'auto de fé'];Acto público organizado por la Inquisición
activity;['turismo', 'turismo vale verga', 'industria turística', 'industria del turismo', 'turistico', 'turística', 'turístico', 'atracciones', 'touristry', 'turismo de masas', 'turistas', 'viajes internacionales'];Conjunto de fenómenos relacionados con el desplazamiento temporal de las personas
activity;['editorial', 'edición de libros', 'publicación', 'edición', 'edicion literaria', 'edición literaria', 'diva elvira puig cardozo', 'edicion', 'edicion de libro', 'edicion de libros', 'edicion de revistas', 'ediciones', 'edición de libro', 'edición de publicaciones', 'edición de revistas', 'editor de libros', 'editor de publicaciones', 'editor de revistas', 'editorial de libros', 'editoriales de libros', 'empresa editorial', 'fondo editorial', 'industria editorial', 'industria grafica', 'industria gráfica', 'mundo editorial', 'producción editorial', 'publicacion editorial', 'publicación editorial', 'acuerdo para un libro', 'publicar'];Industria relativa a la producción y difusión de libros, música o información.
activity;['primera piedra', 'colocación de la primera piedra', 'puesta de primera piedra', 'ceremonia', 'innovador'];Ceremonia tradicional en muchas culturas que celebra el primer día de construcción de un edificio u otro proyecto
activity;['casting', 'castin', 'cásting', 'cástines', 'director de casting'];Proceso de selección del reparto o elenco de una película o de los participantes en un espectáculo
activity;['conquiliología', 'conquiología', 'conquiliologia', 'conquiologa', 'conquiologia', 'conquiologo', 'conquióloga', 'conquiólogo', 'colección de conchas'];Estudio científico de las conchas de los moluscos
activity;['numismática', 'coleccionismo de monedas', 'numismatica', 'numismáticos', 'numismatico', 'numismaticos', 'numismático', 'la recogida de moneda', 'numismatology'];Estudio y coleccionismo de monedas, medallas y estampillas
activity;['construcción naval', 'construccion naval', 'industria naval', 'industria naviera', 'carpinteros'];Actividad de fabricar embarcaciones
activity;['revolución de octubre', 'revolución rusa', 'revolución bolchevique', 'revolucion de octubre', 'revolucion rusa', 'revolucion sovietica', 'revolucion soviética', 'revolución de octubre de 1917', 'revolución sovietica', 'gran revolución socialista de octubre', 'revolucion bolchevique', 'revolucion rusa de 1917', 'revolución rusa de 1917', 'revolución soviética', 'gran revolucion socialista de octubre', 'historia de la revolucion rusa', 'historia de la revolución rusa', 'la revolucion de octubre', 'la revolución de octubre', 'octubre rojo', 'republica obrera rusa', 'república obrera rusa', 'revolucion bolchevique de 1917', 'revolucion de 1917', 'revolucion de octubre de 1917', 'revolución bolchevique de 1917', 'revolución de 1917', 'segunda revolucion rusa', 'segunda revolución rusa'];Segunda fase de la revolución rusa de 1917
activity;['revolución de octubre', 'revolución rusa', 'revolución bolchevique', 'revolucion de octubre', 'revolucion rusa', 'revolucion sovietica', 'revolucion soviética', 'revolución de octubre de 1917', 'revolución sovietica', 'gran revolución socialista de octubre', 'revolucion bolchevique', 'revolucion rusa de 1917', 'revolución rusa de 1917', 'revolución soviética', 'gran revolucion socialista de octubre', 'historia de la revolucion rusa', 'historia de la revolución rusa', 'la revolucion de octubre', 'la revolución de octubre', 'octubre rojo', 'republica obrera rusa', 'república obrera rusa', 'revolucion bolchevique de 1917', 'revolucion de 1917', 'revolucion de octubre de 1917', 'revolución bolchevique de 1917', 'revolución de 1917', 'segunda revolucion rusa', 'segunda revolución rusa'];Levantamiento Político que llevó a la Caída del régimen zarista y La Consagración del Régimen Soviético en 1917
activity;['pirotecnia', 'pirotécnica', 'fuegos artificiales', 'fuego artificial', 'fuegos pirotecnicos', 'fuegos pirotécnicos', 'fuego de artificio', 'fuegos de artificio', 'pirotecnico', 'pirotécnico'];Ciencia y arte de utilizar reacciones químicas exotérmicas para crear calor, luz, gas, humo y/o sonido
activity;['luminotecnia', 'luz artificial'];luz proveniente de una fuente artificial
activity;['arte', 'producción artística', 'creación artística', 'artes', 'artistico', 'artisticos', 'artístico', 'artísticos', 'diseño de arte', 'expresión artística', 'la creación artística'];Actividad creativa del ser humano
activity;['apicultura', 'apicola', 'apicultores', 'apícola', 'cultura apicola', 'cultura apícola'];Actividad económica dedicada a la crianza de las abejas.
activity;['jardinería', 'horticultura', 'hortícolas', 'horticolas', 'jardineria', 'horticultor', 'horticultores', 'cultivo de plantas', 'jardineros'];Ciencia, tecnología y actividad económica centrada en la producción de hortalizas
activity;['jardinería', 'horticultura', 'hortícolas', 'horticolas', 'jardineria', 'horticultor', 'horticultores', 'cultivo de plantas', 'jardineros'];Arte y práctica de cultivar plantas
activity;['estriado', 'ánima rayada', 'rayado', 'anima rayada', 'cañón estriado', 'ranurado', 'tasa giro'];Tipo de cañón
activity;['devolución de poder', 'transmisión de poderes', 'devolucion de poder', 'a delegar', 'delegar', 'devolución', 'gobierno descentralizado'];Transferencia o delegación política de una entidad/persona a otra
activity;['cesárea', 'parto por cesárea', 'cesarea', 'parto abdominal'];Procedimiento quirúrgico que implica la apertura del abdomen para la extracción fetal
activity;['sentencia', 'sentencia judicial', 'juicio', 'fallo', 'fallo judicial', 'condena', 'dictámen', 'decisión judicial', 'opinión judicial'];Decisión jurisdiccional
activity;['sentencia', 'sentencia judicial', 'juicio', 'fallo', 'fallo judicial', 'condena', 'dictámen', 'decisión judicial', 'opinión judicial'];Decisión oficial de una corte de justicia sobre un litigio
activity;['industrialización', 'industrializacion', 'industrializada', 'industrializado', 'produccion masiva', 'producción masiva', 'industrializar', 'industrialismo', 'empresa industrial', 'era industrial', 'industrializados'];Proceso de cambio social y económico
activity;['dirección de orquesta', 'direccion de orquesta', 'conduccion de orquesta', 'conducción de orquesta', 'director de coro', 'director de orquesta', 'director principal'];Arte de dirigir una representación musical mediante gestos visibles
activity;['desahucio', 'desalojo', 'expulsión', 'desahucios', 'deshaucio', 'deshaucios', 'desalojar', 'desalojos', 'destitución legal'];Retiro del inquilino de la propiedad de alquiler por parte del arrendador
activity;['precipitación', 'precipitación atmosférica', 'precipitacion', 'lluvias', 'pluviosidad', 'precipitaciones', 'precipitación pluvial', 'hidrometeoros'];Forma de hidrometeoro que cae de la atmósfera y llega a la superficie terrestre
activity;['rally', 'recuperación', 'rallye', 'rallies', 'rallyes', 'reunion automotiva', 'reunión automotiva', 'carreras de rally', 'coche de rally'];Tipo de competición automovilística
activity;['mezzo-soprano', 'mezzosoprano', 'mezzo', 'mezzo soprano', 'mesosoprano', 'soprano media', 'mezzo-sopranos'];Voz media, por debajo de la soprano y por encima de la contralto
activity;['campaña de petersburg', 'campaña de petersburgo', 'asedio de petersburg', 'campaña petersburgo'];Acontecimiento de la Guerra de Secesión
activity;['veredicto', 'fallo', 'apreciación de los hechos'];Decisión que toma un jurado
activity;['batalla de crecy', 'batalla de crécy', 'crecy'];Batalla de la Guerra de los Cien Años
activity;['sermón de la montaña', 'sermón del monte', 'sermon del monte', 'sermon de la montana', 'sermon de la montaña', 'sermón de la montana', 'el sermon de la montana', 'el sermon de la montaña', 'el sermón de la montana', 'el sermón de la montaña', 'sermon de las bienaventuranzas', 'sermón de las bienaventuranzas'];Conjunto de dichos y enseñanzas de Jesucristo
activity;['estreno', 'premiere', 'avant-premiere', 'avant-première', 'avant premiere', 'avant première', 'première', 'estrenar', 'estreno de película', 'estrenó'];Primera exhibición pública de una obra
activity;['amnistía', 'perdón', 'indulto', 'amnestía', 'amnistia', 'amnestia', 'indulto presidencial', 'indulto real', 'indultos', 'perdón gratuito'];Instrumento jurídico
activity;['cosecha', 'fiesta de la cosecha', 'recolección', 'recogida', 'cosechador', 'cosechar', 'cosechero', 'cosechon', 'cosechón', 'mala cosecha', 'cosechas'];Proceso de recolección de sembríos maduros de los campos
activity;['acrobacia', 'acrobacias', 'volteretas', 'acrobatismo', 'acrobata', 'acrobatas', 'acróbata', 'acróbatas', 'acrobático', 'tumbling'];Deporte y arte escénica que implica equilibrio, agilidad y coordinación
activity;['castigo corporal', 'castigo físico', 'castigo fisico', 'disciplina corporal', 'pena corporal'];Aplicación deliberada de dolor corporal a una persona con la intención de disciplinar su conducta
activity;['euritmia', 'gimnasia rítmica', 'eurythmics', 'eurítmica'];Arte del movimiento
activity;['bris', 'brit milá', 'brit mila', 'berit mila', 'berit milá', 'brit milah', 'berit', 'berith', 'briss', 'brith'];Ritual judío.
activity;['divorcio', 'separación', 'divorciada', 'divorcios', 'disolución de la pareja', 'disolución del matrimonio', 'divorciado', 'divorciar', 'divorciarse', 'divorcio vincular', '⚮', 'disolucion de la pareja', 'disolucion del matrimonio', 'divorcio express', 'divorcio exprés', 'divorcio incausado', 'divorcio por mutuo consentimiento', 'divorcio sin causa', 'divorcio sin el consentimiento de alguna de las partes', 'divorcio unilateral', 'no-fault divorce', 'papeles del divorcio'];Disolución del matrimonio
activity;['bajo', 'base', 'basso buffo', 'bajo buffo', 'bajo bufo', 'bajo cantante', 'bajo caractere', 'bajo caractère', 'bajo comico', 'bajo cómico', 'bajo ligero', 'bajo noble', 'bajo profundo', 'basso cantante', 'basso profondo', 'bass voz', 'basso', 'cantante bajo'];Cantante con la voz masculina más grave
activity;['animación', 'animacion', 'animaciones', 'animada', 'animated films', 'películas de animación', 'animación 2d', 'película animación'];Proceso utilizado para dar la sensación de movimiento a imágenes o dibujos o a otro tipo de objetos inanimados
activity;['cartografía', 'elaboración de mapas', 'cartográficos', 'cartográfica', 'cartográficas', 'cartográfico', 'mapografía', 'cartografia', 'cartografica', 'cartograficas', 'cartografico', 'cartograficos', 'cartografo', 'cartógrafo', 'mansion music', 'mapografia', 'cartógrafos', 'la cartografía'];Es la ciencia, técnica y arte de representar superficies planas llamadas Mapas.
activity;['tiempo', 'tiempo atmosférico', 'condición atmosférica', 'estado del tiempo', 'clima', 'condiciones', 'condiciones metereológicas', 'tiempo meteorológico', 'condiciones atmosféricas', 'estado atmosférico', 'tiempo atmosferico', 'tiempo meteorologico', 'condiciones climáticas'];Estado de la atmósfera
activity;['orgasmo', 'clímax', 'clímax sexual', 'el orgasmo', 'gratificación sexual'];Momento culminante del placer sexual
activity;['voz', 'color de voz', 'registro', 'registro vocal', 'voces', 'clasificación de la voz', 'tipo de voz', 'voz cantando'];Instrumento de viento que se crea mediante las cuerdas vocales de una persona
activity;['contabilidad', 'contabilización', 'contaduría', 'actividades de contabilidad', 'contador general'];Vocabulario contable
activity;['presidencia'];Entidad colectiva administrativa y gubernamental que existe en torno a un presidente
activity;['presidente de estados unidos', 'presidente de los estados unidos', 'presidente', 'presidenta', 'presidente estadounidense', 'presidente de los ee.uu.', 'presidencia de los estados unidos', 'el presidente de ee.uu.', 'el presidente de los estados unidos', 'estadounidense presidente', 'peu', 'presidenta de estados unidos', 'presidencia de estados unidos', 'presidencia de los ee.uu.', 'presidencia de los ee uu', 'presidencia de los ee uu.', 'presidente actual de estados unidos', 'presidente actual de los estados unidos de america', 'presidente actual de los estados unidos de américa', 'presidente de ee.uu.', 'presidente de ee uu', 'presidente de ee uu.', 'presidente de eeuu', 'presidente de los ee. uu.', 'presidente de los ee uu', 'presidente de los ee uu.', 'presidente de los eeuu', 'presidente de los estados unidos de america', 'presidente de los estados unidos de américa', 'presidente eeuu', 'ee.uu el presidente', 'presidente de ee.uu', 'potus', 'presidencia de los ee.uu', 'presidente de los estados unidos américa', 'presidente u.s', 'u s presidente'];Jefe de Estado y de Gobierno de los Estados Unidos
activity;['revolución', 'revolucion', 'revoluciones', 'movimiento revolucionario', 'movimientos revolucionarios', 'proceso revolucionario', 'procesos revolucionarios', 'revolucion popular', 'revolucionaria', 'revolucionarias', 'revolucionario', 'revolucionarios', 'revolución popular', 'destronamiento'];Cambio o transformación radical y profunda respecto al pasado inmediato
activity;['vocación', 'carrera', 'profesión', 'vocación profesional', 'vocacion profesional', 'vocacion', 'carreras', 'llamado', 'llamando', 'profesional', 'vocaciones', 'vocación religiosa'];Deseo de emprender cierta carrera, profesión o cualquier otra actividad
activity;['actuación', 'dramatización', 'interpretación', 'juego', 'representación', 'actuacion', 'actor de cine', 'actor de teatro', 'actriz de cine', 'actríz', 'actuar', 'en funciones', 'la realización de', 'playacting'];Arte dramático que consiste en representar a un personaje
activity;['pasantía', 'pasantia', 'pasantes', 'pasante', 'practicante', 'internado', 'pasantías'];Práctica profesional bajo poca o nula remuneración que realizan algunos profesionales, especialmente un médico o un abogado, para obtener experiencia de campo
activity;['primer ministro del reino unido', 'primer ministro', 'premier', 'primer ministro ingles', 'primer ministro inglés', 'primer ministro britanico', 'primer ministro británico', 'primer ministro de inglaterra', 'primera ministra del reino unido', 'premier británico'];Jefe de Gobierno del Reino Unido
activity;['procuraduría general de la república', 'ministro de justicia', 'procurador general de la república', 'procuraduria general de la republica', 'procuraduria general de la república', 'procuraduría general de la republica', 'pgr', 'procuraduría general de la república mexicana', 'procurador general de los estados unidos'];Cargo en México
activity;['medicina alternativa', 'medicina complementaria y alternativa', 'medicinas alternativas', 'nueva medicina', 'pseudomedicina', 'tecnicas alternativas', 'terapia alternativa', 'terapias alternativas', 'medicina no convencional', 'técnicas alternativas', 'medicina complementaria', 'terapia natural', 'terapias naturales'];Práctica que afirma tener los efectos sanadores de la medicina pero que no está apoyada en el método científico
activity;['largometraje', 'largometrajes'];Película de duración igual o superior a sesenta minutos
activity;['trabajo', 'ocupación', 'empleo', 'empresa', 'profesión', 'negocio', 'brete', 'camello', 'chamba', 'curro', 'laburo', 'pega', 'talacha', 'ocupacion', 'línea de trabajo', 'vacante'];Actividad regular realizada a cambio de un pago
activity;['trabajo', 'ocupación', 'empleo', 'empresa', 'profesión', 'negocio', 'brete', 'camello', 'chamba', 'curro', 'laburo', 'pega', 'talacha', 'ocupacion', 'línea de trabajo', 'vacante'];Etiqueta aplicada a una persona basada en una actividad en la que participa
activity;['batalla de lule-burgas', 'lüleburgaz', 'batalla de lule burgas', 'lule burgas'];Batalla en 1912 de la primera guerra de los Balcanes
activity;['villano', 'malo', 'bandido', 'villana'];Personaje malvado en una historia.
activity;['naturalización', 'naturalizacion', 'naturalizada', 'nacionalización', 'ciudadano naturalizado', 'naturalizado', 'desnaturalización', 'naturalizar', 'naturalizarse'];Proceso por el cual un ciudadano de un Estado adquiere la nacionalidad de otro país
activity;['educación', 'didáctica', 'sistema educativo', 'enseñanza', 'instrucción', 'pedagogía', 'educativo', 'instruccional', 'educacion', 'educar', 'educacional', 'educacíon', 'educacíón', 'educativa', 'instruido', 'sistema educacional', 'sistema escolar', 'sistemas educativos', 'pedagogo', 'actividad educativa', 'educadores'];Proceso de transmisión conocimientos, valores, costumbres y formas de actuar
activity;['periodismo', 'ciencias de la información', 'ciencias de la informacion', 'grado en periodismo', 'jornalista', 'periodistica', 'periodistico', 'periodisticos', 'periodística', 'periodístico', 'periodísticos'];Actividad de recopilar y publicar informativa relativa a la actualidad
activity;['subasta', 'remate', 'puja', 'casas de subastas', 'subastas', 'rematador', 'subasta a sobre cerrado', 'subastación', 'subastador', 'subastar', 'casa de subastas', 'subasta silenciosa', 'subastadores', 'vendue'];Venta basada en la competencia directa, en donde se elige al comprador que pague la mayor cantidad de dinero o de bienes a cambio del producto
activity;['caza', 'cacería', 'montería', 'caceria', 'caza deportiva', 'cazata', 'cinegetica', 'cinegética', 'coto de caza', 'actividad cinegetica', 'actividad cinegética', 'cacerías', 'cazar', 'cinegetico', 'cinegético', 'derecho de caza', 'especie cinegética', 'caza de la codorniz', 'caza excesiva', 'cazadores'];Práctica de perseguir un ser vivo como medio de alimentación, recreación o comercio
activity;['andrew denton'];Presentador de televisión australiano
activity;['asonancia', 'rima asonante', 'asonante', 'vocal rima'];Rima en la que coinciden las vocales, pero no todas las consonantes
activity;['revolución francesa', 'revolucion francesa', 'francia revolucionaria', 'la revolucion francesa', 'revolucion de 1789', 'revolucion de francia', 'revolucion en francia', 'revolución de 1789', 'revolución de francia', 'revolución en francia', 'francés revolution'];Conflicto social y político entre 1789 y 1799
