abstract-region;['tensor', 'cálculo tensorial', 'magnitud tensorial', 'análisis tensorial', 'tensores'];Objeto que amplía la noción del escalar, vector, y matriz.
amount-of-matter;['kvas'];Bebida tradicional de Europa del Este de pan fermentado, que tiene una graduación alcohólica muy baja.
amount-of-matter;['timina'];Una de las cuatro bases en el ácido nucléico del ADN. Las otras son adenina, guanina, y citosina. La timina se aparea siempre con adenina.
amount-of-matter;['citosina'];Una de los cinco nucleobases principales encontradas en los ácidos nucléicos ADN y ARN.
amount-of-matter;['té'];Taza de hojas o brotes secos en infusión en agua caliente.
amount-of-matter;['sidra', 'sidrina', 'chicha de manzana', 'sidra natural', 'sidrero', 'sidrificacion', 'sidrificación', 'cyder'];Bebida alcohólica hecha principalmente de los jugos de variedades de manzanas especialmente cultivadas.
amount-of-matter;['cafeína', 'c8h10n4o2', 'cafeina', 'cafeinas', 'cafeínas', 'teina', 'teína', 'guaranina'];Alcaloide (C8H10N4O2), que se encuentra naturalmente en el té y el café, y que actúa como estimulante del sistema nervioso central.
amount-of-matter;['europio', 'número atómico 63', 'eu'];Elemento químico con símbolo Eu y número atómico 63.
amount-of-matter;['hollín', 'negro de carbón', 'carbonilla', 'tizne', 'carbono negro', 'hollin', 'negro de carbon', 'carbon negro', 'carbón negro', 'negro de humo', 'negro carbón'];Carbón negro, aceitoso e impuro con compuestos obtenidos a partir de la combustión incompleta de materiales de resina, aceites, madera o carbón.
amount-of-matter;['zinc', 'cinc', 'zn', 'número atómico 30'];Elemento metálico azulado-blanco frágil que llega a estar revestido con una capa resistente a la corrosión en aire húmedo y ocurre principalmente en sphalerita y smithsonita.
amount-of-matter;['telurio', 'teluro', 'número atómico 52', 'te'];Elemento químico de símbolo Te y número atómico 52, es un metaloide gris plata.
amount-of-matter;['carbón vegetal', 'carbón', 'carbon vegetal', 'carbón de leña', 'e153', 'e 153', 'carbon de lena', 'carbon de leña', 'carbón de lena'];Producto sólido poroso que contiene de 85 a 98% de carbón y es producido calentando los materiales carbonosos tales como celulosa, madera o turba a entre 500 y 600 °C en ausencia del aire.
amount-of-matter;['amoniaco panadero'];Agente de fermentación para bollería plana que consiste en carbonato de amonio, bicarbonato de amonio y carbamato de amonio.
amount-of-matter;['conservante', 'conservador', 'preservativo', 'conservantes', 'preservante', 'conservante alimentario'];Producto químico agregado a los comestibles para prevenir la oxidación, la fermentación o la otra deterioración, generalmente inhibiendo el crecimiento de bacterias.
amount-of-matter;['no metal', 'elemento no metálico', 'elemento no-metalico', 'elemento no-metálico', 'elemento no metalico', 'no-metal', 'no metales', 'elementos no-metalicos', 'elementos no-metálicos', 'elementos no metalicos', 'elementos no metálicos', 'metales'];Elemento químico que no tiene las propiedades físicas o químicas de un metal, por ejemplo, el oxígeno o el sulfuro.
amount-of-matter;['agua', 'h2o', 'h₂o', 'acido hidrico', 'acido hídrico', 'capacidad calorifica del agua', 'capacidad calorífica del agua', 'embotelladora de agua', 'espacio acuoso', 'hidroxido de hidrogeno', 'hidroxido de hidrógeno', 'hidruro de oxígeno', 'hidróxido de hidrógeno', 'liquido elemento', 'líquido elemento', 'monoxido de hidrogeno', 'monoxido de hidrógeno', 'monóxido de hidrógeno', 'oxidano', 'oxido de dihidrogeno', 'oxido de dihidrógeno', 'oxido de hidrogeno', 'oxido de hidrógeno', 'recursos hidraulicos', 'solucion acuosa', 'ácido hidrico', 'ácido hídrico', 'óxido de dihidrogeno', 'óxido de dihidrógeno', 'óxido de hidrogeno', 'óxido de hidrógeno', 'agua líquida'];Liquido ubicuo (H₂O), que está formando la lluvia, los ríos, el mar, etc. y de que se compone la mayoría de los organismos.
amount-of-matter;['barniz'];Pintura brillante que se aplica como capa protectora o decorativa en la madera, el metal, el vidrio y en otros materiales similares.
amount-of-matter;['argón', 'ar', 'número atómico 18', 'argon'];Elemento químico de símbolo Ar y número atómico 18.
amount-of-matter;['criptón', 'kriptón', 'kr', 'número atómico 36', 'cripton', 'kripton'];Elemento químico cuyo símbolo es Kr y su número atómico es 36. Es un gas noble incoloro.
amount-of-matter;['acetileno', 'etino', 'alquino', 'acetilex', 'c2h2', 'gas acetileno'];Cualquier compuesto orgánico con uno o más enlaces triples carbono-carbono. un alquino.
amount-of-matter;['hexano', 'n-hexano', 'n hexano'];Hidrocarburo líquido, incoloro e inflamable con seis átomos de carbón.
amount-of-matter;['ozono', 'o3', 'trioxigeno', 'trioxígeno', 'ozono troposférico'];Forma alotrópica de oxígeno que contiene tres átomos en la molécula. Es un gas azulado, químicamente muy activo y un poderoso agente oxidante. El ozono se forma cuando el oxígeno del aire es sometido a descargas eléctricas. Ocurre de forma rara en el aire en muy baja proporción.
amount-of-matter;['benceno', 'benzol', '1,3,5-ciclohexatrieno', '1 3 5-ciclohexatrieno', 'anillo bencenico', 'anillo bencénico', 'anillo de benceno', 'bencenico', 'benceno y derivados', 'bencénico', 'c6h6', '⌬', '⏣', 'bencina', 'gasolina', 'éter de petróleo'];Líquido, incoloro, inflamable, hidrocarburo aromático utilizado para la fabricación de estireno y fenol.
amount-of-matter;['metano', 'ch4', 'gas metano', 'gas metaneishon', 'metanización'];Gas incoloro, inodoro, e insípido, menos pesado que el aire y que reacciona violentamente con clorina y bromo en luz del sol, un componente principal del gas natural. utilizado como fuente de metanol, acetileno, y monóxido de carbono.
amount-of-matter;['etano', 'c2h6'];Hidrocarburo gaseoso incoloro e inflamable con dos átomos de carbón.
amount-of-matter;['neón', 'ne', 'neon', 'número atómico 10'];Elemento químico de símbolo Ne y número atómico 10, Es un gas noble incoloro.
amount-of-matter;['heptano'];Hidrocarburo líquido, incoloro e inflamable con siete átomos de carbón.
amount-of-matter;['acetaldehído', 'etanal', 'acetaldehido', 'aldehido acetico', 'aldehído acético'];Aldehído del etanol.
amount-of-matter;['cloro', 'número atómico 17', 'cl', 'chloro', 'gas cloro'];Elemento gaseoso muy reactivo y altamente tóxico, perteneciente a la familia de los halógenos, de símbolo Cl y número atómico 17.
amount-of-matter;['nitrógeno', 'número atómico 7', 'azoe', 'nitrogeno', 'ázoe', 'az', 'n', 'azoto', 'nitrogenado', 'dinitrógeno', 'gas nitrógeno', 'nitrogenados'];Elemento químico gaseoso, no-metálico con el símbolo N y número atómico 7.
amount-of-matter;['almidón', 'fécula', 'amylum', 'amilo', 'almidon', 'almidonado', 'almidonar', 'almidoneria', 'almidonería', 'fecula', 'grasas y almidones'];Polisacárido que es una combinación de muchas moléculas monosacáridas, fabricado durante la fotosíntesis y almacenado como granos de almidón en muchas plantas.
amount-of-matter;['poliéster', 'poliester', 'poliésteres'];Polímero de condensación (C10H8O4) que contiene el grupo funcional estér en su cadena principal.
amount-of-matter;['amina', 'amina secundaria', 'aminas', 'grupo amina', 'ejemplos', 'amina primaria', 'amina terciaria', 'amino', 'aminoalcano', 'grupo amino'];Clase de componentes orgánicos que se puede considerar como derivado del amoniaco por remplazo de uno o más hidrógenos por radicales orgánicos.
amount-of-matter;['sal', 'sal química', 'sal de potasio', 'sal iónica', 'sales'];Producto de una reacción en la que un metal remplaza el hidrógeno de un ácido.
amount-of-matter;['hemoglobina', 'desoxihemoglobina', 'hb'];Proteína en los glóbulos rojos que transporta el oxígeno de los pulmones a los tejidos del organismo.
amount-of-matter;['lipoproteína', 'lipoproteínas', 'lipoproteina', 'lipoproteinas'];Estructura bioquímica que contiene proteínas y lípidos.
amount-of-matter;['vainillina', 'vanilina', 'vainilla', 'vanillina'];Compuesto orgánico que se utiliza como sustancia aromática, ocurre naturalmente en habas de vainilla y puede ser producido sintéticamente.
amount-of-matter;['petróleo', 'crudo', 'keroseno', 'petróleo bruto', 'petróleo mineral', 'petróleo crudo', 'oro negro', 'petrolífero', 'el refinado de petroleo', 'encuentro social alternativo al petroleo', 'encuentro social alternativo al petróleo', 'petroleo', 'petroleo crudo', 'petrolera', 'petrolifero', 'vehículo de combustión', 'combustibles fósiles', 'convencionales de petróleo', 'distribución gas', 'roca aceite'];Betumen líquido comparativamente volátil integrado principalmente por hidrocarburos, con los rastros de compuestos de sulfuro, de nitrógeno o de oxígeno. puede ser extraído de la tierra en un estado líquido.
amount-of-matter;['petróleo', 'crudo', 'keroseno', 'petróleo bruto', 'petróleo mineral', 'petróleo crudo', 'oro negro', 'petrolífero', 'el refinado de petroleo', 'encuentro social alternativo al petroleo', 'encuentro social alternativo al petróleo', 'petroleo', 'petroleo crudo', 'petrolera', 'petrolifero', 'vehículo de combustión', 'combustibles fósiles', 'convencionales de petróleo', 'distribución gas', 'roca aceite'];Betún líquido comparativamente volátil integrado principalmente por hidrocarburos, con rastros de compuestos del sulfuro, nitrógeno u oxígeno. puede ser extraído de la tierra en un estado líquido.
amount-of-matter;['cerio', 'número atómico 58', 'ce', 'cerium'];Elemento químico con símbolo Ce y número atómico 58.
amount-of-matter;['cobre', 'número atómico 29', 'cu', 'cuprifera', 'cuprifero', 'cuprífera', 'cuprífero', 'cúprico'];Elemento químico de número atómico 29 y símbolo Cu. Uno de los más importantes minerales no ferrosos. metal dúctil y maleable que se encuentra en varias rocas y es utilizado en la industria, ingeniería y en las artes tanto en forma pura como en aleación.
amount-of-matter;['gadolinio', 'número atómico 64', 'gd', '64 número atómico'];Elemento químico metálico (símbolo Gd) con número atómico 64.
amount-of-matter;['cfc', 'clorofluorocarbono', 'clorofluorocarbonos', 'clorofluorocarburo', 'clorofluorocarbonato', 'clorofluorocarburos', 'cloroflúorocarbono', 'hidroclorofluorocarbonos'];Gas formado por cloro, flúor y carbono cuyas moléculas normalmente no reaccionan con otras sustancias. se utilizan como propulsores de aerosoles porque no alteran el material que se rocía.
amount-of-matter;['gas lacrimógeno', 'gases lacrimógenos', 'bomba lacrimógena', 'bomba lagrimógena', 'bomba lacrimogena', 'bomba lagrimogena', 'gas lacrimogeno', 'gases lacrimogenos', 'lacrimógeno', 'agente lacrimógeno', 'lachrymator'];Gas que irrita las membranas mucosas de los ojos, la nariz, la boca y los pulmones, y causa lagrimeo, dolor, y algunas veces ceguera.
amount-of-matter;['acrílico', 'resina acrílica', 'poliacrílico', 'resina de metacrilato', 'de resina de acrilato'];Grupo de sustancias relacionadas termoplásticas o termomoldeables derivadas del ácido acrílico, del ácido metacrílico o de otros compuestos relacionados.
amount-of-matter;['samario', 'sm', 'número atómico 62'];Elemento químico con símbolo Sm y número atómico 62. Es un lantánido blanco plateado.
amount-of-matter;['hafnio', 'número atómico 72', 'hf'];Elemento químico de número atómico 72 que se encuentra en el grupo 4 de la tabla periódica de los elementos y se simboliza como Hf. Es un metal de transición, brillante, gris-plateado.
amount-of-matter;['fluorocarbono', 'fluorocarburo', 'fluorocarbonos', 'perfluorocarbono', 'perfluorocarbonos'];Derivado de un hidrocarburo, en el que cada átomo de hidrógeno ha sido reemplazado por flúor.
amount-of-matter;['osmio', 'número atómico 76', 'os', 'osmium'];Elemento químico con símbolo Os y el número atómico 76. es un metal de transición azul gris.
amount-of-matter;['cromo', 'cr', 'número atómico 24', 'chromo', 'dióxido de cromo', 'cromo hexavalente'];Elemento químico de símbolo Cr y número atómico 24, metal de transición duro, blanco plateado.
amount-of-matter;['manganeso', 'mn', 'número atómico 25', 'manganese', 'mineral de manganeso'];Elemento químico de símbolo Mn y número atómico 25, metal de transición blanco plateado.
amount-of-matter;['cobalto', 'número atómico 27', 'co', 'cobaltus'];Elemento metálico de símbolo Co y número atómico 27, utilizado principalmente en aleaciones.
amount-of-matter;['pedernal', 'sílex', 'piedra de mechero', 'silex'];Cuarzo duro de grano fino que produce chispas al golpearlo.
amount-of-matter;['níquel', 'ni', 'número atómico 28', 'niquel', 'nikel'];Elemento maleable dúctil de color blanco plateado metálico que es fuerte y resistente a la corrosión, que se producen principalmente en pentlandita y niccolite: se utiliza en aleaciones, especialmente en el endurecimiento del acero, en galvanoplastia, y como catalizador en la síntesis orgánica.
amount-of-matter;['ámbar', 'ambar', 'carabe', 'cárabe', 'succino', 'arabe', 'árabe'];Sustancia dura, amarilla o marrón, formada de resina, usada particularmente en joyería.
amount-of-matter;['iridio', 'número atómico 77', 'ir'];Elemento químico de símbolo Ir y número atómico 77, metal de transición blanco plateado.
amount-of-matter;['tungsteno', 'wolframio', 'volframio', 'número atómico 74', 'w', 'wolfram', 'wólfram', 'tugsteno'];Elemento químico de símbolo W y número atómico 74, metal de transición blanco grisáceo y brillante.
amount-of-matter;['dióxido de carbono', 'co2', 'anhídrido carbónico', 'bióxido de carbono', 'oxido de carbono', 'dioxido de carbono', 'óxido de carbono', 'anhidrico carbonico', 'anhidrico carbónico', 'anhidrido carbonico', 'anhidrido carbónico', 'anhídrico carbonico', 'anhídrico carbónico', 'anhídrido carbonico', 'bioxido de carbono', 'conservante e-290', 'conservante e290', 'conservante e 290', 'e-290', 'e290', 'e 290', 'gas carbonico', 'gas carbónico', 'gas ácido carbónico'];Gas incoloro con un ligero olor y gusto picante.
amount-of-matter;['platino', 'pt', 'número atómico 78'];Elemento metálico blanco plateado maleable dúctil muy resistente al calor y a los productos químicos. Se encuentra libremente y en asociación con otros metales del platino, especialmente en osmiridio. utilizado en joyería, aparatos de laboratorio, contactos eléctricos, odontología, electrochapando, y como catalizador.
amount-of-matter;['mercurio', 'hidrargirio', 'hg', 'hidrargiro', 'azogue', 'número atómico 80', 'hydrargyrum', 'hidrargirium', 'hidrárgiro', 'contaminación por mercurio'];Elemento metálico líquido tóxico blanco plateado pesado con el símbolo Hg y el número atómico 80 que ocurre principalmente en cinabrio: utilizado en termómetros, barómetros, lámparas del mercurio-vapor, y amalgamas dentales.
amount-of-matter;['uranio', 'número atómico 92', 'u', 'elemento 92', 'elemento quimico uranio', 'elemento químico uranio', 'uranio-234', 'uranio-238', 'uranio 238', 'uranio natural', 'uranium-238', 'uranium 238'];Elemento metálico altamente tóxico y radiactivo. utilizado como combustible nuclear. Símbolo: U, número atómico: 92.
amount-of-matter;['astato', 'at'];Elemento químico de símbolo At y número atómico 85. Es un halógeno radiactivo.
amount-of-matter;['adrenalina', 'epinefrina', 'adicto a la adrenalina'];Hormona secretada por las glándulas suprarrenales que estimula la pulsación del corazón y provoca la constricción de las vías sanguíneas.
amount-of-matter;['masa'];Materia sin forma determinada.
amount-of-matter;['potasio', 'k', 'número atómico 19', 'kalium'];Elemento con símbolo Ca y número atómico 19. es un metal alcalino blando, de color plateado y se encuentra principalmente como componente del agua de mar y en algunos minerales como la camalita, polihalita y silvina. Se ha utilizado como fertilizante bajo forma de cloruro, sulfato o carbonato.
amount-of-matter;['berilio', 'glucinio', 'número atómico 4', 'be', 'ser'];Elemento metálico plateado-blanco resistente a la corrosión, tóxico que ocurre principalmente en berilo y se utiliza principalmente en ventanas de rayos-X y en la fabricación de aleaciones. Símbolo: Sea, número atómico: 4.
amount-of-matter;['titanio', 'número atómico 22', 'ti', 'elemento 22'];Elemento metálico blanco maleable y fuerte, que es muy resistente a la corrosión y se encuentra en el rutilo y la ilmenita. Se utiliza en la fabricación de aleaciones ligeras y fuertes, especialmente piezas del avión.
amount-of-matter;['metanol', 'alcohol metílico', 'alcohol de madera', 'alcohol metilico', 'ch3oh', 'methanol', 'carbinol', 'espíritu madera', 'intoxicación por metanol', 'madera alcohol'];Líquido incoloro, tóxico e inflamable. El más sencillos de los alcoholes, su fórmula es CH3OH.
amount-of-matter;['anticongelante', 'líquido anticongelante', 'anticongelantes', 'liquido anticongelante', 'refrigerante del motor'];Líquido utilizado en el radiador de un motor de combustión interna usado para disminuir el punto de congelación de medio de enfriamiento.
amount-of-matter;['tinta', 'tinta indeleble', 'tintas'];Dispersión de un pigmento o una solución de un tinte en un medio portador, rindiendo un líquido, goma, o polvo para ser aplicado y secado en un sustrato. la escritura, la marca, el dibujo, y las tintas de impresión son aplicados por varios métodos al papel, metal, plástico, madera, cristal, tela, o a otro substrato.
amount-of-matter;['bebida alcohólica', 'alcohol', 'bebidas alcohólicas', 'bebida alcoholica', 'bebida espirituosa', 'beber alcohol', 'bebida blanca', 'bebida con alcohol', 'bebidas alcoholicas', 'bebidas destiladas', 'bebidas espirituosas', 'schnaps', 'bebida fermentada', 'consumo de alcohol', 'inebriant'];Bebida (un licor o cerveza) que contiene etanol, conocido comúnmente como alcohol.
amount-of-matter;['terbio', 'número atómico 65', 'tb'];Elemento químico con símbolo Tb y número atómico 65, de color blanco y brillo plateado.
amount-of-matter;['aire', 'atmósfera', 'atmósfera terrestre', 'atmósfera de tierra', 'atmósfera de la tierra', 'heterosphere'];Espacio sobre la superficie de la tierra en donde vuelan los aviones.
amount-of-matter;['aire', 'atmósfera', 'atmósfera terrestre', 'atmósfera de tierra', 'atmósfera de la tierra', 'heterosphere'];Capa de gases que rodea la Tierra.
amount-of-matter;['aleación', 'metal', 'aleaciones', 'aleacion', 'aleación de metal', 'metalicidad', 'poblaciones estelares', 'población estelar', 'población iii estrellas', 'pobres en metales', 'rica en metales'];Sustancia de características metálicas y que consiste en dos o más elementos. con pocas excepciones, los componentes son generalmente elementos metálicos.
amount-of-matter;['fósforo', 'número atómico 15', 'p', 'fosforo'];Elemento no metálico utilizado para la fabricación de ácido fosfórico, en bronce fosfórico, incendiarios, pirotecnia, cerillas y venenos para ratas, el alótropo blanco o amarillo suave es un sólido ceroso, soluble en disulfuro de carbono, insoluble en agua y alcohol, y es venenoso y auto-inflamable en el aire, el alótropo rojo es un polvo amorfo, insoluble en todos los disolventes y no es venenoso, el alótropo negro incluye cristales lustrosos similares al grafito, y es insoluble en la mayoría de los solventes.
amount-of-matter;['alcano', 'alcanos', 'parafinas', 'parafina', 'hidrocarburo saturado', 'alcadieninos', 'alcano serie', 'metano serie', 'parafina serie'];Serie homóloga de hidrocarburos saturados que tienen como fórmula general CnH2n+2. Sus nombres sistemáticos terminan en -ano. Son químicamente inertes, estables, e inflamables. Los primeros cuatro miembros de la serie (metano, etano, propano, butano) son gases en las temperaturas ordinarias. los once siguientes son líquidos, y forman los componentes principales del aceite de parafina. los miembros más altos son sólidos. Las ceras de parafina consisten principalmente de alcanos de los más altos.
amount-of-matter;['oxígeno', 'oxigeno', 'número atómico 8', 'o', 'formula quimica del oxigeno', 'oxigeno atomico', 'oxigeno atómico', 'oxígeno-16', 'oxígeno atomico', 'oxígeno atómico', 'oxígeno molecular'];Elemento químico gaseoso de símbolo O y número atómico 8. elemento esencial en la respiración celular y en el proceso de combustión. el elemento más abundante en la corteza terrestre y constituye cerca de 20% del volumen del aire.
amount-of-matter;['yodo', 'iodo', 'número atómico 53', 'i', 'iodina', 'iodización', 'yodado'];Elemento no-metálico halógeno. sus placas o gránulos, oscuros, venenosos y corrosivos, se subliman fácilmente. insoluble en el agua, soluble en solventes comunes. utilizado como germicida y antiséptico en tintes y productos farmacéuticos, en grabado de litografías, y como un catalizador y reactivo analítico.
amount-of-matter;['hidrógeno', 'número atómico 1', 'hidrogeno', 'h', 'hydrogenium', 'dihidrógeno', 'gas hidrógeno', 'hidrógeno molecular', 'molécula de hidrógeno', 'molécula hidrógeno'];Elemento con símbolo H y número atómico 1. es el más liviano y abundante elemento del universo. Se encuentra principalmente en forma de agua y en la mayoría de los componentes orgánicos.
amount-of-matter;['flúor', 'número atómico 9', 'fluor', 'f', 'fluorado', 'fluoro'];Elemento químico gaseoso con el símbolo F y número atómico 9.
amount-of-matter;['ácido desoxirribonucleico', 'adn', 'ácido deoxirribonucleico', 'adn bicatenario', 'acido desoxirribonucleico', 'dna', 'adn basura', 'adn genomico', 'ácido desoxirribonucléico', 'acido desoxirribonucléico', 'adn genómico', 'base', 'estructura del adn', 'fragmentacion del adn', 'fragmentación del adn', 'replicacion del dna', 'replicacion semiconservativa del adn', 'replicación del dna', 'replicación semiconservativa del adn'];Principal material que interviene en la herencia. Se encuentra en los cromosomas y está formado por moléculas de forma larga y sin ramas, compuesta de muchos nucleótidos. Cada nucleótido es una combinación de ácido fosfórico, deoxiribosa y una de cuatro bases nitrogenadas: adenina, guanina, citosina y timina.
amount-of-matter;['ácido desoxirribonucleico', 'adn', 'ácido deoxirribonucleico', 'adn bicatenario', 'acido desoxirribonucleico', 'dna', 'adn basura', 'adn genomico', 'ácido desoxirribonucléico', 'acido desoxirribonucléico', 'adn genómico', 'base', 'estructura del adn', 'fragmentacion del adn', 'fragmentación del adn', 'replicacion del dna', 'replicacion semiconservativa del adn', 'replicación del dna', 'replicación semiconservativa del adn'];Dos hebras complementarias de ADN apareadas en forma de doble hélice. Sinónimo: ADN dúplex, ADN de doble hebra.
amount-of-matter;['ácido ribonucleico', 'arn', 'rna', 'acido ribonucleico', 'acido ribonucléico', 'analisis moleculares de arn', 'análisis moleculares de arn'];Polímero de los ribonucleótidos adenina, guanina, citosina y uridina, transcrito desde el ADN por enzimas y utilizado para traducir los genes en proteínas.
amount-of-matter;['aceite de cacahuete', 'aceite de katchung', 'aceite de mani', 'aceite de maní'];Aceite vegetal derivado de las semillas de cacahuete.
amount-of-matter;['nucleótido', 'nucleobase', 'código genético', 'nucleótidos', 'nucleotido', 'nucleotidos', 'mononucleótido', 'nucleotido trifosfato', 'nucleótido trifosfato', 'bases de nucleótidos', 'dinucleótido', 'nucleobases', 'nucleósido difosfato'];Un compuesto químico formado por 3 porciones: una base heterocíclica, un azúcar, y uno o más grupos de fosfato.
amount-of-matter;['nucleótido', 'nucleobase', 'código genético', 'nucleótidos', 'nucleotido', 'nucleotidos', 'mononucleótido', 'nucleotido trifosfato', 'nucleótido trifosfato', 'bases de nucleótidos', 'dinucleótido', 'nucleobases', 'nucleósido difosfato'];Correspondencia entre los 64 posibles tripletes de nucleótidos y los aminoácidos y codones de terminación que aquellos especifican.
amount-of-matter;['cianuro de potasio', 'cianuro potásico', 'cianuro potasico'];Compuesto inorgánico muy tóxico de fórmula KCN, es una sal de cianuro de hidrógeno bajo la forma de cristales incoloros.
amount-of-matter;['poliamida', 'amida polimérica', 'poliamidas'];Polímero que contiene monómeros unidos por enlaces de amidas. Pueden existir en la naturaleza, como las proteínas o pueden ser fabricados aritficialmente, como por ejemplo en nailon o el kevlar.
amount-of-matter;['poliestireno', 'ps', 'poly', 'foam', 'espuma poliestireno', 'poliestireno expandido'];Polímero hecho a partir del monómero aromático de estireno.
amount-of-matter;['molibdeno', 'número atómico 42', 'mo'];Elemento químico con símbolo Mo y número atómico 42, es un metal de transición gris.
amount-of-matter;['hidróxido de potasio', 'potasa', 'potasa cáustica', 'hidróxido potásico', 'fertilizante de potasio', 'hidroxido de potasio', 'e 525', 'hidroxido potasico', 'hidroxido potásico', 'hidróxido potasico', 'koh', 'potasa caustica'];Fertilizante químico que contiene potasio.
amount-of-matter;['guanina'];Una de las cinco nucleobases principales encontradas en los ácidos nucleicos ADN y ARN.
amount-of-matter;['actinio', 'número atómico 89', 'ac', 'actinium'];Elemento químico del grupo de los actínidos, que ocurre como producto del decaimiento del uranio. Se utiliza como partícula alfa y en la producción de neutrones.
amount-of-matter;['francio', 'número atómico 87', 'fr', 'actinio k', 'catio', 'eka-cesio', 'francium', 'p.'];Elemento con símbolo Fr y número atómico 87. es un metal alcalino.
amount-of-matter;['radón', 'rn', 'número atómico 86', 'radon', 'gas radón'];Elemento químico radiactivo de símbolo Rn y número atómico 86. es un gaz raro incoloro.
amount-of-matter;['cesio', 'cs', 'número atómico 55', 'cesio-133'];Elemento con símbolo Cs y número atómico 55. es un metal alcalino blando, de color plateado y se encuentra principalmente en los minerales como la lepidolita, aunque es muy escaso.
amount-of-matter;['estroncio', 'número atómico 38', 'sr'];Elemento químico cuyo símbolo es Sr y su número atómico es 38. Es un metal blando de color plateado brillante, algo maleable, del grupo de metales alcalinos que se encuentra en la naturaleza principalmente como celestina y estroncianita.
amount-of-matter;['einstenio', 'einsteinio', 'número atómico 99', 'es'];Elemento químico de símbolo Es y número atómico 99. Es un actínido.
amount-of-matter;['nobelio', 'número atómico 102', 'no', 'elemento 102', 'unnilbio'];Elemento químico de símbolo No y número atómico 102. Es un actínido artificialmente manufacturado.
amount-of-matter;['mendelevio', 'número atómico 101', 'md', 'elemento 101', 'unnilunio'];Elemento químico de símbolo Md y número atómico 101. Es un actínido artificialmente manufacturado.
amount-of-matter;['laurencio', 'lawrencio', 'lr', 'número atómico 103', 'elemento 103', 'unniltrio', 'lawrencium'];Elemento químico de símbolo Lr y número atómico 103. Es un actínido artificialmente manufacturado.
amount-of-matter;['rutherfordio', 'número atómico 104', 'rf', 'kurchatovio', 'elemento 104', 'unnilquadio', 'unnilquadium', 'unq'];Nombre propuesto por los rusos en honor a Igor Vasilevich Kurchatov para el elemento que finalmente se llamó rutherfordio.
amount-of-matter;['berkelio', 'berquelio', 'número atómico 97', 'bk'];Elemento químico de símbolo Bk y número atómico 97. Es un actínido.
amount-of-matter;['californio', 'número atómico 98', 'cf', 'californium'];Elemento químico de símbolo Cf y número atómico 98. Es un actínido probablemente gris o plateado.
amount-of-matter;['fermio', 'número atómico 100', 'fm', 'elemento 100'];Elemento químico de símbolo Fn y número atómico 100. Es un actínido probablemente gris o plateado.
amount-of-matter;['americio', 'número atómico 95', 'am'];Elemento químico de símbolo Am y número atómico 95.
amount-of-matter;['curio', 'número atómico 96', 'cm'];Elemento químico de símbolo Cm y número atómico 96. Es un actínido plateado.
amount-of-matter;['renio', 'número atómico 75', 're', 'niponio'];Elemento químico de símbolo Re y número atómico 75, metal de transición blanco grisáceo.
amount-of-matter;['rutenio', 'ru', 'número atómico 44', 'ruthenio'];Elemento químico con símbolo Ru y número atómico 44, es un metal de transición blanco plateado.
amount-of-matter;['galio', 'número atómico 31', 'ga'];Elemento químico de símbolo Ga y número atómico 31, elemento blanco plateado del grupo principal.
amount-of-matter;['indio', 'in', 'número atómico 49'];Elemento químico de símbolo In y de número atómico 49, metal pobre de color gris plata.
amount-of-matter;['alcanfor', 'karpuram'];Resina obtenida del árbol de alcanfor.
amount-of-matter;['fosfato', 'ortofosfato', 'fosfatos', 'fosfato inorgánico', 'monofosfato', 'éster fosfórico', 'grupo fosfato'];Cualquier sal o éster de un ácido fosfórico, especialmente una sal de ácido ortofosfórico.
amount-of-matter;['silicato', 'silicatos', 'metasilicato'];Sal del silicio o de uno de los ácidos silícicos.
amount-of-matter;['acetato', 'etanoato'];Sal o éster de ácido acético.
amount-of-matter;['carbonato', 'carbonatos', 'anion carbonato', 'anión carbonato'];Sal o éster del ácido carbónico.
amount-of-matter;['nitrato', 'nitratos', 'azoato', 'ion nitrato'];Sal o ester de ácido nítrico, como nitrato de sodio.
amount-of-matter;['sulfato', 'sulfatos', 'sulfate', 'anión sulfato', 'ester sulfurico', 'éster sulfúrico'];Sal o éster del ácido sulfúrico, ampliamente distribuido en la naturaleza, y a menudo presente en la atmósfera.
amount-of-matter;['vendimia', 'añada', 'cosecha', 'vino añejo', 'vino de reserva', 'cosechas'];Recolección de uvas o vino de una viña o distrito durante una temporada.
amount-of-matter;['cóctel', 'coctel', 'cocktail', 'cocteleria', 'coctelería', 'cócteles', 'angostura', 'bebida mixta', 'coctail', 'coktail', 'coktel', 'mixología'];Estilo de bebida mezclada, usualmente contiene dos o más licores y sabores.
amount-of-matter;['protactinio', 'número atómico 91', 'protoactinio', 'protoactinium', 'pa', 'brevio', 'eka-tantalo', 'eka-tántalo', 'eka tantalo', 'eka tántalo', 'protactinium'];elemento químico cuyo símbolo es Pa y su número atómico es 91. Es un actínido plateado.
amount-of-matter;['aluminio', 'al', 'número atómico 13', 'número atónico 13', '13al', 'aluminatos', 'aluminio anodizado', 'e173', 'e 173'];Un elemento químico metálico (símbolo de Al) con un número atómico de 13.
amount-of-matter;['estaño', 'sn', 'número atómico 50', 'diabolus metallorum', 'estano'];Elemento metálico, que se encuentra en la casiterita, que tiene varios alótropos. es un metal plateado-blanco maleable.
