abstract-quality;['kapribadèn', 'kapribadhen', 'kepribadian'];Kapribadèn ya iku unsur tindak tandhuk.
amount-of-matter;['etanol', 'étanol'];Étanol, diarani uga étil alkohol, alkohol murni, alkohol absolut, utawa alkohol, ya iku jinis cuwèran kang gampang nguwab, gampang kobong, ora ana wernané lan salah siji jinising alkohol kang paling asring digunakaké ing padinan.
amount-of-matter;['vodka'];Vodka ya iku sawiji ombèn kasiling penyulingan mligi dumadi banyu lan ethanol, kala-kala digawé karo bekas-bekas regetan lan dat perasa.
amount-of-matter;['susu mentah'];Susu mentah utawa susu sing durung dipasteurisasi yaiku susu sing durung dipasteurisasi, proses pemanasan panganan cair kanggo mateni patogen kanggo konsumsi sing aman lan nambah umur rak.
amount-of-matter;['asem nitrat', 'asam nitrat'];Senyawa kimia asem nitrat ya iku sajinis cuwèran korosif kang ora duwé warna, lan wujud asem ngandut racun kang bisa nyebapaké tatu kobong.
amount-of-matter;['banyu mineral'];Banyu mineral yaiku banyu saka sumber mineral sing ngemot macem-macem mineral, kayata garam lan senyawa belerang.
biological-object;['sendhi'];Sendhi ya iku sesambungan antarané balung siji marang balung liyané saéngga balung bisa diobahake.
biological-object;['floem'];Floem utawa pambuluh tapis (phloem, saka basa Yunani φλόος / Lat.
biological-object;['hipotalamus'];Hipotalamus wujud pusat panampung kabèh informasi sing teka saka manéka warna arah lan bakal dikirimaké nuju manéka warna sel minangka siji pesen utawa minangka informasi lan ngasilaké siji gerak utawa aktivitas.
biological-object;['pambuluh balik', 'vein', 'vena'];Pambuluh balik utawa vena iku pambuluh sing nggawa getih nuju jantung.
biological-object;['pambuluh nadi', 'arteri'];Pambuluh nadi utawa arteri iku pambuluh getih kang ana ototé kang nggawa getih saka jantung.
biological-object;['laring', 'larynx'];Laring, utawa kothak swara, iku organ ing gulu mamalia kang ngreksa trakéa lan kanggo prodhuksi swara.
biological-object;['sèl saraf', 'neuron', 'sel saraf'];Sèl saraf utawa neuron ya iku pérangan paling cilik kang nyusun sistem saraf manungsa kang ndarbèni sipat béda saka sèl-sèl awak liyané.
biological-object;['cakar mamalia'];Cakar minangka bagean saka sikil sing lembut kayata mamalia, umume quadruped, sing duwe cakar.
biological-object;['tendon'];Tendon iku seberkas tisu berserat fibrous connective tissue kang biyasa ngubungaké otot karo balung and is capable of withstanding tension.
biological-object;['timus'];Timus iku siji klanjer kang dumunung ing ngarep dhadha, kang boboté ngancik palib abot nalika manungsa ngancik mangsa pubertas.
biological-object;['klitoris', 'itil'];Itil utawa klitoris iku pérangané pawadonan kang dunungé ana ing sandhuwuré labia minora cacah loro.
biological-object;['driji', 'driji tangan'];Driji sajeroning basa Inggris: digit iku pérangan awak kang dumunung ing tangan, kiwa lan tengen, ing manungsa normal driji cacahé ana lima ing saben tangan, ya iku: Driji dumadi saka sawatara ros balung kang dislimuti déning daging utawa otot, ora mung manungsa waé kang duwé driji, sapérangan gedhé kéwan uga duwé nanging cacahé ora mesti lima.
biological-object;['prostat', 'kelenjar prostat', 'prostate'];Prostat iku klanjer eksokrin sajeroning sistem réprodhuksi mamalia lanang.
biological-object;['organ'];Ing biologi, organ iku golongan jaringan kang nglakoaké sapérangan fungsi.
biological-object;['polok', 'ugel-ugel sikil', 'ankle'];Polok utawa kemiri iku pucuk-pucuk balung gares sarta balung kéntol lan tungkak.
biological-object;['rahim', 'gua garba', 'guwa garba'];Rahim utawa guwa garba utawa kandhutan ya iku bagéyan saka organ reproduksi wanita kang wujudé kaya pir kuwalik, nduwé otot lan dumunung ing panggul antarané kandung kemih lan rektum.
biological-object;['ugel-ugel tangan'];Sajeroning anatomi, ugel-ugel tangan iku pérangan kang fleksibel lan sempit sambungan antara lengen ngisor lan tlapak tangan.
biological-object;['limpa'];Limpa iku klanjer tanpa saluran kang magepokan karo [[sistem saliyané sirkulasi]] lan duwé fungsi ngajuraké sèl getih abang tuwa.
biological-object;['pankréas', 'pankreas', 'pancreas'];Pankreas iku organ ing sistem pancernan kang duwé fungsi utama loro, ya iku ngasilaké enzim pancernan sarta sapérangan hormon penting kaya insulin.
biological-object;['deltoideus', 'deltoid muscle'];Otot deltoideus iku otot kang mbentuk struktur bunder ing bahu manungsa.
biological-object;['eosinofil'];Eosinofil ya iku leukosit saka golongan granulosit kang nduwé kagunan ing sistem kekebalan awak nalika nglawan parasit multiseluler lan sawatara infèksi ing makluk vèrtebrata.
biological-object;['granulosit'];Granulosit ya iku sawijiné sub-golongan sèl getih putih kang duwé granula ing jero sitoplasma.
biological-object;['basofil'];Basofil inggih punika salah satunggaling jinis leukosit ingkang wosipun lan saged ngeculaken histamin lan serotonin sadangunipun respon kekebalan badan.
biological-object;['eritrosit'];Èritrosit utawa sèl getih abang ya iku jinis getih kang paling akèh ana ing awak lan nduwé kagunan nggawa oksigèn tumuju jaringan-jaringan awak lumantar getih ing kéwan vèrtebrata.
biological-object;['impes', 'kandhung kemih', 'urinary bladder'];Impes, ing anatomi kéwan nyusoni, iku organ badan sing nglumpukaké banyu uyuh sing diwetokaké déning ginjel sadurungé dibuwang.
biological-object;['ilat', 'tongue'];Ilat iku kumpulan otot rangka ing pérangan dhasar tutuk kang bisa mbantu pancernaan panganan kanggo mamah lan ngulu.
biological-object;['kantung empedu', 'gallbladder'];Kantung empedu iku organ wangun woh pir kang bisa nyimpen kurang luwih 50 ml empedu sing dibutuhaké awak kanggo prosès pancernan.
biological-object;['kulit'];Kulit iku lapisan paling njaba ing awak manungsa.
biological-object;['plexus brachialis'];Cithakan:Infobox nerve
biological-object;['inti sel'];Inti sèl utawa nukleus sèl iku organel kang tinemu ing sèl eukariotik.
biological-object;['telih'];Telih ya iku sijining jeroan saka kéwan jinis manuk kang fungsiné kanggo nyimpen panganan kang dipangan sakdurungé digiling ana ing rempela.
biological-object;['wiji kopi'];Wiji kopi ya iku wiji saka tetanduran saka warung lan sumber omban-ombaenan kopi.
biological-object;['klanjer pinéyal', 'kelenjar pineal'];Klanjer Pineal iku siji klanjer endokrin cilik ing utek vertebrata.
biological-object;['wiji'];Wiji uga ana kang ngarani Isi iku bakal wiji saka Spermatophyta kang wis mateng.
biological-object;['organel'];Ing babagan biologi sèl, organel iku saka pérangan struktur kanthi fungsi mirunggan kang ngambang ing sitoplasma sèl eukariot.
biological-object;['sistem imun', 'sistem kekebalan'];Sistem imun utawa Sistem kakebalan iku sistem perlindungan prabawa njaba biologis kang dilakukan déning sel lan organ mligi sajeroning sawijining organisme.
biological-object;['mémbran sèl', 'membran sel', 'membran sèl'];Mémbran sèl iku lapisan sing nglindhungi inti sèl lan sitoplasma.
biological-object;['vakuola'];Vakuola wujud ruang njero sel sing isiné cuwèran.
biological-object;['pembuluh darah'];Pembuluh darah inggih punika péranganing sistém sirkulasi lan fungsi ngalir gétih ing sédaya salira.
biological-object;['klèwèr usus', 'umbai cacing', 'vermiform appendix'];Klèwèr usus utawa apèndhik iku organ tambahan ing usus buntu.
biological-object;['roti kethèk'];Roti kethek minangka pastry sing lembut, legi, lengket sing disajikake ing Amerika Serikat kanggo sarapan utawa minangka panganan.
biological-object;['limfosit'];Limfosit iku sajinis sèl getih putih jroning sistem kekebalan makhluk vertebrata.
biological-object;['ngolah apel'];Apple masak, apel kuliner utawa apel yaiku apel sing biasane digunakake kanggo masak, beda karo apel panganan cuci mulut, sing dipangan mentah.
biological-object;['lambung', 'stomach'];Lambung, iku organ badan sawisé kerongkongan kang gunané kanggo ngalusaké utawa nyerna panganan kang dileg lan nyerep sari utawa nutrisi panganan kang wigati kanggo badan.
biological-object;['mitokondria', 'kondriosom'];Mitokondria utawa Kondriosom (Ing.
biological-object;['balung iga', 'balung iga-iga', 'iga', 'iga-iga', 'ribs', 'tulang rusuk'];Sajeroning anatomi, balung iga utawa iga Balung iga nglindhungi dhadha, paru-paru, jantung, ati, lan organ njero liyané ing gronggongan dhadha.
biological-object;['sitrus', 'citrus'];Sitrus iku jeneng umum tumrap tetuwuhan ngembang saka kulawarga rutaceae.
biological-object;['klanjer idu', 'kelenjar idu'];Klanjer idu ya iku klanjer majemuk mawa tandan, ateges duwé gabungan golongan alveoli wangun kantong kang cilik-cilik.
biological-object;['klanjer', 'kelenjar'];Klanjer iku organ awak kang nyintésa dat, kaya déné hormon kanggo diwetokaké sèkrèsi liwat aliran getih, utawa menyang ruang-ruang sajeroning awak utawa lumahing awak.
biological-object;['usus gedhé', 'colon', 'large intestine'];Usus gedhé utawa kolon ing anatomi iku pérangan usus antarané usus buntu lan rektum.
biological-object;['lènsa mata'];Lènsa mata iku struktur sing transparan jroning mata bebarengan karo kornéa sing mbantu mbiasaké cahya supaya fokus tumuju menyang retina.
biological-object;['leukosit', 'ꦱꦺꦭ꧀ꦒꦼꦠꦶꦃꦥꦸꦠꦶꦃ'];Leukosit utawa sèl getih putih ya iku salah sawijiné sel kang mbentuk komponèn getih.
biological-object;['balung selangka', 'ꦧꦭꦸꦁꦱꦼꦭꦁꦏ', 'clavicula'];Sajeroning anatomi manungsa, balung selangka utawa clavicula iku balung kang mbentuk bahu lan ngubungaké lengen ndhuwur ing awak.
biological-object;['urétra', 'urethra', 'uretra'];Ing anatomi, urétra iku saluran sing ngubungaké kandhung kemih nuju lingkungan njaba badan.
biological-object;['pulo-pulo langerhans', 'gili langerhans'];Pulo-pulo Langerhans iku péranganing pankreas sing ngandhut sèl-sèl endokrin.
biological-object;['léci'];Léci minangka salah sawijining wit taunan saka kulawarga sapindaceae.
biological-object;['belimbing', 'blimbing'];Belimbing, uga dikenal minangka Carambola utawa Star fruit ing basa Inggris, yaiku woh utawa buah saka Caramelola averrhoa, sawijining spesies wit sing asale saka dhaerah tropis Asia Tenggara.
biological-object;['kismis'];Kismis ya iku anggur sing digaringaké lan bisa dipangan langsung utawa digunakaké ing masakan.
biological-object;['hemisfer'];Hemisfer iku rongsisi seng simetri seng kanggone mbagi ing polo besar.
biological-object;['klanjer adrénal', 'kelenjar adrenal'];Ing mamalia, klanjer adrenal iku klanjer endokrin wangun segitelu sing ana ing ndhuwur ginjel.
biological-object;['urètèr', 'ureter', 'ureters'];Urètèr iku sawijining saluran muskulèr wangun silindher sing nglantaraké urin saka ginjel nuju kandhung kemih.
biological-object;['balung walikat', 'scapula', 'skapula'];Sajeroning anatomi manungsa, balung walikat utawa scapula iku balung sing ngubungaké humerus lan clavicula.
biological-object;['paru-paru', 'lungs', 'pulmonologi'];Paru-paru iku organ ing sistem ambegan langegandhèngan karo sistem paredaran getih vertebrata kang ambegan mawa udara.
biological-object;['amandhel', 'amandel', 'amandêl', 'mandel'];Amandhel ya iku tumpukan lapisan kang wujudé tisu kang manggon ana ing sisih mburi krongkongan.
biological-object;['payudara', 'dhadha'];Payudara iku organ awak pérangan ndhuwur jaja saka spésies mamalia kang jinis kelaminé wadon, kalebu manungsa.
biological-object;['pipi'];Pipi iku laladan mawa daging ing rai ing sangisoring mata lan ing antara irung lan kuping kiwa utawa tengen.
biological-object;['kotiledon'];Kotiledon iku bakal godhong sing kadhapur ing embrio.
biological-object;['anus', 'silit'];Ing anatomi, anus, silit, bolongan bokong, utawa jubur iku bukakan saka rektum nuju lingkungan njaban awak.
biological-object;['woh garing'];Woh garing minangka woh sing mayoritas kandhutan banyu asli wis diilangi kanthi alami, liwat pangatusan srengenge.
biological-object;['kiwi'];Kiwi, woh-wohan iki wujudé mèh padha woh sawo nanging ana lunguté.
biological-object;['silia'];Silium ya iku organel sel kang duwé fungsi minangka piranti bantu perobahan kang nyolok saka sapérangan sel kang diametere kira-kira 0,25 μm lan dawane sakiwa-tengené 2 nganti 20 μm sarta lumrahé ana ing cacah akèh ing lumahing sel.
biological-object;['untu', 'teeth'];Untu iku pérangan atos kang ana ing njeron tutuké akèh vertebrata.
biological-object;['woh naga', 'buah naga'];Woh naga duwé khasiat kang gedhé tumrap kaséhatan.
biological-object;['sikut'];Sikut minangka salah siji péranganing tangan.
biological-object;['dhengkul'];Sajeroning anatomi manungsa, dhengkul iku sendhi sing ngubungaké femur lan tibia.
biological-object;['kuku', 'kanaka'];Kuku iku pérangan awak kéwan kang ana utawa thukul lan tuwuh ing pucuk driji.
biological-object;['balung pipa'];Balung pipa utawa balung dawa iku balung kang tuwuh saka pemanjangan ing pérangan epifise.
biological-object;['rome beauty'];Apel Rome Beauty iki uga karan apel ijo utawa apel Australia.
biological-object;['ati', 'liver'];Ati wujud klanjer gedhé dhéwé ing njero awak, manggon ana njero gronggongan weteng sisih tengen, peneré ing sangisoré diafragma.
biological-object;['sirsat', 'nangka sabrang', 'annona muricata', 'nangkli', 'nangka walanda', 'sirsak'];Sirsat, nangkli, nangka sabrang, nangka landa, utawa durèn landa iku tetuwuhan migunani sing asalé saka Karibia, Amérika Tengah lan Amérika Kidul.
biological-object;['klanjer gondhok', 'kelenjar tiroid', 'thyroid', 'thyroid gland'];Klanjer gondhok utawa klanjer tiroid iku salah siji saka klanjer endokrin gedhé dhéwé ing awak manungsa.
biological-object;['flagelum'];Flagellum iku piranti obah awangun pecut ing sawatara organisme mawa sèl tunggal.
biological-object;['trakea', 'trakéa'];Trakéa punika pipa ingkang dawa kira-kira 9 cm.
biological-object;['serviks', 'sérviks'];Sérviks ya iku panggonan kang ngubungaké rahim karo vagina.
biological-object;['kacang hazel'];Kacang Hazel minangka jinis kacang-kacangan sing diklasifikasikaké ing spesies Filbert.
biological-object;['endosperma'];Endosperma, ing botani, iku péranganing wiji tetuwuhan ngembang sing wujud asil saka pambuahan dhobel saliyané embrio.
biological-object;['sungu'];Sungu ya iku pérangan awak pira-pira kéwan, kang thukul saka endasé, wujud proyeksi kang kadadéan saka kulit kang atos.
biological-object;['driji sikil'];Driji sikil iku driji ing sikil manungsa utawa kéwan.
biological-object;['kelopak kembang', 'sepal'];Angkup utawa slaga iku péranganing kembang ing jinis tetuwuhan ngembang.
biological-object;['testis', 'endhog', 'tigan', 'testes', 'testicle', 'zakar'];Testis iku klanjer kelamin lanang ing kéwan lan manungsa.
biological-object;['ovarium'];Ovarium utawa indung endhog iku klanjer kelamin wadon kéwan lan manungsa.
biological-object;['sporangium'];Sporangium inggih punika panggènan ingkang wujud spora.
biological-object;['ribosom'];Ribosom iku organel cilik lan padhet sajeroning sel sing gunané minangka papan sintesis protéin.
biological-object;['sistem réprodhuksi', 'sistem reprodhuksi', 'sistem reproduksi', 'sistem réproduksi'];Sistem réproduksi iku siji roncén lan interaksi organ lan dat ing organisme kang dipigunaaké kanggo tangkar tumangkar.
biological-object;['kembang'];Kembang iku struktur reprodhuksi sèksual tetuwuhan ngembang.
biological-object;['angsang', 'insang'];Angsang inggih punika piranti ambegan ulam.
biological-object;['balung', 'tulang'];Balung utawa kerangka iku panopang awak manungsa.
biological-object;['ginjel', 'ginjal', 'ginjêl', 'kidneys'];Ginjel iku organ ekskresi ing vertebrata kang dhapuré mèmper kacang.
biological-object;['gurat sisi'];Gurat sisih ya iku kaya déné indera peraba kang ana ing kéwan-kéwan vertebrata akuatik, utamanw ing iwak.
biological-object;['rèncèk'];Rencek ya iku cawang-cawang cilik ing wit-witan kekayon.
biological-object;['jeruk nipis', 'citrus aurantifolia', 'jêruk nipis'];Jeruk nipis utawa jeruk limau iku tetuwuhan perdhu sing ngasilaké woh kanthi jeneng sing padha.
biological-object;['otak', 'utek'];Utek inggih punika punjer sistem saraf ing vertebrata saha kathah invertebrata sanèsipun.
biological-object;['tangan'];Tangan iku pérangan awak ing ujung lengen.
biological-object;['tungkak'];Tungkak, iku péranganing sistem balung ing awak manungsa kang dumunung ing sikil.
biological-object;['sèl', 'sel'];Sèl iku unit organisasi paling cilik kang dadi dhasar kauripan ing pangertèn biologis.
biological-object;['polok', 'ugel-ugel sikil', 'ankle'];Polok utawa kemiri iku pucuk-pucuk balung gares sarta balung kéntol lan tungkak.
biological-object;['tengkorak', 'skull'];Tengkorak iku struktur balung ing kéwan minangka rangka endhas.
biological-object;['usus buntu'];Usus buntu utawa sekum ing istilah anatomi iku siji kantung kang gumandheng marang usus panyerepan sarta pérangan kolon munggah saka usus gedhé.
biological-object;['wulu kéwan'];Wulu minangka rambut wulu sing kandel sing nutupi kulit kewan sing beda-beda.
biological-object;['eksoskeleton'];=== EKSOSKELETON === Eksoskeleton ya iku blongsong deposit sing atos ing pérangan njabané awak kéwan.
biological-object;['skrotum'];Skrotum iku kantung kang mbungkus testis utawa buah zakar.
biological-object;['sungsum balung', 'sumsum balung'];Sungsum balung iku jaringan empuk kang tinemu ing gronggongan interior balung kang dadi papan prodhuksi sapérangan gedhé sèl getih anyar.
biological-object;['putik'];Putik ya iku piranti kelamin wadon ing tuwuhan kang kawangun saka sirah putik, gagang putik, lan bakal woh.
biological-object;['sèl endhog'];Sèl endhog utawa ovum iku sèl réprodhuksi wadon asil saka ovarium.
biological-object;['jenthik', 'klingking'];Driji jenthik, kerep diarani pinky ing Basa Inggris Amérika lan pinkie ing Basa Inggris Scottish, iku driji ing tangan manungsa kang paling cilik, dunungé ana ing jèjèré driji manis lan paling adoh saka jempol.
biological-object;['driji panuding', 'driji panuduh'];Driji panuding (basa Inggris: index finger, (uga diarani forefinger, trigger finger, pointer finger, digitus secundus, utawa digitus II), iku driji kaloro ing tangan manungsa.
biological-object;['bokong'];Bokong ya iku bageyan saka awak manungsa kang nduweni fungsi minangka panggonan tumpuan awak nalika lungguh.
biological-object;['jènggèr', 'jengger'];Jengger ya iku daging kang thukul ing saknduwure ndhas manuk saka golongan pitik lan seduluré saka galliformes, mliginé kalkun lan pitik jawa.
biological-object;['kembang majemuk'];Kembang majemuk ya iku saklompok kuncup kembang kang karoncé ing siji ibu tangké kembang utawa ing sawijining tatanan tangké-tangké kembang kang luwih ngremit.
biological-object;['rai', 'pasuryan', 'dhapur', 'rupa', 'ulat'];Rai utawa praupan iku pérangan arepan saka sirah manungsa kang ambané saka bathuk tumeka janggut.
biological-object;['sistem skeletal'];Sistem skeletal utawa Sistem rangka iku sawijining sistem organ sing mènèhi dhukungan fisik marang makhluk urip.
biological-object;['jantung'];Jantung iku gronggongan organ otot kang mompa getih liwat pembuluh getih déning kontraksi kanthi irama kang dibolan-balèni.
biological-object;['gares', 'balung gares', 'tibia'];Gares (basa Inggris: tibia, shinbone, utawa shankbone iku salah siji saka loro balung sing paling gedhé lan paling kuwat ing sikil sangisoré dhengkul sing ana ing golongan vertebrata lan ngubungaké dhengkul karo balung ugel-ugel sikil.
biological-object;['sistem limfatik', 'getah bening'];Sistem limfatik iku siji sistem sirkulasi sekunder kang fungsiné ngilèaké limfa utawa getah bening ing njeron awak.
biological-object;['aorta'];Aorta iku arteri gedhé dhéwé ing awaké manungsa.
biological-object;['jakun'];Kalamenjing iku klanjer tiroid kang nonjol ing gulu priya.
biological-object;['retina'];Retina iku selapis tipis sèl kang dumunung ing pérangan mburi bola mata vertebrata lan cephalopoda.
biological-object;['usus alus', 'small intestine'];Usus alus utawa usus cilik iku péranganing saluran pancernan sing papané ana ing antarané lambung lan usus gedhé.
biological-object;['godhong', 'ron', 'daun', 'godong'];Godhong iku salah siji organ tetuwuhan kang tuwuh ing batang kang fungsi mligi nyerep énergi cahya srengéngé kanggo fotosintesis.
biological-object;['penis', 'palanangan', 'kontol', 'konthol', 'kulup', 'plandhungan', 'titit'];Palanangan uga karan planangan, peli, konthol, utawa pénis utawa ing basa Jawa Krama pajaleran, kerep uga supaya luwih samar diarani manuk, iku sawijining organ èksternal minangka organ sèksual utawa wewadi lan organ réprodhuksi manungsa lanang.
biological-object;['spermatozoid'];Sepermatozoid utawa Spermatozoa utawa Sel sperma utawa mani ya iku sèl saka sistem reprodusi wong lanang.
biological-object;['stamen'];Stamen utawa Benang sari ya iku organ réprodhuksi lanang ing kembang.
biological-object;['klanjer pituwitari', 'kelenjar pituitari', 'pituitari'];Hipofisis, utawa Klanjer Pituitaria, boboté watara 0.5 gram, lan dhimènsi normal ing manungsa watara 10 x 13 x 6 mm.
biological-object;['utek tengah', 'ꦲꦸꦠꦏ꧀ꦠꦺꦔꦃ'];Otak tengah utawa ya iku pérangan paling cilik saka utek kang duweni fungsi minangka stasiun relai kanggo informasi pangrungon lan pandelengan.
biological-object;['sistem otot'];Sistem otot iku sistem organ ing kéwan lan manungsa sing ngidinaké makluk kasebut obah.
biological-object;['mata', 'eyeball', 'mripat'];Kanggo panggunan liya delengen: Mata Mata utawa mripat utawa sesoca iku organ pandulu kang ndhetèksi cahya.
biological-object;['irung', 'grana'];Irung, kanthi anatomi yakuwi panonjolan kang ana ing golongan vertebrata kang ngandhut nostril, kanggo nyaring udara ing ambegan.
biological-object;['sistem kardiovaskular', 'sistem sirkulasi'];Sistem kardiovaskular utawa sistem sirkulasi iku siji sistem organ kang fungsiné mindhah dat nuju lan saka sél.
biological-object;['sistem urin'];Sistem urin iku sistem organ kang mrodhuksi, nyimpen, lan ngilèaké urin.
biological-object;['acromion'];Acromion utawa Processus Acromion iku bagéan anatomis saka scapula.
biological-object;['gulu'];Gulu iku pérangan sing ngubungaké sirah karo awak.
biological-object;['usus'];Usus iku péranganing sistem pencernaan kang diwiti saka lambung nganti anus.
biological-object;['batang utek'];Batang utek utawa brainstem iku pérang ngisor saka utek, kang nggandhèngaké lan kanthi struktur nerisaké saluran saraf.
biological-object;['bathuk'];Sajeroning anatomi manungsa, bathuk iku pérangan mawa balung ing sirah sadhuwuring mata.
biological-object;['pupu'];Pupu sajeroning manungsa iku laladan antara pelvis lan bokong karo dhengkul.
biological-object;['usus kosong', 'jejunum'];Usus kosong utawa jejunum iku pérangan kapindho saka usus alus, ing antarané usus rolas driji lan usus panyerepan.
biological-object;['usus penyerepan', 'ileum'];Usus panyerepan utawa ileum iku bagéyan pungkasan saka usus alus.
biological-object;['usus rolas driji', 'duodenum'];Usus rolas driji utawa duodenum iku péranganing usus alus kang papané sawisé lambung lan nggandhengak karo usus kosong.
biological-object;['gurung', 'kerongkongan', 'esophagus'];Gurung utawa Ésofagus iku bumbung otot vertebrata kang diliwati wektu panganan mili saka pérangan tutuk tumuju lambung.
biological-object;['tenggorokan', 'gorokan'];Sajeroning anatomi, tenggorokan utawa tenggorok ikuh péranganing gulu sing dumadi saka faring lan laring.
biological-object;['sistem saraf pusat'];Sistem saraf punjer ngambah utek lan sungsum balung mburi.
biological-object;['geger', 'back'];Geger iku wewengkon pérangan mburi ing awak manungsa, wiwit saka ndhuwuring bokong munggah nganti dhuwuring gulu lan pundhak utawa bahu pérangan mburi.
biological-object;['janggut'];Janggut iku pérangan paling ngisor saka rai sajeroning anatomi manungsa.
biological-object;['weteng', 'abdomen'];Abdomen iku istilah kang dipigunakaké kanggo nyebut péranganing badan kang ana ing antarané thorax utawa dhadha lan pelvis ing kéwan mamalia lan vèrtebrata liyané.
biological-object;['woh', 'uwoh'];Woh yaiku pérangan saka uwit kang ngandhut wiji.
biological-object;['driji tengah', 'driji panunggul', 'driji panengah', 'panunggul'];Driji tengah (utawa driji dawa iku driji ing tangan manungsa, dumunung ing antarané driji panuding lan driji manis.
biological-object;['kuping', 'talingan'];Kuping iku siji organ kang bisa ndhetèksi utawa ngenal swara.
biological-object;['sistem saraf', 'nerve', 'nerves', 'saraf'];Sistem saraf kéwan ngoordhinasi aktivitas otot, monitor organ, mbentuk lan uga ngendhegaké lebonan saka indra, lan ngaktifké aksi.
biological-object;['sistem pandulu'];Sistem pandulu iku bagéan saka sistem indra sing agawé organisme bisa ndeleng.
biological-object;['buntut sapi'];Oxtail minangka Salah sawijining jeneng kuliner kanggo buntut sapi.
biological-object;['sistem ambegan', 'respiratory apparatus', 'respiratory system'];Sistem ambegan utawa sistem respirasi iku sistem organ sing digunaaké kanggo ijolan gas.
biological-object;['sistem endokrin'];Sistem endokrin iku sistem kontrol klanjer tanpa saluran kang ngasilaké hormon kang sirkulasiné ing badan ngliwati ilèning getih kanggo mempengaruhi organ-organ liya.
biological-object;['bol', 'rektum', 'rectum'];Bol utawa Rektum iku organ pungkasan saka usus gedhé ing sapérangan jinis kéwan nusoni kang pungkasané ing silit.
biological-object;['jempol'];Jempol iku driji ing tangan kang posisiné paling pinggir ing tangan manungsa Istilah basa Latin: pollical.
biological-object;['driji manis', 'jenthik manis', 'klilingan'];Driji manis iku driji kapapat ing tangan manungsa, dumunung ing antaraning driji tengah lan jenthik.
biological-object;['gusi'];Gusi utawa gingiva ya iku salah sawijiné pérangan kang ana ing cangkem.
biological-object;['sirah', 'endhas', 'mustaka'];Sirah, sajeroning anatomi iku pérangan rostral sing racaké dumadi saka utek, mata, kuping, irung, lan tutuk.
biological-object;['oyod', 'oyot'];Ing tuwuhan vaskuler, oyod utawa oyot iku organ tuwuhan kang racaké kependhem ing ngisor lapisan lemah.
biological-object;['embing-embing', 'plasenta'];Embing-embing utawa ari-ari iku jeroan sajeroning wadhah bayi nalikané meteng/ mbobot mènèhi nutrisi lan nglindhungi jabang bayi.
biological-object;['xilem'];Pembuluh kayu utawa xilèm (dari xylem, dari basa Yunani kuna ξυλον / Lat.
biological-object;['rempela'];Rempela, iku salah sijining jeroan ing sawatara kéwan, kaya ta manuk, rèptil, cacing lemah lan pira-pira jinis iwak.
biological-object;['méristem primèr', 'méristem primér'];Méristem primér iku jaringan nom kang asalé saka sèl-sèl awal kang mau proméristem.
biological-object;['sklera'];Sklèra inggih punika pérangan ing jawi soca ingkang ngélindungi, kiat saha warninipun pèthak.
causal-role;['heksana'];Cithakan:Chembox DrugBank Heksana inggih punika senyawa hidrokarbon alkana mawi rumus kimia C6H14.
chemical-object;['molekul'];Ing kimia, molekul iku pérangan ora kapisahaké kang paling cilik senyawa murni kang duwé ciri unik kimia lan fisik.
chemical-object;['hemoglobin'];Hemoglobin ya iku metaloprotein ing jero sèl getih abang kang nduwé kagunan minangka pengangkut oksigèn saka paru-paru tumuju kabèh pérangan awak, ing mamalia lan kéwan liyané.
chemical-object;['onkogen'];Onkogèn utawi proto onkogèn proto oncogènè protèin ingkang ngerangsang pembelahan sèl.Onkogèn inggih punika gen ingkang termodifikasi saéngga ningkatakén keganasan ing sèl tumor.
chemical-object;['onkogen'];Onkogèn utawi proto onkogèn proto oncogènè protèin ingkang ngerangsang pembelahan sèl.Onkogèn inggih punika gen ingkang termodifikasi saéngga ningkatakén keganasan ing sèl tumor.
chemical-object;['albumin'];Albumin ya iku aran kang minangka ngrujuk tumuju kabèh jinis protéin monomer kang larut ing banyu lan ing larutan uyah.
chemical-object;['ion'];Ion ya iku atom autawa sekumpulan atom kang duwé momotan listrik.
chemical-object;['protéin', 'protein'];Protéin ya iku senyawa organik komplèks kang nduwé bobot molekul dhuwur kang wujud polimèr saka monomèr-monomèr asem amino kang digandhéngaké siji lan sijiné kanthi ikatan peptida.
chemical-object;['antibodi'];Antibodi inggih punika glikoprotein kaliyan struktur katamtu ingkang dipunsèkrèsiakén saking pencerap limfosit-B yang telah teraktivasi menjadi sel plasma, dados respon saking antigen katamtu saha reaktif déning antigen mau.
chemical-object;['alel'];Sajeroning genetika, alel wujud wangun-wangun alternatif saka gen utawa urutan basa nitrogen ing siji sègmèn DNA tinentu.
chemical-object;['isotop'];Isotop iku wangun saka unsur kang nukleusé duwé nomer atom kang padha, nanging gunggung proton ing nukleus - kanthi massa atom kang béda amarga unsur-sunsur iku duwé gunggung neutron kang béda.
classification-system;['pananggalan suryacandra', 'kalèndher suryacandra', 'kalèndher lunisolar'];Pananggalan suryacandra utawa Kalèndher lunisolar iku siji pananggalan sing migunakaké fase rembulan minangka acuan utama nanging uga nambahaké pergantian mangsa ing pétungan saben taun.
classification-system;['pananggalan candra', 'kalèndher candra', 'kalèndher lunar', 'kalèndher rembulan'];Pananggalan Candra utawa Kalènder lunar iku sistem penanggalan sing didhasaraké marang pétungan fase rembulan.
