abstract-region;['soma', 'montante', 'total', 'importe', 'importância', 'quantia', 'quantitativo', 'número', 'totalizar'];O resultado da adição de duas ou mais quantidades.
cognitive-modal-description;['tendência', 'disposição', 'inclinação', 'atitude'];Estado mental complexo que envolve crenças, sentimentos, valores e disposições para se agir de certas maneiras.
course;['acidente rodoviário', 'accidente de carro', 'acidentes de viação', 'batida', 'veículos abandonados', 'acidente de trânsito', 'acidentes de trânsito', 'acidente automobilístico', 'acidente de automóvel', 'acidente de carro', 'acidente de tráfego', 'acidente de viação', 'batida de carro', 'acidente carro', 'acidente automóvel', 'acidentes automobilísticos', 'acidentes de carro', 'colisões de trânsito', 'fender bender', 'quebra-se-'];Circunstância na qual dois ou mais veículos acidentalmente colidem.
course;['sorte', 'acaso', 'azar', 'casualidade', 'coincidência', 'contingência', 'fortuna', 'inadvertidamente', 'irrefletidamente', 'ensejo'];Qualquer coisa benéfica que acontece a alguém por acaso.
course;['maré baixa', 'baixa-mar', 'baixamar', 'água de baixa'];A altura mínima do mar num ciclo de maré. Este ciclo é normalmente de umas 12 horas.
dependent-place;['vulcão'];Abertura na superfície da Terra através da qual magma e gases são expelidos.
dependent-place;['pupila', 'menina dos olhos', 'alunos'];Abertura contráctil da íris.
dependent-place;['direita', 'direito'];Direcção ou lado, oposto à esquerda. Quando uma pessoa mantém as suas mãos esticadas à frente, com as palmas voltadas para fora, a forma do dedo indicador e polegar que não se assemelha a um "L" é esta direcção.
ecological-collective;['mundo', 'humanidade', 'homem', 'altruísmo', 'filantropia', 'humanos', 'raça humana', 'seres humanos', 'espécie humana', 'geração', 'povo', 'no mundo'];Todos os seres humanos.
event;['caça'];Carne proveniente geralmente de animais selvagens.
functional-matter;['antibiótico', 'antibióticos', 'antibiotico', 'antibioticoterapia', 'antibacterianos'];Uma substância química, produzida por micro-organismos ou sinteticamente, que possui a capacidade de inibir o crescimento, e mesmo de destruir, bactérias e outros micro-organismos.
functional-matter;['bola', 'pedaço', 'grupo', 'torrão', 'glob'];Uma massa compacta.
functional-matter;['floco de neve', 'floco', 'flocodeneve'];Um aglomerado de cristais de gelo que caem do céu.
functional-matter;['prata', 'ag', 'elemento 47', 'argentum', 'uso médico da prata', 'número atômico 47', 'prata nativa'];Elemento branco-acinzentado maleável, muito dúctil e brilhante, que tem a mais alta condutividade elétrica e térmica entre todos os metais. Ocorre sob a forma livre ou na argentita e em outros minerais. usado em joalheria, vasilhame, cunhagem de moedas, contatos elétricos e eletrodeposição.
functional-matter;['lenço', 'bolso', 'hankey'];Uma peça de tecido, normalmente quadrada e frequentemente fina e elegante, transportada para limpeza da cara, nariz ou mãos.
functional-matter;['sobremesa', 'sobremesas', 'pospasto', 'afters'];Uma confecção culinária geralmente doce servida no final de uma refeição.
functional-matter;['rubi', 'rubis'];Pedra preciosa vermelha, com cor variável entre rosa claro e vermelho sangue, variedade do mineral corindon (óxido de alumínio).
functional-matter;['ametista', 'pedra ametista', 'ametistas'];Uma variedade púrpura de quartzo usada frequemente como ornamento.
functional-matter;['malha', 'rede', 'rede de computadores', 'trama'];Um conjunto de conexões entre várias infra-estruturas computacionais.
functional-matter;['feijão', 'legume seco', 'leguminosa seca', 'fava'];Nome comum para os grandes grãos comestíveis de várias plantas da família "Fabaceae"
functional-matter;['borracha sintética', 'borracha', 'poliisopreno', 'poliisopropeno', 'poli-isopreno'];Material elástico de cor entre creme e marrom escuro obtido pela coagulação e secagem do látex de certas plantas, especialmente a seringueira.
functional-matter;['borracha sintética', 'borracha', 'poliisopreno', 'poliisopropeno', 'poli-isopreno'];Polímero hidrocarbônico elástico que ocorre naturalmente como uma suspensão coloidal leitosa, ou látex, na seiva de algumas plantas.
functional-matter;['antigénio', 'antígeno', 'antigénios', 'antigênio', 'antígenos', 'idiótipo', 'gerador de anticorpos'];Qualquer substância capaz de estimular o organismo a produzir anticorpos que a combatam. Entre os antigénios, encontram-se bactérias, vírus, pólen e outros corpos estranhos ao organismo.
functional-matter;['nutriente', 'nutrientes', 'comida', 'alimento', 'alimentos', 'alimentação', 'manja', 'manjua', 'mantimento', 'nutrimento', 'paparoca', 'sustento', 'trincadeira', 'vianda', 'macronutrientes'];Material que pode ser ingerido e utilizado pelo organismo como uma fonte de nutrição e energia.
functional-matter;['sumo de fruta', 'suco', 'esmagamento de fruta', 'suco de frutas'];Sumo obtido espremendo, esmagando ou centrifugando um fruto.
functional-matter;['vinho', 'vinhos', 'zurrapa', 'vino'];Bebida alcoólica feita a partir da fermentação do sumo de uva.
functional-matter;['pão', 'pan', 'pães', 'pao', 'cacete', 'panificação', 'pão integral', 'pessoal de vida', 'pão fermentado'];Um alimento comum feito essencialmente de farinha, água e levedura e produzido pelo sovar (amassar) e cozer de uma massa.
functional-matter;['sorvete', 'gelado', 'sorvetes', 'a história do sorvete', 'dia do sorvete', 'sorvete do deserto'];Uma sobremesa fria (feita de água, leite e nata, combinados com aromas, emulsionantes e açúcar), especialmente apreciada durante o tempo quente.
functional-matter;['borracha', 'borracha natural', 'cauchu', 'poliisopreno', 'borracha vulcanizada', 'borrachas', 'borracha da índia', 'goma elástica', 'india-borracha'];Polímero hidrocarbônico elástico que ocorre naturalmente como uma suspensão coloidal leitosa, ou látex, na seiva de algumas plantas.
functional-matter;['bolo', 'bolos'];Uma sobremesa cozinhada, rica e doce, tipicamente feita com farinha, ovos, açúcar e manteiga.
functional-matter;['ovo', 'ovo de galinha', 'gema', 'ovos', 'óvulo', 'produção ovos'];Ovo de aves domesticadas, geralmente de galinhas, visto como comida.
functional-matter;['lixo', 'lixo público'];Pedaços pequenos de lixo, tais como latas, garrafas e invólucros, que as pessoas deixam em lugares públicos.
functional-matter;['medicamento', 'remédio', 'droga', 'fármaco', 'medicina', 'medicação', 'tratamento', 'medicamentos', 'produtos farmacêuticos', 'droga blockbuster', 'droga medicinal'];Uma substância que especificamente providencia uma melhoria de saúde.
functional-matter;['café da manhã', 'pequeno-almoço', 'almoço', 'desjejum', 'café-da-manhã', 'mata-bicho', 'matabicho', 'matapichu', 'pequeno almoco', 'desejum', 'pequeno almoço', 'primeiro almoço'];A primeira refeição do dia, usualmente tomada de manhã.
functional-matter;['caça'];Carne proveniente geralmente de animais selvagens.
functional-matter;['lima', 'laranja-lima', 'laranja lima', 'limão'];Um citrino verde.
functional-matter;['folha', 'chapa', 'lasca', 'lâmina', 'placa', 'folha de papel', 'folhas', 'papel', 'pedaço de papel'];Uma peça rectangular de papel.
functional-matter;['sal', 'sal de cozinha', 'sal de mesa', 'sal-de-cozinha', 'sal alimentar', 'sal fino', 'sal grosso', 'sais', 'produção de sal', 'sal comum'];Um condimento (NaCl - cloreto de sódio) usado para incrementar ou intensificar o sabor de alimentos (muitas vezes com pimenta).
genetic-collective;['branco', 'brancos', 'raça branca', 'caucasiana', 'caucasianas', 'caucasianos', '\u200b\u200bbrancos', 'a raça caucasiana', 'as pessoas brancas', 'pessoas brancas', 'raça caucasóide', 'white people'];Homem de raça branca.
genetic-collective;['posteridade'];As gerações futuras.
genetic-collective;['família', 'famílias', 'família consanguínea', 'família tradicional', 'relações familiares', 'unidade familiar'];Conjunto das pessoas relacionadas, por criação ou genéticamente, a alguém, linhagem.
geographical-object;['rio vístula', 'vístula', 'rio vistula'];O rio mais comprido da Polónia.
geographical-object;['golfo da guiné'];Parte do Oceano Atlântico situada a sudoeste de África.
geographical-object;['ilha', 'isla', 'ilhas', 'insular', 'ilha fluvial', 'ilha continental', 'ilha oceânica', 'ilha tropical'];Área de terra, mais pequena que um continente, totalmente cercada por água.
geographical-object;['oceano', 'ambiente marinho', 'oceanos', 'o oceano', 'os oceanos', 'mar'];Massa d’água que ocupa toda a superfície da Terra não ocupada por terra, mas excluindo todos os lagos e mares interioranos.
geographical-object;['península', 'peninsular'];Extensão de terra que se prolonga mar adentro quase totalmente rodeada por água.
geographical-object;['rio jordão', 'jordão', 'yarden', 'jordânia'];Rio do Médio Oriente que desagua no Mar Morto.
geographical-object;['golfo pérsico', 'golfo persa', 'mar vermelho', 'golfo arábico', 'golfo do irã', 'arabian gulf'];Uma extensão do Oceano Índico situada entre o Irão e a Península Arábica
geographical-object;['ilhas baleares', 'baleares', 'balear'];Grupo de ilhas do Mediterrâneo perto da costa este de Espanha.
geographical-object;['mar egeu', 'egeu'];Braço do Mar Mediterrâneo situado entre a o sul da península balcã e a península da Anatólia.
geographical-object;['guadalupe', 'guadeloupe', 'economia de guadalupe', 'ilha de guadeloupe', 'gaudalupe'];Um território francês de ultramar localizado no Mar do Caribe oriental.
geographical-object;['groenlândia', 'gronelândia', 'kalaallit nunaat', 'groelândia', 'gronelandia', 'grønland', 'groelandia', 'groênlandia', 'gronland'];Ilha autónoma integrada no território da Dinamarca.
geographical-object;['corpo de água', 'água', "corpo d'água", "corpo-d'água", 'corpo aquático', 'corpo d’água', "corpos d'água", 'corpos de água', 'massa de água', 'oceano'];Acumulação significativa de água, cobrindo a Terra ou outro planeta.
gestalt;['quadrado', 'quadrada', 'quadrados', 'quadrangular', '■', 'foursquare'];Um polígono bi-dimensional com quatro lados iguais e quatro ângulos retos.
gestalt;['pentágono', 'pentagono', 'pentagonal', 'pentágono regular', 'pentágonos'];Um polígono com cinco lados.
gestalt;['hexágono', 'hexagono', 'hexagonal', 'hexágonos'];Um polígono com seis lados.
gestalt;['fatia', 'rodela'];Um bocado cortado cuja espessura é pequena comparada com o seu comprimento e largura ou o seu diâmetro.
goal;['intenção', 'objetivo', 'propósito', 'finalidade', 'intento', 'alvo', 'desenho', 'desígnio', 'escopo', 'fim', 'intuito', 'meta', 'mira', 'objeto', 'plano', 'resolução', 'tenção', 'objectivo', 'intencional'];Objectivo que se persegue ou fim que se quer obter.
information-object;['artigo', 'artigo definido', 'artigo indefinido', 'artigos indefinidos', 'artigo gramatical'];Uma palavra, um tipo de determinante que especifica ou limita o substantivo que se lhe segue.
information-object;['consoante'];Uma letra do alfabeto que não é uma vogal.
information-object;['pronome pessoal', 'pronome pessoal do caso reto', 'pronomes pessoais'];Um pronome que se refere a uma pessoa previamente mencionada.
information-object;['ponto final', 'ponto', 'ponto-final', 'período', 'ponto cheio'];O sinal de pontuação, em forma de ponto, que indica o final de uma frase.
information-object;['ponto final', 'ponto', 'ponto-final', 'período', 'ponto cheio'];Sinal de pontuação em forma de ponto.
information-object;['vogal', 'vocal', 'vogais', 'a.e.i.o.u', 'encontro vocálico', 'encontros vocálicos', 'vogal temática', 'altura vogal', 'backness vogal', 'qualidade de vogal', 'qualidade vogal'];Som da voz produzido pela vibração da laringe modificada pela maior ou menor abertura da boca.
information-object;['anagrama'];Uma palavra que resulta da transposição de letras de outra palavra.
information-object;['termos mais específicos', 'hipônimo', 'hipónimo', 'hypernym', 'palavra subordinado'];Entradas num thesaurus que têm um plano semântico mais específico que outras.
information-object;['advérbio', 'advérbios', 'adverbio', 'advébio de causa', 'advérbios de frequência', 'advérbios de lugar'];Uma palavra que modifica um verbo, um adjectivo, um outro advérbio ou uma frase preposicional.
information-object;['classe gramatical', 'classes gramaticais', 'parte do discurso', 'categoria lexical', 'categorias lexicais', 'classe de formulário', 'classe de palavras', 'classe palavra', 'partes do discurso'];Categoria de uma palavra segunda sua função sintática dentro de um idioma específico.
information-object;['letra', 'carta', 'caráter', 'caracter', 'caractér', 'carácter', 'caractere alfabético', 'letra do alfabeto'];Símbolo em um alfabeto.
information-object;['sinônimo', 'sinónimo', 'sinonímia', 'sinonimia', 'sinónimos', 'sinonimos', 'palavra equivalente', 'sinônimos'];Uma palavra ou frase que possui exactamente ou quase exactamente o mesmo significado que uma outra palavra ou frase.
information-realization;['provérbio', 'adágio', 'ditado', 'anexim', 'prolóquio', 'dito', 'ditado popular', 'aforismo', 'provérbios', 'sinônimo'];Uma frase feita, bem conhecida, que expressa uma máxima ou sabedoria de uma forma curta e concisa.
information-realization;['livro', 'livros', 'livreto', 'livroide'];A coleção de folhas de papel ligados à dobradiça em uma borda, contendo impressas ou escritas material, fotos, etc
information-realization;['ópera', 'ópera barroca', 'óperas', 'canto lírico', 'cantor lírico', 'cantora lírica', 'música lírica', 'origens da ópera', 'ópera italiana', 'ópera lírica'];Uma forma de arte que consiste na actuação dramática em palco em concordância com música.
information-realization;['caneta', 'canetas', 'caneta-tinteiro', 'caneta esferográfica', 'caneta e tinta'];Utensílio, normalmente de forma tubular, que contém tinta, usado para escrever ou fazer marcas.
information-realization;['sinfonia', 'sinfonias', 'sinfônica', 'música sinfônica'];Uma composição extensa geralmente para orquestra e geralmente também composta por 4 movimentos/andamentos.
information-realization;['carta', 'carta náutica', 'grafico', 'gráfico', 'mapa'];Um mapa de navegação que representa uma parte do mar, indicando o contorno das costas e posição dos rochedos, bancos de areia e outras partes do mar.
information-realization;['ortografia', 'sistema de escrita', 'sistemas de escrita', 'direita para a esquerda'];O estudo da escrita correcta das palavras de acordo com o uso estabelecido.
information-realization;['dicionário', 'dicionários', 'dicionario', 'vocabulário', 'dicionário de sinônimos', 'lista de sinônimos', 'pai-dos-burros', 'array associativo', 'léxico'];Livro de referência que contém uma lista alfabética explanatória de palavras, como um livro que lista uma seleção abrangente ou restrita de palavras de uma língua. que identifica, geralmente, o valor fonético, gramatical e semântico de cada palavra, freqüentemente com etimologia, citações, e guia de emprego e outras informações.
information-realization;['grupo funcional', 'grupo', 'radical', 'funções orgânicas', 'família', 'função orgânica', 'grupo químico', 'grupo da tabela', 'grupos funcionais', 'série química'];Conjunto dos elementos que pertencem à mesma coluna da tabela periódica.
information-realization;['projecto de lei', 'projeto de lei', 'projetos de lei', 'proposta de lei', 'projeto de lei complementar', 'projectos de lei', 'projeto lei'];Lei proposta apresentada ao parlamento para aprovação.
information-realization;['expressão', 'provérbio', 'locução', 'ditado popular', 'ditado', 'adágio', 'dito popular', 'ditados populares', 'frase', 'mote', 'máxima', 'idioma'];Uma frase feita, bem conhecida, que expressa uma máxima ou sabedoria de uma forma curta e concisa.
information-realization;['fatia', 'rodela'];Um bocado cortado cuja espessura é pequena comparada com o seu comprimento e largura ou o seu diâmetro.
information-realization;['mediação', 'mediação de conflitos'];Procedimento não vinculatório de solução de controvérsia em que uma terceira parte neutra procura ajudar as partes litigantes a encontrar uma solução mutuamente satisfatória.
information-realization;['obra-prima', 'obra prima', 'obras-primas', "chef-d'oeuvre"];A obra de arte particularmente bem acabada.
language;['isizulu', 'zulu', 'zulus'];Uma língua nigero-congolesa nativa dos povo Zulus no sul da África.
language;['córnico', 'língua córnica'];Língua da Cornualha, península do Reino Unido, sendo uma língua autóctone do ramo do galês quase extinta.
language;['malayalam', 'língua malaiala', 'malaiala', 'malabar', 'língua malayalam', 'malayalama', 'malayam', 'malyalam'];Uma língua dravídica falada principalmente no estado de Kerala, no sul da Índia.
language;['língua canaresa', 'canará', 'canarês', 'kannada', 'língua kannada', 'lingua kannada', 'língua canada', 'língua canará', 'idioma canarês', 'canaresa'];Uma língua dravídica falada principalmente no estado de Karnataka, na Índia.
language;['línguas mongólicas', 'língua mongol', 'mongol', 'língua mongólica', 'mongolic', 'linguagem mongolic', 'língua mongolic', 'línguas mongolic'];A língua mais conhecida da família das línguas mongólicas, falada principalmente na Mongólia.
language;['osseto', 'língua osseta', 'osseta', 'língua ossétia', 'иронау', 'língua osseto', 'ossete'];Língua falada na Ossétia, uma região montanhosa situada no Cáucaso, na fronteira entre a Rússia e a Geórgia.
language;['proto-indo-europeu', 'língua protoindo-europeia', 'protoindo-europeu', 'pie', 'língua proto-indo-europeia', 'língua proto-indo-européia', 'proto-indo-europeia', 'proto-indo-européia', 'protoindo-europeia', 'protoindoeuropeia', 'proto-indo europeu', 'língua proto-indo-europeu'];Ancestral comum hipotético das línguas indo-européias.
language;['frase', 'oração', 'período', 'periodo simples e composto', 'período simples', 'assindetismo', 'frases', 'frases nominais', 'frases verbais', 'nominal', 'oração sindética ou assindética', 'oração e período', 'sentença declarativa'];Uma série de palavras gramaticalmente completa (que consiste de um sujeito e predicado, mesmo se um ou outro estiver subentendido) que tipicamente começa com uma letra maiúscula e termina com um ponto final.
language;['esperanto', 'história do esperanto', 'esperantio', 'língua esperanto'];Uma língua internacional construída, amplamente falada, iniciada por L. L. Zamenhof.
language;['ido', 'língua ido'];Língua artificial, resultado de uma reforma do esperanto.
language;['marata', 'língua marata', 'língua marathi', 'marathi', 'lingua marata', 'maratha', 'marathas', 'marati', 'mahratti'];Uma língua indiana falada sobretudo no oeste e sul da Índia.
language;['língua curda', 'curdo'];Um grupo de línguas indo-iranianas faladas pelos curdos, os quais vivem sobretudo no Iraque, na Turquia, na Síria, no Líbano e no Irão.
language;['nynorsk', 'novo norueguês', 'língua nova norueguesa', 'neo-norueguês', 'neonorueguês', 'idioma nynorsk', 'landsmaal', 'landsmal', 'landsmål', 'norueguesa nova'];Um dos dois padrões de escrita oficiais do norueguês, derivado de dialectos, sendo o outro o bokmål.
language;['bokmål', 'dano-norueguês', 'bokmal', 'riksmål', 'riksmaal'];Um dos dois padrões de escrita oficiais do norueguês, derivado do dinamarquês, sendo o outro o nynorsk.
language;['grego jônico', 'jónico', 'ático', 'dialeto jônico', 'dialecto jónico', 'dialecto jónio', 'dialeto jónico', 'dialeto jónio', 'dialeto jônio', 'grego iônico', 'grego jónico', 'grego jónio', 'grego jônio', 'grego clássico', 'sótão', 'dialeto iônico', 'iônico'];Dialecto grego antigo falado principalmente na Jónia, uma região antiga na Anatólia.
language;['mandarim', 'língua mandarim', 'dialeto de pequim', 'chinês mandarim', 'idioma mandarim', 'linguagem mandarim', 'chinês mandarin', 'dialeto mandarim', 'dialetos mandarim'];A língua oficial da China e de Taiwan.
language;['cantonês', 'língua cantonesa', 'língua yue', 'cantonense', 'chinês yue', 'zh-yue', 'dialeto cantonês', 'dialeto de cantão', 'dialeto yue', 'idioma cantonês', 'standard cantonês', 'yue'];Um idioma chinês falado principalmente no sudeste da China continental.
language;['grego antigo', 'língua grega antiga', 'grego clássico', 'grego arcaico', 'idioma grego antigo', 'língua grega clássica'];Língua histórica amplamente falada com seu centro na Grécia.
language;['língua arménia', 'arménio', 'língua armênia', 'armênio', 'armeniano'];Língua indo-europeia falada pelos habitantes da Arménia.
language;['língua persa', 'persa', 'farsi', 'persa moderno', 'fas', 'idioma persa', 'língua farsi', 'língua parsi', 'língua pársi', 'parsi', 'persa novo', 'pársi'];Língua indo-europeia falada sobretudo no Irão.
language;['língua khmer', 'khmer', 'língua quemer', 'cambojano', 'idioma khmer', 'língua cambojana'];Língua falada no Cambodja e no Vietname.
language;['língua suaíli', 'suaíli', 'língua kiswahili', 'swahili', 'suaíle'];Uma de duas línguas muito faladas na África oriental.
language;['birmanês', 'língua birmanesa', 'birmane', 'birmã', 'burmês'];Uma língua sino-tibetana falada sobretudo em Myanmar (Birmânia).
language;['língua finlandesa', 'finlandês', 'finês', 'idioma finlandês', 'suomi', 'linguagem finlandesa', 'lingua finlandesa', 'finense', 'fino'];Uma língua fino-úgrica falada principalmente na Finlândia.
language;['língua húngara', 'húngaro', 'idioma húngaro', 'lingua húngara', 'linguagem húngara', 'magiar', 'magyar', 'húngara', 'língua hungara'];Língua fino-úgrica falada principalmente na Hungria.
language;['língua letã', 'letão', 'idioma letão', 'latviešu', 'linguagem letã'];Língua báltica falada sobretudo na Letónia.
language;['língua urdu', 'urdu', 'idioma urdu'];Uma língua indiana falada principalmente na Índia e no Paquistão.
language;['nepali', 'nepalês', 'língua nepali', 'língua nepalesa'];Uma língua falada no Nepal, no Butão, e em algumas partes da India e de Myanmar.
language;['árabe', 'língua árabe', 'idioma árabe', 'linguagem árabe', 'arábico', 'lingua arabe', 'língua arabe', 'palavra árabe', 'العربية', 'línguas semíticas centro-meridionais'];Língua semítica falada principalmente no mundo árabe, África do Norte e Oriente Médio, e também língua litúrgica do Islã.
language;['língua polaca', 'polonês', 'polaco', 'idioma polaco', 'idioma polonês', 'jezyk', 'lingua polonêsa', 'língua polonesa', 'polski'];Língua eslava ocidental falada sobretudo na Polónia.
language;['holandês', 'língua neerlandesa', 'neerlandês', 'língua holandesa', 'idioma holandês', 'idioma flamengo', 'língua flamenga', 'língua neederlandês', 'nederlands'];Uma língua germânica ocidental falada sobretudo nos Países Baixos, na Flandres e no Suriname.
locative-role;['são petersburgo', 'petrogrado', 'leningrado', 'leninegrado', 'санкт-петербург', 's. petersburgo', 'sampetersburgo', 'san petersburgo', 'st petersburg', 'são petesburgo', 'petersburgo', 'piter', 'peterburg'];A segunda maior cidade e anterior capital da Rússia.
locative-role;['mónaco', 'mônaco', 'mónaco-ville', 'mônaco-ville', 'principado do mónaco', 'monaco', 'categoria:mônaco', 'cultura de mónaco', 'cultura de mônaco', 'demografia de mónaco', 'demografia do mónaco', 'desporto no mónaco', 'história de mónaco', 'história de mônaco', 'história do mónaco', 'monegasca', 'porto de hércules môneco', 'portus herculis monaeci', 'principado de mónaco', 'principado de mônaco', 'principado do mônaco', 'transportes de mónaco', 'transportes do mónaco', 'transportes no mónaco'];Um país na Europa.
locative-role;['aplicação de lamas', 'estação de tratamento de água', 'fazenda de esgoto'];Área de terra na qual esgoto ou qualquer outro tipo de água usada é distribuído a fim de purificá-la.
locative-role;['roseiral', 'rosarium', 'jardim de rosas', 'rose garden'];Um jardim plantado de rosas.
locative-role;['área urbana', 'áreas urbanas', 'população urbana', 'região urbana', 'zona urbana', 'espaço urbano', 'localidade', 'ambiente urbano', 'centro urbano', 'área povoada', 'área urbanizada'];Área dentro de uma cidade, grande ou pequena, segundo indicação de semáforos apropriados (ou, no Reino Unido, pela presença de iluminação de ruas), onde diferentes regras de trânsito, como limites de velocidade, estão em vigor.
locative-role;['sérvia', 'política da sérvia', 'república da sérvia', 'servia', 'србија', 'srbija'];Um país do sudeste da Europa.
locative-role;['metrópole', 'cidade', 'urbe', 'metrópoles', 'aglomeração urbana', 'cidade-metrópole', 'metróploles', 'metrópole mundial', 'metrópole regional', 'metrópoles regionais', 'centro urbano', 'município'];Conjunto de ocupações humanas que dispõem das principais funções ligadas à vida urbana (administração, economia, transporte, cultura, educação), geralmente composto de uma ou duas cidades e suas periferias.
locative-role;['canteiro de obra', 'sítios de construção', 'canteiro de obras', 'lote vago'];Terreno no qual está sendo construída uma casa ou edifício.
locative-role;['lugar', 'área', 'local', 'ponto', 'região', 'espaço', 'posição', 'posto', 'zona', 'localização', 'localização geográfica', 'ponto topográfico'];Posição ou área em um espaço.
locative-role;['perfil do solo'];Seção vertical de um solo que mostra camadas e material primitivo.
locative-role;['praça', 'adro', 'largo', 'praceta', 'rossio', 'terreiro', 'piazza', 'praças', 'praça da cidade', 'praça pública'];Uma área aberta em uma cidade, algumas vezes incluindo os prédios em volta.
locative-role;['destino'];Lugar estabelecido como fim de uma viagem, ou para o qual algo é enviado.
locative-role;['domínio', 'território', 'terra'];Terra que é controlada por um país específico ou governante.
locative-role;['centro da cidade', 'centro urbano', 'centrais da cidade', 'central da cidade', 'centro', 'cidade central'];A parte central de um cidade.
locative-role;['lugar', 'local', 'locale', 'contexto arqueológico', 'localidade'];Lugar (localidade) de uma ação ou evento.
locative-role;['habitat', 'habitats', 'habitát', 'hábitat', 'hábitats', 'micro-habitat', 'casa terreno', 'habitat natural', 'microhabitat'];Localidade na qual uma planta ou animal cresce ou vive naturalmente. Pode ser ou uma área geográfica pela qual ele se estende, ou a estação específica na qual o espécimen é encontrado. 2) Porção física do meio ambiente que é habitado por um organismo ou população de organismos. Um habitat é caracterizado por uma uniformidade relativa do meio físico e por uma relativamente próxima interação de todas as espécies biológicas envolvidas. Em termos de região, o habitat pode compreender um deserto, uma floresta tropical, uma pradaria, a tundra do Ártico ou o Oceano Ártico.
non-agentive-physical-object;['torneira', 'válvula', 'torneira de água', 'torneiras'];Dispositivo aplicado à extremidade de um tubo ou cano para interromper e regular o fluxo de um líquido ou de um gás.
non-agentive-physical-object;['jangada', 'jangadas'];Conjunto de peças de madeira que são unidas e que formam um espécie de prancha flutuadora.
non-agentive-physical-object;['ducto', 'duto', 'tubo', 'condutas', 'piping', 'adutora', 'aqueduto', 'canalização', 'conduto', 'cano', 'dutos', 'tubos', 'tubos de laboratorio', 'canal', 'tubulação', 'tubo de chumbo', 'tubos de plástico'];Canalização para conduzir água a um determinado lugar.
non-agentive-physical-object;['aqueduto', 'adutora', 'canalização', 'conduto', 'ducto', 'duto', 'rede de abastecimento água', 'rede de água', 'sistema de abastecimento água', 'água principal'];Canalização para conduzir água a um determinado lugar.
non-agentive-physical-object;['ducto', 'duto', 'conduta', 'conduto', 'tubo', 'oleoduto', 'óleoduto'];Sistema de tubos, especialmente de grande diâmetro, para fluxo ou distribuição de líquidos ou gases.
non-agentive-physical-object;['jaqueta', 'casaco', 'jaquetas'];Uma vestimenta exterior que cobre o torso superior e braços.
non-agentive-physical-object;['canal', 'conduto', 'ducto', 'duto'];Conduto fechado para líquidos.
non-agentive-physical-object;['corredor', 'hall', 'rol', 'salão', 'saguão', 'sala', 'entrada'];Uma divisão ou passagem estreita através da qual se pode aceder a diferentes divisões da casa, como os quartos.
non-agentive-physical-object;['casaco', 'agasalho', 'blusão', 'sobretudo'];Uma vestimenta exterior que cobre o torso superior e braços.
non-agentive-physical-object;['roupa', 'vestuário', 'vestimenta', 'indumentária', 'traje', 'veste', 'compostura', 'copa', 'fato', 'hábito', 'paramentos', 'trajo', 'vestiaria', 'vestidura', 'abaetar', 'confecção', 'confecções', 'pulôver', 'roupas', 'vestido', 'apetrechos', 'artigo de roupa', 'indústria vestuário', 'moda feminina', 'wearable'];Todas as coberturas concebidas para serem usadas sobre o corpo de uma pessoa.
non-physical-collection;['falácia', 'falha lógica', 'falácias', 'argumento circular', 'inversão dos fatos', 'red herring', 'falácias lógicas', 'falacia', 'falsa crença'];Enunciado errôneo resultante de um raciocínio incorreto.
non-physical-collection;['arte concreta', 'concretismo', 'coisificação', 'reificação', 'manifesto da arte concreta', 'representação concreta'];Consideração de uma coisa abstrata como se ela fosse concreta ou material.
non-physical-collection;['fé', 'religião', 'crença religiosa', 'crente', 'confissão', 'credo', 'crença', 'culto', 'doutrina', 'rito', 'seita', 'crente religioso', 'ensino inter-religioso', 'fervoroso', 'fés', 'profissão de fé', 'religiosa', 'religiosas', 'religioso', 'religiosos', 'religiões', 'crenças religiosas', 'fé religiosa', 'tradição religiosa'];Expressão da crença do homem em reverência a um poder sobre-humano reconhecido como criador e governador do universo.
non-physical-collection;['bruxaria', 'bruxo', 'feiticeiro', 'mago', 'bruxaria tradicional', 'feitiçaria', 'feitiço', 'arte tradicional', 'feiticeiros', 'feitiços', 'sortilégio', 'bruxa', 'bruxas'];Homem que realiza feitiço. praticante de magia negra.
non-physical-collection;['coração', 'alma', 'cor', 'entranha', 'peito', 'íntimo'];Centro perceptivo de emoções.
non-physical-place;['lugar', 'área', 'local', 'ponto', 'região', 'espaço', 'posição', 'posto', 'zona', 'localização', 'localização geográfica', 'ponto topográfico'];Posição ou área em um espaço.
organized-collection;['progressão aritmética', 'série aritmética', 'progressão aritmética constante', 'progressão aritmética crescente', 'progressão aritmética decrescente', 'séries aritméticas', 'sequência aritmética', 'seqüência aritmética'];Seqüência de números, cujos elementos são a soma dos primeiros n elementos de uma seqüência aritmética.
organized-collection;['biblioteca', 'bibliotecas', 'biblioteca comunitária', 'lei 12244/2010', 'rato de biblioteca', 'tipos de bibliotecas', 'biblioteca pesquisa', 'biblioteca referência', 'bibliotecas pesquisa', 'médiathèque'];Local onde se guardam livros e outro material literário.
organized-collection;['banco'];Acumulação de uma mesma substância, normalmente em grandes quantidades, que se considera como uma unidade, por exemplo: banco de areia, banco de nevoeiro, banco de gelo.
parameter;['ressaca', 'veisalgia'];O mal-estar, náusea e dor de cabeça que ocorrem de manhã após uma noite de ingestão prolongada de bebidas alcoólicas.
