abstract-quality;['זהות אישית', 'אינדיבידואליות'];מודל סוציולוגי
agentive-figure;['גרמניה הנאצית', 'הרייך השלישי\u200e', 'המשטר הנאצי', 'הרייך השלישי', 'השלטון הנאצי', 'רייך אלף השנים', 'ההרים השלישיים', 'ההרים שלישיים'];גרמניה בשנים 1933-1945
agentive-figure;['הסוכנות הבינלאומית לאנרגיה אטומית', 'סבא"א', 'iaea', 'הסוכנות הבין-לאומית לאנרגיה אטומית', 'הסוכנות לאנרגיה אטומית', 'סוכנות בינלאומית לאנרגיה אטומית'];סוכנות בינלאומית להשגחה ופיקוח על אנרגיה גרעינית ונשק גרעיני
agentive-figure;['רוח רפאים', 'רוּחַ רְפָאִים\u200e', 'רוחות רפאים'];הופעתו העל-טבעית של אדם מת
agentive-physical-object;['שרת', 'מארח רשת', 'מארח אינטרנט', 'מחשב שרת', 'שרת מחשב'];מחשב או תוכנת מחשב שמספקים שירותים למחשבים אחרים
agentive-physical-object;['הסנה הבוער', 'הַסְּנֶה הַבּוֹעֵר\u200e', 'משה והסנה'];התגלות אלוהים אל משה מתוך סנה בוער
agentive-physical-object;['medinilla magnifica'];מין של צמח
agentive-physical-object;['andrena', 'andrenid', 'כריית דבורה'];סוג של חרק
agentive-physical-object;['cardamine pratensis', 'cuckooflower', 'גרגיר אחו', 'החלוק של הגברת', 'פרח קוקייה'];מין של צמח
agentive-physical-object;['arethusa bulbosa', 'ביצה עלתה', 'פיו של הדרקון'];מין של צמח
agentive-physical-object;['בוקסר', 'בּוֹקְסֶר\u200e'];גזע של כלבים
agentive-physical-object;['ערמון קירח', 'aesculus glabra', 'אוהיו ערמונים'];מין של צמח
agentive-physical-object;['coryphantha'];סוג של צמח
agentive-physical-object;['שי טסו', 'שי טסו\u200e', 'שיצו', 'שי-דזה'];גזע כלב
agentive-physical-object;['פקינז', 'הפקינזי'];גזע של כלבים
agentive-physical-object;['antheraea pernyi', 'pernyi עש'];מין של חרק
agentive-physical-object;['halogeton', 'halogeton glomeratus'];מין של צמח
agentive-physical-object;['halogeton', 'halogeton glomeratus'];סוג של צמח
agentive-physical-object;['דשא חצר משק', 'crus-גלי', 'echinochloa', 'echinochloa crusgalli', 'דוחן אסם', 'דשא אסם'];מין של צמח
agentive-physical-object;['האמברוזיה trifida', 'פריחה גדולה'];מין של צמח
agentive-physical-object;['echium vulgare', 'לשון הפר של הצפע', 'blueweed', 'דרדר כחול'];מין של צמח
agentive-physical-object;['דלעת', '!דְּלַעַת', 'דלעת השדה', 'דְּלַעַת\u200e', 'cucurbita', 'דלעות', 'דלעת הקישוא', 'גרעיני דלעת', 'cucurbita פפו', 'דלעת סתיו', 'שתיל של דלעת'];מין של צמח
agentive-physical-object;['אסטר tripolium', 'הים starwort', 'הים אסטר'];מין של צמח
agentive-physical-object;['איריס versicolor', 'דגל כחול'];מין של צמח
agentive-physical-object;['כוכבית תקשורת', 'כוכבי משותף'];מין של צמח
agentive-physical-object;['anemone cylindrica', 'thimbleweed', 'הכלנית cylindrica'];מין של צמח
agentive-physical-object;['אדר מכסיף', 'acer saccharinum', 'הכסף מייפל'];מין של צמח
agentive-physical-object;['allium acuminatum', 'בצלו של הוקר'];מין של צמח
agentive-physical-object;['ביצנית לבנת-כנף', 'ביצנית לבנת כנף', 'tringa totanus', 'בצנית אדומה רגל'];אפ,מז
agentive-physical-object;['צפצפה משולשת', 'deltoides populus', 'populus deltoides', 'מזרח צפצפה', 'שרשרת צפצפה'];מין של צמח
agentive-physical-object;['woodsia ilvensis', 'woodsia הריחני', 'החלוד woodsia', 'המלבני woodsia'];מין של צמח
agentive-physical-object;['האלון marilandica', 'marilandica', "בלאק ג'ק אלון"];מין של צמח
agentive-physical-object;['rosea clusia', 'clusia גדול', 'מגרש תפוח'];מין של צמח
agentive-physical-object;['prunus virginiana', 'עצי דובדבן', 'עצי דובדבן עץ'];מין של צמח
agentive-physical-object;['pelargonium peltatum', 'גרניום קיסוס עלים', 'קיסוס גרניום', 'תליית גרניום'];מין של צמח
agentive-physical-object;['dichondra', 'dichondra micrantha'];סוג של צמח
agentive-physical-object;['תנין היאור', 'crocodylus niloticus', 'תנין יאור', 'קרוקודיל', 'תמסח', 'תנין אפריקני', 'תנין הנילוס'];מין של תנין גדול הנפוץ באפריקה
agentive-physical-object;['hemerocallis lilioasphodelus', 'flava hemerocallis', 'hemerocallis lilio-asphodelus', 'לימון שושן'];מין של צמח
agentive-physical-object;['oenothera fruticosa', 'sundrops'];מין של צמח
agentive-physical-object;['כלב שמירה'];דף פירושונים
agentive-physical-object;['דמויי תרנגול', 'עופות משק', 'בשר עוף', 'חזה עוף', 'עופות', 'galloanserae', 'galloanseres'];עופות מבוייתים המגודלים למטרת הביצים, הבשר או הנוצות שלהם
agentive-physical-object;['חרטומנית ארוכת-מקור', 'limnodromus scolopaceus', 'אדום חזה לצלוף'];אמריקה צ [מש חרטומניים]
agentive-physical-object;['solidago nemoralis', 'אפור שבט זהב'];מין של צמח
agentive-physical-object;['דשא אצבע שעיר', 'הדיגים sanguinalis', 'היבלית גדולה'];מין של צמח
agentive-physical-object;['נענע המים', 'נענת המים', 'mentha אקווטיקה', 'מים עם נענע', 'נענע מים'];מין של צמח
agentive-physical-object;['אֵזוֹב', 'officinalis hyssopus'];מין של צמח
agentive-physical-object;["שליו וירג'יניה", 'שליו בובוויט צפוני וירגיניה', 'שליו אמריקני', 'צפון שליו', 'colinus virginianus'];ניו זילנד [משפ שלווים אמריקאים]
agentive-physical-object;['hottonia inflata', 'האמריקאי featherfoil', 'המים gillyflower'];מין של צמח
agentive-physical-object;['sceptridium', 'ענבי שרך'];סוג של צמח
agentive-physical-object;['דונלד דאק', 'דונאלד דאק', 'דונלד דק'];דמות אנימציה של וולט דיסני
agentive-physical-object;['kairi'];רשימת ערכים
agentive-physical-object;['montia chamissoi', 'שושן קרפדה'];מין של צמח
agentive-physical-object;['montia chamissoi', 'שושן קרפדה'];סוג של צמח
agentive-physical-object;['סיפונופורים', 'סיפונופורה', 'siphonophora', 'siphonophorae', 'סיפונופורות', 'סיפונופור'];סדרת חסרי חוליות מושבתיים ממחלקת ההידרתים
agentive-physical-object;['sanguineum ריבס', 'דומדמניות החורף'];מין של צמח
agentive-physical-object;['עובש', 'פטריות פילמנטיות', 'תבניות'];שם כללי לקבוצה של פטריות
agentive-physical-object;['מנוע סילון', 'טורבו-מניפה', 'טורבו מניפה', 'טורבו סילון', 'טורבו פרופ', 'טורבומניפה', 'טורבופרופ', 'מנוע טורבו-סילון', 'טורבינת סילון', 'מנועי סילון'];סוג של מנוע, הנפוץ בעיקר במטוסים
agentive-physical-object;['חוח הזהב hispanicus', 'צמח צדפת ספרדית'];מין של צמח
agentive-physical-object;['lonicera morrowii', 'יערה של מורו'];מין של צמח
agentive-physical-object;['lonicera tatarica', 'יערה tartarian'];מין של צמח
agentive-physical-object;['פוטו זהוב', 'פּוֹטוֹ זָהֹב', 'angwantibo', 'arctocebus calabarensis', 'הזהב potto'];סוג של יונק
agentive-physical-object;['hermissenda crassicornis'];מין של רכיכה
agentive-physical-object;['טירן גדול קסין', 'tyrannus vociferans', 'kingbird של קאסן', 'kingbird של קסין', 'vociferans tyrannus'];מקסיקו [מש טירניים]
agentive-physical-object;['טירן גדול מערבי', 'tyrannus verticalis', 'המערבי kingbird', 'ארקנסו kingbird'];מקסיקו [מש טירניים]
agentive-physical-object;['טירן גדול מיזרחי', 'tyrannus tyrannus', 'המזרחי kingbird', 'מזרח kingbird'];אמריקה צ [מש טירניים]
agentive-physical-object;['טירן גדול אפור', 'tyrannus dominicensis', 'petchary', 'tyrannus domenicensis domenicensis', 'גריי kingbird', 'האפור kingbird'];אמריקה צ [מש טירניים]
agentive-physical-object;['alpine גברת שרך', 'athyrium distentifolium'];מין של צמח
agentive-physical-object;['עץ יהושע', 'יוקה brevifolia', 'יהושע עץ'];אחד ממיני היוקה
agentive-physical-object;['אדר נורווגיה', 'נורבגיה מייפל', 'acer platanoides', 'platanoides acer'];מין של צמח
agentive-physical-object;['נימפה'];השלב המגשר בין שלב הביצה לשלב הבוגר בהתפתחותם של חרקים בעלי גלגול חסר
agentive-physical-object;['בעלי חיים', 'בעל חיים', 'חיה', 'בַּעַל-חַיִּים', 'חַיָּה', 'animalia', 'בע"ח', 'בעל-חיים', 'בעלי-חיים', 'בעלי־חיים', 'חיות', 'מטזואה', 'ממלכת החי', 'עולם החי', 'epifauna', 'epifaunal', 'infauna', 'metazoans', 'וmacrofauna', 'יצור', 'ניפש להיות'];ממלכה של אורגניזמים רב-תאיים הכוללת את כל החיות
agentive-physical-object;['פלורה', 'צמח', 'צומח', 'צֶמַח', 'צמחיה', 'צמחייה', 'embryophyta', 'plantae', 'viridiplantae', 'הצומח', 'ממלכת הצומח', 'מערכת הצמחים', 'צמחים', 'floras', 'מיני צמחים', 'מפעל חיים'];מושג בבוטניקה
agentive-physical-object;['פלורה', 'צמח', 'צומח', 'צֶמַח', 'צמחיה', 'צמחייה', 'embryophyta', 'plantae', 'viridiplantae', 'הצומח', 'ממלכת הצומח', 'מערכת הצמחים', 'צמחים', 'floras', 'מיני צמחים', 'מפעל חיים'];Plantae, ממלכה של אורגניזמים המבצעים פוטוסינתזה
agentive-physical-object;['חתול פרסי', 'חתול פרסי עשן', "חתול פרסי צ'ינצ'ילה", 'חתול פרסי שיידד', 'פרסי אקזוטי', 'פרסי בדיל', 'פרסי ביקולור וקליקו', 'פרסי טאבי', 'פרסי סוליד אדום', 'פרסי סוליד כחול', 'פרסי סוליד לבן', 'פרסי סוליד לילך', 'פרסי סוליד שוקולד', 'פרסי סוליד שחור', 'פרסי סוליד שנהב', 'פרסי עשן', 'פרסי פרטי-קולור', "פרסי צ'ינצ'ילה", 'פרסי שיידד'];גזע של חתול הבית
agentive-physical-object;['אמפטרומיות', 'crowberry', 'empetrum nigrum'];מין של צמח
agentive-physical-object;['quercus vacciniifolia', 'האלון vaccinifolia', 'האקלברי אלון'];מין של צמח
agentive-physical-object;['mammillaria plumosa', 'כדור נוצה'];מין של צמח
agentive-physical-object;['מחפר', 'באגר', 'את הכח', 'חופר'];סוג של ציוד מכני הנדסי
agentive-physical-object;['מחשב', 'מַחְשֵׁב', 'מחשב אלקטרוני', 'מחשבים', 'מבנה המחשב', 'מחשב דיגיטלי', 'מחשב ספרתי', 'קלט/פלט', 'המחשב', 'המחשב האלקטרוני', 'התקן מחשוב', 'מחשבים דיגיטליים', 'מחשבים וטכנולוגיה', 'מחשוב דיגיטלי', 'מכונת חישוב', 'מערכות מחשב', 'מערכת מחשב', 'מערכת עיבוד מידע', 'נתוני מעבד'];מכונה המעבדת תכניות
agentive-physical-object;['דפוס רוטציה', 'מכונת רוטציה', 'עיתונות סיבובית'];מכונת דפוס שבה הגלופה להדפסה מונחת מסביב לגליל
agentive-physical-object;['zsu-23-4', 'zsu-23-4 שילקה', 'גאנדיש', 'גנדיש'];מערכת נ"מ "שליקה" המכונה גם "גנדיש"
agentive-physical-object;['מכלב', 'מַכְלֵב', 'מַכְלֵב\u200e', 'מהדק', 'כליב', 'מהדק סיכות', 'הידוק מכונה'];מכשיר המשמש להידוק דפי נייר זה לזה
agentive-physical-object;['מטחנה', 'מטחנת קפה', 'טחנה', 'כרסום מכונה'];מכשיר המשמש לשבירת חומר מוצק לחתיכות קטנות
agentive-physical-object;['מערבל בטון', 'מערבל'];מרכיב בנוף אתר הבנייה
agentive-physical-object;['fritillaria agrestis', 'פעמון סירחון'];מין של צמח
agentive-physical-object;['avicennia marina', 'avicennia מרינה'];מין של צמח
agentive-physical-object;['פזאי סטורנלה מגנה מיזרחי', 'sturnella magna', 'המזרחי עפרוני', 'מזרח עפרוני'];אמריקה צ [מש פזאיים]
agentive-physical-object;['סטורנלה נגלקטה', 'פזאי סטורנלה נגלקטה מערבי', 'המערבי עפרוני', 'sturnella neglecta'];אמריקה צ [ מש פזאיים]
agentive-physical-object;['רובוט', 'בובה מכנית', 'רוֹבּוֹט', 'אוטומטון', 'אוטומט', 'אוטומטים', 'רובוטים'];בובה ובתוכה מנגנון המאפשר לה ולחלקיה להתנועע
agentive-physical-object;['אלת טרבינת', 'אֵלָה', 'אֵלָה\u200e', 'בֹּטֶם\u200e', 'pistacia terebinthus', 'עצים אלה'];מין של צמח
agentive-physical-object;['מלפפון', 'cucumis sativus', 'קישוא הגינה', 'sativus', 'גפן מלפפון', 'מלפפונים'];מין של צמח
agentive-physical-object;['כלב', 'כלב הבית', 'כֶּלֶב', 'כלבים', 'canis', 'canis lupus familiaris', 'כלב בית', 'canis familiaris', 'familiaris', 'כלב מקומי'];הוא שמו היומיומי של כלב הבית
agentive-physical-object;['lycopus virginicus', 'כף הזאב virginicus'];מין של צמח
agentive-physical-object;['טחנת קמח', 'gristmills', 'טחנת חומר גלם', 'מפעל מזון'];מנגנון לטחינת דגנים
agentive-physical-object;['טחנת מים', 'טַחֲנַת מַיִם\u200e', 'טחנות מים', 'מים טחנה'];טחנה שהכוח המניע שלה הוא מים זורמים
agentive-physical-object;['verpa', 'פעמון מורל'];סוג של פטריה
agentive-physical-object;['כריש שורי', 'carcharhinus leucas', 'גור כריש', 'כרישי שור', 'שור כריש'];מין של כריש
agentive-physical-object;['קלמיה לאטיפוליה', 'kalmia latifolia', 'latifolia', 'האמריקנית דפנה', 'ההר לורל', 'קליקו שיח'];מין של צמח
agentive-physical-object;['apios tuberosa', 'apios אמריקנה', 'גפן אגוזי אדמה'];מין של צמח
agentive-physical-object;['כינת הגוף', 'cootie', 'pediculus corporis', 'כיני גוף', 'כינת גוף', 'כינת הגוף האנושית'];תת-מין של כינים
agentive-physical-object;['פטריות', 'פִּטְרִיָּה', 'פטרייה\u200e', 'פטרייה', 'fungi', 'ממלכת הפטריות', 'פטריה', 'תפטיר', 'פטרייתי'];ממלכה של אורגניזמים אקריוטים
agentive-physical-object;['gentiana villosa', 'ערבז פסים'];מין של צמח
agentive-physical-object;['centaurea gymnocarpa', 'centaurea סביון'];מין של צמח
agentive-physical-object;['דודא רפואי', 'mandragora autumnalis', 'הדודא officinarum', 'התפוחים של השטן'];מין של צמח
agentive-physical-object;['aeschynanthus'];סוג של צמח
agentive-physical-object;['אבגר', 'agrimonia', 'בagrimonia', 'תבגר'];סוג של צמח
agentive-physical-object;['allamanda'];סוג של צמח
agentive-physical-object;['aquilegia', 'aquilege', 'כולאמבין'];סוג של צמח
agentive-physical-object;['kniphofia', 'tritoma'];סוג של צמח
agentive-physical-object;['kniphofia', 'tritoma'];סוג של חרק
agentive-physical-object;['portulaca'];סוג של צמח
agentive-physical-object;['תלתן', '!תִּלְתָּן', 'תִּלְתָּן\u200e', 'trifolium', 'תלתן ארבע עלי'];סוג של צמח
agentive-physical-object;['ולריאן רפואי', 'וָלֶרְיָאן\u200e', 'שִׁבֹּלֶת רֹומִיית\u200e', 'ולריאן', 'המשותף לריאן', 'ולריאן המשותפת'];מין של צמח
agentive-physical-object;['aconitum napellus', 'חונק דוב', 'פרח קסדה'];מין של צמח
agentive-physical-object;['populus alba', 'abele', 'צפצפה לבנה', 'צפצפת כסף עלים', 'צפצפת צפצפה'];מין של צמח
agentive-physical-object;['זאב טלוא', 'זְאֵב טָלוּא\u200e', 'lycaon pictus', 'lycaon', 'זאב אפריקאי', 'זאב טלוא מצוי', 'כלב בר אפריקאי', 'כלב טלוא', 'כלב ציד אפריקני', 'כלב פרא אפריקני', 'כלב צבוע', 'כלב ציד קייפ'];יונק טורף ממשפחת הכלביים
agentive-physical-object;['bristlecone אשוח', 'האשוח bracteata', 'האשוח venusta', 'סנט לוסיה אשוח'];מין של צמח
agentive-physical-object;['לשונון פסיפי', 'פסיפיק הליבוט', 'hippoglossus stenolepsis'];מין של דג מהסוג לשונון ממשפחת השטחנוניים
agentive-physical-object;['baccharis halimifolia', 'halimifolia', 'סביון עץ', 'סביון שיח', 'עץ כותנת זרע', 'עשב צריכה'];מין של צמח
agentive-physical-object;['קאריסה', 'carissa'];סוג של צמח
agentive-physical-object;['חתול סיאמי', 'חתול סיאמי\u200e'];גזע של חתול בית
agentive-physical-object;['עצלן חיוור-גרון', 'עצלן רעמתי', 'עצלן תלת-אצבע', 'עַצְלָנִיִּים', 'עצלן חיוור גרון', 'עצלן תלת אצבע', 'עצלני תלת-אצבע', 'עצלני תלת אצבע', 'bradypus tridactylus', 'שלוש אצבעות עצלן'];סוג של יונק
agentive-physical-object;['ביגל', 'כלב ציד', 'כלבי ציד'];גזע כלבים
agentive-physical-object;['avicennia officinalis', 'officinalis avicennia'];מין של צמח
agentive-physical-object;['castanea mollissima', 'ערמונים סיניים'];מין של צמח
agentive-physical-object;['ספירולה שופרית', 'spirula spirula', 'ספירולה', 'ספירוליים', 'ספירולת קרן הראם', 'spirula', 'spirula peronii'];מין של רכיכת ים בסדרת הספירולות ומחלקת הסילוניות
agentive-physical-object;['שכווי ערבה קטן', 'tympanuchus pallidicinctus', 'עוף ערבה פחות'];אמריקה צ [מש פסיוניים]
agentive-physical-object;['attagenus unicolor', 'שטיח שחור חיפושית'];מין של חרק
agentive-physical-object;['scopolia carniolica'];מין של צמח
agentive-physical-object;['roccella', 'roccella tinctoria'];סוג של פטריה
agentive-physical-object;['othonna'];סוג של צמח
agentive-physical-object;['קוקה', 'erythroxylum coca', 'קוקה אמריקנית', 'erythroxylon קוק', 'עליי קוקה', 'קוקה עלה', 'קוקה צמח'];שיח הנפוץ בצפון אמריקה
agentive-physical-object;['הבית fruticosa', 'ירושלים מרווה'];מין של צמח
agentive-physical-object;['גרניום robertianum', 'העשב רוברט', 'העשב רוברטס', 'עשבי תיבול רוברט'];מין של צמח
agentive-physical-object;['cnidoscolus urens', 'jatropha stimulosus', 'jatropha urens', 'spurge סרפד', 'לדרוך-ברכות', 'פיקה-פיקה', 'שטן סרפד'];מין של צמח
agentive-physical-object;['erecta', 'tagetes erecta', 'ציפורני חתול אפריקניות', 'ציפורני חתול אצטקי', 'ציפורני חתול גדולות'];מין של צמח
agentive-physical-object;['פיקוס חונק', 'ficus aurea', 'aurea פיקוס', 'זהב תאנה', 'פלורידה חונק תאנה'];מין של צמח
agentive-physical-object;['גזר לבן', 'גזר לבן\u200e', 'פארסניפ', 'פרסניפ', 'סאטיבה pastinaca'];מין של צמח
agentive-physical-object;['שרך בוסטון', 'bostoniensis nephrolepis exaltata', 'nephrolepis exaltata', 'בוסטון שרך'];מין של צמח
agentive-physical-object;['עץ', 'אילן', 'טבעות עצים', 'עצים', 'שתיל'];צמח רב-שנתי בעל גזע מרכזי אשר ממנו צומחים ענפים מכוסי עלים וגובהו לרוב מעל 2–3 מטר
agentive-physical-object;['latisiliquum', 'lysiloma bahamensis', 'lysiloma latisiliqua'];מין של צמח
agentive-physical-object;['nuytsia שושנים', 'myrica faya', 'עץ אש'];מין של צמח
agentive-physical-object;['prunus spinosa'];מין של צמח
agentive-physical-object;['אקליפטוס', 'אֵקָלִיפְּטוּס\u200e', 'eucalyptus', 'איקליפטוס', 'eucalypt', 'אקליפטוס עץ', 'אקליפטוסים', 'עץ אקליפטוס'];סוג של עצים ושיחים ירוקי־עד ממשפחת ההדסיים
agentive-physical-object;['אננס', 'אֲנָנָס', 'אָנָנָס\u200e', 'ananas comosus', 'comosus אננס', 'צמח אננס'];מין של צמח
agentive-physical-object;['לעוסית מטפסת', 'momordica balsamina', 'balsamina', 'אפרסמון תפוח', 'עוסית balsamina'];מין של צמח
agentive-physical-object;['הטוברוזה', 'polianthes tuberosa'];מין של צמח
agentive-physical-object;['הקרפדה microscaphus', 'קרפדה דרומית'];מין של דו-חיים
agentive-physical-object;['קוקובולו', 'cocobolo', 'dalbergia retusa'];סוג של עץ
agentive-physical-object;['אלבטרוס שחור-רגל', 'אלבטרוס שחור רגל', 'phoebastria nigripes', 'gooney', 'gooney ציפור', 'goonie', 'nigripes diomedea', 'אווילי', 'אלבטרוס שחור רגליות'];אמריקה צ [משפ אלבטרוסיים]
agentive-physical-object;['בונה קנדי', 'castor canadensis', 'בונה אמריקאי', 'בונה אמריקני', 'canadensis קסטור', 'בונת העולם החדשה'];מין מכרסם במשפחת הבוניים
agentive-physical-object;['americana', 'sorbus אמריקנה', 'אמריקאי הר אפר'];מין של צמח
agentive-physical-object;['אוריה חייכנית', 'אורייה חייכנית', 'העבה billed murre', 'guillemot של brünnich', 'uria lomvia'];אמריקה צ [מש אלקיים]
agentive-physical-object;['polistes annularis'];מין של חרק
agentive-physical-object;['vulgaris vespula', 'צרעה נפוצה'];מין של חרק
agentive-physical-object;['smilax rotundifolia', 'bullbrier', 'catbrier', 'greenbrier', 'rotundifolia smilax', 'סוס שמיר'];מין של צמח
agentive-physical-object;['צמח מטפס', 'מְטַפֵּס', 'מטפס', 'גפן'];צמח שנכרך על עצם אחר או נאחז בו
agentive-physical-object;['נגיף האבולה', 'אבולה וירוס'];שם (מיושן) של מין נגיף (פוצל למספר מינים שונים)
agentive-physical-object;['nymphaea odorata', 'ברכת שושן', 'ריחנית חבצלת מים'];מין של צמח
agentive-physical-object;['אמודאי אמריקני', 'cinclus mexicanus', 'האמריקאי המים ouzel'];אמריקה צ [מש אמודאיים]
agentive-physical-object;['centaurea nigra', 'hardheads', 'knapweed השחור', 'הפחות knapweed'];מין של צמח
agentive-physical-object;['בז נודד', 'falco peregrinus', 'בזים נודדים', 'פאלקו peregrinus', 'peregrinus', 'פרגרין'];הבזיים אפ,מז
agentive-physical-object;['argiope aurantia', 'שחור וזהב גינת עכביש'];מין של עכביש
agentive-physical-object;['גומא הפקעים', 'cyperus rotundus', 'nutgrass', 'nutsedge', 'אגוז גמאים', 'דשא אגוז', 'הגומא rotundus'];מין של צמח
agentive-physical-object;['ערוד', 'equus africanus', 'equus asinus', 'פרא אפריקני'];בעל חיים מתת-סוג חמור
agentive-physical-object;['menispermum canadense', 'parilla הצהוב', 'משותף moonseed', 'קנדה moonseed'];מין של צמח
agentive-physical-object;['גדרון ביצה', 'cistothorus palustris', 'הביצה גדרון', 'מארש רן'];אמריקה צ [מש גדרוניים קיסטוהורוס]
agentive-physical-object;['לחץ על חיפושית', 'מצלם חיפושית'];משפחה של חרקים
agentive-physical-object;['lepidothamnus fonkii', "rimu הצ'יליאני"];מין של צמח
agentive-physical-object;['תנינן מצרי', 'pluvianus aegyptius', 'ציפור תנין'];אפ,מז
agentive-physical-object;['חלבלוב מדוזות', 'חלבלוב קאפוט-מדוזות'];מין של צמח
agentive-physical-object;['פיל אפריקני', 'פיל סוואנה אפריקני', 'loxodonta africana', 'loxodonta', 'פיל סאוונה אפריקני', 'פיל אפריקאי', 'africana', 'פילים אפריקאים'];מין של פיל אפריקני
agentive-physical-object;['מגלן קדוש אפריקני', 'איביס שחור ראש', 'מקודש מגלה', 'threskiornis אתיופיקה', 'איביס הקדוש'];אפ,ד [משפ מגלנים]
agentive-physical-object;['דררת קרמר', 'דררת קרמר מצויה', 'psittacula krameri', 'דררה', 'דררה ירוקה', 'דררה מצויה', 'תוכי טבעת צוואר'];מין של תוכי
agentive-physical-object;['agapanthus africanus', 'אגפנתוס אפריקנוס', 'אפריקה שושן', 'כחול אפריקני שושן', 'צבעוני אפריקה'];מין של צמח
agentive-physical-object;['באובב', 'adansonia', 'adansonia digitata', 'אדנסוניה מאוצבעת', 'עץ אורן לחם'];מין של צמח
agentive-physical-object;['lepidobotrys'];סוג של צמח
agentive-physical-object;['irvingia gabonensis', 'דיקה', 'מנגו פראי', 'עץ מנגו פראי'];מין של צמח
agentive-physical-object;['נמייתיים', 'נְמִיָּה', 'herpestidae', 'נמיתיים', 'נמייה', 'נמיות'];משפחת טורפים במחלקת היונקים
agentive-physical-object;['גחן', 'גחן מצוי', 'genetta genetta', 'גחן מנוקד', "ז'נה"];סוג של יונק
agentive-physical-object;['דלק', '!דָּלָק', 'martes', 'martes foina', 'נמייה', 'נמייה של חתול'];סוג של יונק
agentive-physical-object;['betula neoalaskana', 'יוקון ליבנה לבנה'];מין של צמח
agentive-physical-object;['ינשוף צוחק', 'ינשוף צוחק לבן פנים', 'albifacies sceloglaux', 'צוחק ינשוף'];ניו זילנד
agentive-physical-object;['אדלווייס', 'לבנבן', 'alpinum leontopodium', 'edelweiss'];מין של צמח
agentive-physical-object;['אדלווייס', 'לבנבן', 'alpinum leontopodium', 'edelweiss'];מין של פרח
agentive-physical-object;['belladonna שושן', 'אמריליס בלדון', 'אמריליס בלדונה'];מין של צמח
agentive-physical-object;['היפאסטרום', 'היפהסטרום', 'hippeastrum', 'hippeastrum puniceum'];סוג של צמח
agentive-physical-object;['היפאסטרום', 'היפהסטרום', 'hippeastrum', 'hippeastrum puniceum'];מין של צמח
agentive-physical-object;['rubus ursinus', 'המערבי דיוברי', 'מערבי פטל'];מין של צמח
agentive-physical-object;['vanessa virginiensis', 'virginiensis ונסה', 'יופי צבוע'];מין של חרק
agentive-physical-object;['מגנוליה acuminata', 'עץ מלפפון'];מין של צמח
agentive-physical-object;['anaphalis margaritacea', 'פנינת נצח'];מין של צמח
agentive-physical-object;['טבלן עקוד-מקור', 'podilymbus podiceps', 'טבלן עקוד מקור', 'podiceps podilymbus', 'מלין-מחויב גריב'];קוסטה ריקה [ משפ טבלניים]
agentive-physical-object;['קריה', 'carya', 'אגוז', 'אגוז עץ'];סוג של צמח
agentive-physical-object;['ageratina altissima', 'eupatorium rugosum', 'הלבן sanicle', 'לבן ארס נחשים'];מין של צמח
agentive-physical-object;['dracocephalum parviflorum', 'dragonhead', 'ראשו של הדרקון'];מין של צמח
agentive-physical-object;['מלכילון אדום כתר אמריקאי', 'regulus calendula', 'אודם הוכתר המלך קטן', 'האודם הוכתר גדרון', 'רגולוס קלנדולה'];אמריקה צ [משפ סבכיים]
agentive-physical-object;['תחמס שוט חלש מיזרחי', 'caprimulgus vociferus', 'סיס הלילה'];אמריקה צ [מש תחמסיים]
agentive-physical-object;['laportea canadensis', 'עץ סרפד'];מין של צמח
agentive-physical-object;['pickerelweed', 'pontederia cordata', 'pontederia', 'wampee', 'עשב מינונים'];סוג של צמח
agentive-physical-object;['dicentra canadensis', 'תירס סנאי'];מין של צמח
agentive-physical-object;['חופמי כפול-צווארון', 'חופמי כפול צווארון', 'killdeer', 'charadrius vociferus', 'kildeer', 'killdeer חופמי'];אמריקה צ [משפ חופמיים]
agentive-physical-object;['פורפיריה אמריקאית', 'פורפיריה צהובת-רגל', 'porphyrula martinica', 'האמריקאי gallinule'];אמריקה צ [מש רליתיים]
agentive-physical-object;['crataegus coccinea mollis', 'crataegus mollis', 'הפלומתי הההה'];מין של צמח
agentive-physical-object;['חרטומית וילסון', 'gallinago delicata', 'gallinago gallinago delicata', 'וילסון לצלוף', 'לצלוף של וילסון'];[משפ חרטומניים] קוסטה ריקה
agentive-physical-object;['חסידת עצים', 'חסידן עצים', 'mycteria americana', 'americana', 'flinthead', 'mycteria אמריקנה'];אמריקה צ [משפ חסידתיים]
agentive-physical-object;['סיס אמריקני [ ארובה]', 'chaetura pelagica', 'chateura pelagica', 'ארובה מהירה'];אמריקה צ [מש קשה זנב]
agentive-physical-object;['ברווז כחול-כנפיים', 'שרשיר כחול כנף', 'ברווז כחול כנף', 'ברווז כחול כנפיים', 'מרית כחולת-כנפיים', 'שרשיר כחול-כנף', 'bluewing', 'discors האנס', 'כחול מכונף צהבהב'];אמריקה צ [משפ ברווזיים]
agentive-physical-object;['אורובו שחור', 'coragyps atratus', 'אורובו', 'עורב אוכל נבלות'];אמריקה צ [מש קונדוריים]
agentive-physical-object;['שח צהוב-חזה', 'איכטריים', 'virens icteria', "צ'אט צהוב רכיסה"];אמריקה צ [מש האיכטריים]
agentive-physical-object;['נחלית זהובת כיפה', 'seiurus aurocapillus', 'וovenbird'];אמריקה צ [סבכי העולם החדש]
