abstract-region;['सीमा'];गणित मे, सीमा एगो अईसन मान होखेला जेकर कोनो फलन ओह घड़ी पीछा करेला, जब होकर चर कोनो मान के पीछा करेला।
chemical-object;['रिसिन'];रिसिन एगो हानिकारक बीख हऽ, जेवन की रेणि के बिया मे पाईल जाला।
chemical-object;['प्रतीदेह'];प्रतीदेह चाहे इम्मुनोग्लोबिन एगो बिसाल Y आकार के प्रोटीन बाटे जेवन कि प्लजमा कोसिका मे बनेला आ ई रोगकारी बिखानु से लड़ेला। इम्मुनोग्लोबिन बिखानु के चिन्ह जाला आ ओकरा ले लड़ेला। इम्मुनोग्लोबिन के Y आकर के दुनो कोर प एगो खाल रहेला आ ओह जेवन ओही अकार के बीखानु के धर लेवेला। Y के कोर के खाल आ बिखानू के ताला चाभी से बुझल जा सकेला। जइसे एगो ताला मे एक्के गो चाभी लागेला ओसहि हर बिखानु का एगो इम्मुनोग्लोबिन होला जे ओकरा धरेला आ देह के हानि ना करे देला।
classification-system;['चंद्रमा आधारित कैलेंडर', 'चंद्र पंचांग'];चंद्रमा आधारित कैलेंडर या चंद्र पंचांग, चंद्रमा के गति आ कला पर आधारित कैलेंडर होलें। चंद्रमा के कला अनुसार एक पुर्नवासी से अगिली पुर्नवासी तक, या एक अमौसा से अगिला अमौसा तक ले के समय के एक चंद्र मास के रूप में परिभाषित कइल जाला आ आमतौर पर अइसन बारह महीना सभ के एक साल होला। चूँकि, चंद्रमा आधारित महीना 29 भा 30 दिन के होखे लें, चंद्रमा के साल 354 दिन, 8 घंटा, 48 मिनट, 34 सेकेंड क होला आ ई सुरुज आधारित साल से कम होला। जवना चंद्रमा कैलेंडर सभ के सुरुज आधारित कैलेंडर के साथे मैच करावे खाती अधिका महीना जोड़ दिहल जाला ओह कैलेंडर सभ के चंद्र-सौर कैलेंडर कहल जाला।
classification-system;['जड़ परसंग परनालि'];जड़ परसंग परनालि लगे एगो गुन होला की एह परनली मे बस्तु प लागत कुलि बर शुन्य होखेला।
classification-system;['कैलेंडर', 'कलंडर', 'कलण्डर', 'कलिण्डर', 'कलेंडर', 'कलेण्डर', 'कलेन्डर', 'कैलिंडर', 'कैलिण्डर', 'कैलिन्डर', 'कैलेण्डर', 'कैलेन्डर'];कैलेण्डर चाहे कलेंडर समय की गणना के व्यवस्थित कइला क साधन हवे जेवना में दिन हफ्ता आ साल में बाँट के समय क हिसाब रक्खल जाला। आजकल अधिकतर देश ग्रेगोरियन कैलेंडर को अपना चुके हैं। किन्तु अब भी कई देश ऐसे हैं जो प्राचीन कैलेंडरों का उपयोग करते हैं। इतिहास में कई देशों नें कैलेंडर बदले। आइए उनके विषय में एक नजर देखें: समय घटना 37‍61 ई.पू. यहूदी कैलेंडर का आरंभ 2‍637 ई.पू. मूल चीनी कैलेंडर आरंभ हुआ 56 ई.पू. विक्रम संवंत आरंभ 45 ई.पू. रोमन साम्राज्य के द्वारा जूलियन कैलेंडर अपनाया गया 0 इसाई कैलेंडर का आरंभ 6676 ई.पू.
classification-system;['कोआर्डिनेट सिस्टम', 'परसंग परनाली', 'स्थानांक बेबस्था'];भौतिकी मेे, परसंग परनाली स्थानांक बेबस्था होखेला जेकरा मे कोनो बसतू के स्थान, गति कुलि नापल जा सकेला।
classification-system;['कोआर्डिनेट सिस्टम', 'परसंग परनाली', 'स्थानांक बेबस्था'];ज्यामिति मेे, स्थानांक बेबस्था एगो अईसन बेबस्था हऽ जेहने कोनो बिंदु के स्थान एगो चाहे एगो ले बेसी अंकन के परयोग कई के बतावल जाला।
classification-system;['मुसलमानी पंचांग'];मुसलमानी पंचांग चाहे हीजरी पंचांग मीया लोग के एगो चंद्रमा आधारित कैलेंडर हऽ जेहमे बारऽ गो माह आ ३५४ चाहे ३५५ गो दिन होखेला।
classification-system;['हिंदू पतरा', 'पत्रा', 'हिन्दू पंचांग'];हिन्दू पतरा, हिंदू कैलेंडर या हिन्दू पंचांग अइसन सभ कैलेंडर सभ के कहल जाला जे हिंदू लोग द्वारा दिन, तिथि, आ महीना के गणना करे खातिर आ आपन पर्ब-तिहुआर के गणना करे खातिर करे ला। पत्रा चाहे पंचांग से तिथि, वार, नक्षत्र, योग आ करण क हिसाब रक्खल जाला. पाँच चीज क गणना कइले की कारन एह कैलेंडर सभ के पञ्चांग कहल जाला। क्षेत्र के अनुसार एह कैलेंडर सभ में पर्याप्त बिबिधता देखे के मिलेला। ई सगरी कैलेंडर या पतरा सभ चंद्रमा आ साइडेरियल गणना के अलग-अलग तरीका से इस्तेमाल करे में भी बिबिधता वाला बाड़ें आ महीना आ साल के सुरुआत के मामिला में भी इनहन में बिबिधता मिलेला। क्षेत्र अनुसार कई तरह के पञ्चांग मिले लें - नेपाली पंचांग, बिक्रम संवत, बंगाली पंचांग, शालिवाहन शक पञ्चांग इत्यादि एह में प्रमुख बाड़ें। उत्तर भारत में बिक्रम संवत के प्रमुखता देखे के मिले ला, हालाँकि ई नेपाली बिक्रम पञ्चांग से कुछ अलग होला। ज्यादातर हिंदू तिहवार चंद्रमा के कला के आधार पर बनल चंद्र पंचांग से निर्धारित होलें, जबकि कुछ तिहुआर सुरुज के आधार पर। महीना के नाँव एह सगरी कैलेंडर सभ में लगभग समान मिले ला, भले इनहन के सुरुआत एक साथ न होखे। महीना सभ के नाँव संस्कृत पर आधारित होखे के कारण लगभग एक रूप बाटे। ज्यादातर सौर हिंदू कैलेंडर सभ में सूर्य के एक राशि से दुसरा राशि में संक्राति के दिन महीना बदले ला आ 12 गो महीना आ साल में 365 या 366 दिन होलें।बौद्ध कैलेंडर आ परंपरागत चंद्र-सौर पञ्चांग जे कम्बोडिया, लाओस, म्यांमार, श्रीलंका आ थाईलैंड में प्रयोग होलें, उहो सभ पुरान हिंदू कैलेंडर पर आधारित हवें।अधिकतर हिंदू पंचांग सभ, पाँचवीं-छठवीं सदी में आर्यभट्ट आ वाराहमिहिर के दिहल सिद्धांत, जे खुद प्राचीन वेदांग ज्योतिष पर आधारित आ बिकसित रहल, पर आधारित हवें। सूर्यसिद्धांत आ पञ्चसिद्धंतिका ग्रंथन पर आधारित एह ब्यवस्था में बाद में भी पर्याप्त सुधार भइल, खास तौर पर बारहवीं सदी में भास्कर II द्वारा. आ क्षेत्रीय बिबिधता भी आइल। भारतीय राष्ट्रीय पञ्चांग या "शक कैलेंडर", जे एक ठो पुरान पञ्चांग पर आधारित हवे, 1957 में लागू भइल। == दिन == हिंदू कैलेंडर सभ में दिन के सुरुआत सुरुज उगे के समय से मानल जाला आ एक सूर्योदय से अगिला सूर्योदय ले के समय के एक दिन कहल जाला। तकनीकी ज्योतिषीय शब्दावली में एकरा के अहोरात्र कहल जाला। अहः माने दिन, रात्रि माने रात, यानि एक दिन-रात के समय। एकरे अलावा अन्य कई प्रकार के संकल्पना समय के माप के बा जे लगभग एक दिन या दिन के बराबर होला। इनहन के पाँच गो मुख्य अंग कहल जाला जिनहन के आधार पर हिंदू कैलेंडर सभ के पञ्चांग कहल गइल बा। ई क्रम से नीचे दिहल जात बाड़ें: तिथि,, लगभग 59/60 दिन। वासर या वार, हप्ता के सात दिन, जइसे अतवार, सोमार, मंगर...
classification-system;['ग्रेगरियन कैलेंडर', 'ग्रेगोरी कैलंडर'];ग्रेगरियन कैलेंडर, जौना के अंगरेजी कैलेंडर पच्छिमी कैलेंडर या ईसाई कैलेंडर भी कहल जाला, दुनिया में सभसे ढेर इस्तेमाल होखे वाला civil calendar बाटे। एकर नाँव पोप ग्रेगरी तेरहवाँ की नाँव पर बाटे जे एकरा के 1582 ईसवी में लागू कइलें।
cognitive-event;['करुणा'];करुणा संस्कृत शब्द के अर्थ होला केहू पीड़ित व्यक्ति के खातिर दया के भावना रखल, ओकर मदद करे के इच्छा रखल। ई मनुष्य के एगो सद्गुण मन जाला। भारतीय परंपरा में दया, करुणा आ अनुकंपा तीन गो मिलत जुलत शब्द के प्रयोग होला जिनहन के अरथ में मामूली अंतर बाटे। == बाहरी कड़ी == TED Prize winner Karen Armstrong's video lecture on compassion Mirrored emotion Jean Decety, University of Chicago Daniel Goleman, psychologist & author of Emotional Intelligence, video lecture on compassion Dalai Lama on compassion, Rice University, मई 2007.
cognitive-event;['भावना'];भावना मन क एगो हिस्सा हवे। आम भासा में मनुष्य कौनों समय जइसन महसूस करत रहेला आ ओकर मन के जवन स्थिति होले ओही के ओह समय के मनोभाव कहल जाला। एही मनोभाव सब के समूह के अलग-अलग परकार की भावना की रूप में समझल जा सकेला, जइसे खीस, आनंद, दुःख नियर चीज हमनी की मन के भावना होले।
cognitive-event;['फैशन'];फैशन कौनों समय आ अस्थान बिसेस में चलन में होखे वाला चीज के कहल जाला। ई चलन कपड़ा-लत्ता से लेके जूता-चप्पल, गहना, मेकअप के सामन या अउरी दूसर चीज जइसे कि फर्नीचर, मकान के इस्टाइल नियर बहुत सारा चीज में हो सकेला।
cognitive-event;['अवकलन'];अवकलन कोनो असल चरक वला फलन के मान मे होकर चरक मे बदलाव के साथे आवे वला बदलाव के भागा होखेला। अवकलन कलन के एगो जरूरी अउजार हटे। उदाहरन बदे, स्थिति सदिक के समय के सपेक्ष् अवकलन वेग होला: हेकरा ले ई नपाला की कोनो चीझ कतना हाली हाली आपन अस्थान मे परीबरतन करऽता।
cognitive-modal-description;['फासीवाद'];फासीवाद एक किसिम के अराजकतावादी, सत्तावादी, अतिराष्ट्रवाद हऽ जेह में डिक्टेटरशिप, बिपक्ष के जबरियन दबा के रखल, आ समाज आ अर्थबेवस्था पर कठोर शासन के बिसेसता होला। 20वीं-सदी के सुरुआत में यूरोप में ई बिचारधारा प्रमुखता हासिल कइलस। पहिला फासीवादी आंदोलन इटली में सुरू भइल, पहिला बिस्व जुद्ध के दौरान, आ ई यूरोप के अउरियो देसन में फइल गइल। उदारवाद, मार्क्सवाद, आ अराजकतावाद के बिरुद्ध, परंपरागत रूप से दक्खिनपंथ आ बामपंथ के बिभाजन में एकरा के अति-दक्खिन कटेगरी में रखल जाला। वास्तव में फासीवाद के ओह मायने में विचारधारा ना कहल जा सके ला जे तरे मार्क्सवाद चाहे उदारवाद के देखल जाला, ई बिचारधारा हइए ना हवे बलुक एक किसिम के नीति हवे. चाहे क्रिया भा काम करे के तरीका ढेर हवे. बिचारधारा आ सिद्धांत कम हऽ आ बेहवार जादे हऽ। == इहो देखल जाय == नाजीवाद उदारवाद मार्क्सवाद == संदर्भ == == बाहरी कड़ी == The Doctrine of Fascism by Benito Mussolini Authorized translation of Mussolini's "The Political and Social Doctrine of Fascism".
cognitive-modal-description;['समाजवाद'];समाजवाद में अइसन बिबिध आर्थिक-राजनितिक सिस्टम आ इनहन से जुड़ल चिंतन आ आंदोलन सभ के सामिल कइल जाला जिनहन में, सिस्टम में उत्पादन के साधन प समाज, मने की जनता के अधिकार डेमोक्रेटिक ढंग से होखे। उत्पादन के साधन प सामाजिक आ डेमोक्रेटिक नियंत्रण समाजवाद के सभसे प्रमुख लच्छन हवे। समाजवाद के बिबिध रूप आ प्रकार बाने, सगरी के एगो परिभाषा के तहत ना बतावल जा सके ला, हालाँकि, इनहना में सामाजिक नियंत्रण कुल्हनी में जरूर आवे ला। आर्थिक उत्पादन के साधन प सामाजिक नियंत्रण, मने की समाज के कंट्रोल, पब्लिक सेक्टर के द्वारा, सहकारी समीति के रूप में या फिर देस के जनता के इक्विटी में सझियाई द्वारा हो सके ला। समाजवादी अर्थव्यवस्था सभ के भी बजार-केंद्रित आ गैर-बजार केंद्रित, दू परकार में बाँटल जा सके ला।
course;['तरंग'];भौतिकी चाहे गणित मेे तरंग एगो माध्यम हऽ जेकरा से बिना बस्तु के एक ठाईं से दोसरा ठाई गइले उर्जा चलि जाला।
course;['मरी'];मरी चाहे मारी बहुत तेजी से फइले वाला रोग-बेमारी होला जेकरा चलते कम समय में बहुत सारा लोग के मौत हो सके ला। एकरे अउरी बिस्तृत रूप के महामारी कहल जाला जब एक्के साथ कौनों बेमारी कई महादीप सभ के इलाका में फइले या फिर पूरा दुनिया में फइल जाय।
course;['महामारी'];महामारी कौनों रोग बेमारी के कारन फइले वाली मरी होला जे बहुत बड़ इलाका में बिस्तार ले ले. एक्के साथे कई महादीप सभ के इलाका चाहे फिर पूरा दुनिया भर में मरी फइल जाय। बहुतन रोग-बेमारी अइसनो होलें जिनहना के बिस्तार पूरा दुनिया में भा बहुत बड़ इलाका में लगातार, निश्चित गति से लंबा समय ले या हमेशा बनल रह सकेला जेह में लोग बेमार पड़त रहे आ ठीक होखत जाय बाकी मामिला कंट्रोल से बहरें न होखे तब अइसन बेमारी सभ के एंडेमिक कहल जाला आ ई महामारी में ना गिनल जालीं। आमतौर पर सीजनल बदलाव के कारन होखे वाला जोखाम-बोखार के भी महामारी ना मानल जाला। इतिहास में महामारी फइले के कई उदाहरन देखल मिले लें, छोटकी माता के प्रकोप कई बेर बहुत बड़ इलाका सभ में फइल चुकल बा. 14वीं सदी में फइलल "ब्लैक डेथ" के भी अइसने इतिहासी महामारी में गिनल जाला। हाल के इतिहास के बीतल कुछ महामारी सभ में 1918 के जोखाम महामारी आ 2009 के जोखाम महामारी गिनावल जा सके लें। वर्तमान में जारी महामारी सभ में एचआइवी/एड्स इन्फेक्शन आ 2019–20 कोरोनावायरस महामारी बा।
course;['चनरगरहन', 'चंद्रग्रहण'];चनरगरहन एक तरह के गरहन हवे जे चंद्रमा, पृथ्वी आ सुरुज के एक सिधाई में आवे पर आ पृथ्वी के छाहीं में चंद्रमा के आ जाए पर लागे ला। अइसन पुर्नवासी के दिन होला, हालाँकि हर पुर्नवासी के गरहन ना लागे ला। कवना पुर्नवासी के चंद्रगरहन लागी ई निर्भर करे ला कि चंद्रमा के नोड सभ के स्थिति का बा, इनहने के भारतीय ज्योतिष में राहु-केतु के रूप में चिन्हित कइल जाला।
dependent-place;['संगम'];संगम भूगोल में दू गो नदी के मिले के जगह के कहल जाला। अक्सर दू गो नदी के मिलन के अस्थान पर कौनों मुख्य नदी में ओकर सहायिका नदी आ के मिले ले। हालाँकि, कबो कबो ई तय कइल मुश्किल होला कि कवन मुख्य नदी हवे आ कबो-कबो परंपरा अनुसार इनहन में से एगो के मुख्य नदी मान लिहल जाला जबकि भूगोल के हिसाब से पानी के मात्रा अनुसार ऊ सहायिका नदी भी हो सके ले।
dependent-place;['थलमंडल'];थलमंडल चाहे स्थलमंडल पृथ्वी आ पृथ्वी नियर कुछ ग्रह-उपग्रह सभ पर सभसे ऊपरी ठोस चट्टानी परत होला। अंगरेजी में एकरा के लिथोस्फियर कहल जाला जे यूनानी भाषा के लिथोस "चट्टानी" आ स्फीयर से बनल हवे।
dependent-place;['जलमंडल', 'जलमण्डल'];जलमण्डल पृथ्वी पर पावल जाए वाला पानी की भण्डार के कहल जाला आ एम्में पृथ्वी पर क समुन्द्री हिस्सा क अध्ययन होला।
ecological-collective;['विश्व'];सम्पूर्ण मानव सभ्यता के दिखावे खातिर विश्व एगो साधारण वाक्य ह, विशेषत: मानव अनुभव, इतिहास या मानव के सामान्य स्थिती के दर्शावे खातिर। उदाहरण:पृथ्वी पर कउनो भी स्थान।
ecological-collective;['बन'];बन अइसन इलाका के कहल जाला जहाँ बनस्पति आ पेड़ पौधन के बहुलता होखे।
event;['सुनामी'];सुनामी एगो भीषण समुद्री लहर क प्रकार हवे जेवन समुन्द्र में भुइडोल अइले की बाद उठे ले।
event;['गति'];भौतिकी मे गति, समय जोर कोनो बस्तु के स्थान मे परीवरतन के कहल जाला। गनित मे गति के दुरत्व, वेग, परवेग के भेस मे लउकावल जाला। कोनो बस्तू के गति के निरिक्षण होकरा जोरे एगो परसंग परनाली लगाइके कइल जाला।
event;['सतही जलबहाव'];सतही जलबहाव धरती के सतह पर पानी के बहाव हवे, अइसन पानी जे चाहे बरखा से आवे, बरफ पघिले से आवे या अउरी कौनों तरीका से धरती के सोखे के छमता से बेसी हो जाय।
event;['निकास'];बहाव मात्रा या निकास बहाव या कबो कबो ख़ाली बहाव कहि दिहल जाला, जल बिज्ञान में पानी के बहाव के आयतन के दर के कहल जाला। आसान भासा में कहल जाय त प्रति एकाई समय में केतना मात्रा पानी के बह गइल ओके "बहाव मात्रा" कहल जाला।
event;['समुंद्री धारा'];समुंद्री धारा चाहे महासागरीय धारा, समुंद्र के पानी के लगातार आ निश्चित दिसा में होखे वाला बहाव हवे। ई कई किलोमीटर चाकर धारा के रूप में होखे ला आ बहुत दूर तक ले जाला। एकरे पाछे मूल कारण समुंद्र में ऊर्जा के बितरण के बराबर करे खातिर होखे वाला संचलन हवे। डाइरेक्ट कारण के बा कइल जाय तब, समुंद्र में तापमान, नमकीनियत, पानी के घनत्व इत्यादि में अंतर. हवा के बहाव के परभाव, तरंग सभ के टूटे के परभाव आ महादीप आ दीप सभ के मौजूदगी से एह धारा सभ के चाल आ दिशा परभावित होखे ले।
functional-matter;['विटामिन बी12', 'α-(5,6-dimethylbenzimidazolyl)cobamidcyanide'];विटामिन बी12, जेकरा के कोब्लामिन के नाँव से भी जानल जाला, पानी में घुल सके वाला एगो बिटामिन हवे जेकर जरूरत हर कोशिका में परे ला।
functional-matter;['जर्मेनियम', 'г'];जर्मेनियम एक तत्त्व बा।
functional-matter;['पेट्रोलियम'];पेट्रोलियम धरती के अंदर, चट्टान सभ के बीच में पावल जाए वाला तरल पदार्थ हवे जेकरा के शोध के पेट्रोल, डीजल, माटी के तेल नियर ईंधन आ अउरी कई तरह के उपयोगी चीज बनावल जाला। एकरा शोधे से बने वाला चीज में मुख्य आइटम जरावे जोग ईंधने होला आ बाकी चीज गौड़ रूप से बने ला।
functional-matter;['ताँमा', 'cu', 'कपर'];ताँमा एक तत्त्व बा।
functional-matter;['विटामिन डी'];विटामिन डी फैट में घुले वाला विटामिन हवे। एह में कई किसिम के सेकोस्टेरॉइड आवे लें जे मुख्य रूप से कैल्शियम, मैग्नीशियम आ फास्फेट सभ के आँत में सोखल जाए के काम में तेजी ले आवे लें आ इनहना के अउरी जीवी परभाव भी होला। मनुष्य में सभसे प्रमुख कंपाउंड सभ में विटामिन D3 विटामिन D2 होखे लें।
functional-matter;['तेल रिसाव'];तेल रिसाव अइसन घटना हवे जेह में मनुष्य के गतिविधि के चलते पानी में, बिसेस रूप से समुंद्र के पानी में, पेट्रोलियम हाइड्रोकार्बन सभ के तरल रूप में बहाव हो जाला आ ई एक किसिम के प्रदूषण हवे। शब्द के इस्तेमाल खासतौर पर पानी में पेट्रोलियम के रिसाव खातिर इस्तेमाल होला हालाँकि, अइसन रिसाव जमीन वाला हिस्सा में भी हो सके ला। पेट्रोलियम तेल ढोवे वाला टैंकर, पानी के जहाज, समुंद्र किनारे या समुंद्र के तीरे से कुछ दूरी पर के समुंद्र भीतरी तेल निकाले वाला प्लेटफार्म, या तेल के खदान से अइसन तेल पानी में पहुँच सके ला।
functional-matter;['जर्कोनियम'];जर्कोनियम एक ठी रासायनिक तत्त्व बा।
functional-matter;['बारूद'];बारूद जेकरा के अंगरेजी में गन पावडर भा ब्लैक पाउडर कहल जाला, एक तरह के बिस्फोटक पदार्थ हवे जे चिंगारी पकड़ले पर तेज आवाज आ धुआँ के साथे तेजी से जरे ला। ई एक तरह के रासायनिक मिक्सचर हवे जेह में गंधक, चारकोल आ शोरा मिलल होला। एकरे बिस्फोटक लच्छन के कारण ई पड़ाका बनावे, बिबिध किसिम के बंदूक आ हथियारन में आ अउरी कई किसिम के बिस्फोट करे में इस्तेमाल होखे ला।
functional-matter;['सीजियम', 'cs'];एह एक तत्त्व बा।
functional-matter;['सीजियम', 'cs'];एह एक तत्त्व बा।
functional-matter;['सिल्वर', 'सिल्भर'];चानी, चाँदी भा सिल्वर एक ठो रासायनिक तत्त्व बा।
functional-matter;['टीका'];टीका चाहे भैक्सिन एगो अईसन जैविक तेयारी बाटे जे केवनो संक्रामक रोग से लड़े के सकान देवेला। एगो निसचित रोग के टीका के उहे रोग फइलावे अला जीव के तनी अबर कऽ के चाहे मुआ चाहे ओकरे कोनो भाग से बनावल जाला। टीका मे जोन अबर कइल चाहे मुआइल जीव रहेला, जब देहि मे जाला तऽ देह ओकरा के चिन्ह जाला आ फेर जब ओह रोग के रूप मे असल जीव देहि मे आवेला देहि होकरा से लड़े के सकान राखेला आ ऊ रोग बेकत के ना होखेला।टीका लगावे के काज के टीकाकरन कहल जाला। छुआवे ठेकाए से होखे अला रोग के रोके ला टीकाकरन सभ से नीमन पाय हऽ। टीकाकरन से चेचक लेखा रोग के दुनिया भ मे खतम कऽ दिहल गइल बा आ पोलियो, खसरा आ टेटनस जस रोग के कम कईल गइल बाटे। हेकरा अंगरेजी मे भैक्सिन कहल जाला।
functional-matter;['मधु'];मधु चाहे शहद एगो मीठ, गाढ़ लसेदार चीज हवे जे खाये के कामे आवे ला आ ई मधुमाछी आ कुछ अउरी संबंधित किरौना सभ द्वारा बनावल जाला। मधुमक्खी सभ पौधन के फूल में मौजूद मीठ रस चूस के आ ओकरा के एक किसिम के पाचन क के बनावे लीं जेह में एंजाइम के कुछ प्रक्रिया आ पानी के बास्पीकरण होखे ला। ओकरे बाद मधुमक्खी मधु के अपना मोम के बनल छत्ता में सहेज देलीं। मधुमाछी के बनावल बिबिध प्रकार के मधु सभसे बेसी चलन में बा जेकरा आदमी तरह-तरह से भोजन आ दवा-बीरो में इस्तमाल करे ला आ एकर बानिज्यिक रूप से उत्पादन आ बिक्री होला। मधु निकाले के काम प्राकृतिक चाहे जंगली छत्ता सभ से भी होखे ला आ बनावटी छत्ता सभ से भी निकालल जाला जहाँ पालतू मधुमक्खी एकरा के बनावे लीं. ई दुसरका तरीका के मधुमक्खी पालन कहल जाला।
functional-matter;['विटामिन सी'];विटामिन सी, जेकरा के एस्कॉर्बिक एसिड आ एस्कार्बेट के नाँव से भी जानल जाला, एक किसिम के विटामिन हवे जे कई तरह के खानपान के चीजन में पावल जाला, मनुष्य आ अउरी कई किसिम के जीवधारी सभ के सेहत खातिर जरूरी होला। भोजन के अलावा ई अलगा से भी लिहल जा सके ला, दवाई के रूप में चाहे इंजेक्शन के रूप में। मुख्य रूप से मनुष्यन में एकरे कमी के चलते स्कर्वी रोग होला जेकरा से बचाव खातिर या एकरे इलाज में विटामिन सी दिहल जाला। विटामिन सी बहुत जरूरी पोषक तत्व हवे जे टिशू सभ के रिपेयर होखे में आ कुछ न्यूरोट्रांसमीटर सभ के एंजाइमिक निर्माण में जरूरी होला।
functional-matter;['पेट्रोल', 'गैसोलीन'];पेट्रोल एक तरह के द्रव ईंधन हवे जे पेट्रोलियम के शोध के बनावल जाला आ प्रमुख रूप से बिबिध प्रकार के बाहन सभ में या अन्य मशीन सभ में इंटरनल कम्बशन इंजन सभ में जरावल जाला।
