abstract-quality;['ідэнтычнасьць'];Ідэнты́чнасьць — самавызначэньне асобы, індывіда, асэнсаваньне свайго месца ў прасторы і часе.
agentive-physical-object;['арол-вужаед', 'circaetus gallicus', 'зьмеяед', 'зьмяіны арол', 'крачун'];Аро́л-вужае́д, або крачун, або зьмеяе́д, або зьмяі́ны аро́л — драпежная птушка зь сямейства ястрабіных атраду сокалападобных.
agentive-physical-object;['саракушавыя'];Саракушавыя (па-лацінску: Laniidae) — сямейства птушак з атраду вераб’інападобных (Passeriformes).
agentive-physical-object;['капэрсы', 'капары', 'каперсы'];Ка́пэрсы (даўней капары) — высушаныя, а затым марынаваныя ў аліве або салёныя пупышкі кветак, маладыя парасткі і зялёныя плады міжземнаморскай расьліны Capparis spinosa, кустоўя вышынёй 120—150 см.
agentive-physical-object;['шэрыя акулы', 'carcharhinidae'];Шэ́рыя аку́лы — адно з самых шматлікіх сямействаў акулаў.
agentive-physical-object;['ключыкі', 'prímula'];Ключыкі (па-лацінску: Prímula) — род расьлінаў з сямейства Ключыкавыя (па-лацінску: Primulaceae) атраду Вераскакветныя (па-лацінску: Ericales).
agentive-physical-object;['туя'];Ту́я — род вечназялёных іглічных дрэваў і кустоў сямейства кіпарысавых.
agentive-physical-object;['каштан'];Каштан — род лістападных дрэў, радзей кустоў сямейства букавых.
agentive-physical-object;['амары', 'амар'];Ама́ры — сямейства буйных марскіх дзесяціногіх ракападобных.
agentive-physical-object;['зэбра', 'zebra'];Зэбра (Hippotigris) — падрод роду коні, які ўключае віды зэбра раўнінная, зэбра пустынная і зэбра горная.
agentive-physical-object;['зэбра', 'zebra'];Ёган Во́льфґанґ фон Ґётэ — вялікі нямецкі літаратар і палімат.
agentive-physical-object;['базылік', 'базілік', 'ocimum basilicum'];Базылік (па-лацінску: Ocimum) — кветкавая расьліна сямейства ясноткавых.
agentive-physical-object;['цюленевыя', 'phocidae'];Цюле́невыя — сямейства клясы сысуноў атрада драпежных, якая ўключае 19 відаў зь 13 родаў.
agentive-physical-object;['язьмін'];Я́зьмін (Jasmínum, ад (па-пэрсыдзку: یاس‎‎ — ясэмін) — род вечназялёных кустоў з сямейства масьлінавыя.
agentive-physical-object;['вераб’іныя', "вераб'і", "вераб'іныя", 'верабей', 'вераб’і'];Вераб’і́ныя (па-лацінску: Passeridae) — сямейства невялікіх аселых, радзей вандроўных птушак з атраду Вераб’інападобных.
agentive-physical-object;['дыня', 'cucumis melo'];Дыня, мэлён — расьліна сямейства гарбузовыя, від роду Агурок, бахчавых культур, ілжыва-ягада.
agentive-physical-object;['зубатыя кіты'];Зуба́тыя кіты́ — адзін з двух падартадаў кітападобных.
agentive-physical-object;['кіт', 'кіты'];Кіты́ (па-старажытнагрэцку: κῆτος — марская пачвара) — марскія млекакормячыя з атраду кітападобных, якія не адносяцца ні да дэльфінаў, ні да марскіх свіньняў.
agentive-physical-object;['трусы', 'трус'];Тру́сы — агульная назва некалькіх родаў сысуноў з сямейства Зайцавых.
agentive-physical-object;['ятрышнік'];Ятры́шнік — род кветкавых расьлінаў сямейства архідных.
agentive-physical-object;['піхта', 'abies', 'ельніца'];Піхта — род вечназялёных дрэваў сямейства хваёвых.
agentive-physical-object;['пацук', 'пацукі'];Пацук (па-лацінску: Rattus) — род сысуноў сямейства мышыных.
agentive-physical-object;['тлі', 'тля'];Тлі — надсямейства вусякоў з атрада паўжорсткакрылых.
agentive-physical-object;['бясхвостыя', 'жаба'];Бясхвостыя (лацінская назва: Anura) — найбуйнейшы атрад земнаводных, які налічвае каля 5 тысяч відаў.
agentive-physical-object;['вампіры', 'desmodus rotundus'];Вампіравыя кажаны (Desmodontinae) — падсямейства сысуноў сямейства лістаносых кажаноў, харчуюцца крывёй.
agentive-physical-object;['хвастатыя земнаводныя', 'urodela'];Хвастатыя земнаводныя (Caudata, Urodela) — атрад земнаводных.
agentive-physical-object;['сьліва дамашняя'];Сьліва дамашняя (Prunus domestica) — плодавае дрэва роду сьліва сямейства ружакветных.
agentive-physical-object;['прыматы'];Прыматы (Primates, ад лац.
agentive-physical-object;['сланечнік'];Сланечнік (Helianthus) — род расьлінаў сямейства Астравых, зьяўляецца адным з шматлікіх у гэтым сямействе.
agentive-physical-object;['сінюшнік', 'polemonium'];Сіню́шнік, народныя назвы гадзіньнік, аструшка, рабінка — род расьлінаў сямейства Сінюхавыя.
agentive-physical-object;['пустазельле'];Пустазе́льле, пустазельныя расьліны — расьліны, рост якіх на пэўных участках непажаданы.
agentive-physical-object;['электрычныя скаты'];Электрычныя скаты (Torpediniformes) — атрад храстковых рыб, у якіх па бакох разьмешчаны ныркападобныя электрычныя органы.
agentive-physical-object;['кот лясны', 'felis silvestris'];Кот дзікі, кот лясны — від клясы сысуноў атраду драпежных сямейства каціных.
agentive-physical-object;['лішайнікі'];Лішайнікі — група ніжэйшых расьлінаў, утвораных сымбіёзам грыба і водарасьці.
agentive-physical-object;['сысуны', 'mammalia', 'млекакормячыя', 'сысун'];Сысуны́ (па-лацінску: Mammalia) — кляса хрыбетных жывёлаў, асноўнай адрознай асаблівасьцю якіх зьяўляюцца жывароднасьць (за выняткам інфраклясы кляачных) і ўскормліваньне дзіцянятаў малаком.
agentive-physical-object;['блохі', 'блыха'];Блохі, адз.л.: блыха
agentive-physical-object;['ластаногія', 'pinnipedia'];Ластаногія (Pinnipedia) — група млекакормячых, якую раней вылучалі ў асобны атрад, які аб’ядноўваў цюленяў і маржоў.
agentive-physical-object;['скарпіёны'];Скарпіёны — атрад клясы павукападобных, падтыпу Хэліцэравых, тыпу чэлясаногіх.
agentive-physical-object;['тытунь', 'nicotiana'];Тыту́нь — сельскагаспадарчы прадукт, створаны зь лісьця расьлінаў роду Nicotiana, якая адносіцца да сямейства пасьлёнавых.
agentive-physical-object;['чабор звычайны'];Чабо́р звычайны — від чабораў сямейства Ясноткавыя.
agentive-physical-object;['мацярдушка', 'маяран'];Маяра́н (па-лацінску: Origanum majorana) — від шматгадовых травяністых расьлінаў сямейства ясноткавыя.
agentive-physical-object;['мацярдушка', 'маяран'];Мацярдушка (па-лацінску: Origanum vulgare) — шматгадовая травяністая расьліна сямейства губакветных.
agentive-physical-object;['ангельскае зельле'];Анге́льскае зе́льле — прыправа, якая вырабляецца зь недасьпелых і высушаных пладоў піментавага дрэва, якое належыць да роду міртавых
agentive-physical-object;['азіяцкі слон', 'elephas maximus'];Азія́цкі слон альбо Інды́йскі слон — сысун атрада хобатных, адзіны сучасны від роду Азіяцкія сланы і адзін з трох сучасных відаў сямейства слановых.
agentive-physical-object;['кулян', 'equus hemionus'];Кулян, азіяцкі асёл (Equus hemionus) — від зь сямейства конскіх.
agentive-physical-object;['кукабара-рагатуха'];Кукабара-рагатуха альбо зімарадак-велікан (Dacelo novaeguineae/Dacelo gigas) — від птушак роду кукабары.
agentive-physical-object;['муфлён азіяцкі'];Азіяцкі муфлён (Ovis orientalis) — сысун з роду горных бараноў падсямейства казіных сямейства пустарогіх.
agentive-physical-object;['onopordum acanthium'];Onopordum acanthium — від травяністых расьлінаў рода Onopordum сямейства Астравыя.
agentive-physical-object;['птушкі-насарогі'];Птушкі-насаро́гі (Bucerotidae) — сямейства птушак атраду ракшападобных.
agentive-physical-object;['белагруды мядзьведзь'];Белагруды мядзьведзь, таксама Гімалайскі або Чорны мядзьведзь — сысун атрада драпежных.
agentive-physical-object;['калярадзкі жук', 'leptinotarsa decemlineata'];Калярадзкі бульбяны жук (па-лацінску: Leptinotarsa decemlineata) — насякомае сямейства жукоў-лістаедаў.
agentive-physical-object;['зялёнавокія', 'chlorophthalmidae'];Зялёнавокія (Chlorophthalmidae) — невялікае сямейства рыб атрада міктафападобных.
agentive-physical-object;['васьміногі', 'васьміног', 'спрут'];Запыт «Спрут» перанакіроўваецца сюды.
agentive-physical-object;['часнок', 'allium sativum', 'часнык'];Часнок, Часнык, — шматгадовая травяністая расьліна. від роду Цыбуля сямейства Амарылісавыя падсямейства Цыбулевыя, раней адносілася да самастойнага, цяпер скасаванага сямейства Цыбулевыя.
agentive-physical-object;['цыбуля рэпчатая', 'рэпчатая цыбуля'];Цыбу́ля рэ́пчатая — найбольш распаўсюджаны з усіх відаў цыбулі.
agentive-physical-object;['арлан-белахвост', 'haliaeetus albicilla'];Арла́н-белахво́ст — драпежная птушка з атраду сокалападобных, сямейства ястрабіных.
agentive-physical-object;['кедр лібанскі'];Кедр лібанскі — від хваёвых дрэваў з роду кедр сямейства сасновыя.
agentive-physical-object;['губаногія'];Губаногія (па-лацінску: Chilopoda) — клас чэлясоногія з надклясы мнаганожак (Myriapoda).
agentive-physical-object;['fossa fossana'];Fossa fossana — від клясы сысуноў атрада драпежных сямейства Eupleridae.
agentive-physical-object;['трылісьнік'];Трылісьнік (па-ірляндзку: seamróg) — адзін з найгалоўнейшых сымбаляў Ірляндыі, уяўляе сабой маладую галінку канюшыны белай.
agentive-physical-object;['земнаводныя', 'amphibia', 'амфібіі'];Земнаводныя або амфібіі (па-лацінску: Amphibia) — адна з клясаў хрыбетных жывёлаў.
agentive-physical-object;['рухавік унутранага згараньня', 'рухавік нутранага згараньня'];Рухавік унутранага згараньня (скарочана РУЗ) — тып рухавіка, цеплавой машыны, у якой хімічная энэргія паліва (звычайна прымяняецца вадкае альбо газападобнае вуглевадароднае паліва), якое згарае ў працоўнай зоне, пераўтвараецца ў мэханічную работу.
agentive-physical-object;['дрозд чорны', 'дрозд', 'turdus merula'];Дрозд чорны (Turdus merula) — від птушак з роду драздоў.
agentive-physical-object;['рапуха чаротавая', 'рапуха чаротная', 'чаротная рапуха'];Рапуха чаротавая, рапуха чаротная (Bufo calamita, Epidalea calamita) — земнаводнае зь сямейства сапраўдных рапух.
agentive-physical-object;['пячурыца', 'печурыца'];Печурыца альбо балагушка (па-лацінску: Agaricus campester, Agaricus campestris, Psalliota campestris)
agentive-physical-object;['вялікі кулён', 'numenius arquata', 'кулён вялікі'];Вялікі кулён (па-лацінску: Numenius arquata) — від птушак зь сямейства бакасавых.
agentive-physical-object;['сіваграк', 'coracias garrulus'];Сівагра́к, сівы́ сівагра́к (лац.
agentive-physical-object;['зязюля звычайная', 'cuculus canorus'];Звычайная зязюля (Cuculus canorus) — птушка сямейства зязюлевых сярэдніх памераў (даўжыня цела да 40 см, крыла — каля 22 см), з даволі доўгім (да 18 см) закругленым ступеністым хвастом і доўгімі махавымі крыламі.
agentive-physical-object;['гіль', 'pyrrhula pyrrhula', 'гіль звычайны', 'сьнягір'];Гіль, сьнягір (па-лацінску: Pyrrhula pyrrhula) — пералётная птушка атраду вераб’інападобных.
agentive-physical-object;['сарока звычайная', 'звычайная сарока', 'сарока'];Сарока звычайная (Pica pica) — род птушак зь сямейства крумкачовых атраду вераб’інападобных, шырока распаўсюджаны на большай частцы тэрыторый Эўразіі, Паўночнай Афрыкі і Паўночнай Амэрыкі.
agentive-physical-object;['тсуга канадзкая'];Тсу́га кана́дзкая (Tsuga canadensis) — вечназялёнае дрэва сямейства хваёвых.
agentive-physical-object;['лунь палявы', 'circus cyaneus', 'палявы лунь'];Палявы лунь, палявы мышалоў (Circus cyaneus) — від птушак рода луні сямейства ястрабіныя.
agentive-physical-object;['блакітная сойка', 'сойка блакітная'];Блакі́тная со́йка, паўночнаамэрыка́нская блакітная сойка (Cyanocitta cristata) — сьпеўная птушка.
agentive-physical-object;['савук вялікі', 'крахаль вялікі', 'крохаль вялікі'];Вялікі крахаль ці Вялікі савук (Mergus merganser) — буйная качка з вузкай падоўжанай дзюбай.
agentive-physical-object;['верас'];Верас (Calluna) — род вечназялёных кустовых і кусьцікавых расьлін сямейства верасовых.
agentive-physical-object;['звычайная вавёрка', 'sciurus vulgaris', 'вавёрка звычайная'];Звычайная вавёрка — зьвер атраду грызуноў.
agentive-physical-object;['бакас', 'gallinago gallinago', 'бакас звычайны'];Бака́с (па-лацінску: Gallinago gallinago) — птушка сямейства бакасавых атраду сеўцападобных.
agentive-physical-object;['вясковая ластаўка'];Вясковая ластаўка, або касатка — маленькая пералётная птушка, якая жыве ў Эўропе, Азіі, Афрыцы і Амэрыцы.
agentive-physical-object;['рапуха шэрая'];Рапуха звычайная, або шэрая (Bufo bufo) — земнаводнае, якое належыць да сямейства рапухі.
agentive-physical-object;['жако', 'афрыканскі шэры папугай'];Афрыканскі шэры папугай, жако (па-лацінску: Psittacus erithacus) — адзіны прадстаўнік роду ў сямействе папугаевых.
agentive-physical-object;['ажына', 'rubus caesius'];Ажы́на, маліна шызая — паўкустовая расьліна з роду маліна, сямейства ружавых.
agentive-physical-object;['марошка', 'rubus chamaemorus'];Маро́шка — від шматгадовых травяністых расьлінаў роду маліна сямейства ружавых.
agentive-physical-object;['вярблюд', 'вярблюды'];Вярблюд (па-лацінску: Camelus) — жывёла клясы сысуноў, адносіцца да капытных у межах роду вярблюдавых, шырока вядомая сваім адметным тлушчавым адкладаньням у выглядзе гарбу на сьпіне.
agentive-physical-object;['пэрсік', 'prunus persica'];Пэрсік, брусква, брусквіца (па-лацінску: Prúnus pérsica: «пэрсыдзкая сьліва», агульнаславянскае слова брусква паходзіць ад праславянскага *bersky, што, у сваю чаргу, зьяўляецца вымоваю лацінскага persica) — расьліна зь сям’і ружавых, ад блізкароднасных мігдалаў адрозьніваецца толькі пладамі.
agentive-physical-object;['ячмень звычайны'];Ячмень звычайны (па-лацінску: Vítis) — від ячменя, менавіта ён звычайна ўзрабляецца ў сельскай гаспадарцы, адно з найстаражытнейшых культурных расьлінаў у гісторыі чалавецтва (10 тысяч год таму).
agentive-physical-object;['лясная куніца', 'куніца лясная'];Лясная куніца або жаўтадушка (Martes martes) — від сысуноў зь сямейства куніцавых (Mustelidae).
agentive-physical-object;['тхор лясны', 'mustela putorius'];Лясны тхор, чорны тхор (Mustela putorius) — від драпежных жывёлаў зь сямейства куніцавых.
agentive-physical-object;['шэрая лісіца', 'urocyon cinereoargenteus'];Шэрая лісіца — від сямейства сабачых, якія жывуць на поўначы Канады, па ўсіх тэрыторыях Цэнтральнай Амэрыкі і Паўднёвай Амэрыкі, да Вэнэсуэлы.
agentive-physical-object;['гінкга двухлопасьцевы'];Гінкга двухлопасьцевы — двухдомнае хвойнае дрэва сямейства гінкгавых.
agentive-physical-object;['аксаміт амурскі'];Аксаміт амурскі (па-лацінску: Phellodendron amurense) — лістападнае дрэва сямейства рутавых.
agentive-physical-object;['hyaena', 'гіенавыя', 'hyaenidae'];Гіэна — род клясы сысуноў атрада драпежных сямейства гіенавых.
agentive-physical-object;['hyaena', 'гіенавыя', 'hyaenidae'];Гіенавыя — сямейства сысуноў атрада драпежных.
agentive-physical-object;['свойскі асёл', 'ішак', 'equus asinus', 'аслы', 'асёл', 'асёл свойскі'];Асёл свойскі — падвід афрыканскага асла з рода коней атрада непарнакапытных.
agentive-physical-object;['дзікі', 'сьвіньня', 'свіння', 'sus scrofa domestica', 'свойская сьвіньня'];Сьвіньня (па-лацінску: Sus) — жывёла клясы сысуноў, разнавіднасьць дзіка, які быў адамашнены чалавекам каля 7 тысячаў гадоў назад (паводле некаторых даследаваньняў — значна раней), і распаўсюджаныя галоўным чынам у краінах Захаду, Усходняй Азіі й Акіяніі.
agentive-physical-object;['дзікі', 'сьвіньня', 'свіння', 'sus scrofa domestica', 'свойская сьвіньня'];Дзікі (Sus) — род сысуноў атраду парнакапытных.
agentive-physical-object;['першацьвет веснавы'];Першацьве́т веснавы́, ці ле́кавы, ці пры́мула веснава́я (па-лацінску: Prímula véris, па-лацінску: Primula officinális) — шматгадовая травяністая расьліна з роду першацьвет.
agentive-physical-object;['галятурыі', 'галятурыя', 'марская кубынка', 'марскі агурок', 'марскія агуркі'];Галяту́рыі або марскі́я кубынкі, або марскі́я агуркі́ — кляса бесхрыбетных жывёлаў тыпу іголкаваскурых.
agentive-physical-object;['марскія зоркі', 'asteroidea'];Марскія зоркі
agentive-physical-object;['грыб-парасон пярэсты', 'парасон пярэсты'];Грыб-парасон пярэсты (па-лацінску: Macrolepiota procera. мясц.
agentive-physical-object;['міксіны', 'myxini'];Міксіны — падкляса хрыбетных жывёлаў клясы кругларотых.
agentive-physical-object;['морж', 'odobenus rosmarus', 'odobenidae'];Морж — від клясы сысуноў атрада драпежных.
agentive-physical-object;['мянтуз'];Мянту́з звыча́йны (па-лацінску: Lota lota) — адзіная прэснаводная рыба сямейства трасковых атраду траскападобных.
agentive-physical-object;['соя культурная', 'glycine max', 'соевыя бабы'];Соя культурная — аднагадовая(be) прамастойкая, павойная або паўзучая травяністая расьліна вышынёй 20—100 см.
agentive-physical-object;['чарніцы', 'vaccinium myrtillus'];Чарні́цы (па-лацінску: Vaccinium myrtillus) — невялічкі вельмі галінасты куст з доўгім карэньнем ды зялёнымі трохі срэбрыстымі галінамі.
agentive-physical-object;['канюшына лугавая'];Канюшына лугавая — від расьлін зь сямейства бабовых, падсямейства матыльковых.
agentive-physical-object;['лыска', 'fulica atra', 'лысуха'];Гэтая назва мае некалькі сэнсаў.
agentive-physical-object;['явар'];Я́вар, клён ілжэплятанавы (Acer pseudoplatanus) — лістападнае дрэва роду клён сямейства кляновых.
agentive-physical-object;['ружавая радыёла', 'hylotelephium telephium', 'sedum carpaticum', 'sedum fabaria', 'sedum telephium', 'залаты корань', 'радыёла ружавая', 'ружовая радыёла', 'сыбірскі жэньшэнь'];Ру́жавая радыёла — шматгадовая травяністая расьліна з тоўстымі і мясістымі каранямі.
agentive-physical-object;['рапуха зялёная'];Рапуха зялёная (Bufo viridis) — земнаводнае, якое належыць да роду рапухі.
agentive-physical-object;['рабіна звычайная'];Рабіна звычайная — від рабіны зь сямейства Ружавыя.
agentive-physical-object;['зубар', 'зубър', 'bison bonasus', 'зубар эўрапейскі', 'зубр'];Зу́бар ці эўрапе́йскі бізо́н (па-лацінску: Bison bonasus) — жывёліна клясы сысуноў сямейства пустарогіх.
agentive-physical-object;['стрынатка-чаротаўка', 'emberiza schoeniclus'];Стрынатка-чаротаўка (па-лацінску: Emberiza schoeniclus) — птушка зь сямейства стрынаткавых (Emberizidae) атраду вераб’інападобных (Passeriformes).
agentive-physical-object;['пратэй эўрапейскі', 'эўрапейскі пратэй'];Эўрапейскі пратэй, або ольм (Proteus anguineus, або Р. anguinus) — род земнаводных сямейства пратэяў.
agentive-physical-object;['жабнік звычайны'];Жабнік звычайны — від водных расьлінаў зь сямейства вадакрасавых.
agentive-physical-object;['лешч'];Лешч (па-лацінску: Abramis brama) — рыба сямейства карпавых атраду карпападобных.
agentive-physical-object;['плотка'];Плотка (па-лацінску: Rutilus rutilus) — від рыб зь сямейства карпавых.
agentive-physical-object;['галавень', 'галавань'];Галавень (па-лацінску: Leuciscus cephalus) таксама Галавань - прэснаводная рыба зь сямейства карпавых, роду яльцоў.
agentive-physical-object;['ophrys insectifera'];Ophrys insectifera (Ophrys insectifera) - від расьлінаў сямейства Архідныя.
agentive-physical-object;['вязель рознакаляровы'];Вязель рознакаляровы (Coronilla varia) — шматгадовая травяністая расьліна зь сямейства бабовых.
agentive-physical-object;['вербалоз'];Вербалоз (па-лацінску: Salix pentandra. інш.
agentive-physical-object;['птэразаўры'];Птэразаўры — атрад вымерлых паўзуноў кляды архазаўраў.
agentive-physical-object;['сынапсіды'];Сынапсіды (лац.
agentive-physical-object;['кот', 'felis silvestris catus', 'котка'];Кот свойскі — свойская жывёліна з атраду драпежных.
agentive-physical-object;['cuon alpinus', 'cuon'];Cuon alpinus — від клясы сысуноў атрада драпежных сямейства сабачых.
agentive-physical-object;['слон', 'сланы'];Слон — буйная жывёла, якая адносіцца да клясы сысуноў і сям’і слановыхі.
agentive-physical-object;['двухдольныя'];Двухдо́льныя (Magnoliopsida, або Dicotyledones) — кляса кветкавых расьлінаў, якая характарызуюцца наяўнасьцю ў зародка дзьвюх бакавых процілеглых насенных дзеляў.
agentive-physical-object;['цукровы бурак', 'цукровыя буракі'];Цукровы бурак — багаты на цукар (19—23%) падвід звычайнага бурака зь белым караняплодам(en) масай 400—500 грамаў.
agentive-physical-object;['пратысты'];Пратысты (па-лацінску: Protista) — царства эўкарыятычных мікраарганізмаў.
agentive-physical-object;['лін'];Лін (па-лацінску: Tinca tinca) — рыба сямейства карпавых, адзіны прадстаўнік роду ліны (па-лацінску: Tinca).
agentive-physical-object;['сьвістун', 'anas penelope', 'сьвіцьва'];Сьвістун (па-лацінску: Anas penelope) — від качак сямейства качыных.
agentive-physical-object;['збожжа', 'збожжавыя культуры'];Збожжа — найважнейшая група вырошчваемых расьлінаў, якія даюць зерне, асноўны прадукт харчаваньня чалавека, сыравіна для шматлікіх адгалінаваньняў прамысловасьці й корму сельскагаспадарчых жывёлаў.
agentive-physical-object;['судзінкавыя расьліны'];Судзінкавыя расьліны — група расьлін, асноўным элемэнтам праводзячай сыстэмы якіх ёсьць праводзячы пучок.
agentive-physical-object;['цецярук', 'tetrao tetrix'];Цецяру́к палявы́ (па-лацінску: Lyrurus tetrix ці Tetrao tetrix) — птушка сямейства цецеруковых атраду курападобных.
agentive-physical-object;['агурочнік'];Агуро́чнік лёкавы, Бура́чнік, Агуро́чная трава́ (па-лацінску: Borago officinalis) — шматгадовая травяністая расьліна сямейства бурачнікавых.
agentive-physical-object;['жыта пасяўное', 'secale cereale'];Жы́та пасяўно́е — аднагадовая ці двухгадовая травяністая расьліна, від роду жыта. злак, які разводзіцца ў шматлікіх краінах.
agentive-physical-object;['вуж звычайны', 'natrix natrix'];Вуж звычайны (Natrix natrix) — від паўзуноў сямейства вужовых са значнай колькасьцю падвідаў.
agentive-physical-object;['гнаявоз'];Гнаяво́з Шапачка 3-8 см у дыямэтры, з пачатку яйкападобная, потым падобная да званочка, шэра-карычневая, у цэнтру больш цёмная, з дробнымі бурымі лускавінкамі.
agentive-physical-object;['парасілавая ўстаноўка', 'паравая машына', 'паравы рухавік'];Парасілавая ўстаноўка (ПСУ) — цеплавы рухавік, у якім рабочае цела мае фазывая пераўтварэньні.
agentive-physical-object;['мята перцавая', 'mentha x piperita'];Мя́та пе́рцавая — шматгадовая травяністая расьліна роду Мята сямейства Ясноткавыя.
agentive-physical-object;['капскі даман'];Капскі даман — від афрыканскіх сысуноў, які мае павярхоўнае падабенства з трусам.
agentive-physical-object;['люцэрн', 'medicago sativa'];Люцэрн — швайцарскі горад, сталіца аднайменнага кантона, эканамічны й культурны цэнтар Цэнтральнай Швайцарыі.
agentive-physical-object;['цьвердакрылыя', 'coleoptera'];Цьвердакрылыя, або жукі — атрад вусякоў, прадстаўнікі якога характарызуюцца выглядазьменай пярэдніх крылаў ў цьвёрдыя, моцна склератызаваныя, альбо скурыстыя надкрыльлі, пазбаўленыя жылкаваньня, з захаваньнем перапончатых задніх крылаў, якія служаць для палёту і ў спакойным стане складзеныя пад надкрыльлямі . ротавы апарат — грызучы.
agentive-physical-object;['звычайныя жабы'];Звычайныя жабы — сямейства бясхвостых земнаводных, уключае 6 падсямействаў, 46 родаў, больш за 550 відаў.
agentive-physical-object;['суставаногія', 'arthropoda', 'сустаўчатаногія', 'членістаногія', 'чэлясаногія'];Суставано́гія, таксама — чэлясаногія — тып першаснаротых жывёлаў, які ўключае вусякоў, ракападобных, павукападобных і шматножак.
agentive-physical-object;['herpestes edwardsii'];Herpestes edwardsii — від клясы сысуноў атрада драпежных сямейства мангуставых.
agentive-physical-object;['пума', 'puma concolor'];Пума, або кугуар, або горны леў (па-лацінску: Puma concolor) — жывёла клясы сысуноў атрада драпежных сямейства каціных.
agentive-physical-object;['анаконда'];Анако́нда — зьмяя з падсямейства ўдаваў.
agentive-physical-object;['амэрыканскія грыфы'];Амэрыка́нскія гры́фы, Катарты́ды, Гры́фы Но́вага Сьвет́у — сямейства птушак з атраду сокалападобных, якія жывуць у раёнах з умераным і трапічным кліматам Паўночнай і Паўднёвай Амэрыкі.
agentive-physical-object;['груган', 'крумкач', 'corvus corax'];Запыт «Груган» перанакіроўваецца сюды.
agentive-physical-object;['глушэц', 'tetrao urogallus'];Глушэ́ц (па-лацінску: Tetrao urogallus) — птушка сямейства цецеруковых атраду курападобных.
agentive-physical-object;['вялікая панда', 'ailuropoda melanoleuca'];Вялі́кая па́нда або бамбу́кавы мядзьве́дзь (па-лацінску: Ailuropoda melanoleuca) — жывёла зь сямейства мядьзведзяў са своеасаблівай чорна-белай афарбоўкай поўсьці, якая валодае некаторымі прыкметамі янотаў.
agentive-physical-object;['каралеўскі грыф'];Каралеўскі грыф (Sarcoramphus papa) — найбольш стракатаафарбаваны від зь сямейства амэрыканскіх грыфаў (Cathartidae).
agentive-physical-object;['каралеўская кобра'];Каралеўская Кобра або Гамадрыяд — найбуйнейшая атрутная зьмяя сьвету, валодае найбольшай даўжынёй сярод ядавітых зьмей.
agentive-physical-object;['кнігаўка'];Кні́гаўка, ка́ня — невялікая птушка сямейства сяўцовых атраду сеўцападобных.
agentive-physical-object;['тыгровая акула'];Тыгро́вая аку́ла — адзін з найбольш распаўсюджаных відаў акул на Зямлі.
agentive-physical-object;['бэркут', 'aquila chrysaetos'];Бэркут, арол-маркут (Aquila chrysaetos) — драпежная птушка сямейства ястрабіных, самы буйны арол.
agentive-physical-object;['сом звычайны', 'звычайны сом', 'эўрапейскі сом'];Звычайны сом, эўрапейскі сом (па-лацінску: silurus glanis) — буйная прэснаводная бязлускавая рыба сямейства сомавыя атраду сомападобныя.
agentive-physical-object;['чарэшня', 'prunus avium'];Чарэшня, вішня птушыная (Prunus avium) — пладовае дрэва падроду вішня парадку ружакветных.
agentive-physical-object;['бук лясны'];Бук лясны, эўрапейскі — лістападнае дрэва сямейства букавых.
agentive-physical-object;['леапард', 'panthera pardus'];Леопард — вялікая драпежная жывёліна сямейства каціных.
agentive-physical-object;['тыгра', 'тыгр', 'panthera tigris'];Тыгр — жывёла зь сямейства каціных.
agentive-physical-object;['panthera uncia', 'uncia uncia'];Panthera uncia — від клясы сысуноў атрада драпежных сямейства каціных.
agentive-physical-object;['буры мядзьведзь', 'мядзьведзь буры', 'эўрапейскі буры мядзьведзь'];Бу́ры мядзьве́дзь (па-лацінску: Ursus arctos) — жывёла зь сямейства мядьзведзяў.
agentive-physical-object;['леў', 'panthera leo'];Леў (па-лацінску: Panthera leo) — від жывёл клясы сысуноў атрада драпежных сямейства каціных.
agentive-physical-object;['гіганцкая акула'];Гіганцкая акула — другі паводле велічыні від рыб пасьля кітовай акулы.
agentive-physical-object;['шуляк-галубятнік', 'цецярук', 'accipiter gentilis'];Шуляк-галубятнік — драпежная птушка роду коршакаў сямейства ястрабіных.
agentive-physical-object;['касматаногі канюк', 'канюк касматаногі'];Касматаногі канюк (па-лацінску: Buteo lagopus) — птушка з атраду сокалападобных (Falconiformes) сямейства ястрабіных (Accipitridae).
agentive-physical-object;['ігуана звычайная', 'iguanidae'];Ігуана звычайная, або зялёная (Iguana iguana) — буйная расьліннаедная яшчарка сямейства ігуанавых, вядзе дзённы дрэўны лад жыцьця.
agentive-physical-object;['белы насарог'];Белы насарог — найбуйнейшы прадстаўнік сямейства насарогаў.
agentive-physical-object;['арангутаны', 'арангутан'];Арангута́ны — род дравесных чалавекападобных малпаў, адны з блізкіх родзічаў чалавека.
agentive-physical-object;['птушка-сакратар'];Пту́шка-сакрата́р — птушка з атрада сокалападобных, адзіны від сямейства сакратароў.
agentive-physical-object;['бусьліныя', 'ciconiidae'];Бусьліныя (па-лацінску: Ciconiidae) — сямейства птушак з атраду буслападобных, якое ахоплівае шэсьць родаў і дзевятнаццаць відаў.
agentive-physical-object;['белагаловы арол', 'haliaeetus leucocephalus'];Белагаловы арол (па-лацінску: Haliaeetus leucocephalus) — драпежная птушка з атраду сокалападобных (Falconiformes), сямейства ястрабіных (Accipitridae).
agentive-physical-object;['лось', 'alces alces'];Лось (Alces alces) — парнакапытны сысун, самы буйны від сямейства аленевых.
