abstract-quality;['ஆளுமை'];ஆளுமை என்பது என்ன என்பது பற்றி உறுதியான எல்லோராலும் ஏற்றுக் கொள்ளப்பட்ட வரையறை இல்லை.
functional-matter;['இயற்கை எரிவளி', 'இயற்கை எரிவாயு', 'இயற்கை வாயு'];இயற்கை எரிவளி அல்லது இயற்கை எரிவாயு என்பது நிலத்தடியில் இருந்து கிடைக்கும் ஒரு புதைபடிவ எரிபொருள்.
functional-matter;['பர்கர்', 'ஹாம்பர்கர்'];ஹாம்பர்கர் அல்லது பர்கர் இருரொட்டிகளுக்கிடையே அல்லது வெட்டப்பட்ட ரொட்டித்துண்டின் இடையே நன்றாக அரைத்த இறைச்சி வைக்கப்பட்ட இடையூட்டு ரொட்டியாகும்.
functional-matter;['கருமுட்டை தூண்டும் வளரூக்கி', 'கருமுட்டை தூண்டும் இயக்குநீர்', 'ஃபாலிக்கிள் செல்களைத் தூண்டிவிடும் ஹார்மோன்'];கருமுட்டை தூண்டும் இயக்குநீர் ஒரு கொனடோடிரோபின் வகை இயக்குநீராகும்.
functional-matter;['லூட்டினைசிங் இயக்குநீர்', 'லூட்டினைசிங் ஹார்மோன்'];லூட்டினைசிங் இயக்குநீர் அல்லது இடையீட்டுச் செல்களைத் தூண்டும் இயக்குநீர் என்பது மனிதரில் காணப்படும் ஒரு கிளைக்கோ புரதத்தால் ஆன ஒரு இயக்குநீராகும்.
functional-matter;['மரகதம்', 'பச்சைக்கல்'];மரகதம் பெரில் வகையைச் சேரந்த ஒரு கனிமம் ஆகும்.
functional-matter;['பசுந்தாள் உரம்', 'பசுந்தழை உரம்'];பசுந்தாள் உரம் அல்லது பசுந்தழை உரம் இயற்கை வேளாண்மையில் முக்கியத்துவம் வாய்ந்ததாகும்.
functional-matter;['அட்ரினோ கார்டிகோடிராபிக் ஹார்மோன்', 'அண்ணீரகப் புறணியூக்க இயக்குநீர்', 'அட்ரினோ கார்டிகோடிராபிக் இயக்குநீர்'];அண்ணீரகப் புறணியூக்க இயக்குநீர் என்று அழைக்கப்படும் இது ஒரு புரத இயக்குநீர் ஆகும்.
functional-matter;['கதிரா'];கதிரா என்பது பல வகையான மத்திய கிழக்கு பயறு வகைகளின் உலர்ந்த சப்பிலிருந்து பெறப்பட்ட ஒரு இயற்கை பசை ஆகும்.
functional-matter;['ஒளியிழை', 'கண்ணாடியிழை', 'ஒளி இழையியல்'];ஒளியிழை அல்லது ஒளிநார் அல்லது கண்ணாடி ஒளியிழை என்பது மயிரிழை போன்ற மெல்லிய நீளமான பொருளின் நடுவே அதன் அச்சுப்பகுதியில் மட்டுமே சென்று ஒளியைக் கடத்தும் இழை.
functional-matter;['ஒளியிழை', 'கண்ணாடியிழை', 'ஒளி இழையியல்'];கண்ணாடியிழை என்பது கண்ணாடியின் சிறு இழைகளால் உருவாக்கப்பட்ட ஒரு பொருள்.
functional-matter;['குவார்ட்சு', 'குவார்ட்ஸ்', 'ஸ்படிகம்'];குவார்ட்சு என்பது புவியின் மேலோட்டில், சிலிக்கேட்டு வகைப் பாறைக் கனிமமாகிய ஃபெல்டுஸ்பாருக்கு அடுத்து மிகவும் அதிகமாகக் கிடைக்கும் கனிமமாகும்.
functional-matter;['கருப்பு நிலக்கரி', 'அன்த்ராசைட்'];கருப்பு நிலக்கரி அல்லது அந்த்ராசைட் ஒரு மிளிர்கின்ற, வலிதான, குறுக்கிய நிலக்கரிக் கனிம வகையாகும்.
functional-matter;['அம்பர்', 'நிமிளை'];அம்பர் என்பது பொன் நிறத்தில் உள்ள ஒரு பொருள்.
functional-matter;['டீசல்'];டீசல் என்பது ஒரு வகை எரிமம்.
functional-matter;['நார்எபிநெப்ரின்'];நார்எபிநெப்ரின், அல்லது நார்அட்ரினலின் என்பது ஒரு இயக்குநீராகவும், நரம்புக்கடத்தியாகவும் செயற்படும் கேட்டகோலமைன் ஆகும்.
functional-matter;['எபிநெப்ரின்', 'அட்ரினலின்', 'அதிரினலின்'];எபிநெப்ரின் அட்ரினலின் என்னும் வேதிப்பொருள் ஒரு இயக்குநீர் மற்றும் நரம்பு பரப்பியாகும்.
functional-matter;['தாவர வளரூக்கி', 'தாவர வளர்ச்சி நெறிப்படுத்தி'];தாவர வளரூக்கி, அல்லது தாவர வளர்ச்சி நெறிப்படுத்தி அல்லது தாவர ஹார்மோன் எனப்படுவன தாவரங்களின் வளர்ச்சியை நெறிப்படுத்தும், வேதிப்பொருட்களால் ஆன ஒருவகை இயக்குநீர் ஆகும்.
functional-matter;['மெத்தை', 'பணியாளர்'];மெத்தை என்பது படுக்கப் பயன்படும் மென்மையான பொருளாகும்.
functional-matter;['மெத்தனால்', 'மெத்தில் ஆல்ககால்', 'எரி சாராயம்', 'மீத்தனால்', 'மெதனோல்'];மெத்தனால் என்பது CH3OH என்ற மூலக்கூற்று வாய்ப்பாடு கொண்ட ஒரு வேதிச்சேர்மமாகும்.
functional-matter;['மதுபானம்', 'மது'];பொதுவாக மது என அறியப்பட்ட எத்தனால் அடங்கிய குடிவகை மதுபானம் என அழைக்கப்படுகிறது.
functional-matter;['லுங்கி', 'சரம்', 'கைலி'];கைலி தெற்காசிய, தென்கிழக்கு ஆசிய நாடுகளிலும் யெமன், ஓமான் போன்ற அரபு நாடுகளிலும் சோமாலியா, எத்தியோப்பியா போன்ற நாடுகளிலுமுள்ள ஆண்கள் இடுப்பில் அணிந்து கொள்ளும் ஆடை ஆகும்.
functional-matter;['மணல்', 'மணல் மண்'];மணல் என்பது, உடைந்த பாறைத் துண்டுகளையும் கனிமத் துணிக்கைகளையும் கொண்ட, இயற்கையில் கிடைக்கும் மணியுருவான பொருள் ஆகும்.
functional-matter;['சிர்க்கோனியம்', 'வன்தங்கம்', 'zr', 'சிர்கோனியம்'];சிர்க்கோனியம் என்பது Zr என்ற மூலக்கூற்று வாய்ப்பாடு கொண்ட ஒரு தனிமமகும்.
functional-matter;['மின்காப்பான்', 'மின்கடத்தான்'];மின்காப்பான் என்பது மின்சாரம் தன் மீது பாய்வதை எதிர்க்கும் பொருள் ஆகும்.
functional-matter;['வெப்ப நெகிழி', 'தெர்மோ பிளாஸ்டிக்'];வெப்ப நெகிழி அல்லது தெர்மோ பிளாஸ்டிக் என்பது வெப்பப்படுத்தும் போது மிருதுவாகி குளிர்விக்கும் போது மீண்டும் கெட்டிப்படும் பொருட்கள்.
functional-matter;['ஒட்டுண்ணிப் புழுவெதிரி'];ஒட்டுண்ணிப் புழுவெதிரிகள் ஒட்டுண்ணிப் புழுக்களுக்கு எதிராகத் தொழிற்பட்டு அவற்றை உணர்வியக்கச் செய்து அல்லது உயிரிழக்கச் செய்து ஓம்புயிரின் உடலில் இருந்து அகற்ற உதவும் மருந்து வகைகளைக் குறிக்கும்.
functional-matter;['வலிநீக்கி'];வலிநீக்கி என்பது, உணர்விழப்பை ஏற்படுத்தாமல் வலி உணர்வைப் குறைப்பதற்காகப் பயன்படுத்தப்படும் பல்வேறுவகையான மருந்து வகைகளுள் ஏதாவது ஒன்றைக் குறிக்கும்.
functional-matter;['மதிய உணவு'];மதிய உணவு என்பது பகல் பொழுதில் எடுத்துக் கொள்ளப்படும் உணவாகும்.
functional-matter;['புட்பராகம்'];புட்பராகம், நவரத்தினங்களுள் ஒன்றான இது ஒரு அலுமினியம் மற்றும் புளோரின் ஆகியவற்றின் சிலிகேட் தாதுவால் ஆனது.
functional-matter;['வெண்களிமண்'];கயோலினைட்டு,என்பது ஒருவகையான களிமண் கனிமமாகும்.
functional-matter;['டால்க்'];டால்க் என்பது மக்னீசியமும் சிலிக்கானும் சேர்ந்துள்ள ஒரு மென்மையான கனிமம்.
functional-matter;['தோர்ட்வெய்தைட்டு', 'sc,y)2si2o7'];தோர்ட்வெய்தைட்டு என்பது 2Si2O7 என்ற மூலக்கூற்று வாய்ப்பாடு கொண்ட ஒரு கனிமம் ஆகும்.
functional-matter;['வெடிமருந்து', 'வெடிமருந்தை'];வெடிமருந்து என்பது மிகப் பழைய வேதியியல் வெடிபொருளாகும்.
functional-matter;['உள்வைப்பு'];உள்வைப்பு என்பது, சில உணவு வகைகளில் உள்வைக்கப்படும் ஒரு உணவுப் பொருள் ஆகும்.
functional-matter;['மெஃபெனமிக் காடி'];மெஃபெனமிக் காடி ஒரு அழற்சிக்கு எதிரான இயக்க ஊக்கிகள் இல்லாத மருந்துகள் பகுப்பில் அடங்கும் மருந்து ஆகும்.
functional-matter;['ஐப்யூபுரூஃபன்', 'c13h18o2'];ஐப்யூபுரூஃபன் என்பது ஸ்ட்டீராய்டு அல்லாத, அழற்சியைத் தடுக்கின்ற மருந்து ஆகும்.
functional-matter;['தலைப்புப் பக்கம்'];தலைப்புப் பக்கம் என்பது, ஒரு நூல், ஆய்வுக் கட்டுரை அல்லது பிற எழுத்தாக்கங்களின் முதலில் அல்லது முன்புறத்துக்கு அண்மையில் காணப்படும் ஒரு பக்கம்.
functional-matter;['பரவளைவுத் தெறிப்பி', 'பரவளைவு ஆடி'];பரவளைவுத் தெறிப்பி என்பது, பரவளைவு வடிவில் அமைந்த ஒரு தெறி கருவி ஆகும்.
functional-matter;['பனிக்கூரி'];ஏதாவது ஒர் பொருளிலிருந்து நீரானது துளித்துளியாகச் சிந்தும்போது அந்த நீர் உறையுமாயின், சிந்தும் நீர் ஈட்டி போன்ற, கூரான திண்ம தோற்றத்தைப் பெறும்போது, அது பனிக்கூரி என அழைக்கப்படும்.
functional-matter;['செக்கிரெடின்'];செக்கிரெடின் என்னும் இயக்குநீரானது இரைப்பை மற்றும் கணையத்தின் சுரப்புகளைக் கட்டுபடுத்துவதன்மூலம் முன்சிறுகுடல் நிகழ்வுகளையும், உடல் முழுவதும் நீர்ச்சம நிலையையும் ஒழுங்குப்படுத்துகிறது.
functional-matter;['எரிநெய்'];எரிநெய் என்பது பெட்ரோலியம் துளித்தெடுப்பு வழியாக ஒரு துளிப்பாகவோ அடிவண்டலாகவோ பிரித்து எடுக்கப்படும் ஒரு பின்னக்கூறு ஆகும்.
functional-matter;['சாணம்'];சாணம் அல்லது சாணி என்பது கால்நடையான மாட்டினுடைய கழிவினைக் குறிப்பதாகும்.
functional-matter;['கதலை'];கதலை அல்லது என்ற இந்த தாவரம் ஒரு பூக்கும் தாவரம் ஆகும்.
functional-matter;['சணல்', 'வசீகரி'];, சணல், அல்லது தொழில்சார் சணல், என்பது சணவிசு சத்தைவா எனும் தாவரச் சிற்றினத்தின் வகையாகும்.
functional-matter;['ஆக்சின்', 'ஆக்ஸின்'];ஆக்சின்கள் தாவர வளரூக்கிகளில் ஒரு வகை.
functional-matter;['பூச்சு', 'சுண்ணாம்புக்கலவை'];பூச்சு என்பது சுவர்கள் மற்றும் கூரைகக்கு மேலுறையாக அல்லது மேற்பூச்சாகப் பயன்படுத்தப்படும் ஒரு கட்டுமானப் பொருள் ஆகும்.
functional-matter;['நச்சுப்பொருள்'];நச்சுப்பொருள் என்பது உயிருள்ள உயிரணுக்கள், அல்லது உயிரினங்களால் உருவாக்கப்படும் நஞ்சு பதார்த்தங்கள் ஆகும்.
functional-matter;['ஈயக் கார்பனேட்டு'];ஈயக் கார்பனேட்டு என்பது PbCO3 என்ற மூலக்கூறு வாய்பாடு கொண்ட ஒரு வேதியல் சேர்மமாகும்.
functional-matter;['லைசெர்ஜிக் ஆசிட் டைதைலமைடு', 'ஆளும்தன்மை', 'எல்எஸ்டி'];லைசெர்ஜிக் ஆசிட் டைதலமைடு பேச்சுவழக்கில் ஆசிட், என்பது செயற்கையாக உருவாக்கப்பட்ட இல்பொருள் தோற்றம் உருவாக்குகின்ற ஓர் போதை மருந்து ஆகும்.
functional-matter;['நீலக்கல்', 'நீலம்', 'நீல மணி'];நீலம் அல்லது நீலக்கல் நவரத்தினங்களுள் ஒன்று.
functional-matter;['விலங்கு ஊன்பசை'];விலங்கு ஊன்பசை என்பது விலங்கின் இணைப்பிழையத்தை நெடுநேரம் கொதிக்க வைப்பதன்மூலம் பெறப்படும் ஓர் ஒட்டும் பொருள் ஆகும்.
functional-matter;['தீநுண்ம எதிர்ப்பி', 'இன்டெர்ஃபெரான்'];தீநுண்ம எதிர்ப்பிகள் இன்டெர்ஃபெரான்கள் என்பவை தீ நுண்மங்கள், பாக்டீரியா, ஒட்டுண்ணிகள் அல்லது கட்டி உயிரணுக்கள் போன்ற நோய்க்காரணிகளுக்கெதிராக ஓம்புயிரினால் உருவாக்கப்பட்டு வெளியிடப்படும் புரதங்களாகும்.
functional-matter;['சீசியம்', 'சீரிலியம்', 'cs'];சீசியம் ஒரு வேதியியல் தனிமம்.
functional-matter;['தோரைட்டு'];தோரைட்டு என்பது Th,U
functional-matter;['பொன் வெள்ளைக் கல்', 'கனகம்'];கனகம் என்பது BeAl2O4 என்ற வறையறை கொண்ட ஓரு பெரிலிய அலுமினியம் ஆகும்.இக்கல்லின் ஆங்கிலப் பெயரான "chrysoberyl" என்பது கிரேக்க மொழியில் இருந்து கிடைத்தது.
functional-matter;['செர்மானைட்'];செர்மானைட் என்பது Cu26Fe4Ge4S32.
functional-matter;['அர்கைரோதைட்டு'];அர்கைரோதைட்டு என்பது Ag8GeS6 என்ற மூலக்கூற்று வாய்ப்பாட்டால் விவரிக்கப்படும் ஒரு கனிமமாகும்.
functional-matter;['துண்டு', 'துவாலை', 'துவாய்'];துண்டு என்பது துடைக்கவும் உலர்த்தவும் பயன்படும் துணியாலான பொருளாகும்.
functional-matter;['செந்நிறக் களிமண்', 'செந்நிற களிமண்'];செந்நிறக் களிமண் இதை செம்புரைக்கல், செம்பாறாங்கல், சிவப்பு கப்பிக்கல் என்றும் அழைப்பர்.
functional-matter;['காங்கோ சிவப்பு'];காங்கோ சிவப்பு என்பது இரண்டாம் நிலை டை அசோ சாயம்.
functional-matter;['கற்பூரம்'];கற்பூரம் என்பது மெழுகு போன்ற, வெள்ளை நிறம் கொண்ட அல்லது ஒளி ஊடுருவக் கூடிய மிகுந்த இனிய நறுமணம் கொண்ட திடப்பொருளாகும்.
functional-matter;['சாணைக்கல்'];சாணைக்கல் என்பது, கத்தி முதலியவற்றைத் தீட்டிக் கூராக்குவதற்குப் பயன்படும் ஒரு கருவியாகும்.
functional-matter;['கரிசல் மண்', 'கரிசல்மண்'];கரிசல் மண் என்பது ஒரு வகை மண்.
functional-matter;['மிட்டாய்'];மிட்டாய் என்பது சர்க்கரையை முதன்மை மூலப்பொருளாகக் கொண்ட இனிப்பு வகையாகும்.
functional-matter;['தாலிடோமைடு'];தாலிடோமைடு பிந்தைய 1950களில் கருவுற்றோரின் காலை நேரத்து வாந்தியுணர்வை எதிர்கொள்ளவும் உறக்கத்தைத் தூண்டவும் அறிமுகப்படுத்தப்பட்ட ஓர் மயக்க மருந்து ஆகும்.
functional-matter;['சுண்ணக்கல்', 'சுண்ணப்பாறை', 'சுண்ணாம்பு', 'சுண்ணாம்பு கல்', 'சுண்ணாம்புக் கல்'];சுண்ணக்கல் என்பது ஒரு வித படிவப்பாறை ஆகும்.
functional-matter;['மணற்கல்'];'மணற்கல் என்பது, மணல் அளவுள்ள கனிமம் அல்லது பாறைத் துகள்களினால் உருவான படிவுப் பாறை ஆகும்.
functional-matter;['களிப்பாறை'];களிப்பாறை என்பது மெல்லிய களிமண் துண்டுகளும், குவார்ட்சு, கேல்சைட்டு போன்ற பிற கனிமங்களின் சிறு துண்டுகளும் சேர்ந்து இறுகிய ஒருவகையான படிவுப்பாறை ஆகும்.
functional-matter;['படிவரை தாள்'];படிவரை தாள் என்பது ஒரு வகை ஒளிகசியவிடும் தாள் ஆகும்.
functional-matter;['காக்டெய்ல்கள்'];காக்டெயில் என்பது ஒரு மதுபானங்கள் கலந்த குடிவகையாகும்.
functional-matter;['காலக்டோசு'];காலக்டோசு குளுக்கோசைவிட இனிப்பு குறைந்த சர்க்கரையாகும்.
functional-matter;['இழை', 'நாரிழை'];நாரிழை அல்லது இழை என்பது நீளமான நூல் போன்ற ஒரு வகை மூலப்பொருள்.
functional-matter;['ஜெர்சி துணி', 'jersey'];ஜெர்சி துணிகள் என்பவை ஒருவகைத் துணியாகும்.
functional-matter;['சோப்புக்கல்'];சோப்புக்கல் என்பது ஒரு உருமாறிய பாறை ஆகும்.
functional-matter;['சீசியம்', 'சீரிலியம்', 'cs'];சீசியம் ஒரு வேதியியல் தனிமம்.
functional-matter;['கழிவறை துடைத்தாள்'];கழிவறை துடைத்தாள் மனிதர் மலம் அல்லது சிறுநீர் கழித்தபின் தங்களது சுகாதாரம் பேணுவதற்காக பயன்படுத்தும் ஓர் மெல்லிழைத் தாளினாலான துடைப்பானாகும்.
functional-matter;['வெள்ளி', 'ag'];வெள்ளி (ஜெர்மன்: Silber, பிரெஞ்சு: Argent, ஸ்பானிஷ்: Plata, ஆங்கிலம்: Silver, சில்வர் (IPA: /ˈsɪlvə(ɹ)/) ஒரு வேதியியல் தனிமம்.
functional-matter;['பாலாடைக்கட்டி', 'கேசம்', 'பாலாடைக் கட்டி'];பாலாடைக்கட்டி பாலிலிருந்து உருவாக்கப்படும் ஒரு திட உணவாகும்.
functional-matter;['கைக்குட்டை'];கைக்குட்டை, சதுர வடிவிலான ஒரு துணி ஆகும்.
functional-matter;['கார்த்திகை', 'கார்த்திகை பெண்கள்'];கார்த்திகை என்பது ஒரு விண்மீன் கூட்டத்திற்கு பெயர்.
functional-matter;['பலகை'];பலகை என்பது மரங்களை தறித்து, அரிந்து பெறப்படுபவையாகும்.
functional-matter;['பைஞ்சுதை', 'காங்கிறீட்டு', 'காங்கிறீற்று', 'கான்கிரீட்'];பைஞ்சுதை சீமந்துக் கொங்கிறீற்று கற்காரை என்பது சிமெண்ட், நுண் சேர்பொருள், பருமனான சேர்பொருள், நீர் மற்றும் பிற மூலப் பொருட்களைக் கொண்டு குறிக்கப்பட்ட அளவுகளில் கலந்து, உருவாக்கப்படும் ஒரு கட்டிடபொருள் ஆகும்.
functional-matter;['குறைகடத்தி', 'குறைக்கடத்தி', 'அரைமின்கடத்தி', 'குறைக் கடத்தி', 'குறைமின்கடத்தி', 'செமிகண்டக்டர்'];குறைகடத்தி அல்லது குறைக்கடத்தி என்பது சில வகை மாசுகளை ஊட்டுவதால் மின்கடத்துத்திறனில் மாறுபாடு ஏற்படும் திண்மப்பொருள் ஆகும்.
functional-matter;['வெடிபொருள்', 'வெடிப்பு', 'வெடிபொருட்கள்'];வெடி அல்லது வெடிபொருள் என்பது, வேதியியல் அல்லது வேறு வகையில், ஆற்றல் அடிப்படையில் உறுதியற்ற. அல்லது, பற்றவைக்கும்போது வெப்ப உருவாக்கத்துடனும், அதிக அழுத்த மாற்றங்களுடனும் சடுதியாக விரிவடைகின்ற ஒரு பொருளாகும்.
functional-matter;['சாயமூன்றி'];சாயமூன்றி அல்லது சாய நிலைநிறுத்தி என்பது சாயத்தை துணி இழை போன்ற திசுக்களில் நன்றாக இறுகச் செய்வதற்கு பயன்படுத்தப்படும் வேதிப் பொருள் ஆகும்.
functional-matter;['தடுப்பு மருந்து', 'தடுப்பு'];தடுப்பு மருந்து என்பது ஒரு நோய்க்கு எதிரான நோய் எதிர்ப்பாற்றல் முறைமையை ஊக்குவிக்கும் நோய்க்காரணிப் புரதத் தயாரிப்பு ஆகும்.
functional-matter;['இனிப்பு-விருந்துக்குப் பின்'];இனிப்பு என்பது ஒரு முக்கிய உணவை முடிக்கும் ஒரு மிட்டாய் தயாரிப்பு.
functional-matter;['தேன்'];தேன் ஓர் இனிய உணவுப்பொருள் ஆகும்.
functional-matter;['கொந்தர்', 'குறும்பர்'];கொந்துதல் செய்பவர் கொந்தர் அல்லது குறும்பர் என அழைக்கப்படுவார்.
functional-matter;['கரிமத்தாள்'];கரிமத்தாள் என்பது காய்ந்த மையோ அல்லது ஒருவித மெழுகுடன் சேர்ந்த நிறமியோ ஒரு பக்கம் மட்டும் தடவப்பட்ட ஒருவகைக் காகிதம் ஆகும்.
functional-matter;['தைலக்களிம்பு'];தைலக்களிம்பு என்பது பெட்ரோலியப் பாகிலிருந்து தயாரிக்கப்படும் ஒரு நீர்மக்கரிமங்களின் கலவை.
functional-matter;['டயசெபம்', 'வேலியம்'];டயசெபம், முதலில் வேலியம் என்று அறிமுகப்படுத்தப்பட்ட பென்சோடயசெபைன் மருந்தாகும்.
functional-matter;['சூரியகாந்திக் கல்'];சூரியகாந்திக் கல் என்பது ஒரு குறிப்பிட்ட பகுதியில் இருந்து பார்க்கும்போது பிரகாசமாக தோற்றத்தை வெளிப்படுத்தும் ஓர் பிளயியோனிளஸ் ஃபெல்ட்ஸ்பார் ஆகும்.
functional-matter;['சந்திரகாந்தம்'];சந்திரகாந்தம் அல்லது நிலாக்கல் அல்லது நிலவுக்கல் என்பது சோடியம் பொட்டாசியம் அலுமினியம் சிலிக்கேட் கொண்ட, வேதியியல் வாய்ப்பாடு AlSi3O8 உடைய கனிமம் ஆகும்.
functional-matter;['சாயம்', 'சாயமேற்ற'];சாயம் என்பது பொதுவாக ஒரு நிறமேற்றப்பட்ட பொருளாக அறியப்படுகிறது, இது எந்த பொருளோடு பயன்படுத்தப்படுகிறதோ அதனோடு ஒன்றுகலந்துவிடும் இயல்பைக் கொண்டிருக்கின்றது.
functional-matter;['திசுநீர் தேக்கி', 'திசுநீர்த்தேக்கி'];திசுநீர் தேக்கி அண்மையில் நடக்கும் எதிர்ப்பு வினைகளில் பங்குபெறும் ஒரு கரிம நைட்ரசன் சேர்மமாகும்.
functional-matter;['உயிர்ச்சத்து சி', 'அசுக்கோபிக் அமிலம்', 'வைட்டமின் சி', 'விட்டமின் சி'];உயிர்ச்சத்து சி அல்லது எல்.
functional-matter;['பான்டோதெனிக் அமிலம்', 'உயிர்ச்சத்து பி5', 'பன்டோதீனிக் அமிலம்'];பான்டோதெனிக் அமிலம் என்னும் நீரில் கரையும் உயிர்ச்சத்தானது, பான்டோதெனேட் உயிர்ச்சத்து பி5 என்றும் அழைக்கப்படுகிறது.
functional-matter;['பெட்ரோல்', 'ரோந்து', 'கல்நெய்', 'காசலின்', 'பெற்றோல்', 'கன்னெய்'];கல்லெண்ணெய் அல்லது பெட்ரோல் என்பது பெட்ரோலியம் எனப்படும் பாறை எண்ணெயில் இருந்து பெறப்படும் ஒரு ஒளியூடுபுகவிடும் திரவமாகும்.
functional-matter;['குளோரோஃபார்ம்', 'குளோரோபாரம்', 'குளோரோஃபோம்'];குளோரோபாரம் அல்லது முக்குளோரோமீத்தேன் என்பது ஒரு நிறமற்ற, இனிய மணம் உள்ள அடர்த்தியான கரிமச் சேர்மம் ஆகும்.
functional-matter;['இல்மனைட்', 'இல்மனைட்டு'];இல்மனைட் எனும் கரிய நிற கனிமம்தான் டைட்டானியம் டை ஆக்ûஸடு எனும் வெள்ளை நிற நிறமியின் மிக முக்கிய தாதுப்பொருள்.
functional-matter;['சீனி', 'சர்க்கரை', 'சக்கரை', 'அஸ்கா சர்க்கரை', 'வெள்ளைச் சர்க்கரை'];சீனி சிறிய கட்டிகளால் ஆன திண்மப் பொருளாகும்.
functional-matter;['பால்', 'பால'];பால் என்பது பாலூட்டி வகையைச் சேர்ந்த குட்டியீன்ற தாயின் பால் சுரப்பிகளில் சுரக்கும் ஒரு சத்துள்ள திரவமாகும்.
functional-matter;['இலித்தியம் கார்பனேட்டு'];இலித்தியம் கார்பனேட் ஒரு கனிமச் சேர்மம் ஆகும்.
functional-matter;['தைட்டானியம் ஈராக்சைடு', 'டைட்டானியம் ஈராக்சைடு'];தைட்டானியம் ஈராக்சைடு, தைட்டானியம் ஆக்சைடு அல்லது தைட்டானியா எனவும் அழைக்கப்படும் தைட்டானியத்தின் ஆக்சைடு ஆகும்.
functional-matter;['மக்னீசியம் ஆக்சைடு'];மக்னீசியம் ஆக்சைடு அல்லது மக்னீசியா என்பது ஒரு வெண்மை நிற நீர் உறிஞ்சும் திறன் உடைய திடக் கனிமம் ஆகும்.
functional-matter;['திமிங்கில எண்ணெய்'];திமிங்கில எண்ணெய் என்பது திமிங்கில கொழுப்புக்களில் பெறப்படும் எண்ணெய் ஆகும்.
functional-matter;['அபினி', 'அபின்', 'ஓபியம்'];அபின் என்பது போதையூட்டுகிற, வலிநீக்கி மருந்துப்பொருள் ஆகும்.
functional-matter;['கார்ட்டிசால்'];கார்ட்டிசால் என்பது அட்ரினல் சுரப்பியால் சுரக்கப்படும் ஒரு ஸ்டீராய்டு இயக்குநீர் ஆகும்.
functional-matter;['லின்டேன்'];லின்டேன், காமா எக்சாகுளோரோ சைக்குளோயெக்சேன், காமாசேன், காமாலின் என்றும், தவறாக பென்சீன் எக்சாகுளோரைடு என்றும் அழைக்கப்படுகிறது.
functional-matter;['குமிஸ்'];குமிஸ்
functional-matter;['மார்ஃபீன்', 'மார்ப்பின்'];மார்ஃபீன்
functional-matter;['நிக்காட்டீன்', 'நிக்காட்டின்'];நிக்காட்டீன் அல்லது நிக்கோட்டீன் எனப்படுவது, சில தாவர வகைகளில், சிறப்பாகப் புகையிலையிலும், சிறிய அளவில் தக்காளி, உருளைக்கிழங்கு, கத்தரி, பச்சை மிளகு போன்றவற்றிலும் காணப்படுகின்றது.
functional-matter;['ஆஸ்பிரின்', 'அசிட்டைல் சாலிசிலிக் அமிலம்', 'அசுப்பிரின்'];ஆஸ்பிரின் அல்லது அசட்டைல்சலிசைலிக் அமிலம் என்பது சலிசைலேட்டுகள் குடும்பத்தைச் சேர்ந்த ஒரு மருந்து ஆகும்.
functional-matter;['பாராசித்தமோல்', 'paracetamol', 'பாராசிட்டமால்', 'பாராசிட்டமொல்'];பாராசித்தமோல் அல்லது அசட்டாமினோபென் பொதுவான, வலிநீக்கி மற்றும் காய்ச்சலடக்கி மருந்து ஆகும்.
functional-matter;['சிற்பத்தூண்'];சிற்பத்தூபி
functional-matter;['தோல்சரக்கு நுட்பியல்'];தோல் பதனிடல், சாயம் ஏற்றுதல், தோல் பொருட்களை உற்பத்தி செய்தல் போன்ற நுட்பங்களை தோல்சரக்கு நுட்பியல் ஆய்ந்து பயன்படுத்துகின்றது.
functional-matter;['அழற்சிக்கு எதிரான இயக்க ஊக்கிகள் இல்லாத மருந்துகள்', 'அழற்சிக்கு எதிரான இசுட்டீரோய்டு இல்லாத மருந்துகள்', 'இசுடீரோய்டு அல்லாத அழற்சிக்கு எதிரான மருந்துகள்'];அழற்சிக்கு எதிரான இயக்க ஊக்கிகள் இல்லாத மருந்துகள் அல்லது அழற்சிக்கு எதிரான இசுட்டீரோய்டு இல்லாத மருந்துகள் என அழைக்கப்படுபவை வலியைப் போக்கும் வலிநீக்கியாகவும், காய்ச்சலைக் குறைக்கும் காய்ச்சலடக்கியாகவும், அதிகமான அளவுகளில் அழற்சியைக் கட்டுப்படுத்துவதாகவும் காணப்படும், இயக்க ஊக்கிகளுக்குரிய மூலக்கூறுகளைக் கொண்டிராத மருந்துகள் ஆகும்.
functional-matter;['அல்ப்பிரசோலம்', 'அல்பிரஸோலம்'];அல்ப்பிரசோலம் என்பது உளவியல் நோய்களுக்கும், இடர்களுக்கும் தரும் வேதியியல் அடிப்படையிலான ஒரு மருந்துப்பொருள்.
functional-matter;['அமாக்சிசிலின்'];அமாக்சிசிலின் ஒரு நுண்ணுயிர்க்கொல்லி ஆகும்.
functional-matter;['டெட்ராசைக்ளின்'];டெட்ராசைக்ளின், இழைபாக்டீரியாக்கள் என்னும் பேரினத்தைச் சார்ந்த இஸ்ட்ரெப்ட்டோமைசெஸ் பாக்டீரியாக்களால் உருவாக்கப்படும் பல்முனைத்திறனுள்ள எதிருயிரியாகும்.
functional-matter;['குளோரோகுயின்'];குளோரோகுயின் என்பது பிரதானமாக மலேரியாக்கு எதிராகப் பயன்படுத்தப்படும் ஒரு மருந்தாகும்.
