abstract-region;['多項式'];多項式，零或單項式之和也。
event;['奧林匹克運動會', '北京奧運會', '奧林匹克世界運動大會', '奧林匹克大會', '奧運', '奧運會', '第二十九屆夏季奧林匹克运动会', '第二十九屆夏季奧林匹克運動會'];奧林匹克運動會，古希臘人以娛神也，今則為萬國競技之高會。
functional-matter;['鮨', 'sushi', '壽司'];鮨者，和食也。
functional-matter;['刺身', 'sashimi'];刺身さしみ，和食也。
functional-matter;['鍺', 'г'];鍺者（化學符號：Ge、原子序：卅二，洋謂Germanium），化學元素也，屬類金屬。
functional-matter;['玻璃'];玻璃者，自成一態，形無定。
functional-matter;['疊氮酸', '疊氮化氫'];疊氮酸者，亦稱疊氮化氫，式書HN3，無官也。
functional-matter;['銅', 'cu'];銅者，化學元素也，符號Cu，原子序廿九，屬過渡金屬、五金。
functional-matter;['漢堡包'];漢堡包者，西洋快餐也，類中國之肉夾饃。
functional-matter;['光纖', '光纜'];光纖，或云光導纖維、光學纖維，其實光波導也。
functional-matter;['酒'];酒者，內有酒精，所以飲也。
functional-matter;['銫', 'cs'];銫者（化學符號：Cs、原子序：五十五），化學元素也，屬鹼金屬，第六週期元素也。
functional-matter;['麵'];麵，食也。
functional-matter;['銫', 'cs'];銫者（化學符號：Cs、原子序：五十五），化學元素也，屬鹼金屬，第六週期元素也。
functional-matter;['銀'];銀者（化學符號：Ag、原子序：四十七），化學元素也，屬過渡金屬、五金之類。
functional-matter;['墓碑'];墓碑，立于墓前之碑石也，以鑒乎墓中之故者。
functional-matter;['薯片'];薯片者，馬鈴薯製之小食也。
functional-matter;['爐甘石'];爐甘石，礦也，多為碳酸鋅或矽酸鋅，與菱鋅礦同成分。
functional-matter;['乳', '乳汁', '奶'];乳者，亦稱乳汁，俗作奶，哺乳動物皆有之，蓋其所賴以飼子孫者也，乳皆出雌性，乳腺之精華也。
functional-matter;['冰毒', 'c10h15n'];甲基苯丙胺者，毒品也，俗称冰毒。
functional-matter;['阿司匹靈', '阿司匹林', '阿斯匹林'];阿司匹靈，一譯阿司匹林，即乙酰水楊酸，化學式「碳九氫八氧四」（C9H8O4），構造「碳氫三碳氧氧碳六氫四碳氧氧氫」（CH3COOC6H4COOH），鎮痛解熱之藥也。
functional-matter;['瑪瑙'];瑪瑙，石英類礦物也，與玉髓同質，時有赤、白、灰各色相間，成平行層，多圓形，常中空，水晶簇生其中，品類甚多，中國有之。
functional-matter;['香料'];凡物有香而可以爲人用者曰香料。
functional-matter;['發翔羽', 'flight feather', '撥風羽', '舵羽', '風切羽', '飛羽'];發翔羽，亦曰撥風羽、風切羽，鳥之翼尾羽也，狀長實。
functional-matter;['可樂'];可樂者，飲也。
functional-matter;['豆腐', 'tofu'];豆腐，素食也。
functional-matter;['筍'];筍亦作笋，竹芽也，又謂竹萌、竹胎、竹子等。
functional-matter;['溲'];溲，乃新陳代謝之副產物，多呈黃，內含水及溲素居多矣。
functional-matter;['豚肉'];夫豚肉者，豚所出也。
functional-matter;['乳', '乳汁', '奶'];乳者，亦稱乳汁，俗作奶，哺乳動物皆有之，蓋其所賴以飼子孫者也，乳皆出雌性，乳腺之精華也。
functional-matter;['牛乳', '駝酪'];牛乳，亦稱駝酪，色白，所以飲。
functional-matter;['熬稃', '孛婁', '爆穀', '爆米花', '糯米花'];熬稃，炒糯穀也。
functional-matter;['饔'];饔者，朝之食也。
functional-matter;['乙醇', '酒精'];乙醇，醇類也，式CH3CH2OH。
functional-matter;['食鹽', '氯化鈉'];食鹽者（化學式：NaCl、化學之名：氯化鈉），離子化合物也，又曰鹽。
functional-matter;['紅酒'];紅酒者，酒也。
genetic-collective;['哈布斯堡氏', '哈布斯堡皇朝'];哈布斯堡氏（德文：Habsburg、Hapsburg），歐洲貴族也。
geographical-object;['義大利半島', '亞平寧半島'];義大利半島，或謂之亞平寧半島，南歐三大半島之一也，其狀如靴，深嵌於地中海。
geographical-object;['中華民國', '中华民国'];中華民國，在亞東之極，宣統三年革清舊命而立，是爲民國元年。
geographical-object;['群島', '列島', '多島海', '島羣', '島群'];群島者，溟海之內，諸島相綴之謂。
geographical-object;['福克蘭群島', '馬爾維納斯群島'];福克蘭群島，在南大西洋，屬英國，首府斯坦利港。
geographical-object;['夏威夷群島'];夏威夷（英文：Hawaii，夷文：Hawaiʻi），北太平洋中諸島也。
geographical-object;['洋', '大洋'];洋，海之大者也。
geographical-object;['大洋洲', '澳大拉西亞洲'];大洋洲，在亞洲之南，東望南太平洋，南及南冰洋，西抵印度洋。
geographical-object;['巴爾幹半島', '巴爾幹'];巴爾幹半島，南歐三大半島之一。
geographical-object;['密西西比河'];密西西比河（英文：Mississippi River），大河也。
geographical-object;['黃河', '河', '河水'];河水出巴顏喀剌山瑪曲，長五千四百六十四公里，天下第六，亞於西伯利亞葉塞尼河，居次於中華。
geographical-object;['伊比利半島', '伊比利亞半島'];伊比利半島，或曰伊比利亞半島，同南歐三大半島之一也。
geographical-object;['白令海峽'];白令海峽者，間於亞洲極東迭日湼夫角與美洲極西威爾斯王子角之海峽，寬八十五公里，水深卅至五十公尺。
geographical-object;['南海', 'laut china selatan', 'nan zhong guo hai', 'south china sea', '南中國海'];南海，亦名南中國海，位中國之南。
geographical-object;['鯨海', '日本海', '朝鮮東海'];鯨海，今多稱日本海，朝鮮稱東海，在西太平洋，日本之西、庫頁島之南、寧古塔之東。
geographical-object;['朝鮮半島', '韓半島'];朝鮮半島（韓文︰조선반도），又名韓半島（韓文︰한반도），位亞細亞東北，爲亞洲四大半島之一。
geographical-object;['南極洲', '南极洲'];南極洲，方千四百四十萬公里，七洲中列第五。
geographical-object;['澳大拉西亞'];澳大拉西亞（拉丁語：Australasia），謂之大洋洲一隅，諸如澳洲、紐西蘭之太平洋島嶼。
geographical-object;['北冰洋'];夫北冰洋者，蓋世界七大洋之一也。
geographical-object;['亞美利加洲', '亞墨利加', '亞墨利加洲', '亞美利加', '北美洲', '南美洲', '美洲', '阿美利加洲'];亞美利加洲，簡稱美洲，分有南北二部，間或有取其中為一部者。
geographical-object;['東海'];東海者，大陸東太平洋西之緣海也。
geographical-object;['黃海'];黃海亦為一明人之名，欲知其事，請閱其傳。
geographical-object;['鴨綠江'];鴨綠江，古曰馬訾水，出長白山天池，長七百九十五公里，秒千四十立方公尺。
geographical-object;['休倫湖'];休倫湖（英語：Lake Huron）者，北美洲五大湖之一也，居美國密西根州、加拿大安大略省間。
geographical-object;['多瑙河'];多瑙河，出德國黑森林地。
geographical-object;['格陵蘭'];格陵蘭（格陵蘭文：Kalaallit Nunaat，丹麥文：Grønland），在北冰洋，今屬丹麥。
geographical-object;['太平洋', '大洋海', '太平海', '東洋大海'];太平洋，亦曰大洋海、東洋大海、太平海，舉世之首洋也。
geographical-object;['馬略卡島'];馬略卡島者，巴厘亞利群島之尚大嶼也。
geographical-object;['本州', 'honshū', '本州島'];本州島居日本海與太平洋間，世界第七大島也。
geographical-object;['長江', '江', '江水', '长江'];古稱江水，出唐古拉山各拉丹東姜根迪如。
geographical-object;['北海道'];北海道在日本之至北，西臨日本海、東望太平洋、北接鄂霍次克海間，兼轄北方四島（今為俄國所據）。
geographical-object;['尼亞加拉瀑布', '尼亞加拉大瀑布', '尼亞瓜拉大瀑布', '尼亞瓜拉瀑布'];尼亞加拉瀑布位處美國、加拿大之界，以山羊島為中分，美境内稱美国瀑布，寬三百六十一米，加境内稱馬‎蹄形瀑布，寬七百九十二米，故總寬一千一百五十三米，高五十二米，源于尼亞加拉河，常年水豐，旅者不絕。
gestalt;['圓錐曲線'];圓錐曲線者，一名割錐，平切圓錐所出之曲線也。
gestalt;['正方形'];正方形者，簡曰方。
gestalt;['橢圓'];橢圓者，長圓也，圓錐曲線之一。
gestalt;['多邊形', '正多邊形'];多邊形，幾何之本也，閉合數線而成。
gestalt;['四邊形'];四邊形，幾何之本也，為四線段相接所成者。
gestalt;['拋物線', 'parabolă', '抛物線'];拋物線者，一名畢弗，平方函數之易也，亦圓錐曲線耳。
gestalt;['雙曲線'];雙曲線者，一名撥弨，倒數函數之易也，亦圓錐曲線耳。
information-object;['雙唇音'];雙唇音，於雙唇調音之輔音也。
information-object;['元音'];元音，又稱母音，語音之屬也。
information-object;['輔音'];輔音，又稱子音，語音之屬也。
information-object;['藁人之謬'];藁人之謬，英文曰Straw Man或曰Aunt Sally，謬之一種也。
information-object;['譯', '繙譯', '翻譯'];譯卽易，謂換易言語，相謄釋而通之也。
information-object;['證明'];證明者，辨一命題之正誤也。
information-object;['姓氏', '姓'];姓氏，人所以分宗族，定倫理者也。
information-realization;['論語'];《論語》者，孔子應答弟子、時人及弟子相與言而接聞。
information-realization;['和弦'];和弦，數音齊鳴之謂也，自兩音而起，無定數，分異名殊，以和曲韻，為泰西樂律（以下所謂樂律皆泰西系樂律也，與古者所謂樂律、律呂區別）之一端，屬和聲學。
information-realization;['講'];夫西哲之謂講，文之式也。
information-realization;['文字'];文字，以紋誌事也。
information-realization;['盲文'];盲文者，瞽者之文也，乃法國人路易斯·布萊葉所創。
information-realization;['十六進制'];十六進制者，基數自十六也，實屬 2 4 {\displaystyle 2^{4}} 進制，故常用於信息技術。
information-realization;['百科全書', '嬰塞覺羅辟的亞', '學郛', '智環', '百科', '百科事典'];百科全書者，西文曰嬰塞覺羅辟的亞，正譯曰智環，或曰學郛。
information-realization;['國際歌'];國際歌，一八七一年，由巴黎公社之委員歐仁鮑迪埃作詞，共產黨人迪蓋特作曲也。
information-realization;['官能團', '官能基'];官能團者，又曰官能基、功能團，賦性官品之原子、原子團也。
information-realization;['國歌'];國歌者，乃示國人之愛國且政府法之者之歌也。
information-realization;['尺牘', '奏箋', '書信', '書簡'];尺牘，作圖文於紙，以遣情意也。
information-realization;['期貨'];期貨，定契約所以互易於他時也。
information-realization;['繪畫'];畫者，所以象形描物也。
information-realization;['俳句', 'haiku'];俳句，日本文體也。
information-realization;['習語', '文言習語'];習語，語之常用者也，化由是敷揚布澤，而言語之華，源乎史事民生。
information-realization;['墓誌'];墓誌，又稱墓誌銘，以誌後附銘而名。
information-realization;['憲法'];憲法，一名憲典，國之大法，亦母法也，適用於全民，所以楷定國體、民權及諸官制者也。
information-realization;['古蘭經', '古兰经', '可蘭經'];《古蘭經》，一譯《可蘭經》，回教至聖經書也。
information-realization;['大憲章'];大憲章（Magna Carta）者，憲法之始也。
information-realization;['新約'];新約者，耶經之章也。
information-realization;['民律大全', '查士丁尼民法大全'];《民律大全》（Corpus Iuris Civilis），或曰《國法大全》、《羅馬律全書》，古羅馬律書也。
information-realization;['耶經'];《耶經》，猶太教、基督教經典也。
intentional-collective;['啟蒙'];啟蒙，又名啟蒙世、理道世，謂十七世紀至十九世紀，歐洲學士哲人，治學、格物之變也。
intentional-collective;['民群', '群'];民群，又名社會，群民之所鍾，交往之所集者也。
language;['編程語言', '程式語', '程式語言'];程式語言者（中原謂編程語言，港臺謂程式語言），電腦程式所習用之言語也，指令於電腦。
language;['客家語', '客家話', '客語'];客家語，華南地方之言也。
language;['吳語', '吳地方言', '吴語', '吴语'];吳語/ŋ̍ ȵy/，或曰吳越語、江南話、江浙話、"江東話”，遍于古吳、越地，故得名，周至今有三千年史，漢語諸言之一種也，今行於中國之蘇南、滬、浙、皖南、贛東北及閩北一角。
language;['蒙古語'];蒙古語者，蒙古人之用語也。
language;['格魯吉亞語'];格魯吉亞語者，格魯吉亞人之言語也，屬南高加索語系，行於格魯吉亞，俄羅斯，土耳其。
language;['語言'];語言為常人皆有之能。
language;['索布語'];索布語，或曰文德語。
language;['梵語', '梵文'];梵語（संस्कृता वाक्，亦簡曰संस्कृतम्）者、古代印度人言也。
language;['世界語'];世界語，又名萬國新語，有借音趣譯愛斯不難讀者，人造語也。
language;['英語', '英吉利語', '英字', '英文'];英語衍自盎格魯、撒克遜朱特諸部日耳曼人古語。
language;['拉丁語', '拉丁文'];夫拉丁語（Lingua latīna）者，衍自歐洲亞平寧半島拉丁山區，大秦人之言也。
language;['閩語'];閩語，華南地方之言也，亦名福建話云云。
language;['漢語', 'chinese language', 'chinese', 'ภาษาจีน', '中文', '漢文'];漢語者，漢人之言也。
language;['藏語'];藏語者，藏人言也，屬漢藏語系藏緬語族藏語支，用者凡九百六十五萬餘。
language;['朝鮮語', '朝鲜语', '韓國語', '韓語'];朝鮮語（조선어），亦稱韓國語（한국어），東國語也，中國朝鮮族亦以為族語，嘗以漢字及諺文書之，今則只以諺文書。
language;['官話', '國語', '普通話', '普通话', '華語'];官話，舊有曰北語、北方言。
language;['粵語', 'yue-yu', 'yue-yuu', 'ภาษาจีนกวางตุ้ง', '廣東話'];粵語屬漢語，通行嶺南。
language;['印歐語系'];夫印歐語系者，天下十大語系之一也。
language;['古希臘語'];古希臘語，古希臘人所言，而今弗用矣。
language;['希臘語', '希臘文'];希臘語（希臘文：Ελληνικά ），屬印歐語系。
language;['爪哇語'];爪哇語（爪哇文：Basa jawa或作Basa jawi）者，印尼爪哇島中與東區之語，今有七千五百五十萬人以為母語，為世第十二大語言矣。
language;['切羅基語'];切羅基語者，切羅基人語也。
language;['越南語', '越語'];越南語者（越南文國語字︰tiếng Việt，喃字：㗂越），越南之通語，中國京族亦以為族語也。
language;['拉脫維亞語'];拉脫維亞語者，拉脫維亞人語也。
language;['西班牙語', 'espanol', 'español', 'spanish', 'spanska'];西班牙語（español），亦稱卡斯蒂利亞語（castellano）。
language;['阿拉伯語', '阿剌伯文', '阿剌伯語', '阿拉伯文', '阿拉伯语'];阿拉伯語（العربية）者，阿拉伯諸族之語也。
language;['德語', 'deutsche sprache', 'deutsche sprachen', 'deutsche spracher', 'german language', 'ภาษาเยอรมัน'];德語者，德意志之言也，東歐諸國及非洲納米比亞亦有用者，為舉世之第十一，屬印歐語系日耳曼語族西日耳曼語支。
language;['白語'];白語（Baip Ngvp Zix/白語子），白族之語言也，流於雲南大理。
legal-possession-entity;['呆帳', '壞帳'];呆帳、壞帳、呆壞帳者，乃應收帳款中無法收回者。
locative-role;['京都市'];京都市在日本，京都府治所也。
locative-role;['南京市', '六朝古都', '南京', '建康', '建業', '應天府', '江寧', '秣陵', '金陵', '集慶', '順天'];南京，古號建業、建康、秣陵、金陵、集慶、應天、江寧等。
locative-role;['瀋陽市', '瀋陽', '盛京'];瀋陽市，遼寧省會，古稱盛京、奉天；處渾河之陽，渾河者，古瀋水也，故稱瀋陽，現轄九區一市三縣，方萬三千平方公里，口七百一十九萬餘；市區方約三千五百平方公里，而常居者逾八百萬。
locative-role;['哈爾科夫'];哈爾科夫者，烏克蘭東北之邑也。
locative-role;['埃迪爾內'];埃迪爾內（土耳其言Edirne），在土耳其埃迪爾內省埃迪爾內中心區。
locative-role;['萊比錫', 'leipzig', '來責府'];萊比錫（日語漢字作來責府；德語：Leipzig，索布語：Lipsk），德國薩克森自由邦雄邑。
locative-role;['大邱廣域市', 'daegu', '大丘', '大邱', '達句伐'];大邱廣域市（韓國語︰대구광역시），簡曰大邱，大韓民國之市也，位其東南，古稱達句伐、大丘 。
locative-role;['釜山廣域市', 'busán', '釜山', '釜山广域市'];釜山廣域市位韓國東南，當落東江口。
locative-role;['福岡市', 'fukuoka'];福岡市，南日本九州福岡縣府。
locative-role;['長崎市', 'nagasaki'];長崎市屬日本長崎縣。
locative-role;['臺中市', 'taichung', '台中', '臺中'];臺中市，中華民國直轄市也，居臺灣中部，北接苗栗、新竹，南臨彰化、南投，東隔中央山脈界宜蘭、花蓮，西濱臺灣海峽。
locative-role;['聖彼得堡', '列寧格勒'];聖彼得堡者，俗謂彼得堡，乃俄羅斯之聯邦直轄市也，亦西北聯邦管區及列寧格勒州府。
locative-role;['麥加'];麥加（مكّة）。
locative-role;['西安市', '長安', "xi'an", '常安', '西安'];西安市，故長安城也。
locative-role;['西安市', '長安', "xi'an", '常安', '西安'];西安，古長安也，中國舊都，漢、隋、唐都之，城址歷朝有變，今西安咸陽間是焉。
locative-role;['杭州市', 'hangzhou', '杭州'];杭州市，浙江省治也。
locative-role;['雷丁', 'reading'];雷丁在英國英格蘭英格蘭東南域伯克郡。
locative-role;['廣島市', 'hiroshima'];廣島市，日本之市也，今為廣島縣之治所。
locative-role;['摩納哥'];摩納哥公國（法文：Principauté de Monaco），世界次小之國也，方二公里，西、北、東均鄰法蘭西，南濱地中海。
locative-role;['東羅馬帝國', '拂菻國', '拜占庭帝國'];拂菻國，東羅馬帝國也，當世別稱拜占庭帝國，蓋德國史家所立也。
locative-role;['莽原氣候'];莽原氣候，終日盛炎，林疏草茂，夏雨冬乾，冬時萬物凋萎，塵飛水竭，迨雨季，水豐草盛，年降雨七百五十釐米之上，富獅、豹、斑馬、長頸鹿，行放牧，佈於巴西、澳洲、非洲。
locative-role;['普魯士'];普魯士，乃歐羅巴濱海之國也，都柯尼斯堡，後遷至柏林。
locative-role;['東南亞'];東南亞，亞洲分域也，居亞洲之東南；處板塊邊緣，因而多地震、火山，島嶼羅列。
locative-role;['塞爾維亞', 'србија', '塞爾維亞共和國'];塞爾維亞共和國（塞爾維亞語：Србија或Srbija），簡曰塞爾維亞，歐洲之國也。
locative-role;['北九州市', 'kitakyūshū'];北九州市，日本九州島福岡縣一城，二十政令指定都市之一。
locative-role;['札幌市', 'sapporo', '札幌'];札幌市，日本之市也，今爲北海道之治所。
locative-role;['利物浦', 'líverpool'];利物浦（英文：Liverpool），聯合王國英格蘭之城也，城內有凡四十六萬眾，計及郊則百餘萬焉。
locative-role;['天津市', '天津'];天津市，略曰津，又稱沽。
locative-role;['港'];所謂港者，舟船所舶而避大洋風浪也。
locative-role;['安達盧西亞'];安達盧西亞，南西班牙之自治區也。
locative-role;['中南半島', '印度支那'];中南半島，亦曰印度支那，地處亞細亞東南，為亞細亞四大半島之一。
locative-role;['立陶宛', '立陶宛共和國'];立陶宛共和國，東歐之國也，都維爾紐斯，國人多立陶宛人。
locative-role;['海參崴', 'vladivostok', '永明城', '符拉迪沃斯托克'];海參崴，在外滿洲，處海濱。
locative-role;['古斯巴達'];斯巴達，古希臘之城邦也，位處拉哥尼亞。
locative-role;['沙漠', '砂漠'];沙漠者，不毛之地也。
locative-role;['波斯', '伊蘭', '伯爾西亞', '克魯', '包社', '北耳西亞', '哈烈', '塞克', '大白頭', '巴爾齊亞', '巴社', '法耳西', '波斯帝國', '白西', '百爾設', '高奢'];波斯，中東古國也。
locative-role;['大阪市', 'ôsaka'];大阪市在日本，今為大阪府之治所。
locative-role;['明尼阿波利斯', 'minneapolis', 'twin city', '雙子城'];明尼阿波利斯（Minneapolis），美國明尼蘇達州之州府也，暨隔河對望之聖保羅，共號雙子城（Twin City）。
locative-role;['中東'];中東者，古之大食，是為其源。
locative-role;['慕尼黑'];慕尼黑，德國巴伐利亞之治也，有土三百單十平方公里，有眾百三十萬也。
locative-role;['蘭州市', 'lanzhou', '蘭州'];蘭州市，中華人民共和國甘肅省治也。
locative-role;['米蘭'];米蘭者，義大利西北之大邑也。
locative-role;['那霸市', 'naha'];那霸市，日本之市也，今為沖繩縣之治所。
locative-role;['瓦爾帕萊索', 'valparaiso', '瓦尔帕莱索'];瓦爾帕萊索（西班牙语：Valparaíso，西語之謂「天堂谷」也）在太平洋岸，智利國法都也（國會之所在）、是為瓦爾帕萊索省Valparaíso Province首府、瓦爾帕萊索大區首府。
locative-role;['兩河之盂', '美索不達米亞'];兩河之盂者，俗曰美索不達米亞，希臘語謂河間也。
locative-role;['伊斯坦布爾', '伊斯坦堡'];伊斯坦堡者，土耳其至大之邑也。
locative-role;['紐約市', '纽约市'];紐約市，在美國東岸，為其國要邑。
locative-role;['威尼斯'];威尼斯，水鄉也，在意大利東北。
method;['民主'];民主，英言德謨克拉西（democracy），一譯民治，民國五四時人謂之德先生。
non-agentive-physical-object;['巴拿馬運河'];巴拿馬運河，太平洋、大西洋間渠也，在巴拿馬，全長八十一公里又三百米，寬百五十至三百米不等。
non-agentive-physical-object;['水龍頭'];水龍頭者，舍水之所出也。
non-agentive-physical-object;['和服', 'kimono'];和服，亦曰吳服，古稱着物，謂日人其所衣也。
non-agentive-physical-object;['華爾街', 'wall street'];華爾街，位紐約曼哈頓，本意「牆街」，華爾，其西語之近音也。
non-agentive-physical-object;['虹吸'];虹吸，液流之相也。
non-agentive-physical-object;['氍毹'];氍毹或曰毾㲪，一織物也，常鋪置於地。
non-agentive-physical-object;['骰', '色子', '骰子'];骰，玩物也。
non-agentive-physical-object;['紋章'];紋章者（英文：coat of arms），牌號也。
non-agentive-physical-object;['文胸', '胸罩'];文胸，亦曰胸罩，婦人之褻衣也。
non-physical-collection;['異端'];異端，甚異主流之信仰、思想抑學說也，亦謂持是信仰、思想抑學說者。
non-physical-collection;['女權'];女權（英語：feminism），或譯女權主義，女性主義，思潮也。
non-physical-collection;['真言宗', 'shingon'];真言宗者，日本佛教宗派也，亦曰密教。
non-physical-collection;['宗教'];宗教者，以神道設教而立誡約，使人崇信者也。
non-physical-collection;['星槎', 'ufo', '不明飛行物', '幽浮', '飛碟'];星槎也者，不知所自，不明形質，淩虛空而駕星漢者。
non-physical-collection;['道教'];道教，華夏自源宗教也。
non-physical-collection;['回教', '伊斯兰教', '伊斯蘭徒', '伊斯蘭教', '伊斯蘭教徒'];回教，正名伊斯蘭教，與佛教、基督教並列當世三大教，肇自先知穆罕默德錄安拉之言，授啟弟子，遂成古蘭經，今廣播五洲，千四百年矣。
non-physical-collection;['猶太教'];犹太教（ 希伯來文יהדות）者，或稱挑筋教、藍帽回回、一賜樂業教等，猶太人國教也。
non-physical-collection;['斯多葛宗', '斯多葛派'];斯多葛宗，希臘謂之Στωικισμός，西哲之一系。
non-physical-collection;['基督教', '基督舊教'];基督教，耶穌基督之教也。
non-physical-collection;['儒家', '儒學', '儒術'];儒家，《漢志》曰：「蓋出於司徒之官，助人君順陽陽明教化者也。
non-physical-place;['墓'];墓者，葬亡人之所也。
organized-collection;['圖書館'];圖書館，所以庋藏圖書也。
organized-collection;['矩陣'];夫縱橫之陣，填格以數，以括括之，是為矩陣，西記之以 A m × n = [ a i j ] m × n = [ a 11 ⋯ a 1 n ⋮ ⋱ ⋮ a m 1 ⋯ a m n ] {\displaystyle A {m\times n}=[a {ij}] {m\times n}=\left[{\begin{matrix}a {11}&\cdots &a {1n}\\\vdots &\ddots &\vdots \\a {m1}&\cdots &a {mn}\\\end{matrix}}\right]} 。
organized-collection;['語序'];語序為文法詞彙之序，語言者，皆有主詞、受詞、動詞之分，故語序及語法格有之，多數語言主一語序，亦有多種者，如德語、荷蘭語之類，另一方面，部份語言，其格變化是具，故語序不拘，如拉丁語、芬蘭語之類，德語亦然，然德語非完全自由，動詞之位咸定，且德語之詞，除陽性單數，主賓之格，其形同也。
parameter;['加速度', '加速'];加速度，略云加速，一名加緊速率，英文acceleration，故以 a {\displaystyle {\boldsymbol {a}}} 代之，申速度增減之勢，矢量也。
parameter;['速度'];速度者，一名移位率，舊譯遬、遲速，以示物體運動之遲疾、方向，矢量也，單位米每秒，記以m/s（或 m s − 1 {\displaystyle \mathrm {ms^{-1}} } ）。
parameter;['色盲', '色弱', '道爾頓症'];色盲者，辨色之疾也。
parameter;['旦', '日出'];旦，或謂曉，曙，白，日出。
parameter;['黃金分割'];黄金分割，一曰黄金比，或曰黃金數，泰西以為藝術之數也。
parameter;['光圈'];光圈者，乃制進鏡頭之光量器也。
parameter;['光速'];光速者，電磁波之速也，或曰無靜質量者之速耳。
phenomenon;['化學反應'];化學反應，亦名化變、物化、物質愛拒，化學之本也。
phenomenon;['物態'];物態者，物質之態，相也。
phenomenon;['物相', '相'];夫有一純物，物性化性皆勻者，為之一相，曰均相系統矣。
phenomenon;['電漿', '等離子', '等離子體', '電氳'];電漿，又名等離子體、游離體、電氳（因有電雜其中，又生光氤氳，故名。
phenomenon;['功率'];功率者，賦之以義，功疾緩之所述也。
phenomenon;['複分解反應'];複分解反應者，乃兩物離子之相易也。
phenomenon;['電流'];電流，電荷之流也。
phenomenon;['通貨膨脹', '嗇貨財豐', '通脹'];通貨膨脹，略稱通脹，又名浮溢、嗇貨財豐，計學之事也。
phenomenon;['龍掛', 'tornado', '龍捲風'];龍掛者，風捲殘雲也。
phenomenon;['扶搖', '旋風', '羊角'];扶搖也，羊角也，旋而上之暴風也。
phenomenon;['天擇', '物競天擇', '自然選擇', '適者生存'];物競者，物爭自存也。
phenomenon;['氧化還原反應'];氧化還原反應者，屬化學反應，氧化數見易，蓋電子轉移故也。
phenomenon;['同性戀'];同性戀，性取向也，有龍陽、斷袖、餘桃之謂。
phenomenon;['化學鍵'];化學鍵者，乃粒子間之牽附力，攀纏結繞，此謂之鍵，其粒子可原子、可離子、可分子。
phenomenon;['二元運算', '交換律', '分配律', '單位元', '結合律'];二元運算者，四則之抽象也。
phenomenon;['太陽能', '太陽能力', '日力'];太陽之熱輻射能，其維太陽能。
phenomenon;['放手銃', '手淫', '打手槍', '打槍', '打飛機', '自慰', '自瀆'];放手銃，今俗云打手槍、手淫、打飛機、擼管、自瀆是也。
phenomenon;['放射性', '放射物', '衰變'];夫元素者有核而不安，乃釋射線，為放射性也。
phenomenon;['腦死'];腦死，一稱腦死亡，生物現象也。
phenomenon;['欻'];是題本作Fuck。
phenomenon;['光合作用'];光合作用者，乃植物製食之法也。
phenomenon;['溲溺'];溲溺，以泄溲於身外焉。
phenomenon;['壓強'];壓強者，示壓力之效也。
phenomenon;['萬有引力', '引力'];引力者，又譯通攝力、吸力、通吸力、萬有引力，萬物相吸之力也。
phenomenon;['向心力'];向心力，物理之量也。
phenomenon;['動能'];動能，能量也。
phenomenon;['勢能'];勢能，或曰位能，物居其位所含能量也。
phenomenon;['代謝'];代謝，亦稱新陳代謝及細胞代謝。
phenomenon;['反射'];反射者，乃物體、波觸一物，輒反向形之。
phenomenon;['同素異構體'];同素異構體，又名同素異形體，同元素、構不同之單質也。
phenomenon;['氣壓'];氣壓者，氣之壓也，即單位面積之氣所施壓力也（ P = F A {\displaystyle P={\frac {F}{A}}} ）。
phenomenon;['蒸餾'];蒸餾者，分液之法也。
phenomenon;['火'];凡物氧化至劇，光熱並生，即火也。
phenomenon;['沉澱', '沈澱'];夫沉澱者，溶液間難溶之質也。
phenomenon;['噓噏', '呼吸'];噓噏，今謂（呼吸），一説（吐納），生物之一理也，即引氣入肺以敦與內氣之易也。
phenomenon;['電荷'];電荷者，物質之性也。
phenomenon;['摩擦力'];摩擦力者，二物相擦之阻力也，所以止物之動者及使物不動也。
phenomenon;['天演', '天演論', '演化', '演化論', '進化', '進化論'];天演者，本西國格物家言也。
phenomenon;['液體', '液', '液態'];液體者，物相也。
phenomenon;['固體', '固', '固態'];固體，物相也，又名凝質、定質、堅質等。
phenomenon;['氣質', '氣', '氣態', '氣體'];氣體者，物相也。
phenomenon;['沆瀣'];沆瀣，夜闌或朝之水氣，露水，舊謂仙人所飲，見宋．
physical-body;['性染色體'];性染色體者（英言Sex Chromosome），染色體也。
physical-body;['中子'];中子，成原子之物也，質重一點六七五乘以十之負廿七次方公斤。
physical-body;['電子'];電子，成原子之物也，質重一點六七三乘以十之負廿七次方公斤。
physical-body;['常染色體'];常染色體者（英言謂Autosome），漢譯或云體染色體。
physical-body;['月', '太陰', '月球'];月者，地球之衛星也，為陰之精，故亦曰太陰。
physical-body;['小行星'];小行星者，天體也，屬小天體之類，其質、積少於行星、矮行星矣。
physical-body;['宇宙', '本宇宙'];凡四面八方者，宇也，古今往來者，宙也。
physical-body;['坤輿', '地球'];地球者，又曰坤輿、世界，於系內行星位列第三，獨有人居。
physical-body;['大角'];大角，星也。
physical-body;['木衛二', 'europa'];木衛二，亦稱歐羅巴者，木星之衛星也。
physical-body;['熒惑', '♂', '火星'];熒惑。
physical-body;['竈神星', '4 vesta', '灶神星'];灶神星者（序號：四）太陽系之小行星也，屬小行星帶天體，發現之序居四。
